"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Jordan John","Oklahoma","So.","P","20","80.0","76"
"","Branden Kline","Virginia","Jr.","P","12","71.7","76"
"","Nick Petree","Missouri St.","So.","P","11","77.3","76"
"","Randy Zeigler","La.-Monroe","Jr.","P","12","76.0","76"
"40","Justin Amlung","Louisville","Jr.","P","11","75.3","75"
"41","Dakota Bacus","Indiana St.","Jr.","P","12","84.0","74"
"","Brett Mooneyham","Stanford","Jr.","-","10","61.0","74"
"43","Eddie Orozco","UC Riverside","Sr.","P","11","70.3","73"
"","Dillon Overton","Oklahoma","So.","P","14","77.0","73"
"","Desmond Russell","Jackson St.","So.","INF","14","90.7","73"
"","Konner Wade","Arizona","So.","P","13","80.0","73"
"47","Will Hudgins","Notre Dame","Sr.","P","11","73.0","72"
"","John Straka","North Dakota St.","Jr.","P","11","78.7","72"
"49","Martin Agosta","St. Mary's (CA)","Jr.","P","11","81.0","71"
"","Ben Bullard","UAB","Jr.","P","11","72.3","71"
"","Jose Garcia","Jackson St.","Jr.","INF","15","72.0","71"
"","Kurt Heyer","Arizona","Jr.","P","11","85.7","71"
"","Alex Wood","Georgia","So.","P","12","73.7","71"
"54","Kevin Christy","La Salle","Sr.","P","11","67.0","70"
"","Tim Cooney","Wake Forest","Jr.","P","11","73.7","70"
"","Tyler Linehan","Fresno St.","So.","P","12","68.3","70"
"","Jon Moscot","Pepperdine","Jr.","P","10","75.3","70"
"58","Mat Batts","UNC Wilmington","So.","P","11","71.7","69"
"","Aaron Blair","Marshall","So.","P","11","66.7","69"
"","Quintavious Drains","Jackson St.","Sr.","P","15","90.3","69"
"","Steven Ewing","Miami (FL)","Jr.","P","12","71.3","69"
"","Drew Steckenrider","Tennessee","Jr.","OF","23","56.0","69"
"63","Kent Emanuel","North Carolina","So.","P","11","72.7","68"
"","Nate Koneski","Holy Cross","Sr.","P","10","59.0","68"
"","Gera Sanchez","New Mexico","Sr.","P","16","49.7","68"
"","Shae Simmons","Southeast Mo. St.","Jr.","P","11","57.0","68"
"67","Ryan Arrowood","Appalachian St.","Sr.","P","11","65.7","67"
"","Mike Hauschild","Dayton","Sr.","P","13","81.3","67"
"","R.J. Hively","Ole Miss","Sr.","P","11","57.7","67"
"","Josh Martin","Samford","Sr.","P","11","70.0","67"
"","Chase Stevens","Oklahoma St.","Jr.","P","16","48.7","67"
"","Bobby Wahl","Ole Miss","So.","P","11","60.3","67"
"","Charles Weaver","IPFW","Jr.","P","11","77.3","67"
"74","Kyle Finnegan","Texas St.","So.","P","12","76.0","66"
"","Ryan Garton","Fla. Atlantic","Sr.","P","11","68.7","66"
"","Josh Smith","Wichita St.","Sr.","P","12","71.0","66"
"","Andrew Triggs","Southern California","Sr.","P","12","80.3","66"
"","Colton Turner","Texas St.","Jr.","P","10","63.0","66"
"79","Kyle Barraclough","St. Mary's (CA)","Sr.","P","12","67.0","65"
"","Ryan Dull","UNC Asheville","Sr.","P","10","60.7","65"
"","Kurt Giller","Oral Roberts","Jr.","P","12","65.7","65"
"","Austin House","New Mexico","Jr.","P","11","75.7","65"
"","Matt Sergey","Campbell","Sr.","P","11","73.3","65"
"","Tyler Skulina","Kent St.","So.","P","11","63.7","65"
"85","Mike Augliera","Binghamton","Sr.","P","9","57.3","64"
"","Eddie Butler","Radford","Jr.","P","10","71.0","64"
"","Michael Ellis","FIU","So.","P","11","60.7","64"
"","Brian Holmes","Wake Forest","Jr.","P","11","64.3","64"
"","Pat Ludwig","Yale","Sr.","P","9","62.7","64"
"","Tyler Moore","North Florida","So.","P","15","55.0","64"
"","T.J. Oakes","Minnesota","Jr.","P","11","77.7","64"
"","Tyler Olson","Gonzaga","Sr.","P","11","79.0","64"
"","Caleb Smith","Sam Houston St.","So.","P","12","69.0","64"
"94","Brett Harman","Maryland","Sr.","P","11","71.0","63"
"","Ryan Harvey","Seton Hall","Jr.","P","13","49.7","63"
"","Mike Hoekstra","Eastern Ill.","Sr.","P","11","76.3","63"
"","Jacob Lee","Arkansas St.","Sr.","P","11","65.3","63"
"","Andrew Leenhouts","Northeastern","Sr.","P","10","66.7","63"
"","Mark Leiter","NJIT","Jr.","P","10","63.3","63"
"","Andrew Mitchell","TCU","So.","P","10","48.0","63"
"","Chris Rowley","Army","Jr.","P","11","73.7","63"
"","Jeff Thompson","Louisville","So.","P","11","62.3","63"
"","Matt Wotherspoon","Pittsburgh","So.","P","11","66.7","63"
"104","Matt Davenport","William & Mary","Sr.","P","13","86.0","62"
"","Jamie Gilley","Louisiana Tech","Jr.","P","19","53.0","62"
"","Caleb McClanahan","Central Ark.","Jr.","P","11","78.3","62"
"","Spencer Medick","Elon","Jr.","P","12","60.7","62"
"","Benton Moss","North Carolina","Fr.","P","11","50.7","62"
"","Matt Pierpont","Winthrop","Jr.","P","11","74.3","62"
"","Adam Plutko","UCLA","So.","P","11","69.0","62"
"","Taylor Rogers","Kentucky","Jr.","P","11","61.3","62"
"","Joe Scanio","Northwestern St.","Sr.","P","25","56.3","62"
"","Cody Schumacher","Missouri St.","Jr.","P","12","64.3","62"
"","Ben Tomchick","Old Dominion","Sr.","P","12","61.7","62"
"","Daniel Watts","Jacksonville St.","Jr.","P","11","64.7","62"
"","Kyle Westwood","North Florida","Jr.","P","10","63.7","62"
"117","Tyler Austin","Towson","Sr.","P","24","44.3","61"
"","Tony Bucciferro","Michigan St.","Sr.","P","11","76.0","61"
"","Cameron Copping","Buffalo","Sr.","P","10","66.3","61"
"","Joey DeNato","Indiana","So.","P","11","71.0","61"
"","Jeffery Enloe","Central Ark.","Jr.","P","13","64.3","61"
"","Marco Gonzales","Gonzaga","So.","1B","8","60.0","61"
"","John Long","East Tenn. St.","Sr.","P","14","85.0","61"
"","Phil Maton","Louisiana Tech","Fr.","P","14","69.0","61"
"","Travis Radke","Portland","Fr.","P","11","61.3","61"
"","Brady Rodgers","Arizona St.","Jr.","P","11","83.7","61"
"","Eric Ruth","Winthrop","Jr.","P","13","58.3","61"
"","Jordan Smith","Western Caro.","So.","P","12","70.0","61"
"","Kameron Stady","Mississippi Val.","Jr.","P","17","82.7","61"
"130","Kayvon Bahramzadeh","Kansas St.","Sr.","P","11","55.3","60"
"","Garrett Cortright","Canisius","So.","P","11","71.0","60"
"","Ryan Farrar","VCU","Jr.","P","11","74.3","60"
"","Jason Forjet","Fla. Gulf Coast","Sr.","P","12","68.7","60"
"","Rayan Gonzalez","Bethune-Cookman","Sr.","P","11","68.0","60"
"","Justin Haley","Fresno St.","Jr.","C","16","62.3","60"
"","Taylor Haydel","Western Ky.","Jr.","P","20","53.0","60"
"","Zak Hermans","Princeton","Jr.","P","9","63.0","60"
"","Jason Kalber","IPFW","Jr.","P","11","73.3","60"
"","Brandon Love","Mercer","Sr.","P","12","66.7","60"
"","Tyler Ray","Troy","Sr.","P","11","76.7","60"
"","Michael Roth","South Carolina","Sr.","P","11","73.7","60"
"","Jimmie Sherfy","Oregon","So.","P","20","39.3","60"
"","Braden Shipley","Nevada","So.","P","11","67.3","60"
"","Ryne Stanek","Arkansas","So.","P","11","64.3","60"
"","Jeb Stefan","Louisiana Tech","Jr.","P","12","62.7","60"
"","John Walter","Penn St.","Jr.","P","11","59.7","60"
"147","Tim Bado","Western Ky.","Jr.","P","10","63.3","59"
"","Lance Breedlove","Purdue","Sr.","P","11","73.0","59"
"","Lindsey Caughel","Stetson","Sr.","P","12","66.0","59"
"","Dan Child","Oregon St.","So.","P","12","74.7","59"
"","Calvin Drummond","San Diego","Jr.","P","13","72.3","59"
"","Jonathan Gray","Oklahoma","So.","P","12","61.7","59"
"","Justin Hess","Ga. Southern","Jr.","P","12","51.0","59"
"","Jake Long","East Tenn. St.","So.","P","13","66.7","59"
"","Trevor Megill","Loyola Marymount","Fr.","P","11","65.7","59"
"","Ben Nelson","Navy","Jr.","P","12","69.7","59"
"","Vince Voiro","Penn","Sr.","P","10","66.0","59"
"","Kevin Ziomek","Vanderbilt","So.","P","12","57.0","59"
"159","Ty Blach","Creighton","Jr.","P","14","75.3","58"
"","Matt Bowman","Princeton","Jr.","SS","9","56.0","58"
"","Tim Bury","Dayton","Sr.","P","14","72.7","58"
"","Josh Carr","Kennesaw St.","Sr.","P","11","74.3","58"
"","Matt Iannazzo","Pittsburgh","Sr.","P","12","71.0","58"
"","Cole Isom","Evansville","So.","P","11","72.7","58"
"","Brandon Magallones","Northwestern","Fr.","P","11","65.3","58"
"","Mason McVay","FIU","Jr.","P","11","54.0","58"
"","Anthony Montefusco","George Mason","Jr.","P","11","72.3","58"
"","Steven Okert","Oklahoma","Jr.","P","19","59.0","58"
"","Matt Price","South Carolina","Jr.","P","15","49.7","58"
"","Josh Renfro","Col. of Charleston","Sr.","P","12","63.7","58"
"171","Colin Bear","Northwestern St.","Sr.","P","12","64.3","57"
"","Buddy Borden","UNLV","So.","P","13","46.0","57"
"","Kyle Haynes","VCU","Jr.","P","11","69.7","57"
"","Joe Kurrasch","Penn St.","Jr.","P","12","63.0","57"
"","Derek Lamacchia","Quinnipiac","Jr.","P","10","54.3","57"
"","Rich Mascheri","Western Ill.","Sr.","P","11","67.7","57"
"","Kyle Mullen","Saint Joseph's","Jr.","P","11","73.3","57"
"","Chris Razo","Illinois St.","Jr.","P","12","62.0","57"
"","Sam Selman","Vanderbilt","Jr.","P","11","48.3","57"
"","Rob Zastryzny","Missouri","So.","P","11","70.3","57"
"181","Evan Abrecht","Air Force","Sr.","P","10","74.0","56"
"","Alex Alemann","Saint Louis","Jr.","P","11","70.0","56"
"","Joel Alvira","Alabama St.","Fr.","P","11","64.7","56"
"","Nolan Becker","Yale","Jr.","P","12","50.7","56"
"","Brandon Bixler","Fla. Gulf Coast","So.","P","10","46.7","56"
"","Tripp Davis","NJIT","Jr.","P","10","68.0","56"
"","Aaron Elias","Jacksonville St.","Sr.","P","11","60.7","56"
"","Mike Eliasen","Fairleigh Dickinson","Sr.","INF","11","73.7","56"
"","Kevin Ferguson","Northeastern","Jr.","P","9","62.7","56"
"","Eddie Gray","St. Bonaventure","Jr.","P","10","72.7","56"
"","Tyler Herb","Coastal Caro.","So.","P","11","66.7","56"
"","Nathan Hill","Troy","Jr.","P","25","54.0","56"
"","Corey Littrell","Kentucky","So.","P","11","66.3","56"
"","Ben Lively","UCF","So.","P","14","53.0","56"
"","Hoby Milner","Texas","Jr.","P","26","55.7","56"
"","Christian Powell","Col. of Charleston","Jr.","P","12","68.3","56"
"","Alex Pracher","Saint Joseph's","Sr.","P","12","72.7","56"
"","Steven Rodriguez","Florida","Jr.","P","23","42.0","56"
"","Eric Semmelhack","Milwaukee","Jr.","P","11","67.7","56"
"","Paul Sewald","San Diego","Sr.","P","11","64.3","56"
"","Stephen Tarpley","Southern California","Fr.","P","11","61.3","56"
"","John Tiedemann","Hofstra","Jr.","P","12","61.0","56"
"","Zach Toney","Austin Peay","Sr.","P","11","54.7","56"
"","Josh Turley","Baylor","Jr.","P","11","72.3","56"
"","Ryan VanAssche","Norfolk St.","So.","P","12","63.7","56"
"","Duke von Schamann","Texas Tech","So.","INF","11","79.0","56"
