"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"","Grayson Long","Texas A&M","So.","P","6","39.2","3","0","1.000"
"","Chase Mallard","UAB","Sr.","P","6","43.2","3","0","1.000"
"","Brendan McCurry","Oklahoma St.","Sr.","INF","11","13.0","3","0","1.000"
"","Patrick McGrath","Loyola Marymount","Sr.","P","7","36.1","3","0","1.000"
"","Nick Neitzel","Davidson","Jr.","P","6","27.0","3","0","1.000"
"","James Norwood","Saint Louis","Jr.","P","6","36.0","3","0","1.000"
"","Eric Nyquist","Mercer","Jr.","P","6","34.2","3","0","1.000"
"","Alex Palsha","Sacramento St.","Jr.","P","14","24.0","3","0","1.000"
"","Tim Peabody","Loyola Marymount","Fr.","P","9","13.2","3","0","1.000"
"","Tyler Peyton","Iowa","So.","P","6","37.0","3","0","1.000"
"","Morgan Pittman","Mercer","Jr.","P","16","25.1","3","0","1.000"
"","Jon Reed","Memphis","Sr.","P","6","35.1","3","0","1.000"
"","Logan Rice","East Tenn. St.","Sr.","P","11","22.1","3","0","1.000"
"","Ryan Riga","Ohio St.","Jr.","P","6","38.2","3","0","1.000"
"","Matt Rodgers","Evansville","Jr.","P","6","17.1","3","0","1.000"
"","Zach Sherrill","Citadel","Jr.","P","15","19.1","3","0","1.000"
"","Wyatt Short","Ole Miss","Fr.","P","10","11.1","3","0","1.000"
"","Eric Skoglund","UCF","Jr.","P","6","46.0","3","0","1.000"
"","Gage Smith","Florida St.","Sr.","P","16","22.0","3","0","1.000"
"","Locke St. John","South Ala.","Jr.","P","6","39.0","3","0","1.000"
"","Jacob Stone","Arkansas","Jr.","P","6","9.0","3","0","1.000"
"","Corey Taylor","Texas Tech","Jr.","P","7","19.2","3","0","1.000"
"","Jake Thompson","Oregon St.","Fr.","P","5","20.0","3","0","1.000"
"","Daniel Thorpe","Saint Joseph's","Sr.","P","6","33.1","3","0","1.000"
"","Christian Trent","Ole Miss","So.","P","6","37.0","3","0","1.000"
"","Tanner Tully","Ohio St.","Fr.","P","7","28.0","3","0","1.000"
"","Josh Urban","Dallas Baptist","Sr.","P","10","18.1","3","0","1.000"
"","Normando Valentin","Alabama St.","So.","P","8","26.1","3","0","1.000"
"","Zach Varela","UC Riverside","Sr.","P","5","36.0","3","0","1.000"
"","Jay Wade","Auburn","Sr.","P","9","12.2","3","0","1.000"
"","Austen Williams","Texas St.","Jr.","P","6","37.1","3","0","1.000"
"","Andrew Woeck","North Carolina St.","Sr.","P","8","21.2","3","0","1.000"
"","James Woods","Radford","Sr.","P","14","21.1","3","0","1.000"
"","Alex Abrams","Furman","Sr.","INF","6","25.0","3","1","0.750"
"","Mitchell Aker","William & Mary","So.","OF","5","29.1","3","1","0.750"
"","Andrew Barnett","Gardner-Webb","Sr.","P","6","39.2","3","1","0.750"
"","Parker Bean","Liberty","Fr.","P","6","29.0","3","1","0.750"
"","Cheyne Bickel","Ole Miss","Fr.","P","9","10.0","3","1","0.750"
"","Bryan Bonnell","UNLV","So.","P","6","46.1","3","1","0.750"
"","Grant Borne","Nicholls St.","So.","P","6","34.0","3","1","0.750"
"","Kyle Bouman","LSU","Jr.","P","5","28.2","3","1","0.750"
"","Adam Bray","South Dakota St.","Jr.","P","6","41.2","3","1","0.750"
"","Thomas Burrows","Alabama","Fr.","P","8","11.2","3","1","0.750"
"","Austin Clay","Western Ky.","Sr.","P","6","33.0","3","1","0.750"
"","Michael Clemens","McNeese St.","Jr.","P","6","42.0","3","1","0.750"
"","Daniel Concepcion","VCU","Jr.","P","7","29.2","3","1","0.750"
"","PJ Conlon","San Diego","So.","P","6","36.1","3","1","0.750"
"","Troy Conyers","San Diego","So.","P","6","34.2","3","1","0.750"
"","Andro Cutura","Southeastern La.","Jr.","P","6","40.1","3","1","0.750"
"","Austin Denney","Savannah St.","Jr.","P","7","34.0","3","1","0.750"
"","Nick Dignacco","Army","Sr.","P","6","35.1","3","1","0.750"
"","Jacob Evans","Oklahoma","So.","1B","9","20.2","3","1","0.750"
"","Michael Fain","Nevada","So.","P","6","36.0","3","1","0.750"
"","Sean Fitzgerald","Notre Dame","Sr.","P","6","41.1","3","1","0.750"
"","Kyle Freeland","Evansville","Jr.","P","5","32.0","3","1","0.750"
"","Brett Graves","Missouri","Jr.","P","6","41.2","3","1","0.750"
"","Greg Greve","Ohio St.","Sr.","P","6","32.0","3","1","0.750"
"","John Haberman","Pacific","Sr.","P","7","32.2","3","1","0.750"
"","Kyle Hart","Indiana","Jr.","P","8","31.1","3","1","0.750"
"","Aaron Hauge","Southern Ill.","Jr.","P","5","28.2","3","1","0.750"
"","Carson Herndon","Liberty","Jr.","P","6","27.2","3","1","0.750"
"","Colin Hightower","Oral Roberts","Jr.","P","10","15.0","3","1","0.750"
"","Brandon Hinkle","Delaware","Sr.","P","6","34.1","3","1","0.750"
"","Tyler Iago","Southeast Mo. St.","Jr.","P","6","31.1","3","1","0.750"
"","Evan Incinelli","North Florida","Jr.","P","6","33.1","3","1","0.750"
"","Brent Janak","Lamar","Fr.","P","7","14.1","3","1","0.750"
"","Chris Kalica","St. John's (NY)","Jr.","P","10","21.0","3","1","0.750"
"","Devin Kanorik","Texas Southern","Jr.","P","7","33.0","3","1","0.750"
"","Sam Kmiec","Winthrop","So.","P","6","38.2","3","1","0.750"
"","Ryan Koopman","Campbell","Sr.","P","10","42.1","3","1","0.750"
"","Nick Kozlowski","Hofstra","Jr.","P","4","23.2","3","1","0.750"
"","Chris Lanham","Yale","So.","P","6","25.1","3","1","0.750"
"","Luke Leftwich","Wofford","So.","P","6","37.0","3","1","0.750"
"","Brett Lilek","Arizona St.","So.","P","6","32.2","3","1","0.750"
"","Jackson Lockwood","Portland","So.","P","8","25.0","3","1","0.750"
"","Kevin Long","Lehigh","So.","P","8","23.0","3","1","0.750"
"","Ryan Lower","Houston Baptist","Sr.","P","5","31.0","3","1","0.750"
"","Chad Martin","Delaware","Fr.","P","6","32.0","3","1","0.750"
"","Ian Martinez-McGraw","Lipscomb","Jr.","P","8","41.2","3","1","0.750"
"","Shane McCain","Troy","Sr.","P","6","40.0","3","1","0.750"
"","Jackson McClelland","Pepperdine","So.","P","6","33.1","3","1","0.750"
"","Ryan McCormick","St. John's (NY)","So.","P","6","31.2","3","1","0.750"
"","Chase McDowell","Rice","Sr.","P","7","32.2","3","1","0.750"
"","Sam McKay","Hartford","So.","P","5","12.0","3","1","0.750"
"","John McLeod","Wake Forest","Jr.","P","6","35.1","3","1","0.750"
"","Brandon McNitt","Stony Brook","Sr.","P","5","31.1","3","1","0.750"
"","Alex Milazzo","Samford","Sr.","P","6","25.2","3","1","0.750"
"","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","3","1","0.750"
"","Aaron Myers","Longwood","Jr.","P","6","49.0","3","1","0.750"
"","Richie Navari","Louisiana Tech","Sr.","P","6","40.0","3","1","0.750"
"","Vinny Nittoli","Xavier","Sr.","P","5","30.0","3","1","0.750"
"","Denton Norman","Lipscomb","So.","P","6","32.1","3","1","0.750"
"","Grant Papelian","Mercer","Jr.","P","7","30.1","3","1","0.750"
"","Craig Pearcy","Morehead St.","So.","P","9","24.2","3","1","0.750"
"","Jordan Piche'","Kansas","Sr.","P","12","23.1","3","1","0.750"
"","Kyle Porter","California","Sr.","P","6","30.2","3","1","0.750"
"","James Reeves","Citadel","Jr.","P","6","35.2","3","1","0.750"
"","Andrew Rohrbach","Long Beach St.","So.","P","6","38.2","3","1","0.750"
"","Chris Sadberry","Texas Tech","Jr.","P","6","30.2","3","1","0.750"
"","Erik Samples","USC Upstate","Jr.","INF","8","11.0","3","1","0.750"
"","Josh Sborz","Virginia","So.","P","6","31.2","3","1","0.750"
"","Lukas Schiraldi","Texas","Jr.","P","5","26.0","3","1","0.750"
"","Craig Schlitter","Bryant","Sr.","P","5","29.2","3","1","0.750"
"","William Shell","Troy","Sr.","P","11","19.2","3","1","0.750"
"","Hunter Smith","Gardner-Webb","So.","P","7","20.0","3","1","0.750"
"","Sam Smith","Ole Miss","Jr.","P","6","35.1","3","1","0.750"
"","Cy Sneed","Dallas Baptist","Jr.","P","6","39.2","3","1","0.750"
"","Austin Stone","Baylor","Jr.","P","6","37.0","3","1","0.750"
"","Brad Stone","North Carolina St.","So.","P","6","24.0","3","1","0.750"
"","Tyler Stubblefield","Texas A&M","Fr.","P","10","35.1","3","1","0.750"
"","Tim Swatek","Fordham","Sr.","P","5","27.2","3","1","0.750"
"","Sam Tewes","Wichita St.","Fr.","P","6","29.1","3","1","0.750"
"","Andrew Tomasovich","Charleston So.","So.","P","6","32.2","3","1","0.750"
"","Brandon Waddell","Virginia","So.","P","5","28.1","3","1","0.750"
"","Josh Walker","New Mexico","Sr.","P","6","45.0","3","1","0.750"
"","Caleb Wallingford","Memphis","Jr.","P","7","34.2","3","1","0.750"
"","Mac Acker","Seattle","Sr.","P","5","28.2","3","2","0.600"
"","Tyler Alexander","TCU","Fr.","P","6","33.2","3","2","0.600"
"","Dean Ali","Old Dominion","Sr.","P","12","19.0","3","2","0.600"
"","Kyle Allen","Butler","Jr.","P","10","28.0","3","2","0.600"
"","Scott Baker","Ball St.","Jr.","P","7","33.2","3","2","0.600"
"","Jalen Beeks","Arkansas","Jr.","P","6","34.2","3","2","0.600"
"","Ryan Brockett","St. Mary's (CA)","Sr.","P","6","37.0","3","2","0.600"
"","Chris Carmain","Northeastern","Sr.","P","6","40.1","3","2","0.600"
"","Jordan Carter","Saint Joseph's","Sr.","P","5","31.2","3","2","0.600"
"","Jared Cheek","Georgia","Jr.","P","10","17.1","3","2","0.600"
"","Charlie Dant","Dayton","So.","P","6","41.1","3","2","0.600"
"","Brian Drapeau","LIU Brooklyn","Jr.","P","5","26.1","3","2","0.600"
"","Michael Ellis","FIU","Sr.","P","8","24.1","3","2","0.600"
"","Michael Estevez","Alabama St.","Jr.","P","5","21.1","3","2","0.600"
"","Jordan Foley","Central Mich.","Jr.","P","6","36.2","3","2","0.600"
"","Parker French","Texas","Jr.","P","7","39.0","3","2","0.600"
"","Reed Garrett","VMI","Jr.","P","6","38.0","3","2","0.600"
"","John Gault","Northwestern St.","Jr.","P","6","23.0","3","2","0.600"
"","Alex Godzak","Canisius","So.","P","6","31.2","3","2","0.600"
"","Cody Hamlin","Arizona","So.","P","7","45.0","3","2","0.600"
"","Eric Hanhold","Florida","So.","P","12","22.2","3","2","0.600"
"","Sam Higgs","Western Ky.","Fr.","P","10","16.1","3","2","0.600"
"","Chad Hodges","South Dakota St.","Jr.","P","5","31.0","3","2","0.600"
"","Joey Hoelzel","Wright St.","Sr.","P","6","43.0","3","2","0.600"
"","Sam Howard","Ga. Southern","Jr.","P","6","37.2","3","2","0.600"
"","Chris Huffman","James Madison","Jr.","P","6","42.1","3","2","0.600"
"","Logan Jernigan","North Carolina St.","Jr.","P","6","31.0","3","2","0.600"
"","Kurt Kudrecki","Indiana St.","Sr.","P","6","35.1","3","2","0.600"
"","Scott Kuzminsky","Hawaii","Sr.","P","6","39.0","3","2","0.600"
"","Levi MaVorhis","Kansas St.","So.","P","6","38.0","3","2","0.600"
"","Dillon Mangham","Stephen F. Austin","Jr.","P","7","35.1","3","2","0.600"
"","Zac Manuppelli","USC Upstate","Fr.","P","9","21.1","3","2","0.600"
"","Jordan Montgomery","South Carolina","Jr.","P","6","30.2","3","2","0.600"
"","Danny Mooney","Davidson","Sr.","P","6","33.0","3","2","0.600"
"","Dillon Peters","Texas","Jr.","P","6","40.1","3","2","0.600"
"","Desmond Poulson","BYU","Sr.","P","7","38.2","3","2","0.600"
"","Bobby Poyner","Florida","Jr.","P","11","28.0","3","2","0.600"
"","Cal Quantrill","Stanford","Fr.","P","6","30.0","3","2","0.600"
"","Cole Schaefer","Coastal Caro.","Fr.","P","7","21.2","3","2","0.600"
"","Scott Schultz","Oregon St.","Sr.","P","9","35.0","3","2","0.600"
"","Taylor Shields","Jacksonville St.","Sr.","P","6","31.2","3","2","0.600"
"","Devin Skapura","A&M-Corpus Christi","Fr.","P","7","34.0","3","2","0.600"
"","Jacob Smigelski","UC Riverside","Sr.","P","5","35.2","3","2","0.600"
"","Jordan Smith","Western Caro.","Sr.","P","7","37.1","3","2","0.600"
"","Jake Stalzer","Elon","Jr.","P","6","36.0","3","2","0.600"
"","Thomas Thorpe","Oregon","Jr.","P","6","40.1","3","2","0.600"
"","Paul Voelker","Dallas Baptist","Jr.","P","6","37.2","3","2","0.600"
"","Cole Webb","Valparaiso","Sr.","P","5","32.2","3","2","0.600"
"","Tyler Weekley","Charleston So.","Fr.","P","7","31.2","3","2","0.600"
"","Nick Williams","Tennessee","Sr.","P","6","38.1","3","2","0.600"
"","Bruce Zimmermann","Towson","Fr.","P","6","30.0","3","2","0.600"
"","Keith Zuniga","Bethune-Cookman","Jr.","P","6","42.0","3","2","0.600"
"","Taylor Aikenhead","Bakersfield","Sr.","P","6","38.2","3","3","0.500"
"","Dan Gatto","Delaware","Sr.","P","6","40.0","3","3","0.500"
"","Tyler Herb","Coastal Caro.","Sr.","P","6","35.0","3","3","0.500"
"","Jimmy Herget","South Fla.","So.","P","6","38.2","3","3","0.500"
"","Andrew Istler","Duke","Jr.","P","8","36.1","3","3","0.500"
"","James Kaprielian","UCLA","So.","P","6","39.1","3","3","0.500"
"","Mike Krumm","High Point","Sr.","P","6","36.1","3","3","0.500"
"","Mitchell McQueen","N.C. A&T","Jr.","P","6","34.0","3","3","0.500"
"","Jake Stinnett","Maryland","Sr.","P","6","42.0","3","3","0.500"
"","Joey Strain","Winthrop","So.","P","6","41.0","3","3","0.500"
