"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"71","Chris Morley","Adams St.","So.","OF","25","91","57","0.626"
"72","Sam Cothran","Erskine","So.","OF","24","88","55","0.625"
"","Joe Sickler","Findlay","Sr.","INF","13","48","30","0.625"
"74","Cody Ball","Pittsburg St.","Sr.","OF","24","77","48","0.623"
"75","Spencer Wolfe","Shepherd","Jr.","C","21","69","43","0.623"
"76","Ryan Drew","Palm Beach Atl.","Sr.","3B","21","66","41","0.621"
"77","Hunter Boose","GRU Augusta","So.","C","23","87","54","0.621"
"78","Dylan Tinkler","Central Okla.","Jr.","INF","18","50","31","0.620"
"79","Eric Serra","Wingate","Sr.","OF","28","97","60","0.619"
"80","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","63","0.618"
"","Wes Koenig","St. Edward's","Sr.","1B","29","102","63","0.618"
"82","Graham Ramos","Lander","Sr.","INF","29","115","71","0.617"
"83","Tyler Gaby","King (TN)","Sr.","OF","32","128","79","0.617"
"84","Clayton Miller","Armstrong","Sr.","C","26","107","66","0.617"
"85","Dustin Averett","Columbus St.","Jr.","C","32","125","77","0.616"
"86","Jose Vargas","Urbana","Sr.","OF","12","39","24","0.615"
"","Matt Wilson","Shepherd","Jr.","OF","17","52","32","0.615"
"88","Jordan Brower","Azusa Pacific","Jr.","1B","22","83","51","0.614"
"89","Steven Cooper","Anderson (SC)","So.","INF","31","119","73","0.613"
"90","Austin Botts","Lock Haven","Jr.","C","17","62","38","0.613"
"91","Nick Nunziato","New Haven","So.","SS","6","18","11","0.611"
"92","Joe Petosa","Felician","Sr.","OF","17","59","36","0.610"
"93","Bo Ausmus","Carson-Newman","Jr.","SS","32","123","75","0.610"
"94","Kelvin Brito","Lincoln Memorial","---","RF","28","105","64","0.610"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","105","64","0.610"
"96","Chandler Tracy","Saint Martin's","Jr.","C","21","69","42","0.609"
"97","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","74","45","0.608"
"98","Jordan Lopez","Okla. Christian","Jr.","OF","23","84","51","0.607"
"99","Frank Crinella","Merrimack","So.","INF","15","61","37","0.607"
"100","Derrick Pitts","Lee","Sr.","OF","30","104","63","0.606"
"101","Mike Jurgella","St. Cloud St.","Jr.","C","17","71","43","0.606"
"102","Matt Paculan","Urbana","Jr.","OF","12","43","26","0.605"
"","Jackson Slaid","Montevallo","Sr.","C","30","129","78","0.605"
"104","Brandon Wilson","Lubbock Christian","Fr.","1B","27","96","58","0.604"
"105","Nick Baldelli-Boggs","Stillman","Fr.","P","25","83","50","0.602"
"106","Ryan Degner","Mo. Western St.","Jr.","OF","24","88","53","0.602"
"107","Drew Johnson","Cedarville","Fr.","INF","20","70","42","0.600"
"108","Landon Young","Southwest Baptist","Sr.","INF","24","87","52","0.598"
"109","Tony Piazza","Regis (CO)","Sr.","INF","21","77","46","0.597"
"110","Darryl Baca","Metro St.","Jr.","C","18","62","37","0.597"
"111","Lel Clemmons","Winston-Salem","---","CF","31","111","66","0.595"
"112","R.J. Dennard","Armstrong","Jr.","C","26","101","60","0.594"
"113","Kasey Bielec","Central Wash.","Jr.","INF","21","64","38","0.594"
"114","Chad Balderman","Limestone","Sr.","OF","30","118","70","0.593"
"","Eric Ehlow","Sonoma St.","Jr.","C","18","59","35","0.593"
"116","Paul Winterbottom","Stillman","Jr.","INF","28","98","58","0.592"
"117","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","93","55","0.591"
"118","Tyler Moore","S.C. Aiken","So.","OF","27","122","72","0.590"
"119","TJ Costen","S.C. Aiken","---","3B","28","112","66","0.589"
"120","Trey Kamachi","Dixie St.","Fr.","C","24","73","43","0.589"
"121","Aaron Brill","Felician","Sr.","SS","19","75","44","0.587"
"122","Dex Herrington","Delta St.","Sr.","OF","22","87","51","0.586"
"123","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","94","55","0.585"
"124","Garrett Cook","King (TN)","Sr.","OF","33","118","69","0.585"
"125","Taylor Hinshaw","Georgia College","Sr.","OF","23","84","49","0.583"
"","Zach Hoffman","St. Cloud St.","So.","1B","17","72","42","0.583"
"","Patrick Rients","Southwest Minn. St.","Sr.","INF","20","72","42","0.583"
"","Chance Wolfe","Southwest Baptist","Fr.","OF","22","72","42","0.583"
"129","Jake Murray","Lewis","Sr.","OF","19","67","39","0.582"
"","Ryan Sanders","Notre Dame (OH)","Sr.","OF","18","67","39","0.582"
"131","Brad Wilson","Central Mo.","Sr.","OF","25","88","51","0.580"
"132","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","107","62","0.579"
"133","Carver Rademacher","Southern Ark.","So.","1B","31","126","73","0.579"
"134","Paul Trenhaile","Truman","Jr.","1B","17","57","33","0.579"
"135","Clay Ardeeser","Georgia College","Jr.","INF","24","102","59","0.578"
"136","David Armendariz","Cal Poly Pomona","---","LF","26","109","63","0.578"
"137","Ben Schmucker","UNC Pembroke","Jr.","OF","30","125","72","0.576"
"138","Garrett Donohoe","East Central","Jr.","INF","29","99","57","0.576"
"139","Colby Painter","Lander","Jr.","INF","24","80","46","0.575"
"140","Zach DeCamp","Lake Erie","So.","INF","16","49","28","0.571"
"","Lucas Raley","Lake Erie","---","LF","16","56","32","0.571"
"142","T.J. Wharton","Catawba","Jr.","C","28","107","61","0.570"
"143","Chris Faulkner","Southwestern Okla.","Sr.","OF","25","86","49","0.570"
"","Brody Miller","Mont. St. Billings","Jr.","INF","24","86","49","0.570"
"145","Nick Thimesch","Drury","Sr.","OF","17","65","37","0.569"
"146","Cliff Brantley","Adelphi","Jr.","OF","15","58","33","0.569"
"147","Zach Santos","Shorter","---","SS","28","102","58","0.569"
"148","Fernando Tanaka","Stillman","Jr.","INF","29","95","54","0.568"
"149","Marshall Vallandingham","Lindenwood (MO)","Sr.","OF","23","74","42","0.568"
"150","Rich Baerga","St. Thomas Aquinas","Jr.","OF","15","60","34","0.567"
"","Roman Gammell","Urbana","So.","P","11","30","17","0.567"
"","Brendan O'Reilly","New Haven","Jr.","OF","7","30","17","0.567"
"153","Andrew Brodbeck","Flagler","Jr.","INF","29","122","69","0.566"
"154","Brandon Benson","Georgia College","---","PR","20","62","35","0.565"
"155","Jake Sandlin","Georgia College","Jr.","INF","25","94","53","0.564"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","94","53","0.564"
"157","Tyler Raymond","King (TN)","Jr.","OF","30","87","49","0.563"
"158","Michael Wilson","Francis Marion","Sr.","INF","28","112","63","0.563"
"159","David Jacob","Quincy","Fr.","OF","12","41","23","0.561"
"160","Nate Witkowski","Bentley","Sr.","INF","13","50","28","0.560"
"161","Heath Comerford","Tusculum","---","1B","26","84","47","0.560"
"162","Jon Kennedy","Nyack","Jr.","OF","11","43","24","0.558"
"163","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","53","0.558"
"164","Josh Hampton","Wilmington (DE)","Sr.","3B","15","52","29","0.558"
"165","Drew Cole","UNC Pembroke","Jr.","INF","30","122","68","0.557"
"","Weston Lawing","Lander","Jr.","OF","29","122","68","0.557"
"","Ben Stewart","Lincoln (MO)","Sr.","INF","20","61","34","0.557"
"168","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","79","44","0.557"
"169","David Chew","Mo. Western St.","Sr.","OF","24","90","50","0.556"
"","David Marcus","California (PA)","So.","INF","18","54","30","0.556"
"","Payton Reed","Drury","Jr.","1B","17","63","35","0.556"
"","Austin Wulf","Northwest Mo. St.","Fr.","OF","23","81","45","0.556"
"173","Randy Tallhamer","Fairmont St.","Jr.","1B","17","56","31","0.554"
"174","Caden Cleveland","Okla. Christian","Jr.","C","19","47","26","0.553"
"175","Michael Danner","Tampa","Sr.","OF","26","85","47","0.553"
"176","Raymond Crawford","Winston-Salem","Jr.","INF","30","114","63","0.553"
"","Alex Wojciechowski","Minn. Duluth","So.","P","12","38","21","0.553"
"178","Tyler Cameron","Southern Ark.","Sr.","INF","31","125","69","0.552"
"179","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","87","48","0.552"
"","Skyler Wenninger","Minn. Duluth","Fr.","INF","11","29","16","0.552"
"181","Daniel Fraga","UNC Pembroke","Sr.","INF","30","127","70","0.551"
"182","Chase Corn","Erskine","Sr.","OF","26","98","54","0.551"
"183","Cody Fox","Carson-Newman","Jr.","OF","31","109","60","0.550"
"184","Hunter Newman","Trevecca Nazarene","So.","1B","25","100","55","0.550"
"185","Andres Vazquez","Palm Beach Atl.","Jr.","INF","22","71","39","0.549"
"186","Mike Vavasis","Eckerd","Sr.","OF","24","82","45","0.549"
"187","Cody Herald","Seton Hill","Jr.","INF","23","73","40","0.548"
"188","Blake Massey","Ala.-Huntsville","Sr.","INF","29","106","58","0.547"
"189","Garrett Fischer","St. Cloud St.","Sr.","OF","17","64","35","0.547"
"190","George Buteau","Saint Michael's","Jr.","1B","6","22","12","0.545"
"","Johnathon Cruz","Dowling","Jr.","OF","19","77","42","0.545"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","110","60","0.545"
"","Alex Fink","Augustana (SD)","So.","INF","18","66","36","0.545"
"","Damin Muth","Bloomsburg","Fr.","C","15","44","24","0.545"
"195","Drew Wold","Adams St.","Sr.","OF","25","90","49","0.544"
"196","Sean O'Brien","Tampa","Sr.","1B","25","79","43","0.544"
"197","Ben Albano","Lewis","Sr.","OF","19","68","37","0.544"
"198","Brian Maynard","Saint Rose","Sr.","OF","14","35","19","0.543"
"","Jackson Oliver","Columbus St.","So.","OF","32","140","76","0.543"
"200","Dean Long","Emporia St.","Jr.","INF","25","83","45","0.542"
