"Rank","Name","Team","Cl","Pos","G","R"
"","Ross Kivett","Kansas St.","Sr.","INF","23","22"
"","Nick Lacik","Liberty","Sr.","OF","25","22"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","22"
"","Michael Massi","Mercer","Sr.","INF","25","22"
"","Mike Papi","Virginia","Jr.","OF","22","22"
"","Chad Prain","Georgia St.","Sr.","INF","24","22"
"","Daniel Salters","Dallas Baptist","So.","C","23","22"
"","Zach Stephens","Tennessee Tech","Sr.","1B","24","22"
"","Michael Suchy","FGCU","Jr.","OF","24","22"
"","Trea Turner","North Carolina St.","Jr.","INF","22","22"
"","Jude Vidrine","Lamar","Sr.","OF","25","22"
"","Conor Welton","Georgia","Jr.","OF","25","22"
"","T.J. White","UNLV","Jr.","INF","22","22"
"","Tim Wise","Cal Poly","Sr.","OF","23","22"
"","Mark Zagunis","Virginia Tech","Jr.","C","22","22"
"101","Drew Adams","Lipscomb","Sr.","OF","25","21"
"","Greg Allen","San Diego St.","Jr.","OF","23","21"
"","Jonathan Allison","Lipscomb","Jr.","OF","24","21"
"","Colt Atwood","Sam Houston St.","Jr.","OF","24","21"
"","Sean Beesley","Illinois St.","So.","OF","21","21"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","21"
"","Forrest Brandt","Davidson","Sr.","OF","20","21"
"","Joe Chavez","UC Riverside","Jr.","INF","20","21"
"","Shane Conlon","Kansas St.","Jr.","INF","23","21"
"","Jon Crucitti","Army","Sr.","OF","20","21"
"","Joey Cujas","VCU","Sr.","INF","23","21"
"","Mitch Gasbarro","Eastern Ill.","So.","INF","19","21"
"","Chase Griffin","Ga. Southern","Jr.","C","25","21"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","21"
"","Gunnar Heidt","Col. of Charleston","Jr.","INF","22","21"
"","Josh Johnson","Bethune-Cookman","Sr.","OF","25","21"
"","Louie Lechich","San Diego","Sr.","P","23","21"
"","Ryan Leonards","La.-Lafayette","Sr.","SS","24","21"
"","Mark Lumpa","Duke","Sr.","OF","24","21"
"","Will Maddox","Tennessee","Jr.","INF","23","21"
"","Spencer Mahoney","Valparaiso","Jr.","INF","18","21"
"","Richie Martin","Florida","So.","INF","24","21"
"","Seth Neely","Wofford","Sr.","INF","24","21"
"","Brian O'Grady","Rutgers","Sr.","OF","20","21"
"","Sam Ott","Eastern Mich.","Sr.","OF","19","21"
"","Scott Price","Tennessee","Sr.","1B","23","21"
"","Brandon Rawe","Morehead St.","Jr.","OF","23","21"
"","Logan Regnier","Central Mich.","So.","OF","23","21"
"","Nick Regnier","Central Mich.","Jr.","OF","23","21"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","21"
"","Aaron Scoville","Radford","Sr.","OF","22","21"
"","Micheal Thomas","Kentucky","Sr.","C","22","21"
"","Damek Tomscha","Auburn","Sr.","INF","24","21"
"","Nick Vilter","UC Riverside","Jr.","3B","20","21"
"","Nelson Ward","Georgia","Jr.","INF","25","21"
"","Mike Wesolowski","Dallas Baptist","Sr.","INF","23","21"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","21"
"","Tim Zier","San Diego St.","Sr.","INF","23","21"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","21"
"140","Brett Austin","North Carolina St.","Jr.","C","21","20"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","20"
"","Kyle Brooks","North Florida","So.","INF","23","20"
"","James Bunn","VCU","So.","OF","17","20"
"","Michael Conforto","Oregon St.","Jr.","OF","24","20"
"","Jace Conrad","La.-Lafayette","Jr.","2B","24","20"
"","Ryan Coppinger","Canisius","Sr.","OF","18","20"
"","Tanner Dearman","Wichita St.","So.","INF","21","20"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","20"
"","Josh Gardiner","Radford","Jr.","INF","22","20"
"","Trent Gilbert","Arizona","Jr.","INF","26","20"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","20"
"","Grayson Greiner","South Carolina","Jr.","C","22","20"
"","Todd Hagen","Savannah St.","Sr.","INF","20","20"
"","Tyler Hibbert","FIU","Sr.","OF","24","20"
"","Mac James","Oklahoma","Jr.","C","24","20"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","20"
"","Austin Listi","Dallas Baptist","So.","INF","23","20"
"","Nick Lombardo","SIU Edwardsville","Jr.","OF","21","20"
"","Hector Lorenzana","Oklahoma","Sr.","INF","25","20"
"","Adam Martin","Western Caro.","Sr.","C","21","20"
"","Kyle Martin","South Carolina","Jr.","1B","22","20"
"","Jacoby Middleton","Lamar","Jr.","OF","25","20"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","20"
"","Aaron Nardone","Delaware St.","Sr.","OF","19","20"
"","Kevin Newman","Arizona","So.","INF","26","20"
"","Jesse Puscheck","Canisius","Jr.","INF","20","20"
"","Cody Ramer","Arizona","So.","INF","26","20"
"","Mason Robbins","Southern Miss.","Jr.","OF","24","20"
"","Al Robbins","South Dakota St.","Jr.","INF","22","20"
"","Kyle Schwarber","Indiana","Jr.","C","21","20"
"","Kal Simmons","Kennesaw St.","So.","SS","27","20"
"","Tyler Slaton","Clemson","Jr.","OF","23","20"
"","Blake Trahan","La.-Lafayette","So.","INF","24","20"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","20"
"","Drew Weeks","North Florida","Jr.","OF","23","20"
"176","Devan Ahart","Akron","Jr.","OF","19","19"
"","Tyson Ashcraft","Lipscomb","Jr.","INF","25","19"
"","Austin Bailey","San Diego","Jr.","INF","23","19"
"","Cole Bieser","Southeast Mo. St.","Sr.","OF","23","19"
"","Kent Blackstone","New Mexico St.","So.","INF","23","19"
"","Garrett Boulware","Clemson","Jr.","C","23","19"
"","Eric Brenk","Wofford","Sr.","INF","24","19"
"","Connor Bright","South Carolina","Jr.","INF","22","19"
"","Jacob Bruce","Kennesaw St.","Jr.","OF","26","19"
"","Blake Butler","Col. of Charleston","So.","INF","23","19"
"","Ryan Cleveland","Ga. Southern","Fr.","INF","24","19"
"","Landon Curry","Indiana St.","Jr.","OF","20","19"
"","Matt Dacey","Richmond","So.","INF","18","19"
"","David Daniels","Davidson","Jr.","INF","20","19"
"","Drew Ferguson","Belmont","Jr.","OF","23","19"
"","Jameson Fisher","Southeastern La.","So.","C","23","19"
"","Kyle Grimm","Seton Hall","Jr.","INF","19","19"
"","Chase Harris","New Mexico","Sr.","OF","25","19"
"","Ryan Hill","N.C. A&T","Jr.","OF","22","19"
"","Caleb Howell","Eastern Ill.","Jr.","OF","23","19"
"","Bobby Ison","Charleston So.","Jr.","OF","25","19"
"","Dustin Jones","Arkansas St.","Sr.","INF","23","19"
"","Brett Knief","Florida St.","Sr.","OF","23","19"
"","Doug Kraeger","Richmond","So.","INF","21","19"
"","Tyler Langley","Central Ark.","So.","OF","22","19"
"","Braxton Lee","Ole Miss","Jr.","OF","25","19"
"","Jordan Lee","A&M-Corpus Christi","Jr.","OF","25","19"
"","Alex Liquori","Kennesaw St.","So.","OF","25","19"
"","Zach Lucas","Louisville","Jr.","INF","23","19"
"","Tripp Martin","Samford","Jr.","INF","23","19"
"","Kewby Meyer","Nevada","Jr.","INF","23","19"
"","Einar Muniz","Alabama St.","Jr.","INF","29","19"
"","John Nogowski","Florida St.","Jr.","1B","23","19"
"","Evan Ocello","Holy Cross","Jr.","OF","19","19"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","19"
"","Rj Perucki","UTSA","Sr.","INF","24","19"
"","Andy Peterson","Oregon St.","Sr.","INF","24","19"
"","Dexter Price","Alabama St.","Sr.","INF","29","19"
"","Mattingly Romanin","Chicago St.","Jr.","INF","19","19"
"","John Sansone","Florida St.","So.","INF","23","19"
"","Nick Senzel","Tennessee","Fr.","INF","22","19"
"","Ben Slaton","Old Dominion","Sr.","OF","24","19"
"","Evan Stephens","Wake Forest","Sr.","OF","25","19"
"","Christin Stewart","Tennessee","So.","OF","23","19"
"","Michael Strentz","La.-Lafayette","Jr.","C","23","19"
"","Robby Sunderman","Dayton","Sr.","INF","21","19"
"","Matt Tellor","Southeast Mo. St.","Sr.","1B","23","19"
"","Spencer Thornton","San Diego St.","So.","OF","21","19"
"","Ka'Ai Tom","Kentucky","So.","OF","18","19"
"","Eric Toole","Iowa","Jr.","OF","20","19"
"","Zack Weigel","Seton Hall","So.","OF","19","19"
"","Trent Woodward","Fresno St.","Jr.","C","24","19"
"","Taylor Zeutenhorst","Iowa","Sr.","OF","20","19"
"229","Cody Acker","VCU","So.","OF","23","18"
"","Caleb Adams","La.-Lafayette","Jr.","OF","23","18"
"","Sal Annunziata","Seton Hall","Jr.","INF","19","18"
"","Nick Backlund","Mercer","Sr.","1B","25","18"
"","Garrett Bayliff","Wichita St.","Sr.","OF","22","18"
"","Nathan Becker","Davidson","Jr.","OF","17","18"
"","Braden Bishop","Washington","So.","OF","22","18"
"","Michael Bishop","Jacksonville St.","Sr.","OF","21","18"
"","Jose Brizuela","Florida St.","Jr.","INF","23","18"
"","Heath Burton","Furman","Sr.","OF","24","18"
"","Richard Carthon","Tulane","So.","OF","23","18"
"","Kevin Casey","William & Mary","Sr.","INF","22","18"
"","John Coen","Ill.-Chicago","Sr.","INF","18","18"
"","Leighton Daniels","Winthrop","Sr.","SS","23","18"
"","Paul DeJong","Illinois St.","So.","INF","20","18"
"","Garrett Deschamp","Tulane","Jr.","INF","23","18"
"","Steven Duggar","Clemson","So.","OF","23","18"
"","Tyler Filliben","Samford","Jr.","INF","22","18"
"","David Fletcher","Loyola Marymount","Fr.","INF","24","18"
"","Jordan Frabasillo","Pittsburgh","Jr.","INF","22","18"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","18"
"","Sean Godfrey","Ball St.","Sr.","OF","24","18"
"","Chris Godinez","Bradley","So.","INF","17","18"
"","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","18"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","18"
"","Joey Havrilak","Akron","Jr.","OF","20","18"
"","Dalton Hewitt","Southeast Mo. St.","Jr.","C","23","18"
"","Tim Hoehn","William & Mary","Fr.","INF","22","18"
"","Demetrius Jennings","Wofford","So.","INF","24","18"
"","Cody Jones","Western Caro.","Sr.","OF","22","18"
"","Kavin Keyes","Oregon St.","Sr.","INF","24","18"
"","David Kimbrough","Delaware St.","Jr.","INF","15","18"
"","Tanner Krietemeier","Oklahoma St.","Sr.","1B","23","18"
"","Zach Lauricella","St. John's (NY)","Jr.","OF","23","18"
"","Alexander Lee","Radford","Sr.","INF","20","18"
"","Andy Lennington","Southeast Mo. St.","Jr.","SS","23","18"
"","Pete Leonello","LIU Brooklyn","Sr.","OF","18","18"
"","Jake Little","Memphis","So.","INF","23","18"
"","Derek Lowe","William & Mary","Sr.","OF","19","18"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","18"
"","Vimael Machin","VCU","Jr.","INF","23","18"
"","Jake Mangler","Iowa","Jr.","INF","20","18"
"","Chris Marconcini","Duke","Jr.","INF","25","18"
"","Tommy Mirabelli","Kansas","So.","INF","21","18"
"","Aaron Mizell","Ga. Southern","Jr.","OF","23","18"
"","Dylan Moore","UCF","Jr.","INF","25","18"
"","Alex Perez","Virginia Tech","Jr.","INF","22","18"
"","Ashton Perritt","Liberty","Jr.","P","25","18"
"","Luke Plucheck","Sam Houston St.","Sr.","OF","24","18"
"","Frankie Ratcliff","Houston","Sr.","INF","23","18"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","18"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","18"
"","Jake Rowland","Tennessee Tech","So.","OF","24","18"
"","Bryan Soloman","Eastern Ky.","Sr.","INF","23","18"
"","Dykota Spiess","Western Caro.","Sr.","INF","21","18"
"","Michael Sterling","Southern Miss.","Jr.","INF","21","18"
"","Francisco Tellez","UC Riverside","So.","1B","20","18"
"","Nick Torres","Cal Poly","Jr.","OF","23","18"
"","Leo Vargas","Nicholls St.","Sr.","INF","25","18"
"","Jake Welch","Southern Ill.","Sr.","INF","22","18"
"","Boomer White","TCU","So.","C","23","18"
"","Brock Whitney","BYU","Sr.","1B","25","18"
"","Matt Williams","McNeese St.","Sr.","OF","21","18"
"","Luke Wurzelbacher","Eastern Ky.","So.","INF","23","18"
