"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"55","Joshua Herzenberg","SUNY Oneonta","Jr.","P","8","50.3","8","1.43"
"56","Chris Crutcher","Keene St.","So.","P","9","44.0","7","1.43"
"57","Matt Frey","Otterbein","So.","P","9","50.0","8","1.44"
"58","Nick Mehn","Ill. Wesleyan","So.","P","9","43.7","7","1.44"
"59","Sam Shipman","Alma","Sr.","P","8","49.7","8","1.45"
"60","Mike Schypinski","Albion","So.","P","9","61.7","10","1.46"
"61","Andrew Bunger","Elms","Jr.","P","14","43.0","7","1.47"
"","Matt Paz","Purchase St.","So.","P","8","43.0","7","1.47"
"63","Kyle Smith","Brockport","Sr.","P","9","67.3","11","1.47"
"64","Robby Boyd","Wilmington (OH)","Sr.","P","9","36.7","6","1.47"
"","Bryce Gapinski","St. Thomas (MN)","Jr.","P","7","36.7","6","1.47"
"66","Steve Skarsten","Ohio Wesleyan","So.","P","13","42.3","7","1.49"
"67","Eric Rohe","Carthage","Jr.","P","7","48.3","8","1.49"
"68","Karl Alexander","Bates","Jr.","P","9","48.0","8","1.50"
"","Shawn Mattingly","Franklin","Jr.","P","9","54.0","9","1.50"
"70","Alex Cultice","Kenyon","Sr.","INF","8","53.3","9","1.52"
"","Gary Levesque","Rhode Island Col.","Sr.","DH","10","53.3","9","1.52"
"72","Kevin Mathews","Stevens","So.","P","10","47.3","8","1.52"
"73","Ford Coates","Rivier","So.","INF","10","41.0","7","1.54"
"74","Shane Campbell","Mass.-Dartmouth","Sr.","P","8","52.7","9","1.54"
"75","Andy Rosenzweig","York (PA)","Sr.","P","12","64.0","11","1.55"
"76","Adam Painter","Earlham","Sr.","P","14","75.3","13","1.55"
"77","David Hoey","Rhode Island Col.","So.","P","10","52.0","9","1.56"
"78","Kevin Chandler","Bridgewater (VA)","Jr.","P","13","75.0","13","1.56"
"79","Chris Torgerson","Willamette","Sr.","P","11","63.3","11","1.56"
"80","Jon Harasin","Moravian","Fr.","P","8","51.7","9","1.57"
"81","Michael Haslam","Roanoke","So.","P","16","57.3","10","1.57"
"82","Ron Esposito","Catholic","Sr.","P","10","63.0","11","1.57"
"83","Nathan Adams","Husson","Jr.","P","11","74.3","13","1.57"
"84","David Parr","Elmhurst","Fr.","P","10","40.0","7","1.58"
"85","Tyler Erickson","Castleton","Jr.","P","11","62.0","11","1.60"
"86","Eric Lewis","TCNJ","Jr.","P","8","50.7","9","1.60"
"87","Kyle Conklin","Gettysburg","Sr.","P","7","39.3","7","1.60"
"","Trevor Koehn","Edgewood","Fr.","P","7","39.3","7","1.60"
"89","Joe Benkert","St. Joseph's (L.I.)","Sr.","P","9","50.3","9","1.61"
"90","David Trushel","Wash. & Jeff.","Jr.","P","10","44.7","8","1.61"
"91","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","12","1.61"
"92","Dylan Papa","Montclair St.","Fr.","P","12","50.0","9","1.62"
"93","Nathan Ellis","Franklin","Jr.","P","10","61.0","11","1.62"
"","Nick Laracuente","Skidmore","Sr.","P","9","61.0","11","1.62"
"95","Derrick Pankow","Concordia (WI)","Sr.","P","10","60.7","11","1.63"
"96","Max Knowles","N.C. Wesleyan","Sr.","P","12","81.7","15","1.65"
"97","Ben Hendrickson","Shenandoah","Sr.","P","10","49.0","9","1.65"
"98","Mason Farr","Ohio Wesleyan","Jr.","P","11","54.3","10","1.66"
"99","Dan Johanson","Pacific Lutheran","Sr.","OF","12","64.7","12","1.67"
"100","Chris Phelan","Farmingdale St.","Jr.","P","11","69.7","13","1.68"
"","Andrew Webb","N.C. Wesleyan","Sr.","P","12","69.7","13","1.68"
"102","James Simmons","Hardin-Simmons","Jr.","P","20","42.7","8","1.69"
"103","Riley Tincher","Wis.-Whitewater","Sr.","P","10","64.0","12","1.69"
"104","Dustin Herbert","Salisbury","Sr.","P","10","58.3","11","1.70"
"","Zach Kreke","Waynesburg","Fr.","P","8","47.7","9","1.70"
"106","Stephen Sitterly","Aurora","Jr.","P","9","37.0","7","1.70"
"107","Taylor Bugh","Transylvania","Jr.","P","11","52.3","10","1.72"
"108","Matt Schimpf","Texas-Tyler","Sr.","P","11","73.0","14","1.73"
"109","David Partyka","Adrian","Sr.","P","10","57.3","11","1.73"
"110","Tyler Erickson","Ozarks (AR)","Fr.","P","12","62.0","12","1.74"
"111","Kris Edwards","St. Thomas (MN)","Sr.","P","13","46.3","9","1.75"
"112","Eric Rehbein","Mary Washington","Sr.","INF","11","66.7","13","1.75"
"113","Michael Mahay","SUNY Cortland","Sr.","P","9","51.3","10","1.75"
"114","David Drinks","DeSales","So.","P","14","61.0","12","1.77"
"115","Joseph Lucas","Bridgewater (VA)","So.","P","13","86.3","17","1.77"
"116","Matt Rogers","Western New Eng.","Sr.","P","12","65.7","13","1.78"
"117","Michael Helbig","Randolph-Macon","So.","INF","12","75.7","15","1.78"
"118","Todd Spadaro","Muskingum","Jr.","P","18","35.3","7","1.78"
"119","Albert Baez","Purchase St.","Sr.","P","9","55.3","11","1.79"
"120","Andy Lowe","Heidelberg","Sr.","P","24","45.0","9","1.80"
"","Byron Minnich","Cal Lutheran","Jr.","P","24","40.0","8","1.80"
"122","Nolan Corr","Wheaton (MA)","Jr.","P","9","54.3","11","1.82"
"","Zachary Weiner","Yeshiva","Sr.","P","13","54.3","11","1.82"
"124","James McNamara","Anna Maria","Sr.","P","9","49.3","10","1.83"
"","Devin Rhodes","Southern Vt.","Fr.","P","8","49.3","10","1.83"
"126","Kevin Caldwell","Piedmont","So.","P","13","88.7","18","1.83"
"127","Andy Dlugosz","Fredonia St.","Sr.","1B","14","39.3","8","1.83"
"128","Errick Maddern","Becker","Sr.","P","8","49.0","10","1.84"
"129","Justin Broach","Earlham","So.","P","12","58.7","12","1.84"
"130","Jon Simpher","Westminster (MO)","Sr.","P","10","44.0","9","1.84"
"131","Alexander Mason","Manhattanville","Sr.","P","11","48.7","10","1.85"
"","Ryan Ullmann","Concordia (TX)","So.","P","16","48.7","10","1.85"
"133","Corey Murphy","Old Westbury","Fr.","-","9","62.7","13","1.87"
"134","Danny Detmar","Hope","Jr.","P","8","43.3","9","1.87"
"","Brenden Schulz","Concordia Chicago","Fr.","P","7","43.3","9","1.87"
"136","Alex Ingram","Macalester","Sr.","P","10","47.7","10","1.89"
"","Joe Lovizio","Vassar","Fr.","P","8","47.7","10","1.89"
"138","Grant Henricksen","Beloit","So.","P","8","38.0","8","1.89"
"","Glenn Nowell","Edgewood","Jr.","P","8","38.0","8","1.89"
"","Luke Probasco","Buena Vista","Sr.","P","9","57.0","12","1.89"
"141","David Cydrus","Otterbein","So.","P","10","47.3","10","1.90"
"142","Steve Oehlschlaeger","Eastern Nazarene","Sr.","P","9","52.0","11","1.90"
"143","Dustin Andrus","Marian (WI)","Sr.","P","7","37.7","8","1.91"
"144","Scott Wall","Pacific Lutheran","Sr.","P","11","75.3","16","1.91"
"145","Grant Lewis","Thomas More","So.","P","9","47.0","10","1.91"
"","Mike Victory","St. Mary's (MD)","Jr.","P","11","51.7","11","1.91"
"","Luke Westphal","Wis.-Oshkosh","Jr.","P","6","42.3","9","1.91"
"148","Hunter Chandler","Rhodes","Sr.","P","22","61.0","13","1.92"
"149","Tyler Dierke","Kenyon","So.","P","10","56.3","12","1.92"
"","Wendell Rodriguez","New Jersey City","So.","P","10","56.3","12","1.92"
"","Jim Bob Schuler","Rose-Hulman","Jr.","P","11","56.3","12","1.92"
