"Rank","Name","Team","Cl","Pos","G","SH"
"","Ross Gonsalves","Cal St. Stanislaus","So.","INF","27","4"
"","Michael Goodwin","Northwood (MI)","Sr.","2B","35","4"
"","Martin Gordon","Francis Marion","Sr.","OF","31","4"
"","Lukas Graves","Tusculum","Jr.","OF","41","4"
"","Jowan Gray","S.C. Aiken","Jr.","OF","39","4"
"","Carlos Guzman","Molloy","Fr.","OF","45","4"
"","Scott Hackett","Stonehill","Sr.","3B","43","4"
"","Brian Hansen","St. Cloud St.","So.","OF","41","4"
"","Carter Haponski","Slippery Rock","Jr.","OF","44","4"
"","Dalton Hardee","Mars Hill","Sr.","INF","42","4"
"","Ryan Hathaway","Charleston (WV)","Jr.","OF","42","4"
"","Steven Helget","Minn. St. Mankato","Sr.","C","39","4"
"","Justin Henry","Northwest Nazarene","Fr.","-","26","4"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","4"
"","Nate Hewes","Augustana (SD)","So.","INF","43","4"
"","Kyle Hitchens","Wilmington (DE)","Jr.","P","24","4"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","4"
"","Andrew Holt","Ill.-Springfield","Fr.","C","34","4"
"","Taylor Honeycutt","Wingate","Sr.","C","48","4"
"","Dack Howard","East Central","Sr.","OF","44","4"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","4"
"","Jordan Inamasu","Hawaii Pacific","So.","C","30","4"
"","Josh Jones","Lock Haven","Fr.","3B","24","4"
"","Brett Julian","Merrimack","So.","P","35","4"
"","Taylor Kaprive","Palm Beach Atl.","So.","3B","41","4"
"","Warren Kelly","Queens (NY)","So.","OF","39","4"
"","Cody Kempker","Lincoln (MO)","Jr.","INF","34","4"
"","Duane Kiyota","Mary","Jr.","OF","22","4"
"","Sach Korymann","Mo. Western St.","Fr.","INF","30","4"
"","Brian Kraminitz","Pace","Sr.","C","19","4"
"","Jake Kretzer","Northwest Mo. St.","So.","OF","45","4"
"","Shane Kroker","Cal St. Chico","Jr.","INF","38","4"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","4"
"","Brett Lechner","Northwood (MI)","Sr.","INF","33","4"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","4"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","4"
"","Travis Lites","Angelo St.","Sr.","OF","38","4"
"","Kris Long","Concordia-St. Paul","Jr.","OF","28","4"
"","Scott Lundblad","Washington Adventist","Jr.","OF","16","4"
"","Taylor Lyons","Cameron","Jr.","OF","29","4"
"","Andy Marinelli","West Ga.","Fr.","-","48","4"
"","Robert Marsh","Findlay","Sr.","INF","41","4"
"","Clay Martin","Barton","So.","C","29","4"
"","Jon Massad","Southern N.H.","So.","2B","36","4"
"","Rob Maxwell","Christian Bros.","Jr.","3B","43","4"
"","Paul Maza","American Int'l","Sr.","INF","26","4"
"","John Mazur","Florida Tech","So.","OF","16","4"
"","Matt Mccamley","Lock Haven","Sr.","OF","39","4"
"","Kyle Meadows","Southwestern Okla.","Jr.","OF","34","4"
"","Clayton Miller","Armstrong","Fr.","C","43","4"
"","Juan Molero","Bemidji St.","Jr.","OF","30","4"
"","Victor Monteagudo","Felician","Jr.","C","42","4"
"","Gene Stewart Moody","Tuskegee","Fr.","P","33","4"
"","Jared Mothershed","North Ala.","Sr.","OF","43","4"
"","Joe Mullin","Chestnut Hill","Fr.","C","23","4"
"","Chad Nader","Coker","So.","OF","38","4"
"","Max Newman","Hawaii Pacific","Jr.","INF","23","4"
"","Eddie Newton","Merrimack","Fr.","INF","28","4"
"","Aj Nunziato","Lander","Jr.","INF","47","4"
"","Steve Ockerman","Western Ore.","Jr.","OF","19","4"
"","Jordan Ollenberger","Newman","Fr.","C","32","4"
"","Felix Orsio","Post","Sr.","OF","25","4"
"","Ivan Otsuka","San Fran. St.","Jr.","OF","39","4"
"","Jeremy Peed","Limestone","Jr.","P","36","4"
"","Will Percy","Flagler","Jr.","2B","40","4"
"","Ethan Perla","Palm Beach Atl.","Fr.","OF","34","4"
"","Mark Perry","USciences","Sr.","INF","33","4"
"","Boone Plager","Washburn","Jr.","INF","41","4"
"","Joel Potts","Drury","Sr.","3B","45","4"
"","null R. Mejia","Adelphi","Fr.","-","56","4"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","4"
"","Frank Rawdow","Saint Leo","So.","3B","30","4"
"","Esteban Raygoza","St. Mary's (TX)","Jr.","SS","39","4"
"","Kevin Rea","Eckerd","Jr.","INF","31","4"
"","Tyler Reboulet","Mars Hill","Jr.","INF","34","4"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","4"
"","Renix Renix","LeMoyne-Owen","Fr.","-","25","4"
"","Glen Reser","Central Wash.","Fr.","-","39","4"
"","Al Robbins","Ill.-Springfield","Fr.","INF","40","4"
"","Michael Robbins","Winston-Salem","Jr.","C","49","4"
"","John Roberts","Armstrong","Jr.","C","46","4"
"","Lance Rorex","Carson-Newman","Jr.","2B","46","4"
"","Andy Rubal","Pitt.-Johnstown","Sr.","OF","40","4"
"","Caleb Saggus","Augusta St.","Jr.","OF","47","4"
"","Joe Santos","Merrimack","Jr.","1B","29","4"
"","Kyle Saul","UC San Diego","Sr.","C","45","4"
"","Colton Schoelkopf","Colorado Mesa","Fr.","C","37","4"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","4"
"","Brandon Schwanz","Saginaw Valley","Fr.","-","25","4"
"","Cody Shelton","Wingate","Fr.","INF","48","4"
"","Ryan Shelton","Colorado Mesa","Sr.","OF","34","4"
"","Walton Shepherd","Lenoir-Rhyne","Fr.","INF","37","4"
"","J.C. Shepherd","Bluefield St.","Jr.","OF","35","4"
"","Caleb Shore","Belmont Abbey","Jr.","OF","36","4"
"","Matt Simone","C.W. Post","So.","C","36","4"
"","James Simpson","Felician","Jr.","INF","43","4"
"","Nash Smith","Fort Hays St.","Jr.","OF","32","4"
"","Billy Smith","West Virginia St.","So.","OF","33","4"
"","Tyler Smith","Mount Olive","Sr.","C","31","4"
"","Zach Smith","Erskine","Fr.","INF","51","4"
"","Courtney Spitz","Drury","Sr.","C","35","4"
"","Steven Sterlacci","Pace","Jr.","C","27","4"
"","Brad Stoudt","Kutztown","Jr.","OF","32","4"
"","Rudy Strnad","Regis (CO)","Fr.","SS","21","4"
"","Blake Stroth","North Ala.","Sr.","INF","42","4"
"","Danny Susdorf","UC San Diego","So.","OF","46","4"
"","Robert Tavone","Urbana","Fr.","C","25","4"
"","Garrett Tuck","UC San Diego","Fr.","SS","45","4"
"","Harry Turney","Oakland City","Sr.","OF","29","4"
"","Marcus Uechi","Abilene Christian","So.","INF","34","4"
"","Chris Vazquez","Wingate","Jr.","SS","52","4"
"","null Vernesoni","Fairmont St.","Fr.","-","25","4"
"","Emilio Villanueva","Drury","Fr.","OF","39","4"
"","Andy Vogel","Newberry","So.","INF","50","4"
"","Jamison Walck","Slippery Rock","So.","3B","41","4"
"","Jarred Wallace","Colorado Mines","Sr.","C","42","4"
"","Nate Wallen","Central Wash.","Fr.","-","38","4"
"","Brad Wannemuehler","Southern Ind.","Fr.","OF","31","4"
"","William Ward","Chowan","So.","OF","44","4"
"","Andrew Welch","Indiana (PA)","Jr.","OF","34","4"
"","Gary Williams","West Va. Wesleyan","Sr.","SS","35","4"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","4"
"","Gino Wise","Bloomsburg","Sr.","OF","29","4"
"","Clint Wobbe","Missouri S&T","Fr.","INF","29","4"
"","Joshua Wong","Hawaii Hilo","So.","INF","39","4"
"","Thomas Wood","San Fran. St.","Jr.","2B","37","4"
"","Scott Woodburn","Ky. Wesleyan","Sr.","C","25","4"
"","Dylan Woodworth","Mansfield","So.","OF","34","4"
"","Austin Wooldridge","Tex. Permian Basin","Sr.","C","32","4"
"","Paul Young","Grand Valley St.","Sr.","OF","39","4"
"","null Young","Southwest Baptist","Fr.","-","42","4"
"","Blake Youngblood","Assumption","Sr.","OF","42","4"
"","David Zavala","Northeastern St.","Sr.","OF","36","4"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","4"
