"Rank","Name","Team","Cl","Pos","G","BB"
"","Steven Filippi","Sonoma St.","Jr.","OF","44","28"
"","Jeremiah Gandy","Shaw","Fr.","OF","32","28"
"","Nick Gumm","Ark.-Fort Smith","Jr.","SS","44","28"
"","Justin Langdale","Miles","Fr.","C","38","28"
"","Jay Laurienzo","Flagler","Jr.","OF","47","28"
"","Erik Lunde","Lander","So.","INF","44","28"
"","Mitch Manning","Dixie St.","Jr.","C","45","28"
"","Danny Nelson","Cal St. Monterey Bay","Sr.","INF","46","28"
"","Joe Petosa","Felician","Jr.","OF","40","28"
"","Eric Ringblom","Neb.-Kearney","Jr.","1B","43","28"
"","Drew Ryan","Urbana","So.","3B","43","28"
"","Cameron Scott","Columbus St.","Jr.","2B","50","28"
"","Taylor Steen","Chestnut Hill","Fr.","SS","41","28"
"","David Weber","Benedict","Jr.","1B","35","28"
"","Jerico Weitzel","Clarion","Sr.","SS","40","28"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","28"
"146","Willis Bradwell","Morehouse","Sr.","OF","30","27"
"","Curtis Cassise","Cal St. San B'dino","Jr.","INF","34","27"
"","Navarro Hall","Columbus St.","Sr.","OF","48","27"
"","A Jones","Winston-Salem","Fr.","-","50","27"
"","Garrett Kiser","West Virginia St.","Jr.","1B","45","27"
"","Alex Latchum","Chestnut Hill","Sr.","OF","39","27"
"","Tim Quinn","Assumption","Sr.","C","37","27"
"","Kyle Scott","Salem Int'l","Fr.","OF","46","27"
"","Tj Yasuhara","Cal St. Chico","Sr.","INF","45","27"
"","Julio Zubillaga","Catawba","So.","2B","46","27"
"156","Carlos Asuaje","Nova Southeastern","So.","INF","40","26"
"","Matt Balogh","Ouachita Baptist","Fr.","-","35","26"
"","Blake Barber","West Fla.","Jr.","INF","47","26"
"","Joey Benke","St. Cloud St.","Sr.","INF","42","26"
"","Seve Carbajal","Colo. Christian","Sr.","OF","47","26"
"","Stephen Clout","New Haven","Jr.","OF","38","26"
"","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","26"
"","Ben Cox","Central Mo.","Jr.","INF","35","26"
"","Zac Crumpler","Barton","Jr.","C","40","26"
"","Kyle Davis","USciences","Jr.","INF","33","26"
"","Nick Erminio","Seton Hill","Sr.","INF","49","26"
"","Keegan Ghidotti","Ouachita Baptist","So.","P","46","26"
"","Sam Greenberg","Southern Conn. St.","Sr.","SS","40","26"
"","Brian Hansen","St. Cloud St.","Jr.","OF","45","26"
"","Bryant Johnson","Bentley","Sr.","P","46","26"
"","Nick La Face","UC San Diego","So.","C","48","26"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","26"
"","Kevin Mager","Rollins","Sr.","INF","43","26"
"","Ryan McChesney","Florida Tech","Sr.","C","45","26"
"","Kameron McCreless","Stillman","So.","INF","42","26"
"","Kolin McMillen","Mercyhurst","Fr.","INF","42","26"
"","Gordon Miller","Ark.-Fort Smith","Jr.","1B","35","26"
"","Derek Moczygemba","St. Mary's (TX)","Jr.","P","49","26"
"","J.C. Ochoa","Fort Hays St.","Sr.","INF","43","26"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","26"
"","Bret Schwartz","Central Mo.","Sr.","INF","44","26"
"","Jon Shoutta","Regis (CO)","So.","DH","41","26"
"","Brett Teschner","Columbus St.","Jr.","C","49","26"
"","Ian Vazquez","Belmont Abbey","So.","SS","51","26"
"","Trent Wagner","Tex. A&M-Kingsville","Jr.","OF","45","26"
"","Derrick Walls","Incarnate Word","So.","OF","39","26"
"","Sean Williams","Bluefield St.","Fr.","OF","42","26"
"","Brian Yeung","Wingate","Jr.","INF","55","26"
"","Kyle Young","Southwest Minn. St.","Jr.","OF","40","26"
"190","Casey Allison","Wingate","Sr.","OF","55","25"
"","Eric Barnes","Oakland City","Sr.","INF","39","25"
"","Kenny Bellavance","North Ga.","Jr.","OF","48","25"
"","William Buford","Tuskegee","Jr.","P","43","25"
"","Antonio Callaway","Mount Olive","Sr.","OF","48","25"
"","K.C. Clabough","Florida Tech","Sr.","INF","46","25"
"","Chase Corn","Erskine","So.","OF","52","25"
"","Chuck Duarte","Abilene Christian","Jr.","INF","50","25"
"","Chris Edgar","Millersville","Sr.","OF","46","25"
"","Troy Foster","Indiana (PA)","Jr.","C","45","25"
"","Trevor Funk","Fairmont St.","Jr.","SS","37","25"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","25"
"","Blake Gentry","Southeastern Okla.","Sr.","OF","46","25"
"","Luis Gonzalez","Concordia (NY)","Jr.","C","40","25"
"","Brad Guenther","Wayne St. (MI)","Jr.","C","41","25"
"","Alex Haag","Regis (CO)","Sr.","OF","43","25"
"","Jeffery Jones","Miles","Sr.","SS","41","25"
"","Sam Kidd","Delta St.","Jr.","OF","46","25"
"","Taye Larry","West Fla.","Sr.","OF","43","25"
"","Greg Lawson","Catawba","Sr.","C","47","25"
"","Zach Leonard","Saint Martin's","Fr.","C","40","25"
"","Julius McDougal","Claflin","Sr.","INF","37","25"
"","Jake Oard","Northwood (MI)","Jr.","OF","40","25"
"","Jordan Owens","Lander","Sr.","1B","48","25"
"","Cody Ridinger","Urbana","So.","SS","41","25"
"","Jenzen Torres","Cal Poly Pomona","Sr.","C","49","25"
"","Nikko Wahl","Saint Rose","Sr.","OF","37","25"
"","Nick Whitty","Indianapolis","Jr.","C","41","25"
"","Scott Zuback","Lock Haven","So.","OF","45","25"
