"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"87","Matt Calhoun","Harding","Sr.","INF","28","89","36","0.404"
"","Ivan Vieitez","Lenoir-Rhyne","Jr.","OF","27","89","36","0.404"
"89","Jay Gonzalez","Mount Olive","Sr.","OF","30","114","46","0.404"
"90","Austin Botts","Lock Haven","Jr.","C","17","62","25","0.403"
"91","Wendell Ferguson","Claflin","Fr.","OF","21","72","29","0.403"
"92","Tony Piazza","Regis (CO)","Sr.","INF","21","77","31","0.403"
"93","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","82","33","0.402"
"94","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","41","0.402"
"95","Logan Knox","Regis (CO)","Jr.","INF","21","75","30","0.400"
"","Jackson Oliver","Columbus St.","So.","OF","32","140","56","0.400"
"","Austin Walts","Ashland","Jr.","SS","20","75","30","0.400"
"","Graeme Zaparzynski","Slippery Rock","Sr.","INF","17","50","20","0.400"
"99","Andy Crowley","California Baptist","Jr.","OF","28","123","49","0.398"
"100","Daniel Young","Benedict","So.","3B","26","83","33","0.398"
"101","Logan Gray","Malone","Sr.","INF","19","68","27","0.397"
"","Austin Mascorro","Colorado St.-Pueblo","Jr.","INF","19","68","27","0.397"
"103","W. Baylor","Mansfield","---","DH","14","53","21","0.396"
"","Jarod Hahn","Truman","Jr.","OF","17","53","21","0.396"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","106","42","0.396"
"106","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","96","38","0.396"
"107","Chris Morley","Adams St.","So.","OF","25","91","36","0.396"
"108","Will Kengor","Slippery Rock","Sr.","INF","20","86","34","0.395"
"109","Cody Robinson","Northeastern St.","Sr.","OF","22","76","30","0.395"
"110","Ryan Drew","Palm Beach Atl.","Sr.","3B","21","66","26","0.394"
"111","Frank Crinella","Merrimack","So.","INF","15","61","24","0.393"
"112","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","89","35","0.393"
"113","Jon Phillips","Southern Ark.","Jr.","INF","31","117","46","0.393"
"114","Taylor Hinshaw","Georgia College","Sr.","OF","23","84","33","0.393"
"","Fran Whitten","Saint Leo","Sr.","P","27","84","33","0.393"
"116","Wes Koenig","St. Edward's","Sr.","1B","29","102","40","0.392"
"","Kyle Stoudt","Kutztown","Sr.","1B","16","51","20","0.392"
"118","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","74","29","0.392"
"","Taylor Schmidt","Seton Hill","So.","OF","23","74","29","0.392"
"120","Graham Ramos","Lander","Sr.","INF","29","115","45","0.391"
"121","Mike Reed","Valdosta St.","Jr.","SS","25","87","34","0.391"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","87","34","0.391"
"123","Tyler Gaby","King (TN)","Sr.","OF","32","128","50","0.391"
"124","Andrew Kozak","Erskine","Jr.","OF","26","100","39","0.390"
"125","Cody Ball","Pittsburg St.","Sr.","OF","24","77","30","0.390"
"","Sam Summerlin","Cedarville","Jr.","INF","20","77","30","0.390"
"127","Nick Chapman","West Tex. A&M","Jr.","OF","29","113","44","0.389"
"128","Zach Jacobs","Indianapolis","Jr.","OF","20","72","28","0.389"
"129","Matthew Fears","Valdosta St.","Sr.","INF","25","98","38","0.388"
"130","Cole Bjorge","Bemidji St.","Sr.","OF","10","31","12","0.387"
"","Jossue Delgado","Ohio Dominican","Sr.","OF","18","62","24","0.387"
"","Brandon Martinez","Kutztown","Jr.","OF","16","62","24","0.387"
"","Seth Tressler","Mansfield","Sr.","2B","15","62","24","0.387"
"134","Sean Murphy","Maryville (MO)","So.","OF","16","44","17","0.386"
"135","Raymond Crawford","Winston-Salem","Jr.","INF","30","114","44","0.386"
"136","Drew Cole","UNC Pembroke","Jr.","INF","30","122","47","0.385"
"137","Andre Perkins","Elizabeth City St.","Jr.","INF","15","52","20","0.385"
"","Derrick Pitts","Lee","Sr.","OF","30","104","40","0.385"
"139","Zack Ferreira","Northwest Mo. St.","Fr.","INF","24","86","33","0.384"
"","Jocobby Robinson","West Ala.","Sr.","INF","27","86","33","0.384"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","86","33","0.384"
"142","Cody Herald","Seton Hill","Jr.","INF","23","73","28","0.384"
"143","Caleb Price","Okla. Christian","Sr.","OF","21","60","23","0.383"
"144","Nick Kranick","Flagler","Jr.","INF","29","107","41","0.383"
"145","Mike Abraham","Eckerd","Jr.","C","23","81","31","0.383"
"","Alex Bielaski","Saint Martin's","Sr.","C","23","81","31","0.383"
"","Travis Shaw","Saint Martin's","Jr.","INF","23","81","31","0.383"
"148","Alex Bell","Slippery Rock","---","DH","19","68","26","0.382"
"","Cameron Duncan","Tuskegee","Sr.","P","23","68","26","0.382"
"","Vinny Rodriguez","Montevallo","Jr.","OF","23","102","39","0.382"
"151","Joseph Daris","Azusa Pacific","Sr.","OF","22","89","34","0.382"
"152","Gable Whitacre","St. Edward's","Fr.","C","24","76","29","0.382"
"153","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","97","37","0.381"
"154","Jack Goihl","Augustana (SD)","Jr.","C","18","63","24","0.381"
"","Marcus O'Neill","Augustana (SD)","Jr.","OF","18","63","24","0.381"
"","Ian Wukitsch","Pace","Sr.","INF","12","42","16","0.381"
"157","Grant McKown","Florida Tech","Fr.","INF","28","92","35","0.380"
"158","Erik Lunde","Lander","Sr.","INF","30","121","46","0.380"
"159","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","79","30","0.380"
"160","Zach Collett","New Haven","Jr.","1B","7","29","11","0.379"
"","Tyler Raymond","King (TN)","Jr.","OF","30","87","33","0.379"
"","Taylor Steen","Chestnut Hill","Jr.","SS","10","29","11","0.379"
"","Skyler Wenninger","Minn. Duluth","Fr.","INF","11","29","11","0.379"
"164","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","95","36","0.379"
"165","Jake Alexander","Central Mo.","So.","OF","22","66","25","0.379"
"","Tony Viger","Augustana (SD)","Sr.","INF","18","66","25","0.379"
"167","Colton Beatty","Cal St. Stanislaus","---","3B","26","103","39","0.379"
"","Josh Coker","Lincoln Memorial","Sr.","P","30","103","39","0.379"
"169","Marshall Vallandingham","Lindenwood (MO)","Sr.","OF","23","74","28","0.378"
"170","Kyle Hood","Franklin Pierce","Fr.","INF","19","45","17","0.378"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","90","34","0.378"
"172","Matt Burns","Southern Conn. St.","So.","OF","15","61","23","0.377"
"","Zack Ranta","Gannon","Jr.","INF","18","61","23","0.377"
"174","Blake Edwards","Columbus St.","So.","2B","32","138","52","0.377"
"175","Brantley Rumford","Lenoir-Rhyne","Jr.","INF","24","85","32","0.376"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","85","32","0.376"
"177","Brandon Arnold","St. Cloud St.","So.","INF","17","64","24","0.375"
"","Kasey Bielec","Central Wash.","Jr.","INF","21","64","24","0.375"
"","Jon Castro","Wilmington (DE)","Jr.","OF","12","40","15","0.375"
"","Sam Cothran","Erskine","So.","OF","24","88","33","0.375"
"","Ryan Degner","Mo. Western St.","Jr.","OF","24","88","33","0.375"
"","Clinton Harwick","Point Loma","Sr.","SS","27","104","39","0.375"
"","Carlos Leal","Delta St.","Sr.","C","21","72","27","0.375"
"","Joe Sickler","Findlay","Sr.","INF","13","48","18","0.375"
"","Robert Slagle III","Chestnut Hill","So.","C","11","24","9","0.375"
"","Bill Steven","UVa-Wise","---","1B","14","48","18","0.375"
"","Josh Swirchak","Wilmington (DE)","Jr.","SS","14","48","18","0.375"
"","Derrik Zeroski","California (PA)","Sr.","INF","17","48","18","0.375"
"189","Chris Dennis","Fla. Southern","Jr.","3B","29","107","40","0.374"
"","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","107","40","0.374"
"191","Ryan Guedry","Tex. A&M-Kingsville","Sr.","C","26","83","31","0.373"
"192","Aaron Brill","Felician","Sr.","SS","19","75","28","0.373"
"193","Jack Hudson","West Virginia St.","Sr.","INF","17","59","22","0.373"
"","Ryan Koch","Lock Haven","---","2B","17","59","22","0.373"
"","Jamie Potts","Grand Valley St.","Jr.","OF","18","59","22","0.373"
"196","Dalton Daniels","Southwestern Okla.","Jr.","INF","26","94","35","0.372"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","94","35","0.372"
"198","Noah Blackhurst","West Virginia St.","Sr.","INF","15","43","16","0.372"
"","Taylor Foster","Tusculum","Sr.","INF","29","86","32","0.372"
"","Kaohu Gaspar","Fresno Pacific","Sr.","OF","25","86","32","0.372"
"","Jon Kennedy","Nyack","Jr.","OF","11","43","16","0.372"
"","Ryan Patternson","Armstrong","Fr.","OF","25","86","32","0.372"
"","Dylan Yankle","Lake Erie","Jr.","C","13","43","16","0.372"
