"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"24","John Martinez","Juniata","Sr.","OF","37","110","42","31","7","2","0","0.533"
"25","Bruce Brown","Daniel Webster","Sr.","INF","27","88","37","18","5","2","0","0.531"
"","David Simone","Western Conn. St.","Jr.","C","30","90","38","20","2","1","0","0.531"
"27","Josh Mackey","Southern Me.","Sr.","INF","29","107","48","14","7","2","0","0.531"
"28","Jake Cintolo","Suffolk","Fr.","3B","39","145","64","11","16","0","0","0.529"
"29","Scott Windler","Franklin","Fr.","OF","28","85","39","14","2","3","1","0.529"
"30","Justin Kline","Presentation","Jr.","C","29","95","37","24","4","0","1","0.528"
"31","Tim Wiand","Westminster (PA)","Jr.","1B","31","95","41","7","12","0","0","0.526"
"32","Ryan Kragnes","Penn St.-Behrend","So.","INF","28","89","37","21","3","3","4","0.526"
"33","Kyle Wooden","Guilford","Sr.","INF","35","135","63","16","4","3","0","0.525"
"34","John Snyder","Marietta","Sr.","OF","32","119","54","14","6","2","2","0.525"
"35","Jhon Comas Disla","Lehman","Jr.","SS","26","79","32","18","3","1","0","0.525"
"36","Chris Ray","Alvernia","So.","INF","34","122","56","16","3","2","5","0.524"
"37","Dave Ahern","Babson","Sr.","P","38","144","63","23","3","0","0","0.524"
"38","Sam Schmeltzer","Thomas More","Sr.","3B","29","104","48","13","6","5","1","0.523"
"39","Matt Forgatch","Denison","Sr.","3B","36","124","55","18","6","3","0","0.523"
"40","Jeff Perillo","Mitchell","Sr.","INF","28","102","41","25","3","2","1","0.523"
"41","Nate Lotze","Kenyon","Fr.","INF","30","95","42","15","3","2","0","0.522"
"42","Drew Leachman","Birmingham-So.","Sr.","INF","39","162","73","21","5","2","1","0.521"
"43","Jake Coleman","Brockport","So.","P","30","89","33","22","6","1","3","0.517"
"44","Blake McConkey","Eureka","Jr.","P","33","99","39","21","5","1","0","0.516"
"45","Marco Hernandez","Williams","Fr.","-","28","82","37","11","1","1","2","0.516"
"46","Nick Clifton","Texas-Tyler","Sr.","1B","39","136","58","20","6","1","2","0.515"
"47","Chris Campbell","St. Joseph's (ME)","Sr.","INF","35","118","55","7","6","1","4","0.515"
"48","Rob Rubenstein","Skidmore","Sr.","OF","32","109","45","23","1","1","1","0.515"
"49","Michael Goldfien","Grinnell","Jr.","2B","25","87","35","19","2","1","1","0.514"
"50","Dylan Smith","East. Mennonite","Jr.","C","36","111","38","26","13","0","0","0.513"
"51","Adam Farris","Dallas","So.","OF","29","86","30","21","9","1","0","0.513"
"","Brett Zaziski","Vassar","Fr.","INF","28","89","32","25","3","0","0","0.513"
"53","Prateek Thaman","St. Joseph's (L.I.)","Jr.","OF","35","112","40","28","14","6","0","0.513"
"54","Dan Gleiberman","Whittier","Sr.","3B","38","127","51","29","3","3","0","0.512"
"55","Cam Stephens","Concordia Chicago","Jr.","OF","31","103","44","14","5","1","0","0.512"
"56","Will Salley","Wash. & Lee","So.","C","30","108","44","20","3","0","1","0.511"
"57","Brian Benander","John Carroll","Sr.","3B","31","113","46","10","15","1","1","0.511"
"58","Mike Eaton","Southern Me.","Sr.","OF","33","130","57","21","0","2","0","0.510"
"59","Alex Oliver","Widener","Sr.","2B","27","91","40","14","1","2","7","0.509"
"60","Dan Haugh","Wheaton (MA)","Jr.","INF","35","134","57","23","3","3","1","0.509"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","132","56","18","9","4","0","0.509"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","131","53","24","6","2","0","0.509"
"63","Jim Schult","Eastern Conn. St.","Sr.","OF","34","135","56","23","6","3","0","0.509"
"64","Kyle Moody","St. Scholastica","Jr.","C","28","99","45","8","4","1","0","0.509"
"65","Matthew Hardy","Immaculata","So.","INF","28","88","32","21","7","2","1","0.508"
"66","Sam Hill","Birmingham-So.","Sr.","C","38","143","56","34","3","3","0","0.508"
"67","Eric Hansen","Allegheny","So.","OF","30","103","44","7","12","2","3","0.508"
"68","Trey Forbes","Manchester","Sr.","C","36","144","60","20","7","1","1","0.506"
"69","Kyle Cyprysiak","Maryville (TN)","Sr.","INF","40","132","45","33","12","1","0","0.506"
"70","Spencer Brunson","Mississippi Col.","Jr.","INF","42","168","70","22","10","2","0","0.505"
"71","Ben Kuebbing","Transylvania","Sr.","OF","28","90","40","11","1","1","1","0.505"
"","Zach Roeder","Middlebury","Jr.","C","25","89","39","12","1","1","0","0.505"
"73","Jake Zadra","Edgewood","So.","OF","30","92","36","15","6","0","4","0.504"
"74","Brian Bilius","Adrian","Sr.","3B","34","115","48","15","6","1","2","0.504"
"75","David Wolak","Elmhurst","Fr.","OF","34","123","53","17","3","2","0","0.503"
"76","Kevin Brashears","Shenandoah","Sr.","OF","39","156","63","28","6","4","5","0.500"
"","Nicko Burnett","Swarthmore","Fr.","OF","32","108","42","14","11","1","3","0.500"
"","Rick Gehman","Immaculata","Sr.","INF","28","71","20","30","2","1","3","0.500"
"","Zach Herd","Bethany Lutheran","Sr.","INF","28","94","37","10","11","1","2","0.500"
"","David Kennett","Thomas More","So.","SS","29","107","44","17","4","2","8","0.500"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","55","9","16","1","0","0.500"
"","Mike Petti","Carthage","Sr.","OF","31","118","51","16","0","0","1","0.500"
"","Kyle Rose","Mt. Aloysius","Sr.","OF","25","78","30","9","9","0","1","0.500"
"84","T.C. Lee","Willamette","Sr.","OF","40","144","60","22","6","5","1","0.497"
"85","Mike Rubino","Western New Eng.","So.","INF","40","152","66","13","8","2","0","0.497"
"86","Alex Monroe","Heidelberg","Sr.","C","36","127","46","14","20","0","0","0.497"
"87","Taylor Gahagen","Fredonia St.","Sr.","1B","35","109","38","26","7","1","1","0.497"
"88","Anthony Santiago","Mitchell","Fr.","C","28","110","45","15","5","1","1","0.496"
"89","Jason Handley","Thomas More","Fr.","2B","28","93","35","14","10","2","2","0.496"
"90","Mark Young","Trinity (CT)","Sr.","OF","31","82","31","20","0","1","0","0.495"
"91","Nick Skala","Concordia Chicago","Jr.","C","33","135","58","12","7","2","0","0.494"
"92","Kurt Krout","Shenandoah","So.","SS","39","118","45","16","10","0","13","0.493"
"93","Nick Stein","Coe","So.","OF","34","116","45","17","8","1","0","0.493"
"94","David Massengill","Greenville","Sr.","OF","32","110","43","18","4","0","3","0.492"
"95","Dan Scott","North Central (IL)","Sr.","OF","28","93","32","23","6","2","9","0.492"
"96","Andy Vega","Keystone","Sr.","OF","32","103","42","16","1","0","1","0.492"
"97","Nick Boggan","Cal Lutheran","So.","INF","40","149","61","24","2","2","0","0.492"
"98","Travis Lee","Franklin","Sr.","INF","28","89","35","17","2","2","2","0.491"
"99","Brent Gibbs","D'Youville","So.","INF","27","91","39","10","3","2","0","0.491"
"100","William Chapman","Gallaudet","Jr.","OF","41","127","50","15","12","3","0","0.490"
"101","Connor Bierfeldt","Western Conn. St.","So.","P","29","95","45","5","1","3","0","0.490"
"102","Jordan Walton","Randolph-Macon","Jr.","1B","42","176","81","11","3","4","2","0.490"
"103","Trevor Wolf","Ithaca","Sr.","1B","24","81","33","8","6","1","0","0.490"
"104","Josh Davidson","Aurora","Sr.","OF","33","125","53","12","4","0","0","0.489"
"105","Kenny Destremps","Brandeis","Jr.","C","36","112","41","16","11","0","1","0.489"
"","Joe Reilly","Sewanee","Sr.","INF","31","120","51","8","9","2","0","0.489"
"107","Jacob Ludvik","La Verne","Jr.","OF","39","139","53","26","6","3","7","0.489"
"108","Luke Matthews","Eastern Nazarene","Sr.","INF","34","112","47","12","4","1","0","0.488"
"109","Max Stepan","Willamette","Sr.","C","39","134","51","24","7","3","0","0.488"
"110","Drew Zuckerman","Transylvania","Sr.","C","29","106","43","17","1","1","0","0.488"
"111","Dan Shea","Concordia (WI)","Sr.","INF","28","100","39","17","4","2","0","0.488"
"112","Daniel Covert","Greenville","Sr.","OF","31","107","46","12","1","1","2","0.488"
"113","Kevin Jackson","Trinity (TX)","Sr.","INF","44","157","58","35","5","4","4","0.488"
"114","Jackson Clement","Mary Washington","Sr.","OF","39","127","48","22","8","3","3","0.488"
"115","Daniel Thomas","WPI","So.","1B","30","92","33","23","2","2","1","0.487"
"116","Greg Van Sickler","Shenandoah","Sr.","P","39","155","62","21","9","4","0","0.487"
"117","Eric Laliberte","Wheaton (MA)","Sr.","INF","28","86","31","19","5","3","3","0.487"
"","John Schall","Penn St.-Altoona","Jr.","OF","32","101","43","12","0","0","0","0.487"
"119","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","156","63","23","5","3","1","0.487"
"120","Brandon Peterson","St. Scholastica","Jr.","OF","30","92","37","12","5","2","0","0.486"
"121","David Orlowitz","Tufts","Sr.","OF","23","83","29","16","8","2","0","0.486"
"","Alex Wirta","Carleton","Jr.","INF","30","91","36","12","5","1","1","0.486"
"123","Michael Corrigan","North Central (IL)","Sr.","C","25","83","30","21","1","2","0","0.486"
"124","Ben Gresh","Ursinus","Jr.","OF","33","112","42","21","5","2","2","0.486"
"","Tyler Stiffler","Penn St.-Altoona","Sr.","INF","32","90","38","13","0","2","4","0.486"
"126","Cameron Susk","Williams","Jr.","INF","31","119","49","17","1","1","0","0.486"
"127","Austin Groves","Purchase St.","Sr.","OF","31","111","45","17","2","2","1","0.485"
"128","Kyle Davis","Piedmont","Jr.","OF","38","164","65","23","6","1","2","0.485"
"129","Corey Armstrong","Southern Vt.","So.","P","32","97","36","24","2","5","0","0.484"
"130","Michael Rueger","Trinity (CT)","So.","OF","33","105","41","19","1","1","1","0.484"
"131","Jack Cinoman","Chicago","So.","OF","23","83","35","9","1","0","2","0.484"
"","Alex Jaskulski","Edgewood","Fr.","1B","29","82","34","10","1","0","3","0.484"
"","Alex LiDonni","Trinity (CT)","Jr.","INF","26","74","28","12","5","2","0","0.484"
"134","Nick Fluegge","Worcester St.","Sr.","INF","32","99","37","17","5","1","0","0.484"
"","Travis Peipho","Bethel (MN)","Jr.","OF","32","104","43","10","6","2","1","0.484"
"136","Gerard Taylor","Finlandia","Fr.","SS","25","79","32","10","2","0","0","0.484"
"137","Charlie Carluccio","Haverford","Sr.","SS","39","148","60","19","8","5","1","0.483"
"138","Chris Alberto","Western Conn. St.","So.","INF","32","120","46","21","3","1","0","0.483"
"139","Nick Broyles","Bluffton","Jr.","OF","36","142","57","18","8","4","1","0.483"
"140","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","152","65","14","3","1","0","0.482"
"141","Tyler Babkiewich","Coast Guard","So.","SS","34","103","32","11","25","2","1","0.482"
"","Tyler Schroeder","Earlham","Jr.","OF","34","113","40","25","3","0","5","0.482"
"143","Travis Jonasson","Babson","Jr.","INF","38","121","36","29","16","2","0","0.482"
"144","Nate Hickok","George Fox","Sr.","OF","34","105","36","18","10","0","3","0.481"
"145","Jay Sheets","Manchester","Sr.","INF","36","125","44","26","6","1","1","0.481"
"146","Brandon Benton","Mississippi Col.","Sr.","OF","37","126","49","22","3","3","1","0.481"
"","Chris Reynolds","Luther","Jr.","INF","35","134","56","8","10","2","3","0.481"
"148","Matt Bittner","Penn St.-Behrend","So.","INF","31","102","42","16","3","6","1","0.480"
"149","Lynden Pindling","Rhodes","So.","SS","44","158","57","34","6","4","0","0.480"
"150","Brad Blum","Buena Vista","Sr.","INF","33","113","39","20","13","4","2","0.480"
"","Blake Pavlik","Penn St.-Behrend","Sr.","P","26","86","34","13","1","0","1","0.480"
