"Rank","Name","Team","Cl","Pos","G","SH"
"","Vincent Redmond","Le Moyne","Jr.","INF","43","8"
"","Lance Rorex","Carson-Newman","Sr.","3B","51","8"
"","Chris Rudenga","Grand Valley St.","Jr.","OF","41","8"
"","Cody Scheler","Bellarmine","So.","OF","44","8"
"","Dylan Schwegler","Gannon","Jr.","OF","44","8"
"","Derrik Strzalkowski","Grand Valley St.","Sr.","INF","39","8"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","8"
"","Michael-Cole Thames","Paine","Jr.","SS","42","8"
"","Chris Vopinek","Cal St. Dom. Hills","Fr.","3B","40","8"
"136","Jamal Allen","Bluefield St.","Sr.","P","36","7"
"","Kameron Armacost","Brevard","Sr.","OF","44","7"
"","Blake Barber","West Fla.","Jr.","INF","47","7"
"","Colton Beatty","Cal St. Stanislaus","Jr.","2B","45","7"
"","Adrian Brown","Ill.-Springfield","So.","OF","33","7"
"","Roger Christensen","Tiffin","Jr.","INF","38","7"
"","Alex Ciullo","Merrimack","So.","INF","34","7"
"","Ben Clare","Northwest Nazarene","Fr.","INF","29","7"
"","Michael Cleary","Southern Conn. St.","Jr.","OF","42","7"
"","Duncan Collins","Ouachita Baptist","Jr.","INF","45","7"
"","Kenny Davis","Wayne St. (MI)","Jr.","INF","30","7"
"","Anthony Davis","Rockhurst","Jr.","SS","36","7"
"","Kevin Dodson","Augusta St.","So.","P","48","7"
"","Tagg Duce","Grand Canyon","Fr.","INF","32","7"
"","Philip Duncan","Carson-Newman","So.","OF","49","7"
"","D Dwyer","Sioux Falls","Fr.","-","39","7"
"","Collin Elmore","St. Edward's","Sr.","INF","38","7"
"","Garrett Fischer","St. Cloud St.","So.","OF","42","7"
"","Brad Foss","Pittsburg St.","So.","INF","43","7"
"","Spencer Frazier","UC San Diego","So.","INF","37","7"
"","Michael Gange","Western Ore.","Jr.","2B","27","7"
"","Jesse Gonzalez","Northern St.","Sr.","OF","37","7"
"","Cody Hastings","Regis (CO)","Jr.","SS","45","7"
"","Dan Hennigan","Franklin Pierce","Sr.","2B","45","7"
"","Tyler Hibbs","Francis Marion","Jr.","INF","34","7"
"","Robert Horn","Pace","Jr.","INF","36","7"
"","Ian Humphrey","Concord","Sr.","C","48","7"
"","Logan Hunter","Stillman","So.","INF","37","7"
"","Brett Keim","Wayne St. (NE)","Jr.","INF","40","7"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","7"
"","Jarrod Kramer","Bloomsburg","Sr.","3B","44","7"
"","Michael Lockett","Missouri S&T","Fr.","INF","39","7"
"","Matt Lopes","Wilmington (DE)","Fr.","C","23","7"
"","Michael Lott","Shepherd","So.","OF","46","7"
"","Jimmy Martinez","Colo. Christian","Jr.","OF","42","7"
"","Gavan McCauley","Southern Ark.","Sr.","OF","41","7"
"","Don McGuirl","Saint Michael's","Fr.","INF","37","7"
"","Colton McKithan","Okla. Panhandle","Sr.","2B","45","7"
"","Chris Miller","Cal Poly Pomona","Sr.","INF","48","7"
"","Chad Nader","Coker","Jr.","OF","45","7"
"","John Neill","Drury","Jr.","C","41","7"
"","Matt Nylen","Western Ore.","Jr.","OF","35","7"
"","Vinny Orlando","Mercy","Fr.","INF","41","7"
"","John Oropeza","Central Mo.","Jr.","INF","40","7"
"","Drew Parker","North Ala.","Sr.","C","47","7"
"","Nick Pressley","Lincoln Memorial","Sr.","C","49","7"
"","Keith Price","Southeastern Okla.","Jr.","INF","39","7"
"","Kyle Radzewski","Lynn","Sr.","INF","41","7"
"","Anthony Ragos","Davis & Elkins","Jr.","OF","43","7"
"","Esteban Raygoza","St. Mary's (TX)","Sr.","SS","48","7"
"","Jake Ritzdorf","Wayne St. (NE)","Sr.","3B","40","7"
"","Andrew Rodriguez","West Fla.","Jr.","OF","43","7"
"","Frank Samluk","Wilmington (DE)","Fr.","INF","30","7"
"","Chris Santoscoy","Fort Hays St.","Jr.","INF","35","7"
"","Travis Schuetze","Abilene Christian","Jr.","P","46","7"
"","Albert Selanders","Central Mo.","Jr.","C","42","7"
"","Aarin Sharpe","Pfeiffer","Jr.","INF","50","7"
"","Russel Sirko","Post","Sr.","C","38","7"
"","Todd Standish","Minn. St. Mankato","So.","INF","33","7"
"","Gabe Thibodeau","Central Mo.","Sr.","OF","40","7"
"","Shane Timberlake","King (TN)","Sr.","INF","44","7"
"","Anthony Tomasone","Mercyhurst","So.","C","42","7"
"","Matt Toth","Lake Erie","Sr.","OF","42","7"
"","Clay Tucker","Augusta St.","So.","OF","37","7"
"","Bobby Twedt","Saint Martin's","Jr.","INF","44","7"
"","Brad Wilson","Central Mo.","So.","OF","32","7"
"","Andrew Wolfe","Tarleton St.","Sr.","OF","39","7"
"","Garrett Wright","Cal St. Stanislaus","Sr.","INF","28","7"
"","Brett Wright","West Ga.","Jr.","OF","42","7"
"","Landon Young","Southwest Baptist","So.","INF","44","7"
"","Mike Zeiner","Stonehill","Jr.","SS","44","7"
