"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"39","Robert Hawkins","West Virginia St.","Sr.","INF","31","113","46","0.407"
"40","Derek Ingui","Franklin Pierce","Sr.","DH","43","150","61","0.407"
"41","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","160","65","0.406"
"42","Arrow Cunningham","Central Okla.","Sr.","C","43","133","54","0.406"
"43","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","138","56","0.406"
"44","Ryan Noelte","Valdosta St.","Jr.","OF","40","111","45","0.405"
"45","Eric Dorton","West Tex. A&M","Fr.","OF","48","158","64","0.405"
"","Chris Ross","Montevallo","Jr.","OF","43","158","64","0.405"
"47","K.C. Clabough","Florida Tech","Jr.","INF","47","173","70","0.405"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","173","70","0.405"
"49","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","61","0.404"
"50","Elliott Riege","Colorado Mines","Sr.","INF","42","161","65","0.404"
"51","Derek Fulmer","North Greenville","Jr.","P","44","159","64","0.403"
"52","Ryan Brnovich","Saint Leo","So.","INF","45","179","72","0.402"
"53","Dean Green","Barry","Sr.","1B","50","184","74","0.402"
"54","Brady Hohl","Neb. Omaha","Jr.","INF","46","172","69","0.401"
"55","Garrett Harris","Angelo St.","Jr.","OF","45","140","56","0.400"
"","Josh Logan","Seton Hill","Jr.","OF","35","120","48","0.400"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","150","60","0.400"
"","Noah Ringenberger","Northeastern St.","So.","OF","34","125","50","0.400"
"","Ryan Rua","Lake Erie","Jr.","SS","41","150","60","0.400"
"","Jordan Smith","St. Cloud St.","So.","OF","41","150","60","0.400"
"61","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","69","0.399"
"62","Josh Dawson","Cameron","Jr.","INF","44","168","67","0.399"
"63","Bo Folkinga","Western Ore.","Jr.","OF","36","113","45","0.398"
"64","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","161","64","0.398"
"65","Joey Ianiero","Bloomsburg","Sr.","INF","40","141","56","0.397"
"66","Garrett Yatch","Grand Valley St.","Fr.","INF","38","124","49","0.395"
"67","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","157","62","0.395"
"68","Howie Deemer","Bloomsburg","Sr.","P","34","109","43","0.394"
"69","Jarius Brown","Stillman","Fr.","OF","41","155","61","0.394"
"70","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","122","48","0.393"
"71","Jordan Easom","West Tex. A&M","Jr.","OF","49","178","70","0.393"
"72","Marcus Riewer","Minn. Duluth","Jr.","SS","34","117","46","0.393"
"73","Dallas Burke","Mo. Southern St.","Jr.","C","41","140","55","0.393"
"","Tanner Funk","Georgia College","Jr.","SS","50","196","77","0.393"
"75","Patrick Melvin","Miles","Sr.","1B","39","125","49","0.392"
"76","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","166","65","0.392"
"77","Shawn Ward","Georgia College","Sr.","OF","49","189","74","0.392"
"78","Shannon Rush","Virginia St.","Sr.","INF","44","138","54","0.391"
"","Matt Toth","Lake Erie","Jr.","OF","39","138","54","0.391"
"80","Eric Maupin","N.M. Highlands","Jr.","INF","42","133","52","0.391"
"81","Josh Caffrey","Missouri S&T","Jr.","C","32","110","43","0.391"
"82","Ryan Porter","Rockhurst","Jr.","1B","43","151","59","0.391"
"83","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","64","0.390"
"84","Bryce Gerhardt","Abilene Christian","So.","OF","36","100","39","0.390"
"85","Jason Solma","Mo. Western St.","So.","INF","44","136","53","0.390"
"86","Evan Gazza","Davis & Elkins","Sr.","OF","42","154","60","0.390"
"","Logan Parker","Northwest Nazarene","So.","OF","44","154","60","0.390"
"88","Ethan Stuckly","Tarleton St.","Jr.","INF","44","172","67","0.390"
"89","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","95","37","0.389"
"90","Gene Franks","West Va. Wesleyan","Sr.","OF","36","131","51","0.389"
"91","Mike August","Millersville","Jr.","SS","45","149","58","0.389"
"","Matt Howard","Slippery Rock","Sr.","OF","44","149","58","0.389"
"","Jason Nappi","Harding","Sr.","INF","45","149","58","0.389"
"94","Cody Montz","Kutztown","Jr.","INF","37","108","42","0.389"
"","Paul Young","Grand Valley St.","Sr.","OF","39","126","49","0.389"
"96","Matthew Pullos","Colorado Mines","So.","OF","43","157","61","0.389"
"97","Zach Smith","Erskine","Fr.","INF","51","206","80","0.388"
"98","Randy O'Dell","Brevard","Jr.","INF","41","147","57","0.388"
"","Jeremy Sudbeck","Minn. St. Mankato","Jr.","OF","35","98","38","0.388"
"100","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","129","50","0.388"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","129","50","0.388"
"102","Shane Latshaw","Mercyhurst","Jr.","OF","43","137","53","0.387"
"103","Ethan Gold","East Central","Fr.","OF","36","106","41","0.387"
"104","Jordan White","Ky. Wesleyan","Jr.","OF","35","132","51","0.386"
"105","Tyler Benzel","Fla. Southern","Sr.","INF","41","158","61","0.386"
"106","Jon Stockton","Concordia-St. Paul","Sr.","OF","29","96","37","0.385"
"107","Chris Dula","Catawba","Fr.","3B","53","200","77","0.385"
"108","Patrick Donahue","Tampa","Sr.","INF","43","156","60","0.385"
"","Joel Potts","Drury","Sr.","3B","45","143","55","0.385"
"110","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","151","58","0.384"
"111","Tom Deangelis","Seton Hill","Sr.","INF","39","138","53","0.384"
"112","Chris Pfau","Lincoln (MO)","Jr.","P","38","146","56","0.384"
"113","Aj Burlington","Salem Int'l","So.","P","35","107","41","0.383"
"114","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","154","59","0.383"
"115","Eric Grabe","Tampa","Jr.","2B","45","175","67","0.383"
"116","Shayne Houck","Kutztown","Jr.","INF","39","136","52","0.382"
"117","Zach Cohen","Angelo St.","Jr.","INF","47","157","60","0.382"
"118","Parker Amos","Emporia St.","Sr.","OF","40","123","47","0.382"
"119","John Schraer","Charleston (WV)","So.","INF","36","110","42","0.382"
"120","Tyler Anthony","Central Mo.","Sr.","OF","46","131","50","0.382"
"121","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","173","66","0.382"
"122","Brock Green","Ouachita Baptist","Jr.","1B","47","160","61","0.381"
"123","Deryk Marks","Augustana (SD)","Sr.","INF","43","168","64","0.381"
"","Adam Shank","St. Edward's","Jr.","OF","44","168","64","0.381"
"125","Paul Anzalone","Harding","So.","P","40","113","43","0.381"
"126","Andrew Durden","Nova Southeastern","Sr.","OF","44","171","65","0.380"
"127","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","129","49","0.380"
"128","Anthony Ragos","Davis & Elkins","So.","OF","42","158","60","0.380"
"129","Courtney Kelley","Miles","So.","OF","38","116","44","0.379"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","145","55","0.379"
"131","A.J. Alexander","N.M. Highlands","Jr.","OF","41","132","50","0.379"
"","Kyle Roden","Bellarmine","Sr.","C","43","132","50","0.379"
"133","Pat Curtin","Tiffin","Jr.","C","39","111","42","0.378"
"","Matt McAllester","Ashland","Sr.","2B","45","148","56","0.378"
"","Ryan Reddick","Pittsburg St.","So.","C","44","148","56","0.378"
"","Emilio Villanueva","Drury","Fr.","OF","39","111","42","0.378"
"137","R.J. Etchebarren","Grand Canyon","Sr.","OF","46","188","71","0.378"
"138","Nick Markis","Arkansas Tech","Sr.","3B","43","159","60","0.377"
"139","Kellen Bozeman","Delta St.","Sr.","DH","46","175","66","0.377"
"140","Josh Carpenter","North Ala.","Fr.","SS","39","130","49","0.377"
"141","Andrew Pickering","West Virginia St.","Fr.","INF","28","69","26","0.377"
"142","Adrian Bringas","Cal St. Chico","Sr.","3B","40","146","55","0.377"
"143","Kevin McCall","Mercyhurst","Sr.","1B","44","162","61","0.377"
"144","Kevin Miller","Mansfield","Sr.","OF","35","117","44","0.376"
"145","Jason Trulin","Neb.-Kearney","Sr.","OF","38","141","53","0.376"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","141","53","0.376"
"147","Joe Huwer","Eastern N.M.","Jr.","C","41","149","56","0.376"
"148","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","165","62","0.376"
"149","Michael Wilson","Francis Marion","Fr.","INF","47","189","71","0.376"
"150","Eric Deese","Ala.-Huntsville","Jr.","DH","44","152","57","0.375"
"","John Jones","Francis Marion","Jr.","OF","41","128","48","0.375"
"","Kevin Mager","Rollins","Jr.","INF","45","176","66","0.375"
"","Elliot Powell","Concordia-St. Paul","Fr.","1B","28","88","33","0.375"
"154","Rolando Bonner","Tusculum","Sr.","OF","43","163","61","0.374"
"155","Courtney Spitz","Drury","Sr.","C","35","107","40","0.374"
"156","Billy Ninemire","Harding","So.","INF","46","174","65","0.374"
"157","Josh Beal","Stillman","Fr.","-","39","134","50","0.373"
"158","Stephen Carmon","S.C. Aiken","Jr.","SS","50","193","72","0.373"
"159","Joey Hallinan","Ohio Valley","Jr.","INF","35","118","44","0.373"
"160","Andy Marinelli","West Ga.","Fr.","-","48","169","63","0.373"
"161","Keith Whitman","UNC Pembroke","Sr.","OF","44","153","57","0.373"
"162","Frank Sirolli","Indiana (PA)","Sr.","OF","46","145","54","0.372"
"163","Eric Barnes","Oakland City","Jr.","INF","29","86","32","0.372"
"164","Andrew Brauer","Lewis","Jr.","OF","33","121","45","0.372"
"165","Luis Saenz","N.M. Highlands","Jr.","INF","34","97","36","0.371"
"166","Noe Flores","Cal St. L.A.","Sr.","1B","41","124","46","0.371"
"167","Christian Glisson","Valdosta St.","Jr.","C","44","151","56","0.371"
"168","Joe Kley","Winona St.","Sr.","OF","37","135","50","0.370"
"","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","108","40","0.370"
"170","Chris Edgar","Millersville","Jr.","OF","44","146","54","0.370"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","146","54","0.370"
"172","Jacob Mays","Concord","Jr.","P","42","138","51","0.370"
"173","Andre Yates","Southwestern Okla.","Jr.","2B","47","157","58","0.369"
"174","Caleb Palensky","Neb. Omaha","Fr.","INF","41","130","48","0.369"
"175","Michael Dugan","Kutztown","Sr.","INF","39","141","52","0.369"
"176","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","185","68","0.368"
"177","Cody Shelton","Wingate","Fr.","INF","48","166","61","0.367"
"178","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","177","65","0.367"
"179","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","150","55","0.367"
"180","Joey Frabasile","Belmont Abbey","Jr.","1B","46","161","59","0.366"
"181","Michael Leviseur","Seton Hill","Jr.","C","34","101","37","0.366"
"","Bobby Mclaughlin","Alderson-Broaddus","So.","3B","35","101","37","0.366"
"183","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","172","63","0.366"
"184","Kyle Webb","Concord","Sr.","INF","42","142","52","0.366"
"185","Eric Schlitter","Bridgeport","Jr.","1B","33","112","41","0.366"
"186","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","153","56","0.366"
"187","Mike Diorio","Lynn","Jr.","INF","37","123","45","0.366"
"188","Brian Yeung","Wingate","So.","INF","54","238","87","0.366"
"189","Keith Morrisroe","Concord","Jr.","C","41","145","53","0.366"
"190","Bo Darby","West Virginia St.","Sr.","INF","31","104","38","0.365"
"191","Zach Krueger","Metro St.","Sr.","OF","39","148","54","0.365"
"192","Josh Federico","Oakland City","Sr.","SS","29","85","31","0.365"
"","Andrew Garcia","Cameron","Jr.","1B","44","170","62","0.365"
"","Cory Wilkins","Miles","Sr.","OF","31","85","31","0.365"
"","Logan Williams","Southern Ark.","Sr.","3B","44","170","62","0.365"
"196","Heath Peterson","Montevallo","Jr.","1B","43","173","63","0.364"
"197","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","165","60","0.364"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","143","52","0.364"
"199","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","146","53","0.363"
"200","Zach Taylor","West Fla.","Sr.","OF","36","102","37","0.363"
"201","Cory Phillips","Grand Valley St.","Sr.","INF","36","91","33","0.363"
"","John Willner","Valdosta St.","Sr.","OF","47","182","66","0.363"
"203","Taylor Johnson","St. Edward's","So.","2B","44","171","62","0.363"
"204","Tucker Brown","Central Okla.","Jr.","INF","43","160","58","0.363"
"","Robert Kelly","St. Anselm","So.","1B","44","160","58","0.363"
"","Michael Knox","Mount Olive","Jr.","DH","46","160","58","0.363"
"207","Bret Blevins","Concord","Fr.","INF","40","149","54","0.362"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","149","54","0.362"
"209","Aaron Scoville","Shepherd","Fr.","INF","33","127","46","0.362"
"210","Josh Haley","UNC Pembroke","Jr.","OF","48","191","69","0.361"
"211","Thomas Robulack","Newman","Sr.","INF","42","133","48","0.361"
"212","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","158","57","0.361"
"213","Tony Mueller","Winona St.","Jr.","OF","37","122","44","0.361"
"214","Brian Erie","Northern Ky.","Sr.","C","41","147","53","0.361"
"215","Brandon Small","Albany St. (GA)","Jr.","SS","45","150","54","0.360"
"216","Zak Blair","Mercyhurst","So.","INF","44","164","59","0.360"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","164","59","0.360"
"218","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","139","50","0.360"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","139","50","0.360"
"220","Michel Coffey","Ga. Southwestern","So.","C","48","203","73","0.360"
"221","Kaleb Cunningham","Indianapolis","Sr.","INF","43","156","56","0.359"
"","Colin Kish","Fla. Southern","Jr.","OF","40","156","56","0.359"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","156","56","0.359"
"","Brian Simone","West Ala.","Sr.","OF","41","156","56","0.359"
"225","Cliff Quick","Cal St. L.A.","Jr.","OF","41","131","47","0.359"
"226","Dion Bryant","Stillman","Jr.","OF","41","159","57","0.358"
"227","Jason Reitenbach","Findlay","Sr.","INF","43","134","48","0.358"
"228","Omar Velazquez","Adelphi","Sr.","OF","42","162","58","0.358"
"229","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","190","68","0.358"
"230","Rob LaFrance","Southwestern Okla.","Jr.","OF","37","109","39","0.358"
"","Jeremy Williams","Tuskegee","So.","P","32","109","39","0.358"
"232","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","165","59","0.358"
"233","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","179","64","0.358"
"234","Patrick Chandler","Rockhurst","So.","OF","37","112","40","0.357"
"","Mark Darlington","West Va. Wesleyan","Sr.","OF","36","126","45","0.357"
"","Josh Miller","S.C. Aiken","So.","C","46","182","65","0.357"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","154","55","0.357"
"238","Troy Snitker","North Ga.","Jr.","C","49","185","66","0.357"
"239","Trey Buck","Southern Ark.","Jr.","SS","45","143","51","0.357"
"240","Raphael Amey","Kentucky St.","Jr.","SS","38","129","46","0.357"
"241","Cash Barker","Tex. A&M-Kingsville","So.","C","36","87","31","0.356"
"242","Mike Snyder","Fla. Southern","Jr.","INF","41","160","57","0.356"
"243","Cody Young","Lock Haven","Sr.","SS","39","146","52","0.356"
"244","Brian Ernst","East Stroudsburg","So.","1B","39","132","47","0.356"
"245","Braxton Graven","Bellarmine","Sr.","OF","44","149","53","0.356"
"246","Ladarrius Cole","West Ala.","Jr.","OF","41","166","59","0.355"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","166","59","0.355"
"248","J Cox","Virginia St.","Fr.","-","46","152","54","0.355"
"249","Anthony Salinas","Fort Hays St.","Jr.","OF","39","138","49","0.355"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","138","49","0.355"
"251","Alex Trojan","Wayne St. (MI)","Jr.","3B","39","124","44","0.355"
"252","Jake Sloan","North Ala.","Jr.","P","42","141","50","0.355"
"253","Gates Cook","Augustana (SD)","Sr.","OF","35","110","39","0.355"
"","Patrick Taylor","Delta St.","Sr.","C","39","110","39","0.355"
"255","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","158","56","0.354"
"256","Nate Baumann","Augustana (SD)","Sr.","OF","39","144","51","0.354"
"","Evan Claus","Metro St.","Jr.","1B","31","96","34","0.354"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","192","68","0.354"
"259","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","130","46","0.354"
"260","Damon Elder","Tampa","Jr.","OF","45","164","58","0.354"
"","Derrion Washington","LeMoyne-Owen","Fr.","-","26","82","29","0.354"
"262","Danny Susdorf","UC San Diego","So.","OF","46","181","64","0.354"
"263","Tyler Gaby","King (TN)","Fr.","OF","37","116","41","0.353"
"264","Daniel Homann","St. Edward's","Fr.","C","36","119","42","0.353"
"","Jon Wandling","Ky. Wesleyan","Fr.","P","28","85","30","0.353"
"266","Steven Helget","Minn. St. Mankato","Sr.","C","39","122","43","0.352"
"","Kyle Stoudt","Kutztown","Fr.","-","35","122","43","0.352"
"268","Austin Dubberly","Montevallo","So.","INF","39","159","56","0.352"
"269","David Kaplan","Metro St.","So.","2B","40","142","50","0.352"
"270","Ryan Lewis","Columbus St.","Jr.","OF","46","179","63","0.352"
"271","Zane Hensley","Tarleton St.","Sr.","DH","46","162","57","0.352"
"","Michael Shepherd","Ohio Valley","Jr.","INF","36","108","38","0.352"
"273","Cody Coffman","Tusculum","Jr.","1B","47","145","51","0.352"
"","Zach Stone","Millersville","So.","3B","45","145","51","0.352"
"275","Ryan McChesney","Florida Tech","Jr.","C","47","182","64","0.352"
"276","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","148","52","0.351"
"","Blake Tagmyer","UC San Diego","Sr.","2B","37","111","39","0.351"
"278","Cameron Duncan","Tuskegee","Fr.","P","33","114","40","0.351"
"","Tyler Fayden","Southwest Minn. St.","Sr.","OF","30","114","40","0.351"
"280","Tyler Choate","Southern Ind.","Sr.","P","45","154","54","0.351"
"281","Jeff Popick","Colorado Mesa","Jr.","OF","40","137","48","0.350"
"","Selwyn Young","Benedict","Sr.","SS","39","137","48","0.350"
"283","Derek Kline","Millersville","Sr.","1B","45","157","55","0.350"
"284","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","177","62","0.350"
"285","Mike Dowd","Franklin Pierce","Jr.","C","43","160","56","0.350"
"","Matt Hunt","Saginaw Valley","Jr.","3B","37","120","42","0.350"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","140","49","0.350"
"","Jared Mothershed","North Ala.","Sr.","OF","43","140","49","0.350"
"","Josh Troutman","Limestone","Sr.","P","39","120","42","0.350"
"290","Chase Presley","Harding","Jr.","INF","46","183","64","0.350"
"291","Austin Voros","Tex. A&M Int'l","Jr.","OF","39","123","43","0.350"
"292","Richard Forkin","Lewis","Sr.","INF","33","126","44","0.349"
"293","Matt Boulter","Southern N.H.","So.","SS","44","149","52","0.349"
"294","John Couch","Lincoln Memorial","Sr.","INF","51","192","67","0.349"
"295","Chase Barnes","Pittsburg St.","Jr.","OF","38","129","45","0.349"
"","Nick Erminio","Seton Hill","Jr.","INF","37","129","45","0.349"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","129","45","0.349"
"298","John Roberts","Armstrong","Jr.","C","46","198","69","0.348"
"299","Cedric Belt","Lincoln (MO)","Sr.","OF","40","155","54","0.348"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","155","54","0.348"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","155","54","0.348"
"302","Steven Brault","Regis (CO)","Fr.","P","43","135","47","0.348"
"","Trent Kinnear","Harding","Sr.","OF","40","135","47","0.348"
"304","Willis Bradwell","Morehouse","Sr.","OF","35","115","40","0.348"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","138","48","0.348"
"","Shawn Pleffner","Tampa","Jr.","OF","41","138","48","0.348"
"307","Chris Ballou","Tex. A&M-Kingsville","Jr.","OF","42","141","49","0.348"
"308","Julian Duran","Tex. A&M-Kingsville","Fr.","OF","36","95","33","0.347"
"309","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","170","59","0.347"
"","Robert Skinner","Lander","Sr.","INF","49","170","59","0.347"
"","Jordan Whitman","Cal Poly Pomona","So.","OF","45","170","59","0.347"
"312","Dillon Downs","Eastern N.M.","Jr.","C","33","98","34","0.347"
"313","Johnathan James","Hawaii Hilo","So.","INF","37","124","43","0.347"
"314","Blake Gentry","Southeastern Okla.","Jr.","OF","45","176","61","0.347"
"315","Tate Leapaldt","Mary","Fr.","3B","35","101","35","0.347"
"","Steven Martinez","Pace","Fr.","INF","31","101","35","0.347"
"317","Kelly Gau","Central Wash.","Sr.","INF","39","127","44","0.346"
"","Eitan Maoz","UNC Pembroke","Jr.","C","37","127","44","0.346"
"319","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","182","63","0.346"
"","Brendan Barry","Post","Sr.","INF","33","130","45","0.346"
"","Brett Cisper","Northern Ky.","So.","INF","43","156","54","0.346"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","156","54","0.346"
"","Corbin Williams","Albany St. (GA)","So.","2B","43","156","54","0.346"
"324","Daniel Dillard","Western Ore.","Sr.","OF","42","159","55","0.346"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","159","55","0.346"
"326","Brandon Day","Cal St. San B'dino","Jr.","C","40","136","47","0.346"
"327","Mike Bolling","Lewis","Jr.","OF","30","110","38","0.345"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","165","57","0.345"
"329","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","139","48","0.345"
"330","Matt Henriksen","Tusculum","So.","INF","48","168","58","0.345"
"331","Julius McDougal","Claflin","Jr.","INF","34","113","39","0.345"
"332","Sean Cotten","Tusculum","Sr.","C","50","174","60","0.345"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","174","60","0.345"
"334","Vern Powell","Indiana (PA)","Sr.","3B","46","148","51","0.345"
"335","Jacob Karr","Wingate","Jr.","INF","52","183","63","0.344"
"","Seth Tressler","Mansfield","So.","2B","35","122","42","0.344"
"337","Chandler Klute","Neb.-Kearney","So.","C","35","125","43","0.344"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","125","43","0.344"
"339","Gavin Meyer","Quincy","So.","OF","44","157","54","0.344"
"340","Spencer Ammons","Mo.-St. Louis","Jr.","3B","38","128","44","0.344"
"","Kyle Wager","Colorado St.-Pueblo","Sr.","C","40","128","44","0.344"
"342","Gary Williams","West Va. Wesleyan","Sr.","SS","35","131","45","0.344"
"343","Cody Baker","Lincoln Memorial","So.","OF","51","198","68","0.343"
"","Brandon Buchanan","Neb.-Kearney","Sr.","INF","33","99","34","0.343"
"345","Brad Smith","Bloomsburg","Fr.","P","39","134","46","0.343"
"346","Kramer Clark","Brevard","Jr.","INF","39","137","47","0.343"
"","Dan Skelly","Northeastern St.","Jr.","C","38","137","47","0.343"
"348","Justin Bagbey","Chowan","Jr.","INF","46","140","48","0.343"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","140","48","0.343"
"","Zach Martin","Pitt.-Johnstown","Sr.","OF","33","105","36","0.343"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","175","60","0.343"
"","Jake Morris","Northern Ky.","Jr.","INF","38","105","36","0.343"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","140","48","0.343"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","140","48","0.343"
"355","Mark O'Flynn","Merrimack","So.","P","36","143","49","0.343"
"356","Madison Beaird","Arkansas Tech","So.","OF","46","184","63","0.342"
"","Austin Smith","Lynn","Jr.","OF","46","184","63","0.342"
"358","David Albritton","Emporia St.","Sr.","C","43","149","51","0.342"
"359","Manny Acosta","Cal St. L.A.","Fr.","INF","45","152","52","0.342"
"360","Jacob White","Emporia St.","Sr.","SS","40","117","40","0.342"
"361","Patrick Arntson","Upper Iowa","Jr.","1B","44","158","54","0.342"
"","Ryan Engrav","Newman","Sr.","INF","42","158","54","0.342"
"363","Mike Godwin","Wilmington (DE)","Jr.","P","39","120","41","0.342"
"","William Ward","Chowan","So.","OF","44","120","41","0.342"
"365","Mitch Roy","Alderson-Broaddus","Jr.","OF","35","123","42","0.341"
"366","Frank Salerno","St. Thomas Aquinas","So.","INF","41","126","43","0.341"
"367","Giancarlo Brugnoni","Grand Valley St.","So.","1B","32","85","29","0.341"
"368","Brain Laznik","Erskine","Sr.","OF","50","176","60","0.341"
"","Michael Thames","Paine","So.","OF","39","132","45","0.341"
"370","Nicholas Canterbury","Alderson-Broaddus","Sr.","OF","33","91","31","0.341"
"","Will Miller","West Tex. A&M","Sr.","OF","47","182","62","0.341"
"372","Jake Griesemer","East Stroudsburg","Jr.","INF","39","138","47","0.341"
