"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Sikes Orvis","Ole Miss","Jr.","INF","25","81","45"
"","Connor Owings","Coastal Caro.","So.","INF","23","92","45"
"","Mike Papi","Virginia","Jr.","OF","22","77","45"
"","Robert Pehl","Washington","Jr.","2B","22","86","45"
"","Alex Robles","Austin Peay","Fr.","INF","22","83","45"
"","Tyler Slaton","Clemson","Jr.","OF","23","100","45"
"","Dansby Swanson","Vanderbilt","So.","INF","25","98","45"
"","Matt Tellor","Southeast Mo. St.","Sr.","1B","23","97","45"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","94","45"
"","Boomer White","TCU","So.","C","23","90","45"
"166","Nathan Becker","Davidson","Jr.","OF","17","68","44"
"","Troy Black","Maine","Sr.","INF","24","103","44"
"","Garrett Boulware","Clemson","Jr.","C","23","86","44"
"","Austin Byler","Nevada","Jr.","INF","23","87","44"
"","Alex Close","Liberty","Jr.","C","24","94","44"
"","Matt Conway","Wake Forest","Sr.","INF","24","97","44"
"","Will Craig","Wake Forest","Fr.","INF","25","80","44"
"","Robert Currie","Navy","So.","OF","23","85","44"
"","Chase Davis","UAB","Jr.","OF","25","102","44"
"","J.D. Davis","Cal St. Fullerton","Jr.","INF","21","82","44"
"","Colin Gay","Maine","Sr.","OF","24","98","44"
"","Cole Lankford","Texas A&M","Jr.","C","24","99","44"
"","Travis Maezes","Michigan","So.","INF","23","92","44"
"","Jordan McDonald","UNC Greensboro","Jr.","INF","21","75","44"
"","Alex Real","New Mexico","Jr.","C","25","98","44"
"","Kyle Schwarber","Indiana","Jr.","C","21","83","44"
"","Nelson Ward","Georgia","Jr.","INF","25","96","44"
"","John Welborn","UTSA","Sr.","OF","23","95","44"
"184","Jimmy Allen","Cal Poly","Sr.","INF","23","93","43"
"","Anthony Azar","Sam Houston St.","Sr.","C","22","89","43"
"","Nick Berry","Charleston So.","Sr.","OF","23","100","43"
"","Connor Bright","South Carolina","Jr.","INF","22","83","43"
"","Josiah Burney","Old Dominion","Sr.","INF","22","62","43"
"","Branden Castro","Alabama St.","So.","INF","29","111","43"
"","Ryan Church","Western Ky.","Jr.","1B","24","99","43"
"","Austin Darby","Nebraska","Jr.","OF","21","85","43"
"","Blaise Fernandez","George Mason","Sr.","INF","21","87","43"
"","Danny Grauer","Liberty","Sr.","P","22","85","43"
"","Derek Hasenbeck","Xavier","Jr.","C","22","95","43"
"","Ryan Kennedy","Florida A&M","Jr.","INF","21","85","43"
"","Doug Kraeger","Richmond","So.","INF","21","85","43"
"","Lee Longo","Eastern Mich.","Sr.","INF","19","75","43"
"","Tripp Martin","Samford","Jr.","INF","23","87","43"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","86","43"
"","Garrett Pitts","Troy","Sr.","INF","24","95","43"
"","Cesar Rivera","Alabama St.","Jr.","OF","27","102","43"
"","Chris Robinson","Morehead St.","Jr.","C","23","93","43"
"","Hayden Simerly","Sam Houston St.","Jr.","OF","24","92","43"
"","Kal Simmons","Kennesaw St.","So.","SS","27","115","43"
"","Justin Stawychny","La.-Monroe","Jr.","OF","25","89","43"
"","Zach Stephens","Tennessee Tech","Sr.","1B","24","101","43"
"","Mike Warren","UTSA","Sr.","1B","24","93","43"
"","Zander Wiel","Vanderbilt","So.","INF","25","85","43"
"209","Jonathan Allison","Lipscomb","Jr.","OF","24","102","42"
"","Bryant Burleson","Texas Tech","Jr.","INF","26","96","42"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","97","42"
"","Bill Cullen","VCU","Sr.","OF","23","84","42"
"","Matt Dacey","Richmond","So.","INF","18","75","42"
"","David Daniels","Davidson","Jr.","INF","20","88","42"
"","Andrew Ely","Washington","Jr.","INF","22","74","42"
"","Corey Furman","Bucknell","Sr.","OF","15","57","42"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","90","42"
"","Griff Gordon","Jacksonville St.","Sr.","OF","23","97","42"
"","Jacob Hayes","Indiana St.","Jr.","INF","20","82","42"
"","Hunter Hope","Tulane","Fr.","INF","23","92","42"
"","Austin Hulsey","Alabama A&M","So.","INF","23","88","42"
"","Tyler Leffler","Bradley","So.","INF","19","67","42"
"","Ryan Leonards","La.-Lafayette","Sr.","SS","24","93","42"
"","Mitch Longo","Ohio","Fr.","OF","18","70","42"
"","Chayse Marion","McNeese St.","Sr.","INF","22","83","42"
"","Sean McMullen","LSU","Sr.","OF","22","81","42"
"","Cam McRae","Presbyterian","Jr.","C","25","94","42"
"","Max Murphy","Bradley","Jr.","OF","19","71","42"
"","Chris Ohmstede","Furman","Jr.","3B","24","94","42"
"","Chase Shelton","Charleston So.","Jr.","1B","25","99","42"
"","Jordan Simpson","Furman","So.","SS","24","103","42"
"","Ridge Smith","Austin Peay","Fr.","C","22","83","42"
"","Dykota Spiess","Western Caro.","Sr.","INF","21","82","42"
"","Cole Sturgeon","Louisville","Sr.","OF","23","97","42"
"","Michael Suiter","Kansas","Jr.","OF","24","94","42"
"","Demetre Taylor","Eastern Ill.","Jr.","OF","21","78","42"
"","Tim Zier","San Diego St.","Sr.","INF","23","90","42"
"238","Blake Butler","Col. of Charleston","So.","INF","23","96","41"
"","Ryan Cleveland","Ga. Southern","Fr.","INF","24","85","41"
"","Michael Conforto","Oregon St.","Jr.","OF","24","75","41"
"","Corey Dick","UNC Wilmington","Jr.","INF","22","86","41"
"","Caleb Dugas","Northwestern St.","Jr.","P","22","87","41"
"","Joe Ford","Wright St.","Sr.","INF","22","87","41"
"","Justin Gonzalez","Florida St.","Sr.","INF","23","87","41"
"","Chase Green","SIU Edwardsville","Jr.","INF","20","87","41"
"","P.J. Higgins","Old Dominion","So.","INF","24","107","41"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","84","41"
"","Caleb Howell","Eastern Ill.","Jr.","OF","23","89","41"
"","Kevin Husum","James Madison","Jr.","OF","22","83","41"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","85","41"
"","Tyler Krieger","Clemson","So.","INF","23","88","41"
"","Cody Leichman","Central Mich.","Jr.","1B","22","76","41"
"","Kyle Martin","South Carolina","Jr.","1B","22","81","41"
"","DJ Miller","Delaware St.","Sr.","INF","17","57","41"
"","Justin Protacio","Kansas","Jr.","INF","23","101","41"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","88","41"
"","Daniel Spingola","Georgia Tech","Jr.","OF","24","89","41"
"","Michael Suchy","FGCU","Jr.","OF","24","91","41"
"","Boo Vazquez","Pittsburgh","Jr.","OF","22","87","41"
"","Bo Way","Kennesaw St.","Sr.","OF","26","103","41"
"","Kyle Weston","James Madison","So.","INF","19","79","41"
"","Brock Whitney","BYU","Sr.","1B","25","97","41"
"","Carter Williamson","N.C. Central","Sr.","C","23","80","41"
"","Trent Woodward","Fresno St.","Jr.","C","24","88","41"
"","Taylor Zeutenhorst","Iowa","Sr.","OF","20","80","41"
