"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"81","Jeff Hoffman","East Carolina","Jr.","P","6","38.0","39","9.24"
"","Anthony Montefusco","George Mason","Sr.","P","6","38.0","39","9.24"
"83","Austin Gomber","Fla. Atlantic","Jr.","P","6","39.0","40","9.23"
"84","Shane McCain","Troy","Sr.","P","6","40.0","41","9.23"
"85","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","28","9.22"
"","Andre Scrubb","High Point","Fr.","P","6","27.1","28","9.22"
"87","Dillon Newman","Baylor","Sr.","P","6","28.1","29","9.21"
"88","Austin Robichaux","La.-Lafayette","Jr.","P","6","46.0","47","9.20"
"89","John McLeod","Wake Forest","Jr.","P","6","35.1","36","9.17"
"","T.J. Weir","Ball St.","Sr.","INF","7","35.1","36","9.17"
"91","David Bednar","Lafayette","Fr.","P","3","18.2","19","9.16"
"92","Parker Trewin","North Dakota St.","Jr.","P","4","20.2","21","9.15"
"93","Aaron Brown","Pepperdine","Jr.","OF","6","42.1","43","9.14"
"94","Ryan Burr","Arizona St.","So.","P","10","22.2","23","9.13"
"95","Logan McAnallen","Michigan","Sr.","P","7","24.2","25","9.12"
"96","Justin Garza","Cal St. Fullerton","So.","P","4","25.2","26","9.12"
"97","John Sever","Bethune-Cookman","Jr.","P","8","26.2","27","9.11"
"98","Eric Stout","Butler","Jr.","P","6","28.2","29","9.10"
"99","Josh Sborz","Virginia","So.","P","6","31.2","32","9.09"
"100","Matt Anderson","Morehead St.","So.","P","6","34.2","35","9.09"
"","Jake Jenkins","Pacific","So.","P","8","34.2","35","9.09"
"102","Stephen Moore","Navy","Jr.","P","6","40.2","41","9.07"
"103","Cameron White","Air Force","Sr.","P","7","41.2","42","9.07"
"104","Andrew Morales","UC Irvine","Sr.","P","6","43.2","44","9.07"
"105","Cale Elam","Wichita St.","Sr.","P","5","34.0","34","9.00"
"","Jojo Howie","VCU","Jr.","P","6","37.0","37","9.00"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","29","9.00"
"","Zach Muckenhirn","North Dakota","Fr.","P","4","22.0","22","9.00"
"","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","41","9.00"
"110","Jeremy Null","Western Caro.","Jr.","P","6","44.1","44","8.93"
"111","Nick Deckert","FGCU","Jr.","P","7","38.1","38","8.92"
"112","Cody Schumacher","Missouri St.","Sr.","P","6","37.1","37","8.92"
"113","Max Povse","UNC Greensboro","Jr.","P","6","35.1","35","8.92"
"114","Zach Thompson","Texas-Arlington","Jr.","P","6","32.1","32","8.91"
"115","Jon Perrin","Oklahoma St.","Jr.","P","10","30.1","30","8.90"
"116","Matthew Crownover","Clemson","So.","P","6","26.1","26","8.89"
"117","Mike Burke","Lehigh","Sr.","P","4","22.1","22","8.87"
"118","Beau Dees","Presbyterian","Jr.","P","7","37.2","37","8.84"
"119","Caleb Wallingford","Memphis","Jr.","P","7","34.2","34","8.83"
"120","Justin Kamplain","Alabama","Jr.","P","6","33.2","33","8.82"
"121","Kenny Oakley","UNLV","So.","P","7","30.2","30","8.80"
"122","David Koll","Bradley","Jr.","P","6","29.2","29","8.80"
"123","David Ellingson","Georgetown","Fr.","P","6","27.2","27","8.78"
"","Carson Herndon","Liberty","Jr.","P","6","27.2","27","8.78"
"","Domenic Mazza","UC Santa Barbara","So.","P","6","27.2","27","8.78"
"126","Nick Eicholtz","Alabama","Fr.","P","7","24.2","24","8.76"
"","Craig Pearcy","Morehead St.","So.","P","9","24.2","24","8.76"
"128","Matthew Milburn","Wofford","So.","P","6","36.0","35","8.75"
"129","Danny Mooney","Davidson","Sr.","P","6","33.0","32","8.73"
"130","Walker Buehler","Vanderbilt","So.","P","6","31.0","30","8.71"
"131","Joshua Freeman","Alabama A&M","Jr.","P","5","28.0","27","8.68"
"132","Sean Buckle","Loyola Marymount","Jr.","P","7","27.0","26","8.67"
"133","Nick Dignacco","Army","Sr.","P","6","35.1","34","8.66"
"134","James Farris","Arizona","Sr.","P","7","48.0","46","8.63"
"135","Dylan Toscano","Memphis","Jr.","P","7","23.0","22","8.61"
"136","Ryan Meisinger","Radford","So.","INF","6","30.1","29","8.60"
"","David Owen","Arkansas St.","So.","P","6","30.1","29","8.60"
"138","Jordan Foley","Central Mich.","Jr.","P","6","36.2","35","8.59"
"","Nathan Harsh","Kennesaw St.","Jr.","P","6","29.1","28","8.59"
"140","Jeff Schank","Butler","Fr.","P","6","28.1","27","8.58"
"","Kurt Sowa","Rider","Jr.","P","5","28.1","27","8.58"
"142","Matt Borens","Eastern Ill.","Jr.","P","6","41.0","39","8.56"
"","Drew Van Orden","Duke","Sr.","P","6","27.1","26","8.56"
"144","Tommy Lawrence","Maine","Sr.","P","6","40.0","38","8.55"
"145","Frankie Vanderka","Stony Brook","Sr.","P","5","32.2","31","8.54"
"146","Andrew Vernon","N.C. Central","So.","P","11","25.1","24","8.53"
"","Rich Vrana","Marist","Jr.","P","5","19.0","18","8.53"
"148","Christian Trent","Ole Miss","So.","P","6","37.0","35","8.51"
"149","Adam Aldred","Central Mich.","So.","P","7","36.0","34","8.50"
"150","Trevor Belicek","A&M-Corpus Christi","Jr.","P","6","35.0","33","8.49"
"151","Jared West","Houston","So.","P","6","28.2","27","8.48"
"152","Alex McRae","Jacksonville","Jr.","P","7","34.0","32","8.47"
"","Jared Ruxer","Louisville","Jr.","P","6","34.0","32","8.47"
"154","Connor Walsh","Cincinnati","So.","P","6","22.1","21","8.46"
"155","Brad Kuntz","Baylor","Jr.","P","6","33.0","31","8.45"
"156","Ian Parvin","Penn St.","Sr.","P","9","26.2","25","8.44"
"157","PJ Conlon","San Diego","So.","P","6","36.1","34","8.42"
"","Jack Wynkoop","South Carolina","So.","P","6","36.1","34","8.42"
"159","Jhar Devilme","Coppin St.","So.","P","8","20.1","19","8.41"
"","Taylor Black","Texas St.","Jr.","P","6","40.2","38","8.41"
"161","Nick Nuemann","Central Conn. St.","Sr.","P","3","15.0","14","8.40"
"162","Christian Cecilio","San Francisco","Jr.","P","6","34.1","32","8.39"
"","Jared Lyons","Liberty","Jr.","P","8","34.1","32","8.39"
"","Matt Margaritonda","Marshall","Jr.","P","6","34.1","32","8.39"
"165","Tanner Hicks","Troy","Sr.","P","6","44.0","41","8.39"
"166","Lucas Humpal","Texas St.","So.","P","6","38.2","36","8.38"
"","Alex Robinett","Army","Jr.","P","6","38.2","36","8.38"
"","David Stagg","Indiana St.","Jr.","P","6","38.2","36","8.38"
"169","Kyle Driscoll","Rutgers","Fr.","P","6","28.0","26","8.36"
"170","Nick Neitzel","Davidson","Jr.","P","6","27.0","25","8.33"
"171","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","28","8.31"
"172","Jake Rudnicki","Ohio","Fr.","P","6","25.0","23","8.28"
"173","Michael Burke","Buffalo","Sr.","P","5","36.0","33","8.25"
"174","Connor Grey","St. Bonaventure","So.","P","4","19.2","18","8.24"
"175","Corey Miller","Pepperdine","Sr.","P","6","47.0","43","8.23"
"176","Jake Post","Ohio St.","So.","P","6","23.0","21","8.22"
"","Michael Theofanopoulos","California","Sr.","OF","6","23.0","21","8.22"
"","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","28","8.22"
"179","Dan Ludwig","Belmont","Jr.","P","7","34.0","31","8.21"
"180","Shane Hollman","La Salle","Jr.","P","6","26.1","24","8.20"
"181","Luke Weaver","Florida St.","Jr.","P","6","37.1","34","8.20"
"182","Nick Bates","Saint Louis","Jr.","P","7","29.2","27","8.19"
"","Darron Mckigney","New Orleans","Sr.","P","8","29.2","27","8.19"
"184","Tim Borst","Fresno St.","So.","P","8","33.0","30","8.18"
"","Billy Laing","Butler","Sr.","P","11","22.0","20","8.18"
"","Terry McNabb","N.C. Central","Sr.","P","6","33.0","30","8.18"
"187","Grahamm Wiest","Cal St. Fullerton","Jr.","P","5","36.1","33","8.17"
"188","Ryan Wells","IPFW","Jr.","P","6","25.1","23","8.17"
"189","Mac Acker","Seattle","Sr.","P","5","28.2","26","8.16"
"190","Nick Jensen-Clagg","Kent St.","So.","P","4","21.0","19","8.14"
"191","Frank Duncan","Kansas","Sr.","P","6","45.1","41","8.14"
"192","Bradley Wallace","Arkansas St.","Sr.","P","6","24.1","22","8.14"
"193","Santos Saldivar","Southern U.","Jr.","P","5","27.2","25","8.13"
"194","Logan Cribb","Citadel","Sr.","P","6","31.0","28","8.13"
"","Connor Kaden","Wake Forest","Jr.","P","7","31.0","28","8.13"
"196","Adam Choplick","Oklahoma","So.","P","6","34.1","31","8.13"
"197","Matt Cooper","Hawaii","Sr.","P","6","41.0","37","8.12"
"198","Tim Koons","Oakland","Sr.","P","3","20.0","18","8.10"
"","Zach Plesac","Ball St.","Fr.","P","12","33.1","30","8.10"
"200","Parker French","Texas","Jr.","P","7","39.0","35","8.08"
