"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"36","Matt Lopez","San Jose St.","So.","INF","34","84","29","15","8","2","0","0.477"
"37","Matt Foat","Southern California","Sr.","INF","38","143","53","23","6","0","3","0.477"
"38","Luis Diaz","N.C. Central","Jr.","OF","44","157","58","20","13","1","0","0.476"
"39","Matt Ford","Hofstra","Jr.","INF","39","159","62","26","1","1","2","0.476"
"","Ryan Haas","Delaware St.","Jr.","INF","42","152","58","22","9","4","0","0.476"
"41","Michael Sterling","Southern Miss.","Fr.","INF","42","98","24","20","25","2","4","0.476"
"42","Bryan Aanderud","Liberty","Jr.","INF","48","179","66","27","14","5","1","0.476"
"43","Tyler White","Western Caro.","Jr.","INF","44","168","65","22","9","3","3","0.475"
"44","Phil Ruzbarsky","Richmond","Sr.","OF","39","142","51","26","8","3","1","0.475"
"45","Tanner Waite","New Mexico St.","Sr.","OF","43","151","45","52","1","3","0","0.473"
"46","Chris Deleon","Texas Southern","So.","INF","41","93","25","27","10","1","6","0.473"
"47","Brandon Bayardi","UNLV","Jr.","OF","44","164","61","26","10","5","0","0.473"
"","Jake Kirkland","Campbell","Jr.","INF","45","172","65","24","8","1","0","0.473"
"","Ryan Tella","Auburn","So.","OF","44","170","64","30","3","2","5","0.473"
"50","Kevin McKague","Army","Sr.","1B","46","167","62","21","13","2","2","0.473"
"51","Tyler Smith","Oregon St.","Jr.","INF","40","138","53","23","2","2","13","0.473"
"52","Andrew Deeds","Morehead St.","Sr.","OF","42","173","71","12","8","0","0","0.472"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","58","30","3","1","0","0.472"
"54","Anthony Defabio","Pittsburgh","Sr.","C","41","152","51","26","13","0","1","0.471"
"55","Brandon Thomas","Georgia Tech","Jr.","OF","44","171","62","26","10","1","2","0.471"
"56","Wade Hinkle","Kansas St.","Sr.","INF","42","146","47","33","9","1","1","0.471"
"57","Evan Boyd","Mercer","Jr.","SS","47","172","58","37","9","3","6","0.471"
"","Billy Burgess","Utah Valley","Sr.","OF","40","154","59","23","6","4","0","0.471"
"","Jared King","Virginia","Sr.","INF","45","150","47","43","6","5","1","0.471"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","172","68","20","8","4","2","0.471"
"","Nick Schneeberger","Tulane","Sr.","INF","44","170","65","27","4","3","0","0.471"
"62","Jake Rickenbach","Utah Valley","Sr.","SS","41","165","60","28","7","2","2","0.470"
"63","Stephen McGee","Florida St.","Jr.","C","43","126","32","42","13","4","2","0.470"
"64","Johnny Field","Arizona","So.","OF","42","161","57","29","7","1","6","0.470"
"","Christian Walker","South Carolina","Jr.","INF","44","158","54","32","7","1","0","0.470"
"66","Jeff Gelalich","UCLA","Jr.","OF","40","152","58","23","3","1","0","0.469"
"67","Jordan Keur","Michigan St.","Jr.","OF","42","180","71","18","8","1","4","0.469"
"68","Travis Jankowski","Stony Brook","Jr.","OF","44","164","64","17","8","1","3","0.468"
"","Dario Pizzano","Columbia","Jr.","OF","44","150","54","30","5","5","0","0.468"
"70","Jayce Boyd","Florida St.","Jr.","1B","42","162","66","20","2","4","0","0.468"
"71","Zach Briggs","South Dakota St.","Sr.","C","33","89","24","26","8","1","4","0.468"
"","Jeff Keller","Dartmouth","So.","OF","31","108","42","11","5","0","0","0.468"
"73","Derek Jones","Washington St.","Sr.","OF","39","148","53","24","7","1","0","0.467"
"","Brendan Norton","La Salle","Sr.","INF","41","138","35","51","5","1","2","0.467"
"75","Michael Felton","Campbell","Jr.","INF","45","184","76","17","4","3","2","0.466"
"76","Peter O'Brien","Miami (FL)","Sr.","C","36","127","45","23","6","3","1","0.465"
"77","Cameron Cecil","Delaware St.","So.","C","43","153","55","20","12","2","3","0.465"
"","Eric Charles","Purdue","Sr.","INF","40","160","63","20","4","3","6","0.465"
"","Kevin Plawecki","Purdue","Jr.","C","41","156","58","20","9","2","0","0.465"
"80","Jimmy Brenneman","Campbell","Sr.","OF","45","161","47","31","22","1","2","0.465"
"","Lawton Langford","Baylor","So.","INF","40","142","50","27","3","0","9","0.465"
"82","Sean Moysh","Utah Valley","Jr.","OF","41","165","62","29","0","2","2","0.464"
"","Zac Zellers","Kentucky","Jr.","OF","40","129","40","20","18","1","4","0.464"
"84","Michael Chiaravalloti","Iona","Sr.","1B","40","128","43","26","8","4","1","0.464"
"85","Patrick Puentes","Holy Cross","Jr.","OF","39","126","45","23","2","0","2","0.464"
"86","Roger Bernal","Tex.-Pan American","Sr.","INF","36","153","65","9","2","0","1","0.463"
"87","Austin Elkins","Dallas Baptist","Jr.","INF","39","150","59","18","5","4","3","0.463"
"88","Pat Gelwicks","Butler","Jr.","1B","44","150","52","32","3","3","0","0.463"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","174","73","12","2","0","2","0.463"
"90","Trevor Kirk","UNLV","Sr.","OF","40","161","63","14","8","1","0","0.462"
"91","Robert Refsnyder","Arizona","Jr.","OF","42","168","64","17","10","2","2","0.462"
"92","Adam Frazier","Mississippi St.","So.","INF","44","169","58","37","2","2","4","0.462"
"93","Daniel Bowman","Coastal Caro.","Sr.","OF","43","171","67","17","6","1","3","0.462"
"","Sam Eberle","Jacksonville St.","Sr.","INF","38","142","52","22","4","1","0","0.462"
"95","Sean Bignall","UALR","Sr.","OF","43","167","59","15","20","2","0","0.461"
"","Myles Parma","UALR","Jr.","C","42","154","44","41","9","0","0","0.461"
"97","Danny Higa","UNLV","Sr.","INF","44","146","50","28","4","0","2","0.461"
"98","Trea Turner","North Carolina St.","Fr.","INF","42","166","59","30","4","2","5","0.460"
"99","Christian Stringer","Rice","Jr.","INF","41","165","60","25","6","2","2","0.460"
"100","Austin Heaps","Utah Valley","Sr.","OF","41","153","59","23","2","5","0","0.459"
"101","Preston Beck","Texas-Arlington","Jr.","INF","40","146","51","26","6","3","0","0.459"
"102","William Arnold","Central Mich.","Sr.","INF","42","154","53","30","5","3","5","0.458"
"","Ryan Ashe","Wright St.","Sr.","OF","43","166","65","12","11","3","7","0.458"
"104","Justin Maffei","San Francisco","Jr.","OF","47","159","51","29","13","2","1","0.458"
"105","Shane Brown","Charlotte","Sr.","OF","39","157","60","20","2","0","0","0.458"
"106","Goose Kallunki","Utah Valley","Sr.","1B","41","167","68","14","5","4","0","0.458"
"107","Joel Klock","Niagara","So.","P","40","128","38","35","3","0","2","0.458"
"108","Joe Hudson","Notre Dame","Jr.","C","41","141","47","21","13","2","0","0.458"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","152","59","17","5","3","3","0.458"
"110","Dominic Fratantuono","Towson","So.","OF","41","136","42","30","8","1","1","0.457"
"","Kyle Phillips","New Mexico St.","Jr.","OF","38","138","45","27","8","2","0","0.457"
"112","Nick Backlund","Mercer","So.","1B","47","182","70","19","5","0","0","0.456"
"113","Nick Ratajczak","Louisville","Jr.","2B","44","174","58","18","21","0","0","0.455"
"114","Aaron Judge","Fresno St.","So.","P","39","130","41","30","4","1","0","0.455"
"115","John Murphy","Sacred Heart","Jr.","INF","38","126","44","20","5","1","5","0.454"
"116","Saxon Butler","Samford","Sr.","INF","45","180","64","26","8","2","2","0.454"
"117","Jeremy Lucas","Indiana St.","Jr.","C","45","170","61","22","10","3","3","0.454"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","179","70","23","0","3","0","0.454"
"119","Tadd Bower","William & Mary","Sr.","INF","38","136","45","29","4","3","0","0.453"
"120","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","188","73","18","6","2","0","0.453"
"121","Kale Kiser","Nebraska","Sr.","OF","41","113","30","29","13","4","3","0.453"
"122","Jeremy Rathjen","Rice","Jr.","OF","42","157","55","22","9","2","0","0.453"
"123","Jeff Roy","Rhode Island","So.","OF","45","180","66","25","4","1","4","0.452"
"","Tyler Sciacca","Villanova","Sr.","SS","45","177","66","22","7","4","1","0.452"
"125","Brad Moss","Samford","Sr.","C","44","162","55","32","3","2","10","0.452"
"126","Taylor Dugas","Alabama","Sr.","OF","45","169","56","22","16","1","1","0.452"
"127","D Hopkins","Southern U.","---","1B","34","110","37","19","5","1","1","0.452"
"128","Thomas Brown","Grambling","So.","INF","35","145","57","15","3","3","2","0.452"
"129","David Lee","Bethune-Cookman","Jr.","OF","45","156","49","33","7","1","2","0.452"
"130","Clayton Eslick","Gonzaga","Jr.","INF","40","143","48","25","6","1","2","0.451"
"131","D.J. Hicks","UCF","Jr.","1B","45","161","51","45","1","8","0","0.451"
"132","Brian Klukowicz","UMBC","Sr.","OF","31","113","40","17","3","0","0","0.451"
"133","Cullen Wacker","Auburn","Jr.","OF","43","153","55","23","4","2","3","0.451"
"134","Mason Katz","LSU","Jr.","1B","44","157","55","25","6","3","0","0.450"
"135","Zac Fisher","New Mexico St.","Jr.","C","43","169","64","23","3","5","0","0.450"
"136","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","183","69","19","6","1","2","0.450"
"137","Josh Ludy","Baylor","Sr.","C","43","159","59","20","6","4","0","0.450"
"138","Sal Pezzino","High Point","Sr.","INF","40","152","55","15","10","1","7","0.449"
"139","Matt Wessinger","St. John's (NY)","Sr.","2B","44","171","61","28","4","4","2","0.449"
"140","Daniel Kassouf","Appalachian St.","Sr.","INF","41","167","65","13","6","1","0","0.449"
"","Matt Pollock","Buffalo","Jr.","OF","38","159","58","18","8","2","1","0.449"
"142","Ryan Yamane","Northern Colo.","Fr.","INF","39","128","37","32","6","1","3","0.449"
"143","Darren Farmer","Grambling","Jr.","C","41","159","52","21","15","1","6","0.449"
"144","Jon Eisen","Columbia","Sr.","INF","41","150","54","19","6","1","3","0.449"
"145","Jake Carlson","Dartmouth","Sr.","OF","36","121","47","12","2","1","2","0.449"
"","Ben Crumpton","UALR","So.","INF","33","110","35","24","2","0","4","0.449"
"147","Dalton Rouleau","Hofstra","Jr.","INF","36","136","48","20","6","3","3","0.448"
"148","Dominic Ficociello","Arkansas","So.","INF","43","161","56","25","6","2","1","0.448"
"149","Ryan Lindemuth","William & Mary","So.","INF","45","170","60","10","21","2","0","0.448"
"","Tanner Mathis","Ole Miss","Jr.","OF","44","168","56","31","4","0","1","0.448"
"","Tristan Moore","Wright St.","Sr.","OF","44","176","67","19","5","3","4","0.448"
