"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"70","Josh Mann","Valdosta St.","Sr.","P","8","44.2","13","8","1.61"
"","Chris Kubitz","St. Cloud St.","Sr.","P","5","22.1","4","4","1.61"
"72","Dylan James","West Tex. A&M","Sr.","P","7","50.0","10","9","1.62"
"73","Jerry Vasto","Felician","Jr.","P","6","27.2","14","5","1.63"
"74","Joel Belk","Azusa Pacific","So.","INF","4","22.0","9","4","1.64"
"","Thomas Burke","Concordia (NY)","Fr.","P","3","11.0","4","2","1.64"
"76","David Haerle","Cal St. Dom. Hills","Sr.","P","8","43.1","15","8","1.66"
"77","Janson Carr","Southern Ark.","Jr.","P","8","32.1","8","6","1.67"
"","Jacob Westerhouse","North Ala.","Jr.","P","19","32.1","7","6","1.67"
"79","Drew Eiland","Ala.-Huntsville","Sr.","P","7","48.1","13","9","1.68"
"80","Dan Altavilla","Mercyhurst","Jr.","P","4","26.2","6","5","1.69"
"","Michael Gonzalez","St. Thomas Aquinas","Jr.","P","3","16.0","4","3","1.69"
"82","Eric Schweitzer","Ohio Valley","So.","P","4","26.1","6","5","1.71"
"83","Jed Vandernaald","Lynn","Sr.","P","8","47.1","16","9","1.71"
"84","Brett Schneider","Dominican (NY)","So.","P","3","15.2","4","3","1.72"
"","Mike Yerina","Southern Conn. St.","So.","P","5","15.2","5","3","1.72"
"86","Wesley Camp","Newberry","Jr.","P","11","61.2","23","12","1.75"
"87","Jeffrey Conley","Alderson Broaddus","Sr.","P","5","25.2","6","5","1.75"
"88","Jake Feckley","Angelo St.","Sr.","INF","8","55.0","18","11","1.80"
"","Jake Welch","Notre Dame (OH)","Jr.","P","4","25.0","10","5","1.80"
"","Eric Browning","Wayne St. (NE)","So.","P","4","20.0","11","4","1.80"
"91","Jonathan Moody","Delta St.","Jr.","P","7","34.1","7","7","1.83"
"92","Dalton Brown","St. Edward's","Jr.","P","6","29.0","8","6","1.86"
"93","Matt McClain","St. Mary's (TX)","Jr.","P","6","48.0","10","10","1.88"
"94","Levi Westerlund","Lubbock Christian","---","P","8","28.2","13","6","1.88"
"95","Kane McCall","Clarion","---","P","3","19.0","6","4","1.89"
"96","Josh Staumont","Azusa Pacific","So.","P","7","47.1","11","10","1.90"
"","Zack Standefer","Mo.-St. Louis","Sr.","P","3","23.2","6","5","1.90"
"98","Scott Cone","West Tex. A&M","Sr.","P","7","42.1","13","9","1.91"
"99","Vince Frate","Ashland","Jr.","P","6","32.2","12","7","1.93"
"","Barry Amett","Ill.-Springfield","Sr.","P","4","28.0","9","6","1.93"
"","Harrison Paige","American Int'l","So.","P","2","14.0","3","3","1.93"
"102","Kellen Sheppard","Point Loma","Fr.","P","8","51.0","18","11","1.94"
"103","Wilson Ashford","Fresno Pacific","Jr.","P","8","46.1","15","10","1.94"
"104","Bryan Smith","Trevecca Nazarene","So.","P","6","41.2","10","9","1.94"
"105","Dustin Lawson","Lee","Jr.","P","8","37.0","11","8","1.95"
"106","Sean Blackburn","Ohio Dominican","Sr.","P","5","18.1","6","4","1.96"
"","Jonathan Rosario","Mo.-St. Louis","Sr.","P","3","18.1","5","4","1.96"
"108","Andy Hoyer","Charleston (WV)","---","P","5","27.1","13","6","1.98"
"","Curtis McCombs","Bellarmine","Sr.","P","4","27.1","7","6","1.98"
"110","Garrett Hickman","UNC Pembroke","Jr.","P","8","54.0","17","12","2.00"
"","Adrian Benitez","Barry","So.","P","8","45.0","15","10","2.00"
"","David Reese","Mo. Southern St.","Sr.","P","6","36.0","13","8","2.00"
"113","Robert Baroniel","Nova Southeastern","Jr.","P","8","58.1","14","13","2.01"
"114","David Heintz","Tampa","So.","P","8","40.1","10","9","2.01"
"115","Jon Richards","Sonoma St.","Sr.","P","5","31.1","9","7","2.01"
"116","Cody Ponce","Cal Poly Pomona","So.","P","7","35.2","16","8","2.02"
"117","Trevor Oaks","California Baptist","So.","P","8","53.1","19","12","2.03"
"","Aaron Vaughn","Northwest Nazarene","Sr.","P","6","40.0","16","9","2.03"
"119","Paul Hvozdovic","Shepherd","Sr.","P","5","31.0","10","7","2.03"
"120","Austin Gambrell","Erskine","Jr.","INF","7","39.2","13","9","2.04"
"121","null Zgardowski","Angelo St.","---","P","8","44.0","13","10","2.05"
"122","Tyler Hill","Bloomsburg","Jr.","P","5","26.1","8","6","2.05"
"123","Nick Baker","Cal St. Chico","Sr.","P","7","43.2","11","10","2.06"
"124","Collin Sherrod","St. Edward's","So.","P","8","48.0","15","11","2.06"
"125","Jack Fowler","Felician","Jr.","P","7","34.2","10","8","2.08"
"","Jake Heissler","Central Mo.","Sr.","P","6","34.2","10","8","2.08"
"","TJ Santiago","Adelphi","Fr.","P","4","21.2","7","5","2.08"
"128","Drew Mitrisin","William Jewell","Sr.","P","4","30.0","9","7","2.10"
"129","Stephen Paladino","Felician","Sr.","P","10","21.1","10","5","2.11"
"130","Ryan Jones","Lander","Sr.","P","7","38.1","11","9","2.11"
"131","Tanner Delahoy","Mercyhurst","Sr.","P","4","17.0","4","4","2.12"
"","Mike Eckerle","LIU Post","Jr.","P","3","17.0","6","4","2.12"
"133","Andrew Grifol","Tex. Permian Basin","Jr.","P","7","38.0","11","9","2.13"
"","Jared Sterling","Central Okla.","Jr.","INF","6","38.0","15","9","2.13"
"135","Tom Bammann","Dowling","Sr.","P","7","33.2","11","8","2.14"
"136","Matt Allen","Colorado Mesa","So.","P","5","21.0","6","5","2.14"
"137","Logan Hudson","Wheeling Jesuit","Jr.","P","5","29.1","11","7","2.15"
"138","Graylon Brown","Angelo St.","So.","P","14","33.1","17","8","2.16"
"","Dominic Raia III","Chestnut Hill","Jr.","P","3","16.2","8","4","2.16"
"140","Rene Solis","St. Mary's (TX)","Sr.","P","8","54.0","18","13","2.17"
"141","Ryan Woodring","North Greenville","Sr.","P","9","41.1","24","10","2.18"
"142","J.D. Salles","Fresno Pacific","Sr.","P","8","61.2","21","15","2.19"
"","Casey Cooperman","Bloomsburg","Sr.","P","5","37.0","14","9","2.19"
"144","Joey Falletta","Stillman","Sr.","P","7","41.0","15","10","2.20"
"145","Tyler Wilson","Southern Nazarene","Jr.","P","9","28.2","15","7","2.20"
"146","Davis Ward","Ouachita Baptist","Sr.","P","8","61.1","17","15","2.20"
"147","Ryan O'Kane","Le Moyne","So.","P","5","32.2","13","8","2.20"
"","Jay Kluka","Wilmington (DE)","Jr.","P","5","16.1","6","4","2.20"
"149","Jonathan Johnson","Southwestern Okla.","Sr.","P","7","53.0","18","13","2.21"
"150","Don Crook","Post","Sr.","P","4","24.1","8","6","2.22"
"","Matt Jaskolka","Bloomsburg","So.","P","5","24.1","17","6","2.22"
"152","Caden Ferguson","Columbus St.","Jr.","P","8","48.0","15","12","2.25"
"","Josh Tols","Rockhurst","Sr.","P","5","24.0","6","6","2.25"
"","Adam Kramer","Concordia-St. Paul","Sr.","P","3","20.0","5","5","2.25"
"","Anthony Morris","St. Thomas Aquinas","Fr.","P","3","20.0","5","5","2.25"
"156","Marcos Lara","Cal St. Chico","Sr.","P","7","39.1","12","10","2.29"
"157","Dayan Rodriguez","West Florida","Sr.","P","7","31.1","10","8","2.30"
"","Jackson Geary","Post","Sr.","P","4","15.2","8","4","2.30"
"159","David Lerro","Philadelphia U.","Jr.","P","6","27.0","9","7","2.33"
"160","Tyler Brown","GRU Augusta","Fr.","P","9","30.2","17","8","2.35"
"","Jaime Paxton","Southeastern Okla.","---","P","9","30.2","11","8","2.35"
"162","Brian O'Keefe","Bridgeport","Jr.","P","5","26.2","10","7","2.36"
"","Mark Roberts","Truman","So.","P","4","26.2","9","7","2.36"
"164","Denver Diefenbach","Tex. A&M-Kingsville","Sr.","P","7","38.0","13","10","2.37"
"","Brandon Pierce","Okla. Christian","Sr.","P","6","38.0","10","10","2.37"
"","Joe Gutowski","West Chester","---","P","3","19.0","7","5","2.37"
"167","Greg Gonzalez","Queens (NY)","Jr.","P","4","11.1","3","3","2.38"
"168","Colton Burleson","Tarleton St.","Jr.","P","8","49.0","14","13","2.39"
"169","Joe Axelson","Southwest Minn. St.","Jr.","P","5","26.1","8","7","2.39"
"170","Ben O'Bryan","Cal St. East Bay","Sr.","P","6","33.2","11","9","2.41"
"171","Johnathon Wandling","Southern Ind.","Sr.","P","6","37.1","14","10","2.41"
"172","Ryan O'Connor","Bentley","Jr.","P","4","22.1","8","6","2.42"
"173","JJ Bessell","Dowling","Sr.","P","4","26.0","11","7","2.42"
"","Trevor Richards","Drury","Jr.","P","4","26.0","7","7","2.42"
"175","Fernando Gonzalez","West Ala.","Jr.","P","9","48.0","18","13","2.44"
"176","Aaron Jensen","Grand Valley St.","Jr.","P","5","33.0","10","9","2.45"
"","Noah Star","Northwest Nazarene","Fr.","P","6","25.2","9","7","2.45"
"178","Trey Oest","Tampa","So.","P","8","51.0","16","14","2.47"
"179","Garret Peterson","Slippery Rock","Jr.","P","5","25.1","9","7","2.49"
"180","Derek Beasley","S.C. Aiken","Sr.","P","7","43.1","15","12","2.49"
"181","Derek Fischer","Sioux Falls","Sr.","P","3","18.0","13","5","2.50"
"","Lucas Junger","Bloomfield","So.","P","3","18.0","5","5","2.50"
"183","Zachary Brian","St. Anselm","Sr.","P","4","28.2","9","8","2.51"
"","Joe Carnavale","Merrimack","Jr.","P","4","28.2","8","8","2.51"
"","Taylor Gentry","Washburn","Sr.","P","5","28.2","9","8","2.51"
"186","Tyler Lequire","Pfeiffer","Jr.","P","11","53.2","23","15","2.52"
"187","William Landsheft","Drury","Sr.","P","5","25.0","7","7","2.52"
"188","Dalton Cowen","Neb.-Kearney","Sr.","P","7","35.2","23","10","2.52"
"","Brandon Williams","Central Wash.","---","P","7","35.2","11","10","2.52"
"190","Jeremy McDonald","Cal St. Stanislaus","So.","P","7","46.1","14","13","2.53"
"191","Caleb Edwards","Mars Hill","So.","P","8","53.1","21","15","2.53"
"192","Mike Fabrizio","Colorado St.-Pueblo","Sr.","P","7","46.0","17","13","2.54"
"193","Tyler Vails","Stillman","Sr.","P","10","42.1","18","12","2.55"
"194","Colton Gunn","Virginia St.","So.","P","6","38.2","16","11","2.56"
"195","Dawson Brown","West Florida","Jr.","P","7","45.2","18","13","2.56"
"196","Anthony Perry","Assumption","So.","P","2","14.0","6","4","2.57"
"197","Drew Reidt","Cameron","Sr.","P","7","45.1","20","13","2.58"
"198","Dan Bartlett","Caldwell","Sr.","P","3","17.1","5","5","2.60"
"199","Kyle Fischer","St. Cloud St.","Sr.","P","5","31.0","13","9","2.61"
"200","Adam McCreery","Azusa Pacific","Jr.","P","6","34.1","12","10","2.62"
