"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"61","Jeff Holm","Michigan St.","Sr.","1B","40","155","59","0.381"
"","Mike Zunino","Florida","So.","C","44","155","59","0.381"
"63","Joey DeMichele","Arizona St.","So.","INF","32","113","43","0.381"
"64","Marc Bourgeois","Southern Miss.","Sr.","OF","39","142","54","0.380"
"65","John Rasberry","Norfolk St.","Sr.","OF","37","129","49","0.380"
"66","Seth Granger","McNeese St.","Jr.","OF","45","187","71","0.380"
"67","Ryan Haas","Delaware St.","So.","INF","43","166","63","0.380"
"68","Steve Antolik","High Point","Sr.","OF","44","174","66","0.379"
"","Matt Hillsinger","Radford","Jr.","OF","43","174","66","0.379"
"70","Ryan Burgess","Radford","So.","1B","37","95","36","0.379"
"71","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","161","61","0.379"
"72","Stephen Notaro","Western Caro.","Sr.","C","37","132","50","0.379"
"73","Preston Aldridge","Saint Peter's","Jr.","OF","39","140","53","0.379"
"74","Sean Jamieson","Canisius","Sr.","SS","42","148","56","0.378"
"","Phil Sorensen","UT Martin","Fr.","INF","36","111","42","0.378"
"76","John Lenherr","VCU","Sr.","OF","41","164","62","0.378"
"77","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","54","0.378"
"78","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","151","57","0.377"
"79","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","60","0.377"
"80","Ben Waldrip","Jacksonville St.","Jr.","1B","36","138","52","0.377"
"81","Erich Weiss","Texas","Fr.","3B","44","146","55","0.377"
"82","Jack Myers","Appalachian St.","Sr.","OF","41","162","61","0.377"
"83","Doug Dekoning","Milwaukee","Sr.","OF","40","157","59","0.376"
"84","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","65","0.376"
"85","Brig Tison","George Mason","Jr.","INF","47","213","80","0.376"
"86","William Carmona","Stony Brook","So.","INF","40","168","63","0.375"
"","Kendall Logan","Jackson St.","Jr.","OF","38","136","51","0.375"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","160","60","0.375"
"89","David Herbek","James Madison","Sr.","SS","45","179","67","0.374"
"90","Tyler Koelling","Southern Miss.","Sr.","OF","43","190","71","0.374"
"91","Richie Goodenow","Lipscomb","Sr.","P","44","166","62","0.373"
"","Christian Walker","South Carolina","So.","INF","43","166","62","0.373"
"93","Garrett Buechele","Oklahoma","Jr.","INF","44","185","69","0.373"
"94","Ken Battiston","Eastern Mich.","Sr.","OF","42","169","63","0.373"
"95","Josh Adams","Florida","Sr.","INF","43","153","57","0.373"
"96","Andrew Deeds","Morehead St.","Jr.","OF","40","145","54","0.372"
"","Ben Hammer","Toledo","Jr.","OF","42","145","54","0.372"
"","Erik Underwood","Jacksonville St.","Jr.","INF","42","145","54","0.372"
"99","Travis Jankowski","Stony Brook","So.","OF","40","137","51","0.372"
"100","Doug Bream","Liberty","Sr.","OF","40","164","61","0.372"
"","Jeremy Schaffer","Tulane","Jr.","C","44","164","61","0.372"
"102","Kyle Wren","Georgia Tech","Fr.","OF","45","191","71","0.372"
"103","C.J. Gillman","Dayton","Jr.","INF","44","175","65","0.371"
"","Danny Poma","Hofstra","Jr.","OF","37","140","52","0.371"
"","Ryan Terry","Monmouth","Sr.","INF","43","175","65","0.371"
"106","Tyler McNeely","Illinois St.","Sr.","OF","40","124","46","0.371"
"107","Nick Rickles","Stetson","Jr.","C","44","170","63","0.371"
"","George Springer","Connecticut","Jr.","OF","45","170","63","0.371"
"109","Jon Berti","Bowling Green","Jr.","INF","35","135","50","0.370"
"110","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","154","57","0.370"
"111","Dane Phillips","Oklahoma St.","So.","C","43","176","65","0.369"
"112","Riley Good","UTSA","Fr.","OF","45","195","72","0.369"
"113","Matt Leeds","Col. of Charleston","Jr.","INF","44","168","62","0.369"
"","Sam Roberts","VMI","Sr.","INF","44","168","62","0.369"
"115","Jeremy Maas","Penn","Sr.","P","36","141","52","0.369"
"116","Oscar Sanay","CSU Bakersfield","Fr.","INF","40","160","59","0.369"
"117","Torsten Boss","Michigan St.","So.","INF","40","152","56","0.368"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","152","56","0.368"
"119","Jeff Cammans","Rhode Island","Jr.","OF","42","155","57","0.368"
"","Drew Gadaire","Davidson","Jr.","OF","39","155","57","0.368"
"","Brian Martin","Pacific","Sr.","1B","39","155","57","0.368"
"122","Matt Rice","Western Ky.","Sr.","C","44","185","68","0.368"
"123","Joel Blake","South Dakota St.","Sr.","1B","37","147","54","0.367"
"","Chris Burke","Iona","Jr.","INF","41","147","54","0.367"
"","Michael Carpen","Chicago St.","Sr.","2B","37","147","54","0.367"
"","Mj Schifano","Sacred Heart","Sr.","INF","43","147","54","0.367"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","147","54","0.367"
"128","Jonathan Davis","Central Ark.","Fr.","INF","36","128","47","0.367"
"129","Alex Dickerson","Indiana","Jr.","OF","43","169","62","0.367"
"130","Michael Letzter","Butler","Sr.","C","36","131","48","0.366"
"","Mike McCarthy","Tex.-Pan American","Jr.","C","37","131","48","0.366"
"132","Brandon Williams","Georgia St.","Jr.","3B","45","172","63","0.366"
"133","Danny Stienstra","San Jose St.","Sr.","INF","46","183","67","0.366"
"134","Hunter Ridge","UNC Wilmington","So.","INF","44","175","64","0.366"
"135","Stephen Piscotty","Stanford","So.","INF","37","145","53","0.366"
"136","Sam Dove","Georgia Tech","So.","INF","36","104","38","0.365"
"137","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","61","0.365"
"138","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","178","65","0.365"
"139","Johnny Bladel","James Madison","So.","OF","40","148","54","0.365"
"","Trey Rallis","Yale","Sr.","INF","41","148","54","0.365"
"141","Cameron Perkins","Purdue","So.","INF","42","181","66","0.365"
"142","Patrick Lobo","Air Force","Fr.","OF","34","96","35","0.365"
"143","Anthony Flenoy","Texas Southern","Jr.","OF","40","140","51","0.364"
"144","Mikie Mahtook","LSU","Jr.","OF","45","151","55","0.364"
"145","Dustin DeMuth","Indiana","Fr.","INF","44","187","68","0.364"
"","Conrad Gregor","Vanderbilt","Fr.","OF","35","88","32","0.364"
"","Jake Lowery","James Madison","Jr.","C","45","187","68","0.364"
"","Steve Nikorak","Temple","Sr.","3B","41","176","64","0.364"
"","M.L. Williams","Lipscomb","Jr.","OF","43","187","68","0.364"
"150","Jake Matuszak","Central Conn. St.","Jr.","OF","39","146","53","0.363"
"151","Ronnie Freeman","Kennesaw St.","So.","C","43","160","58","0.363"
"","Derek Trent","East Tenn. St.","Sr.","C","42","160","58","0.363"
"153","Will Faulkner","IPFW","Sr.","SS","38","138","50","0.362"
"","A.J. Pettersen","Minnesota","Jr.","2B","33","138","50","0.362"
"155","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","63","0.362"
"","Jamal Austin","UAB","Jr.","OF","43","174","63","0.362"
"","Matt Williams","Liberty","Jr.","INF","44","174","63","0.362"
"158","Ryan Cypret","Ohio St.","So.","INF","36","141","51","0.362"
"","Anthony Gomez","Vanderbilt","So.","INF","43","188","68","0.362"
"160","John McCambridge","Xavier","Sr.","INF","43","177","64","0.362"
"161","Mark Jones","Stetson","Jr.","INF","42","166","60","0.361"
"162","Joe Sclafani","Dartmouth","Jr.","SS","38","155","56","0.361"
"163","Justin Guidry","Middle Tenn.","Jr.","OF","44","191","69","0.361"
"","Adrian Perez","Temple","Sr.","SS","41","191","69","0.361"
"165","Tyler Sibley","Texas St.","Jr.","INF","41","169","61","0.361"
"166","Drew Hillman","UC Irvine","Sr.","INF","40","158","57","0.361"
"167","Thomas Carroll","Mercer","Sr.","OF","46","183","66","0.361"
"168","Dan Schafferman","George Mason","Jr.","OF","38","147","53","0.361"
"169","Ryan Jones","Michigan St.","So.","INF","38","150","54","0.360"
"","Brendon Kelliher","George Washington","Sr.","OF","43","175","63","0.360"
"","Mike Nemeth","Connecticut","Sr.","INF","45","175","63","0.360"
"","Phil Pohl","Clemson","Jr.","C","41","150","54","0.360"
"173","Kes Carter","Western Ky.","Jr.","OF","40","164","59","0.360"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","164","59","0.360"
"","Jeff Kremer","Duke","So.","C","47","164","59","0.360"
"","Kevin Plawecki","Purdue","So.","C","42","164","59","0.360"
"","James Ramsey","Florida St.","Jr.","OF","44","164","59","0.360"
"178","Alex Foltz","James Madison","Sr.","OF","37","139","50","0.360"
"","Beau Hanowski","South Dakota St.","Jr.","OF","37","139","50","0.360"
"","Billy Moon","Gonzaga","So.","OF","38","139","50","0.360"
"181","Chase Jaramillo","Nicholls St.","Sr.","INF","44","178","64","0.360"
"182","Bryce Ortega","Arizona","Sr.","INF","43","153","55","0.359"
"183","Brent Tanner","South Ala.","Sr.","C","43","167","60","0.359"
"184","Josh Dezse","Ohio St.","Fr.","DH","37","142","51","0.359"
"185","Shaun Cooper","Utah","Jr.","OF","38","156","56","0.359"
"","Dario Pizzano","Columbia","So.","OF","43","156","56","0.359"
"187","Trentt Copeland","Evansville","Jr.","INF","39","131","47","0.359"
"188","Chad Salem","Manhattan","Sr.","INF","38","145","52","0.359"
"189","Grant Buckner","West Virginia","Sr.","SS","43","159","57","0.358"
"190","Zac Fisher","New Mexico St.","So.","C","38","120","43","0.358"
"191","Billy Goldman","Lehigh","Sr.","OF","36","134","48","0.358"
"192","James Beck","Iona","Jr.","1B","40","148","53","0.358"
"193","Saxon Butler","Samford","Jr.","INF","45","176","63","0.358"
"194","Adam McFarland","Gardner-Webb","Jr.","OF","37","137","49","0.358"
"195","Chris Lashmet","Northwestern","Sr.","INF","39","151","54","0.358"
"196","Austin Barnes","Arizona St.","Jr.","C","31","112","40","0.357"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","168","60","0.357"
"198","Tobi Adeyemi","Florida A&M","Sr.","OF","48","185","66","0.357"
"199","Jared Reaves","Alabama","Jr.","INF","47","171","61","0.357"
"200","Angel Ibanez","Tex.-Pan American","So.","INF","37","157","56","0.357"
"201","Emory Barkley","Savannah St.","Sr.","C","41","115","41","0.357"
"","Braden Kline","Cincinnati","Jr.","C","31","115","41","0.357"
"203","Nate Thomas","IPFW","Sr.","OF","33","101","36","0.356"
"204","Brock Bennett","Alabama","Sr.","C","43","160","57","0.356"
"205","Ennis Coble","Dartmouth","So.","INF","36","132","47","0.356"
"","Brandon Hairston","Norfolk St.","Sr.","1B","40","132","47","0.356"
"207","Will Skinner","Middle Tenn.","Sr.","OF","44","177","63","0.356"
"208","Brant Jones","Longwood","Sr.","2B","40","163","58","0.356"
"209","Ryan Aguayo","New Mexico St.","Sr.","INF","44","149","53","0.356"
"210","John Hicks","Virginia","Jr.","C","47","194","69","0.356"
"211","Brent Ohrman","Eastern Mich.","Jr.","INF","43","180","64","0.356"
"212","Marquis Riley","N.C. A&T","Jr.","2B","44","166","59","0.355"
"213","Peter Copa","Massachusetts","Sr.","3B","35","121","43","0.355"
"214","Eldred Barnett","Grambling","Jr.","OF","40","152","54","0.355"
"","John Schultz","Pittsburgh","Sr.","OF","41","152","54","0.355"
"216","Chritien Matz","Ark.-Pine Bluff","Fr.","C","39","138","49","0.355"
"217","Kevin Mihalik","Lehigh","Sr.","1B","44","155","55","0.355"
"218","Taylor Featherston","TCU","Jr.","SS","44","172","61","0.355"
"219","Joe Meggs","Washington","Jr.","OF","30","110","39","0.355"
"220","D.J. Hicks","UCF","Jr.","DH","43","158","56","0.354"
"","Andrew Rash","Virginia Tech","So.","OF","42","158","56","0.354"
"222","Todd Baumgartner","Arkansas St.","Sr.","OF","46","195","69","0.354"
"223","Grant Fillipitch","Butler","Sr.","INF","38","147","52","0.354"
"224","Brian Hernandez","UC Irvine","Sr.","INF","40","164","58","0.354"
"","Matt Skole","Georgia Tech","Jr.","3B","43","164","58","0.354"
"226","Steven Proscia","Virginia","Jr.","INF","47","198","70","0.354"
"227","Jordan Hankins","Austin Peay","Fr.","2B","40","133","47","0.353"
"228","Brock Hebert","Southeastern La.","So.","INF","45","167","59","0.353"
"229","Jacob Tanis","Mercer","Jr.","3B","46","184","65","0.353"
"230","Greg Annarummo","Rhode Island","Jr.","INF","36","136","48","0.353"
"","Evan Mistich","Oklahoma","Jr.","INF","37","119","42","0.353"
"","Brock Stassi","Nevada","Sr.","P","39","136","48","0.353"
"233","Jake Davies","Georgia Tech","Jr.","P","44","156","55","0.353"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","55","0.353"
"235","Nick Cox","Columbia","Sr.","OF","36","139","49","0.353"
"","Tom Murphy","Buffalo","So.","C","38","139","49","0.353"
"","Taylor Ratliff","Jacksonville","Fr.","INF","37","139","49","0.353"
"238","Ali Rodriguez","NYIT","So.","INF","30","105","37","0.352"
"239","Matt Carvutto","Pacific","Sr.","P","39","159","56","0.352"
"240","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","162","57","0.352"
"241","Pete Lavin","San Francisco","Sr.","OF","44","182","64","0.352"
"","L.J. Mazzilli","Connecticut","So.","INF","44","182","64","0.352"
"243","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","165","58","0.352"
"244","Brian Nephew","Texas-Arlington","Sr.","INF","45","185","65","0.351"
"245","Pat Dameron","Delaware","Sr.","INF","43","168","59","0.351"
"246","Krey Bratsen","Texas A&M","Fr.","OF","44","171","60","0.351"
"","Jared Hook","Michigan St.","So.","INF","32","114","40","0.351"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","171","60","0.351"
"249","Rance Roundy","UNLV","Sr.","OF","40","154","54","0.351"
"250","Jared Andreoli","Western Ky.","Jr.","OF","44","194","68","0.351"
"251","Dustin Torchio","Pacific","So.","INF","38","137","48","0.350"
"","Josh Wright","Old Dominion","Jr.","INF","38","137","48","0.350"
"253","Khayyan Norfork","Tennessee","Sr.","2B","42","157","55","0.350"
"254","Ryan Ferguson","Temple","Sr.","C","41","177","62","0.350"
"255","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","56","0.350"
"","Robby Ort","Indiana St.","So.","OF","41","160","56","0.350"
"","Austin Wynns","Fresno St.","So.","C","38","120","42","0.350"
"258","Coty Blanchard","Jacksonville St.","Fr.","SS","40","163","57","0.350"
"259","Alex Baldock","Buffalo","So.","INF","38","143","50","0.350"
"","Anthony Rendon","Rice","Jr.","3B","44","143","50","0.350"
"261","Ellis Lowe","Campbell","Sr.","INF","43","186","65","0.349"
"262","Mark Onorati","Manhattan","Sr.","OF","38","146","51","0.349"
"263","Tyler Hall","Central Mich.","Jr.","INF","44","169","59","0.349"
"","Alex Jones","Northern Ill.","Jr.","INF","41","169","59","0.349"
"","Jordan Lurie","UNC Asheville","Jr.","INF","40","169","59","0.349"
"266","Trevor Hairgrove","UC Riverside","Sr.","INF","37","149","52","0.349"
"267","Brance Rivera","TCU","Jr.","OF","44","178","62","0.348"
"268","Don Schaaf","Le Moyne","Sr.","1B","36","112","39","0.348"
"269","Cameron Edman","Gonzaga","Sr.","C","39","135","47","0.348"
"","Brian Rowry","Southern U.","Fr.","OF","35","135","47","0.348"
"271","Andrew Karmeris","North Florida","Jr.","INF","41","158","55","0.348"
"","Cameron Seitzer","Oklahoma","Jr.","INF","44","158","55","0.348"
"273","Colin Moran","North Carolina","Fr.","3B","43","161","56","0.348"
"","Paul Snieder","Northwestern","Jr.","INF","38","138","48","0.348"
"275","Jimmy Brenneman","Campbell","Jr.","OF","43","141","49","0.348"
"276","Eddie Rohan","Winthrop","Sr.","C","45","167","58","0.347"
"","Jordan Steranka","Penn St.","Jr.","3B","41","167","58","0.347"
"278","Maxx Tissenbaum","Stony Brook","So.","INF","40","144","50","0.347"
"279","Ryan Mooney","Sam Houston St.","Sr.","INF","46","193","67","0.347"
"280","Drew Shields","Georgia St.","So.","INF","39","121","42","0.347"
"281","Robert Crews","Stetson","Jr.","INF","43","170","59","0.347"
"","Robert Refsnyder","Arizona","So.","INF","43","170","59","0.347"
"283","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","60","0.347"
"284","Nick Crescenzo","Rider","Fr.","OF","34","124","43","0.347"
"285","Alex Bacon","North Florida","Fr.","OF","39","150","52","0.347"
"","T.J. Berge","Northern Colo.","Sr.","INF","42","150","52","0.347"
"","Zack Osborne","Tennessee","Jr.","INF","42","150","52","0.347"
"288","Zach Borenstein","Eastern Ill.","Jr.","OF","39","153","53","0.346"
"","Greg Wallace","Evansville","Sr.","OF","39","153","53","0.346"
"290","Justin Boudreaux","Southeastern La.","Jr.","INF","46","182","63","0.346"
"","Corey LeVier","San Diego","Jr.","INF","38","130","45","0.346"
"","Aaron Thompkins","Furman","Sr.","1B","42","156","54","0.346"
"293","Dave Ciocchi","Binghamton","Jr.","1B","37","133","46","0.346"
"","Robby Graham","Memphis","Sr.","OF","37","133","46","0.346"
"295","Nick Chinners","Charleston So.","Sr.","1B","39","136","47","0.346"
"","Vincent Mejia","Tex.-Pan American","Jr.","INF","37","136","47","0.346"
"297","Justin Glass","Cincinnati","Fr.","OF","41","165","57","0.345"
"","Tyler Hannah","Troy","Jr.","INF","44","165","57","0.345"
"","Zack Kometani","San Diego","Jr.","C","41","165","57","0.345"
"300","Danny Muno","Fresno St.","Sr.","INF","38","139","48","0.345"
"301","Nick Ciardiello","Holy Cross","Sr.","OF","48","168","58","0.345"
"","Matt Tenaglia","James Madison","So.","1B","45","168","58","0.345"
"","Justin Wilson","Charlotte","Sr.","OF","44","168","58","0.345"
"304","Carlos Lopez","Cal St. Fullerton","Jr.","INF","33","113","39","0.345"
"","Aaron Wick","Oakland","Sr.","P","35","113","39","0.345"
"306","Jacob Rhodes","Murray St.","Jr.","C","39","142","49","0.345"
"307","Raph Rhymes","LSU","So.","INF","45","171","59","0.345"
"308","Chris Andreas","Sam Houston St.","Sr.","OF","46","174","60","0.345"
"","Eric Charles","Purdue","Jr.","INF","43","174","60","0.345"
"","Charles Epperson","Jackson St.","So.","OF","40","145","50","0.345"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","174","60","0.345"
"312","Casey McElroy","Auburn","Jr.","INF","44","177","61","0.345"
"313","Sean Williams","UC Santa Barbara","Sr.","INF","38","148","51","0.345"
"314","Kris Bryant","San Diego","Fr.","3B","41","151","52","0.344"
"315","Wesley Starkes","New Mexico St.","Sr.","OF","40","154","53","0.344"
"","Zach Tanner","Wright St.","Jr.","INF","38","154","53","0.344"
"317","Brandon Bayardi","UNLV","So.","OF","38","125","43","0.344"
"","Michael Blanchard","Austin Peay","Jr.","OF","39","125","43","0.344"
"319","Nick Baligod","Oral Roberts","Sr.","OF","39","157","54","0.344"
"","Chris Diaz","North Carolina St.","So.","INF","45","157","54","0.344"
"","Reed Harper","Austin Peay","So.","INF","41","157","54","0.344"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","157","54","0.344"
"","Mike Petello","La.-Lafayette","Sr.","OF","39","157","54","0.344"
"324","Steve Cochrane","Ga. Southern","Sr.","INF","44","160","55","0.344"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","160","55","0.344"
"","Jeff McVaney","Texas St.","Jr.","OF","44","160","55","0.344"
"327","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","56","0.344"
"328","Aaron Conway","Missouri St.","Sr.","OF","40","172","59","0.343"
"329","Tanner Mathis","Ole Miss","So.","OF","44","178","61","0.343"
"330","Xavier Macklin","N.C. A&T","Jr.","OF","43","143","49","0.343"
"","Blake Seguin","Jacksonville St.","Sr.","SS","42","143","49","0.343"
"","Dustin Sollars","Longwood","Jr.","OF","40","143","49","0.343"
"333","Garrett Wittels","FIU","Jr.","INF","44","184","63","0.342"
"334","Justin Riddell","Cincinnati","Sr.","OF","40","149","51","0.342"
"335","Steve Ulaky","Delaware","Sr.","1B","44","190","65","0.342"
"336","Dan Paolini","Siena","Jr.","2B","44","158","54","0.342"
"337","Mike Carson","Oakland","So.","INF","34","123","42","0.341"
"","Jeff Roy","Rhode Island","Fr.","OF","37","123","42","0.341"
"339","Gerald Runyan","Bucknell","Jr.","OF","46","167","57","0.341"
"340","Andrew Parker","Towson","So.","C","40","129","44","0.341"
"","Seth Willoughby","Xavier","So.","INF","43","129","44","0.341"
"342","Kyle Nisson","Quinnipiac","Jr.","C","40","132","45","0.341"
"","Brad Steinbach","St. Bonaventure","Sr.","3B","36","132","45","0.341"
"344","Sam Eberle","Jacksonville St.","Jr.","INF","42","179","61","0.341"
"345","Pratt Maynard","North Carolina St.","Jr.","C","45","182","62","0.341"
"346","Robert McIntosh","UNC Asheville","So.","INF","35","138","47","0.341"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","138","47","0.341"
"","Mike Tauchman","Bradley","So.","OF","39","138","47","0.341"
"349","Riley Reynolds","Vanderbilt","Jr.","INF","36","94","32","0.340"
"350","Zach Price","Army","Jr.","INF","43","150","51","0.340"
"351","Adam Doleac","Southern Miss.","Sr.","INF","40","153","52","0.340"
"","Josh Holskey","Campbell","Jr.","INF","41","153","52","0.340"
"353","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","156","53","0.340"
"354","Casanova Donaldson","Tennessee Tech","Sr.","OF","41","159","54","0.340"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","159","54","0.340"
"356","Brashad Johnson","Bethune-Cookman","Fr.","-","45","162","55","0.340"
"","Deven Marrero","Arizona St.","So.","INF","39","162","55","0.340"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","162","55","0.340"
"359","T.J. McManus","Eastern Ill.","Jr.","INF","34","112","38","0.339"
"360","Raymond Church","Fla. Atlantic","Sr.","INF","43","171","58","0.339"
"","Logan Kirkland","South Ala.","Fr.","2B","42","171","58","0.339"
"","Jeremy Patton","FIU","Jr.","INF","43","171","58","0.339"
"363","Daniel Dragos","Temple","So.","OF","34","115","39","0.339"
"364","Rafael Perez","Prairie View","Sr.","OF","39","118","40","0.339"
"365","Cory Turner","Radford","So.","OF","36","121","41","0.339"
"366","Brock Chaffin","Missouri St.","Jr.","DH","39","127","43","0.339"
"367","Johnny Field","Arizona","Fr.","INF","39","133","45","0.338"
"368","null Bernal","Tex.-Pan American","Fr.","-","36","136","46","0.338"
"369","Mark Haddow","UC Santa Barbara","Sr.","OF","38","142","48","0.338"
"370","Matt Serna","Ill.-Chicago","Sr.","INF","39","145","49","0.338"
"371","Dominic Ficociello","Arkansas","Fr.","INF","41","148","50","0.338"
"","Tyler Ogle","Oklahoma","Jr.","C","44","148","50","0.338"
"373","Giovanni Angel","Prairie View","Sr.","INF","41","151","51","0.338"
"","Sam Bean","Dartmouth","Sr.","OF","38","151","51","0.338"
"","Walt Quattlebaum","Charleston So.","Jr.","INF","41","151","51","0.338"
"376","Drew Pettit","Canisius","Jr.","INF","42","154","52","0.338"
"377","Jason Leblebijian","Bradley","So.","INF","42","157","53","0.338"
"","Mike McQuillan","Iowa","Jr.","2B","41","157","53","0.338"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","157","53","0.338"
"380","Phillip Chapman","Memphis","Sr.","C","43","160","54","0.338"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","160","54","0.338"
"","George Piccirilli","VMI","Jr.","INF","44","160","54","0.338"
"","Drew Turocy","Akron","Jr.","OF","41","160","54","0.338"
