"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"55","John Schall","Penn St.-Altoona","Jr.","OF","32","101","43","0.426"
"56","Dan Haugh","Wheaton (MA)","Jr.","INF","35","134","57","0.425"
"57","Teagen Barresi","Ithaca","Jr.","OF","24","80","34","0.425"
"","Joe Reilly","Sewanee","Sr.","INF","31","120","51","0.425"
"59","Ryan Adams","Aurora","Jr.","OF","31","113","48","0.425"
"60","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","132","56","0.424"
"61","Josh Davidson","Aurora","Sr.","OF","33","125","53","0.424"
"62","David Simone","Western Conn. St.","Jr.","C","30","90","38","0.422"
"","Tyler Stiffler","Penn St.-Altoona","Sr.","INF","32","90","38","0.422"
"64","Jack Cinoman","Chicago","So.","OF","23","83","35","0.422"
"65","Steve Motika","Elizabethtown","Jr.","C","32","121","51","0.421"
"66","Bruce Brown","Daniel Webster","Sr.","INF","27","88","37","0.420"
"67","Luke Matthews","Eastern Nazarene","Sr.","INF","34","112","47","0.420"
"68","Art Levenson","Rensselaer","Jr.","OF","32","124","52","0.419"
"69","Sean Gerber","Wis.-Stevens Point","So.","INF","26","98","41","0.418"
"70","Chris Reynolds","Luther","Jr.","INF","35","134","56","0.418"
"71","Garrett Salzman","Macalester","Jr.","C","27","91","38","0.418"
"72","Jake Cappelletty","Adrian","Sr.","1B","34","103","43","0.417"
"73","Brian Bilius","Adrian","Sr.","3B","34","115","48","0.417"
"74","Brennyn Smith","Sul Ross St.","So.","3B","36","151","63","0.417"
"75","Spencer Brunson","Mississippi Col.","Jr.","INF","42","168","70","0.417"
"","Trey Forbes","Manchester","Sr.","C","36","144","60","0.417"
"","T.C. Lee","Willamette","Sr.","OF","40","144","60","0.417"
"78","Ryan Kragnes","Penn St.-Behrend","So.","INF","28","89","37","0.416"
"79","Kyle Allaire","Rhode Island Col.","Jr.","SS","32","135","56","0.415"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","135","56","0.415"
"81","Alex Jaskulski","Edgewood","Fr.","1B","29","82","34","0.415"
"82","Brian Henry","Keystone","Sr.","C","33","116","48","0.414"
"83","Travis Peipho","Bethel (MN)","Jr.","OF","32","104","43","0.413"
"84","Ryan Walsh","Mass.-Boston","Sr.","2B","34","138","57","0.413"
"85","Rob Rubenstein","Skidmore","Sr.","OF","32","109","45","0.413"
"86","Matt Bittner","Penn St.-Behrend","So.","INF","31","102","42","0.412"
"","Cameron Susk","Williams","Jr.","INF","31","119","49","0.412"
"88","Pat Warrington","Southern Vt.","Jr.","OF","36","141","58","0.411"
"89","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","124","51","0.411"
"90","David Kennett","Thomas More","So.","SS","29","107","44","0.411"
"91","Brandon Hannon","Emory","Fr.","OF","42","146","60","0.411"
"92","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","55","0.410"
"93","Grady Luzier","Penn St.-Altoona","Sr.","1B","35","117","48","0.410"
"94","Andrew Thole","Thomas More","Jr.","1B","28","100","41","0.410"
"95","Cord Heine","Penn St.-Altoona","Jr.","OF","35","122","50","0.410"
"96","Bobby Newman","Rose-Hulman","So.","3B","35","127","52","0.409"
"97","Nick Boggan","Cal Lutheran","So.","INF","40","149","61","0.409"
"98","Tyler Diprato","Keene St.","Sr.","C","37","154","63","0.409"
"","Anthony Santiago","Mitchell","Fr.","C","28","110","45","0.409"
"100","Austin Brown","Loras","Sr.","OF","32","115","47","0.409"
"101","Matt Stahl","Allegheny","Sr.","P","27","98","40","0.408"
"102","Andy Vega","Keystone","Sr.","OF","32","103","42","0.408"
"103","J.R. Lopez","Chicago","So.","INF","23","81","33","0.407"
"","Will Salley","Wash. & Lee","So.","C","30","108","44","0.407"
"","Trevor Wolf","Ithaca","Sr.","1B","24","81","33","0.407"
"106","Nick Beaman","Ripon","Sr.","3B","29","113","46","0.407"
"","Brian Benander","John Carroll","Sr.","3B","31","113","46","0.407"
"108","Mike Yates","Western Conn. St.","Jr.","OF","31","123","50","0.407"
"109","Connor Madden","Chris. Newport","Jr.","INF","44","170","69","0.406"
"110","Drew Zuckerman","Transylvania","Sr.","C","29","106","43","0.406"
"111","Charlie Carluccio","Haverford","Sr.","SS","39","148","60","0.405"
"","Austin Groves","Purchase St.","Sr.","OF","31","111","45","0.405"
"113","Jhon Comas Disla","Lehman","Jr.","SS","26","79","32","0.405"
"","Gerard Taylor","Finlandia","Fr.","SS","25","79","32","0.405"
"115","Ricardo Lizcano","Heidelberg","Jr.","INF","35","131","53","0.405"
"116","Josh Garneau","Me.-Farmington","Sr.","1B","27","89","36","0.404"
"117","Justin Jirschele","Wis.-Stevens Point","Jr.","3B","33","136","55","0.404"
"118","Kevin Brashears","Shenandoah","Sr.","OF","39","156","63","0.404"
"","Hal Landers","Wheaton (MA)","Jr.","OF","35","156","63","0.404"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","156","63","0.404"
"121","Josh Sacks","Grove City","So.","INF","31","114","46","0.404"
"122","Joshua Sullivan","Lasell","Jr.","INF","34","124","50","0.403"
"123","Michael Pratt","St. Joseph's (ME)","So.","INF","40","129","52","0.403"
"124","Bill Pace","Neumann","So.","C","35","134","54","0.403"
"125","Michael Goldfien","Grinnell","Jr.","2B","25","87","35","0.402"
"126","Brandon Peterson","St. Scholastica","Jr.","OF","30","92","37","0.402"
"127","Jeff Perillo","Mitchell","Sr.","INF","28","102","41","0.402"
"128","Jacob Jurczak","Blackburn","Sr.","INF","33","112","45","0.402"
"129","Patrick Curry","Newbury","Jr.","C","33","122","49","0.402"
"130","Dan Gleiberman","Whittier","Sr.","3B","38","127","51","0.402"
"131","Nick Broyles","Bluffton","Jr.","OF","36","142","57","0.401"
"132","Justin Juneau","Texas-Tyler","Sr.","1B","39","147","59","0.401"
"133","Kevin Calbick","Trinity (TX)","Sr.","OF","37","135","54","0.400"
"","Carlos Hughes","Mitchell","Sr.","INF","28","100","40","0.400"
"","Matt Keller","Ithaca","So.","2B","23","90","36","0.400"
"","Richard Newton","Colby","Sr.","OF","33","120","48","0.400"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","155","62","0.400"
"138","Matt Hampp","Wittenberg","Jr.","C","37","138","55","0.399"
"","Steve Seminerio","FDU-Florham","Jr.","SS","32","138","55","0.399"
"140","Chase Valdez","Schreiner","So.","C","35","133","53","0.398"
"141","Tim Saunders","Marietta","Jr.","OF","32","128","51","0.398"
"142","Logan Allen","Occidental","So.","OF","32","123","49","0.398"
"","Tomy Glynn","Salve Regina","Sr.","INF","38","123","49","0.398"
"144","Dan Douglas","Wis.-Stevens Point","So.","INF","26","103","41","0.398"
"145","Kyle Niermann","Bluffton","So.","P","36","166","66","0.398"
"146","Nate Carlson","Redlands","Sr.","INF","37","141","56","0.397"
"147","Ray Noe","Wittenberg","Sr.","OF","35","131","52","0.397"
"148","Kyle LaVigne","Rensselaer","So.","OF","32","121","48","0.397"
"149","Ryne Billesbach","Rockford","Jr.","OF","27","111","44","0.396"
"150","Kyle Davis","Piedmont","Jr.","OF","38","164","65","0.396"
