"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"73","Joel Sanchez","Felician","Sr.","P","12","74.7","57","6.87"
"74","Blake Wixson","Drury","Sr.","P","10","53.7","41","6.87"
"75","Nolan Snell","Colorado Mesa","So.","P","12","68.0","52","6.88"
"76","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","40","6.88"
"77","Atlee Pearson","Erskine","Sr.","P","21","48.3","37","6.89"
"78","Tyler Badamo","Dowling","Fr.","P","9","50.7","39","6.92"
"79","Jason Postill","West Fla.","Sr.","P","13","89.0","69","6.98"
"80","John Markley","Winston-Salem","So.","P","20","54.0","42","7.00"
"","Bryan Tuttle","Pfeiffer","So.","P","14","72.0","56","7.00"
"82","Randy Sturgill","California (PA)","Jr.","P","12","75.7","59","7.01"
"83","Jason Lembo","Molloy","Jr.","P","10","48.7","38","7.02"
"84","Manny Rodriguez","Barry","Jr.","P","13","94.7","74","7.03"
"85","Clint Seefeldt","Indianapolis","So.","OF","9","47.3","37","7.04"
"86","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","60","7.04"
"87","Steve Landell","Southern Conn. St.","So.","P","7","46.0","36","7.04"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","14","46.0","36","7.04"
"89","Mike McMonagle","Millersville","Jr.","P","9","44.7","35","7.05"
"90","Adrian Dominguez","Southwestern Okla.","Jr.","P","12","43.3","34","7.07"
"91","Dillon Thomas","Claflin","Jr.","INF","14","40.7","32","7.08"
"92","Max Rusch","Flagler","Jr.","P","27","62.3","49","7.08"
"93","Kirk Lind","Western Ore.","Jr.","P","15","47.0","37","7.09"
"","Tim Mayza","Millersville","Fr.","P","9","47.0","37","7.09"
"","Lou Trivino","Slippery Rock","Fr.","P","10","47.0","37","7.09"
"96","Luis Mendoza","Bloomfield","Jr.","P","11","49.3","39","7.12"
"97","Anthony Plomitallo","Bridgeport","Sr.","P","10","41.7","33","7.12"
"98","Michael Sciarretta","Pace","Sr.","P","9","63.0","50","7.14"
"99","Darryl Stringfield","Virginia St.","Sr.","P","12","66.7","53","7.15"
"100","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","58","7.18"
"101","Craig Gourley","Caldwell","Jr.","P","8","40.0","32","7.20"
"102","Tim Shibuya","UC San Diego","Sr.","P","12","87.3","70","7.22"
"103","Kyle Thomas","California (PA)","So.","P","12","56.0","45","7.23"
"104","Matt Sommo","New Haven","Sr.","P","6","41.0","33","7.24"
"105","Michael Benjamin","North Greenville","Sr.","P","10","63.3","51","7.25"
"106","Michael White","Stonehill","Jr.","OF","7","43.3","35","7.27"
"107","Ryan O'Shea","Cal St. Chico","Fr.","P","12","55.3","45","7.32"
"108","John DesChamps","Chowan","Jr.","P","14","82.3","67","7.33"
"109","Brad Monroe","Southern N.H.","Jr.","P","11","66.3","54","7.33"
"110","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","70","7.35"
"111","Justin Somers","Wingate","So.","P","16","56.3","46","7.35"
"112","Derek Fogel","Washburn","Fr.","P","11","66.0","54","7.36"
"113","Mike Calzetta","Mass.-Lowell","Fr.","P","8","40.3","33","7.37"
"114","Cody Greibling","Mo. Southern St.","Jr.","P","13","64.7","53","7.37"
"115","Cody Pruett","Bluefield St.","Fr.","P","11","61.0","50","7.38"
"","Eric Shuford","Pfeiffer","Jr.","P","12","79.3","65","7.38"
"117","Kyle Contino","Queens (NY)","Jr.","P","9","52.3","43","7.40"
"118","Billy Dring","Mercy","Jr.","P","11","43.7","36","7.41"
"119","Matt Treybig","Upper Iowa","Jr.","P","9","60.3","50","7.46"
"120","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","44","7.47"
"121","Ryan Garman","Grand Valley St.","Fr.","P","8","45.7","38","7.48"
"122","Wes Rehmert","Urbana","Sr.","P","10","63.7","53","7.49"
"123","Zeb Sneed","Northwest Nazarene","So.","P","11","50.3","42","7.51"
"124","Jj Jankowski","Catawba","Jr.","P","15","90.7","76","7.54"
"125","Tyson Gau","Augustana (SD)","So.","P","11","56.0","47","7.55"
"126","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","53","7.57"
"127","Brandon Stewart","St. Augustine's","Sr.","P","17","85.3","72","7.60"
"128","Logan Birr","St. Cloud St.","Jr.","P","10","49.7","42","7.61"
"129","Cameron Culp","Limestone","So.","P","28","41.3","35","7.63"
"130","Josh Cagle","Stillman","Jr.","P","14","79.0","67","7.63"
"131","Ziggie Vanderwall","Southern Ark.","Jr.","P","13","57.7","49","7.64"
"132","Brett Hauber","Felician","Jr.","P","15","55.3","47","7.65"
"","Jared Slaven","West Ga.","Fr.","-","10","55.3","47","7.65"
"134","Derek Hansen","Augustana (SD)","So.","INF","9","40.0","34","7.65"
"135","Chris Bowe","Missouri S&T","So.","P","10","49.3","42","7.67"
"136","Grady Wood","Western Ore.","Jr.","P","11","77.3","66","7.68"
"137","Brice Rivenbark","Winston-Salem","Jr.","P","13","69.0","59","7.70"
"138","Josh Branstetter","Delta St.","So.","P","10","67.7","58","7.71"
"139","Jorge Guarneros","Incarnate Word","Jr.","P","12","74.7","64","7.71"
"140","Thomas Campbell","Columbus St.","Sr.","P","12","88.7","76","7.71"
"141","Chad Boughner","North Ala.","So.","P","12","70.0","60","7.71"
"142","Ben Hawkins","West Fla.","Jr.","P","13","65.3","56","7.72"
"143","Brad Schnelle","Seton Hill","Fr.","P","10","51.3","44","7.72"
"144","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","71","7.73"
"145","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","55","7.73"
"146","Taylor Dennis","Southern Ind.","Sr.","P","13","47.7","41","7.74"
"147","John Hanna","American Int'l","Jr.","P","10","59.3","51","7.74"
"148","Phillip Mozingo","Francis Marion","Sr.","P","11","45.3","39","7.75"
"149","Carson Beauchaine","Saginaw Valley","So.","P","8","48.7","42","7.76"
"150","Ricky Cramer","Cameron","Sr.","P","12","82.0","71","7.79"
"151","Lamar Lewis","Benedict","Jr.","P","12","53.0","46","7.81"
"152","Cy Mozingo","West Va. Wesleyan","Sr.","P","9","55.3","48","7.81"
"153","Kyle Hunter","Bloomsburg","Fr.","P","10","48.3","42","7.83"
"","Zach Leitten","Mercyhurst","Jr.","P","10","46.0","40","7.83"
"155","Mario Rojas","Newberry","So.","P","9","49.3","43","7.85"
"156","Kevin Brahney","Cal St. Chico","Sr.","P","8","47.0","41","7.85"
"157","Andrew Stueve","Cal St. Stanislaus","Sr.","P","11","81.3","71","7.86"
"158","Alex Didio","St. Augustine's","Jr.","P","18","115.3","101","7.88"
"159","Scott Shipman","Augusta St.","So.","P","12","81.0","71","7.89"
"160","Vinny Pacchetti","Cal St. Stanislaus","Sr.","P","11","65.0","57","7.89"
"161","Kevin Bosson","Cal Poly Pomona","Jr.","P","12","68.3","60","7.91"
"162","Shawn Kale","Lynn","Jr.","P","19","44.3","39","7.92"
"163","Tyler Witzel","Coker","So.","P","13","84.0","74","7.93"
"164","William Landsheft","Drury","Fr.","P","12","53.3","47","7.94"
"165","Mackenzie King","Pace","Sr.","P","13","65.7","58","7.95"
"166","Robert Kelly","St. Anselm","So.","1B","9","60.0","53","7.95"
"167","Chris Nelson","Wingate","Sr.","C","13","78.0","69","7.96"
"168","Logan Holthaus","Harding","So.","P","10","63.3","56","7.96"
"169","Doug Dulin","Saint Rose","Sr.","P","8","46.3","41","7.97"
"170","John Wenker","Winona St.","Jr.","P","8","41.7","37","7.99"
"171","Danny Laperna","King (TN)","Jr.","P","9","50.7","45","7.99"
"172","Chris DeRogatis","Caldwell","Fr.","P","10","45.0","40","8.00"
"173","Tom Bush","Shippensburg","So.","P","12","51.7","46","8.01"
"174","Luke Peyton","USciences","Jr.","P","11","66.3","59","8.01"
"175","Cameron Ward","Limestone","So.","P","15","82.0","73","8.01"
"176","Kerich Randolph","Elizabeth City St.","Fr.","C","13","70.7","63","8.02"
"177","Kirk Jewasko","Incarnate Word","Jr.","P","12","76.3","68","8.02"
"178","Blake Schwartz","Minn. St. Mankato","Jr.","P","10","67.3","60","8.02"
"179","Gregg Downing","Franklin Pierce","Jr.","P","8","52.7","47","8.03"
"","Tadd Johnansen","Wayne St. (NE)","So.","P","8","52.7","47","8.03"
"181","Alex Smith","New Haven","Sr.","P","8","49.3","44","8.03"
"182","Justin Moore","Dominican (NY)","Jr.","P","11","59.3","53","8.04"
"183","Keith Malanga","Concordia (NY)","Jr.","P","12","48.0","43","8.06"
"184","Michael Carletti","Adelphi","Jr.","P","9","41.3","37","8.06"
"185","Ryan Woodring","North Greenville","Fr.","P","10","51.3","46","8.07"
"186","Gus Schlosser","Fla. Southern","Sr.","P","12","81.3","73","8.08"
"187","Brett Garrett","Chowan","Jr.","P","17","83.3","75","8.10"
"188","Eric Cordova","Benedict","Jr.","P","13","63.3","57","8.10"
"189","Paul Brock","Cal St. Monterey Bay","Jr.","P","16","68.7","62","8.12"
"190","Peter Denyssenko","Concordia (NY)","Sr.","P","13","59.7","54","8.14"
"191","Thomas Deboer","Saint Martin's","Jr.","P","13","64.0","58","8.16"
"192","Brady Wager","Grand Canyon","So.","P","12","75.0","68","8.16"
"193","Pete Levitt","Mount Olive","Jr.","P","14","79.3","72","8.17"
"194","Kendall Davis","Sonoma St.","Sr.","P","13","44.0","40","8.18"
"","Andrew Virgili","Lynn","Jr.","P","13","88.0","80","8.18"
"196","Jared Christensen","Colorado Mesa","Jr.","P","12","60.3","55","8.21"
"197","Thomas McLeod","S.C. Aiken","Jr.","C","15","80.0","73","8.21"
"198","Dylan Hochevar","Tusculum","Jr.","P","15","69.0","63","8.22"
"","Derek Kline","Millersville","Sr.","1B","9","46.0","42","8.22"
"200","Austin Bridgewater","Carson-Newman","Sr.","P","15","85.3","78","8.23"
"201","Jayson Huett","Northwest Mo. St.","Sr.","P","25","62.3","57","8.23"
"202","John Gale","West Virginia St.","Sr.","P","10","51.3","47","8.25"
"203","Jonathan Armold","Flagler","Jr.","P","14","87.3","80","8.25"
"204","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","63","8.25"
"205","Jarrett Eiskina","Truman","So.","P","9","56.7","52","8.25"
"206","Lucas Sanford","Cal St. San B'dino","Sr.","P","11","49.0","45","8.27"
"207","Sean Tighe","Nova Southeastern","Jr.","P","15","65.3","60","8.27"
"208","Joe Holtmeyer","Neb. Omaha","Jr.","P","10","58.7","54","8.28"
"209","Oliver Kadey","Mo. Western St.","So.","P","12","50.0","46","8.28"
"210","Dan Steers","Post","Sr.","P","10","66.3","61","8.28"
"211","Brad Isom","UNC Pembroke","Sr.","P","13","79.3","73","8.28"
"212","Tyler Golden","Lock Haven","Sr.","P","10","46.7","43","8.29"
"213","Brian Buckham","Cal St. Chico","Jr.","P","12","42.3","39","8.30"
"214","Stephen Groves","Valdosta St.","Jr.","P","24","43.3","40","8.31"
"215","Kyle Dyer","Drury","Sr.","P","11","79.0","73","8.32"
"216","Aaron Rosborough","Central Okla.","Jr.","P","13","40.0","37","8.33"
"217","Taylor West","Belmont Abbey","Fr.","P","11","44.3","41","8.33"
"218","Sean Marsiglia","St. Thomas Aquinas","Sr.","P","10","49.7","46","8.33"
"219","Bentley Massey","Barton","Jr.","P","12","71.3","66","8.33"
"220","Chandler Hall","Armstrong","Jr.","P","15","82.0","76","8.34"
"221","Greg Herbst","St. Mary's (TX)","Sr.","1B","13","81.7","76","8.37"
"222","Scott Tully","Cal St. Monterey Bay","Sr.","P","12","69.7","65","8.39"
"223","Matthew Cascello","Queens (NY)","Fr.","P","13","49.3","46","8.40"
"224","Clint Brown","Tex. A&M-Kingsville","Sr.","P","27","40.7","38","8.40"
"225","Scott Strickland","Armstrong","Jr.","P","14","102.7","96","8.41"
"226","Cory Rhodes","King (TN)","Fr.","P","10","67.3","63","8.42"
"227","Dustin Javins","Dominican (NY)","Jr.","P","11","64.0","60","8.44"
"228","Brett Campbell","Anderson (SC)","Sr.","P","13","59.7","56","8.44"
"229","Marc Rutledge","Dowling","Jr.","P","9","53.3","50","8.44"
"230","Jake Hosey","Emporia St.","Sr.","P","10","45.7","43","8.47"
"231","Brandon Vazquez","Ga. Southwestern","Jr.","P","10","52.0","49","8.48"
"232","William Krasne","Rollins","Sr.","P","18","57.3","54","8.48"
"233","Joseph Herbert","Winston-Salem","Fr.","P","14","53.0","50","8.49"
"","Cory Rupert","Indianapolis","Sr.","P","11","58.3","55","8.49"
"235","Casey Mitchell","Saint Martin's","Sr.","P","14","74.0","70","8.51"
"236","Brodie Brumley","Harding","Sr.","P","11","57.0","54","8.53"
"237","Guido Knudson","UC San Diego","Sr.","P","12","82.3","78","8.53"
"238","Caleb Zang","Quincy","Sr.","P","8","45.3","43","8.54"
"239","Shawn Riesgraf","St. Cloud St.","So.","P","10","40.0","38","8.55"
"240","John Shivo","American Int'l","Sr.","P","8","46.3","44","8.55"
"241","Tyler Zimm","California (PA)","So.","P","9","41.0","39","8.56"
"242","Kyle Lavin","St. Anselm","Sr.","P","11","55.7","53","8.56"
"243","Bo Budkevics","C.W. Post","So.","P","11","64.0","61","8.58"
"244","Ryan Griffin","Ala.-Huntsville","Jr.","P","10","50.3","48","8.59"
"","Joe Mantoni","Merrimack","So.","P","8","50.3","48","8.59"
"","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","48","8.59"
"247","Matt Cook","Caldwell","Jr.","INF","11","60.7","58","8.60"
"248","Zach Gove","Emporia St.","So.","P","16","46.0","44","8.61"
"249","Ronnie Loeffler","Hawaii Hilo","Sr.","P","8","47.0","45","8.62"
"250","Sadarius Lewis","Elizabeth City St.","Sr.","P","15","64.7","62","8.62"
"251","Tyler Savin","Mercy","Jr.","P","12","55.3","53","8.63"
"252","Ryan Pierce","St. Andrews","So.","P","14","66.7","64","8.64"
"253","Alex Dunn","Missouri S&T","Sr.","P","12","42.7","41","8.64"
"254","Cody Stull","Belmont Abbey","Fr.","P","13","59.3","57","8.65"
"255","John Tuttle","Catawba","Fr.","P","14","62.3","60","8.67"
"256","George Hebert","Slippery Rock","Sr.","P","10","55.0","53","8.67"
"257","Aaron Appino","Cal St. Monterey Bay","Jr.","P","11","56.0","54","8.68"
"258","Kody Kennedy","Mont. St. Billings","Sr.","P","10","47.7","46","8.68"
"259","Ethan Marsh","Pfeiffer","Sr.","OF","24","65.3","63","8.68"
"260","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","48","8.69"
"261","Eric Haughn","Stonehill","Jr.","P","9","60.0","58","8.70"
"262","Drew Provence","North Greenville","Jr.","P","9","61.0","59","8.70"
"263","Andrew DeSousa","Winona St.","Sr.","P","7","40.3","39","8.71"
"","Andrew Guest","Erskine","Sr.","P","15","62.0","60","8.71"
"","Justin Kuks","West Tex. A&M","Jr.","P","19","71.3","69","8.71"
"266","John Tricario","Mercy","Fr.","P","11","53.7","52","8.72"
"267","Steven Thiele","Belmont Abbey","Jr.","P","11","64.0","62","8.72"
"268","Benjamin Fuchs","Bellarmine","Fr.","P","9","54.7","53","8.72"
"","Anthony Pisano","Concordia (NY)","So.","P","11","54.7","53","8.72"
"270","Eric Kamp","Bloomfield","So.","P","10","42.3","41","8.72"
"271","Gabriel Duran","Dowling","Sr.","P","10","56.7","55","8.73"
"272","Felix Cardenas","Tex. Permian Basin","Sr.","P","14","67.0","65","8.73"
"273","Bobby Hopkins","Chestnut Hill","So.","P","19","57.7","56","8.73"
"274","Chad Modomo","West Va. Wesleyan","So.","P","8","44.3","43","8.74"
"275","Nick Banaugh","San Fran. St.","Sr.","P","13","71.7","70","8.79"
"","Jason Nicholas","Georgia College","Sr.","P","14","71.7","70","8.79"
"277","Alex Naggy","Pitt.-Johnstown","Jr.","P","14","45.0","44","8.80"
"278","Tom Sirois","Post","Sr.","P","8","46.0","45","8.80"
"279","Cody Repenning","Grand Canyon","So.","P","19","64.3","63","8.82"
"280","Tim Jones","Tex. A&M-Kingsville","Sr.","P","13","71.3","70","8.84"
"281","Brian Kilway","Lake Erie","Fr.","P","12","40.7","40","8.85"
"282","Craig Goodman","Tusculum","Jr.","P","13","78.3","77","8.85"
"283","Chris Thomas","Lander","So.","P","13","79.3","78","8.85"
"284","Adam Beach","Lake Erie","So.","P","10","43.7","43","8.86"
"285","Thomas Lee","Sonoma St.","Jr.","P","13","63.0","62","8.86"
"286","Tyler O'Bryant","Henderson St.","Fr.","INF","13","46.7","46","8.87"
"287","Kolby Moore","Ouachita Baptist","Sr.","P","15","78.0","77","8.88"
"288","Mark Sappington","Rockhurst","So.","P","11","66.7","66","8.91"
"289","Timothy Cooney","St. Anselm","Jr.","P","10","41.3","41","8.93"
"290","Anthony Pagano","Charleston (WV)","Sr.","SS","11","51.3","51","8.95"
"291","Casey Smith","Brevard","Jr.","P","10","63.3","63","8.96"
"292","Zach McElroy","Davis & Elkins","Jr.","P","13","74.3","74","8.96"
"293","Jp Ashline","Bentley","So.","P","14","47.0","47","9.00"
"","Jason Cochcroft","S.C. Aiken","Sr.","C","14","68.0","68","9.00"
"","Josh Foreman","Minn. Duluth","Sr.","P","11","47.0","47","9.00"
"","Curtis Hudson","Mount Olive","Sr.","P","11","55.0","55","9.00"
"","Joe Jablonski","Grand Valley St.","Sr.","P","10","54.0","54","9.00"
"","Kevin McGovern","Philadelphia U.","Jr.","C","11","55.0","55","9.00"
"","Tony Mueller","Winona St.","Jr.","OF","8","48.0","48","9.00"
"","T.J. Mullins","Barry","Jr.","P","23","42.0","42","9.00"
"","Danny Parker","Arkansas Tech","Fr.","P","11","55.0","55","9.00"
"302","Austin Leary","Stillman","Fr.","-","14","62.7","63","9.04"
"303","Sean Hayden","St. Anselm","Jr.","P","10","58.7","59","9.05"
"304","Wesley Edwards","Winston-Salem","So.","P","14","56.7","57","9.05"
"305","Paul Bischoff","C.W. Post","Jr.","P","9","52.7","53","9.05"
"306","Chris Short","Cal St. Stanislaus","Jr.","P","11","41.7","42","9.06"
"307","Collin Fishman","Saint Michael's","So.","1B","7","40.7","41","9.07"
"308","Cory Hopper","Lander","Jr.","P","14","84.3","85","9.07"
"309","Brett Kennedy","Valdosta St.","Sr.","P","17","75.3","76","9.08"
"310","Clifford Peterson","Albany St. (GA)","Fr.","P","15","84.0","85","9.11"
"311","Kyle Grana","Bellarmine","Fr.","P","12","58.3","59","9.11"
"312","Mitchell Fairley","Quincy","Sr.","P","10","53.3","54","9.12"
"313","Michael Ward","Western Ore.","Sr.","P","11","75.0","76","9.12"
"314","Ethan Lutz","Incarnate Word","Jr.","P","15","50.3","51","9.13"
"315","Josh Wedesky","Wayne St. (MI)","Jr.","P","9","48.3","49","9.13"
"316","Tyler Loehr","Wayne St. (MI)","Sr.","P","9","43.3","44","9.15"
"317","Tyler Newsome","Lewis","Sr.","OF","7","42.3","43","9.15"
"318","John Jeanes","Post","So.","P","9","41.3","42","9.15"
"319","Greg Nealis","USciences","Jr.","P","11","40.3","41","9.16"
"320","Matt White","Rollins","Sr.","P","19","54.0","55","9.17"
"321","Stephen Johnson","St. Edward's","So.","P","13","66.7","68","9.18"
"322","Ryan Dunn","Cal Poly Pomona","So.","P","10","51.0","52","9.18"
"323","Tyler Choate","Southern Ind.","Sr.","P","10","60.7","62","9.19"
"324","Skye Severns","St. Mary's (TX)","Jr.","P","12","55.7","57","9.21"
"325","John Gonzales","Tex. A&M Int'l","Sr.","P","16","85.0","87","9.21"
"326","Jeremy Pope","Rockhurst","Sr.","P","10","53.7","55","9.22"
"327","Brett Macari","Fort Hays St.","Jr.","INF","18","41.0","42","9.22"
"328","Chris Vette","St. Augustine's","Sr.","INF","11","52.7","54","9.22"
"329","Cody Church","Lincoln Memorial","Sr.","OF","17","40.0","41","9.23"
"330","Trey Mitchell","North Ala.","Sr.","P","12","91.7","94","9.23"
"331","Kyle Robertson","Missouri S&T","So.","P","11","50.7","52","9.23"
"332","Nick Melcher","King (TN)","Jr.","P","23","47.7","49","9.25"
"333","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","63","9.25"
"334","Brett Abell","Mo. Southern St.","Jr.","P","13","82.7","85","9.25"
"335","Andy Noga","East Stroudsburg","So.","P","10","56.3","58","9.27"
"336","Brandon Faulkner","Emporia St.","Jr.","P","15","66.0","68","9.27"
"337","Eric Meyerchick","St. Joseph's (IN)","Jr.","P","12","63.0","65","9.29"
"338","Dan Bartlett","Caldwell","Fr.","P","9","53.3","55","9.29"
"339","Austin Johnson","Lincoln Memorial","So.","P","11","70.7","73","9.29"
"340","Jeremy Smith","S.C. Aiken","Sr.","P","22","51.3","53","9.30"
"341","Aaron Newcomb","Delta St.","Jr.","P","13","79.3","82","9.31"
"342","Michael McIver","Saint Martin's","Sr.","P","8","49.3","51","9.31"
"343","Brandon Droge","Newman","Jr.","P","13","85.0","88","9.32"
"344","Chris Pfau","Lincoln (MO)","Jr.","P","10","47.3","49","9.32"
"345","Conner McMahon","Merrimack","Fr.","P","8","44.3","46","9.35"
"346","Jeremiah Cothiere","Palm Beach Atl.","Jr.","P","12","59.7","62","9.35"
"347","Donovan Drake","Indianapolis","Jr.","P","13","50.0","52","9.36"
"348","Kekoa Lee","Hawaii Hilo","Sr.","P","7","42.3","44","9.36"
"349","Ben Hastings","Assumption","Jr.","P","9","41.3","43","9.37"
"","Zach Lucas","Limestone","Jr.","P","26","41.3","43","9.37"
"351","Derek Beasley","S.C. Aiken","Fr.","P","14","55.7","58","9.37"
"352","Ben Currie","Wingate","Fr.","P","16","71.0","74","9.38"
"353","Chris Base","Armstrong","Jr.","P","13","99.7","104","9.39"
"354","R. Maddox","Shaw","Fr.","-","12","69.0","72","9.39"
"355","Kyle Butler","Montevallo","Sr.","P","12","74.7","78","9.40"
"356","Trevor Leach","Southern Ind.","Sr.","P","12","95.7","100","9.40"
"357","Matt Holland","St. Mary's (TX)","Sr.","P","13","80.3","84","9.41"
"","Branden Petrangelo","San Fran. St.","Jr.","P","14","80.3","84","9.41"
"359","Don Mack","Miles","Jr.","P","8","49.7","52","9.42"
"","Andrew Simonik","Lock Haven","Sr.","P","11","49.7","52","9.42"
"361","Houston Taylor","S.C. Aiken","Sr.","P","15","48.7","51","9.43"
"362","Lucas Waddell","Harding","So.","P","12","65.7","69","9.45"
