"Rank","Name","Team","Cl","Pos","G","SF"
"","Ryan Gajdos","Lehigh","Sr.","INF","50","5"
"","Ben Hammer","Toledo","Sr.","OF","44","5"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","5"
"","Kai Hatch","Utah Valley","Jr.","INF","41","5"
"","Austin Heaps","Utah Valley","Sr.","OF","41","5"
"","Matt Hillsinger","Radford","Sr.","OF","43","5"
"","Will Howard","Kennesaw St.","Sr.","OF","48","5"
"","John Howell","Binghamton","So.","INF","34","5"
"","Ryan Hutchison","Western Ky.","Sr.","OF","44","5"
"","Mott Hyde","Georgia Tech","So.","INF","43","5"
"","Matt Igara","Western Ill.","Sr.","OF","42","5"
"","Zac Johnson","Illinois St.","Jr.","INF","38","5"
"","Ryan Jones","Michigan St.","Jr.","INF","42","5"
"","Jayson Keel","Wagner","Jr.","OF","43","5"
"","Jared King","Virginia","Sr.","INF","45","5"
"","Jonathan Kolowich","Georgia St.","Sr.","OF","40","5"
"","Ian Leisenheimer","Maine","Sr.","DH","33","5"
"","Hunter Lockwood","Oklahoma","Fr.","C","42","5"
"","Kendall Logan","Jackson St.","Sr.","OF","42","5"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","5"
"","Chris Manning","Valparaiso","So.","OF","42","5"
"","Stephen McSherry","Fordham","Sr.","OF","47","5"
"","Ronnie Mitchell","Dallas Baptist","Jr.","OF","31","5"
"","Brett Mollenhauer","Radford","Sr.","INF","42","5"
"","Tom Murphy","Buffalo","Jr.","C","39","5"
"","Paul Nitto","Furman","Jr.","C","42","5"
"","Sean O'Hare","St. John's (NY)","Jr.","INF","44","5"
"","Dan Olinger","Minnesota","So.","C","46","5"
"","Nathan Orf","Baylor","Jr.","C","45","5"
"","Ramon Ortega","Manhattan","Jr.","C","40","5"
"","Zach Osborne","Tennessee","Sr.","SS","44","5"
"","Jensen Park","Northern Colo.","Fr.","OF","43","5"
"","Greg Partyka","Bradley","So.","1B","41","5"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","5"
"","Dario Pizzano","Columbia","Jr.","OF","44","5"
"","Sawyer Polen","Kent St.","Fr.","INF","38","5"
"","Dusty Quattlebaum","Gardner-Webb","Sr.","INF","45","5"
"","Walt Quattlebaum","Charleston So.","Sr.","INF","33","5"
"","Zach Rhodes","South Dakota St.","Sr.","OF","41","5"
"","Joey Rickard","Arizona","Jr.","OF","38","5"
"","Casey Roche","Pittsburgh","So.","P","42","5"
"","Leo Rojas","Alabama St.","Jr.","INF","47","5"
"","Ty Ross","LSU","So.","C","41","5"
"","Marc Schoch","La Salle","Sr.","C","40","5"
"","Justin Shafer","Florida","Fr.","INF","33","5"
"","Andy Smith","Liberty","Jr.","OF","41","5"
"","Paul Snieder","Northwestern","Sr.","1B","40","5"
"","Greg Solomon","Ohio St.","Jr.","C","35","5"
"","Brig Tison","George Mason","Sr.","INF","47","5"
"","Zach Voight","New Mexico St.","Sr.","3B","43","5"
"","Luke Voit","Missouri St.","Jr.","C","45","5"
"","Luke Weber","S.C. Upstate","So.","C","39","5"
"","Keith Werman","Virginia","Sr.","INF","44","5"
"","Troy White","Northern Ill.","Sr.","INF","39","5"
"","Jon Wilson","Niagara","Sr.","SS","40","5"
"","Chris Wilson","San Diego St.","Sr.","C","35","5"
"","Josh Winter","Mt. St. Mary's","Sr.","1B","46","5"
"","Greg Zebrack","Penn","Jr.","OF","39","5"
