"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Will Huff","Erskine","So.","INF","52","193","104"
"","Areo Regoli","Nova Southeastern","Sr.","OF","40","145","104"
"","Ryan Small","Tarleton St.","Jr.","INF","44","171","104"
"","Billy Smith","West Virginia St.","Jr.","OF","45","170","104"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","166","104"
"","Allen Staton","North Greenville","Fr.","P","53","191","104"
"59","Chris Dula","Catawba","So.","3B","44","178","103"
"","Bo Folkinga","Western Ore.","Sr.","OF","36","138","103"
"","Josh Haley","UNC Pembroke","Sr.","OF","49","197","103"
"","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","103"
"","Kyle Morrow","Pitt.-Johnstown","So.","C","49","166","103"
"64","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","173","102"
"","P Martin","Winston-Salem","Fr.","-","50","193","102"
"","Cameron Scott","Columbus St.","Jr.","2B","50","199","102"
"","Brett Teschner","Columbus St.","Jr.","C","49","187","102"
"","Drew Westover","Pitt.-Johnstown","Sr.","OF","44","148","102"
"69","Nick Aranas","S.C. Aiken","Sr.","3B","48","181","101"
"","Ryan Daughtry","Barton","Sr.","OF","47","174","101"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","159","101"
"","Seth McMullen","Winona St.","Jr.","SS","42","156","101"
"","Nate Van Roekel","Winona St.","Sr.","3B","43","166","101"
"","Jordan White","Ky. Wesleyan","Sr.","OF","45","168","101"
"75","Jordan Easom","West Tex. A&M","Sr.","OF","45","158","100"
"","Robert Kelly","St. Anselm","Jr.","1B","48","180","100"
"","J.P. Maples","Central Okla.","Jr.","OF","34","117","100"
"","Jake Warner","Pitt.-Johnstown","So.","C","48","168","100"
"79","Ben Albano","Lewis","So.","OF","43","147","99"
"","Darryl Baca","Metro St.","Fr.","C","42","155","99"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","160","99"
"","Blake Miller","Western Ore.","Jr.","SS","39","142","99"
"","Tarron Robinson","Brevard","Fr.","C","49","179","99"
"","Toby Semler","Angelo St.","Sr.","INF","50","188","99"
"85","Jarius Brown","Stillman","Sr.","OF","44","163","98"
"","Nicholas Sell","Seton Hill","Fr.","INF","42","134","98"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","187","98"
"","Danny Susdorf","UC San Diego","Jr.","OF","44","176","98"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","167","98"
"90","Bret Blevins","Concord","So.","INF","48","170","97"
"","Kendall Boone","West Tex. A&M","Sr.","INF","46","176","97"
"","Brendan Costantino","Seton Hill","So.","INF","49","178","97"
"","Nick Erminio","Seton Hill","Sr.","INF","49","175","97"
"","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","143","97"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","166","97"
"","Cody Maas","Georgia College","Jr.","C","47","188","97"
"","Ryan McChesney","Florida Tech","Sr.","C","45","151","97"
"","Cody Strang","Winona St.","Jr.","OF","43","161","97"
"","Nate Wilder","Arkansas Tech","Sr.","3B","49","176","97"
"","Drew Willingham","Erskine","Jr.","1B","52","191","97"
"101","Ryan Bostian","Catawba","Sr.","OF","50","196","96"
"","Jess Cooper","West Tex. A&M","Sr.","INF","44","159","96"
"","Rick Hepworth","East Central","Sr.","INF","48","179","96"
"","Joseph Horsely","Lincoln Memorial","Sr.","INF","49","190","96"
"","Ryan Johnston","Concord","Fr.","C","50","157","96"
"","Adam Shank","St. Edward's","Sr.","OF","44","166","96"
"","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","146","96"
"108","Steve Anderson","Grand Valley St.","Sr.","OF","44","152","95"
"","Ty Barkell","S.C. Aiken","Fr.","1B","49","195","95"
"","Ryan Greer","Angelo St.","Jr.","OF","50","166","95"
"","Jason Hunter","Wingate","Jr.","C","49","165","95"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","163","95"
"","Josh Miller","S.C. Aiken","Jr.","C","46","183","95"
"114","Justi Bagbey","Chowan","Fr.","-","49","152","94"
"","Jeffrey Conley","Alderson-Broaddus","So.","P","45","148","94"
"","Travis Echols","Georgia College","Jr.","3B","48","197","94"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","183","94"
"","Jon Minucci","Southern N.H.","Jr.","OF","48","179","94"
"","Jordan Owens","Lander","Sr.","1B","48","181","94"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","153","94"
"","Matthew Young","Cal St. Dom. Hills","Fr.","OF","38","156","94"
"122","Matt Henriksen","Tusculum","Jr.","INF","53","187","93"
"","Sean McDonald","Northwest Nazarene","Sr.","OF","45","186","93"
"","Michael Pomeroy","Grand Canyon","Jr.","OF","48","181","93"
"","Blake Silguero","Tarleton St.","Sr.","DH","39","147","93"
"126","Jackson Boyd","Seton Hill","Jr.","OF","46","152","92"
"","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","178","92"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","137","92"
"","Tyler Eager","Abilene Christian","Fr.","1B","50","193","92"
"","Cody Foster","Cal St. Chico","Sr.","OF","46","175","92"
"","Tanner Funk","Georgia College","Sr.","SS","48","196","92"
"","Derek Hansen","Augustana (SD)","Jr.","INF","43","151","92"
"","Cam Kneeland","Mass.-Lowell","Sr.","INF","43","176","92"
"","Derek Mendoza","Grand Canyon","Jr.","INF","46","164","92"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","148","92"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","189","92"
"","Champ Stuart","Brevard","So.","OF","42","148","92"
"","Michael Tomko","Gannon","Jr.","OF","46","154","92"
"139","Matt Barr","Davis & Elkins","Jr.","INF","47","138","91"
"","Chase Corn","Erskine","So.","OF","52","189","91"
"","Will Fulmer","Montevallo","So.","INF","49","204","91"
"","Shayne Houck","Kutztown","Sr.","INF","46","140","91"
"","William VanWinkle","Paine","Jr.","1B","46","144","91"
"144","Vincente Andrews","Montevallo","Jr.","OF","46","163","90"
"","Chad Balderman","Limestone","So.","OF","48","202","90"
"","Madison Beaird","Arkansas Tech","Jr.","OF","49","192","90"
"","Dan Fratus","Stonehill","So.","INF","44","170","90"
"","Chris Miller","Cal Poly Pomona","Sr.","INF","48","173","90"
"","Bradon Reitano","Mount Olive","So.","SS","47","158","90"
"","Chris Ross","Montevallo","Sr.","OF","49","174","90"
"","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","143","90"
"152","Ryan Abernathy","Northwest Mo. St.","So.","OF","39","162","89"
"","Blake Amaral","Hawaii Pacific","Sr.","INF","45","177","89"
"","Joey Benke","St. Cloud St.","Sr.","INF","42","143","89"
"","Chuck Duarte","Abilene Christian","Jr.","INF","50","169","89"
"","Markus Duckworth","North Greenville","Sr.","OF","51","198","89"
"","Chris Gallegos","Northeastern St.","Sr.","INF","48","161","89"
"","Taylor Lyons","Cameron","Sr.","OF","49","178","89"
"","Aaron Parnell","UNC Pembroke","Sr.","INF","49","185","89"
"","Donald Walter","Cal Poly Pomona","Jr.","OF","48","177","89"
"","Anthony Zarrella","Adelphi","Jr.","INF","40","149","89"
"162","Matthew Black","North Ga.","Sr.","INF","43","166","88"
"","Andrew Brauer","Lewis","Sr.","OF","46","166","88"
"","Blake Gibbs","Cal St. Chico","Jr.","OF","46","155","88"
"","Tyler Hancock","Newman","Sr.","INF","45","162","88"
"","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","154","88"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","191","88"
"","Ryan Porter","Rockhurst","Sr.","1B","42","158","88"
"","Cody Powell","Armstrong","Sr.","INF","44","153","88"
"","Nate Ramler","Mo. Western St.","Jr.","OF","43","149","88"
"","Eric Renegar","Brevard","Jr.","INF","48","182","88"
"","Ryan Siegel","Mercyhurst","Fr.","OF","44","162","88"
"","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","142","88"
"","Eric Temple","West Virginia St.","Sr.","OF","46","156","88"
"175","David Allday","Southern Ark.","Sr.","1B","46","162","87"
"","Greg Baggett","Bentley","Sr.","C","40","143","87"
"","Stephen Carmon","S.C. Aiken","Sr.","SS","49","202","87"
"","Collins Cuthrell","Barton","So.","INF","40","148","87"
"","Jerrod Groves","Concord","Fr.","INF","49","175","87"
"","Nash Hutter","Shepherd","Sr.","OF","45","151","87"
"","Jay Laurienzo","Flagler","Jr.","OF","47","169","87"
"","Jordan May","Ark.-Fort Smith","Sr.","OF","44","167","87"
"","Andre Rodriguez","Lincoln Memorial","Jr.","INF","46","145","87"
"","Erick Sanderson","Anderson (SC)","Jr.","INF","43","162","87"
"","Jenzen Torres","Cal Poly Pomona","Sr.","C","49","173","87"
"","Joe Vaskas","Emporia St.","Sr.","INF","39","133","87"
"","Chris Vazquez","Wingate","Sr.","SS","54","190","87"
"188","Luke Acosta","Mo. Southern St.","Sr.","INF","46","175","86"
"","Thomas Biocic","Arkansas Tech","Jr.","1B","42","141","86"
"","Scott Bradbury","Rockhurst","Sr.","3B","42","170","86"
"","Jordan Erisman","North Ga.","Sr.","INF","48","214","86"
"","Ryan Geffert","Southern Conn. St.","Sr.","1B","42","154","86"
"","Blake Gentry","Southeastern Okla.","Sr.","OF","46","173","86"
"","Brian Hansen","St. Cloud St.","Jr.","OF","45","150","86"
"","Michael Leviseur","Seton Hill","Sr.","C","48","148","86"
"","Michael Lott","Shepherd","So.","OF","46","169","86"
"","Jason Merjano","Cal St. Monterey Bay","Jr.","SS","46","177","86"
"","Dylan Songer","Indiana (PA)","Sr.","1B","48","151","86"
"","Ivan Vieitez","Lenoir-Rhyne","Fr.","OF","49","173","86"
"200","Tommy Barnes","Neb.-Kearney","Jr.","1B","43","159","85"
"","Jermaine Berry","Mount Olive","Jr.","3B","42","164","85"
"","Mike Bolling","Lewis","Sr.","OF","46","172","85"
"","David Borchardt","Augustana (SD)","Jr.","P","41","143","85"
"","Dion Bryant","Stillman","Sr.","OF","44","187","85"
"","Jonathan Calabrese","Nyack","Sr.","INF","33","157","85"
"","Antonio Callaway","Mount Olive","Sr.","OF","48","179","85"
"","Zach Miller","Saint Leo","Sr.","INF","39","139","85"
"","Brett Scarberry","Anderson (SC)","Sr.","C","44","161","85"
"","Luis Serrano","Paine","Jr.","C","51","175","85"
"","John Sgromolo","Flagler","Sr.","1B","49","186","85"
"","Jake Sloan","North Ala.","Sr.","P","50","159","85"
"","Mike Snyder","Fla. Southern","Sr.","INF","41","152","85"
"","Stanley Susana","St. Thomas Aquinas","Fr.","-","44","160","85"
"","David Weber","Benedict","Jr.","1B","35","101","85"
