"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"30","Ryan Lower","Houston Baptist","Sr.","P","5","31.0","3","0.87"
"31","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","4","0.88"
"32","Stephen Moore","Navy","Jr.","P","6","40.2","4","0.89"
"33","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","3","0.89"
"","Chris McKenna","Monmouth","Jr.","P","5","30.1","3","0.89"
"35","A.J. Ladwig","Wichita St.","Jr.","P","6","39.2","4","0.91"
"36","Erik Heiligenstadt","Gardner-Webb","Jr.","P","6","38.2","4","0.93"
"","Ty Nichols","Sacramento St.","Jr.","P","5","29.0","3","0.93"
"38","Josh Prevost","Seton Hall","Sr.","P","6","48.0","5","0.94"
"39","Ryan Daniels","SIU Edwardsville","Jr.","P","6","38.1","4","0.94"
"40","Kyle Bouman","LSU","Jr.","P","5","28.2","3","0.94"
"41","Levi MaVorhis","Kansas St.","So.","P","6","38.0","4","0.95"
"42","Kalei Contrades","San Jose St.","Jr.","P","8","28.1","3","0.95"
"43","Corey Miller","Pepperdine","Sr.","P","6","47.0","5","0.96"
"44","Tanner Tully","Ohio St.","Fr.","P","7","28.0","3","0.96"
"45","Christian Trent","Ole Miss","So.","P","6","37.0","4","0.97"
"46","Kevin Hughes","Buffalo","Sr.","P","7","18.1","2","0.98"
"47","Jack Wynkoop","South Carolina","So.","P","6","36.1","4","0.99"
"48","Connor Cuff","Penn","Jr.","P","4","27.0","3","1.00"
"49","Michael Murray","FGCU","So.","P","6","44.2","5","1.01"
"50","Trey Killian","Arkansas","So.","P","4","26.2","3","1.01"
"","Tyler Mapes","Tulane","---","P","5","26.2","3","1.01"
"52","Dillon Mangham","Stephen F. Austin","Jr.","P","7","35.1","4","1.02"
"53","Travis Bergen","Kennesaw St.","So.","P","6","34.1","4","1.05"
"54","Justin Garza","Cal St. Fullerton","So.","P","4","25.2","3","1.05"
"","Tyler Jordan","Ball St.","Sr.","P","12","25.2","3","1.05"
"56","Cale Elam","Wichita St.","Sr.","P","5","34.0","4","1.06"
"57","Tyler Alexander","TCU","Fr.","P","6","33.2","4","1.07"
"58","Connor Jones","Virginia","Fr.","P","9","25.0","3","1.08"
"59","Ryan Askew","Mercer","Fr.","P","11","41.0","5","1.10"
"60","James Farris","Arizona","Sr.","P","7","48.0","6","1.13"
"","Xavier Hammond","Bucknell","Jr.","P","5","24.0","3","1.13"
"62","Mat Batts","UNC Wilmington","Sr.","P","6","39.1","5","1.14"
"63","Gunnar Carroll","Army","Sr.","P","6","39.0","5","1.15"
"","Scott Kuzminsky","Hawaii","Sr.","P","6","39.0","5","1.15"
"65","Nick Deckert","FGCU","Jr.","P","7","38.1","5","1.17"
"","Joe Vanderplas","UMBC","So.","P","4","23.0","3","1.17"
"67","Curtis Jones","Houston Baptist","Jr.","INF","5","38.0","5","1.18"
"68","Sam Howard","Ga. Southern","Jr.","P","6","37.2","5","1.19"
"69","Vinny Nittoli","Xavier","Sr.","P","5","30.0","4","1.20"
"70","Damian Rivera","Saint Louis","Sr.","P","8","22.1","3","1.21"
"71","Rohn Pierce","Canisius","Jr.","P","6","44.0","6","1.23"
"72","Seth Greene","VCU","Sr.","P","6","36.1","5","1.24"
"","Nolan Trabanino","UTSA","So.","P","6","36.1","5","1.24"
"","Grahamm Wiest","Cal St. Fullerton","Jr.","P","5","36.1","5","1.24"
"75","Tate Scioneaux","Southeastern La.","So.","P","6","43.1","6","1.25"
"76","Andrew McGee","Monmouth","Sr.","P","5","36.0","5","1.25"
"77","Nick Dignacco","Army","Sr.","P","6","35.1","5","1.27"
"","Chase Jarrell","Florida A&M","Fr.","P","7","35.1","5","1.27"
"","Andrew Moore","Oregon St.","So.","P","5","35.1","5","1.27"
"80","Michael Clemens","McNeese St.","Jr.","P","6","42.0","6","1.29"
"","Pat Kaminska","Central Mich.","Sr.","P","6","42.0","6","1.29"
"","Andrew Nelson","Kentucky","Jr.","P","7","28.0","4","1.29"
"","Bobby Poyner","Florida","Jr.","P","11","28.0","4","1.29"
"84","Adam Bray","South Dakota St.","Jr.","P","6","41.2","6","1.30"
"","Brett Graves","Missouri","Jr.","P","6","41.2","6","1.30"
"86","Dillon Ortman","Auburn","Sr.","P","6","41.1","6","1.31"
"87","Conor LeBlanc","Massachusetts","Jr.","P","5","34.1","5","1.31"
"88","Phil Bickford","Cal St. Fullerton","Fr.","P","9","27.1","4","1.32"
"","Sean Kennel","Southeastern La.","Sr.","P","6","27.1","4","1.32"
"","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","4","1.32"
"91","Jeff Brigham","Washington","Jr.","P","6","34.0","5","1.32"
"92","Corbin Olmstead","North Florida","So.","P","6","27.0","4","1.33"
"93","John Gorman","Boston College","Jr.","P","6","33.2","5","1.34"
"94","Tanner Perkins","Eastern Ky.","Sr.","P","6","40.0","6","1.35"
"","Cameron Roegner","Bradley","So.","P","6","20.0","3","1.35"
"96","T.J. Renda","Alabama St.","Jr.","P","6","39.2","6","1.36"
"97","Karl Lamont","Mt. St. Mary's","Sr.","P","5","26.1","4","1.37"
"98","Louie Lechich","San Diego","Sr.","P","6","39.1","6","1.37"
"99","Andrew Andreychik","Bucknell","So.","P","5","26.0","4","1.38"
"","Landon Busch","Kansas St.","So.","P","8","26.0","4","1.38"
"","Austin Gomber","Fla. Atlantic","Jr.","P","6","39.0","6","1.38"
"102","John Miles","Missouri","Jr.","P","6","32.1","5","1.39"
"103","Wil Crowe","South Carolina","Fr.","P","6","38.2","6","1.40"
"104","Cody Hamlin","Arizona","So.","P","7","45.0","7","1.40"
"105","William Munro","Fresno St.","Jr.","P","6","25.2","4","1.40"
"106","Elliot Surrey","UC Irvine","So.","P","6","32.0","5","1.41"
"107","Trey Lambert","Liberty","Sr.","P","6","38.1","6","1.41"
"108","Matt Ditman","Rice","So.","C","10","31.2","5","1.42"
"","Christopher Mourelle","FIU","Fr.","P","7","31.2","5","1.42"
"","Cody Poteet","UCLA","So.","P","6","31.2","5","1.42"
"111","George Michael","Delaware St.","So.","P","5","31.1","5","1.44"
"112","Preston Hill","Temple","Sr.","P","6","25.0","4","1.44"
"113","David Bednar","Lafayette","Fr.","P","3","18.2","3","1.45"
"","Brad Markey","Virginia Tech","Sr.","P","6","37.1","6","1.45"
"115","Brock Downey","Murray St.","Jr.","OF","6","43.1","7","1.45"
"116","Paul Mittura","Middle Tenn.","Sr.","P","9","24.2","4","1.46"
"","Preston Morrison","TCU","Jr.","P","6","37.0","6","1.46"
"","Logan Onda","UTSA","Jr.","P","10","24.2","4","1.46"
"119","Nick Leiningen","Sacred Heart","Sr.","P","4","24.1","4","1.48"
"120","Blake Fulghum","Liberty","Sr.","P","8","30.1","5","1.48"
"121","Patrick McGrath","Loyola Marymount","Sr.","P","7","36.1","6","1.49"
"122","Keith Zuniga","Bethune-Cookman","Jr.","P","6","42.0","7","1.50"
"123","Jace Fry","Oregon St.","Jr.","P","6","47.2","8","1.51"
"124","Nolan Blackwood","Memphis","Fr.","P","13","23.2","4","1.52"
"125","Cameron Allen","UALR","Jr.","P","5","29.1","5","1.53"
"126","Grant Watson","UCLA","Jr.","P","6","41.0","7","1.54"
"127","Chase Angelle","Lamar","Jr.","P","6","40.2","7","1.55"
"","Taylor Black","Texas St.","Jr.","P","6","40.2","7","1.55"
"129","Michael Boyle","Radford","So.","P","6","29.0","5","1.55"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","5","1.55"
"131","Keegan Thompson","Auburn","Fr.","P","6","46.1","8","1.55"
"132","Eric Skoglund","UCF","Jr.","P","6","46.0","8","1.57"
"","Jacob Steffens","Santa Clara","So.","P","5","23.0","4","1.57"
"134","Matt Hockenberry","Temple","Sr.","P","6","34.1","6","1.57"
"","Jared Lyons","Liberty","Jr.","P","8","34.1","6","1.57"
"136","Kevin Bishop","Stephen F. Austin","Sr.","P","7","22.2","4","1.59"
"","Taylor Byrd","Nicholls St.","Sr.","P","6","39.2","7","1.59"
"","Ean McNeal","Chicago St.","Jr.","P","5","34.0","6","1.59"
"","Jeff Schank","Butler","Fr.","P","6","28.1","5","1.59"
"","Riley Stephenson","UMBC","So.","P","4","17.0","3","1.59"
"141","Mitchell Schulewitz","Ill.-Chicago","Fr.","P","12","22.1","4","1.61"
"142","Ryan Casey","Wagner","Sr.","P","5","27.2","5","1.63"
"143","Andrew Rohrbach","Long Beach St.","So.","P","6","38.2","7","1.63"
"144","Aaron LaBrie","Wichita St.","Sr.","P","13","22.0","4","1.64"
"145","Joseph Camacho","Alabama St.","So.","P","6","43.2","8","1.65"
"146","Andrew Tomasovich","Charleston So.","So.","P","6","32.2","6","1.65"
"147","Anthony Montefusco","George Mason","Sr.","P","6","38.0","7","1.66"
"148","Mariano Rivera","Iona","So.","P","4","21.2","4","1.66"
"149","J.P. France","Tulane","Fr.","P","7","27.0","5","1.67"
"150","Tomas Michelson","Ill.-Chicago","Jr.","P","5","32.1","6","1.67"
"151","David Hess","Tennessee Tech","Jr.","P","6","37.2","7","1.67"
"152","Lucas Bakker","Elon","Jr.","P","6","43.0","8","1.67"
"","Matt Danton","A&M-Corpus Christi","Jr.","P","6","43.0","8","1.67"
"154","Elias Martinez","NYIT","Fr.","P","6","16.0","3","1.69"
"","Dylan Nelson","Radford","So.","P","5","32.0","6","1.69"
"","Fernando Rosa","Rutgers","Fr.","P","6","21.1","4","1.69"
"","Dylan Stuart","UC Riverside","Sr.","P","9","21.1","4","1.69"
"158","Kevin Duchene","Illinois","So.","P","5","37.0","7","1.70"
"","Cameron Neff","St. Mary's (CA)","Fr.","P","6","37.0","7","1.70"
"160","Jordan Carter","Saint Joseph's","Sr.","P","5","31.2","6","1.71"
"","Trevor Fitts","Mississippi St.","Jr.","P","6","31.2","6","1.71"
"","Tyler Weekley","Charleston So.","Fr.","P","7","31.2","6","1.71"
"163","Jake Stinnett","Maryland","Sr.","P","6","42.0","8","1.71"
"","Drew Teller","St. Bonaventure","So.","P","9","21.0","4","1.71"
"165","Zach Rodgers","UCF","Jr.","P","10","31.1","6","1.72"
"","Logan Shore","Florida","Fr.","P","6","31.1","6","1.72"
"167","Jason Inghram","William & Mary","Jr.","P","6","41.2","8","1.73"
"168","Devin Hemmerich","Norfolk St.","Fr.","P","11","26.0","5","1.73"
"169","Joe Pistorese","Washington St.","Jr.","P","7","36.1","7","1.73"
"170","John Means","West Virginia","Jr.","P","5","31.0","6","1.74"
"","Sam Street","Tex.-Pan American","Sr.","P","6","51.2","10","1.74"
"172","Zach Varela","UC Riverside","Sr.","P","5","36.0","7","1.75"
"173","Tyler Ruemmele","North Dakota","Jr.","P","4","15.1","3","1.76"
"","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","6","1.76"
"175","Mike Shawaryn","Maryland","Fr.","P","6","35.2","7","1.77"
"176","Logan Frati","Fairleigh Dickinson","So.","P","3","20.1","4","1.77"
"177","Adam Oller","Northwestern St.","Fr.","P","7","30.1","6","1.78"
"","Grant Papelian","Mercer","Jr.","P","7","30.1","6","1.78"
"179","Alex Robles","Austin Peay","Fr.","INF","7","35.1","7","1.78"
"180","Chris Carmain","Northeastern","Sr.","P","6","40.1","8","1.79"
"","Christian DeLeon","Nebraska","Sr.","P","6","40.1","8","1.79"
"","Aaron Nola","LSU","Jr.","P","6","40.1","8","1.79"
"183","Jesse Frawley","Central Conn. St.","Jr.","P","2","10.0","2","1.80"
"","Drasen Johnson","Illinois","Jr.","P","6","35.0","7","1.80"
"","Richie Navari","Louisiana Tech","Sr.","P","6","40.0","8","1.80"
"","Scott Schultz","Oregon St.","Sr.","P","9","35.0","7","1.80"
"","Connor Sitz","Ohio","So.","P","5","25.0","5","1.80"
"","Tyler Wright","Houston Baptist","Jr.","P","5","30.0","6","1.80"
"189","Andrew Suarez","Miami (FL)","Jr.","P","6","39.2","8","1.82"
"190","Casey Bloomquist","Cal Poly","So.","P","7","34.2","7","1.82"
"191","Kevin McAvoy","Bryant","Jr.","P","5","29.2","6","1.82"
"","Christian Talley","Southern Miss.","Jr.","P","5","29.2","6","1.82"
"193","Nick Gruener","Harvard","Fr.","P","4","24.2","5","1.82"
"","Dan VanSickle","North Florida","Jr.","P","9","24.2","5","1.82"
"195","Alec Crawford","Minnesota","Sr.","P","6","34.1","7","1.83"
"196","Tanner Hicks","Troy","Sr.","P","6","44.0","9","1.84"
"197","Chris Chism","Tennessee Tech","Jr.","P","5","24.1","5","1.85"
"198","Jared Moore","Kansas St.","Sr.","P","6","34.0","7","1.85"
"","Devin Skapura","A&M-Corpus Christi","Fr.","P","7","34.0","7","1.85"
"200","Brandon Finnegan","TCU","Jr.","P","6","43.2","9","1.85"
