"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","12","2"
"","RJ Going","Dowling","So.","INF","19","12","1"
"","Chase Kiefer","West Florida","So.","INF","25","12","0"
"","Brandon Martinez","Kutztown","Jr.","OF","16","12","1"
"","Ethan Perla","Palm Beach Atl.","Sr.","OF","22","12","4"
"","Bryan Perlmutter","Rollins","Jr.","SS","26","12","2"
"","Jamie Scott","Saint Augustine's","Sr.","OF","22","12","2"
"","Kurt Seiders","Millersville","Jr.","P","23","12","0"
"","Seth Tressler","Mansfield","Sr.","2B","15","12","1"
"","Corban Williams","Truman","Sr.","OF","17","12","0"
"","Paul Winterbottom","Stillman","Jr.","INF","28","12","3"
"","Spencer Wolfe","Shepherd","Jr.","C","21","12","0"
"79","Jason Baytop","Saint Augustine's","So.","OF","27","11","0"
"","Tyler Bodenstab","Missouri S&T","So.","OF","22","11","1"
"","Justin Clements","Walsh","Sr.","OF","20","11","0"
"","TJ Costen","S.C. Aiken","---","3B","28","11","0"
"","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","11","2"
"","Tyler Gaby","King (TN)","Sr.","OF","32","11","1"
"","Parker Gibson","Washburn","So.","OF","22","11","2"
"","Clinton Harwick","Point Loma","Sr.","SS","27","11","8"
"","Chris Hoyt","Stonehill","So.","2B","17","11","3"
"","Ernie Kirkwood","Coker","Sr.","OF","28","11","3"
"","Joseph Marchini","Academy of Art","So.","OF","24","11","2"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","11","2"
"","Devante Parker","Lincoln (PA)","Fr.","INF","17","11","0"
"","Zach Persky","Rollins","Sr.","OF","10","11","2"
"","Caleb Psycher","Morehouse","---","RF","24","11","2"
"","Jocobby Robinson","West Ala.","Sr.","INF","27","11","4"
"","Brandon Ruiz","Southwestern Okla.","Sr.","OF","26","11","3"
"","Chevis Springer","Southeastern Okla.","Sr.","OF","28","11","3"
"","William Townsend","Southern Ark.","So.","OF","31","11","4"
"","Justin Trent","King (TN)","Sr.","INF","31","11","2"
"","Mario Urdaneta","Nova Southeastern","Jr.","OF","28","11","4"
"100","Deandre Allen","Mount Olive","Jr.","2B","30","10","5"
"","Andrew Bartlett","Florida Tech","Sr.","INF","29","10","2"
"","Daniel Bick","Georgia College","Sr.","INF","25","10","1"
"","Markus Carr","Okla. Christian","Sr.","OF","19","10","2"
"","Johnathon Cruz","Dowling","Jr.","OF","19","10","1"
"","Dale Davis","Bluefield St.","Sr.","INF","20","10","2"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","10","3"
"","Will Fulmer","Montevallo","Sr.","INF","30","10","3"
"","Jon Gray","Pfeiffer","Sr.","INF","30","10","1"
"","Aaron Haag","West Florida","Sr.","OF","26","10","3"
"","Shaquille Jackson","West Ga.","Sr.","OF","25","10","1"
"","Bobby Losanno","Merrimack","So.","OF","14","10","2"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","10","2"
"","Kevin Meredith","Tarleton St.","Jr.","OF","26","10","2"
"","Jerry Roam","Lindenwood (MO)","Sr.","OF","24","10","2"
"","Trevor Rucker","Southern Ark.","Fr.","3B","28","10","1"
"","Tommy Scala","Mars Hill","Jr.","OF","27","10","3"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","10","0"
"","Andrew Seigel","Concord","So.","OF","22","10","4"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","10","1"
"","Mark Stuckey","Millersville","Sr.","OF","23","10","2"
"","Emilio Villanueva","Drury","Sr.","OF","17","10","0"
"","Derrick Walls","Tex. A&M-Kingsville","Sr.","INF","27","10","3"
"123","David Atwood","Young Harris","Sr.","OF","31","9","4"
"","Danny Barnes","Tuskegee","Jr.","OF","22","9","3"
"","Jc Brandmaier","Dowling","Sr.","1B","18","9","3"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","9","3"
"","Jeremy Carrell","Wayne St. (MI)","So.","INF","19","9","2"
"","John Chapman","Harding","So.","INF","26","9","2"
"","Alex Cochran","Rogers St.","Jr.","OF","25","9","2"
"","Manny Cruz","Southern N.H.","Fr.","SS","19","9","1"
"","Gavin Culler","Winston-Salem","Fr.","OF","29","9","1"
"","Joseph Daris","Azusa Pacific","Sr.","OF","22","9","0"
"","Isaac Davenport","Francis Marion","Sr.","OF","25","9","4"
"","Donato DiNorcia","Le Moyne","Fr.","OF","19","9","3"
"","Matthew Fears","Valdosta St.","Sr.","INF","25","9","3"
"","Dillon Feland","Southern Nazarene","Fr.","INF","18","9","5"
"","A.J. Florence","Okla. Christian","Sr.","INF","23","9","1"
"","Sam Goines","Wilmington (DE)","Jr.","1B","15","9","0"
"","Jayson Gray","Dominican (NY)","Fr.","OF","12","9","1"
"","Matt Hendricks","Rollins","So.","INF","23","9","1"
"","Sterling James","Saint Augustine's","Jr.","OF","23","9","4"
"","Billy Karalis","Stonehill","Sr.","OF","17","9","4"
"","Kyle Kempf","Southern Ind.","So.","OF","18","9","1"
"","Chris LaVorgna","Franklin Pierce","Fr.","OF","24","9","3"
"","Zak Larkin","Truman","Jr.","SS","17","9","0"
"","Johnny LeClair","Mansfield","Sr.","OF","14","9","1"
"","Ryan Light","Lindenwood (MO)","Jr.","INF","25","9","2"
"","Dean Long","Emporia St.","Jr.","INF","25","9","3"
"","Michael Lott","Shepherd","Sr.","OF","21","9","4"
"","Khalfani Mar'Na","Glenville St.","So.","OF","17","9","0"
"","Ryan Messina","Shepherd","Sr.","C","21","9","2"
"","Ryan Metzler","S.C. Aiken","Jr.","INF","28","9","4"
"","Adam Moore","Young Harris","Sr.","P","31","9","0"
"","Connor Obrochta","Tampa","Sr.","OF","27","9","1"
"","Kevin Price","Pfeiffer","Sr.","OF","30","9","4"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","9","2"
"","Jonathan Richey","Paine","Sr.","OF","23","9","4"
"","Cody Slader","Cal St. Chico","Jr.","SS","24","9","1"
"","Sammy Song","Coker","Sr.","OF","28","9","6"
"","Cameron Stallings","Stillman","Sr.","OF","27","9","1"
"","Mccarthur Thompson","Benedict","So.","P","24","9","3"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","9","3"
"","Lorenzo Wright","Belmont Abbey","Fr.","C","26","9","0"
"164","Brandon Arnold","St. Cloud St.","So.","INF","17","8","1"
"","Brandon Baird","Morehouse","Sr.","OF","17","8","2"
"","Mike Barajas","Lewis","Jr.","INF","19","8","0"
"","Bret Blevins","Concord","Sr.","OF","19","8","1"
"","Matt Burns","Southern Conn. St.","So.","OF","15","8","1"
"","Jacob Carney","Shepherd","Fr.","INF","18","8","2"
"","Jordan Chovanec","Delta St.","Sr.","OF","22","8","2"
"","Nick Espino","East Stroudsburg","Jr.","OF","14","8","2"
"","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","8","0"
"","Brett Flutie","Rollins","Jr.","INF","23","8","1"
"","Mike Forgione","Merrimack","So.","INF","15","8","0"
"","Byron Freitas","Hawaii Hilo","Fr.","INF","22","8","3"
"","Zach Gawrych","Tampa","Sr.","OF","25","8","1"
"","Keegan Ghidotti","Ouachita Baptist","Sr.","P","27","8","2"
"","David Goggin","Angelo St.","So.","C","29","8","2"
"","Jack Goihl","Augustana (SD)","Jr.","C","18","8","0"
"","Patrick Grady","Lander","Sr.","OF","30","8","0"
"","AJ Hermanson","St. Edward's","Jr.","OF","24","8","1"
"","Blake Houston","Catawba","Jr.","OF","29","8","2"
"","Trumon Jefferson","West Florida","Jr.","OF","23","8","1"
"","Brett Kauten","Lubbock Christian","Fr.","LF","27","8","3"
"","Kenny Kirshner","St. Thomas Aquinas","Sr.","INF","15","8","1"
"","Ray Maggi","Florida Tech","Sr.","OF","21","8","1"
"","Nate Mastervick","Salem Int'l","---","CF","18","8","2"
"","Carlos Matamoros","Barry","Jr.","OF","24","8","0"
"","Grant McKown","Florida Tech","Fr.","INF","28","8","4"
"","Michael McLaughlin","Chestnut Hill","Jr.","OF","11","8","1"
"","Luke Ortel","Hillsdale","So.","OF","18","8","2"
"","Jermale Paige","Newberry","Sr.","OF","31","8","1"
"","Riley Palmer","Southern N.H.","Sr.","1B","19","8","1"
"","David Pine","Millersville","Jr.","C","18","8","1"
"","Nathan Prindle","Lindenwood (MO)","So.","INF","25","8","3"
"","Tyler Richburg","West Ala.","Sr.","OF","25","8","3"
"","Orlando Rivera","Tampa","Jr.","3B","26","8","1"
"","Jean Rodriguez","Lincoln Memorial","So.","INF","26","8","2"
"","Travis Sais","California Baptist","Jr.","INF","20","8","0"
"","E. Schanzenb","Mansfield","---","3B","15","8","1"
"","Jacob Soisson","Southeastern Okla.","---","SS","28","8","3"
"","Derek Somerville","Mary","Sr.","3B","16","8","2"
"","David Steininger","Cal St. Dom. Hills","Sr.","OF","22","8","3"
"","Conor Szczerba","Fla. Southern","Sr.","2B","29","8","1"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","8","3"
"","Spencer Thomas","Young Harris","Jr.","C","30","8","2"
"","Bobby Twitty","Saint Leo","Jr.","OF","26","8","1"
"","Tom Valichka","Young Harris","Sr.","INF","30","8","1"
"","Marshall Vallandingham","Lindenwood (MO)","Sr.","OF","23","8","2"
"","Zack Willoughby","Montevallo","Jr.","OF","30","8","0"
"","Phillip Wilson","Central Okla.","Sr.","P","24","8","4"
"","Josh Wine","Fairmont St.","So.","OF","17","8","0"
"","Mark Woltemate","Chestnut Hill","Sr.","2B","10","8","1"
"","Trent Woodridge","Harding","Sr.","OF","28","8","3"
"","Daniel Young","Benedict","So.","3B","26","8","3"
"","Derrik Zeroski","California (PA)","Sr.","INF","17","8","0"
