"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"35","Max Casper","North Dakota St.","Jr.","INF","35","114","7","16.3"
"36","Jeff Schaus","Clemson","Sr.","OF","44","161","10","16.1"
"37","Eric Phillips","Ga. Southern","Jr.","INF","44","176","11","16.0"
"38","Jordan Keur","Michigan St.","So.","OF","39","138","9","15.3"
"39","Giovanni Angel","Prairie View","Sr.","INF","41","151","10","15.1"
"40","Mike Mercurio","High Point","So.","INF","35","134","9","14.9"
"41","Tyler Patzalek","Maine","So.","C","40","148","10","14.8"
"42","Ben Thomas","Xavier","Sr.","1B","40","161","11","14.6"
"43","Brandon Eckerle","Michigan St.","Sr.","OF","40","175","12","14.6"
"44","Matthew Kriss","Iona","So.","INF","37","131","9","14.6"
"45","James Foster","Wofford","Jr.","OF","44","174","12","14.5"
"46","Ellis Lowe","Campbell","Sr.","INF","43","186","13","14.3"
"47","Carlos Lopez","Cal St. Fullerton","Jr.","INF","33","113","8","14.1"
"48","Eric Lane","Gonzaga","Jr.","INF","39","154","11","14.0"
"","Jarid Scarafiotti","Stephen F. Austin","Jr.","C","35","140","10","14.0"
"","Jesse Tierney","Southeast Mo. St.","Jr.","C","34","112","8","14.0"
"51","John Hicks","Virginia","Jr.","C","47","194","14","13.9"
"52","Luke Tendler","N.C. A&T","Fr.","INF","44","166","12","13.8"
"53","Kevan Smith","Pittsburgh","Sr.","C","39","151","11","13.7"
"54","Matt Ramsey","Tennessee","Jr.","P","34","96","7","13.7"
"55","T.C. Knipp","Indiana","Sr.","OF","43","123","9","13.7"
"56","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","12","13.6"
"","Dan Gulbransen","Jacksonville","So.","OF","42","163","12","13.6"
"58","Matt Gedman","Massachusetts","Sr.","SS","35","148","11","13.5"
"59","Jett Bandy","Arizona","Jr.","C","43","161","12","13.4"
"60","Joel Blake","South Dakota St.","Sr.","1B","37","147","11","13.4"
"","Matt Miller","Northeastern","Jr.","INF","40","147","11","13.4"
"62","Adam Barry","Cal St. Northridge","Jr.","INF","37","120","9","13.3"
"63","Dave Ciocchi","Binghamton","Jr.","1B","37","133","10","13.3"
"64","Braeden Riley","Sam Houston St.","Sr.","INF","46","186","14","13.3"
"65","Frank DeSico","Notre Dame","So.","INF","38","145","11","13.2"
"66","Ali Rodriguez","NYIT","So.","INF","30","105","8","13.1"
"67","Bret Atwood","Texas St.","Sr.","OF","43","157","12","13.1"
"68","Chris O'Brien","Wichita St.","Jr.","C","47","183","14","13.1"
"69","Ryan Lindemuth","William & Mary","Fr.","INF","46","169","13","13.0"
"","Tom Conley","Massachusetts","Jr.","C","35","117","9","13.0"
"","Spencer Kieboom","Clemson","So.","C","36","117","9","13.0"
"72","Tyler Hanover","LSU","Jr.","INF","45","154","12","12.8"
"","Joe Torres","Iona","Fr.","OF","41","154","12","12.8"
"74","Frankie Rivera","Texas Southern","Jr.","OF","38","141","11","12.8"
"75","Curt Casali","Vanderbilt","Sr.","C","41","153","12","12.8"
"","Chris Taladay","UCF","So.","C","39","153","12","12.8"
"77","Matt Zink","Richmond","So.","OF","38","140","11","12.7"
"78","Jerrud Sabourin","Indiana","Sr.","INF","44","178","14","12.7"
"79","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","165","13","12.7"
"80","Mark Micowski","Georgia St.","Sr.","OF","46","190","15","12.7"
"81","Billy Moon","Gonzaga","So.","OF","38","139","11","12.6"
"82","Jimmy Waters","Kansas","Sr.","C","44","164","13","12.6"
"83","Ryan Bellamy","Xavier","Sr.","C","42","151","12","12.6"
"84","Ray Hernandez","Texas Southern","Jr.","INF","39","150","12","12.5"
"85","Kevin Medrano","Missouri St.","Jr.","INF","35","148","12","12.3"
"","Ryan Brenner","Yale","Jr.","C","36","111","9","12.3"
"87","Chad Wright","Kentucky","Jr.","OF","45","172","14","12.3"
"","Cody Galbraith","IPFW","Sr.","1B","31","86","7","12.3"
"89","Shawn Ferguson","Eastern Ill.","Sr.","OF","35","110","9","12.2"
"90","Kenny Socorro","Marshall","Sr.","INF","41","146","12","12.2"
"91","Scott Davis","Delaware St.","Jr.","INF","43","158","13","12.2"
"92","Tyler Sibley","Texas St.","Jr.","INF","41","169","14","12.1"
"93","Andy Mee","Fla. Atlantic","Sr.","OF","43","180","15","12.0"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","13","12.0"
"","Nick Rountree","UALR","Jr.","C","38","144","12","12.0"
"","Iradier Hernandez","Tex.-Pan American","Jr.","INF","28","96","8","12.0"
"97","Jeff Holm","Michigan St.","Sr.","1B","40","155","13","11.9"
"","Devin Rodriguez","California","So.","1B","40","155","13","11.9"
"99","Mike Levine","Saint Louis","So.","SS","43","143","12","11.9"
"100","Aaron Munoz","Northwestern St.","Sr.","C","35","95","8","11.9"
"101","Reed Gragnani","Virginia","So.","INF","40","118","10","11.8"
"102","Dan Williams","Penn","Sr.","SS","40","153","13","11.8"
"103","Jared Hammer","Hofstra","So.","1B","32","94","8","11.8"
"104","Ben Carhart","Stetson","Jr.","INF","44","176","15","11.7"
"105","Doug Bream","Liberty","Sr.","OF","40","164","14","11.7"
"","Jj Edwards","Sacred Heart","Sr.","INF","43","164","14","11.7"
"107","C.J. Gillman","Dayton","Jr.","INF","44","175","15","11.7"
"","Mike Nemeth","Connecticut","Sr.","INF","45","175","15","11.7"
"","Kai Hatch","Utah Valley","So.","INF","35","140","12","11.7"
"110","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","14","11.6"
"111","Jamal Austin","UAB","Jr.","OF","43","174","15","11.6"
"112","Chase Okey","UT Martin","Jr.","C","41","139","12","11.6"
"113","Jack Myers","Appalachian St.","Sr.","OF","41","162","14","11.6"
"114","Brian Nephew","Texas-Arlington","Sr.","INF","45","185","16","11.6"
"115","Zack Osborne","Tennessee","Jr.","INF","42","150","13","11.5"
"116","Nick Becker","Saint Louis","Fr.","-","42","173","15","11.5"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","15","11.5"
"118","A.J. Pettersen","Minnesota","Jr.","2B","33","138","12","11.5"
"119","Ross Heffley","Western Caro.","Jr.","OF","40","171","15","11.4"
"120","Kevin Roundtree","Southern California","Jr.","C","42","148","13","11.4"
"121","L.J. Mazzilli","Connecticut","So.","INF","44","182","16","11.4"
"122","Tyler Cook","Winthrop","Sr.","2B","43","159","14","11.4"
"","Jason King","Kansas St.","Jr.","INF","43","159","14","11.4"
"124","Cole Kraft","Milwaukee","Sr.","INF","40","170","15","11.3"
"125","Tommy Coyle","North Carolina","So.","2B","43","181","16","11.3"
"126","Eddie Brown","Wagner","Jr.","INF","39","113","10","11.3"
"127","Jon Berti","Bowling Green","Jr.","INF","35","135","12","11.3"
"","Terrell Jones","Texas Southern","Sr.","INF","42","135","12","11.3"
"129","Nick Judkins","Creighton","Jr.","INF","41","146","13","11.2"
"130","Brig Tison","George Mason","Jr.","INF","47","213","19","11.2"
"131","Ryan Campbell","NYIT","Jr.","INF","32","112","10","11.2"
"","Blake Leyva","Santa Clara","So.","2B","35","112","10","11.2"
"133","Chris Murphy","Southern Ill.","Sr.","OF","42","179","16","11.2"
"134","Jeremy Banks","Youngstown St.","Jr.","INF","41","156","14","11.1"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","156","14","11.1"
"136","Ricky Pacione","Marist","Sr.","OF","42","167","15","11.1"
"137","Mike Garza","Georgetown","So.","INF","44","178","16","11.1"
"138","James Taylor","Norfolk St.","So.","OF","39","122","11","11.1"
"139","Mike Albaladejo","Fla. Atlantic","Jr.","C","41","133","12","11.1"
"","Daniel Nottebart","Sam Houston St.","Sr.","INF","42","133","12","11.1"
"141","Zack MacPhee","Arizona St.","Jr.","INF","41","155","14","11.1"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","155","14","11.1"
"","Zach Shank","Marist","So.","SS","40","155","14","11.1"
"144","Taylor Dugas","Alabama","Jr.","OF","47","177","16","11.1"
"145","Bobby Glover","Dayton","Jr.","OF","43","154","14","11.0"
"","Chris Gosik","East Carolina","So.","OF","35","88","8","11.0"
"147","Joe Corfman","Toledo","Jr.","INF","43","164","15","10.9"
"148","Ts Reed","Cal St. Northridge","Sr.","INF","43","131","12","10.9"
"149","Garrett Buechele","Oklahoma","Jr.","INF","44","185","17","10.9"
"150","Corey Shaylor","Charlotte","Sr.","INF","43","152","14","10.9"
"151","Zach Helman","Mt. St. Mary's","Sr.","INF","41","130","12","10.8"
"152","Eric Oxford","Holy Cross","Sr.","1B","48","184","17","10.8"
"153","Zach Stewart","Dayton","Jr.","OF","44","173","16","10.8"
"154","Jordan Hammerman","Saint Louis","Fr.","-","42","162","15","10.8"
"155","Renny Weber","McNeese St.","Jr.","INF","41","140","13","10.8"
"156","Ryan Mooney","Sam Houston St.","Sr.","INF","46","193","18","10.7"
"157","Chris Giglio","Western Ill.","Sr.","INF","34","107","10","10.7"
"","Brad Hallberg","Ohio St.","Jr.","1B","33","107","10","10.7"
"159","Raph Rhymes","LSU","So.","INF","45","171","16","10.7"
"160","Brock Harding","Southern Ill.","So.","INF","41","160","15","10.7"
"161","Nick Ahmed","Connecticut","Jr.","INF","40","149","14","10.6"
"162","Dane Nielsen","BYU","Sr.","OF","39","117","11","10.6"
"163","Chris Walker","Fordham","Sr.","C","43","170","16","10.6"
"164","Cody Fick","Evansville","Sr.","INF","39","159","15","10.6"
"","Travis Isaak","Murray St.","Jr.","INF","40","159","15","10.6"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","159","15","10.6"
"","Danny Welch","Dayton","Sr.","C","39","159","15","10.6"
"","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","15","10.6"
"169","Vince Bruno","California","So.","OF","33","127","12","10.6"
"170","Preston Beck","Texas-Arlington","So.","INF","44","169","16","10.6"
"","Alex Dickerson","Indiana","Jr.","OF","43","169","16","10.6"
"","Derrick Osteen","William & Mary","Sr.","INF","46","169","16","10.6"
"173","Tyler Forney","New Mexico St.","Jr.","INF","38","95","9","10.6"
"174","Brandon Cotten","Rider","Jr.","OF","36","137","13","10.5"
"","Dustin Torchio","Pacific","So.","INF","38","137","13","10.5"
"176","Nick Baligod","Oral Roberts","Sr.","OF","39","157","15","10.5"
"","Reed Harper","Austin Peay","So.","INF","41","157","15","10.5"
"178","Tim Carver","Arkansas","Jr.","INF","38","115","11","10.5"
"179","Eric Williams","Columbia","So.","3B","34","94","9","10.4"
"180","Matt Simonelli","Citadel","Sr.","OF","42","167","16","10.4"
"181","Marlon Calbi","Villanova","Jr.","SS","42","156","15","10.4"
"","Chuck Howard","New Mexico St.","Sr.","C","35","104","10","10.4"
"183","Dan Klem","La Salle","So.","INF","41","166","16","10.4"
"184","David Koczirka","Villanova","Sr.","3B","42","165","16","10.3"
"185","Billy Goldman","Lehigh","Sr.","OF","36","134","13","10.3"
"186","Jonathan Johnson","Loyola Marymount","Sr.","INF","40","144","14","10.3"
"187","Isaac Rodriguez","Southern Miss.","So.","INF","40","154","15","10.3"
"188","Aaron Miller","Gardner-Webb","Sr.","SS","42","164","16","10.3"
"189","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","14","10.2"
"190","Jonathan Houston","Central Ark.","Sr.","1B","41","153","15","10.2"
"","Matt Streng","Ohio St.","Sr.","INF","37","153","15","10.2"
"192","Nolan Earley","South Ala.","So.","OF","42","163","16","10.2"
"193","Caleb Clowers","La.-Monroe","Jr.","INF","43","173","17","10.2"
"194","Zac Mitchell","Belmont","Jr.","INF","45","172","17","10.1"
"195","Scott Lyman","UC Davis","Jr.","INF","33","111","11","10.1"
"196","D.J. Jarrad","Oakland","Sr.","INF","35","131","13","10.1"
"197","Jeremy Maas","Penn","Sr.","P","36","141","14","10.1"
"198","Joe Panik","St. John's (NY)","Jr.","INF","39","151","15","10.1"
"","Kolten Wong","Hawaii","Jr.","INF","40","151","15","10.1"
"200","Mitchell Garver","New Mexico","So.","C","45","171","17","10.1"
"","Jeremy Patton","FIU","Jr.","INF","43","171","17","10.1"
"202","Kyle Wren","Georgia Tech","Fr.","OF","45","191","19","10.1"
"203","Brendan Mcgaheran","Lehigh","Sr.","SS","45","180","18","10.0"
"","D.J. Crumlich","UC Irvine","Jr.","INF","40","160","16","10.0"
"","Oscar Sanay","CSU Bakersfield","Fr.","INF","40","160","16","10.0"
"","Derek Trent","East Tenn. St.","Sr.","C","42","160","16","10.0"
"","Tommy Higgins","Wagner","Jr.","INF","41","140","14","10.0"
"","null Sorbara","Hartford","Fr.","-","28","80","8","10.0"
"209","Jordan Lurie","UNC Asheville","Jr.","INF","40","169","17","9.9"
"210","Joey Cujas","VCU","Fr.","INF","40","159","16","9.9"
"211","Desmond Russell","Jackson St.","Fr.","INF","39","149","15","9.9"
"212","Jake Overstreet","South Ala.","Sr.","3B","36","139","14","9.9"
"","Adam Wayman","Rider","So.","3B","40","139","14","9.9"
"214","Clint Ewing","Louisiana Tech","Sr.","C","42","129","13","9.9"
"215","Brandon Loy","Texas","Jr.","SS","44","178","18","9.9"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","178","18","9.9"
"217","C.T. Bradford","Mississippi St.","Fr.","OF","43","168","17","9.9"
"218","Stephen Marino","Stony Brook","Sr.","INF","40","158","16","9.9"
"","Bryce Nugent","Marist","Sr.","C","42","158","16","9.9"
"220","Dylan Nasiatka","Hofstra","Jr.","C","36","138","14","9.9"
"221","Tim Smalling","Virginia Tech","Sr.","INF","45","187","19","9.8"
"222","Cass Hargis","Southeastern La.","Sr.","OF","46","177","18","9.8"
"223","Brett Mollenhauer","Radford","Jr.","INF","43","167","17","9.8"
"224","Justin Hess","VMI","Sr.","OF","44","147","15","9.8"
"225","Jimmy Rider","Kent St.","Jr.","INF","42","186","19","9.8"
"226","Joe Koch","Kent St.","Sr.","OF","40","137","14","9.8"
"227","Jaren Sustar","Charleston So.","So.","INF","43","166","17","9.8"
"228","Joe Weik","TCU","Sr.","INF","40","117","12","9.8"
"229","Bryan Barnes","Ohio","Sr.","INF","40","146","15","9.7"
"","Junior Carlin","South Fla.","Sr.","OF","40","146","15","9.7"
"231","Sanchez Tucker","Alabama A&M","So.","P","36","107","11","9.7"
"232","Drew Walsh","LIU Brooklyn","Jr.","INF","41","165","17","9.7"
"233","Rick Devereaux","Pittsburgh","Jr.","C","34","97","10","9.7"
"234","Garrett Wittels","FIU","Jr.","INF","44","184","19","9.7"
"235","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","18","9.7"
"","Eric Charles","Purdue","Jr.","INF","43","174","18","9.7"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","18","9.7"
"","Matt Williams","Liberty","Jr.","INF","44","174","18","9.7"
"","Ethan Harris","Central Ark.","So.","OF","41","145","15","9.7"
"240","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","18","9.6"
"241","Brad Fieger","Miami (FL)","Fr.","1B","44","163","17","9.6"
"242","Andrew Eckhardt","Butler","So.","OF","35","115","12","9.6"
"243","Mike Genovese","Seton Hall","So.","INF","37","124","13","9.5"
"","Vincent Redmond","Le Moyne","So.","INF","34","124","13","9.5"
"245","Steven Keller","Cal St. Northridge","Jr.","C","41","143","15","9.5"
"246","Chris Peters","Cincinnati","Sr.","SS","41","162","17","9.5"
"247","Steve Ulaky","Delaware","Sr.","1B","44","190","20","9.5"
"","Tony Renda","California","So.","INF","40","171","18","9.5"
"","Wes White","Toledo","So.","INF","39","114","12","9.5"
"250","Brandon Elliott","Murray St.","So.","INF","34","123","13","9.5"
"251","Ben Bunting","North Carolina","Sr.","OF","43","189","20","9.5"
"252","Sam Eberle","Jacksonville St.","Jr.","INF","42","179","19","9.4"
"253","Phillip Chapman","Memphis","Sr.","C","43","160","17","9.4"
"254","Ryan Cypret","Ohio St.","So.","INF","36","141","15","9.4"
"255","Brandon Boudreaux","Tulane","So.","OF","36","103","11","9.4"
"256","Matthew Colantonio","Brown","Sr.","C","40","131","14","9.4"
"257","Tyler Zupcic","Appalachian St.","So.","OF","41","159","17","9.4"
"258","Craig Hertler","San Jose St.","Sr.","INF","43","140","15","9.3"
"259","Ethan Newton","Ohio","Fr.","-","43","177","19","9.3"
"260","Steve Tedesco","Sacred Heart","Sr.","OF","39","149","16","9.3"
"261","Pat Cantwell","Stony Brook","Jr.","C","40","158","17","9.3"
"","Adrian Turner","Grambling","Sr.","INF","40","158","17","9.3"
"263","Gabe Guerino","Quinnipiac","Jr.","INF","41","130","14","9.3"
"","Justin Parr","Illinois","So.","INF","36","130","14","9.3"
"","Ryan Schlater","Bowling Green","Sr.","C","39","130","14","9.3"
"266","Casey Dykes","Western Ky.","Jr.","INF","44","167","18","9.3"
"267","Tommy Jablonski","Oakland","Sr.","INF","29","102","11","9.3"
"268","Jonathon Carpen","Chicago St.","Jr.","OF","37","139","15","9.3"
"269","Taylor Black","Kentucky","Sr.","INF","45","185","20","9.3"
"270","David Coleman","Virginia","Sr.","OF","42","120","13","9.2"
"271","John Puttress","Northeastern","So.","C","36","129","14","9.2"
"272","Adam Bryant","Troy","Sr.","INF","44","193","21","9.2"
"273","Zack Kometani","San Diego","Jr.","C","41","165","18","9.2"
"274","Steve Antolik","High Point","Sr.","OF","44","174","19","9.2"
"275","Austin Wulf","Tennessee Tech","So.","OF","41","155","17","9.1"
"276","Chris Benson","Utah Valley","Sr.","OF","38","173","19","9.1"
"","Johnny Thomas","Middle Tenn.","So.","INF","44","173","19","9.1"
"278","Pete Lavin","San Francisco","Sr.","OF","44","182","20","9.1"
"279","Justin Guidry","Middle Tenn.","Jr.","OF","44","191","21","9.1"
"280","Steve Rodriguez","UCLA","Jr.","C","32","100","11","9.1"
"281","Alex Godshall","Columbia","Sr.","INF","37","109","12","9.1"
"282","Jose Cruz","Jackson St.","Fr.","C","37","118","13","9.1"
"283","David Nolting","Southern U.","Sr.","C","32","127","14","9.1"
"284","Robbie Robinson","Valparaiso","Sr.","C","35","136","15","9.1"
"285","John Hogan","Austin Peay","So.","1B","41","163","18","9.1"
"","Alex Mejia","Arizona","So.","INF","43","163","18","9.1"
"287","Mark Ginther","Oklahoma St.","Jr.","INF","43","171","19","9.0"
"","Austin Maddox","Florida","So.","INF","44","171","19","9.0"
"","Cody Cotter","Saint Louis","Sr.","OF","43","162","18","9.0"
"","Josh Adams","Florida","Sr.","INF","43","153","17","9.0"
"","Frazier Hall","Southern U.","Sr.","INF","41","153","17","9.0"
"","Justin Scanlon","Michigan St.","Jr.","SS","40","153","17","9.0"
"","Cam Walters","Winthrop","Jr.","OF","42","153","17","9.0"
"","Tim Wetzel","Ohio St.","Fr.","OF","31","117","13","9.0"
"","Nick O'Shea","Minnesota","Jr.","-","29","108","12","9.0"
"296","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","170","19","8.9"
"297","Davis Duren","Oklahoma St.","Sr.","INF","41","161","18","8.9"
"298","Patrick Duncan","Western Mich.","So.","P","41","152","17","8.9"
"","Ed Martin","Monmouth","Jr.","OF","43","152","17","8.9"
"300","Frank Solis","Jackson St.","Jr.","3B","39","143","16","8.9"
"301","Steven Laforge","Fairleigh Dickinson","Sr.","INF","34","134","15","8.9"
"302","Gant Elmore","Yale","Sr.","INF","39","125","14","8.9"
"","Brad Moss","Samford","Jr.","C","41","125","14","8.9"
"304","Cal Costanzo","Monmouth","Sr.","C","36","116","13","8.9"
"","Harrison Kain","Pepperdine","Sr.","OF","35","116","13","8.9"
"306","Lloyd Burchett","Ark.-Pine Bluff","Jr.","2B","33","107","12","8.9"
"307","Jacob Esch","Georgia Tech","Jr.","P","45","187","21","8.9"
"308","Andrew Ciencin","North Carolina St.","Jr.","INF","44","178","20","8.9"
"","Preston Tucker","Florida","Jr.","INF","44","178","20","8.9"
"310","Tyler Naquin","Texas A&M","So.","OF","43","169","19","8.9"
"311","Aj Albee","Rider","Sr.","2B","40","151","17","8.9"
"","Goose Kallunki","Utah Valley","Jr.","1B","38","151","17","8.9"
"313","Logan Pierce","Troy","So.","INF","44","142","16","8.9"
"314","Andrew Caron","Mt. St. Mary's","Sr.","C","41","133","15","8.9"
"315","Riley Good","UTSA","Fr.","OF","45","195","22","8.9"
"316","Trent Cook","UNLV","Jr.","1B","46","186","21","8.9"
"317","Emory Barkley","Savannah St.","Sr.","C","41","115","13","8.8"
"318","Brady Wilson","West Virginia","So.","OF","43","168","19","8.8"
"319","Nick Crawford","UAB","Sr.","INF","44","159","18","8.8"
"","Bo Altobelli","Texas Tech","So.","C","38","106","12","8.8"
"","Jon Clinard","Austin Peay","Jr.","INF","32","106","12","8.8"
"322","Ennis Coble","Dartmouth","So.","INF","36","132","15","8.8"
"323","Koby Kraemer","Indiana St.","So.","INF","42","167","19","8.8"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","19","8.8"
"325","Jordan Mims","Alabama St.","Jr.","OF","35","123","14","8.8"
"326","Judd Edwards","La.-Monroe","So.","INF","40","149","17","8.8"
"327","Hunter Ridge","UNC Wilmington","So.","INF","44","175","20","8.8"
"","Anthony Flenoy","Texas Southern","Jr.","OF","40","140","16","8.8"
"","Ryan Still","Houston","Sr.","2B","45","140","16","8.8"
"","Brenton Peters","Cornell","So.","INF","34","105","12","8.8"
"331","Matt Bowman","Princeton","So.","SS","41","166","19","8.7"
"","Doug Elliot","Connecticut","Sr.","C","44","166","19","8.7"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","166","19","8.7"
"334","Billy Urban","St. Bonaventure","So.","3B","36","131","15","8.7"
"335","Cam Squires","Yale","So.","OF","33","96","11","8.7"
"336","Will Watson","Northwestern St.","So.","1B","45","157","18","8.7"
"337","Trey Rallis","Yale","Sr.","INF","41","148","17","8.7"
"338","Matt Ryan","Tulane","Jr.","INF","43","139","16","8.7"
"339","Nick Martini","Kansas St.","Jr.","OF","43","156","18","8.7"
"","Dario Pizzano","Columbia","So.","OF","43","156","18","8.7"
"341","Konstantine Diamaduros","Wofford","Jr.","INF","44","173","20","8.7"
"342","Paul Hoenecke","Milwaukee","Jr.","INF","40","147","17","8.6"
"","Kale Kiser","Nebraska","Jr.","OF","41","147","17","8.6"
"344","Aaron Buchanan","Lamar","Sr.","INF","45","164","19","8.6"
"","Jeremy Schaffer","Tulane","Jr.","C","44","164","19","8.6"
"346","Vincent Citro","Siena","Fr.","INF","40","138","16","8.6"
"347","Mike Martinez","FIU","Jr.","1B","43","181","21","8.6"
"","Cameron Perkins","Purdue","So.","INF","42","181","21","8.6"
"349","Brian Martin","Pacific","Sr.","1B","39","155","18","8.6"
"350","Jake Watts","Gardner-Webb","Jr.","P","41","172","20","8.6"
"","Nathan Melendres","Miami (FL)","Jr.","OF","39","129","15","8.6"
"","Kevin Wager","Villanova","Jr.","1B","40","129","15","8.6"
"353","Paul Nice","VCU","Jr.","INF","41","163","19","8.6"
"354","Travis Jankowski","Stony Brook","So.","OF","40","137","16","8.6"
"355","Tyler Acker","Middle Tenn.","Sr.","C","42","154","18","8.6"
"","C.J. Cron","Utah","Jr.","C","37","154","18","8.6"
"","Ryan Goetz","UC Riverside","Sr.","INF","37","154","18","8.6"
"358","Christian Ramirez","UC Irvine","Jr.","OF","33","94","11","8.5"
"359","Jeremy Dowdy","Appalachian St.","Jr.","C","42","145","17","8.5"
"","Erick Fernandez","Georgetown","Sr.","-","41","145","17","8.5"
"","Stephen Piscotty","Stanford","So.","INF","37","145","17","8.5"
"","Erik Underwood","Jacksonville St.","Jr.","INF","42","145","17","8.5"
"363","Mark Quaranta","Mt. St. Mary's","So.","C","38","136","16","8.5"
"","Evan Mistich","Oklahoma","Jr.","INF","37","119","14","8.5"
"","Andrew Aplin","Arizona St.","So.","OF","36","102","12","8.5"
"","Luis Llerena","South Fla.","Jr.","INF","35","102","12","8.5"
"367","Nick Orvin","Citadel","Jr.","OF","42","178","21","8.5"
"368","Spiker Helms","Missouri St.","Jr.","INF","41","161","19","8.5"
"369","Matt Delewski","Toledo","Jr.","INF","42","144","17","8.5"
"370","Parker Hipp","New Mexico St.","So.","C","38","127","15","8.5"
"371","Logan Davis","Hofstra","Fr.","INF","34","110","13","8.5"
"","Brian Fratalli","Portland","So.","INF","33","110","13","8.5"
"","Matthew Roberts","Air Force","So.","INF","35","110","13","8.5"
"374","Ben Morgan","Ga. Southern","Fr.","INF","41","152","18","8.4"
"","John Schultz","Pittsburgh","Sr.","OF","41","152","18","8.4"
"376","Travis McComack","Missouri St.","Jr.","INF","41","135","16","8.4"
"","Chris Vergne","A&M-Corpus Christi","Sr.","OF","46","135","16","8.4"
"378","John McCambridge","Xavier","Sr.","INF","43","177","21","8.4"
"379","Matt Duffy","Long Beach St.","So.","INF","41","160","19","8.4"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","19","8.4"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","160","19","8.4"
"","George Piccirilli","VMI","Jr.","INF","44","160","19","8.4"
"383","Matt Dickason","Longwood","Fr.","SS","40","143","17","8.4"
"","Keith Werman","Virginia","Jr.","INF","47","143","17","8.4"
"385","Marty Bowen","Cal St. Northridge","So.","C","39","126","15","8.4"
"386","DeMario Ellis","Southern U.","Sr.","INF","41","151","18","8.4"
"","Ben Koenigsfeld","Army","Sr.","OF","40","151","18","8.4"
