"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"95","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","85","9.30"
"96","Darrin Tew","Lander","Sr.","P","16","40.7","42","9.29"
"97","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","79","9.27"
"98","Cole Stephens","Colorado St.-Pueblo","Sr.","P","10","60.3","62","9.25"
"99","J Graham","West Liberty","Fr.","-","10","47.7","49","9.25"
"100","Shawn Riesgraf","St. Cloud St.","So.","P","10","40.0","41","9.23"
"101","Josh Barmoy","Chowan","Fr.","P","14","42.0","43","9.21"
"102","Anthony O'Brien","Chowan","Sr.","P","11","44.0","45","9.20"
"103","Dustin Ramey","Mass.-Lowell","Sr.","P","11","49.0","50","9.18"
"104","Jordan Stern","Central Okla.","Sr.","P","12","78.7","80","9.15"
"105","Michael White","Stonehill","Jr.","OF","7","43.3","44","9.15"
"106","Chris Pfau","Lincoln (MO)","Jr.","P","10","47.3","48","9.13"
"107","Eric Cordova","Benedict","Jr.","P","13","63.3","64","9.10"
"108","Kody Kennedy","Mont. St. Billings","Sr.","P","10","47.7","48","9.06"
"109","Jarrett Eiskina","Truman","So.","P","9","56.7","57","9.05"
"110","Bryan Galligan","Stonehill","Sr.","P","9","62.7","63","9.04"
"111","Mackenzie King","Pace","Sr.","P","13","65.7","66","9.04"
"112","Don Sandifer","Francis Marion","So.","P","12","91.7","92","9.03"
"113","Bo Budkevics","C.W. Post","So.","P","11","64.0","64","9.00"
"","Andy Heston","Northern Ky.","Sr.","P","16","44.0","44","9.00"
"","Bryant Rutledge","Angelo St.","Jr.","P","11","65.0","65","9.00"
"","Tom Sirois","Post","Sr.","P","8","46.0","46","9.00"
"117","Eric Shuford","Pfeiffer","Jr.","P","12","79.3","79","8.97"
"118","Austin Moyer","Catawba","Jr.","P","11","59.3","59","8.95"
"119","Stephen Groves","Valdosta St.","Jr.","P","24","43.3","43","8.94"
"120","Kekoa Lee","Hawaii Hilo","Sr.","P","7","42.3","42","8.94"
"121","Darryl Stringfield","Virginia St.","Sr.","P","12","66.7","66","8.91"
"122","Andrew Virgili","Lynn","Jr.","P","13","88.0","87","8.90"
"123","Kyle Schepel","Grand Valley St.","Jr.","P","10","52.7","52","8.88"
"124","Thomas Lee","Sonoma St.","Jr.","P","13","63.0","62","8.86"
"","Michael Sciarretta","Pace","Sr.","P","9","63.0","62","8.86"
"126","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","54","8.84"
"127","Justin Kuks","West Tex. A&M","Jr.","P","19","71.3","70","8.84"
"128","Johnny Hornbuckle","North Ala.","Jr.","P","13","68.3","67","8.83"
"129","Nicholas Albero","Dowling","So.","P","14","41.0","40","8.78"
"130","Phil Bray","Bemidji St.","So.","P","9","50.3","49","8.77"
"131","Scott Strickland","Armstrong","Jr.","P","14","102.7","100","8.76"
"132","Phil Trowbridge","St. Joseph's (IN)","Jr.","P","10","44.3","43","8.74"
"133","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","80","8.71"
"134","Tyler Vails","Stillman","Fr.","P","13","60.0","58","8.70"
"135","Doug Shields","Southern Ark.","Jr.","P","17","62.3","60","8.67"
"136","Tim Shibuya","UC San Diego","Sr.","P","12","87.3","84","8.66"
"137","Matt Treybig","Upper Iowa","Jr.","P","9","60.3","58","8.66"
"138","Matt Brown","Colorado Mines","Fr.","P","10","46.0","44","8.61"
"","Dylan Hochevar","Tusculum","Jr.","P","15","69.0","66","8.61"
"140","Greg Herbst","St. Mary's (TX)","Sr.","1B","13","81.7","78","8.59"
"141","Brandon Hardin","Delta St.","Jr.","P","12","63.0","60","8.57"
"","Josh Wedesky","Wayne St. (MI)","Jr.","P","9","48.3","46","8.57"
"143","Mike Scudero","Adelphi","Sr.","P","12","67.3","64","8.56"
"144","Aaron Rosborough","Central Okla.","Jr.","P","13","40.0","38","8.55"
"145","Kevin Holdsworth","West Va. Wesleyan","Sr.","P","9","54.0","51","8.50"
"146","Mitchell Fairley","Quincy","Sr.","P","10","53.3","50","8.44"
"147","Jorge Guarneros","Incarnate Word","Jr.","P","12","74.7","70","8.43"
"148","Mike Dedrick","Dixie St.","So.","P","12","73.7","69","8.43"
"149","Thomas Campbell","Columbus St.","Sr.","P","12","88.7","83","8.42"
"150","Ethan Lutz","Incarnate Word","Jr.","P","15","50.3","47","8.41"
"151","Clint Brown","Tex. A&M-Kingsville","Sr.","P","27","40.7","38","8.40"
"152","Cutler Ruby","Post","Jr.","P","9","55.7","52","8.40"
"153","Andrew Shoemaker","Bluefield St.","Sr.","P","13","56.0","52","8.36"
"154","Nick Lomascolo","Catawba","So.","P","15","93.7","87","8.36"
"155","Jordan Yohn","Lock Haven","Sr.","P","9","50.7","47","8.34"
"156","Robert Nixon","Adelphi","Sr.","P","11","81.0","75","8.33"
"","Matt White","Rollins","Sr.","P","19","54.0","50","8.33"
"158","Jay Flaa","Mary","Fr.","P","8","40.0","37","8.33"
"159","Brett Hauber","Felician","Jr.","P","15","55.3","51","8.30"
"160","Austen Wisroth","Wayne St. (NE)","Jr.","P","9","51.0","47","8.29"
"161","Peter Denyssenko","Concordia (NY)","Sr.","P","13","59.7","55","8.29"
"162","Blake Schwartz","Minn. St. Mankato","Jr.","P","10","67.3","62","8.29"
"163","Pete Levitt","Mount Olive","Jr.","P","14","79.3","73","8.28"
"164","Iain Sebastian","Columbus St.","Sr.","P","10","45.7","42","8.27"
"165","Richard Raraigh","Seton Hill","Sr.","P","8","44.7","41","8.26"
"","Ryan Rothenbuhler","Findlay","Sr.","P","9","44.7","41","8.26"
"167","Brad Schnelle","Seton Hill","Fr.","P","10","51.3","47","8.25"
"168","Adam Beach","Lake Erie","So.","P","10","43.7","40","8.24"
"169","Ryan Pierce","St. Andrews","So.","P","14","66.7","61","8.23"
"170","Joe Mantoni","Merrimack","So.","P","8","50.3","46","8.23"
"171","Trent Evins","N.M. Highlands","Sr.","P","11","69.0","63","8.22"
"","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","63","8.22"
"173","Wes Rehmert","Urbana","Sr.","P","10","63.7","58","8.19"
"174","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","78","8.19"
"175","Dustin Bryant","Ala.-Huntsville","Sr.","P","16","51.7","47","8.18"
"","Curtis Hudson","Mount Olive","Sr.","P","11","55.0","50","8.18"
"177","Luke Peyton","USciences","Jr.","P","11","66.3","60","8.14"
"178","Alex Britt","Carson-Newman","Jr.","P","13","63.0","57","8.14"
"","Edgar Vela","N.M. Highlands","Jr.","P","11","42.0","38","8.14"
"180","Brandon Stewart","St. Augustine's","Sr.","P","17","85.3","77","8.12"
"181","Dan Bartlett","Caldwell","Fr.","P","9","53.3","48","8.11"
"182","Thomas McLeod","S.C. Aiken","Jr.","C","15","80.0","72","8.10"
"183","Brett Shankin","Wayne St. (MI)","Sr.","P","11","55.7","50","8.08"
"184","null Mendez","Southern N.H.","Fr.","-","10","51.3","46","8.07"
"185","Cameron Culp","Limestone","So.","P","28","41.3","37","8.06"
"186","Tyler Dowse","Arkansas Tech","Jr.","P","13","44.7","40","8.05"
"187","Kyle Burkhardt","Newman","Jr.","P","13","76.0","68","8.05"
"188","Craig Goodman","Tusculum","Jr.","P","13","78.3","70","8.05"
"189","Joe Gunkel","West Chester","Fr.","P","10","49.3","44","8.03"
"190","William Krasne","Rollins","Sr.","P","18","57.3","51","8.01"
"191","Blake Dunham","Colorado Mines","So.","P","11","51.7","46","8.01"
"192","Kevin Rogers","Valdosta St.","Jr.","P","15","60.7","54","8.01"
"193","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","48","8.00"
"194","Nathan Lewis","Tarleton St.","Sr.","P","11","56.3","50","7.99"
"195","Glen Hudson","C.W. Post","Jr.","P","11","49.7","44","7.97"
"196","Carl O'Neal","St. Mary's (TX)","So.","C","13","75.7","67","7.97"
"197","Mark Heard","Northwood (MI)","Jr.","P","9","51.0","45","7.94"
"198","Jeremy Peed","Limestone","Jr.","P","13","42.0","37","7.93"
"199","Fabian Lopez","Upper Iowa","So.","P","7","47.7","42","7.92"
"200","Conner McMahon","Merrimack","Fr.","P","8","44.3","39","7.92"
"201","Ryan Trimble","Truman","Jr.","P","8","50.0","44","7.92"
"202","Chris Hallett","Paine","Fr.","SS","16","55.7","49","7.92"
"","Anthony Smith","Eastern N.M.","Sr.","P","15","55.7","49","7.92"
"204","Blake Hobby","North Ga.","Jr.","P","13","93.3","82","7.91"
"205","Kevin Bosson","Cal Poly Pomona","Jr.","P","12","68.3","60","7.91"
"206","Kevin Peters","West Fla.","Fr.","P","13","49.0","43","7.90"
"","Dj Turpin","St. Andrews","Sr.","P","16","49.0","43","7.90"
"208","Uriah Fisher","Central Okla.","Jr.","P","11","54.7","48","7.90"
"209","Craig Gourley","Caldwell","Jr.","P","8","40.0","35","7.88"
"210","Cory Rupert","Indianapolis","Sr.","P","11","58.3","51","7.87"
"211","Brandon Farquhar","Lander","Sr.","P","14","55.0","48","7.85"
"212","Mike Fuller","Colorado Mines","Jr.","P","10","57.3","50","7.85"
"213","Alex Smith","New Haven","Sr.","P","8","49.3","43","7.85"
"214","John Markley","Winston-Salem","So.","P","20","54.0","47","7.83"
"215","Aaron Newcomb","Delta St.","Jr.","P","13","79.3","69","7.83"
"216","Bentley Massey","Barton","Jr.","P","12","71.3","62","7.83"
"217","Bennett Johnson","Augustana (SD)","So.","P","9","40.3","35","7.82"
"218","T.J. Harbuck","Palm Beach Atl.","So.","P","11","53.0","46","7.81"
"219","Randall Thompson","Florida Tech","Sr.","P","13","85.3","74","7.81"
"220","Paul Hvozdovic","Shepherd","Fr.","P","15","45.0","39","7.80"
"221","Dan Bream","Southern Ark.","Sr.","P","14","87.7","76","7.80"
"222","Brett Garrett","Chowan","Jr.","P","17","83.3","72","7.78"
"223","Doug Dulin","Saint Rose","Sr.","P","8","46.3","40","7.78"
"224","Brett Kennedy","Valdosta St.","Sr.","P","17","75.3","65","7.77"
"225","Josh Thrailkill","Tampa","Sr.","P","13","58.0","50","7.76"
"226","Zach McElroy","Davis & Elkins","Jr.","P","13","74.3","64","7.75"
"227","Anthony Pisano","Concordia (NY)","So.","P","11","54.7","47","7.73"
"228","Kolby Moore","Ouachita Baptist","Sr.","P","15","78.0","67","7.73"
"229","Ste Hamilton","St. Augustine's","Fr.","-","10","44.3","38","7.72"
"","Aaron Hilt","Ashland","Jr.","P","8","44.3","38","7.72"
"231","Tim Jones","Tex. A&M-Kingsville","Sr.","P","13","71.3","61","7.70"
"232","Alex Sikes","Christian Bros.","So.","P","11","50.3","43","7.69"
"233","Tom Helwich","Lewis","Fr.","P","7","43.3","37","7.69"
"234","Jeremiah Cothiere","Palm Beach Atl.","Jr.","P","12","59.7","51","7.69"
"235","Jordan Wellander","Barry","Jr.","P","16","48.0","41","7.69"
"236","Cory Hopper","Lander","Jr.","P","14","84.3","72","7.69"
"237","Casey Lish","West Tex. A&M","Jr.","P","17","41.0","35","7.68"
"238","Jason Nicholas","Georgia College","Sr.","P","14","71.7","61","7.66"
"239","Toby Inouye","Hawaii Pacific","Sr.","P","11","62.3","53","7.66"
"240","Jared Slaven","West Ga.","Fr.","-","10","55.3","47","7.65"
"241","Jonathan Armold","Flagler","Jr.","P","14","87.3","74","7.63"
"242","Steven Brault","Regis (CO)","Fr.","P","10","59.0","50","7.63"
"243","Gage Daniels","Newman","Jr.","P","16","43.7","37","7.62"
"244","Brett Abell","Mo. Southern St.","Jr.","P","13","82.7","70","7.62"
"245","Don Mack","Miles","Jr.","P","8","49.7","42","7.61"
"246","Dan Steers","Post","Sr.","P","10","66.3","56","7.60"
"247","Stephen Bove","Adelphi","Fr.","P","8","40.3","34","7.59"
"248","Clay Stephens","Tex. A&M-Kingsville","So.","P","13","42.7","36","7.59"
"249","Trent Franzago","Ga. Southwestern","Jr.","P","10","70.0","59","7.59"
"250","Ryan Westover","Ouachita Baptist","Jr.","P","14","65.3","55","7.58"
"251","Jeremy Smith","S.C. Aiken","Sr.","P","22","51.3","43","7.54"
"252","Will Dismukes","Montevallo","So.","P","14","73.0","61","7.52"
"253","Nik Jurado","Mo. Western St.","Jr.","P","14","56.3","47","7.51"
"","Andy Noga","East Stroudsburg","So.","P","10","56.3","47","7.51"
"255","Dan McMahon","USciences","So.","P","11","79.3","66","7.49"
"256","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","51","7.49"
"257","Trent Landa","Armstrong","So.","P","14","71.0","59","7.48"
"258","Greg Johnson","Albany St. (GA)","So.","P","16","80.7","67","7.47"
"259","Frank DeJiulio","Tampa","Jr.","P","15","47.0","39","7.47"
"260","Brittain Diamond","Henderson St.","Jr.","3B","10","62.7","52","7.46"
"261","Darryl White","Claflin","So.","P","10","50.7","42","7.46"
"262","Mike McMonagle","Millersville","Jr.","P","9","44.7","37","7.45"
"263","John DesChamps","Chowan","Jr.","P","14","82.3","68","7.44"
"264","Sean Marsiglia","St. Thomas Aquinas","Sr.","P","10","49.7","41","7.42"
"265","Kyle Lozensky","Mary","Jr.","P","8","47.3","39","7.42"
"266","Gus Schlosser","Fla. Southern","Sr.","P","12","81.3","67","7.42"
"267","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","51","7.40"
"268","Carson Beauchaine","Saginaw Valley","So.","P","8","48.7","40","7.39"
"269","Brad Isom","UNC Pembroke","Sr.","P","13","79.3","65","7.38"
"270","Dylan Evans","Colorado Mesa","Jr.","P","12","64.7","53","7.37"
"271","Anthony Pagano","Charleston (WV)","Sr.","SS","11","51.3","42","7.37"
"272","Joel Sanchez","Felician","Sr.","P","12","74.7","61","7.35"
"273","Joe Ferrara","St. Thomas Aquinas","Jr.","P","8","41.7","34","7.34"
"274","Guido Knudson","UC San Diego","Sr.","P","12","82.3","67","7.33"
"275","Don Lisi","Central Mo.","Sr.","P","11","60.3","49","7.31"
"276","Dustin Javins","Dominican (NY)","Jr.","P","11","64.0","52","7.31"
"277","Scott Lieser","St. Cloud St.","So.","P","11","40.7","33","7.30"
"","Walker McKinven","Georgia College","Jr.","P","18","40.7","33","7.30"
"","Michael Patton","North Ga.","Sr.","P","14","40.7","33","7.30"
"","Dillon Thomas","Claflin","Jr.","INF","14","40.7","33","7.30"
"281","Stephen Johnson","St. Edward's","So.","P","13","66.7","54","7.29"
"282","Tim Mayza","Millersville","Fr.","P","9","47.0","38","7.28"
"283","Brodie Brumley","Harding","Sr.","P","11","57.0","46","7.26"
"284","Taylor Candage","New Haven","So.","P","9","44.7","36","7.25"
"285","Ricky Cramer","Cameron","Sr.","P","12","82.0","66","7.24"
"286","Dan Morgan","Chestnut Hill","Jr.","P","10","52.3","42","7.23"
"287","Daniel Vargas-Vila","West Fla.","Sr.","P","13","86.0","69","7.22"
"288","Tyler Carman","Florida Tech","Sr.","P","14","53.7","43","7.21"
"289","Sean Tracy","Coker","Jr.","P","15","61.3","49","7.19"
"290","Jeff Welsh","West Liberty","Sr.","P","11","62.7","50","7.18"
"291","Brandon Van Riper","Tarleton St.","Sr.","P","15","52.7","42","7.17"
"292","Steven Thiele","Belmont Abbey","Jr.","P","11","64.0","51","7.17"
"293","Nathan Eller","Henderson St.","So.","P","11","75.3","60","7.17"
"294","Taylor Bratton","West Ala.","Fr.","P","14","54.0","43","7.17"
"295","Marshall Stalvey","Saint Leo","Sr.","P","12","42.7","34","7.17"
"296","Trey Mitchell","North Ala.","Sr.","P","12","91.7","73","7.16"
"297","Ryan Wheat","Mo. Southern St.","Jr.","P","12","49.0","39","7.16"
"298","Greg Nealis","USciences","Jr.","P","11","40.3","32","7.15"
"299","Kenny Brengle","Northwest Mo. St.","Sr.","P","12","56.7","45","7.14"
"300","Andrew Buckham","Tex. Permian Basin","Sr.","P","15","53.0","42","7.13"
"301","Hunter Conkle","Ohio Valley","Fr.","P","13","46.7","37","7.13"
"302","Brandon Rohde","Central Wash.","Jr.","P","12","73.7","58","7.08"
"303","Drew Provence","North Greenville","Jr.","P","9","61.0","48","7.08"
"304","Brice Williams","Southeastern Okla.","Jr.","P","13","40.7","32","7.08"
"305","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","54","7.07"
"306","Kyle Thomas","California (PA)","So.","P","12","56.0","44","7.07"
"307","Ryan Bradshaw","Chowan","Jr.","P","14","43.3","34","7.07"
"","Tyler Loehr","Wayne St. (MI)","Sr.","P","9","43.3","34","7.07"
"","Alex Seier","Rockhurst","So.","P","16","43.3","34","7.07"
"310","Andrew Simonik","Lock Haven","Sr.","P","11","49.7","39","7.06"
"311","Daren Parker","Washburn","Sr.","P","10","47.3","37","7.04"
"312","Logan Thomas","Palm Beach Atl.","Jr.","P","13","79.3","62","7.04"
"313","Rick Reyna","Angelo St.","Jr.","P","14","64.0","50","7.03"
"","Jared Winder","Davis & Elkins","Sr.","P","12","64.0","50","7.03"
"315","Cory Keesee","Davis & Elkins","Jr.","P","11","41.0","32","7.02"
"316","Brandon Crumbley","West Ga.","Fr.","-","14","57.7","45","7.02"
"317","Tyler Kincaid","Fairmont St.","So.","P","12","51.3","40","7.02"
"318","Mark Sappington","Rockhurst","So.","P","11","66.7","52","7.02"
"319","Jake Gibson","Urbana","Fr.","P","11","43.7","34","7.00"
"320","Shaun Gough","Saint Leo","Jr.","P","12","61.7","48","7.00"
"321","Jeb Huber","West Ala.","Jr.","P","13","81.0","63","7.00"
"","Eric Meyerchick","St. Joseph's (IN)","Jr.","P","12","63.0","49","7.00"
"323","Eric Pettepher","Georgia College","Sr.","P","12","76.0","59","6.99"
"324","Josh Bagley","UNC Pembroke","Sr.","P","11","68.3","53","6.98"
"325","Austin Woodard","Southwestern Okla.","Sr.","P","14","58.0","45","6.98"
"326","Jason Sirak","N.M. Highlands","Jr.","P","13","50.3","39","6.98"
"","Ryan Sorell","Pittsburg St.","Sr.","P","10","50.3","39","6.98"
"328","John Jeanes","Post","So.","P","9","41.3","32","6.97"
"329","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","10","62.0","48","6.97"
"330","Lamar Lewis","Benedict","Jr.","P","12","53.0","41","6.96"
"331","Ryan Salt","Tarleton St.","Sr.","P","19","54.3","42","6.96"
"332","Michael Ward","Western Ore.","Sr.","P","11","75.0","58","6.96"
"333","Cody Greibling","Mo. Southern St.","Jr.","P","13","64.7","50","6.96"
"334","Derek Fogel","Washburn","Fr.","P","11","66.0","51","6.95"
"335","Dan Marcacci","Southern Ind.","Sr.","P","15","45.3","35","6.95"
"336","Ryan Windt","Wis.-Parkside","Jr.","P","11","55.7","43","6.95"
"337","Alex Didio","St. Augustine's","Jr.","P","18","115.3","89","6.95"
"338","David Hucsko","Gannon","Sr.","P","8","48.0","37","6.94"
"339","John Tuttle","Catawba","Fr.","P","14","62.3","48","6.93"
"340","Chris Camastro","Pace","Sr.","P","10","41.7","32","6.91"
"","Jordan Lehman","West Chester","Jr.","P","12","41.7","32","6.91"
"","Chris Short","Cal St. Stanislaus","Jr.","P","11","41.7","32","6.91"
"343","Matt Medeiros","Mary","Sr.","P","10","60.0","46","6.90"
"344","Ryan Garman","Grand Valley St.","Fr.","P","8","45.7","35","6.89"
"345","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","40","6.88"
"346","Coltin White","Grand Canyon","Jr.","C","15","51.0","39","6.88"
"347","Reece Cross","Ark.-Monticello","Sr.","P","12","66.7","51","6.88"
"348","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","38","6.88"
"349","George Hebert","Slippery Rock","Sr.","P","10","55.0","42","6.87"
"","Alex McCormick","Stonehill","So.","P","9","55.0","42","6.87"
"351","Collin Fishman","Saint Michael's","So.","1B","7","40.7","31","6.86"
"352","Joey Gradney","Lewis","Sr.","P","9","44.7","34","6.85"
"353","Rich Ruff","Quincy","Sr.","P","9","48.7","37","6.84"
"","Houston Taylor","S.C. Aiken","Sr.","P","15","48.7","37","6.84"
"355","Matt Holland","St. Mary's (TX)","Sr.","P","13","80.3","61","6.84"
"356","Jason Beaumont","Lynn","Jr.","P","13","77.7","59","6.83"
"357","Joe Jablonski","Grand Valley St.","Sr.","P","10","54.0","41","6.83"
"358","Cody Stull","Belmont Abbey","Fr.","P","13","59.3","45","6.83"
"359","Logan Holthaus","Harding","So.","P","10","63.3","48","6.82"
"360","Chris Thomas","Lander","So.","P","13","79.3","60","6.81"
"361","Matt Sommo","New Haven","Sr.","P","6","41.0","31","6.80"
"","Cameron Ward","Limestone","So.","P","15","82.0","62","6.80"
