"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Drew Leonard","Millsaps","Jr.","INF","42","16","7"
"","Travis May","Washington-St. Louis","Sr.","INF","46","16","3"
"","Mikee Moore","Maryville (TN)","So.","OF","40","16","6"
"","Nolan Neuschaefer","Baldwin-Wallace","So.","OF","32","16","3"
"","Nate Newman","Misericordia","Sr.","INF","35","16","4"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","16","1"
"","Jonathan Proscia","SUNY Maritime","Jr.","OF","30","16","6"
"","Brent Schaekel","Concordia (TX)","Fr.","OF","41","16","4"
"","Russ Schmelzer","Me.-Farmington","Sr.","OF","27","16","3"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","16","0"
"","Peter Steiner","Calvin","Sr.","P","34","16","4"
"","Anthony Surber","SUNYIT","Jr.","P","34","16","1"
"","Iggy Wagner","Cal Lutheran","Jr.","OF","38","16","5"
"","Tim Wilson","Linfield","So.","INF","26","16","2"
"","David Zilnicki","Farmingdale St.","So.","3B","31","16","1"
"","Mike Zubia","Moravian","Sr.","OF","37","16","2"
