"Rank","Name","Team","Cl","Pos","G","BB"
"","Garrett Segraves","IPFW","Sr.","OF","38","27"
"","Brock Stassi","Nevada","Sr.","P","39","27"
"","Ryan Still","Houston","Sr.","2B","45","27"
"","Cal Towey","Baylor","So.","OF","42","27"
"","Renny Weber","McNeese St.","Jr.","INF","41","27"
"","Chris Wolfe","Grambling","Jr.","INF","39","27"
"177","Isaac Ballou","Marshall","So.","OF","41","26"
"","Sean Bignall","UALR","Jr.","OF","42","26"
"","Jeff Bland","Navy","Sr.","C","45","26"
"","Evan Boyd","Mercer","So.","SS","46","26"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","26"
"","Dan Capeless","Georgetown","Sr.","1B","46","26"
"","Kes Carter","Western Ky.","Jr.","OF","40","26"
"","Nick Chinners","Charleston So.","Sr.","1B","39","26"
"","Dave Ciocchi","Binghamton","Jr.","1B","37","26"
"","Jerrod Eigsti","Bradley","Jr.","INF","41","26"
"","Drew Fowlkes","Kennesaw St.","Sr.","C","42","26"
"","Zach George","Arkansas St.","Fr.","-","36","26"
"","Sean Jamieson","Canisius","Sr.","SS","42","26"
"","Kale Kiser","Nebraska","Jr.","OF","41","26"
"","Don Lambert","Wichita St.","Jr.","OF","46","26"
"","Pete Lavin","San Francisco","Sr.","OF","44","26"
"","Pete Leonello","LIU Brooklyn","Fr.","OF","40","26"
"","Rafael Lopez","Florida St.","Sr.","C","39","26"
"","Nick Martini","Kansas St.","Jr.","OF","43","26"
"","A.J. Miller","Lafayette","Sr.","C","38","26"
"","Peter Mooney","South Carolina","Fr.","-","43","26"
"","Tyler Ogle","Oklahoma","Jr.","C","44","26"
"","Will Owens","Furman","Jr.","2B","45","26"
"","James Ramsey","Florida St.","Jr.","OF","44","26"
"","Jake Rowell","UALR","Sr.","INF","42","26"
"","Taylor Roy","Southern U.","Jr.","OF","37","26"
"","Bradley Shaban","James Madison","So.","INF","44","26"
"","Mel Skochdopole","Dayton","Fr.","INF","42","26"
"","Tyler Spillner","Purdue","Jr.","OF","43","26"
"","James Taylor","Norfolk St.","So.","OF","39","26"
"","Jeffrey Van Doornum","Hawaii","Sr.","DH","41","26"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","26"
"","Mitch Widau","Ball St.","Jr.","INF","37","26"
"","Josh Wilson","Dallas Baptist","Sr.","OF","42","26"
"","Michael Zeblo","Davidson","So.","SS","38","26"
"","Jason Zundel","Utah Valley","Jr.","OF","38","26"
"213","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","25"
"","Jared Andreoli","Western Ky.","Jr.","OF","44","25"
"","Harry Austin","Elon","Sr.","OF","44","25"
"","Eldred Barnett","Grambling","Jr.","OF","40","25"
"","Preston Beck","Texas-Arlington","So.","INF","44","25"
"","Jayce Boyd","Florida St.","So.","1B","44","25"
"","John Cannon","Houston","Jr.","C","45","25"
"","Hector Crespo","Appalachian St.","So.","INF","42","25"
"","Matt Duffy","Tennessee","Sr.","3B","42","25"
"","Sean Dwyer","Fla. Gulf Coast","Fr.","OF","44","25"
"","Mario Eramo","Penn St.","Sr.","C","38","25"
"","Michael Faulkner","Arkansas St.","So.","OF","44","25"
"","Chaz Frank","North Carolina","So.","OF","41","25"
"","Alex Fuselier","La.-Lafayette","Jr.","OF","43","25"
"","Nolan Gaige","Albany (NY)","So.","P","37","25"
"","Dan Gamache","Auburn","Jr.","INF","43","25"
"","Juluis Green","Savannah St.","Jr.","INF","45","25"
"","Tyler Hall","Central Mich.","Jr.","INF","44","25"
"","Tyler Hannah","Troy","Jr.","INF","44","25"
"","Danny Hayes","Oregon St.","So.","INF","39","25"
"","Lucas Hileman","Indiana St.","Jr.","OF","38","25"
"","Jason Houston","UALR","Sr.","2B","42","25"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","25"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","25"
"","Benji Jackson","Gardner-Webb","So.","-","35","25"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","25"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","25"
"","Pi‘ikea Kitamura","Hawaii","So.","INF","42","25"
"","Tommy La Stella","Coastal Caro.","Jr.","2B","44","25"
"","D.J. Long","Delaware","So.","INF","44","25"
"","Ben Magsig","Eastern Mich.","Jr.","INF","42","25"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","25"
"","Chris O'Brien","Wichita St.","Jr.","C","47","25"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","25"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","25"
"","Matt Reynolds","Arkansas","So.","INF","41","25"
"","Tucker Rubino","Eastern Mich.","Jr.","INF","42","25"
"","Austin Schultz","Western Caro.","Sr.","INF","42","25"
"","Jon Schwind","Marist","Jr.","3B","42","25"
"","Jake Sharrock","Jacksonville St.","Sr.","SS","39","25"
"","Frank Solis","Jackson St.","Jr.","3B","39","25"
"","Darnell Sweeney","UCF","So.","INF","44","25"
"","Brent Tanner","South Ala.","Sr.","C","43","25"
"","Logan Uxa","Arkansas St.","So.","OF","46","25"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","25"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","25"
"","Alex Wolfe","BYU","Sr.","C","39","25"
"","Tyler Wynn","Cleveland St.","Jr.","INF","41","25"
"261","Breland Almadova","Hawaii","So.","OF","37","24"
"","Emory Barkley","Savannah St.","Sr.","C","41","24"
"","Joel Blake","South Dakota St.","Sr.","1B","37","24"
"","Eric Brindle","UNC Greensboro","So.","INF","42","24"
"","Eric Cain","South Dakota St.","Jr.","SS","39","24"
"","Ryan Collins","Mississippi St.","Sr.","OF","42","24"
"","Casey Coy","Northern Colo.","Jr.","INF","42","24"
"","Blake Crohan","Tulane","So.","OF","44","24"
"","Bill Cullen","VCU","Fr.","OF","40","24"
"","Stephen Curtis","Jackson St.","Fr.","INF","37","24"
"","Bob Donato","Bucknell","Jr.","OF","46","24"
"","Nolan Earley","South Ala.","So.","OF","42","24"
"","Brendan Emmett","Central Mich.","Sr.","INF","40","24"
"","Chris Epps","Clemson","Sr.","OF","42","24"
"","Alex Foltz","James Madison","Sr.","OF","37","24"
"","Tyler Gaffney","Stanford","So.","OF","34","24"
"","Alex Guerra","Radford","Sr.","INF","43","24"
"","Mitch Haniger","Cal Poly","So.","OF","37","24"
"","Tyler Hanover","LSU","Jr.","INF","45","24"
"","Ivan Hartle","Western Ky.","Jr.","INF","44","24"
"","Craig Hertler","San Jose St.","Sr.","INF","43","24"
"","D.J. Hicks","UCF","Jr.","DH","43","24"
"","Joey Latulippe","Lamar","Sr.","C","42","24"
"","Justin Lesson","Georgetown","So.","OF","46","24"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","24"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","24"
"","Dan Marsh","Wright St.","Sr.","OF","40","24"
"","Vincent Mejia","Tex.-Pan American","Jr.","INF","37","24"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","24"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","24"
"","Brandon Miller","Samford","Jr.","C","44","24"
"","Matt Miller","Northeastern","Jr.","INF","40","24"
"","Michael Pair","Central Ark.","Sr.","C","32","24"
"","Dan Paolini","Siena","Jr.","2B","44","24"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","24"
"","Peter Poole","Savannah St.","So.","OF","39","24"
"","Mike Reeves","Fla. Gulf Coast","So.","C","42","24"
"","Craig Richmond","Coppin St.","Sr.","INF","39","24"
"","Preston Springer","Wichita St.","Sr.","1B","47","24"
"","Luke Walker","Mississippi Val.","Sr.","OF","44","24"
"","Keith Werman","Virginia","Jr.","INF","47","24"
"","Austin Wulf","Tennessee Tech","So.","OF","41","24"
"","Stephen Yarrow","San Francisco","Sr.","INF","44","24"
"304","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","23"
"","Zeke Blanton","Gardner-Webb","So.","-","33","23"
"","Jimmy Brenneman","Campbell","Jr.","OF","43","23"
"","Michael Broad","Miami (FL)","So.","2B","35","23"
"","Brian Burton","Canisius","Sr.","1B","41","23"
"","Keenan Cook","Rice","Fr.","OF","41","23"
"","Peter Copa","Massachusetts","Sr.","3B","35","23"
"","Tommy Coyle","North Carolina","So.","2B","43","23"
"","D.J. Crumlich","UC Irvine","Jr.","INF","40","23"
"","Will Davis","Penn","Sr.","C","39","23"
"","Joe De Pinto","Southern California","Sr.","INF","43","23"
"","Casey Dykes","Western Ky.","Jr.","INF","44","23"
"","Jake Foley","Fla. Gulf Coast","Fr.","OF","43","23"
"","James Foster","Wofford","Jr.","OF","44","23"
"","Cole Frenzel","Arizona","So.","INF","43","23"
"","Ian Graham","UNC Asheville","So.","C","34","23"
"","Jon Gyles","La Salle","Jr.","INF","41","23"
"","Taylor Heon","Southeast Mo. St.","Sr.","INF","33","23"
"","Chad Hinshaw","Illinois St.","So.","OF","40","23"
"","Ryan Holland","Maryland","Jr.","INF","45","23"
"","Brandon King","Oral Roberts","Jr.","OF","39","23"
"","Brandon Loy","Texas","Jr.","SS","44","23"
"","Conner Mach","Missouri","Jr.","INF","44","23"
"","Chantz Mack","Miami (FL)","So.","OF","42","23"
"","Ed Martin","Monmouth","Jr.","OF","43","23"
"","Antolin Morales","Alcorn St.","Jr.","INF","36","23"
"","Will Muzika","Furman","So.","2B","46","23"
"","Bryan Niedbalski","Iowa","Fr.","INF","34","23"
"","Greg Olson","Sam Houston St.","So.","OF","46","23"
"","Ricky Oropesa","Southern California","Jr.","1B","43","23"
"","Logan Pierce","Troy","So.","INF","44","23"
"","Willie Pratt","Utah Valley","So.","INF","27","23"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","23"
"","T.J. Rivera","Troy","Sr.","2B","44","23"
"","Ralph Rizzo","Albany (NY)","Sr.","INF","34","23"
"","Kenneth Rowan","Alcorn St.","Sr.","OF","36","23"
"","Daniel Russell","Eastern Mich.","So.","OF","42","23"
"","Shawn Sizemore","Old Dominion","So.","P","39","23"
"","Paul Snieder","Northwestern","Jr.","INF","38","23"
"","Nic Spence","Cincinnati","Jr.","1B","41","23"
"","Kenny Swab","Virginia","Sr.","C","38","23"
"","Cory Tilton","Charlotte","Sr.","OF","43","23"
"","Joe Torres","Iona","Fr.","OF","41","23"
"","Chris Vergne","A&M-Corpus Christi","Sr.","OF","46","23"
"","Logan Vick","Baylor","So.","OF","33","23"
"","Nick Vickerson","Mississippi St.","Sr.","INF","39","23"
"","Alex Williams","Louisiana Tech","Jr.","INF","46","23"
"","Jacob Wilson","Memphis","Jr.","INF","44","23"
"","Zach Wright","East Carolina","Jr.","C","44","23"
"","Chris Wychock","Towson","Sr.","3B","41","23"
"","Matt Zeblo","Belmont","Sr.","C","38","23"
"355","Nick Ahmed","Connecticut","Jr.","INF","40","22"
"","Nick Allen","George Mason","So.","2B","42","22"
"","Ryan Ashe","Wright St.","Jr.","OF","40","22"
"","Aaron Attaway","Western Caro.","Fr.","INF","42","22"
"","Mike Bartlett","Quinnipiac","Sr.","OF","39","22"
"","Coty Blanchard","Jacksonville St.","Fr.","SS","40","22"
"","Kyle Burnam","Indiana St.","Jr.","OF","42","22"
"","Albert Carpen","Chicago St.","Jr.","OF","36","22"
"","Ridge Carpenter","Cal St. Northridge","Sr.","OF","42","22"
"","Nathan Carter","Air Force","Sr.","OF","41","22"
"","Emmanuel Castro","Bethune-Cookman","Sr.","INF","47","22"
"","Derrick Chung","Sacramento St.","Sr.","INF","46","22"
"","Joe Cook","Saint Joseph's","Sr.","INF","38","22"
"","Tony Crudo","Northern Colo.","Jr.","INF","41","22"
"","Austin Elkins","Dallas Baptist","So.","INF","33","22"
"","Blake Ellender","McNeese St.","Sr.","OF","46","22"
"","Blaise Fernandez","George Mason","Fr.","INF","43","22"
"","Rolando Gautier","Austin Peay","Fr.","OF","41","22"
"","Ryan Haas","Delaware St.","So.","INF","43","22"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","22"
"","Levi Hyams","Georgia","Jr.","INF","45","22"
"","Andrew Karmeris","North Florida","Jr.","INF","41","22"
"","Ryan Kaup","Miami (OH)","Sr.","INF","43","22"
"","Dairio Little","N.C. A&T","So.","OF","44","22"
"","Jake Luce","Elon","Jr.","OF","42","22"
"","Joey Martin","Maine","Sr.","INF","40","22"
"","Wade Mathis","Lamar","Sr.","INF","45","22"
"","Travis McComack","Missouri St.","Jr.","INF","41","22"
"","Kevin McDonnell","Wagner","Sr.","OF","42","22"
"","Mike McQuillan","Iowa","Jr.","2B","41","22"
"","Anthony Melchionda","Boston College","Jr.","INF","42","22"
"","Mike Mercurio","High Point","So.","INF","35","22"
"","Aaron Miller","Gardner-Webb","Sr.","SS","42","22"
"","Paul Montalbano","Texas","Sr.","OF","39","22"
"","Tristan Moore","Wright St.","Jr.","OF","39","22"
"","Austin Nola","LSU","Jr.","INF","45","22"
"","Robby Ort","Indiana St.","So.","OF","41","22"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","22"
"","Dario Pizzano","Columbia","So.","OF","43","22"
"","Cody Regis","UCLA","So.","INF","37","22"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","22"
"","Eddie Rohan","Winthrop","Sr.","C","45","22"
"","Matt Ryan","Tulane","Jr.","INF","43","22"
"","Jeremy Schaffer","Tulane","Jr.","C","44","22"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","22"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","22"
"","Marcus Semien","California","Jr.","INF","40","22"
"","Tyler Smith","Oregon St.","So.","INF","40","22"
"","Christian Walker","South Carolina","So.","INF","43","22"
"","Adam Brett Walker","Jacksonville","So.","C","42","22"
"","Pat Wiese","Le Moyne","Fr.","OF","31","22"
"","Joe Winker","Mercer","Sr.","OF","45","22"
"","Kirby Young","Sacramento St.","Sr.","INF","45","22"
"","Brad Zapenas","Boston College","Jr.","INF","42","22"
"409","Milan Adams","Rhode Island","Jr.","C","40","21"
"","Steve Antolik","High Point","Sr.","OF","44","21"
"","Greg Bachman","Austin Peay","Sr.","INF","41","21"
"","Hunter Beaty","UNLV","Sr.","INF","40","21"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","21"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","21"
"","Tony Caldwell","Auburn","Sr.","C","41","21"
"","Raymond Church","Fla. Atlantic","Sr.","INF","43","21"
"","Jason Coats","TCU","Jr.","OF","44","21"
"","Matt Conway","Wake Forest","So.","INF","40","21"
"","C.J. Cron","Utah","Jr.","C","37","21"
"","Bryce Cummings","Stephen F. Austin","Fr.","INF","43","21"
"","Mike DiBiase","Brown","Jr.","INF","40","21"
"","Alex Dickerson","Indiana","Jr.","OF","43","21"
"","Mike Ford","Princeton","Fr.","P","41","21"
"","Seth Freeman","Davidson","Jr.","C","40","21"
"","Michael Gallic","Marist","Sr.","OF","41","21"
"","Cody Gambill","Texas St.","Jr.","OF","33","21"
"","Mitchell Garver","New Mexico","So.","C","45","21"
"","Sebastian Gomez","Elon","Fr.","INF","39","21"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","21"
"","Justin Gonzalez","Florida St.","So.","SS","44","21"
"","Conrad Gregor","Vanderbilt","Fr.","OF","35","21"
"","Jason Haditsch","Cleveland St.","Jr.","INF","35","21"
"","Joey Hainsfurther","Baylor","Jr.","C","41","21"
"","Brad Hallberg","Ohio St.","Jr.","1B","33","21"
"","Shane Hammond","Georgia St.","Sr.","C","34","21"
"","Beau Hanowski","South Dakota St.","Jr.","OF","37","21"
"","Cass Hargis","Southeastern La.","Sr.","OF","46","21"
"","Mike Hollenbeck","Illinois St.","Fr.","C","34","21"
"","Jackson Hood","Stephen F. Austin","Jr.","OF","39","21"
"","Lacy Jackson","Texas Southern","Jr.","INF","33","21"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","21"
"","Michael Johnson","Samford","Sr.","INF","45","21"
"","Terrell Jones","Texas Southern","Sr.","INF","42","21"
"","Ryan Jones","Michigan St.","So.","INF","38","21"
"","Chris Kashangaki","Coppin St.","So.","OF","39","21"
"","Chadd Krist","California","Jr.","C","40","21"
"","Bryce Labhart","Eastern Ky.","Sr.","OF","34","21"
"","John Lenherr","VCU","Sr.","OF","41","21"
"","Blake Martz","Troy","Jr.","C","36","21"
"","Brett Maxwell","Georgia St.","Sr.","OF","41","21"
"","Duncan McAlpine","Dallas Baptist","So.","1B","42","21"
"","John McCambridge","Xavier","Sr.","INF","43","21"
"","Brendan McCrea","Holy Cross","Sr.","OF","41","21"
"","Byron McKoy","Temple","Sr.","OF","41","21"
"","Adrian Morales","South Carolina","Sr.","INF","42","21"
"","Andrew Muren","Cal St. Northridge","Jr.","OF","43","21"
"","Ryan Nance","UAB","Jr.","P","30","21"
"","Jared Norris","Oregon St.","Sr.","1B","39","21"
"","Brendan Norton","La Salle","Jr.","INF","41","21"
"","Bryce Nugent","Marist","Sr.","C","42","21"
"","Ryan O'Gara","Valparaiso","Sr.","INF","31","21"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","21"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","21"
"","Caleb Ramsey","Houston","Sr.","OF","44","21"
"","Jared Reaves","Alabama","Jr.","INF","47","21"
"","Tim Roberson","Fla. Gulf Coast","Sr.","3B","38","21"
"","Jeremy Rodriguez","CSU Bakersfield","Jr.","C","38","21"
"","Johnny Ruettiger","Arizona St.","Jr.","OF","40","21"
"","Barrett Serrato","Purdue","Jr.","INF","43","21"
"","Trevor Stevens","Northwestern","Jr.","1B","39","21"
"","Andrew Susac","Oregon St.","So.","C","26","21"
"","Chris Taylor","Virginia","So.","INF","47","21"
