"Rank","Name","Team","Cl","Pos","G","HBP"
"","Jacob West","Lincoln Memorial","So.","INF","29","7"
"127","Rowdy Andrews","Eckerd","So.","INF","25","6"
"","Andrew Ayrado","East Central","Jr.","C","16","6"
"","Mike Barajas","Lewis","Jr.","INF","19","6"
"","Andrew Bartlett","Florida Tech","Sr.","INF","29","6"
"","Charlie Basil","Colorado Mines","Sr.","OF","21","6"
"","Dillion Bollig","Adams St.","So.","2B","25","6"
"","Taylor Bonifacio","North Ala.","Sr.","OF","18","6"
"","Justin Brock","Franklin Pierce","So.","SS","24","6"
"","Colin Buckner","Lincoln Memorial","Jr.","1B","30","6"
"","Cody Burton","Ala.-Huntsville","Jr.","OF","26","6"
"","Kyle Carnahan","Washburn","So.","INF","22","6"
"","Markus Carr","Okla. Christian","Sr.","OF","19","6"
"","Brett Cash","Anderson (SC)","Jr.","INF","30","6"
"","Brendan Costantino","Seton Hill","Sr.","INF","23","6"
"","Troy Cruz","UC San Diego","So.","P","21","6"
"","Ryan Dardenne","Southern Ark.","Jr.","C","16","6"
"","Alex DeBellis","Lynn","Jr.","C","29","6"
"","Ryan Degner","Mo. Western St.","Jr.","OF","24","6"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","6"
"","Ryan Engels","Southwest Minn. St.","Jr.","2B","16","6"
"","Joseph Eusebio","Cal Poly Pomona","Sr.","OF","27","6"
"","CJ Flannery","Merrimack","Sr.","C","8","6"
"","Ryan Forkel","Eastern N.M.","Sr.","OF","26","6"
"","Brad Foss","Pittsburg St.","Sr.","INF","25","6"
"","Chuck Gasti","California (PA)","Sr.","OF","16","6"
"","Zach Gawrych","Tampa","Sr.","OF","25","6"
"","Sixto Guerrero","Claflin","So.","OF","25","6"
"","Chase Harvey","Southern Ark.","Jr.","2B","24","6"
"","Tyler Hayes","N.M. Highlands","Sr.","INF","18","6"
"","Scott Hladik","Saint Rose","Sr.","OF","15","6"
"","Mitch Holgate","West Ala.","So.","INF","27","6"
"","Zach Huskey","Cedarville","Jr.","INF","16","6"
"","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","6"
"","Ty Johnson","Dixie St.","Sr.","C","27","6"
"","Jay Johnson","Arkansas Tech","Sr.","3B","28","6"
"","Matt Johnson","Central Okla.","Sr.","INF","23","6"
"","Keenan Jumper","Arkansas Tech","Sr.","C","21","6"
"","Ernie Kirkwood","Coker","Sr.","OF","28","6"
"","Kevin Kline","Dixie St.","Jr.","INF","31","6"
"","Jordan Kontz","Southwest Minn. St.","Sr.","INF","19","6"
"","John Lassiter","Arkansas Tech","Jr.","2B","27","6"
"","Carlos Leal","Delta St.","Sr.","C","21","6"
"","Tito Lluberes","St. Anselm","Sr.","INF","16","6"
"","Brandon Mapp","Tuskegee","Jr.","2B","12","6"
"","Daniel Martinez","Southern Nazarene","Jr.","INF","15","6"
"","Carlos Matamoros","Barry","Jr.","OF","24","6"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","6"
"","Matt Nettles","Columbus St.","So.","OF","26","6"
"","Peter Nicoletto","Rollins","Fr.","OF","18","6"
"","Johan Ochoa","Rogers St.","So.","INF","22","6"
"","Stetson Olson","Minn. St. Mankato","Sr.","INF","19","6"
"","Dionys Quezada","Merrimack","Jr.","C","10","6"
"","Mike Reed","Valdosta St.","Jr.","SS","25","6"
"","Tyler Richburg","West Ala.","Sr.","OF","25","6"
"","Nate Robertson","Colorado Mesa","Jr.","INF","21","6"
"","Brantley Rumford","Lenoir-Rhyne","Jr.","INF","24","6"
"","Wacey Russell","Union (TN)","Sr.","OF","27","6"
"","Drew Ryan","Ohio Dominican","Sr.","INF","14","6"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","6"
"","E. Schanzenb","Mansfield","---","3B","15","6"
"","Kurt Seiders","Millersville","Jr.","P","23","6"
"","Andrew Seigel","Concord","So.","OF","22","6"
"","Jose Sierra","Tex. Permian Basin","Jr.","C","15","6"
"","Alex Sixtos","Cal St. Dom. Hills","Sr.","C","12","6"
"","Cody Smith","West Virginia St.","Sr.","INF","20","6"
"","Nick Spini","East Central","Jr.","OF","29","6"
"","Austin Stubbs","Southwest Minn. St.","Jr.","1B","19","6"
"","Conor Szczerba","Fla. Southern","Sr.","2B","29","6"
"","Landon Thibodeaux","Delta St.","Jr.","3B","22","6"
"","William Thomas","Saint Augustine's","So.","INF","25","6"
"","Anthony Tomasone","Mercyhurst","Sr.","OF","15","6"
"","William Townsend","Southern Ark.","So.","OF","31","6"
"","Ramon Valdez","Barry","So.","C","19","6"
"","Cameron Walker","Wayne St. (MI)","Sr.","INF","20","6"
"","David Weber","Northeastern St.","Sr.","OF","26","6"
"","Phillip Wilson","Central Okla.","Sr.","P","24","6"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","6"
"","Trent Woodridge","Harding","Sr.","OF","28","6"
