"Rank","Name","Team","Cl","Pos","G","SH"
"","Bobby Martin","UNC Greensboro","Sr.","OF","25","9"
"","Darrel Matthews","California","Jr.","OF","37","9"
"","Grant McCabe","Duke","Fr.","OF","40","9"
"","Luis Montesinos","Penn St.","Jr.","SS","43","9"
"","Nate Moorhouse","Mercer","So.","2B","46","9"
"","Chris Murphy","St. Mary's (CA)","Sr.","INF","41","9"
"","Matthew Oglesby","Savannah St.","Sr.","INF","43","9"
"","Teler Palmer","Miami (FL)","So.","INF","39","9"
"","Mike Parsons","Rider","Fr.","INF","43","9"
"","Aaron Payne","Oregon","So.","INF","43","9"
"","Cole Peragine","Stony Brook","Fr.","INF","43","9"
"","David Pfuntner","Houston Baptist","Sr.","OF","34","9"
"","Paul Rambaud","Villanova","Jr.","OF","42","9"
"","Kris Richards","UNC Greensboro","Sr.","INF","40","9"
"","Erik Ross","Oklahoma","Sr.","OF","37","9"
"","Geoff Rowan","Northwestern","Sr.","C","38","9"
"","John Scott","Florida A&M","Sr.","2B","42","9"
"","Chris Smith","Wagner","So.","OF","36","9"
"","Eric Stamets","Evansville","Jr.","INF","44","9"
"","Jordan Stampler","S.C. Upstate","Jr.","INF","41","9"
"","Chris Sujka","Indiana","Fr.","OF","42","9"
