"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"48","Seth McMullen","Winona St.","Jr.","SS","42","156","101","0.647"
"49","Geno Escalante","Mount Olive","Jr.","C","48","195","126","0.646"
"50","Brayan Cacique","Lake Erie","Sr.","OF","43","124","80","0.645"
"51","Ryan McChesney","Florida Tech","Sr.","C","45","151","97","0.642"
"52","Aaron Priestes","Quincy","Jr.","OF","37","123","79","0.642"
"53","Alex Marrero","Nova Southeastern","Jr.","OF","35","109","70","0.642"
"54","Derek Fulmer","North Greenville","Sr.","P","53","204","131","0.642"
"55","Kyle Davis","N.M. Highlands","Jr.","OF","34","103","66","0.641"
"56","Darryl Baca","Metro St.","Fr.","C","42","155","99","0.639"
"57","null Joey Belviso","Mars Hill","Fr.","-","48","188","120","0.638"
"58","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","159","101","0.635"
"59","Jeffrey Conley","Alderson-Broaddus","So.","P","45","148","94","0.635"
"60","Jordan Easom","West Tex. A&M","Sr.","OF","45","158","100","0.633"
"61","Blake Silguero","Tarleton St.","Sr.","DH","39","147","93","0.633"
"62","William VanWinkle","Paine","Jr.","1B","46","144","91","0.632"
"63","Jacob Karr","Wingate","Sr.","INF","55","228","144","0.632"
"64","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","143","90","0.629"
"65","Weston Dodson","Elizabeth City St.","So.","OF","29","94","59","0.628"
"66","Nash Smith","Fort Hays St.","Sr.","OF","43","166","104","0.627"
"67","Steve Anderson","Grand Valley St.","Sr.","OF","44","152","95","0.625"
"","Josh Lyon","Limestone","Sr.","C","47","184","115","0.625"
"69","Heath Peterson","Montevallo","Sr.","1B","49","194","121","0.624"
"70","Joey Benke","St. Cloud St.","Sr.","INF","42","143","89","0.622"
"71","Jon Neuberger","Bluefield St.","Sr.","INF","41","148","92","0.622"
"","Champ Stuart","Brevard","So.","OF","42","148","92","0.622"
"73","Kyle Morrow","Pitt.-Johnstown","So.","C","49","166","103","0.620"
"74","Michael Schmidt","North Ala.","Sr.","INF","50","179","111","0.620"
"75","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","142","88","0.620"
"76","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","184","114","0.620"
"77","Sean Collette","Alderson-Broaddus","Jr.","OF","45","160","99","0.619"
"78","Justi Bagbey","Chowan","Fr.","-","49","152","94","0.618"
"79","Cash Oliver","Tuskegee","So.","SS","42","136","84","0.618"
"80","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","175","108","0.617"
"81","Parker Wood","West Tex. A&M","Jr.","INF","41","125","77","0.616"
"82","Mike Eckhart","Minn. St. Mankato","Jr.","OF","32","91","56","0.615"
"83","Jeff Popick","Colorado Mesa","Sr.","OF","43","153","94","0.614"
"84","Mike Russo","St. Thomas Aquinas","Fr.","-","38","114","70","0.614"
"85","James Roche","Franklin Pierce","Sr.","OF","45","181","111","0.613"
"86","Tyler Gaby","King (TN)","So.","OF","37","134","82","0.612"
"","Cade Stallings","Tusculum","Jr.","INF","54","201","123","0.612"
"88","Billy Smith","West Virginia St.","Jr.","OF","45","170","104","0.612"
"89","Zach Miller","Saint Leo","Sr.","INF","39","139","85","0.612"
"90","Ryan Johnston","Concord","Fr.","C","50","157","96","0.611"
"91","Robert Brown","Clark Atlanta","Sr.","OF","34","108","66","0.611"
"92","Thomas Biocic","Arkansas Tech","Jr.","1B","42","141","86","0.610"
"93","Kevin Blue","Central Okla.","Sr.","INF","48","192","117","0.609"
"94","Derek Hansen","Augustana (SD)","Jr.","INF","43","151","92","0.609"
"95","Travis Parsons","Wayne St. (NE)","Sr.","1B","40","133","81","0.609"
"96","Nate Van Roekel","Winona St.","Sr.","3B","43","166","101","0.608"
"97","Greg Baggett","Bentley","Sr.","C","40","143","87","0.608"
"98","Ryan Small","Tarleton St.","Jr.","INF","44","171","104","0.608"
"99","Cody Coffman","Tusculum","Sr.","INF","54","201","122","0.607"
"100","Jackson Boyd","Seton Hill","Jr.","OF","46","152","92","0.605"
"101","Jack Goihl","Augustana (SD)","Fr.","1B","35","101","61","0.604"
"102","Matt Baer","West Chester","Sr.","OF","35","106","64","0.604"
"","Jess Cooper","West Tex. A&M","Sr.","INF","44","159","96","0.604"
"104","Matthew Young","Cal St. Dom. Hills","Fr.","OF","38","156","94","0.603"
"105","Cody Strang","Winona St.","Jr.","OF","43","161","97","0.602"
"106","Taylor Taska","Tex. A&M-Kingsville","So.","P","34","88","53","0.602"
"107","Igor Molina","Charleston (WV)","Jr.","INF","41","123","74","0.602"
"108","Ryan Uhl","Indiana (PA)","Fr.","OF","39","133","80","0.602"
"109","Jarius Brown","Stillman","Sr.","OF","44","163","98","0.601"
"110","Jordan White","Ky. Wesleyan","Sr.","OF","45","168","101","0.601"
"111","Andre Rodriguez","Lincoln Memorial","Jr.","INF","46","145","87","0.600"
"112","Dustin Spruill","Elizabeth City St.","Fr.","C","29","107","64","0.598"
"113","Michael Tomko","Gannon","Jr.","OF","46","154","92","0.597"
"114","Anthony Zarrella","Adelphi","Jr.","INF","40","149","89","0.597"
"115","Eric Ringblom","Neb.-Kearney","Jr.","1B","43","139","83","0.597"
"116","Jake Warner","Pitt.-Johnstown","So.","C","48","168","100","0.595"
"117","David Borchardt","Augustana (SD)","Jr.","P","41","143","85","0.594"
"118","Brad Alberts","Washburn","---","INF","38","133","79","0.594"
"119","Aj Nunziato","Lander","Sr.","INF","48","197","117","0.594"
"120","Mike Bisenius","Wayne St. (NE)","Sr.","OF","40","132","78","0.591"
"121","Nate Ramler","Mo. Western St.","Jr.","OF","43","149","88","0.591"
"122","Charlie Gorzo","Northwest Nazarene","Jr.","OF","39","117","69","0.590"
"123","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","173","102","0.590"
"124","Kelend Smith","Miles","Fr.","1B","41","134","79","0.590"
"125","Marshall Burford","St. Edward's","Jr.","OF","43","141","83","0.589"
"126","Collins Cuthrell","Barton","So.","INF","40","148","87","0.588"
"127","Eric Swain","Northwest Mo. St.","Jr.","INF","44","167","98","0.587"
"128","Aaron Guinn","Tusculum","Sr.","1B","54","212","124","0.585"
"129","Billy Richard","St. Mary's (TX)","Jr.","OF","49","183","107","0.585"
"130","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","166","97","0.584"
"131","Curran Collins","Quincy","Sr.","INF","38","132","77","0.583"
"132","Joe Kornbrust","Emporia St.","Sr.","INF","42","163","95","0.583"
"133","Bryant Hayman","Valdosta St.","Fr.","C","41","139","81","0.583"
"","Spencer Shockley","Mo. Western St.","Jr.","INF","44","139","81","0.583"
"135","Michael Leviseur","Seton Hill","Sr.","C","48","148","86","0.581"
"136","Adam Gemuenden","Winona St.","Sr.","1B","40","124","72","0.581"
"137","Ryan Daughtry","Barton","Sr.","OF","47","174","101","0.580"
"138","Grant Fink","Mo. Western St.","Jr.","INF","43","145","84","0.579"
"139","Chris Dula","Catawba","So.","3B","44","178","103","0.579"
"140","Adam Shank","St. Edward's","Sr.","OF","44","166","96","0.578"
"141","Aj Alexander","N.M. Highlands","Sr.","OF","36","128","74","0.578"
"142","Nash Hutter","Shepherd","Sr.","OF","45","151","87","0.576"
"143","B Harrison","Winston-Salem","Fr.","-","48","184","106","0.576"
"144","Jason Hunter","Wingate","Jr.","C","49","165","95","0.576"
"145","Dodson McPherson","Wingate","Sr.","OF","55","212","122","0.575"
"146","Cody Powell","Armstrong","Sr.","INF","44","153","88","0.575"
"147","Josh McMahon","N.M. Highlands","Jr.","INF","43","129","74","0.574"
"148","Wes Koenig","St. Edward's","Jr.","1B","40","136","78","0.574"
"149","Anthony Santa","Saint Leo","Sr.","1B","39","143","82","0.573"
"150","Brian Hansen","St. Cloud St.","Jr.","OF","45","150","86","0.573"
"151","Edwin Mendoza","Cal St. San B'dino","So.","OF","38","131","75","0.573"
"152","Ryan Greer","Angelo St.","Jr.","OF","50","166","95","0.572"
"153","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","154","88","0.571"
"","Ethan Satterfield","Catawba","So.","OF","52","189","108","0.571"
"","Michael Schroeder","Lewis","Jr.","P","46","133","76","0.571"
"156","Bret Blevins","Concord","So.","INF","48","170","97","0.571"
"157","Ethan Zabo","Glenville St.","Fr.","OF","43","142","81","0.570"
"158","Paul Eshelman","Cal St. San B'dino","Sr.","C","32","121","69","0.570"
"159","Bradon Reitano","Mount Olive","So.","SS","47","158","90","0.570"
"160","Dylan Songer","Indiana (PA)","Sr.","1B","48","151","86","0.570"
"161","Taylor Johnson","St. Edward's","Jr.","2B","39","137","78","0.569"
"162","Daniel Petitbon","Nova Southeastern","Sr.","OF","35","109","62","0.569"
"163","Jorrell Johnson","LeMoyne-Owen","So.","INF","31","102","58","0.569"
"164","Sean Borman","St. Cloud St.","Jr.","INF","43","132","75","0.568"
"165","Blake Gibbs","Cal St. Chico","Jr.","OF","46","155","88","0.568"
"166","Phillip Williams","Barton","Jr.","P","48","185","105","0.568"
"167","Luis Saenz","N.M. Highlands","Sr.","OF","43","141","80","0.567"
"168","Brooks Fleming","Palm Beach Atl.","So.","OF","36","97","55","0.567"
"169","Adam Soley","Wilmington (DE)","Sr.","1B","33","99","56","0.566"
"170","Jon Shoutta","Regis (CO)","So.","DH","41","122","69","0.566"
"171","Eric Temple","West Virginia St.","Sr.","OF","46","156","88","0.564"
"172","Noah Blackhurst","West Virginia St.","So.","INF","44","149","84","0.564"
"","Keith Morrisroe","Concord","Sr.","SS","50","149","84","0.564"
"174","null Ammar","Wheeling Jesuit","Fr.","-","39","126","71","0.563"
"175","Alex Haag","Regis (CO)","Sr.","OF","43","142","80","0.563"
"176","Jeremy Donaldson","Georgia College","Jr.","INF","36","119","67","0.563"
"177","Tommy Roush","Findlay","Jr.","INF","44","135","76","0.563"
"178","Brian Voigt","Augustana (SD)","Sr.","INF","40","121","68","0.562"
"179","Derek Mendoza","Grand Canyon","Jr.","INF","46","164","92","0.561"
"180","Phil Smith","Northern Ky.","Jr.","C","42","141","79","0.560"
"181","Erik Scott","N.M. Highlands","Sr.","OF","36","100","56","0.560"
"182","Jeremy Weber","Cal St. L.A.","Jr.","OF","33","109","61","0.560"
"183","Mike Snyder","Fla. Southern","Sr.","INF","41","152","85","0.559"
"184","Matt Perkowski","Palm Beach Atl.","Jr.","OF","38","145","81","0.559"
"185","Ryan Geffert","Southern Conn. St.","Sr.","1B","42","154","86","0.558"
"186","Nick Aranas","S.C. Aiken","Sr.","3B","48","181","101","0.558"
"187","Ryan Porter","Rockhurst","Sr.","1B","42","158","88","0.557"
"188","Danny Susdorf","UC San Diego","Jr.","OF","44","176","98","0.557"
"189","Bobby Egeberg","Colorado Mines","Jr.","OF","36","124","69","0.556"
"190","Matt Kuchenbecker","Minn. St. Mankato","Sr.","INF","40","142","79","0.556"
"191","Bubba Dotson","Mo. Western St.","Jr.","OF","41","117","65","0.556"
"","Robert Kelly","St. Anselm","Jr.","1B","48","180","100","0.556"
"193","Cameron Graves","Valdosta St.","Sr.","OF","38","146","81","0.555"
"194","Nick Erminio","Seton Hill","Sr.","INF","49","175","97","0.554"
"195","null Brown","Claflin","So.","-","40","139","77","0.554"
"196","Ken Morgan","Clarion","Sr.","C","37","121","67","0.554"
"197","Tarron Robinson","Brevard","Fr.","C","49","179","99","0.553"
"198","Rafael Medina","Bloomfield","Sr.","1B","37","132","73","0.553"
"199","Chris Gallegos","Northeastern St.","Sr.","INF","48","161","89","0.553"
"200","Vincente Andrews","Montevallo","Jr.","OF","46","163","90","0.552"
