"Rank","Name","Team","Cl","Pos","G","RBI"
"47","Thomas Carroll","Mercer","Sr.","OF","46","46"
"","Johnny Coy","Wichita St.","So.","INF","46","46"
"","Zac Fisher","New Mexico St.","So.","C","38","46"
"","Dave Milanes","Navy","So.","C","48","46"
"","A.J. Miller","Lafayette","Sr.","C","38","46"
"","Cameron Perkins","Purdue","So.","INF","42","46"
"","Steven Proscia","Virginia","Jr.","INF","47","46"
"54","Zack Helgeson","George Mason","Jr.","1B","47","45"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","45"
"","Robby Ort","Indiana St.","So.","OF","41","45"
"","Adrian Perez","Temple","Sr.","SS","41","45"
"","Jordan Poirrier","La.-Lafayette","Sr.","2B","45","45"
"","Nick Rickles","Stetson","Jr.","C","44","45"
"","Jacob Wilson","Memphis","Jr.","INF","44","45"
"61","Chris Baker","Old Dominion","Jr.","C","41","44"
"","Brandon Bayardi","UNLV","So.","OF","38","44"
"","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","44"
"","Jayce Boyd","Florida St.","So.","1B","44","44"
"","Saxon Butler","Samford","Jr.","INF","45","44"
"","Kyle Farmer","Georgia","So.","INF","45","44"
"","Ryan Ferguson","Temple","Sr.","C","41","44"
"","John Hogan","Austin Peay","So.","1B","41","44"
"","Casey McElroy","Auburn","Jr.","INF","44","44"
"","Clint Moore","Army","Sr.","INF","39","44"
"","T.J. Rich","Memphis","Jr.","1B","44","44"
"","Matt Skole","Georgia Tech","Jr.","3B","43","44"
"","Derek Trent","East Tenn. St.","Sr.","C","42","44"
"","Christian Walker","South Carolina","So.","INF","43","44"
"","Jake Watts","Gardner-Webb","Jr.","P","41","44"
"76","Eldred Barnett","Grambling","Jr.","OF","40","43"
"","Daniel Bowman","Coastal Caro.","Jr.","OF","43","43"
"","Ben Carhart","Stetson","Jr.","INF","44","43"
"","David Chester","Pittsburgh","Sr.","1B","41","43"
"","Nick Ciardiello","Holy Cross","Sr.","OF","48","43"
"","Kenny Hatcher","Dallas Baptist","Jr.","INF","43","43"
"","D.J. Hicks","UCF","Jr.","DH","43","43"
"","Mikie Mahtook","LSU","Jr.","OF","45","43"
"","Adam McFarland","Gardner-Webb","Jr.","OF","37","43"
"","Mark Micowski","Georgia St.","Sr.","OF","46","43"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","43"
"","Chad Salem","Manhattan","Sr.","INF","38","43"
"","Kevan Smith","Pittsburgh","Sr.","C","39","43"
"89","Thomas Brown","Grambling","Fr.","INF","41","42"
"","Adam Bryant","Troy","Sr.","INF","44","42"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","42"
"","John Hicks","Virginia","Jr.","C","47","42"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","42"
"","Goose Kallunki","Utah Valley","Jr.","1B","38","42"
"","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","42"
"","Chad Oberacker","Tennessee Tech","Sr.","P","41","42"
"","Robert Refsnyder","Arizona","So.","INF","43","42"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","42"
"","Matt Tenaglia","James Madison","So.","1B","45","42"
"","Luke Tendler","N.C. A&T","Fr.","INF","44","42"
"101","Jeremy Baltz","St. John's (NY)","So.","OF","39","41"
"","Jarod Berggren","Northern Colo.","Jr.","OF","40","41"
"","Trent Cook","UNLV","Jr.","1B","46","41"
"","Mac Doyle","Wofford","Jr.","C","44","41"
"","Tim Egerton","Belmont","Sr.","OF","45","41"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","41"
"","Michael Gallic","Marist","Sr.","OF","41","41"
"","Mike McGee","Florida St.","Sr.","OF","43","41"
"","Eric Oxford","Holy Cross","Sr.","1B","48","41"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","41"
"","Brent Tanner","South Ala.","Sr.","C","43","41"
"","Preston Tucker","Florida","Jr.","INF","44","41"
"","Steve Ulaky","Delaware","Sr.","1B","44","41"
"114","Landon Anderson","Dallas Baptist","Jr.","OF","43","40"
"","Ryan Dalton","UTSA","So.","INF","42","40"
"","Alex Guerra","Radford","Sr.","INF","43","40"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","40"
"","Jeff Holm","Michigan St.","Sr.","1B","40","40"
"","Jimmy Howick","Jacksonville","Jr.","INF","40","40"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","40"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","40"
"","Brandon Miller","Samford","Jr.","C","44","40"
"","Mike Nemeth","Connecticut","Sr.","INF","45","40"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","40"
"","Zach Stephens","Tennessee Tech","Fr.","1B","41","40"
"","Cory Tilton","Charlotte","Sr.","OF","43","40"
"","Mitch Wells","Central Conn. St.","Jr.","INF","41","40"
"","Mac Williamson","Wake Forest","So.","OF","43","40"
"","Joe Winker","Mercer","Sr.","OF","45","40"
"","Nate Woods","Belmont","Sr.","DH","43","40"
"131","Torsten Boss","Michigan St.","So.","INF","40","39"
"","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","39"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","39"
"","Alex Dickerson","Indiana","Jr.","OF","43","39"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","39"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","39"
"","Jake Hibberd","Wright St.","Jr.","INF","40","39"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","39"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","39"
"","Chase Jensen","Houston","So.","SS","44","39"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","39"
"","Zack Kometani","San Diego","Jr.","C","41","39"
"","Wilmy Marrero","Southern U.","Jr.","INF","40","39"
"","Caleb Ramsey","Houston","Sr.","OF","44","39"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","39"
"","Danny Stienstra","San Jose St.","Sr.","INF","46","39"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","39"
"","Mike Zunino","Florida","So.","C","44","39"
"149","Zach Amrein","Illinois St.","Sr.","1B","40","38"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","38"
"","Jason Coats","TCU","Jr.","OF","44","38"
"","Shaun Cooper","Utah","Jr.","OF","38","38"
"","Ryan Fuller","Connecticut","Jr.","INF","42","38"
"","Dan Gulbransen","Jacksonville","So.","OF","42","38"
"","Stewart Ijames","Louisville","Jr.","OF","40","38"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","38"
"","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","38"
"","Mike Martinez","FIU","Jr.","1B","43","38"
"","Daniel Palka","Georgia Tech","Fr.","1B","45","38"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","38"
"","Logan Pierce","Troy","So.","INF","44","38"
"","Barrett Serrato","Purdue","Jr.","INF","43","38"
"","Will Skinner","Middle Tenn.","Sr.","OF","44","38"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","38"
"","Preston Springer","Wichita St.","Sr.","1B","47","38"
"","Derrick Workman","Mercer","Fr.","OF","46","38"
"167","Blake Bergeron","Nicholls St.","Jr.","INF","44","37"
"","Doug Bream","Liberty","Sr.","OF","40","37"
"","Ennis Coble","Dartmouth","So.","INF","36","37"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","37"
"","Shane Davis","George Mason","Sr.","DH","45","37"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","37"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","37"
"","Jonathan Griffin","UCF","Sr.","INF","44","37"
"","Mason Katz","LSU","So.","INF","40","37"
"","Jason King","Kansas St.","Jr.","INF","43","37"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","37"
"","Ellis Lowe","Campbell","Sr.","INF","43","37"
"","Martin Medina","CSU Bakersfield","Jr.","INF","40","37"
"","Zach Rhodes","South Dakota St.","Jr.","DH","32","37"
"","Travis Shaw","Kent St.","Jr.","INF","42","37"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","37"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","37"
"","Zach Wilson","Arizona St.","Jr.","INF","41","37"
"185","Taylor Ard","Washington St.","So.","1B","39","36"
"","Colin Bear","Northwestern St.","Jr.","DH","45","36"
"","James Beck","Iona","Jr.","1B","40","36"
"","Chris Burke","Iona","Jr.","INF","41","36"
"","Brian Burton","Canisius","Sr.","1B","41","36"
"","Josh Cryer","Southeastern La.","Sr.","INF","45","36"
"","Taylor Davis","Morehead St.","Jr.","C","38","36"
"","Cole Frenzel","Arizona","So.","INF","43","36"
"","Drew Hillman","UC Irvine","Sr.","INF","40","36"
"","Matt Johns","Western Caro.","Sr.","INF","41","36"
"","Tom Lilja","Western Ill.","Jr.","OF","44","36"
"","Jeff McVaney","Texas St.","Jr.","OF","44","36"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","36"
"","Levi Michael","North Carolina","Jr.","SS","41","36"
"","Tony Montalbano","Charlotte","So.","INF","44","36"
"","Billy Moon","Gonzaga","So.","OF","38","36"
"","Jeremy Patton","FIU","Jr.","INF","43","36"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","36"
"","Dario Pizzano","Columbia","So.","OF","43","36"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","36"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","36"
"","Michael Ratterree","Rice","So.","INF","44","36"
"","Jared Reaves","Alabama","Jr.","INF","47","36"
"","Corey Shaylor","Charlotte","Sr.","INF","43","36"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","36"
"","Murray White Iv","High Point","Sr.","INF","44","36"
"211","Alex Bacon","North Florida","Fr.","OF","39","35"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","35"
"","Chris Benson","Utah Valley","Sr.","OF","38","35"
"","Michael Burruss","Ga. Southern","So.","OF","44","35"
"","William Carmona","Stony Brook","So.","INF","40","35"
"","Curt Casali","Vanderbilt","Sr.","C","41","35"
"","Phillip Chapman","Memphis","Sr.","C","43","35"
"","Pat Dameron","Delaware","Sr.","INF","43","35"
"","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","35"
"","Josh Dezse","Ohio St.","Fr.","DH","37","35"
"","Matt Duffy","Tennessee","Sr.","3B","42","35"
"","Trevor Edwards","UNC Greensboro","Jr.","C","41","35"
"","Ryan Emery","Arkansas St.","So.","DH","45","35"
"","Charles Epperson","Jackson St.","So.","OF","40","35"
"","Dominic Ficociello","Arkansas","Fr.","INF","41","35"
"","Matt Fleishman","Villanova","Jr.","OF","42","35"
"","Drew Gadaire","Davidson","Jr.","OF","39","35"
"","Steve Galella","Rider","Sr.","INF","40","35"
"","Robert Griffith","Sacred Heart","Jr.","1B","43","35"
"","Mark Haddow","UC Santa Barbara","Sr.","OF","38","35"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","35"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","35"
"","Trey Holmes","Appalachian St.","Jr.","INF","44","35"
"","Alex Jones","Northern Ill.","Jr.","INF","41","35"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","35"
"","Rob Kral","Col. of Charleston","Jr.","C","45","35"
"","Kendall Logan","Jackson St.","Jr.","OF","38","35"
"","Chris Marconcini","Duke","Fr.","1B","46","35"
"","Byron McKoy","Temple","Sr.","OF","41","35"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","35"
"","Danny Muno","Fresno St.","Sr.","INF","38","35"
"","Tom Murphy","Buffalo","So.","C","38","35"
"","Tyler Ogle","Oklahoma","Jr.","C","44","35"
"","Kevin Patterson","Auburn","Sr.","OF","43","35"
"","D.J. Peterson","New Mexico","Fr.","3B","45","35"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","35"
"","Tim Roberson","Fla. Gulf Coast","Sr.","3B","38","35"
"","Kyle Robinson","Arkansas","Sr.","OF","41","35"
"","Desmond Russell","Jackson St.","Fr.","INF","39","35"
"","Dan Schafferman","George Mason","Jr.","OF","38","35"
"","Derek Smith","Charleston So.","Sr.","1B","42","35"
"","Beau Taylor","UCF","Jr.","C","43","35"
"","Brig Tison","George Mason","Jr.","INF","47","35"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","35"
"","Drew Walsh","LIU Brooklyn","Jr.","INF","41","35"
"","Dan Ward","Ohio","Fr.","-","43","35"
"","Alex Williams","Louisiana Tech","Jr.","INF","46","35"
"","Jared Womack","Oklahoma St.","Jr.","C","42","35"
"","Kolten Wong","Hawaii","Jr.","INF","40","35"
"","Ryan Wright","Louisville","Jr.","SS","43","35"
"261","Jared Andreoli","Western Ky.","Jr.","OF","44","34"
"","Steve Antolik","High Point","Sr.","OF","44","34"
"","Matt Bergquist","North Carolina St.","So.","INF","44","34"
"","Tadd Bower","William & Mary","Jr.","INF","45","34"
"","Grant Buckner","West Virginia","Sr.","SS","43","34"
"","Emmanuel Castro","Bethune-Cookman","Sr.","INF","47","34"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","34"
"","Caleb Clowers","La.-Monroe","Jr.","INF","43","34"
"","Doug Dekoning","Milwaukee","Sr.","OF","40","34"
"","Adam Doleac","Southern Miss.","Sr.","INF","40","34"
"","Greg Dupell","Navy","So.","INF","48","34"
"","Cory Franklin","Florida A&M","Jr.","C","45","34"
"","Will Hagel","Valparaiso","Jr.","P","39","34"
"","Austin Harclerode","Towson","Sr.","1B","40","34"
"","Mike Hollenbeck","Illinois St.","Fr.","C","34","34"
"","Koby Kraemer","Indiana St.","So.","INF","42","34"
"","Dc Legg","CSU Bakersfield","Jr.","INF","38","34"
"","Wade Mathis","Lamar","Sr.","INF","45","34"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","34"
"","Anthony Melchionda","Boston College","Jr.","INF","42","34"
"","Sean Miller-Jones","Central Conn. St.","Sr.","INF","41","34"
"","Max Muncy","Baylor","So.","1B","45","34"
"","John Murphy","Sacred Heart","So.","INF","40","34"
"","Austin Nola","LSU","Jr.","INF","45","34"
"","Ricky Oropesa","Southern California","Jr.","1B","43","34"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","34"
"","Raph Rhymes","LSU","So.","INF","45","34"
"","Jimmy Rider","Kent St.","Jr.","INF","42","34"
"","Sam Roberts","VMI","Sr.","INF","44","34"
"","Rance Roundy","UNLV","Sr.","OF","40","34"
"","Jake Rowell","UALR","Sr.","INF","42","34"
"","Daniel Russell","Eastern Mich.","So.","OF","42","34"
"","Jarid Scarafiotti","Stephen F. Austin","Jr.","C","35","34"
"","Bryan Soloman","Eastern Ky.","Fr.","INF","44","34"
"","Darnell Sweeney","UCF","So.","INF","44","34"
"","Jimmy Swift","Creighton","Sr.","INF","41","34"
"","Ben Thoma","Eastern Ill.","Jr.","OF","36","34"
"","Chris Walker","Fordham","Sr.","C","43","34"
"","Jantzen Witte","TCU","So.","INF","44","34"
"300","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","33"
"","Barrett Barnes","Texas Tech","So.","OF","46","33"
"","Preston Beck","Texas-Arlington","So.","INF","44","33"
"","Scott Burkett","Longwood","Fr.","C","39","33"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","33"
"","Kes Carter","Western Ky.","Jr.","OF","40","33"
"","David Coleman","Virginia","Sr.","OF","42","33"
"","Konstantine Diamaduros","Wofford","Jr.","INF","44","33"
"","Bob Donato","Bucknell","Jr.","OF","46","33"
"","Blaise Fernandez","George Mason","Fr.","INF","43","33"
"","Alex Foltz","James Madison","Sr.","OF","37","33"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","33"
"","Anthony Gomez","Vanderbilt","So.","INF","43","33"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","33"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","33"
"","Mott Hyde","Georgia Tech","Fr.","INF","45","33"
"","Terrell Jones","Texas Southern","Sr.","INF","42","33"
"","Chris Joyce","Norfolk St.","Sr.","3B","41","33"
"","Matt Juengel","Texas A&M","Jr.","INF","43","33"
"","Kash Kalkowski","Nebraska","So.","OF","42","33"
"","Trey Karlen","UT Martin","Sr.","3B","39","33"
"","Andrew Karmeris","North Florida","Jr.","INF","41","33"
"","Brandon King","Oral Roberts","Jr.","OF","39","33"
"","Michael Letzter","Butler","Sr.","C","36","33"
"","Mike McCann","Manhattan","Sr.","OF","38","33"
"","Zac Mitchell","Belmont","Jr.","INF","45","33"
"","Tristan Moore","Wright St.","Jr.","OF","39","33"
"","Sam Mulroy","Princeton","Jr.","C","40","33"
"","Taylor Perkins","VCU","Jr.","C","39","33"
"","Angel Rosa","Alcorn St.","Fr.","INF","40","33"
"","Brent Seifert","Missouri St.","Jr.","INF","41","33"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","33"
"","Chris Taylor","Virginia","So.","INF","47","33"
"","Adrian Turner","Grambling","Sr.","INF","40","33"
"","Ryan Williams","William & Mary","So.","INF","44","33"
"","Justin Wilson","Charlotte","Sr.","OF","44","33"
"","Josh Wright","Old Dominion","Jr.","INF","38","33"
"337","Jeff Abt","Lamar","Jr.","OF","43","32"
"","Josh Adams","Florida","Sr.","INF","43","32"
"","Todd Baumgartner","Arkansas St.","Sr.","OF","46","32"
"","Johnny Bladel","James Madison","So.","OF","40","32"
"","Todd Brazeal","South Fla.","Jr.","1B","42","32"
"","Eric Cain","South Dakota St.","Jr.","SS","39","32"
"","Jordan Castaldo","Arkansas St.","Sr.","INF","46","32"
"","Eric Charles","Purdue","Jr.","INF","43","32"
"","Joey Cujas","VCU","Fr.","INF","40","32"
"","Alan Denman","Campbell","Sr.","INF","42","32"
"","John Frost","UAB","So.","INF","43","32"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","32"
"","Mike Garza","Georgetown","So.","INF","44","32"
"","Keith Hernandez","Delaware St.","Sr.","INF","44","32"
"","Brandon Hohl","Illinois","So.","3B","39","32"
"","Josh Holskey","Campbell","Jr.","INF","41","32"
"","Casey Jones","Southeast Mo. St.","Sr.","INF","42","32"
"","Brendon Kelliher","George Washington","Sr.","OF","43","32"
"","Ben Koenigsfeld","Army","Sr.","OF","40","32"
"","Chadd Krist","California","Jr.","C","40","32"
"","David Lyon","Kent St.","Jr.","C","42","32"
"","Harold Martinez","Miami (FL)","Jr.","3B","43","32"
"","Blake Martz","Troy","Jr.","C","36","32"
"","Mike McCarthy","Tex.-Pan American","Jr.","C","37","32"
"","Justin McDavid","West Virginia","Sr.","INF","43","32"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","32"
"","Brad Miller","Clemson","Jr.","INF","37","32"
"","Zach Noonan","Murray St.","Sr.","OF","39","32"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","32"
"","Jonathan Ogden","Mississippi St.","Sr.","SS","43","32"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","32"
"","Ricky Pacione","Marist","Sr.","OF","42","32"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","32"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","32"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","32"
"","Nick Rossetti","Iona","Sr.","INF","38","32"
"","Cam Schiller","Oral Roberts","Jr.","INF","39","32"
"","Richie Shaffer","Clemson","So.","INF","44","32"
"","Zach Shank","Marist","So.","SS","40","32"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","32"
"","Ben Waldrip","Jacksonville St.","Jr.","1B","36","32"
"","Travis Whitmore","Pittsburgh","Sr.","INF","41","32"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","32"
"","Garrett Wittels","FIU","Jr.","INF","44","32"
"","Stephen Yarrow","San Francisco","Sr.","INF","44","32"
"382","Jett Bandy","Arizona","Jr.","C","43","31"
"","Parker Berberet","Oregon St.","Sr.","C","35","31"
"","Taylor Black","Kentucky","Sr.","INF","45","31"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","31"
"","Andrew Caron","Mt. St. Mary's","Sr.","C","41","31"
"","Jonathan Castine","Dayton","Sr.","1B","41","31"
"","Josh Chism","Lipscomb","Sr.","OF","44","31"
"","Peter Copa","Massachusetts","Sr.","3B","35","31"
"","Nolan Earley","South Ala.","So.","OF","42","31"
"","Chris Elder","Oral Roberts","Sr.","OF","39","31"
"","Zane Evans","Georgia Tech","Fr.","C","41","31"
"","Justin Glass","Cincinnati","Fr.","OF","41","31"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","31"
"","Jacob House","Texas A&M","Jr.","INF","44","31"
"","John Lynch","Norfolk St.","Sr.","OF","41","31"
"","Stephen Marino","Stony Brook","Sr.","INF","40","31"
"","Joseph McCrary III","Savannah St.","So.","OF","47","31"
"","Tyler McFarland","James Madison","Fr.","INF","43","31"
"","Vincent Mejia","Tex.-Pan American","Jr.","INF","37","31"
"","John Moreland","Mercer","Sr.","1B","44","31"
"","Bryson Myles","Stephen F. Austin","Jr.","OF","43","31"
"","Stephen Notaro","Western Caro.","Sr.","C","37","31"
"","Bryce Nugent","Marist","Sr.","C","42","31"
"","Andrew Parker","Towson","So.","C","40","31"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","31"
"","Drew Pettit","Canisius","Jr.","INF","42","31"
"","Neal Pritchard","Elon","Sr.","INF","46","31"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","31"
"","Tony Renda","California","So.","INF","40","31"
"","Allen Riley","Pacific","Jr.","OF","38","31"
"","Eddie Rohan","Winthrop","Sr.","C","45","31"
"","Gerald Runyan","Bucknell","Jr.","OF","46","31"
"","Jeremy Schaffer","Tulane","Jr.","C","44","31"
"","Jeff Schaus","Clemson","Sr.","OF","44","31"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","31"
"","Paul Snieder","Northwestern","Jr.","INF","38","31"
"","Ryan Terry","Monmouth","Sr.","INF","43","31"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","31"
"","Kyle Weldon","Miami (OH)","Sr.","INF","43","31"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","31"
"","Bryan Willson","Central Ark.","Jr.","INF","43","31"
"","Rich Witten","Coastal Caro.","Jr.","1B","44","31"
"","Zach Wright","East Carolina","Jr.","C","44","31"
"","Jeff Zimmerman","Northern Ill.","Fr.","INF","40","31"
"426","Will Alvis","Louisiana Tech","Sr.","OF","43","30"
"","Jason Banos","Columbia","Sr.","OF","37","30"
"","Shane Basen","Charlotte","So.","INF","43","30"
"","Jeff Bland","Navy","Sr.","C","45","30"
"","Greg Brody","Belmont","Fr.","INF","45","30"
"","Nick Chinners","Charleston So.","Sr.","1B","39","30"
"","Matt Conway","Wake Forest","So.","INF","40","30"
"","Austin Cowen","Western Ill.","Jr.","INF","44","30"
"","Scott Davis","Delaware St.","Jr.","INF","43","30"
"","Pete Diresta","Albany (NY)","Jr.","OF","34","30"
"","Nolan Fontana","Florida","So.","INF","43","30"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","30"
"","Riley Good","UTSA","Fr.","OF","45","30"
"","John Harris","Gardner-Webb","So.","-","39","30"
"","Chuck Howard","New Mexico St.","Sr.","C","35","30"
"","Mike Kindel","Kansas St.","Jr.","OF","43","30"
"","Brian Knuckles","Grambling","Jr.","OF","39","30"
"","Kevin Lehane","Jacksonville","Jr.","INF","41","30"
"","Justin Mackert","Citadel","Jr.","INF","43","30"
"","Luke Maile","Kentucky","So.","C","43","30"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","30"
"","Chris Migani","Quinnipiac","Jr.","-","41","30"
"","Kyle Multner","Massachusetts","Sr.","OF","37","30"
"","Tanner Nivins","Stony Brook","So.","OF","40","30"
"","Tony Nix","UC Riverside","Sr.","OF","37","30"
"","Mathew Nowacki","Savannah St.","Sr.","INF","44","30"
"","Jeff Onstott","Dartmouth","Sr.","2B","38","30"
"","Patrick Palmeiro","UAB","Jr.","INF","44","30"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","30"
"","Rafael Perez","Prairie View","Sr.","OF","39","30"
"","Kevin Quaranto","Siena","Sr.","1B","44","30"
"","Trey Rallis","Yale","Sr.","INF","41","30"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","30"
"","Tucker Rubino","Eastern Mich.","Jr.","INF","42","30"
"","Jonathan Slattery","William & Mary","Sr.","INF","46","30"
"","Austen Smith","Alabama","Fr.","INF","47","30"
"","Zach Spahn","Coppin St.","Fr.","P","40","30"
"","Rhett Stafford","Marshall","Jr.","OF","39","30"
"","Jaren Sustar","Charleston So.","So.","INF","43","30"
"","Corey Thompson","East Carolina","Jr.","INF","42","30"
"","Matt Tracy","Ole Miss","Sr.","P","44","30"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","30"
"","Erich Weiss","Texas","Fr.","3B","44","30"
"","Brandon Williams","Georgia St.","Jr.","3B","45","30"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","30"
"471","Nick Ahmed","Connecticut","Jr.","INF","40","29"
