"Rank","Name","Team","Cl","Pos","G","2B"
"","Brian Mathews","Shorter","---","1B","28","8"
"","Nicholas McGee","Francis Marion","Jr.","C","25","8"
"","Tyler McKnight","West Tex. A&M","Sr.","OF","19","8"
"","Joey Miller","Concord","Sr.","1B","22","8"
"","Robert Montoya","Okla. Panhandle","So.","SS","29","8"
"","Jake Murray","Lewis","Sr.","OF","19","8"
"","Sean O'Brien","Tampa","Sr.","1B","25","8"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","8"
"","Nick Perez","Saint Leo","Jr.","INF","21","8"
"","Sean Plunkett","West Florida","Jr.","OF","20","8"
"","Tyler Raymond","King (TN)","Jr.","OF","30","8"
"","Matt Redfearn","West Tex. A&M","Sr.","INF","29","8"
"","Luis Rios-Reyes","Barry","Jr.","INF","18","8"
"","Brantley Rumford","Lenoir-Rhyne","Jr.","INF","24","8"
"","Chance San Miguel","Southern Nazarene","Sr.","C","28","8"
"","Austin Sanders","Ala.-Huntsville","So.","OF","28","8"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","8"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","8"
"","James Sharp","Arkansas Tech","Sr.","INF","28","8"
"","Josh Silver","Lee","Sr.","SS","30","8"
"","Joe Tipton","Carson-Newman","So.","OF","30","8"
"","Bryan Toland","Southern N.H.","Jr.","3B","18","8"
"","Ryan Uhl","Indiana (PA)","Jr.","OF","17","8"
"","Jake Vore","Southwest Baptist","Jr.","1B","24","8"
"","Gable Whitacre","St. Edward's","Fr.","C","24","8"
"","Chase Williams","Miles","So.","C","24","8"
"179","Ryan Abernathy","Northwest Mo. St.","Sr.","OF","24","7"
"","Manny Acosta","Cal St. L.A.","Sr.","INF","25","7"
"","Ruben Aguirre","Okla. Panhandle","So.","INF","30","7"
"","Brandon Alexander","Cal St. East Bay","Sr.","OF","24","7"
"","Brandan Alfson","Southwest Minn. St.","Jr.","P","17","7"
"","Deandre Allen","Mount Olive","Jr.","2B","30","7"
"","Anthony Allende","Pfeiffer","Jr.","INF","23","7"
"","James Anderson","Harding","Sr.","C","28","7"
"","Tony Audino","Colorado Mesa","So.","INF","18","7"
"","Nick Baviello","Southern Conn. St.","Jr.","INF","15","7"
"","W. Baylor","Mansfield","---","DH","14","7"
"","Thomas Berry","Lander","So.","C","30","7"
"","Christian Binger","Southwest Baptist","So.","INF","23","7"
"","Austin Botts","Lock Haven","Jr.","C","17","7"
"","Baron Bower","Fresno Pacific","So.","P","27","7"
"","Lyle Brackenridge","Academy of Art","Sr.","INF","24","7"
"","Craig Brooks","Catawba","Jr.","P","29","7"
"","Adam Chamblee","West Ala.","So.","INF","26","7"
"","Matthew Chavez","N.M. Highlands","Jr.","INF","22","7"
"","Nicholas Christopher","Virginia St.","Jr.","P","26","7"
"","Geoff Cieslewitz","King (TN)","So.","1B","21","7"
"","Weston Clarke","Belmont Abbey","So.","INF","32","7"
"","Mac Cooley","Christian Bros.","Jr.","P","26","7"
"","Chase Corn","Erskine","Sr.","OF","26","7"
"","Toby Cornejo","Emporia St.","---","SS","25","7"
"","TJ Costen","S.C. Aiken","---","3B","28","7"
"","Aaron Cox","Gannon","So.","P","18","7"
"","Frank Crinella","Merrimack","So.","INF","15","7"
"","Andy Crowley","California Baptist","Jr.","OF","28","7"
"","Kevin Cruz","Valdosta St.","Jr.","INF","25","7"
"","Alex DeBellis","Lynn","Jr.","C","29","7"
"","Stephen Dezzi","Tampa","Jr.","OF","29","7"
"","Stephen Eldridge","Ga. Southwestern","Sr.","1B","25","7"
"","Adrian English","Barry","Sr.","INF","27","7"
"","Joseph Eusebio","Cal Poly Pomona","Sr.","OF","27","7"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","7"
"","Michael Falsetti","Belmont Abbey","Sr.","C","30","7"
"","Alex Fink","Augustana (SD)","So.","INF","18","7"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","7"
"","Brad Foss","Pittsburg St.","Sr.","INF","25","7"
"","Cody Fox","Carson-Newman","Jr.","OF","31","7"
"","Kaohu Gaspar","Fresno Pacific","Sr.","OF","25","7"
"","Keegan Ghidotti","Ouachita Baptist","Sr.","P","27","7"
"","Jerrod Groves","Concord","Jr.","INF","22","7"
"","Victor Guerra","Harding","Sr.","INF","19","7"
"","Cooper Gunter","Limestone","Sr.","1B","30","7"
"","Dex Herrington","Delta St.","Sr.","OF","22","7"
"","Josh Ingram","Central Okla.","Jr.","INF","23","7"
"","Jay Jabs","Franklin Pierce","Fr.","OF","24","7"
"","Horace Johnson","Fort Hays St.","Sr.","INF","23","7"
"","Trey Kamachi","Dixie St.","Fr.","C","24","7"
"","Kyle Kempf","Southern Ind.","So.","OF","18","7"
"","Josh Kiger","Neb.-Kearney","Fr.","INF","24","7"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","7"
"","Ben Korger","Southwest Minn. St.","Sr.","SS","19","7"
"","Andrew Kozak","Erskine","Jr.","OF","26","7"
"","Nick La Face","UC San Diego","Sr.","C","20","7"
"","Albert Lefran","Lynn","Jr.","INF","28","7"
"","David Lenhardt","Cedarville","Jr.","C","20","7"
"","Jordan Lopez","Okla. Christian","Jr.","OF","23","7"
"","Neil Madsen","Tex. Permian Basin","Sr.","INF","28","7"
"","Trevor Magno","Cal Poly Pomona","Sr.","INF","27","7"
"","Mario Maldonado","St. Mary's (TX)","Jr.","P","29","7"
"","Jim Martin","Union (TN)","Jr.","1B","27","7"
"","Chas McCormick","Millersville","Fr.","OF","23","7"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","7"
"","Parker Miles","Western Ore.","Sr.","INF","27","7"
"","Clayton Miller","Armstrong","Sr.","C","26","7"
"","Scott Miller","Lincoln Memorial","Jr.","INF","30","7"
"","Nick Morelli","Northwest Nazarene","Jr.","INF","25","7"
"","Eric Moritz","McMurry","Jr.","OF","24","7"
"","Chris Morley","Adams St.","So.","OF","25","7"
"","Chris Newcomb","Saint Leo","Sr.","OF","24","7"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","7"
"","Barrett Noirfalise","Central Mo.","Sr.","OF","26","7"
"","Connor Obrochta","Tampa","Sr.","OF","27","7"
"","Nate Olinger","Colorado Mines","So.","P","21","7"
"","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","7"
"","Brandon Overstreet","Erskine","Jr.","INF","26","7"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","7"
"","Tony Piazza","Regis (CO)","Sr.","INF","21","7"
"","Jessep Polk","North Greenville","So.","OF","27","7"
"","Kyle Porter","Shepherd","Sr.","OF","21","7"
"","Logan Porter","Northwestern Okla.","Fr.","3B","26","7"
"","Tanner Rainey","West Ala.","Jr.","INF","27","7"
"","Graham Ramos","Lander","Sr.","INF","29","7"
"","Anthony Raschilla","Ohio Dominican","Sr.","INF","15","7"
"","Jerry Roam","Lindenwood (MO)","Sr.","OF","24","7"
"","Wade Rothermich","Lindenwood (MO)","Jr.","P","24","7"
"","Josh Rudnik","Young Harris","Sr.","P","31","7"
"","Lonny Schoon","Colorado St.-Pueblo","Sr.","P","22","7"
"","Cody Sherlin","Armstrong","So.","INF","26","7"
"","Nick Spini","East Central","Jr.","OF","29","7"
"","Ryan Staggs","Northeastern St.","Sr.","INF","26","7"
"","Cole Stancil","Saint Leo","So.","OF","23","7"
"","Chris Tavares","Ouachita Baptist","Sr.","C","29","7"
"","Matt Taylor","Western Ore.","Jr.","OF","27","7"
"","Kale Thaxton","Southwestern Okla.","Sr.","C","26","7"
"","Spencer Thomas","Young Harris","Jr.","C","30","7"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","7"
"","Evan Thomas","Pittsburg St.","Sr.","INF","25","7"
"","Bobby Twitty","Saint Leo","Jr.","OF","26","7"
"","Matt Urakami","Cal St. Monterey Bay","So.","INF","29","7"
"","Ramon Valdez","Barry","So.","C","19","7"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","7"
"","Ivan Vieitez","Lenoir-Rhyne","Jr.","OF","27","7"
"","Yandy Viera","Nova Southeastern","Jr.","C","19","7"
"","Brad Wilson","Central Mo.","Sr.","OF","25","7"
"","Kye Winter","Augustana (SD)","Sr.","P","17","7"
"","Tanner Woods","Chowan","Fr.","INF","26","7"
"","Jonathan Zalud","Anderson (SC)","Sr.","C","22","7"
