"Rank","Name","Team","Cl","Pos","G","AB","H"
"34","Josh Anderson","FIU","Sr.","INF","24","101","36"
"","Sean Guite","UNC Greensboro","Sr.","INF","23","90","36"
"","Kevin Newman","Arizona","So.","INF","26","110","36"
"","Tyler Sullivan","Pacific","Jr.","OF","26","101","36"
"","Francisco Tellez","UC Riverside","So.","1B","20","85","36"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","102","36"
"","Zarley Zalewski","Kent St.","So.","INF","20","78","36"
"41","Will Allen","Ole Miss","Sr.","INF","25","98","35"
"","Dalton Britt","Liberty","So.","INF","25","96","35"
"","Andrew Daniel","San Diego","Jr.","INF","22","92","35"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","98","35"
"","Tyler France","San Diego St.","So.","INF","23","86","35"
"","Zach Gibbons","Arizona","So.","OF","26","101","35"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","84","35"
"","Zach Krider","USC Upstate","Fr.","INF","25","106","35"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","98","35"
"","Edwin Rios","FIU","So.","INF","24","105","35"
"","Nick Thompson","William & Mary","Jr.","INF","22","85","35"
"","Boomer White","TCU","So.","C","23","90","35"
"53","Austin Anderson","Ole Miss","Sr.","INF","25","94","34"
"","Garrett Chapman","Ga. Southern","Fr.","INF","23","89","34"
"","Tommy Cheek","Loyola Marymount","Sr.","INF","24","92","34"
"","Chase Davis","UAB","Jr.","OF","25","102","34"
"","Clinton Freeman","East Tenn. St.","Sr.","INF","23","95","34"
"","Griff Gordon","Jacksonville St.","Sr.","OF","23","97","34"
"","P.J. Higgins","Old Dominion","So.","INF","24","107","34"
"","Casey Jones","Elon","Jr.","INF","23","90","34"
"","Alexander Lee","Radford","Sr.","INF","20","79","34"
"","Brennon Lund","BYU","Fr.","OF","24","107","34"
"","Aaron Mizell","Ga. Southern","Jr.","OF","23","93","34"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","92","34"
"","Connor Owings","Coastal Caro.","So.","INF","23","92","34"
"","Mark Payton","Texas","Sr.","OF","25","84","34"
"","Justin Protacio","Kansas","Jr.","INF","23","101","34"
"","Logan Regnier","Central Mich.","So.","OF","23","92","34"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","97","34"
"","Chris Robinson","Morehead St.","Jr.","C","23","93","34"
"","Jake Rowland","Tennessee Tech","So.","OF","24","101","34"
"","DJ Stewart","Florida St.","So.","OF","23","88","34"
"73","Jesse Baker","UTSA","So.","INF","24","101","33"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","86","33"
"","Connor Bright","South Carolina","Jr.","INF","22","83","33"
"","Aaron Brown","Pepperdine","Jr.","OF","23","91","33"
"","Stryker Brown","Ga. Southern","Sr.","INF","25","90","33"
"","Blake Butler","Col. of Charleston","So.","INF","23","96","33"
"","Hunter Cole","Georgia","Jr.","OF","25","98","33"
"","Billy Fleming","West Virginia","Jr.","2B","19","80","33"
"","Sam Foy","Davidson","So.","INF","20","86","33"
"","Colin Gay","Maine","Sr.","OF","24","98","33"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","84","33"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","90","33"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","92","33"
"","Zach Houchins","East Carolina","Sr.","3B","24","94","33"
"","Connor Joe","San Diego","Jr.","INF","23","92","33"
"","Cole Lankford","Texas A&M","Jr.","C","24","99","33"
"","Tyler Lesch","USC Upstate","Sr.","OF","25","101","33"
"","Chayse Marion","McNeese St.","Sr.","INF","22","83","33"
"","Jacob Midkiff","Presbyterian","So.","INF","25","92","33"
"","Ryan O'Hearn","Sam Houston St.","Jr.","INF","24","101","33"
"","Alex Real","New Mexico","Jr.","C","25","98","33"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","85","33"
"","Kevin Santana","Lamar","Jr.","INF","25","98","33"
"","Tyler Slaton","Clemson","Jr.","OF","23","100","33"
"","Steve Snyder","Penn St.","Sr.","OF","23","86","33"
"","Kevin Swick","Southern California","Sr.","C","22","91","33"
"","Taylor Ward","Fresno St.","So.","C","24","89","33"
"","Bo Way","Kennesaw St.","Sr.","OF","26","103","33"
"","Brock Whitney","BYU","Sr.","1B","25","97","33"
"102","Paul DeJong","Illinois St.","So.","INF","20","80","32"
"","Skyler Ewing","Rice","Jr.","INF","25","101","32"
"","Anthony Gonsolin","St. Mary's (CA)","So.","INF","23","91","32"
"","Matt Gonzalez","Georgia Tech","So.","INF","24","96","32"
"","Hunter Haley","Oklahoma","So.","INF","22","91","32"
"","Derek Hasenbeck","Xavier","Jr.","C","22","95","32"
"","Anthony Hermelyn","Oklahoma","So.","INF","25","94","32"
"","Max Kuhn","Kentucky","Jr.","INF","24","99","32"
"","Sasha LaGarde","Mercer","Sr.","OF","25","94","32"
"","Chris Mariscal","Fresno St.","Jr.","INF","23","94","32"
"","Ty McFarland","James Madison","Sr.","INF","22","94","32"
"","Kewby Meyer","Nevada","Jr.","INF","23","97","32"
"","Tj Olesczuk","Winthrop","Sr.","OF","21","74","32"
"","Dexter Price","Alabama St.","Sr.","INF","29","100","32"
"","Alex Robles","Austin Peay","Fr.","INF","22","83","32"
"","Georgie Salem","Alabama","So.","OF","23","98","32"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","88","32"
"","Jordan Simpson","Furman","So.","SS","24","103","32"
"","Scott Splett","South Dakota St.","Sr.","OF","22","87","32"
"","Deion Tansel","Toledo","So.","INF","20","76","32"
"","Micheal Thomas","Kentucky","Sr.","C","22","77","32"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","95","32"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","92","32"
"","John Welborn","UTSA","Sr.","OF","23","95","32"
"","Conor Welton","Georgia","Jr.","OF","25","100","32"
"","Tim Zier","San Diego St.","Sr.","INF","23","90","32"
"128","Drew Adams","Lipscomb","Sr.","OF","25","99","31"
"","Greg Allen","San Diego St.","Jr.","OF","23","95","31"
"","Spencer Angelis","High Point","Jr.","C","23","90","31"
"","Brett Austin","North Carolina St.","Jr.","C","21","82","31"
"","Nick Backlund","Mercer","Sr.","1B","25","92","31"
"","Jordan Betts","Duke","Sr.","INF","23","89","31"
"","Devyn Bolasky","UC Riverside","Jr.","OF","20","86","31"
"","Bobby Boyd","West Virginia","Jr.","OF","20","88","31"
"","Hunter Burton","Furman","Sr.","INF","24","97","31"
"","Andrew Calica","UC Santa Barbara","So.","OF","20","71","31"
"","Branden Castro","Alabama St.","So.","INF","29","111","31"
"","Alex Close","Liberty","Jr.","C","24","94","31"
"","Matt Conway","Wake Forest","Sr.","INF","24","97","31"
"","Robert Currie","Navy","So.","OF","23","85","31"
"","Austin Darby","Nebraska","Jr.","OF","21","85","31"
"","Brandon Delk","Longwood","Jr.","OF","25","100","31"
"","Corey Dick","UNC Wilmington","Jr.","INF","22","86","31"
"","Jameson Fisher","Southeastern La.","So.","C","23","84","31"
"","Sam Haggerty","New Mexico","So.","INF","25","106","31"
"","Greg Harrison","Furman","Sr.","1B","24","95","31"
"","Austin Hulsey","Alabama A&M","So.","INF","23","88","31"
"","Kevin Husum","James Madison","Jr.","OF","22","83","31"
"","Kendall Keeton","Missouri","Sr.","INF","23","89","31"
"","Tyler Krieger","Clemson","So.","INF","23","88","31"
"","Zack Lee","N.C. Central","Sr.","INF","23","86","31"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","91","31"
"","Aaron Machbitz","South Dakota St.","Sr.","INF","22","91","31"
"","Richie Martin","Florida","So.","INF","24","102","31"
"","Michael Massi","Mercer","Sr.","INF","25","94","31"
"","Austin Miller","Loyola Marymount","Fr.","OF","24","86","31"
"","Derek Miller","Texas-Arlington","Jr.","OF","23","101","31"
"","Dylan Moore","UCF","Jr.","INF","25","104","31"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","99","31"
"","Evan Ocello","Holy Cross","Jr.","OF","19","83","31"
"","Chris Ohmstede","Furman","Jr.","3B","24","94","31"
"","Brandon Paul","Presbyterian","Sr.","C","25","101","31"
"","Brett Pirtle","Mississippi St.","Sr.","INF","26","100","31"
"","Scott Price","Tennessee","Sr.","1B","23","89","31"
"","Heath Quinn","Samford","Fr.","OF","23","92","31"
"","A.J. Reed","Kentucky","Jr.","P","24","82","31"
"","Chase Shelton","Charleston So.","Jr.","1B","25","99","31"
"","Bradley Strong","Western Caro.","Jr.","INF","22","94","31"
"","Michael Suiter","Kansas","Jr.","OF","24","94","31"
"","Robby Sunderman","Dayton","Sr.","INF","21","79","31"
"","Dansby Swanson","Vanderbilt","So.","INF","25","98","31"
"","Matt Tenaglia","James Madison","Sr.","1B","21","78","31"
"","Nick Torres","Cal Poly","Jr.","OF","23","90","31"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","80","31"
"","Doug Votolato","Central Ark.","Sr.","INF","21","87","31"
"","Mike Warren","UTSA","Sr.","1B","24","93","31"
"","Shane Zeile","UCLA","Jr.","C","22","81","31"
"179","Cody Acker","VCU","So.","OF","23","108","30"
"","Devan Ahart","Akron","Jr.","OF","19","77","30"
"","Jimmy Allen","Cal Poly","Sr.","INF","23","93","30"
"","Brandon Angus","VMI","Jr.","OF","22","84","30"
"","Derek Atkinson","San Francisco","Jr.","OF","21","86","30"
"","Austin Bailey","San Diego","Jr.","INF","23","86","30"
"","Kevin Barker","UC Davis","Jr.","OF","20","77","30"
"","Aaron Barnett","Pepperdine","Fr.","C","23","87","30"
"","Kevin Baron","La Salle","Jr.","INF","22","87","30"
"","Jake Barrios","Texas Tech","Sr.","INF","26","102","30"
"","Brian Bien","Bowling Green","Jr.","INF","21","76","30"
"","Garrett Boulware","Clemson","Jr.","C","23","86","30"
"","Forrest Brandt","Davidson","Sr.","OF","20","80","30"
"","Alex Bregman","LSU","So.","INF","25","89","30"
"","Jacob Bruce","Kennesaw St.","Jr.","OF","26","112","30"
"","James Bunn","VCU","So.","OF","17","70","30"
"","Carter Burgess","Sam Houston St.","Jr.","P","24","95","30"
"","Kelton Caldwell","BYU","Sr.","OF","25","106","30"
"","Moses Charles","Alcorn","So.","INF","24","84","30"
"","Vincent Citro","Siena","Sr.","INF","20","82","30"
"","Keith Cormier","Nicholls St.","Sr.","OF","25","100","30"
"","Horacio Correa","UTSA","Jr.","INF","24","101","30"
"","Mason Davis","Citadel","Jr.","INF","23","92","30"
"","Tanner Donnels","Loyola Marymount","Jr.","OF","24","96","30"
"","Drew Ferguson","Belmont","Jr.","OF","23","83","30"
"","Tyler Filliben","Samford","Jr.","INF","22","83","30"
"","Austin Fisher","Kansas St.","Jr.","INF","23","85","30"
"","Jeff Gardner","Louisville","Sr.","OF","22","79","30"
"","Jackson Glines","Michigan","Jr.","OF","24","89","30"
"","Sean Godfrey","Ball St.","Sr.","OF","24","101","30"
"","Chase Griffin","Ga. Southern","Jr.","C","25","100","30"
"","Mitchell Gunsolus","Gonzaga","Jr.","INF","22","78","30"
"","Taylor Gushue","Florida","Jr.","C","24","86","30"
"","Garrett Hampson","Long Beach St.","Fr.","INF","22","89","30"
"","Jared Holley","New Mexico","So.","INF","25","91","30"
"","Cody Jones","Western Caro.","Sr.","OF","22","91","30"
"","Curtis Jones","Houston Baptist","Jr.","INF","20","88","30"
"","Pat Kelly","Nebraska","Jr.","INF","22","92","30"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","88","30"
"","Jon Kristoffersen","Saint Peter's","So.","INF","19","86","30"
"","Alex Liquori","Kennesaw St.","So.","OF","25","89","30"
"","Ryan Nagle","Illinois","So.","INF","21","82","30"
"","Brian O'Grady","Rutgers","Sr.","OF","20","76","30"
"","Rj Perucki","UTSA","Sr.","INF","24","95","30"
"","RJ Santigate","Kansas St.","Sr.","INF","23","82","30"
"","Hayden Simerly","Sam Houston St.","Jr.","OF","24","92","30"
"","Tyson Simpson Jr.","N.C. Central","Sr.","INF","23","82","30"
"","Kyle Teaf","South Fla.","Jr.","INF","23","82","30"
"227","Craig Aikin","Oklahoma","So.","OF","25","103","29"
"","Kyle Barrett","Kentucky","So.","OF","23","95","29"
"","Nick Berry","Charleston So.","Sr.","OF","23","100","29"
"","Kyle Brooks","North Florida","So.","INF","23","92","29"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","97","29"
"","Shane Conlon","Kansas St.","Jr.","INF","23","87","29"
"","Jon Crucitti","Army","Sr.","OF","20","78","29"
"","Joey Cujas","VCU","Sr.","INF","23","96","29"
"","Bobby Dalbec","Arizona","Fr.","INF","25","91","29"
"","Kyle Danford","A&M-Corpus Christi","Jr.","OF","26","101","29"
"","David Daniels","Davidson","Jr.","INF","20","88","29"
"","Matthew Dickey","Stephen F. Austin","So.","OF","18","82","29"
"","Brian Doran","Maine","Jr.","OF","24","92","29"
"","Daniel Dwyer","Illinois St.","So.","OF","21","81","29"
"","Zach Fish","Oklahoma St.","Jr.","OF","24","84","29"
"","Joe Forney","Xavier","Jr.","INF","22","99","29"
"","Kyle Gallegos","San Jose St.","Sr.","C","25","98","29"
"","Andrew Godbold","Southeastern La.","Jr.","OF","23","85","29"
"","Richard Gonzalez","Alabama St.","Jr.","C","24","90","29"
"","Griffin Gum","UAB","So.","OF","25","93","29"
"","Trevin Hall","Troy","Jr.","OF","24","93","29"
"","David Hall","Troy","Jr.","OF","22","77","29"
"","Greg Harisis","Santa Clara","Sr.","INF","20","84","29"
"","Hunter Higgerson","Radford","Jr.","INF","23","85","29"
"","Tim Hoehn","William & Mary","Fr.","INF","22","83","29"
"","Kurt Hoekstra","Western Mich.","So.","INF","20","71","29"
"","Kyler Holder","San Diego","So.","SS","23","84","29"
"","Hunter Hope","Tulane","Fr.","INF","23","92","29"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","84","29"
"","Jacob Hoyle","Western Caro.","Jr.","P","22","93","29"
"","Josh Johnson","Bethune-Cookman","Sr.","OF","25","103","29"
"","Stephen Kerr","Fla. Atlantic","Fr.","INF","24","89","29"
"","Kavin Keyes","Oregon St.","Sr.","INF","24","84","29"
"","Hunter King","UNC Greensboro","Jr.","INF","23","99","29"
"","Adam Kirsch","Texas Tech","Sr.","OF","25","87","29"
"","Josh Leemhuis","George Mason","Sr.","OF","21","80","29"
"","Ryan Lindemuth","William & Mary","---","2B","22","81","29"
"","Lee Longo","Eastern Mich.","Sr.","INF","19","75","29"
"","Mitch Longo","Ohio","Fr.","OF","18","70","29"
"","Nathan Lukes","Sacramento St.","So.","OF","23","88","29"
"","Philip Lyons","Nicholls St.","Sr.","INF","25","111","29"
"","Zac MacAneney","UNC Greensboro","Jr.","OF","21","88","29"
"","Travis Maezes","Michigan","So.","INF","23","92","29"
"","Jake Mangler","Iowa","Jr.","INF","20","78","29"
"","Jon McAllister","LIU Brooklyn","Jr.","OF","18","76","29"
"","Ryan McBroom","West Virginia","Sr.","1B","20","78","29"
"","Connor McKay","Kansas","Jr.","OF","24","93","29"
"","Einar Muniz","Alabama St.","Jr.","INF","29","89","29"
"","Wood Myers","North Carolina","Fr.","INF","23","94","29"
"","Garrett Pitts","Troy","Sr.","INF","24","95","29"
"","Frankie Ratcliff","Houston","Sr.","INF","23","92","29"
"","Brendon Sanger","Fla. Atlantic","So.","INF","24","90","29"
"","Charles Sikes","Savannah St.","Jr.","1B","23","84","29"
"","Ben Slaton","Old Dominion","Sr.","OF","24","98","29"
"","Daniel Spingola","Georgia Tech","Jr.","OF","24","89","29"
"","Evan Stephens","Wake Forest","Sr.","OF","25","91","29"
"","Cole Sturgeon","Louisville","Sr.","OF","23","97","29"
"","Kyle Survance","Houston","So.","OF","23","91","29"
"","Ryan Tella","Auburn","Sr.","OF","23","81","29"
"","Nelson Ward","Georgia","Jr.","INF","25","96","29"
"","Robert Wayman","St. John's (NY)","Jr.","2B","23","93","29"
"","Cody Zimmerman","Indiana St.","Sr.","INF","19","87","29"
