"Rank","Name","Team","Cl","Pos","G","HR"
"","Zach Wright","East Carolina","Jr.","C","44","10"
"","Josh Wright","Old Dominion","Jr.","INF","38","10"
"53","Danny Avella","Monmouth","So.","INF","35","9"
"","Alex Bacon","North Florida","Fr.","OF","39","9"
"","Thomas Carroll","Mercer","Sr.","OF","46","9"
"","David Chester","Pittsburgh","Sr.","1B","41","9"
"","Ryan Dalton","UTSA","So.","INF","42","9"
"","Mac Doyle","Wofford","Jr.","C","44","9"
"","Tim Egerton","Belmont","Sr.","OF","45","9"
"","Ryan Ferguson","Temple","Sr.","C","41","9"
"","Frazier Hall","Southern U.","Sr.","INF","41","9"
"","Jeff Harkensee","Southeastern La.","Sr.","OF","46","9"
"","Wilmy Marrero","Southern U.","Jr.","INF","40","9"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","9"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","9"
"","John Moreland","Mercer","Sr.","1B","44","9"
"","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","9"
"","Chad Oberacker","Tennessee Tech","Sr.","P","41","9"
"","Dario Pizzano","Columbia","So.","OF","43","9"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","9"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","9"
"","Jesse Sawyer","South Dakota St.","Sr.","3B","36","9"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","9"
"","Bryan Soloman","Eastern Ky.","Fr.","INF","44","9"
"","George Springer","Connecticut","Jr.","OF","45","9"
"","Preston Tucker","Florida","Jr.","INF","44","9"
"","Adam Brett Walker","Jacksonville","So.","C","42","9"
"","Christian Walker","South Carolina","So.","INF","43","9"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","9"
"","Derrick Workman","Mercer","Fr.","OF","46","9"
"81","Barrett Barnes","Texas Tech","So.","OF","46","8"
"","Brian Billigen","Cornell","Jr.","OF","36","8"
"","Chris Burke","Iona","Jr.","INF","41","8"
"","Nick Ciardiello","Holy Cross","Sr.","OF","48","8"
"","Peter Copa","Massachusetts","Sr.","3B","35","8"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","8"
"","Corey Davis","Wright St.","Jr.","C","38","8"
"","Cody Fick","Evansville","Sr.","INF","39","8"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","8"
"","Andrew Karmeris","North Florida","Jr.","INF","41","8"
"","Jason King","Kansas St.","Jr.","INF","43","8"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","8"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","8"
"","Kendall Logan","Jackson St.","Jr.","OF","38","8"
"","Carlos Lopez","Wake Forest","Jr.","OF","40","8"
"","Tom Murphy","Buffalo","So.","C","38","8"
"","Steve Nikorak","Temple","Sr.","3B","41","8"
"","Tyler Ogle","Oklahoma","Jr.","C","44","8"
"","Robby Ort","Indiana St.","So.","OF","41","8"
"","Daniel Palka","Georgia Tech","Fr.","1B","45","8"
"","Kevin Patterson","Auburn","Sr.","OF","43","8"
"","Matt Rice","Western Ky.","Sr.","C","44","8"
"","Rance Roundy","UNLV","Sr.","OF","40","8"
"","Chad Salem","Manhattan","Sr.","INF","38","8"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","8"
"","Brent Seifert","Missouri St.","Jr.","INF","41","8"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","8"
"","Derek Smith","Charleston So.","Sr.","1B","42","8"
"","Zach Stephens","Tennessee Tech","Fr.","1B","41","8"
"","Matt Tenaglia","James Madison","So.","1B","45","8"
"","Ben Waldrip","Jacksonville St.","Jr.","1B","36","8"
"","Mac Williamson","Wake Forest","So.","OF","43","8"
"","Mike Zunino","Florida","So.","C","44","8"
"114","Will Alvis","Louisiana Tech","Sr.","OF","43","7"
"","Zach Amrein","Illinois St.","Sr.","1B","40","7"
"","Austin Barrett","Mercer","So.","C","40","7"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","7"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","7"
"","Spencer Branigan","Penn","So.","1B","37","7"
"","Greg Brody","Belmont","Fr.","INF","45","7"
"","Kris Bryant","San Diego","Fr.","3B","41","7"
"","Eric Bryce","Buffalo","Sr.","P","28","7"
"","Garrett Buechele","Oklahoma","Jr.","INF","44","7"
"","Saxon Butler","Samford","Jr.","INF","45","7"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","7"
"","Shane Davis","George Mason","Sr.","DH","45","7"
"","Greg Dupell","Navy","So.","INF","48","7"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","7"
"","Dan Evatt","Baylor","Jr.","1B","26","7"
"","Nick Ferdinand","Delaware","Jr.","OF","39","7"
"","Alex Foltz","James Madison","Sr.","OF","37","7"
"","Derek Hamblen","Belmont","Sr.","OF","45","7"
"","Jabari Henry","FIU","So.","OF","41","7"
"","John Hogan","Austin Peay","So.","1B","41","7"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","7"
"","Eli Hynes","Memphis","Jr.","OF","38","7"
"","Derek Jones","Washington St.","Jr.","OF","39","7"
"","Daniel Kassouf","Appalachian St.","Jr.","INF","30","7"
"","Rob Lind","Georgia St.","Sr.","2B","46","7"
"","Luke Maile","Kentucky","So.","C","43","7"
"","Trey Mancini","Notre Dame","Fr.","INF","38","7"
"","Mike McGee","Florida St.","Sr.","OF","43","7"
"","Colin Moran","North Carolina","Fr.","3B","43","7"
"","Chris O'Brien","Wichita St.","Jr.","C","47","7"
"","Jonathan Ogden","Mississippi St.","Sr.","SS","43","7"
"","Lee Orr","McNeese St.","Jr.","INF","46","7"
"","Nick Orvin","Citadel","Jr.","OF","42","7"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","7"
"","Joe Perez","Hofstra","Jr.","INF","37","7"
"","Cameron Perkins","Purdue","So.","INF","42","7"
"","Sam Perry","North Florida","Sr.","SS","33","7"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","7"
"","James Ramsey","Florida St.","Jr.","OF","44","7"
"","Nick Rickles","Stetson","Jr.","C","44","7"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","7"
"","Brance Rivera","TCU","Jr.","OF","44","7"
"","Kyle Robinson","Arkansas","Sr.","OF","41","7"
"","Rony Rodriguez","Miami (FL)","Jr.","INF","44","7"
"","Nick Rountree","UALR","Jr.","C","38","7"
"","Matt Smith","Ole Miss","Sr.","OF","40","7"
"","Brent Tanner","South Ala.","Sr.","C","43","7"
"","Effrey Valdez","NYIT","Sr.","INF","33","7"
"","Greg Wallace","Evansville","Sr.","OF","39","7"
"","Dan Ward","Ohio","Fr.","-","43","7"
"","Kyle Weldon","Miami (OH)","Sr.","INF","43","7"
"","Ryan Williams","William & Mary","So.","INF","44","7"
"","Nate Woods","Belmont","Sr.","DH","43","7"
"","Ryan Wright","Louisville","Jr.","SS","43","7"
"","Greg Zebrack","Penn","So.","OF","39","7"
"170","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","6"
"","Judah Akers","Belmont","So.","INF","41","6"
"","Landon Anderson","Dallas Baptist","Jr.","OF","43","6"
"","Chris Baker","Old Dominion","Jr.","C","41","6"
"","Jason Banos","Columbia","Sr.","OF","37","6"
"","Todd Baumgartner","Arkansas St.","Sr.","OF","46","6"
"","James Beck","Iona","Jr.","1B","40","6"
"","Kyle Borden","Rhode Island","Sr.","OF","36","6"
"","Jackie Bradley","South Carolina","Jr.","OF","37","6"
"","Grant Buckner","West Virginia","Sr.","SS","43","6"
"","Joey Burney","Old Dominion","Fr.","INF","31","6"
"","Tony Caldwell","Auburn","Sr.","C","41","6"
"","Jordan Castaldo","Arkansas St.","Sr.","INF","46","6"
"","Emmanuel Castro","Bethune-Cookman","Sr.","INF","47","6"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","6"
"","Jason Coats","TCU","Jr.","OF","44","6"
"","Steve Cochrane","Ga. Southern","Sr.","INF","44","6"
"","Matt Conway","Wake Forest","So.","INF","40","6"
"","Will Davis","Penn","Sr.","C","39","6"
"","Sean Deegan","Penn St.","Jr.","OF","40","6"
"","Alex Dickerson","Indiana","Jr.","OF","43","6"
"","Brian Dillon","Fairleigh Dickinson","Sr.","OF","41","6"
"","Cameron Edman","Gonzaga","Sr.","C","39","6"
"","Trevor Edwards","UNC Greensboro","Jr.","C","41","6"
"","Chris Elder","Oral Roberts","Sr.","OF","39","6"
"","Mario Eramo","Penn St.","Sr.","C","38","6"
"","Kyle Farmer","Georgia","So.","INF","45","6"
"","Rudy Flores","FIU","So.","1B","40","6"
"","Cory Franklin","Florida A&M","Jr.","C","45","6"
"","Kelvin Freeman","N.C. A&T","So.","1B","42","6"
"","Michael Gallic","Marist","Sr.","OF","41","6"
"","Jason Ganek","Ill.-Chicago","Sr.","INF","36","6"
"","Josh Garcia","Arizona","Sr.","1B","35","6"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","6"
"","Jake Hibberd","Wright St.","Jr.","INF","40","6"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","6"
"","Parker Hipp","New Mexico St.","So.","C","38","6"
"","Jeff Holm","Michigan St.","Sr.","1B","40","6"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","6"
"","Cody Hudson","Austin Peay","So.","OF","39","6"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","6"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","6"
"","Trey Karlen","UT Martin","Sr.","3B","39","6"
"","Ben Koenigsfeld","Army","Sr.","OF","40","6"
"","Rob Kral","Col. of Charleston","Jr.","C","45","6"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","6"
"","Kevin Lehane","Jacksonville","Jr.","INF","41","6"
"","Ryan Mahoney","Le Moyne","So.","INF","40","6"
"","Duncan McAlpine","Dallas Baptist","So.","1B","42","6"
"","James McCann","Arkansas","Jr.","C","41","6"
"","Casey McElroy","Auburn","Jr.","INF","44","6"
"","Martin Medina","CSU Bakersfield","Jr.","INF","40","6"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","6"
"","Sean Miller-Jones","Central Conn. St.","Sr.","INF","41","6"
"","Sam Mulroy","Princeton","Jr.","C","40","6"
"","Max Muncy","Baylor","So.","1B","45","6"
"","Bryson Myles","Stephen F. Austin","Jr.","OF","43","6"
"","Trey Nielsen","Utah","Fr.","INF","36","6"
"","Chris O'Dowd","Dartmouth","So.","C","38","6"
"","Ricky Oropesa","Southern California","Jr.","1B","43","6"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","6"
"","Drew Pettit","Canisius","Jr.","INF","42","6"
"","Jordan Poirrier","La.-Lafayette","Sr.","2B","45","6"
"","Matt Pollock","Buffalo","So.","OF","38","6"
"","Neal Pritchard","Elon","Sr.","INF","46","6"
"","Nick Pulsonetti","Monmouth","Sr.","OF","39","6"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","6"
"","Robert Refsnyder","Arizona","So.","INF","43","6"
"","T.J. Rich","Memphis","Jr.","1B","44","6"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","6"
"","Preston Springer","Wichita St.","Sr.","1B","47","6"
"","Rhett Stafford","Marshall","Jr.","OF","39","6"
"","Jordan Steranka","Penn St.","Jr.","3B","41","6"
"","Luke Tendler","N.C. A&T","Fr.","INF","44","6"
"","Ryan Terry","Monmouth","Sr.","INF","43","6"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","6"
"","Marcus Way","Harvard","Jr.","1B","45","6"
"","John Wilson","Niagara","Jr.","P","38","6"
"","Jacob Wilson","Memphis","Jr.","INF","44","6"
"","Kolten Wong","Hawaii","Jr.","INF","40","6"
"","Chris Wychock","Towson","Sr.","3B","41","6"
"251","Ryan Aguayo","New Mexico St.","Sr.","INF","44","5"
"","Dave Anderson","Delaware","Sr.","INF","43","5"
"","Matt Argyropoulos","Washington St.","Sr.","3B","39","5"
"","Greg Bachman","Austin Peay","Sr.","INF","41","5"
"","Tony Balisteri","Virginia Tech","Sr.","INF","45","5"
"","Brian Barnett","Nevada","Sr.","OF","32","5"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","5"
"","Preston Beck","Texas-Arlington","So.","INF","44","5"
"","Ethan Bennett","Tennessee","Fr.","C","30","5"
"","Kyle Bluestein","Jacksonville St.","Jr.","OF","35","5"
"","Tadd Bower","William & Mary","Jr.","INF","45","5"
"","Todd Brazeal","South Fla.","Jr.","1B","42","5"
"","Zack Briggs","Appalachian St.","Jr.","INF","44","5"
"","Blake Brown","Missouri","So.","OF","40","5"
"","Billy Burns","Mercer","Jr.","OF","45","5"
"","Ben Carhart","Stetson","Jr.","INF","44","5"
"","William Carmona","Stony Brook","So.","INF","40","5"
"","Kes Carter","Western Ky.","Jr.","OF","40","5"
"","Nathan Carter","Air Force","Sr.","OF","41","5"
"","Jonathan Castine","Dayton","Sr.","1B","41","5"
"","Troy Channing","St. Mary's (CA)","Jr.","INF","39","5"
"","Tyler Christian","San Jose St.","So.","INF","45","5"
"","Andrew Ciencin","North Carolina St.","Jr.","INF","44","5"
"","Ricky Coleman","Lipscomb","So.","OF","42","5"
"","Chris Connelly","Jacksonville","Sr.","OF","36","5"
"","Zach Costello","Radford","Jr.","OF","42","5"
"","Ryan Court","Illinois St.","Sr.","INF","40","5"
"","Ryan Cowhey","Western Ill.","Jr.","OF","39","5"
"","Johnny Coy","Wichita St.","So.","INF","46","5"
"","Coley Crank","Michigan","Jr.","C","41","5"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","5"
"","Kyle Dahl","North Florida","Sr.","C","26","5"
"","Jonathan Davis","Central Ark.","Fr.","INF","36","5"
"","Alex DeLeon","Kansas","So.","C","33","5"
"","Joey DeMichele","Arizona St.","So.","INF","32","5"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","5"
"","Doug Dekoning","Milwaukee","Sr.","OF","40","5"
"","Dan DiBartolomeo","West Virginia","Jr.","2B","38","5"
"","Anthony Dilligard","Texas Southern","Jr.","OF","39","5"
"","Kerry Doane","East Tenn. St.","So.","INF","41","5"
"","Hunter Dozier","Stephen F. Austin","Fr.","INF","40","5"
"","Matt Duffy","Tennessee","Sr.","3B","42","5"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","5"
"","Zac Elgie","Kansas","Jr.","1B","43","5"
"","Chris Epps","Clemson","Sr.","OF","42","5"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","5"
"","Brad Felder","Citadel","Sr.","OF","41","5"
"","Zac Fisher","New Mexico St.","So.","C","38","5"
"","Matt Fleishman","Villanova","Jr.","OF","42","5"
"","Evan Frazier","Tennessee Tech","So.","C","30","5"
"","Drew Gadaire","Davidson","Jr.","OF","39","5"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","5"
"","Mark Ginther","Oklahoma St.","Jr.","INF","43","5"
"","Justin Gonzalez","Florida St.","So.","SS","44","5"
"","Brennan Gowens","Fresno St.","Jr.","OF","37","5"
"","Alex Guerra","Radford","Sr.","INF","43","5"
"","Dan Gulbransen","Jacksonville","So.","OF","42","5"
"","Mark Haddow","UC Santa Barbara","Sr.","OF","38","5"
"","Nick Harris","Southeast Mo. St.","Sr.","3B","19","5"
"","Ross Heffley","Western Caro.","Jr.","OF","40","5"
"","Matt Hillsinger","Radford","Jr.","OF","43","5"
"","John Hinson","Clemson","Jr.","INF","41","5"
"","Trey Holmes","Appalachian St.","Jr.","INF","44","5"
"","Ryan Huck","Western Ky.","So.","INF","41","5"
"","Matthew James","UTSA","Jr.","INF","45","5"
"","Nick Johnson","Bethune-Cookman","Fr.","-","46","5"
"","Kash Kalkowski","Nebraska","So.","OF","42","5"
"","Jared King","Kansas St.","Fr.","OF","37","5"
"","Brandon King","Oral Roberts","Jr.","OF","39","5"
"","Garrett Koster","Elon","Jr.","INF","36","5"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","5"
"","Justin Lacy","Longwood","So.","1B","40","5"
"","Dj Leonard","Bethune-Cookman","Sr.","OF","47","5"
"","Michael Letzter","Butler","Sr.","C","36","5"
"","Cameron Logan","Texas Southern","Jr.","INF","34","5"
"","Derek Luciano","UCF","Sr.","INF","39","5"
"","Jeremy Maas","Penn","Sr.","P","36","5"
"","Danny Marcuzzo","Western Ill.","Jr.","INF","37","5"
"","Tyler Marincov","North Florida","Fr.","OF","32","5"
"","Mike McCann","Manhattan","Sr.","OF","38","5"
"","Hecto Mejias","Grambling","Fr.","-","30","5"
"","Chris Migani","Quinnipiac","Jr.","-","41","5"
"","Jon Myers","Saint Louis","Sr.","3B","42","5"
"","Matt Newman","Arizona St.","Sr.","OF","37","5"
"","Bryce Nugent","Marist","Sr.","C","42","5"
"","Kody O'Connor","Le Moyne","So.","1B","42","5"
"","Ryan Oesterle","Evansville","Sr.","INF","36","5"
"","Mark Onorati","Manhattan","Sr.","OF","38","5"
"","Patrick Palmeiro","UAB","Jr.","INF","44","5"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","5"
"","Andrew Parker","Towson","So.","C","40","5"
"","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","5"
"","Mike Petello","La.-Lafayette","Sr.","OF","39","5"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","5"
"","Ryan Retz","High Point","So.","1B","44","5"
"","Zach Rhodes","South Dakota St.","Jr.","DH","32","5"
"","Justin Riddell","Cincinnati","Sr.","OF","40","5"
"","Tim Roberson","Fla. Gulf Coast","Sr.","3B","38","5"
"","Sam Roberts","VMI","Sr.","INF","44","5"
"","Daniel Rockett","UTSA","So.","OF","44","5"
"","Nick Rossetti","Iona","Sr.","INF","38","5"
"","Brett Russell","Southeast Mo. St.","Sr.","OF","32","5"
"","Desmond Russell","Jackson St.","Fr.","INF","39","5"
"","Jeremy Schaffer","Tulane","Jr.","C","44","5"
"","Ronnie Shaban","Virginia Tech","Jr.","INF","45","5"
"","Richie Shaffer","Clemson","So.","INF","44","5"
"","Alex Sherrod","Southern California","Jr.","OF","33","5"
"","Tyler Sibley","Texas St.","Jr.","INF","41","5"
"","Matt Skole","Georgia Tech","Jr.","3B","43","5"
"","Kevan Smith","Pittsburgh","Sr.","C","39","5"
"","Gray Stafford","Marshall","So.","INF","36","5"
"","Jake Stinnett","Maryland","Fr.","INF","42","5"
"","Austin Taylor","Liberty","Sr.","INF","38","5"
"","Drew Turocy","Akron","Jr.","OF","41","5"
"","Chris Vergne","A&M-Corpus Christi","Sr.","OF","46","5"
"","Stephen Wadsworth","Holy Cross","So.","C","44","5"
"","Joe Weik","TCU","Sr.","INF","40","5"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","5"
"","Matt Williams","Liberty","Jr.","INF","44","5"
"","Michael Williams","Kentucky","Jr.","C","38","5"
"","Zach Wilson","Arizona St.","Jr.","INF","41","5"
"","Wes Wilson","Indiana","Sr.","C","42","5"
"","Chris Wilson","San Diego St.","Jr.","C","42","5"
"","Patrick Wisdom","St. Mary's (CA)","So.","INF","39","5"
"","Alex Wolfe","BYU","Sr.","C","39","5"
"","Jared Womack","Oklahoma St.","Jr.","C","42","5"
"","Matt Wright","Bethune-Cookman","Sr.","OF","33","5"
"","Alex Yarbrough","Ole Miss","So.","INF","44","5"
"","Jeff Zimmerman","Northern Ill.","Fr.","INF","40","5"
"380","Josh Adams","Florida","Sr.","INF","43","4"
"","Nick Addison","Ill.-Chicago","So.","OF","39","4"
"","K.J. Alexander","Dallas Baptist","Fr.","C","25","4"
"","David Andriese","UC Riverside","Fr.","OF","35","4"
"","Steve Antolik","High Point","Sr.","OF","44","4"
"","Taylor Ard","Washington St.","So.","1B","39","4"
"","Willie Argo","Illinois","Jr.","OF","39","4"
"","Alex Aurrichio","Columbia","Jr.","1B","38","4"
"","Billy Barber","Richmond","Sr.","DH","25","4"
"","Eldred Barnett","Grambling","Jr.","OF","40","4"
"","T.J. Baumet","Ball St.","Sr.","SS","36","4"
"","Colin Bear","Northwestern St.","Jr.","DH","45","4"
"","Jose Behar","FIU","Sr.","C","38","4"
"","Anthony Bemboom","Creighton","Jr.","C","36","4"
"","Parker Berberet","Oregon St.","Sr.","C","35","4"
"","Blake Bergeron","Nicholls St.","Jr.","INF","44","4"
"","Jarod Berggren","Northern Colo.","Jr.","OF","40","4"
"","Ryan Bernal","BYU","Sr.","1B","37","4"
"","Jimmy Best","George Washington","Jr.","C","43","4"
"","Brian Blasik","Dayton","Jr.","INF","29","4"
"","Bryan Bleakley","NJIT","Jr.","C","40","4"
"","Zach Borenstein","Eastern Ill.","Jr.","OF","39","4"
"","Jayce Boyd","Florida St.","So.","1B","44","4"
"","Steven Brooks","Wake Forest","Sr.","OF","43","4"
"","Eddie Brown","Wagner","Jr.","INF","39","4"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","4"
"","Adam Bryant","Troy","Sr.","INF","44","4"
"","Chris Bullard","Western Ky.","Sr.","OF","24","4"
"","Brian Burton","Canisius","Sr.","1B","41","4"
"","Jordan Camp","Buffalo","Jr.","OF","34","4"
"","Luke Campbell","New Mexico","Jr.","OF","30","4"
"","Matt Campbell","UNC Wilmington","Jr.","INF","43","4"
"","Mike Carson","Oakland","So.","INF","34","4"
"","Cameron Cecil","Delaware St.","Fr.","C","41","4"
"","Brock Chaffin","Missouri St.","Jr.","DH","39","4"
"","Phillip Chapman","Memphis","Sr.","C","43","4"
"","Michael Chiaravalloti","Iona","Jr.","1B","35","4"
"","Tyler Chism","Gonzaga","Sr.","C","39","4"
"","Nolan Church","New Orleans","Sr.","OF","40","4"
"","Dave Ciocchi","Binghamton","Jr.","1B","37","4"
"","Travis Clark","Bucknell","So.","INF","41","4"
"","Drew Constable","Bucknell","Sr.","OF","44","4"
"","Chris Cook","George Mason","So.","INF","43","4"
"","Shaun Cooper","Utah","Jr.","OF","38","4"
"","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","4"
"","Jordan Craft","Kennesaw St.","Jr.","OF","37","4"
"","Garrett Custons","Air Force","So.","OF","45","4"
"","Jake Davies","Georgia Tech","Jr.","P","44","4"
"","Adam Davis","Illinois","Jr.","C","39","4"
"","Mitch Delfino","California","So.","INF","36","4"
"","Taylor Dugas","Alabama","Jr.","OF","47","4"
"","Austin Elkins","Dallas Baptist","So.","INF","33","4"
"","Charles Epperson","Jackson St.","So.","OF","40","4"
"","Pat Epps","Central Conn. St.","Sr.","INF","41","4"
"","Phillip Ervin","Samford","Fr.","P","43","4"
"","Carlos Escobar","Nevada","So.","C","35","4"
"","Steffan Farrell","New Orleans","Jr.","C","35","4"
"","Erick Fernandez","Georgetown","Sr.","-","41","4"
"","Tommy Flynn","Mt. St. Mary's","Sr.","OF","38","4"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","4"
"","Ben Fultz","East Carolina","Fr.","OF","36","4"
"","Alex Fuselier","La.-Lafayette","Jr.","OF","43","4"
"","Steve Galella","Rider","Sr.","INF","40","4"
"","Dan Gamache","Auburn","Jr.","INF","43","4"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","4"
"","Jumpy Garcia","A&M-Corpus Christi","Jr.","C","33","4"
"","Michael Garcia","Eastern Ky.","Jr.","OF","37","4"
"","Matt Gedman","Massachusetts","Sr.","SS","35","4"
"","Mike Gerber","Creighton","Fr.","OF","32","4"
"","Richie Goodenow","Lipscomb","Sr.","P","44","4"
"","Cameron Green","Temple","Jr.","INF","36","4"
"","Jeremy Haas","George Mason","Jr.","OF","36","4"
"","Ryan Haas","Delaware St.","So.","INF","43","4"
"","Frank Hager","Cornell","Jr.","INF","39","4"
"","James Harris","Wake Forest","Fr.","OF","38","4"
"","Nathan Hartman","Old Dominion","Sr.","OF","41","4"
"","Jon Hedges","Indiana St.","Jr.","INF","40","4"
"","Riley Henricks","Portland","Sr.","INF","37","4"
"","Jonathan Hester","Georgia","Jr.","1B","44","4"
"","John Hicks","Virginia","Jr.","C","47","4"
"","Travis Higgs","San Francisco","Sr.","C","40","4"
"","Drew Hillman","UC Irvine","Sr.","INF","40","4"
"","Paul Hoenecke","Milwaukee","Jr.","INF","40","4"
"","Brandon Hohl","Illinois","So.","3B","39","4"
"","Josh Holskey","Campbell","Jr.","INF","41","4"
"","Jackson Hood","Stephen F. Austin","Jr.","OF","39","4"
"","Jimmy Howick","Jacksonville","Jr.","INF","40","4"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","4"
"","Jeff Jefferson","Liberty","Sr.","INF","31","4"
"","Matt Johns","Western Caro.","Sr.","INF","41","4"
"","Nick Johnson","Southern Ill.","So.","OF","41","4"
"","Daniel Johnston","Pacific","Jr.","INF","38","4"
"","Zach Jones","Stanford","Sr.","INF","37","4"
"","Brant Jones","Longwood","Sr.","2B","40","4"
