"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"62","Matt Lewis","St. Scholastica","Sr.","P","8","44.7","19","10","2.01"
"63","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","16","15","2.01"
"64","Greg Van Sickler","Shenandoah","Sr.","P","12","80.3","26","18","2.02"
"65","Rocky Sawyer","Scranton","Jr.","P","9","48.7","15","11","2.03"
"66","Curtis Arsi","Rowan","Jr.","P","9","57.3","14","13","2.04"
"","David Partyka","Adrian","Sr.","P","10","57.3","16","13","2.04"
"68","Ryan Larson","Linfield","Jr.","P","12","87.7","29","20","2.05"
"69","Nathan Adams","Husson","Jr.","P","11","74.3","24","17","2.06"
"70","Matt Morgan","Lynchburg","Sr.","P","11","69.7","24","16","2.07"
"71","Sean Chitsaz","Chris. Newport","Jr.","P","12","78.0","23","18","2.08"
"","Pat Gale","Staten Island","Sr.","P","8","52.0","15","12","2.08"
"","Steven Melchiorre","Rowan","So.","P","8","52.0","13","12","2.08"
"74","Kevin Herget","Kean","So.","P","12","64.3","20","15","2.10"
"75","Thor Arnesen","Messiah","Jr.","P","10","55.7","21","13","2.10"
"76","Travis Zilg","Ramapo","So.","P","11","59.3","20","14","2.12"
"77","John LaMoure","Cal Lutheran","Jr.","P","13","71.7","24","17","2.13"
"78","Benjamin Petrides","Endicott","Jr.","P","10","42.0","13","10","2.14"
"79","Zach Schneider","Webster","Fr.","P","9","54.3","22","13","2.15"
"80","Sean Boyle","Roger Williams","Fr.","P","7","45.7","16","11","2.17"
"81","Aaron Schuldt","SUNY Cortland","Jr.","P","8","53.7","17","13","2.18"
"","Matt Wiegand","Johns Hopkins","Sr.","P","10","53.7","14","13","2.18"
"83","Sylvestor Nino","Heidelberg","Jr.","P","9","41.3","15","10","2.18"
"84","Chad Rafferty","St. Joseph's (ME)","So.","P","7","45.3","14","11","2.19"
"85","Ryan Domschot","Adrian","Sr.","P","9","57.3","21","14","2.20"
"86","Blake Paisley","Willamette","Jr.","P","10","53.0","20","13","2.21"
"87","Cody Colly","Mount Union","Sr.","P","9","44.7","17","11","2.21"
"88","Connor Henderson","TCNJ","Sr.","P","10","69.0","26","17","2.22"
"89","Micah Buss","Concordia Chicago","Sr.","P","8","52.7","16","13","2.22"
"90","Greg Goldsmith","Chris. Newport","So.","P","11","60.7","17","15","2.22"
"91","Cody Fisher","Ohio Northern","Jr.","P","10","36.0","20","9","2.25"
"92","Rob Dittrick","Pacific (OR)","So.","P","11","87.7","23","22","2.26"
"93","Jordan Zivoder","Wash. & Jeff.","Sr.","P","11","55.7","18","14","2.26"
"94","Bryan Bierlein","Chris. Newport","Fr.","P","10","51.7","19","13","2.26"
"","Jon Harasin","Moravian","Fr.","P","8","51.7","17","13","2.26"
"96","Roman Mondalto","Westfield St.","Jr.","P","8","47.7","16","12","2.26"
"97","David Massengill","Greenville","Sr.","OF","8","43.7","19","11","2.27"
"98","Ryan Pelle","Marywood","Jr.","P","11","63.3","24","16","2.27"
"99","Tyler Greene","Plattsburgh St.","Jr.","P","11","51.3","23","13","2.28"
"100","Paul Brown","Simpson","Sr.","P","8","47.0","16","12","2.30"
"101","Cole Lentz","La Roche","Fr.","P","8","43.0","13","11","2.30"
"102","Thomas Lindberg","Framingham St.","Sr.","P","8","50.7","24","13","2.31"
"103","Brandon Simon","Willamette","So.","P","10","70.0","19","18","2.31"
"104","Jordan Watkins","Lynchburg","Sr.","INF","8","42.7","16","11","2.32"
"105","Ken Smith","SUNY Oneonta","Sr.","P","9","50.3","22","13","2.33"
"106","Trevor Brucato","Skidmore","Sr.","P","10","54.0","20","14","2.33"
"107","John Rice","Huntingdon","Jr.","P","12","80.7","33","21","2.34"
"108","Brian Ranta","George Fox","Jr.","P","12","84.3","28","22","2.35"
"109","Matt Roach","Pitt.-Greensburg","Jr.","P","11","49.7","22","13","2.35"
"110","Philip Carkhuff","Dallas","Sr.","P","14","57.3","21","15","2.36"
"111","Tim Freda","Marywood","Jr.","P","9","61.0","24","16","2.36"
"112","Lucas Ilges","Mass.-Boston","Fr.","P","13","45.7","30","12","2.36"
"113","Drew Holt","Richard Stockton","So.","P","9","53.3","21","14","2.36"
"114","Mike Pereslucha","Allegheny","Sr.","P","7","38.0","17","10","2.37"
"115","Mike Moyer","Penn St.-Behrend","So.","P","7","41.7","14","11","2.37"
"116","Drew Gay","Aurora","So.","P","9","56.7","22","15","2.38"
"117","Garrett Methvin","LeTourneau","So.","P","9","63.7","26","17","2.40"
"118","Kevin Culbert","Widener","Sr.","P","8","48.3","20","13","2.42"
"119","Ryan Taylor","Gettysburg","So.","P","10","74.3","28","20","2.42"
"120","Parker Talbert","Mary Washington","Sr.","P","9","52.0","25","14","2.42"
"121","Cory Collins","Salem St.","So.","P","9","48.0","13","13","2.44"
"122","Liam O'Brien","Whitworth","Sr.","P","11","47.7","21","13","2.45"
"123","Brad Higgins","Keystone","Sr.","P","8","44.0","18","12","2.45"
"124","Matt Schimpf","Texas-Tyler","Sr.","P","11","73.0","33","20","2.47"
"125","Chris Chismar","SUNY New Paltz","So.","P","9","54.7","17","15","2.47"
"","Sean Minor","WPI","Jr.","P","9","54.7","20","15","2.47"
"127","Wade Morris","Coe","So.","INF","11","58.0","19","16","2.48"
"128","Rob Rogers","Keystone","So.","P","9","43.3","18","12","2.49"
"129","Austin Blaski","Marietta","Jr.","OF","12","57.7","18","16","2.50"
"130","Zach Lauersdorf","Wis.-La Crosse","Jr.","P","14","36.0","11","10","2.50"
"","Brandon McCloskey","Widener","So.","P","7","36.0","12","10","2.50"
"132","Jeffrey Carter","SUNY Oneonta","Jr.","P","9","43.0","22","12","2.51"
"133","Kyle Davis","Allegheny","Fr.","INF","11","53.7","22","15","2.51"
"134","Andrew Janiga","Trinity (CT)","Sr.","P","9","50.0","18","14","2.52"
"","Dylan Papa","Montclair St.","Fr.","P","12","50.0","16","14","2.52"
"","Nathan Young","Salisbury","Sr.","P","8","50.0","21","14","2.52"
"137","Mike Weinhold","Alvernia","Fr.","P","7","35.7","15","10","2.52"
"138","Bryan Henrick","Haverford","Jr.","P","12","57.0","21","16","2.53"
"139","Kiel Jindra","MIT","Fr.","P","10","46.3","22","13","2.53"
"140","Alexander Eliopoulos","Johns Hopkins","Jr.","P","10","56.7","23","16","2.54"
"141","Chuck Nicholas","Alvernia","Sr.","P","10","60.0","23","17","2.55"
"142","Greg Ball","Principia","Jr.","P","13","67.0","27","19","2.55"
"143","Kalen Mace","Dubuque","Jr.","P","9","42.3","18","12","2.55"
"144","Andrew Aizenstadt","Babson","Sr.","INF","9","56.3","18","16","2.56"
"145","Matt Boyd","Susquehanna","So.","P","10","56.0","27","16","2.57"
"","Kory Cleveland","Texas-Tyler","Sr.","P","11","63.0","22","18","2.57"
"147","Matt Robinson","Puget Sound","So.","P","10","73.0","34","21","2.59"
"148","Andrew LeBlanc","Clark (MA)","So.","P","8","52.0","18","15","2.60"
"149","Brad Orosey","Texas Lutheran","Jr.","P","12","72.7","30","21","2.60"
"150","James Connelly","La Roche","So.","P","8","45.0","19","13","2.60"
