"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"185","Jonathan Thompson","Southern Miss.","Jr.","P","11","59.0","32","19","2.90"
"186","Jordan Crane","St. Bonaventure","Jr.","P","11","40.3","17","13","2.90"
"","Steven Maxwell","TCU","Sr.","P","10","62.0","22","20","2.90"
"188","Mark Anderson","St. Mary's (CA)","Jr.","P","11","77.3","31","25","2.91"
"189","Joe Haase","Purdue","Jr.","P","13","58.7","25","19","2.91"
"190","Charles Basford","Samford","Jr.","P","12","61.7","24","20","2.92"
"191","Randall Fant","Arkansas","So.","P","15","49.3","17","16","2.92"
"192","Matthew Sisto","Hawaii","Jr.","P","11","64.7","31","21","2.92"
"193","Christian Powell","Col. of Charleston","So.","P","12","55.3","26","18","2.93"
"194","Emilio Pagan","Gardner-Webb","So.","-","12","43.0","14","14","2.93"
"195","Forrest Koumas","South Carolina","Fr.","P","13","46.0","17","15","2.93"
"196","Charlie Cononie","Towson","Sr.","P","11","64.3","22","21","2.94"
"197","Shaun Coughlin","Maine","Fr.","P","15","42.7","16","14","2.95"
"198","Joey DeNato","Indiana","Fr.","P","12","45.7","18","15","2.95"
"199","Derek Lamacchia","Quinnipiac","So.","P","9","51.7","32","17","2.96"
"","Brian Muransky","Xavier","Sr.","P","15","51.7","23","17","2.96"
"","Kyle Webb","Elon","So.","P","9","51.7","27","17","2.96"
"202","Tripp Davis","NJIT","So.","P","11","79.0","37","26","2.96"
"203","Tyler Olson","Gonzaga","Jr.","P","10","60.7","27","20","2.97"
"204","John Niggli","Liberty","Jr.","P","11","63.7","23","21","2.97"
"205","Chase Brookshire","Belmont","So.","P","11","75.7","36","25","2.97"
"206","Ben Tomchick","Old Dominion","Jr.","P","11","63.3","26","21","2.99"
"207","Tyler Gebler","Rutgers","So.","P","11","81.3","29","27","2.99"
"208","Abel Gonzales","Rice","Sr.","P","16","48.0","22","16","3.00"
"","Ray Hanson","UCF","Jr.","P","11","51.0","19","17","3.00"
"","Jonathan Montoya","CSU Bakersfield","Jr.","P","11","81.0","35","27","3.00"
"","Kyler Morgan","Longwood","So.","P","17","45.0","18","15","3.00"
"","Colin O'Connell","Cal St. Fullerton","Jr.","P","12","57.0","29","19","3.00"
"","Lex Rutledge","Samford","So.","P","12","54.0","23","18","3.00"
"","Zack Taylor","Stephen F. Austin","Jr.","P","12","57.0","28","19","3.00"
"","Bret Williams","Richmond","So.","P","11","72.0","31","24","3.00"
"","Ryan Woolley","UAB","Sr.","P","13","81.0","31","27","3.00"
"217","Kurt Wunderlich","Michigan St.","Sr.","P","11","71.7","26","24","3.01"
"218","Andrew Leenhouts","Northeastern","Jr.","P","10","65.7","26","22","3.01"
"219","Keith Bilodeau","Maine","Jr.","P","10","62.7","27","21","3.01"
"220","Dave Krasnowiecki","Central Conn. St.","Sr.","P","9","53.7","22","18","3.02"
"221","Cole Green","Texas","Sr.","P","12","65.3","27","22","3.03"
"222","Todd McInnis","Southern Miss.","Sr.","P","10","62.3","25","21","3.03"
"223","Taylor Hill","Vanderbilt","Sr.","P","11","59.3","24","20","3.04"
"224","Tim Bury","Dayton","Jr.","P","14","53.3","27","18","3.04"
"225","Jared Stafford","Dallas Baptist","Sr.","P","11","74.0","28","25","3.04"
"226","Justin Wiley","Iona","Sr.","P","11","68.0","31","23","3.04"
"227","Kyle Simon","Arizona","Jr.","P","13","85.7","36","29","3.05"
"228","Jordan Lewis","Houston","Jr.","P","12","67.7","26","23","3.06"
"229","Jonathan Meyer","Clemson","So.","P","18","47.0","17","16","3.06"
"230","Zak Hermans","Princeton","So.","P","9","58.7","28","20","3.07"
"231","Steven Gruver","Tennessee","Jr.","P","11","76.3","32","26","3.07"
"232","Matt McCormick","LIU Brooklyn","So.","P","14","55.7","24","19","3.07"
"233","Matt Iannazzo","Pittsburgh","Jr.","P","10","70.3","33","24","3.07"
"234","Lance Day","Texas-Arlington","Jr.","P","12","82.0","32","28","3.07"
"235","Adam Conley","Washington St.","Jr.","P","12","79.0","39","27","3.08"
"236","Paul Paez","San Diego","Fr.","P","21","55.3","22","19","3.09"
"237","Joe Parsons","Virginia Tech","Sr.","P","12","61.0","24","21","3.10"
"238","Alex Keudell","Oregon","Jr.","P","11","58.0","22","20","3.10"
"","Zach Sterling","Western Ill.","Jr.","P","13","58.0","28","20","3.10"
"240","Dylan Floro","Cal St. Fullerton","So.","P","20","46.3","20","16","3.11"
"241","Nathan Kilcrease","Alabama","Sr.","P","11","69.3","30","24","3.12"
"","Kyle Mullen","Saint Joseph's","So.","P","11","69.3","30","24","3.12"
"243","Brian Holmes","Wake Forest","So.","P","11","43.3","17","15","3.12"
"244","Colin Bear","Northwestern St.","Jr.","DH","11","60.3","27","21","3.13"
"245","Kyle Hald","Old Dominion","Sr.","P","10","68.7","33","24","3.14"
"246","Patrick Goelz","Bethune-Cookman","So.","P","11","54.3","26","19","3.15"
"247","Kyle Putkonen","Samford","Jr.","P","10","65.7","32","23","3.15"
"248","Cory Hall","Santa Clara","Sr.","P","11","77.0","34","27","3.16"
"249","Mike Wisecarver","Nicholls St.","Jr.","P","13","65.3","33","23","3.17"
"250","Jake Floethe","Cal St. Fullerton","Sr.","P","14","51.0","26","18","3.18"
"251","Dom Silvestri","Butler","Sr.","P","10","62.3","33","22","3.18"
"252","Phil McCormick","Missouri","Sr.","P","27","45.3","20","16","3.18"
"253","Taylor Cole","BYU","So.","P","11","65.0","43","23","3.18"
"254","Tanner Poppe","Kansas","So.","P","11","59.3","35","21","3.19"
"255","Chris Beck","Ga. Southern","So.","P","14","67.7","37","24","3.19"
"256","Eddie Gray","St. Bonaventure","So.","P","9","62.0","27","22","3.19"
"257","Nick Capito","UC Santa Barbara","Sr.","P","19","45.0","18","16","3.20"
"258","Stew Brase","Charleston So.","Sr.","P","10","61.7","40","22","3.21"
"259","Cash Collins","Wofford","Jr.","P","14","75.7","29","27","3.21"
"260","Garrett Harris","South Ala.","Sr.","P","11","81.3","35","29","3.21"
"261","R.J. Fondon","FIU","Jr.","P","11","64.3","35","23","3.22"
"262","Blake Monar","Indiana","Jr.","P","11","69.7","31","25","3.23"
"263","Dave Kubiak","Albany (NY)","Sr.","P","10","61.3","39","22","3.23"
"264","Jared West","Stephen F. Austin","Sr.","P","11","58.3","32","21","3.24"
"265","Brian Adkins","UCF","So.","P","11","61.0","25","22","3.25"
"266","Mike Jefferson","Louisiana Tech","Jr.","P","15","69.3","31","25","3.25"
"267","Charlie Lowell","Wichita St.","Jr.","P","12","72.0","31","26","3.25"
"268","Cal Bowling","Ball St.","Jr.","P","11","69.0","35","25","3.26"
"269","Cody Winiarski","Virginia","Sr.","P","10","52.3","20","19","3.27"
"270","Ken Ferrer","Elon","Sr.","P","11","63.3","29","23","3.27"
"271","Brandon Kimbrel","Sam Houston St.","Sr.","P","11","74.3","29","27","3.27"
"272","Buck Farmer","Georgia Tech","So.","P","11","71.3","37","26","3.28"
"","Brian Pendergast","Fordham","Sr.","P","11","71.3","39","26","3.28"
"274","Justin Brantley","Siena","So.","P","11","63.0","34","23","3.29"
"275","Andy Steinmetz","Central Ark.","Jr.","P","20","43.7","20","16","3.30"
"276","Alex Meyer","Kentucky","Jr.","P","11","78.7","33","29","3.32"
"277","Matt Talley","Citadel","Sr.","P","10","62.3","37","23","3.32"
"278","Nathan Hyatt","Appalachian St.","So.","P","11","65.0","30","24","3.32"
"279","Blake Barber","Missouri St.","Sr.","P","12","67.7","31","25","3.32"
"280","Charlie Benson","Massachusetts","Sr.","P","12","43.3","18","16","3.33"
"281","Heath Mayo","Brown","So.","OF","11","46.0","23","17","3.33"
"282","Brian Stroud","Western Mich.","Sr.","P","11","73.0","34","27","3.33"
"283","Zach Cooper","Central Mich.","Jr.","P","11","62.0","34","23","3.34"
"","Ethan Mildren","Pittsburgh","Fr.","P","10","62.0","30","23","3.34"
"","Stephen Peterson","Rhode Island","Sr.","P","10","62.0","27","23","3.34"
"286","Kurt McCune","LSU","Fr.","P","11","70.0","30","26","3.34"
"287","Garrett Fanchier","Belmont","Jr.","P","21","51.0","33","19","3.35"
"288","T.J. Oakes","Minnesota","So.","P","10","59.0","25","22","3.36"
"289","Matt Stites","Missouri","Jr.","P","11","72.3","32","27","3.36"
"290","Charley Olson","Georgia St.","Sr.","P","11","66.7","35","25","3.37"
"291","Alex Gonzalez","Oral Roberts","Fr.","P","13","72.0","36","27","3.38"
"","Marcus Stroman","Duke","So.","P","14","48.0","19","18","3.38"
"293","Jarred Hippen","Iowa","Jr.","P","11","71.7","37","27","3.39"
"294","Aaron Gates","Pepperdine","Jr.","P","10","63.7","26","24","3.39"
"295","Jacob Clem","Washington","Sr.","P","12","55.7","31","21","3.39"
"296","Calvin Drummond","San Diego","So.","P","11","61.0","27","23","3.39"
"","Eric Van Wyk","La Salle","Jr.","P","10","61.0","31","23","3.39"
"298","Greg Davis","UC Santa Barbara","Sr.","P","14","58.3","28","22","3.40"
"","Blake Krahenbuhl","Utah Valley","So.","P","10","53.0","25","20","3.40"
"300","Thomas Taylor","Kansas","So.","P","13","50.3","23","19","3.40"
"301","Brandon Williamson","Dallas Baptist","Sr.","P","14","79.3","33","30","3.40"
"302","John Anderson","Illinois","Sr.","P","12","68.7","34","26","3.41"
"303","Matt Crouse","Ole Miss","Jr.","P","11","71.3","33","27","3.41"
"","Chris Lamb","Davidson","Jr.","P","11","71.3","35","27","3.41"
"","Logan Verrett","Baylor","Jr.","P","12","71.3","34","27","3.41"
"306","Zack Smith","Saint Louis","Fr.","-","11","58.0","29","22","3.41"
"307","Mike Strong","Oklahoma St.","Sr.","P","11","52.7","23","20","3.42"
"308","Tony Bucciferro","Michigan St.","Jr.","P","11","73.7","30","28","3.42"
"309","Andrew Heaney","Oklahoma St.","So.","P","13","50.0","25","19","3.42"
"310","Justin Hageman","Western Ky.","Fr.","P","13","71.0","36","27","3.42"
"311","Joe Calogero","Rider","So.","P","9","57.7","34","22","3.43"
"312","Chad Martin","Indiana","Fr.","P","13","60.3","36","23","3.43"
"313","Shane Davis","Canisius","Sr.","P","11","68.0","40","26","3.44"
"314","Patrick Johnson","North Carolina","Sr.","P","11","62.7","25","24","3.44"
"315","Thomas Girdwood","Elon","Sr.","P","13","47.0","31","18","3.45"
"316","Gerrit Cole","UCLA","Jr.","P","11","75.7","33","29","3.45"
"","Brandon Efferson","Southeastern La.","Sr.","P","11","75.7","33","29","3.45"
"318","Mike Schneider","Milwaukee","Fr.","P","10","44.3","19","17","3.45"
"319","T.J. Walz","Kansas","Sr.","P","12","72.7","32","28","3.47"
"320","Nick Meyers","Monmouth","Sr.","P","10","62.3","30","24","3.47"
"321","Bryan Radziewski","Miami (FL)","Fr.","P","11","59.7","36","23","3.47"
"322","J.R. Graham","Santa Clara","Jr.","P","17","46.7","22","18","3.47"
"323","Quintavious Drains","Jackson St.","Jr.","P","13","75.0","34","29","3.48"
"324","Cole Swanson","San Diego St.","Fr.","P","11","54.3","25","21","3.48"
"325","Matt Wainman","William & Mary","So.","P","18","46.3","24","18","3.50"
"326","Rob Wendzicki","Eastern Mich.","Sr.","P","11","69.3","32","27","3.51"
"327","Dustin Crenshaw","South Ala.","Sr.","P","12","79.3","41","31","3.52"
"","Justin Jones","California","So.","P","11","79.3","37","31","3.52"
"329","Rob Chamra","North Carolina St.","Sr.","P","12","46.0","20","18","3.52"
"330","Kasceim Graham","Albany (NY)","So.","P","10","56.0","25","22","3.54"
"331","Ken Graveline","Rhode Island","Sr.","P","11","68.7","42","27","3.54"
"332","Jason Forjet","Fla. Gulf Coast","Jr.","P","15","55.7","31","22","3.55"
"333","Tj Clarkson","Citadel","Jr.","P","23","43.0","24","17","3.56"
"334","Derek Bushey","East Tenn. St.","So.","P","13","60.7","31","24","3.56"
"335","Colby Tognetti","North Dakota St.","Sr.","P","9","48.0","25","19","3.56"
"336","Andy Ferguson","Arkansas St.","Sr.","P","10","63.0","26","25","3.57"
"337","Kyle Clark","Michigan","So.","P","10","42.7","30","17","3.58"
"338","Mark Appel","Stanford","So.","P","11","65.3","28","26","3.58"
"","Austin Pritcher","Citadel","So.","P","11","65.3","35","26","3.58"
"340","Steven Evans","Liberty","Sr.","P","12","70.3","36","28","3.58"
"341","Abel Flores","Texas Southern","So.","P","14","52.7","23","21","3.59"
"342","Matt Koch","Louisville","So.","P","10","57.7","37","23","3.59"
"343","Zach Hartman","Siena","Sr.","P","11","72.7","37","29","3.59"
"344","Garrett Baker","Liberty","Jr.","P","18","45.0","21","18","3.60"
"","Luke Farrell","Northwestern","So.","P","10","60.0","32","24","3.60"
"","Brad LaBruyere","Southeast Mo. St.","Sr.","P","11","55.0","27","22","3.60"
"347","Blake Ford","Lamar","Sr.","P","12","72.3","31","29","3.61"
"348","Tyler Deetjen","Valparaiso","Jr.","P","11","74.7","39","30","3.61"
"","Taylor Hubbell","La.-Lafayette","Sr.","P","12","74.7","32","30","3.61"
"350","Jordan Beistline","Jacksonville St.","Sr.","P","9","42.3","23","17","3.62"
"351","Jake Sabol","Central Mich.","Jr.","P","11","59.7","31","24","3.62"
"352","Aaron Griffin","Loyola Marymount","So.","P","15","44.7","25","18","3.62"
"","Stefan Olson","Columbia","So.","P","9","44.7","20","18","3.62"
"354","Jason Wheeler","Loyola Marymount","Jr.","P","10","72.0","32","29","3.63"
"355","Jon Richard","Xavier","So.","P","11","67.0","32","27","3.63"
