"Rank","Name","Team","Cl","Pos","G","SF"
"","Montana Timmons","Wabash","So.","OF","41","4"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","4"
"","Kyle Vanidestine","Husson","Jr.","OF","41","4"
"","Rich Velotta","Bates","Sr.","OF","23","4"
"","Alex Vescera","Frank. & Marsh.","So.","INF","31","4"
"","Nick Vitelli","Penn St.-Berks","So.","SS","36","4"
"","Jordan Walton","Randolph-Macon","Jr.","1B","42","4"
"","Jeb Weymouth","Randolph-Macon","So.","OF","42","4"
"","Nathan Wimmer","Emory & Henry","Fr.","C","26","4"
"","Nick Windom","Emory & Henry","Sr.","1B","30","4"
"","Jordan Witmer","Lebanon Valley","Jr.","C","32","4"
"","Matt Yaeger","Johnson & Wales (RI)","Sr.","INF","41","4"
"","Taylor Zambreski","Howard Payne","Sr.","OF","35","4"
"","Ryan Zielinski","Castleton","So.","2B","35","4"
