"Rank","Name","Team","Cl","Pos","G","AB","H"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","176","66"
"","Jeff Roy","Rhode Island","So.","OF","45","180","66"
"","Tyler Sciacca","Villanova","Sr.","SS","45","177","66"
"","Kevin Wager","Villanova","Sr.","1B","45","184","66"
"48","Ryan Ashe","Wright St.","Sr.","OF","43","166","65"
"","Roger Bernal","Tex.-Pan American","Sr.","INF","36","153","65"
"","Royce Bolinger","Gonzaga","Sr.","OF","41","173","65"
"","Austin Cousino","Kentucky","Fr.","OF","44","187","65"
"","Daniel Kassouf","Appalachian St.","Sr.","INF","41","167","65"
"","Jake Kirkland","Campbell","Jr.","INF","45","172","65"
"","Trent Miller","Middle Tenn.","So.","C","46","178","65"
"","Logan Pierce","Troy","Jr.","INF","44","168","65"
"","Nick Schneeberger","Tulane","Sr.","INF","44","170","65"
"","Jordan Steranka","Penn St.","Sr.","3B","44","178","65"
"","Chris Taladay","UCF","Jr.","INF","45","192","65"
"","Ryan Walker","Texas-Arlington","So.","INF","44","184","65"
"","Tyler White","Western Caro.","Jr.","INF","44","168","65"
"61","Bo Altobelli","Texas Tech","Jr.","C","46","181","64"
"","Aaron Attaway","Western Caro.","So.","INF","44","198","64"
"","Cameron Bentley","UALR","Sr.","OF","42","178","64"
"","Stephen Bruno","Virginia","Jr.","INF","44","177","64"
"","Saxon Butler","Samford","Sr.","INF","45","180","64"
"","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","185","64"
"","Andrew Daniel","San Diego","Fr.","INF","43","178","64"
"","Bob Donato","Bucknell","Sr.","OF","46","177","64"
"","Zac Fisher","New Mexico St.","Jr.","C","43","169","64"
"","Ronnie Freeman","Kennesaw St.","Jr.","C","48","186","64"
"","Jared Hammer","Hofstra","Jr.","1B","42","158","64"
"","Travis Jankowski","Stony Brook","Jr.","OF","44","164","64"
"","Mike Miller","Cal Poly","Sr.","INF","42","179","64"
"","Ian Parmley","Liberty","Sr.","OF","48","201","64"
"","Robert Refsnyder","Arizona","Jr.","OF","42","168","64"
"","Ryan Tella","Auburn","So.","OF","44","170","64"
"77","Eric Charles","Purdue","Sr.","INF","40","160","63"
"","Joey Cujas","VCU","So.","INF","44","158","63"
"","Rick Devereaux","Pittsburgh","Sr.","C","42","177","63"
"","Sam Dove","Georgia Tech","Jr.","INF","45","180","63"
"","Clinton Freeman","East Tenn. St.","So.","P","43","172","63"
"","Anthony Gomez","Vanderbilt","Jr.","INF","44","176","63"
"","Erik Hink","Niagara","Sr.","3B","40","170","63"
"","Trevor Kirk","UNLV","Sr.","OF","40","161","63"
"","Chad Pinder","Virginia Tech","So.","INF","44","177","63"
"86","Joey Bielek","Cincinnati","Fr.","INF","45","184","62"
"","Jeff Cammans","Rhode Island","Sr.","OF","45","185","62"
"","William Carmona","Stony Brook","Jr.","INF","44","166","62"
"","Billy Ferriter","Connecticut","Jr.","OF","41","174","62"
"","Matt Ford","Hofstra","Jr.","INF","39","159","62"
"","Ross Heffley","Western Caro.","Sr.","OF","44","179","62"
"","Andrew Kubuski","Bowling Green","So.","OF","42","163","62"
"","Pete Leonello","LIU Brooklyn","So.","OF","47","184","62"
"","Jake Madsen","Ohio","Fr.","P","43","169","62"
"","Kevin McKague","Army","Sr.","1B","46","167","62"
"","Sean Moysh","Utah Valley","Jr.","OF","41","165","62"
"","Cameron Perkins","Purdue","Jr.","INF","40","169","62"
"","Brandon Thomas","Georgia Tech","Jr.","OF","44","171","62"
"99","Brandon Bayardi","UNLV","Jr.","OF","44","164","61"
"","Brian Blasik","Dayton","Sr.","INF","45","191","61"
"","Michael Burruss","Ga. Southern","Jr.","OF","45","193","61"
"","Will Callaway","Appalachian St.","Jr.","INF","41","166","61"
"","Ben Carhart","Stetson","Sr.","INF","43","174","61"
"","Drew Dosch","Youngstown St.","So.","INF","41","166","61"
"","Phillip Ervin","Samford","So.","P","45","183","61"
"","Matt Fleishman","Villanova","Sr.","OF","45","184","61"
"","C.J. Gillman","Dayton","Sr.","INF","45","180","61"
"","Jeremy Lucas","Indiana St.","Jr.","C","45","170","61"
"","Jamodrick McGruder","Texas Tech","Jr.","INF","45","160","61"
"","Ethan Newton","Ohio","Sr.","OF","43","197","61"
"","James Ramsay","South Fla.","So.","OF","45","179","61"
"","Tony Renda","California","Jr.","INF","41","167","61"
"","Zeth Stone","Samford","Jr.","INF","45","185","61"
"","Zach Wentz","North Dakota St.","Sr.","INF","43","175","61"
"","Matt Wessinger","St. John's (NY)","Sr.","2B","44","171","61"
"","Steve Wilkerson","Clemson","So.","INF","42","189","61"
"117","Mike Albaladejo","Fla. Atlantic","Sr.","C","43","167","60"
"","Shane Brown","Charlotte","Sr.","OF","39","157","60"
"","Derrick Chung","Sacramento St.","Sr.","C","44","170","60"
"","Ryan Gebhardt","Louisiana Tech","So.","SS","43","181","60"
"","Adam Hilker","Northern Colo.","Sr.","INF","42","161","60"
"","Corey LeVier","San Diego","Sr.","INF","43","163","60"
"","Ryan Lindemuth","William & Mary","So.","INF","45","170","60"
"","Ryan McCauley","Niagara","Jr.","1B","40","160","60"
"","Jonathan Pace","Southeastern La.","Sr.","INF","45","169","60"
"","Jake Rickenbach","Utah Valley","Sr.","SS","41","165","60"
"","Christian Stringer","Rice","Jr.","INF","41","165","60"
"","Max White","Oklahoma","Jr.","INF","44","165","60"
"129","Jimmy Allen","Cal Poly","So.","INF","42","167","59"
"","Barrett Barnes","Texas Tech","Jr.","OF","47","175","59"
"","Sean Bignall","UALR","Sr.","OF","43","167","59"
"","Ryan Brenner","Miami (OH)","Sr.","OF","45","192","59"
"","Billy Burgess","Utah Valley","Sr.","OF","40","154","59"
"","Chris Burke","Iona","Sr.","INF","43","164","59"
"","Garrett Cannizaro","Tulane","Jr.","INF","44","183","59"
"","Frank DeSico","Notre Dame","Jr.","INF","42","181","59"
"","David Duffett","Bucknell","Sr.","INF","47","185","59"
"","Austin Elkins","Dallas Baptist","Jr.","INF","39","150","59"
"","Alex Friedrich","UCF","Sr.","OF","44","167","59"
"","Reed Harper","Austin Peay","Jr.","INF","43","180","59"
"","Austin Heaps","Utah Valley","Sr.","OF","41","153","59"
"","Jeff Kemp","Radford","Jr.","INF","41","172","59"
"","Jared King","Kansas St.","So.","OF","43","170","59"
"","Josh Ludy","Baylor","Sr.","C","43","159","59"
"","L.J. Mazzilli","Connecticut","Jr.","INF","43","178","59"
"","Michael Pritchard","Nebraska","So.","OF","43","157","59"
"","George Roberts","Kent St.","Jr.","INF","43","160","59"
"","Matt Snyder","Ole Miss","Sr.","INF","44","166","59"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","152","59"
"","Trea Turner","North Carolina St.","Fr.","INF","42","166","59"
"","Ben Woodchick","New Mexico","Sr.","INF","43","176","59"
"152","Evan Boyd","Mercer","Jr.","SS","47","172","58"
"","Kris Bryant","San Diego","So.","3B","44","162","58"
"","Luis Diaz","N.C. Central","Jr.","OF","44","157","58"
"","Hunter Dozier","Stephen F. Austin","So.","INF","44","169","58"
"","Adam Frazier","Mississippi St.","So.","INF","44","169","58"
"","Jeff Gelalich","UCLA","Jr.","OF","40","152","58"
"","Chase Greenwell","Morehead St.","Jr.","SS","43","167","58"
"","Ryan Haas","Delaware St.","Jr.","INF","42","152","58"
"","Bobby Ison","Charleston So.","Fr.","OF","43","174","58"
"","Justin Lacy","Longwood","Jr.","DH","39","147","58"
"","Austin Montgomery","Southern Ill.","Jr.","INF","44","180","58"
"","Ben Moore","Alabama","Fr.","C","45","165","58"
"","Jordan Parr","Illinois","So.","INF","43","160","58"
"","Daniel Pigott","Florida","Sr.","OF","45","173","58"
"","Kevin Plawecki","Purdue","Jr.","C","41","156","58"
"","Matt Pollock","Buffalo","Jr.","OF","38","159","58"
"","Thomas Pope","UNC Wilmington","Sr.","OF","41","161","58"
"","Mark Quaranta","Mt. St. Mary's","Jr.","C","46","164","58"
"","James Ramsey","Florida St.","Sr.","OF","43","149","58"
"","Nick Ratajczak","Louisville","Jr.","2B","44","174","58"
"","Marquis Riley","N.C. A&T","Sr.","2B","43","168","58"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","58"
"","Joe Sever","Pepperdine","Jr.","2B","40","161","58"
"","Richie Shaffer","Clemson","Jr.","INF","45","167","58"
"","Creede Simpson","Auburn","Sr.","OF","44","174","58"
"","Chesny Young","Mercer","Fr.","INF","47","168","58"
"178","Aaron Barbosa","Northeastern","So.","OF","38","163","57"
"","Kevin Bower","Miami (OH)","Jr.","INF","44","167","57"
"","Thomas Brown","Grambling","So.","INF","35","145","57"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","166","57"
"","Joe Corfman","Toledo","Sr.","INF","44","181","57"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","164","57"
"","Mac Doyle","Wofford","Sr.","C","43","163","57"
"","Johnny Field","Arizona","So.","OF","42","161","57"
"","Kelvin Freeman","N.C. A&T","Jr.","1B","42","168","57"
"","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","173","57"
"","Kai Hatch","Utah Valley","Jr.","INF","41","162","57"
"","Rhys Hoskins","Sacramento St.","Fr.","INF","41","156","57"
"","Eric Jagielo","Notre Dame","So.","OF","42","166","57"
"","Sam Kimmel","Stetson","Jr.","C","43","165","57"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","143","57"
"","Mike Kozlowski","Murray St.","Jr.","INF","44","177","57"
"","Scott LeJeune","Texas Tech","Jr.","OF","47","185","57"
"","Louie Lechich","San Diego","Fr.","P","44","172","57"
"","Philip Lyons","Nicholls St.","So.","INF","43","167","57"
"","Alex Maldonado","Holy Cross","Jr.","INF","49","191","57"
"","Tyler Marincov","North Florida","So.","OF","43","160","57"
"","Mike Martinez","FIU","Sr.","1B","40","146","57"
"","Brendan McGaheran","Lehigh","Sr.","SS","49","187","57"
"","Zach Price","Army","Sr.","INF","47","178","57"
"","Joey Rapp","La.-Monroe","Sr.","INF","44","168","57"
"","Dan Schafferman","George Mason","Sr.","OF","45","176","57"
"","Adrian Schenk","Northern Colo.","Sr.","OF","42","149","57"
"","Richard Stock","Nebraska","Jr.","C","39","154","57"
"","Sam Travis","Indiana","Fr.","INF","45","175","57"
"","Devon Travis","Florida St.","Jr.","2B","43","172","57"
"","Austin Wulf","Tennessee Tech","Jr.","OF","43","176","57"
"209","Beau Amaral","UCLA","Jr.","OF","40","169","56"
"","Landon Anderson","Dallas Baptist","Sr.","OF","43","166","56"
"","Andrew Bain","Valparaiso","Jr.","INF","41","181","56"
"","Pat Blair","Wake Forest","Jr.","INF","45","182","56"
"","Kyle Burnam","Indiana St.","Sr.","OF","45","179","56"
"","Johnny Coy","Wichita St.","Jr.","INF","47","176","56"
"","Jake Davies","Georgia Tech","Sr.","P","45","165","56"
"","Taylor Dugas","Alabama","Sr.","OF","45","169","56"
"","Kyle Farmer","Georgia","Jr.","INF","44","192","56"
"","Dominic Ficociello","Arkansas","So.","INF","43","161","56"
"","Richard Gonzalez","Alabama St.","Fr.","C","48","182","56"
"","Casey Goss","James Madison","Jr.","SS","45","189","56"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","161","56"
"","Travis Isaak","Murray St.","Sr.","INF","42","181","56"
"","Alex Kelly","Saint Louis","Jr.","OF","43","168","56"
"","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","145","56"
"","Tanner Mathis","Ole Miss","Jr.","OF","44","168","56"
"","Anthony Melchionda","Boston College","Sr.","INF","44","173","56"
"","Zac Mitchell","Belmont","Sr.","INF","44","153","56"
"","Jacob Morley","VMI","Sr.","OF","44","170","56"
"","Brent Ohrman","Eastern Mich.","Sr.","INF","40","164","56"
"","David Olson","Campbell","Jr.","P","43","156","56"
"","Will Owens","Furman","Sr.","OF","42","166","56"
"","Ryan Padilla","New Mexico","Fr.","OF","40","154","56"
"","Hunter Ridge","UNC Wilmington","Jr.","INF","44","171","56"
"","Jamie Rosenkranz","Monmouth","Sr.","INF","47","186","56"
"","Logan Vick","Baylor","Jr.","OF","45","162","56"
"","Adam Brett Walker","Jacksonville","Jr.","1B","45","165","56"
"","Ty Wiesemeyer","Illinois St.","Sr.","OF","39","154","56"
"","Derrick Workman","Mercer","So.","OF","47","167","56"
"","Mike Zunino","Florida","Jr.","C","44","167","56"
"240","Andrew Aplin","Arizona St.","Jr.","OF","43","178","55"
"","Taylor Ard","Washington St.","Jr.","1B","39","167","55"
"","Greg Bachman","Austin Peay","Sr.","3B","42","181","55"
"","Torsten Boss","Michigan St.","Jr.","OF","42","167","55"
"","Tim Carver","Arkansas","Sr.","INF","43","166","55"
"","Cameron Cecil","Delaware St.","So.","C","43","153","55"
"","Chad Christensen","Nebraska","Jr.","OF","43","174","55"
"","Josh Dezse","Ohio St.","So.","DH","44","168","55"
"","Greg Dupell","Navy","Jr.","INF","48","170","55"
"","Michael Fuda","Rice","Sr.","OF","42","175","55"
"","Bradley Goodson","Col. of Charleston","Jr.","INF","44","187","55"
"","Ashley Graeter","Southern Miss.","Sr.","INF","43","164","55"
"","Austin Grisham","Eastern Ky.","Jr.","OF","41","171","55"
"","Jake Gronsky","Monmouth","So.","INF","47","181","55"
"","Jordan Hagel","Maryland","Jr.","OF","47","170","55"
"","Cale Hanson","Yale","So.","INF","45","162","55"
"","Jon Hedges","Indiana St.","Sr.","INF","45","178","55"
"","Matt Hillsinger","Radford","Sr.","OF","43","158","55"
"","Joel Hutter","Dallas Baptist","Sr.","INF","43","166","55"
"","Eli Hynes","Memphis","Sr.","OF","44","174","55"
"","Cody Jones","Western Caro.","So.","OF","41","155","55"
"","Mason Katz","LSU","Jr.","1B","44","157","55"
"","Cody Keefer","UCLA","Jr.","OF","39","149","55"
"","Justin Lesson","Georgetown","Jr.","OF","41","168","55"
"","Luke Maile","Kentucky","Jr.","C","45","167","55"
"","Josh Melendez","New Mexico","Jr.","INF","43","166","55"
"","Brennan Middleton","Tulane","Jr.","INF","43","151","55"
"","Brad Moss","Samford","Sr.","C","44","162","55"
"","Max Muncy","Baylor","Jr.","1B","46","175","55"
"","Brian O'Grady","Rutgers","So.","OF","43","169","55"
"","Dan Olinger","Minnesota","So.","C","46","171","55"
"","Jensen Park","Northern Colo.","Fr.","OF","43","154","55"
"","Drew Pettit","Canisius","Sr.","INF","46","163","55"
"","Sal Pezzino","High Point","Sr.","INF","40","152","55"
"","Phil Pohl","Clemson","Sr.","C","45","180","55"
"","Jeremy Rathjen","Rice","Jr.","OF","42","157","55"
"","Robbie Rea","Oklahoma St.","Jr.","INF","43","168","55"
"","Joey Rickard","Arizona","Jr.","OF","38","162","55"
"","Mason Robbins","Southern Miss.","Fr.","OF","41","159","55"
"","Jeremy Schaffer","Tulane","Sr.","C","44","166","55"
"","T.J. Shantz","FIU","Jr.","INF","43","182","55"
"","Ty Stetson","Murray St.","So.","OF","44","169","55"
"","Maxx Tissenbaum","Stony Brook","Jr.","INF","42","150","55"
"","Zach Vincej","Pepperdine","Jr.","SS","40","161","55"
"","Cullen Wacker","Auburn","Jr.","OF","43","153","55"
"","Erich Weiss","Texas","So.","3B","41","162","55"
"","Chris Wolfe","Grambling","Sr.","INF","41","160","55"
"","John Wooten","East Carolina","Jr.","1B","43","173","55"
