"Rank","Name","Team","Cl","Pos","G","RBI"
"121","Eric Barbieri","Newberry","Sr.","INF","31","23"
"","Greg Brodzinski","Barry","Jr.","C","24","23"
"","Justin Buchanan","Southern Ark.","So.","C","31","23"
"","Josh Clark","Wingate","Jr.","C","28","23"
"","Paul Como","Anderson (SC)","Sr.","OF","31","23"
"","Tyler Gaby","King (TN)","Sr.","OF","32","23"
"","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","23"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","23"
"","Tyler Kellmann","Barry","Sr.","3B","28","23"
"","Erik Lunde","Lander","Sr.","INF","30","23"
"","Justin Manning","Mount Olive","Jr.","3B","27","23"
"","Tyler Moore","S.C. Aiken","So.","OF","27","23"
"","Sean O'Brien","Tampa","Sr.","1B","25","23"
"","Connor Obrochta","Tampa","Sr.","OF","27","23"
"","Mike Reed","Valdosta St.","Jr.","SS","25","23"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","23"
"","Chris Scura","Limestone","Jr.","SS","30","23"
"","Dylan Watts","St. Edward's","So.","INF","29","23"
"139","Nathan Antoun","California Baptist","Jr.","OF","26","22"
"","Jeremy Bajdaun","West Florida","Sr.","INF","26","22"
"","Christian Binger","Southwest Baptist","So.","INF","23","22"
"","Dillion Bollig","Adams St.","So.","2B","25","22"
"","Dominic Brugnoni","Fla. Southern","Jr.","INF","27","22"
"","JC Cardenas","Barry","So.","SS","27","22"
"","Patrick Castleberry","Arkansas Tech","Jr.","C","28","22"
"","David Chew","Mo. Western St.","Sr.","OF","24","22"
"","Lel Clemmons","Winston-Salem","---","CF","31","22"
"","Brendan Collins","Columbus St.","Jr.","OF","32","22"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","22"
"","Chase Edwards","Mount Olive","Jr.","3B","27","22"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","22"
"","Kyle Fultz","Southern Nazarene","Jr.","C","24","22"
"","T.J. Giczkowski","Coker","Sr.","INF","28","22"
"","Justin Harris","Emporia St.","Jr.","OF","25","22"
"","Keaton Hawks","Catawba","Sr.","OF","29","22"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","22"
"","Mike Jurgella","St. Cloud St.","Jr.","C","17","22"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","22"
"","Chris Knott","East Stroudsburg","Sr.","OF","19","22"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","22"
"","KJ McAllister","Limestone","Sr.","SS","30","22"
"","Ryan Messina","Shepherd","Sr.","C","21","22"
"","Sean Miller","S.C. Aiken","So.","INF","28","22"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","22"
"","Ryan Sabalaskey","Georgia College","Sr.","INF","25","22"
"","Kale Thaxton","Southwestern Okla.","Sr.","C","26","22"
"","Fran Whitten","Saint Leo","Sr.","P","27","22"
"168","Mike Abraham","Eckerd","Jr.","C","23","21"
"","Brandon Alexander","Cal St. East Bay","Sr.","OF","24","21"
"","Daniel Bick","Georgia College","Sr.","INF","25","21"
"","Tyler Blair","Dixie St.","Sr.","1B","31","21"
"","Austin Botts","Lock Haven","Jr.","C","17","21"
"","Jordan Brower","Azusa Pacific","Jr.","1B","22","21"
"","Joel Buchko","Palm Beach Atl.","Sr.","C","26","21"
"","Kyle Conkle","North Ala.","Jr.","P","31","21"
"","Andy Crowley","California Baptist","Jr.","OF","28","21"
"","David Goggin","Angelo St.","So.","C","29","21"
"","Patrick Grady","Lander","Sr.","OF","30","21"
"","Ray Johnson","Ark.-Monticello","Sr.","OF","29","21"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","21"
"","Carlos Leal","Delta St.","Sr.","C","21","21"
"","Zachary Lowe","Morehouse","---","C","23","21"
"","Mike McClellan","Columbus St.","So.","1B","22","21"
"","Eric McGlauflin","Northwest Mo. St.","Sr.","3B","20","21"
"","Ryan Metzler","S.C. Aiken","Jr.","INF","28","21"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","21"
"","Kyle Peralta","Cal St. L.A.","Jr.","OF","25","21"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","21"
"","Ryan Poppitz","Concordia-St. Paul","So.","3B","12","21"
"","Ethan Satterfield","Catawba","Sr.","OF","29","21"
"","Joe Tipton","Carson-Newman","So.","OF","30","21"
"","Brandon Walker","Lenoir-Rhyne","Sr.","OF","31","21"
"","Brad Wilson","Central Mo.","Sr.","OF","25","21"
"","Spencer Wolfe","Shepherd","Jr.","C","21","21"
"","Landon Young","Southwest Baptist","Sr.","INF","24","21"
"196","Connor Andrus","Winston-Salem","Sr.","C","31","20"
"","W. Baylor","Mansfield","---","DH","14","20"
"","Kyle Booth","Limestone","Jr.","1B","30","20"
"","Troy Cruz","UC San Diego","So.","P","21","20"
"","Marquis Curry","Francis Marion","Sr.","OF","27","20"
"","Kevin Czarnecki","Fort Hays St.","Jr.","INF","22","20"
"","Patrick Dickerson","Morehouse","So.","INF","25","20"
"","Wendell Ferguson","Claflin","Fr.","OF","21","20"
"","Cody Fox","Carson-Newman","Jr.","OF","31","20"
"","Max Gagnon","UNC Pembroke","Sr.","C","18","20"
"","Zach Gawrych","Tampa","Sr.","OF","25","20"
"","Brandon Huske","Northwest Mo. St.","Sr.","INF","22","20"
"","Fico Kondla","Coker","Sr.","3B","28","20"
"","Nick La Face","UC San Diego","Sr.","C","20","20"
"","David Lenhardt","Cedarville","Jr.","C","20","20"
"","Zac Lenns","Francis Marion","Jr.","INF","25","20"
"","Alex Mata","Saint Leo","Fr.","INF","24","20"
"","Mike McGraw","Georgia College","---","3B","24","20"
"","Daniel McNabb","Western Ore.","Sr.","OF","27","20"
"","Zak Orrison","Mount Olive","So.","2B","30","20"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","20"
"","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","20"
"","Kevin Price","Pfeiffer","Sr.","OF","30","20"
"","Tanner Rainey","West Ala.","Jr.","INF","27","20"
"","Luis Rios-Reyes","Barry","Jr.","INF","18","20"
"","Vinny Rodriguez","Montevallo","Jr.","OF","23","20"
"","Brad Sevenish","Stillman","Sr.","C","26","20"
"","Kyle Singleton","Northeastern St.","Sr.","OF","26","20"
"","Cole Stancil","Saint Leo","So.","OF","23","20"
"","Chance Wolfe","Southwest Baptist","Fr.","OF","22","20"
"","Austin Wulf","Northwest Mo. St.","Fr.","OF","23","20"
