"Rank","Name","Team","Cl","Pos","App","IP","SV"
"","Chris Anderson","Jacksonville","Fr.","P","22","32.7","8"
"","Caleb Dudley","Louisiana Tech","So.","P","23","42.0","8"
"","Jonathan Smart","Alabama","Sr.","P","23","44.7","8"
"56","Ryan Nance","UAB","Jr.","P","16","27.0","7"
"","Jason West","Stephen F. Austin","Jr.","P","16","29.0","7"
"","Adam Boydston","Texas-Arlington","Jr.","P","17","19.0","7"
"","Zack Hartman","UNLV","Fr.","P","17","31.3","7"
"","Logan Mahon","Southeast Mo. St.","Sr.","P","17","36.3","7"
"","Scott Matyas","Minnesota","Sr.","P","17","22.3","7"
"","Colton Murray","Kansas","Jr.","P","17","30.3","7"
"","Matt Rush","Oral Roberts","Jr.","P","17","30.7","7"
"","Trever Vermeulen","South Dakota St.","Sr.","P","17","29.0","7"
"","Michael Boyle","A&M-Corpus Christi","Jr.","P","18","14.7","7"
"","Kevin Vance","Connecticut","Jr.","P","18","17.3","7"
"","Seth Willoughby","Xavier","So.","INF","18","21.0","7"
"","Chris Dennis","Portland","Sr.","P","19","30.3","7"
"","Jake Dyer","Georgia St.","Jr.","P","19","25.0","7"
"","Kellen Moen","Oregon","Sr.","P","19","29.3","7"
"","Matt Murray","Ga. Southern","Jr.","P","19","44.7","7"
"","Kyle Owings","Col. of Charleston","Jr.","P","19","28.0","7"
"","Eric Ransom","Savannah St.","Jr.","P","19","20.7","7"
"","Joe Rogers","UCF","So.","P","19","31.7","7"
"","Hugh Adams","Fla. Atlantic","Jr.","P","20","27.7","7"
"","Tony Bryant","Oregon St.","So.","P","20","38.0","7"
"","Sam Dawes","Miami (OH)","Sr.","P","21","20.3","7"
"","Jon Ivie","Belmont","Sr.","P","21","27.0","7"
"","J.B. Johnson","Kennesaw St.","Sr.","P","21","19.3","7"
"","Michael Schum","Wright St.","Jr.","P","21","38.3","7"
"","Chris Bassitt","Akron","Jr.","P","22","29.0","7"
"","Casey Hauptman","Nebraska","Sr.","P","22","54.3","7"
"","Brett Koehler","William & Mary","So.","P","22","51.7","7"
"","Robbie Powell","Stetson","Jr.","P","23","39.0","7"
"","Daniel Bennett","Florida St.","Sr.","P","28","37.3","7"
"86","Ben Koenigsfeld","Army","Sr.","OF","9","15.7","6"
"","Martin Medina","CSU Bakersfield","Jr.","INF","12","18.0","6"
"","Gera Sanchez","New Mexico","Jr.","P","15","41.7","6"
"","Garret Smith","Boston College","Sr.","INF","15","13.7","6"
"","Ricky Villarreal","Pepperdine","So.","P","15","24.0","6"
"","Mitch Patito","UC Riverside","So.","P","16","17.3","6"
"","Leif Sorenson","Massachusetts","Jr.","P","16","30.7","6"
"","Joseph Dvorsky","Texas St.","Sr.","P","17","24.0","6"
"","James Jones","La.-Monroe","Sr.","P","17","46.3","6"
"","Blake Drake","Indiana St.","Sr.","P","18","37.7","6"
"","Tyler Dray","Southern Ill.","Fr.","P","18","25.0","6"
"","Luke Bard","Georgia Tech","So.","P","19","35.7","6"
"","Adam Izokovic","Gardner-Webb","Jr.","P","20","31.3","6"
"","Spencer Kelly","Fairleigh Dickinson","Sr.","P","21","19.3","6"
"","Tony Cingrani","Rice","Sr.","P","22","40.3","6"
"","Mitch Conner","Elon","Sr.","P","22","22.3","6"
"","Jordan Dailey","Bethune-Cookman","So.","P","22","42.3","6"
"","Andrew McGee","Monmouth","Fr.","P","22","40.0","6"
"","Jeff Howell","Gardner-Webb","So.","-","23","31.7","6"
"","Mitchell Lambson","Arizona St.","Jr.","P","23","31.0","6"
"","Stephen Colangelo","Air Force","So.","P","24","25.7","6"
"","John Neely","Texas Tech","Jr.","P","24","49.7","6"
"108","Adam Culiver","Evansville","So.","P","9","8.7","5"
"","Jake Morgan","Ole Miss","Sr.","P","9","20.0","5"
"","Ryan Duke","Oklahoma","Sr.","P","11","10.7","5"
"","Mike McGee","Florida St.","Sr.","OF","12","14.0","5"
"","Chris Larsen","Pacific","Jr.","P","13","32.0","5"
"","Jason Mattila","North Dakota St.","Sr.","P","13","18.0","5"
"","Blaze Tart","UNC Wilmington","So.","P","13","33.3","5"
"","Wes Braun","Illinois","Sr.","P","14","14.0","5"
"","Anthony DeLeo","Saint Peter's","Jr.","P","14","21.0","5"
"","Eric Heckaman","Western Mich.","Sr.","P","14","27.3","5"
"","Bryce Jenney","Michigan St.","Jr.","P","15","19.7","5"
"","Michael Frank","Bowling Green","So.","-","16","46.7","5"
"","Tim Giel","Columbia","So.","P","16","26.3","5"
"","Ryan Ignas","Penn St.","Jr.","P","16","26.7","5"
"","Steve Carlin","Bucknell","Sr.","P","17","21.0","5"
"","Drew Mahaffey","Citadel","Sr.","P","17","20.0","5"
"","Corey Deighan","Charleston So.","Jr.","P","18","24.3","5"
"","Kyle Wahl","Southern U.","Sr.","P","18","19.7","5"
"","Ryne Harper","Austin Peay","Sr.","P","19","33.0","5"
"","Cody Penny","North Carolina","So.","P","19","13.7","5"
"","Ryan Poplawski","Siena","Jr.","P","19","32.0","5"
"","Joel Rinehart","Navy","So.","P","19","39.3","5"
"","Nick Vander Tuig","UCLA","Fr.","P","19","21.3","5"
"","Ethan Wallen","Auburn","Jr.","P","19","35.0","5"
"","Erik Miller","TCU","Jr.","P","20","45.7","5"
"","Seth Simmons","East Carolina","Sr.","P","20","24.0","5"
"","Jonathan Watson","VCU","Sr.","P","20","29.0","5"
"","Michael Burchett","Sam Houston St.","So.","P","21","34.3","5"
"","Max Garner","Baylor","So.","P","21","36.0","5"
"","Alex Maffett","Richmond","Jr.","P","22","40.7","5"
"","Mason Melatokis","Northwestern St.","So.","P","22","37.3","5"
"","Matty Ott","LSU","Jr.","P","22","23.7","5"
"","Paul Mittura","Middle Tenn.","So.","P","23","43.0","5"
"","Kurt Spomer","Creighton","Jr.","P","23","35.0","5"
"","Sam Robinson","Miami (FL)","Jr.","P","25","26.7","5"
"","Matt Chaffee","Arizona","Jr.","P","27","34.0","5"
"","Mike Frongello","Davidson","Sr.","P","34","62.0","5"
"145","Cory Franklin","Florida A&M","Jr.","C","6","10.7","4"
"","Andrew Karmeris","North Florida","Jr.","INF","9","11.3","4"
"","Kenny Long","Illinois St.","Jr.","P","11","19.3","4"
"","Jason Ganek","Ill.-Chicago","Sr.","INF","12","10.7","4"
"","Ryne Purcell","Eastern Ky.","Sr.","P","12","11.0","4"
"","Kristian Calibuso","Eastern Mich.","So.","INF","13","17.3","4"
"","Bryan Hamilton","Charlotte","Sr.","P","13","13.3","4"
"","Sam Roberts","VMI","Sr.","INF","13","31.0","4"
"","Bryan Smith","Texas Southern","Sr.","P","13","35.3","4"
"","Tim Swatek","Fordham","Fr.","P","13","27.7","4"
"","Ryan Tezak","West Virginia","Fr.","P","13","24.0","4"
"","Ray Black","Pittsburgh","So.","P","14","16.7","4"
"","Greg Davis","UC Santa Barbara","Sr.","P","14","58.3","4"
"","Cameron Finch","Murray St.","Fr.","P","14","27.3","4"
"","Joshua Goossen-Brown","Cal St. Northridge","So.","P","14","41.3","4"
"","Josh Ingham","Central Conn. St.","Fr.","INF","14","19.3","4"
"","Jeff Johnson","Cal Poly","Jr.","P","14","24.3","4"
"","Dietrich Enns","Central Mich.","So.","P","15","31.3","4"
"","Matt Gardner","Nevada","Jr.","P","15","16.0","4"
"","Tyler Hollstegge","UNC Greensboro","So.","P","15","20.7","4"
"","Jeff Snell","Lafayette","Jr.","P","15","22.0","4"
"","Mike Kaczmarek","Kentucky","Sr.","P","16","12.7","4"
"","Tommy Lawrence","Winthrop","So.","P","16","31.0","4"
"","Nick Loredo","UC Santa Barbara","Sr.","P","16","37.7","4"
"","Paul Snieder","Northwestern","Jr.","INF","16","19.0","4"
"","Scott Weismann","Clemson","Jr.","P","16","48.3","4"
"","Mark Bordonaro","Fairfield","So.","P","17","50.3","4"
"","Tom Briner","UC Davis","Sr.","P","17","23.7","4"
"","Stefan Crichton","TCU","Fr.","P","17","37.0","4"
"","Dakota Dill","Houston","So.","P","17","27.0","4"
"","Dylan Maki","Northeastern","So.","P","17","20.0","4"
"","Jake Naumann","Evansville","So.","P","17","37.0","4"
"","Tony Wieber","Michigan St.","So.","P","17","34.7","4"
"","Nick Cicio","UCF","Sr.","P","18","39.7","4"
"","Matt Flemer","California","Jr.","1B","18","24.7","4"
"","Brett Huber","Ole Miss","So.","P","18","23.3","4"
"","Chandler Jagodzinski","North Florida","Jr.","P","18","22.0","4"
"","Dan Johnson","Rhode Island","Sr.","P","18","21.3","4"
"","Shae Simmons","Southeast Mo. St.","So.","P","18","27.0","4"
"","Chad Smith","Southern California","Jr.","P","18","19.7","4"
"","Matt Boyd","Oregon St.","So.","P","19","31.3","4"
"","Bryam Garcia","FIU","Sr.","P","19","18.7","4"
"","Ryan Harvey","Seton Hall","So.","P","19","28.0","4"
"","Ian Kadish","Marshall","Sr.","P","19","25.7","4"
"","Jordan Mannisto","Houston","Jr.","P","19","39.3","4"
"","Matt Miller","Eastern Ill.","Sr.","P","19","26.7","4"
"","Chris Overman","North Carolina St.","So.","P","19","34.3","4"
"","Chris Reed","Stanford","Jr.","P","19","32.0","4"
"","Jonathan Abramson","San Francisco","Sr.","P","20","32.0","4"
"","Chase Byerly","Butler","So.","P","20","23.0","4"
"","Michael Devine","VMI","Jr.","P","20","24.7","4"
"","Kaleb Engelke","Milwaukee","Jr.","P","20","15.3","4"
"","Cale Elam","Wichita St.","Fr.","P","21","29.7","4"
"","Charlie McCready","Charleston So.","Jr.","P","22","43.7","4"
"","Reese McGraw","Creighton","Jr.","P","22","24.7","4"
"","Phil Wetherell","Western Ky.","Jr.","P","22","43.0","4"
"","Scott McGough","Oregon","Jr.","P","23","34.3","4"
"","Dustin Northcott","Northwestern St.","Sr.","P","23","38.7","4"
"","Jake Boyd","Stetson","Jr.","P","27","37.3","4"
"","Phil McCormick","Missouri","Sr.","P","27","45.3","4"
"205","Aaron Snyder","Southern Ill.","So.","P","7","8.7","3"
"","Nick Martinez","Fordham","Jr.","INF","8","12.3","3"
"","Jeff McVaney","Texas St.","Jr.","OF","8","13.3","3"
"","Matt Ramsey","Tennessee","Jr.","P","8","9.3","3"
"","Troy Forton","Western Mich.","Jr.","P","9","14.0","3"
"","Tim Seil","Canisius","Jr.","P","10","14.3","3"
"","A.J. Goetz","Princeton","Fr.","P","11","21.3","3"
"","Jack Mayfield","Oklahoma","So.","INF","11","22.0","3"
"","Josh Swenson","Utah Valley","Jr.","P","11","25.7","3"
"","D.J. Voisine","Maine","Fr.","P","11","20.7","3"
"","Jon Costa","NYIT","Jr.","P","12","15.0","3"
"","Brett Koliani","Saint Joseph's","Fr.","P","12","11.7","3"
"","Jacob Marchus","Manhattan","Fr.","P","12","12.7","3"
"","Brandon McNitt","Stony Brook","Fr.","P","12","57.0","3"
"","Ryan Dillabough","NYIT","So.","P","13","28.3","3"
"","Harrison Gary","Alcorn St.","So.","P","13","27.7","3"
"","Caleb Kellogg","La.-Lafayette","Fr.","P","13","20.7","3"
"","Dakota Laufenberg","Texas Southern","Sr.","P","13","51.3","3"
"","Chris Pike","Fordham","Fr.","INF","13","69.0","3"
"","Bobby Wahl","Ole Miss","Fr.","P","13","20.7","3"
"","Nick Boyd","Central Conn. St.","Fr.","P","14","26.3","3"
"","Daniel Clark","Richmond","Jr.","P","14","17.0","3"
"","Josh Conway","Coastal Caro.","So.","INF","14","53.3","3"
"","Jerry Elsing","Rutgers","So.","-","14","14.7","3"
"","Zach Juliano","Binghamton","Sr.","P","14","22.3","3"
"","Matthew Neil","BYU","Sr.","P","14","51.3","3"
"","Dillon Ortman","Auburn","Fr.","P","14","23.0","3"
"","Grant Sasser","North Carolina St.","Jr.","P","14","31.7","3"
"","Marcus Stroman","Duke","So.","P","14","48.0","3"
"","Machon Trimm","Lamar","Jr.","P","14","28.0","3"
"","Korey Wacker","Maryland","Jr.","OF","14","23.0","3"
"","Eric Alessio","Marist","Sr.","P","15","30.3","3"
"","Ed Kohout","Le Moyne","Jr.","P","15","54.3","3"
"","Bryan Verbitsky","Hofstra","Fr.","OF","15","15.0","3"
"","Brendan Chapin","Marist","Sr.","P","16","28.0","3"
"","Cory McGinnis","South Ala.","Jr.","P","16","20.0","3"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","3"
"","Kevin Clarke","UTSA","Sr.","P","17","34.3","3"
"","Bryan Crabb","San Diego St.","So.","P","17","44.0","3"
"","Colton Eubanks","Stephen F. Austin","Jr.","P","17","20.0","3"
"","Matt Frazier","Monmouth","Sr.","P","17","26.3","3"
"","Phillip Garcia","A&M-Corpus Christi","Jr.","P","17","16.7","3"
"","J.R. Graham","Santa Clara","Jr.","P","17","46.7","3"
"","Chris Marlowe","Oklahoma St.","Jr.","P","17","37.0","3"
"","Burny Mitchem","Dayton","Jr.","P","17","73.3","3"
"","Brooks Pinckard","Baylor","Jr.","OF","17","36.0","3"
"","Andrew Rinaldi","Quinnipiac","Sr.","INF","17","21.7","3"
"","Cody Scott","UTSA","Jr.","P","17","32.7","3"
"","Dan Slania","Notre Dame","Fr.","P","17","20.3","3"
"","Ryan Smith","Dartmouth","Sr.","P","17","25.7","3"
"","Tyson Workman","Troy","Jr.","P","17","26.3","3"
"","Brandon Adkins","Miami (OH)","So.","P","18","22.0","3"
"","Matt Cartwright","Morehead St.","Jr.","P","18","20.7","3"
"","Rye Davis","Western Ky.","Jr.","P","18","31.7","3"
"","N Dennison","Georgetown","So.","-","18","19.0","3"
"","Tim Fangman","Iowa","Fr.","-","18","39.7","3"
"","Alex Frederick","Clemson","Sr.","P","18","23.3","3"
"","Michael Morin","North Carolina","So.","P","18","46.0","3"
"","Michael Oros","Sam Houston St.","Jr.","P","18","32.3","3"
"","Ben Paullus","Memphis","Jr.","P","18","33.0","3"
"","Matt Carasiti","St. John's (NY)","So.","P","19","25.3","3"
"","Alex Caravella","Pittsburgh","So.","P","19","44.0","3"
"","Anthony DeSclafani","Florida","Jr.","P","19","27.3","3"
"","Ross Hammonds","Western Ky.","Jr.","P","19","36.3","3"
"","David Rees","Wagner","Sr.","P","19","23.7","3"
"","Eric Ruth","Winthrop","So.","P","19","40.3","3"
"","Eric Shultz","Yale","Jr.","P","19","30.0","3"
"","Andy Bass","Davidson","Sr.","P","20","33.7","3"
"","Joseph Munoz","Bethune-Cookman","Sr.","P","20","31.3","3"
"","Blake Payne","Central Ark.","Jr.","P","20","34.3","3"
"","John Brebbia","Elon","Jr.","P","21","31.3","3"
"","Brandon Kuter","George Mason","So.","P","21","21.7","3"
"","Alan Watts","VMI","Jr.","P","21","36.3","3"
"","Alec Mills","UT Martin","So.","P","22","36.7","3"
"","Eric Wyman","Ill.-Chicago","Sr.","P","22","27.7","3"
"","Tj Clarkson","Citadel","Jr.","P","23","43.0","3"
"","Ryan Connolly","Coastal Caro.","So.","P","23","32.7","3"
"","J.T. Odom","Mercer","Sr.","P","25","34.7","3"
"","Marck Paliotto","Ohio","So.","P","25","16.3","3"
