"Rank","Name","Team","Cl","Pos","G","RBI"
"","Logan Gaines","Mercer","Jr.","OF","47","43"
"","Mitchell Garver","New Mexico","Jr.","C","45","43"
"","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","43"
"","Ryan Haas","Delaware St.","Jr.","INF","42","43"
"","Rhys Hoskins","Sacramento St.","Fr.","INF","41","43"
"","Michael Katz","William & Mary","Fr.","INF","44","43"
"","Luke Maile","Kentucky","Jr.","C","45","43"
"","Tristan Moore","Wright St.","Sr.","OF","44","43"
"","Max Muncy","Baylor","Jr.","1B","46","43"
"","Jimmy Risi","Butler","Jr.","1B","41","43"
"","Boone Shear","Troy","Sr.","OF","44","43"
"","Luke Tendler","N.C. A&T","So.","INF","42","43"
"","Christian Walker","South Carolina","Jr.","INF","44","43"
"","Max White","Oklahoma","Jr.","INF","44","43"
"","Mike Zunino","Florida","Jr.","C","44","43"
"66","Greg Bachman","Austin Peay","Sr.","3B","42","42"
"","Jeremy Baltz","St. John's (NY)","Jr.","OF","44","42"
"","Kevin Bower","Miami (OH)","Jr.","INF","44","42"
"","Greg Dupell","Navy","Jr.","INF","48","42"
"","Phillip Ervin","Samford","So.","P","45","42"
"","Ronnie Freeman","Kennesaw St.","Jr.","C","48","42"
"","Clinton Freeman","East Tenn. St.","So.","P","43","42"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","42"
"","Jacob Mayers","Richmond","Jr.","P","38","42"
"75","Chris Burke","Iona","Sr.","INF","43","41"
"","Jordan Hankins","Austin Peay","So.","2B","43","41"
"","Nick Schneeberger","Tulane","Sr.","INF","44","41"
"","Kyle Schwarber","Indiana","Fr.","C","45","41"
"","Ben Waldrip","Jacksonville St.","Sr.","1B","36","41"
"80","Shane Basen","Charlotte","Jr.","INF","43","40"
"","Danny Collins","Troy","So.","INF","44","40"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","40"
"","Derek Fisher","Virginia","Fr.","OF","42","40"
"","Parker Hipp","New Mexico St.","Jr.","C","43","40"
"","Zac Johnson","Illinois St.","Jr.","INF","38","40"
"","Jared King","Virginia","Sr.","INF","45","40"
"","Zach Kirksey","Ole Miss","Sr.","OF","35","40"
"","Trent Miller","Middle Tenn.","So.","C","46","40"
"","Robby Newman","Longwood","Sr.","OF","40","40"
"","Robby Ort","Indiana St.","Jr.","OF","45","40"
"","Greg Partyka","Bradley","So.","1B","41","40"
"","Danny Poma","Hofstra","Sr.","OF","42","40"
"","Matthew Scruggs","East Tenn. St.","Sr.","OF","43","40"
"","Sam Travis","Indiana","Fr.","INF","45","40"
"","Kevin Wager","Villanova","Sr.","1B","45","40"
"","Matt Wessinger","St. John's (NY)","Sr.","2B","44","40"
"","Josh Winter","Mt. St. Mary's","Sr.","1B","46","40"
"98","Danny Avella","Monmouth","Jr.","INF","47","39"
"","Dylan Butler","La.-Lafayette","Fr.","OF","42","39"
"","Will Callaway","Appalachian St.","Jr.","INF","41","39"
"","Chris Cowell","Richmond","Sr.","C","40","39"
"","Anthony Gomez","Vanderbilt","Jr.","INF","44","39"
"","Jake Gonzalez","Houston Baptist","Jr.","OF","42","39"
"","Jabari Henry","FIU","Jr.","OF","39","39"
"","Jake Hibberd","Wright St.","Sr.","INF","44","39"
"","Jacob Hoyle","Western Caro.","Fr.","P","41","39"
"","Ryan Hutchison","Western Ky.","Sr.","OF","44","39"
"","Travis Isaak","Murray St.","Sr.","INF","42","39"
"","Derek Jones","Washington St.","Sr.","OF","39","39"
"","Paul Nitto","Furman","Jr.","C","42","39"
"","Logan Pierce","Troy","Jr.","INF","44","39"
"","Joey Rapp","La.-Monroe","Sr.","INF","44","39"
"","A.J. Reed","Kentucky","Fr.","P","45","39"
"","Jeremy Schaffer","Tulane","Sr.","C","44","39"
"","Jared Schlehuber","Oral Roberts","Sr.","1B","44","39"
"116","Ryan Ashe","Wright St.","Sr.","OF","43","38"
"","James Beck","Iona","Sr.","1B","41","38"
"","Stephen Bruno","Virginia","Jr.","INF","44","38"
"","Chad Christensen","Nebraska","Jr.","OF","43","38"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","38"
"","Jacob Daniel","Eastern Ky.","Sr.","OF","40","38"
"","Jacob House","Texas A&M","Sr.","INF","42","38"
"","Bryan Karraker","New Mexico St.","Sr.","OF","42","38"
"","Brooks Klein","Nevada","Jr.","OF","43","38"
"","Cameron McGriff","Southern U.","Sr.","INF","41","38"
"","Alex Mejia","Arizona","Jr.","INF","42","38"
"","Tom Murphy","Buffalo","Jr.","C","39","38"
"","Peter O'Brien","Miami (FL)","Sr.","C","36","38"
"","Brian Ragira","Stanford","So.","INF","39","38"
"","Marquis Riley","N.C. A&T","Sr.","2B","43","38"
"","George Roberts","Kent St.","Jr.","INF","43","38"
"","Cam Schiller","Oral Roberts","Sr.","INF","44","38"
"","Dustin Selzer","Dartmouth","So.","INF","35","38"
"","Richie Shaffer","Clemson","Jr.","INF","45","38"
"","Nate Theunissen","Central Mich.","Sr.","1B","45","38"
"","Jason Vosler","Northeastern","Fr.","INF","38","38"
"","Carter Williamson","N.C. Central","So.","C","43","38"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","38"
"","Nick Zaharion","South Ala.","Jr.","INF","42","38"
"140","Taylor Ard","Washington St.","Jr.","1B","39","37"
"","Chris Baker","Old Dominion","Sr.","1B","41","37"
"","Austin Cousino","Kentucky","Fr.","OF","44","37"
"","Joey Cujas","VCU","So.","INF","44","37"
"","Lb Dantzler","South Carolina","Jr.","INF","44","37"
"","Wade Hinkle","Kansas St.","Sr.","INF","42","37"
"","Scott LeJeune","Texas Tech","Jr.","OF","47","37"
"","Ryan McBroom","West Virginia","So.","1B","44","37"
"","Cody Murtle","Army","Sr.","OF","47","37"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","37"
"","Mark Nelson","Fla. Atlantic","Jr.","OF","43","37"
"","David Olson","Campbell","Jr.","P","43","37"
"","Ramon Ortega","Manhattan","Jr.","C","40","37"
"","Jensen Painter","Ohio","Sr.","OF","43","37"
"","James Ramsey","Florida St.","Sr.","OF","43","37"
"","Brent Seifert","Missouri St.","Sr.","INF","45","37"
"","Joe Sever","Pepperdine","Jr.","2B","40","37"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","37"
"","Elias Todman","Grambling","Jr.","INF","40","37"
"","Cal Towey","Baylor","Jr.","OF","46","37"
"","Ty Wiesemeyer","Illinois St.","Sr.","OF","39","37"
"","Mac Williamson","Wake Forest","Jr.","OF","41","37"
"","Rich Witten","Coastal Caro.","Sr.","1B","43","37"
