"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"83","Mike Loseke","Neb.-Kearney","Jr.","P","14","46.3","9","1.75"
"84","Kyle Norville","Barton","So.","P","16","77.0","15","1.75"
"85","Josh Ziemba","Florida Tech","So.","P","11","66.7","13","1.75"
"86","Tom Sirois","Post","Sr.","P","8","46.0","9","1.76"
"87","Jordan Yohn","Lock Haven","Sr.","P","9","50.7","10","1.78"
"88","Anthony Smith","Eastern N.M.","Sr.","P","15","55.7","11","1.78"
"89","Ryan Fillers","Carson-Newman","So.","P","25","50.3","10","1.79"
"","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","10","1.79"
"91","Sean Tighe","Nova Southeastern","Jr.","P","15","65.3","13","1.79"
"92","Peter Denyssenko","Concordia (NY)","Sr.","P","13","59.7","12","1.81"
"93","Joey Gradney","Lewis","Sr.","P","9","44.7","9","1.81"
"94","Landon Patterson","St. Edward's","Sr.","P","14","68.3","14","1.84"
"95","Aaron Brandt","Saint Leo","Jr.","P","13","73.0","15","1.85"
"96","Trent Bestland","Northern St.","Jr.","SS","9","43.7","9","1.85"
"97","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","15","1.86"
"98","Michael White","Stonehill","Jr.","OF","7","43.3","9","1.87"
"99","Joey Cuda","Eckerd","Jr.","P","14","101.0","21","1.87"
"100","Connor Lewis","Tex. Permian Basin","Sr.","P","13","71.7","15","1.88"
"101","Daniel Vargas-Vila","West Fla.","Sr.","P","13","86.0","18","1.88"
"102","Erick Sanderson","Anderson (SC)","So.","P","11","57.0","12","1.89"
"103","Randy Sturgill","California (PA)","Jr.","P","12","75.7","16","1.90"
"104","Josh Kehr","Davis & Elkins","So.","P","10","51.7","11","1.91"
"105","Drew Provence","North Greenville","Jr.","P","9","61.0","13","1.92"
"","Kyle Veazey","Truman","Sr.","P","10","61.0","13","1.92"
"107","Cory Hopper","Lander","Jr.","P","14","84.3","18","1.92"
"108","Kyle Butler","Montevallo","Sr.","P","12","74.7","16","1.93"
"109","Aaron Newcomb","Delta St.","Jr.","P","13","79.3","17","1.93"
"110","null Mendez","Southern N.H.","Fr.","-","10","51.3","11","1.93"
"111","Zach McElroy","Davis & Elkins","Jr.","P","13","74.3","16","1.94"
"112","Brett Shankin","Wayne St. (MI)","Sr.","P","11","55.7","12","1.94"
"113","Ryan Dunn","Cal Poly Pomona","So.","P","10","51.0","11","1.94"
"114","Dan Bream","Southern Ark.","Sr.","P","14","87.7","19","1.95"
"115","Tyler Vails","Stillman","Fr.","P","13","60.0","13","1.95"
"116","Cy Mozingo","West Va. Wesleyan","Sr.","P","9","55.3","12","1.95"
"117","Brett Abell","Mo. Southern St.","Jr.","P","13","82.7","18","1.96"
"118","Alex Guilford","Montevallo","Fr.","P","18","68.7","15","1.97"
"119","Justin Moore","Dominican (NY)","Jr.","P","11","59.3","13","1.97"
"120","Grady Wood","Western Ore.","Jr.","P","11","77.3","17","1.98"
"121","Gus Schlosser","Fla. Southern","Sr.","P","12","81.3","18","1.99"
"122","Sean Stimpfel","Bloomfield","Sr.","P","10","58.7","13","1.99"
"123","Kevin Holdsworth","West Va. Wesleyan","Sr.","P","9","54.0","12","2.00"
"","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","14","2.00"
"125","Charlie Henderson","Regis (CO)","Jr.","P","11","84.7","19","2.02"
"126","Max Rusch","Flagler","Jr.","P","27","62.3","14","2.02"
"127","Blake Hobby","North Ga.","Jr.","P","13","93.3","21","2.03"
"128","Dan Bartlett","Caldwell","Fr.","P","9","53.3","12","2.03"
"129","Andy Heston","Northern Ky.","Sr.","P","16","44.0","10","2.05"
"130","Jordan Wellander","Barry","Jr.","P","16","48.0","11","2.06"
"131","Steve Kaplan","Queens (NY)","So.","P","10","56.7","13","2.06"
"132","Trevor Leach","Southern Ind.","Sr.","P","12","95.7","22","2.07"
"133","J.T. Brodrick","Northwest Nazarene","Sr.","P","12","78.0","18","2.08"
"","Brandon Vazquez","Ga. Southwestern","Jr.","P","10","52.0","12","2.08"
"135","Tom Helwich","Lewis","Fr.","P","7","43.3","10","2.08"
"136","Troy Hunter","Dixie St.","So.","P","13","56.0","13","2.09"
"137","Jared Christensen","Colorado Mesa","Jr.","P","12","60.3","14","2.09"
"138","Ben Brown","Neb. Omaha","Sr.","P","10","55.7","13","2.10"
"139","Paul Phillips","Ill.-Springfield","Jr.","P","14","77.0","18","2.10"
"140","Kirk Lind","Western Ore.","Jr.","P","15","47.0","11","2.11"
"141","Aaron Correa","Hawaii Hilo","Sr.","P","8","42.7","10","2.11"
"142","Thomas Deboer","Saint Martin's","Jr.","P","13","64.0","15","2.11"
"143","Robert Nixon","Adelphi","Sr.","P","11","81.0","19","2.11"
"144","Steven Dea","San Fran. St.","Jr.","P","15","55.3","13","2.12"
"145","Ryan Weatherholtz","Concord","Fr.","P","13","67.7","16","2.13"
"146","Christian Gaston","Paine","So.","3B","8","42.3","10","2.13"
"","Lucas Jung","Northern St.","Sr.","OF","8","42.3","10","2.13"
"148","Sean Hayden","St. Anselm","Jr.","P","10","58.7","14","2.15"
"149","Jason Sirak","N.M. Highlands","Jr.","P","13","50.3","12","2.15"
"150","Chris Camastro","Pace","Sr.","P","10","41.7","10","2.16"
"","Chris Short","Cal St. Stanislaus","Jr.","P","11","41.7","10","2.16"
"152","Wes Coberly","North Ga.","Fr.","P","12","58.3","14","2.16"
"153","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","15","2.18"
"154","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","14","2.18"
"155","Mackenzie King","Pace","Sr.","P","13","65.7","16","2.19"
"","Lucas Waddell","Harding","So.","P","12","65.7","16","2.19"
"157","Matt Sommo","New Haven","Sr.","P","6","41.0","10","2.20"
"158","Reid Jungling","Mary","Fr.","P","8","49.0","12","2.20"
"","Luke Putz","Minn. St. Mankato","Sr.","P","9","49.0","12","2.20"
"160","Cory Thomas","Bellarmine","So.","P","12","52.7","13","2.22"
"161","Jason Postill","West Fla.","Sr.","P","13","89.0","22","2.22"
"162","Thomas Campbell","Columbus St.","Sr.","P","12","88.7","22","2.23"
"163","Kyle Long","Central Wash.","Fr.","-","13","56.3","14","2.24"
"164","Robert Kelly","St. Anselm","So.","1B","9","60.0","15","2.25"
"","Tony Mueller","Winona St.","Jr.","OF","8","48.0","12","2.25"
"","Logan Nordquist","Lake Erie","So.","P","10","44.0","11","2.25"
"","Eric Pettepher","Georgia College","Sr.","P","12","76.0","19","2.25"
"","Jacob Rickett","North Ga.","Sr.","P","24","40.0","10","2.25"
"169","Blake Bagshaw","Northern Ky.","So.","P","11","51.7","13","2.26"
"170","Patrick Brown","Molloy","So.","P","12","43.7","11","2.27"
"171","Brad Isom","UNC Pembroke","Sr.","P","13","79.3","20","2.27"
"","Logan Thomas","Palm Beach Atl.","Jr.","P","13","79.3","20","2.27"
"173","Jimmy Johnson","Southeastern Okla.","Sr.","C","13","63.3","16","2.27"
"174","Alex Seier","Rockhurst","So.","P","16","43.3","11","2.29"
"175","Curtis Hudson","Mount Olive","Sr.","P","11","55.0","14","2.29"
"176","Neil Hesek","St. Anselm","Jr.","P","12","58.7","15","2.30"
"177","Brad Monroe","Southern N.H.","Jr.","P","11","66.3","17","2.31"
"178","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","19","2.31"
"179","Frank Flynn","Assumption","Jr.","1B","9","46.7","12","2.31"
"180","Jack Olson","Wis.-Parkside","Sr.","P","10","62.0","16","2.32"
"","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","10","62.0","16","2.32"
"182","David Arredondo","Cal St. L.A.","Jr.","P","13","73.3","19","2.33"
"183","Shaun Gough","Saint Leo","Jr.","P","12","61.7","16","2.33"
"184","Mike Guinane","Georgia College","So.","P","14","84.7","22","2.34"
"185","Tyler Carman","Florida Tech","Sr.","P","14","53.7","14","2.35"
"186","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","20","2.35"
"187","Chris Base","Armstrong","Jr.","P","13","99.7","26","2.35"
"188","Matthew Metz","Molloy","So.","P","10","61.3","16","2.35"
"189","Jeremy Peed","Limestone","Jr.","P","13","42.0","11","2.36"
"190","Greg Smith","Mars Hill","Sr.","P","11","68.7","18","2.36"
"191","Andy Fennell","Lincoln Memorial","Jr.","P","13","76.0","20","2.37"
"192","Kevin Bosson","Cal Poly Pomona","Jr.","P","12","68.3","18","2.37"
"","Steven Starbird","Lincoln Memorial","Sr.","P","22","68.3","18","2.37"
"194","Alex Smith","New Haven","Sr.","P","8","49.3","13","2.37"
"195","Eric Vaughan","Ashland","Jr.","P","10","53.0","14","2.38"
"196","Zach McAllister","Erskine","Fr.","P","11","56.7","15","2.38"
"197","Jj Jankowski","Catawba","Jr.","P","15","90.7","24","2.38"
"198","Dan Marcacci","Southern Ind.","Sr.","P","15","45.3","12","2.38"
"199","Kevin Peters","West Fla.","Fr.","P","13","49.0","13","2.39"
"200","Ben Hastings","Assumption","Jr.","P","9","41.3","11","2.40"
"201","Nik Jurado","Mo. Western St.","Jr.","P","14","56.3","15","2.40"
"202","Joey Juarez","Colorado St.-Pueblo","Jr.","P","13","45.0","12","2.40"
"203","Taylor Klugman","Lincoln (MO)","Jr.","P","10","63.7","17","2.40"
"204","Palmer Brown","Central Wash.","Sr.","P","16","48.7","13","2.40"
"205","Trent Landa","Armstrong","So.","P","14","71.0","19","2.41"
"206","Dan Murphy","Bentley","Jr.","P","17","82.0","22","2.41"
"207","Matt Weber","Findlay","Sr.","P","7","40.7","11","2.43"
"","JaVaun West","Indianapolis","Fr.","P","12","40.7","11","2.43"
"209","Brodie Leibrandt","Columbus St.","So.","P","11","62.7","17","2.44"
"","Alex Schell","Pittsburg St.","Sr.","P","10","62.7","17","2.44"
"211","Casey Cooperman","Bloomsburg","Fr.","P","10","55.0","15","2.45"
"","Brandon Faulkner","Emporia St.","Jr.","P","15","66.0","18","2.45"
"","Andrew Virgili","Lynn","Jr.","P","13","88.0","24","2.45"
"214","John Gale","West Virginia St.","Sr.","P","10","51.3","14","2.46"
"215","Branden Petrangelo","San Fran. St.","Jr.","P","14","80.3","22","2.47"
"216","Andrew Guest","Erskine","Sr.","P","15","62.0","17","2.47"
"217","Josh White","Limestone","Jr.","P","18","51.0","14","2.47"
"","Austen Wisroth","Wayne St. (NE)","Jr.","P","9","51.0","14","2.47"
"219","Nathan Humpal","Tex. A&M-Kingsville","Fr.","P","17","43.7","12","2.47"
"220","Connor Beer","Fort Hays St.","Jr.","P","11","65.3","18","2.48"
"221","Danny Miller","Minn. St. Mankato","Sr.","OF","9","54.3","15","2.49"
"222","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","19","2.49"
"223","Tim Mayza","Millersville","Fr.","P","9","47.0","13","2.49"
"224","Micah Kellogg","Flagler","Jr.","P","17","72.3","20","2.49"
"225","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","18","2.49"
"226","Stephen Groves","Valdosta St.","Jr.","P","24","43.3","12","2.49"
"227","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","17","2.50"
"228","Jonathan McDaniel","Pfeiffer","Sr.","P","14","61.0","17","2.51"
"229","Wally Goodline","Cal St. L.A.","Sr.","P","12","75.3","21","2.51"
"230","Nick Banaugh","San Fran. St.","Sr.","P","13","71.7","20","2.51"
"231","Cody Repenning","Grand Canyon","So.","P","19","64.3","18","2.52"
"232","Ryan Trimble","Truman","Jr.","P","8","50.0","14","2.52"
"233","Julius Storey","Urbana","Jr.","P","11","46.3","13","2.53"
"234","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","25","2.53"
"235","Logan Birr","St. Cloud St.","Jr.","P","10","49.7","14","2.54"
"","Andrew Simonik","Lock Haven","Sr.","P","11","49.7","14","2.54"
"237","Mike Scudero","Adelphi","Sr.","P","12","67.3","19","2.54"
"238","Heath Wyatt","Southeastern Okla.","Sr.","P","28","63.7","18","2.54"
"239","Zach Leitten","Mercyhurst","Jr.","P","10","46.0","13","2.54"
"240","Evan Faithfull","Carson-Newman","So.","P","11","42.3","12","2.55"
"241","Scott Shipman","Augusta St.","So.","P","12","81.0","23","2.56"
"242","Nathan Lewis","Tarleton St.","Sr.","P","11","56.3","16","2.56"
"243","Logan Holthaus","Harding","So.","P","10","63.3","18","2.56"
"244","M Reef","West Liberty","Fr.","-","10","59.7","17","2.56"
"","Tyler Stefan","Truman","Jr.","P","11","59.7","17","2.56"
"246","Aaron Appino","Cal St. Monterey Bay","Jr.","P","11","56.0","16","2.57"
"","Chad Boughner","North Ala.","So.","P","12","70.0","20","2.57"
"","Alex Britt","Carson-Newman","Jr.","P","13","63.0","18","2.57"
"","Christian Wonders","Palm Beach Atl.","Fr.","P","14","49.0","14","2.57"
"250","Alex Didio","St. Augustine's","Jr.","P","18","115.3","33","2.58"
"251","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","19","2.58"
"252","Richard Egloff","Saint Rose","Jr.","P","8","48.7","14","2.59"
"253","Anthony Plomitallo","Bridgeport","Sr.","P","10","41.7","12","2.59"
"254","Pat Curtin","Tiffin","Jr.","C","9","48.3","14","2.61"
"255","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","24","2.61"
"256","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","16","2.62"
"","Brandon Farquhar","Lander","Sr.","P","14","55.0","16","2.62"
"258","Bryan Tuttle","Pfeiffer","So.","P","14","72.0","21","2.63"
"259","Cory Caruso","Cal St. San B'dino","Jr.","P","12","61.7","18","2.63"
"260","Casey Lish","West Tex. A&M","Jr.","P","17","41.0","12","2.63"
"261","Josh Bagley","UNC Pembroke","Sr.","P","11","68.3","20","2.64"
"262","Nate Van Bibber","Metro St.","Sr.","P","15","44.3","13","2.64"
"263","Paul McKenna","Gannon","Jr.","P","9","47.7","14","2.64"
"264","Craig Goodman","Tusculum","Jr.","P","13","78.3","23","2.64"
"265","Jason Cochcroft","S.C. Aiken","Sr.","C","14","68.0","20","2.65"
"","Mark Heard","Northwood (MI)","Jr.","P","9","51.0","15","2.65"
"267","Brice Williams","Southeastern Okla.","Jr.","P","13","40.7","12","2.65"
"268","Nick Kelzer","Minn.-Crookston","Fr.","P","12","44.0","13","2.66"
"269","Taylor Bratton","West Ala.","Fr.","P","14","54.0","16","2.67"
"270","Austin Johnson","Lincoln Memorial","So.","P","11","70.7","21","2.67"
"271","Kevin Brahney","Cal St. Chico","Sr.","P","8","47.0","14","2.68"
"272","Chase Anderson","Northwest Mo. St.","So.","P","13","53.7","16","2.68"
"","Jeremy Pope","Rockhurst","Sr.","P","10","53.7","16","2.68"
"","John Tricario","Mercy","Fr.","P","11","53.7","16","2.68"
"275","Wes Rehmert","Urbana","Sr.","P","10","63.7","19","2.68"
"276","Trent Franzago","Ga. Southwestern","Jr.","P","10","70.0","21","2.70"
"","Tyler Simao","Hawaii Hilo","Jr.","P","8","40.0","12","2.70"
"278","Casey Smith","Brevard","Jr.","P","10","63.3","19","2.70"
"279","Deryk Marks","Augustana (SD)","Sr.","INF","10","53.0","16","2.72"
"280","Ryan Frevret","Ala.-Huntsville","Sr.","P","11","66.0","20","2.73"
"281","Zach Sneed","Abilene Christian","Sr.","P","21","59.3","18","2.73"
"282","Tadd Johnansen","Wayne St. (NE)","So.","P","8","52.7","16","2.73"
"283","Joe Gunkel","West Chester","Fr.","P","10","49.3","15","2.74"
"284","Mitch Kellum","Ky. Wesleyan","Sr.","P","9","46.0","14","2.74"
"285","Jonathan Gainey","Coker","Sr.","P","13","42.7","13","2.74"
"286","Chandler Hall","Armstrong","Jr.","P","15","82.0","25","2.74"
"287","Jordan Stern","Central Okla.","Sr.","P","12","78.7","24","2.74"
"288","Adam Radick","Mo.-St. Louis","Jr.","P","10","55.7","17","2.75"
"","Andrew Wallace","North Ga.","Sr.","P","13","55.7","17","2.75"
"290","Robby Thigpen","Carson-Newman","Jr.","P","13","72.0","22","2.75"
"291","John Gonzales","Tex. A&M Int'l","Sr.","P","16","85.0","26","2.75"
"292","Mike Rossetti","Bloomsburg","Sr.","P","11","52.0","16","2.77"
"293","Joel Sanchez","Felician","Sr.","P","12","74.7","23","2.77"
"294","Jason Beaumont","Lynn","Jr.","P","13","77.7","24","2.78"
"295","T.J. Mullins","Barry","Jr.","P","23","42.0","13","2.79"
"296","Isaac Hicks","Nova Southeastern","Sr.","P","13","67.7","21","2.79"
"297","Kyle Hunter","Bloomsburg","Fr.","P","10","48.3","15","2.80"
"298","Nick Anderson","Concordia-St. Paul","Sr.","P","11","41.7","13","2.81"
"299","Matt Cook","Caldwell","Jr.","INF","11","60.7","19","2.82"
"","Mike Nicks","Southwest Baptist","Sr.","P","11","60.7","19","2.82"
"301","Taylor Candage","New Haven","So.","P","9","44.7","14","2.82"
"","Mike McMonagle","Millersville","Jr.","P","9","44.7","14","2.82"
"","Ryan Rothenbuhler","Findlay","Sr.","P","9","44.7","14","2.82"
"304","Felix Cardenas","Tex. Permian Basin","Sr.","P","14","67.0","21","2.82"
"305","Timothy Cooney","St. Anselm","Jr.","P","10","41.3","13","2.83"
"306","Mark Sappington","Rockhurst","So.","P","11","66.7","21","2.83"
"307","James Conlee","Angelo St.","So.","P","28","53.7","17","2.85"
"308","Cameron Ward","Limestone","So.","P","15","82.0","26","2.85"
"309","Thomas Lee","Sonoma St.","Jr.","P","13","63.0","20","2.86"
"310","Clint Brown","Tex. A&M-Kingsville","Sr.","P","27","40.7","13","2.87"
"","Brian Kilway","Lake Erie","Fr.","P","12","40.7","13","2.87"
"312","Aaron Johnson","Southwest Minn. St.","Jr.","P","9","50.0","16","2.88"
"313","Nick Lomascolo","Catawba","So.","P","15","93.7","30","2.88"
"314","Brian Hutchings","Mont. St. Billings","Jr.","P","10","59.3","19","2.88"
"","Austin Moyer","Catawba","Jr.","P","11","59.3","19","2.88"
"","Cody Stull","Belmont Abbey","Fr.","P","13","59.3","19","2.88"
"317","Jorge Guarneros","Incarnate Word","Jr.","P","12","74.7","24","2.89"
"318","Tyson Gau","Augustana (SD)","So.","P","11","56.0","18","2.89"
"319","Paul Bischoff","C.W. Post","Jr.","P","9","52.7","17","2.90"
"","Andrew DeSousa","Winona St.","Sr.","P","7","40.3","13","2.90"
"","Gregg Downing","Franklin Pierce","Jr.","P","8","52.7","17","2.90"
"","Michael Keve","Hillsdale","So.","P","10","52.7","17","2.90"
"","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","13","2.90"
"324","Derek Brooks","Emporia St.","Jr.","INF","14","46.3","15","2.92"
"","Ryan Pruitt","Eastern N.M.","Jr.","P","19","46.3","15","2.92"
"326","Brandon Simmons","Mo. Western St.","So.","P","12","74.0","24","2.92"
"327","Matt Bayes","Bellarmine","Jr.","P","12","40.0","13","2.93"
"328","Dan Morgan","Chestnut Hill","Jr.","P","10","52.3","17","2.93"
"329","Bradley McWilliams","Miles","So.","P","17","83.0","27","2.93"
"","Hunter Meekins","Barton","Sr.","P","14","83.0","27","2.93"
"331","Zach Gove","Emporia St.","So.","P","16","46.0","15","2.93"
"332","Alex McCormick","Stonehill","So.","P","9","55.0","18","2.95"
"333","Manny Rodriguez","Barry","Jr.","P","13","94.7","31","2.95"
"334","Nick Umberger","Shippensburg","Jr.","P","14","61.0","20","2.95"
"335","Ryan Garman","Grand Valley St.","Fr.","P","8","45.7","15","2.95"
"336","Dustin Bryant","Ala.-Huntsville","Sr.","P","16","51.7","17","2.96"
"337","Benjamin Fuchs","Bellarmine","Fr.","P","9","54.7","18","2.96"
"338","Jake Garbuzinski","Christian Bros.","Fr.","P","15","63.7","21","2.97"
"339","Eric Kamp","Bloomfield","So.","P","10","42.3","14","2.98"
"","Johnny Lancaster","Eckerd","Jr.","P","14","42.3","14","2.98"
"341","Atlee Pearson","Erskine","Sr.","P","21","48.3","16","2.98"
"342","Eric Haughn","Stonehill","Jr.","P","9","60.0","20","3.00"
"","J.P. O'Leary","East Central","Sr.","P","13","51.0","17","3.00"
"344","Jason Gardner","Tusculum","Sr.","P","13","59.7","20","3.02"
"345","Danny Laperna","King (TN)","Jr.","P","9","50.7","17","3.02"
"346","Fabian Lopez","Upper Iowa","So.","P","7","47.7","16","3.02"
"347","Jon Fees","Pitt.-Johnstown","Fr.","P","9","41.7","14","3.02"
"348","Jayson Huett","Northwest Mo. St.","Sr.","P","25","62.3","21","3.03"
"349","Mitchell Fairley","Quincy","Sr.","P","10","53.3","18","3.04"
"350","Clint Seefeldt","Indianapolis","So.","OF","9","47.3","16","3.04"
"351","Vinny Pacchetti","Cal St. Stanislaus","Sr.","P","11","65.0","22","3.05"
"352","Aaron Hilt","Ashland","Jr.","P","8","44.3","15","3.05"
"353","Andrew Shoemaker","Bluefield St.","Sr.","P","13","56.0","19","3.05"
"354","Brooks Rothschild","Millersville","Jr.","P","11","67.3","23","3.08"
"355","Tyler O'Bryant","Henderson St.","Fr.","INF","13","46.7","16","3.08"
"356","John Allen Renn","St. Andrews","So.","P","19","43.7","15","3.09"
"357","Todd Stachura","Neb.-Kearney","Sr.","P","11","75.7","26","3.09"
"358","Cody Pruett","Bluefield St.","Fr.","P","11","61.0","21","3.10"
"359","Christian Hicks","Lenoir-Rhyne","So.","P","14","69.7","24","3.10"
"360","Josh Thrailkill","Tampa","Sr.","P","13","58.0","20","3.10"
"361","Donald Williams","Benedict","Sr.","P","14","46.3","16","3.11"
