"Rank","Name","Team","Cl","Pos","G","SF"
"","Vinny Ferrara","Tusculum","Jr.","INF","29","3"
"","Brett Flutie","Rollins","Jr.","INF","23","3"
"","Brad Foss","Pittsburg St.","Sr.","INF","25","3"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","3"
"","Logan Galliher","Erskine","Jr.","OF","26","3"
"","Corey Gibson","Lynn","Fr.","OF","16","3"
"","Levi Grassley","Winston-Salem","Sr.","1B","31","3"
"","Austin Hamilton","Western Ore.","Jr.","INF","22","3"
"","Mackenzie Hampshire","Ashland","So.","1B","20","3"
"","Bryant Hayman","Valdosta St.","Jr.","C","25","3"
"","Steve Hazel","Georgia College","Jr.","C","23","3"
"","David Hebert","West Tex. A&M","Sr.","INF","29","3"
"","Sam Hedrick","Eastern N.M.","Sr.","INF","28","3"
"","Joe Hermsen","St. Mary's (TX)","Jr.","3B","27","3"
"","Taylor Hinshaw","Georgia College","Sr.","OF","23","3"
"","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","3"
"","Geoff Jimenez","Nova Southeastern","Sr.","OF","28","3"
"","Ryan Justus","Ark.-Fort Smith","Jr.","INF","25","3"
"","Ryan Koch","Lock Haven","---","2B","17","3"
"","Kayden Krause","Belmont Abbey","---","PH/2B","17","3"
"","Chris LaVorgna","Franklin Pierce","Fr.","OF","24","3"
"","Weston Lawing","Lander","Jr.","OF","29","3"
"","Brandon Lawing","Ala.-Huntsville","Jr.","OF","22","3"
"","David Lenhardt","Cedarville","Jr.","C","20","3"
"","Chase Loyd","GRU Augusta","Fr.","P","21","3"
"","Mario Maldonado","St. Mary's (TX)","Jr.","P","29","3"
"","Justin Manning","Mount Olive","Jr.","3B","27","3"
"","Joseph Marchini","Academy of Art","So.","OF","24","3"
"","Joe Marciano","Wilmington (DE)","Sr.","1B","13","3"
"","Carlos Matamoros","Barry","Jr.","OF","24","3"
"","Brian Mathews","Shorter","---","1B","28","3"
"","Devin McLemore","Winston-Salem","So.","P","25","3"
"","J.R. Meneses","Felician","Fr.","INF","10","3"
"","Luke Mogle","West Chester","---","DH","11","3"
"","Blair Moore","California Baptist","Sr.","INF","28","3"
"","Jiro Morales","Southwestern Okla.","Jr.","C","16","3"
"","Ty Morris","Cal St. Monterey Bay","Jr.","OF","24","3"
"","LJ Newman","Anderson (SC)","So.","C","19","3"
"","Patrick Nickler","Palm Beach Atl.","Jr.","OF","18","3"
"","Bradley Noland","North Ala.","Sr.","INF","31","3"
"","Tyler Nordgren","Point Loma","Sr.","3B","27","3"
"","Connor Obrochta","Tampa","Sr.","OF","27","3"
"","Kyler Offenbacker","Harding","Jr.","INF","26","3"
"","Jackson Oliver","Columbus St.","So.","OF","32","3"
"","Cash Oliver","Tuskegee","Sr.","SS","21","3"
"","Ty Overboe","Regis (CO)","So.","C","21","3"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","3"
"","Jake Palidar","Walsh","Sr.","OF","19","3"
"","Matt Peters","California (PA)","Jr.","INF","18","3"
"","Kevin Price","Pfeiffer","Sr.","OF","30","3"
"","Gavin Purvis","Metro St.","Sr.","OF","18","3"
"","Graham Ramos","Lander","Sr.","INF","29","3"
"","Ryan Raper","North Georgia","---","1B","25","3"
"","Tim Rein","Charleston (WV)","Sr.","OF","17","3"
"","Pearce Richardson","Colo. Christian","Sr.","C","16","3"
"","Reginald Rodgers","Claflin","Fr.","SS","25","3"
"","Cody Rogers","Northwood (MI)","---","2B","13","3"
"","Cody Rosecrans","Okla. Christian","Jr.","INF","21","3"
"","Reid Rothenbuhler","Findlay","Sr.","INF","13","3"
"","Ryan Sabalaskey","Georgia College","Sr.","INF","25","3"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","3"
"","Andrew Seigel","Concord","So.","OF","22","3"
"","Nick Sell","Seton Hill","Jr.","INF","23","3"
"","Mike Shada","Post","Sr.","INF","15","3"
"","Josh Silver","Lee","Sr.","SS","30","3"
"","Cody Slader","Cal St. Chico","Jr.","SS","24","3"
"","Jackson Slaid","Montevallo","Sr.","C","30","3"
"","Justin Somers","Wingate","Sr.","P","15","3"
"","Kody Spencer","Brevard","So.","C","29","3"
"","Michael Stemle","Lynn","Jr.","INF","29","3"
"","Wade Stramp","Lubbock Christian","---","DH","22","3"
"","Sam Summerlin","Cedarville","Jr.","INF","20","3"
"","Dillan Sunnafrank","Wheeling Jesuit","Fr.","P","17","3"
"","Chris Tavares","Ouachita Baptist","Sr.","C","29","3"
"","Jarrod Taylor","Ga. Southwestern","Sr.","C","25","3"
"","Luke Tewes","Drury","Jr.","INF","17","3"
"","Nick Thimesch","Drury","Sr.","OF","17","3"
"","Paul Trenhaile","Truman","Jr.","1B","17","3"
"","Tyler Vanover","Flagler","Sr.","OF","29","3"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","3"
"","Dylan Watts","St. Edward's","So.","INF","29","3"
"","Drew Wells","Adams St.","So.","1B","24","3"
"","Fran Whitten","Saint Leo","Sr.","P","27","3"
"","Paul Winterbottom","Stillman","Jr.","INF","28","3"
"","Chance Wolfe","Southwest Baptist","Fr.","OF","22","3"
"","Kevin Zak","Grand Valley St.","Jr.","INF","18","3"
"","Kyle Zimmerman","Wayne St. (MI)","Jr.","P","20","3"
"188","Cody Aasen","Minn. Duluth","Sr.","OF","12","2"
"","Ryan Abernathy","Northwest Mo. St.","Sr.","OF","24","2"
"","Austin Adams","Findlay","Fr.","OF","11","2"
"","Chad Adams","Saint Rose","So.","3B","16","2"
"","Ariel Adut","East Central","Jr.","OF","19","2"
"","Ben Agredano","Ark.-Monticello","Sr.","INF","31","2"
"","Rubert Alcantara","Flagler","Jr.","INF","6","2"
"","Giovanny Alfonzo","Tampa","Jr.","2B","26","2"
"","Austin Allen","Florida Tech","So.","C","29","2"
"","Deandre Allen","Mount Olive","Jr.","2B","30","2"
"","Rowdy Andrews","Eckerd","So.","INF","25","2"
"","Cody Andreychuk","Tusculum","---","DH","19","2"
"","Eric Angerer","Cal St. Chico","Sr.","1B","25","2"
"","David Armendariz","Cal Poly Pomona","---","LF","26","2"
"","Tyler Arthur","Drury","Jr.","C","17","2"
"","Dustin Averett","Columbus St.","Jr.","C","32","2"
"","Andrew Ayrado","East Central","Jr.","C","16","2"
"","Jeremy Bajdaun","West Florida","Sr.","INF","26","2"
"","Nick Baldelli-Boggs","Stillman","Fr.","P","25","2"
"","Jacob Barber","Winston-Salem","Jr.","C","21","2"
"","Tyler Barrington","Elizabeth City St.","Sr.","OF","14","2"
"","Jake Beckwith","Mo.-St. Louis","Fr.","OF","10","2"
"","Kody Belcher","S.C. Aiken","---","CF","27","2"
"","Tory Bell","Emporia St.","Jr.","C","21","2"
"","Lucas Besel","Saint Martin's","Sr.","INF","19","2"
"","Thomas Bess","Lander","Jr.","OF","27","2"
"","Brad Birch","Mont. St. Billings","Sr.","INF","24","2"
"","Andy Bissel","Azusa Pacific","Jr.","C","13","2"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","2"
"","Aaron Blair","West Tex. A&M","Jr.","INF","28","2"
"","Daniel Bodziak","Florida Tech","Sr.","OF","17","2"
"","Daniel Bolte","West Ala.","Jr.","INF","22","2"
"","Kyle Booth","Limestone","Jr.","1B","30","2"
"","Austin Botts","Lock Haven","Jr.","C","17","2"
"","Lyle Brackenridge","Academy of Art","Sr.","INF","24","2"
"","Alex Bradley","Ill.-Springfield","Jr.","C","18","2"
"","Aaron Brill","Felician","Sr.","SS","19","2"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","2"
"","Greg Brodzinski","Barry","Jr.","C","24","2"
"","Jordan Brower","Azusa Pacific","Jr.","1B","22","2"
"","Chris Brown","Stillman","So.","OF","28","2"
"","T. Brown","West Ga.","---","SS","29","2"
"","David Ray Bryan","Alderson Broaddus","Sr.","INF","13","2"
"","Justin Buchanan","Southern Ark.","So.","C","31","2"
"","Tyler Bugner","Newman","---","LF","20","2"
"","Chance Burcham","Southeastern Okla.","---","1B","28","2"
"","Andrew Calderone","Florida Tech","Fr.","OF","23","2"
"","Jake Cardoza","Tex. A&M Int'l","---","LF","28","2"
"","Adam Carman","Salem Int'l","---","PH","18","2"
"","Kyle Carnahan","Washburn","So.","INF","22","2"
"","Garrett Carpenter","Colorado Mesa","Sr.","P","19","2"
"","Jose Jared Carranza","West Liberty","Fr.","C","12","2"
"","Phillip Carroll","Mars Hill","So.","OF","32","2"
"","Jacob Carter","Southeastern Okla.","---","DH/3B","27","2"
"","Will Carter","Mo. Western St.","Jr.","OF","14","2"
"","Brett Cash","Anderson (SC)","Jr.","INF","30","2"
"","Neal Chambless","Ga. Southwestern","Sr.","C","24","2"
"","Brett Charbonneau","Le Moyne","So.","INF","19","2"
"","Jorge Chavarria","Florida Tech","Sr.","INF","29","2"
"","Will Chavarria","Western Ore.","Sr.","C","15","2"
"","Carey Cheek","Saint Augustine's","So.","INF","28","2"
"","Brad Cherry","Wingate","Jr.","1B","28","2"
"","Bryce Cherry","San Fran. St.","So.","INF","18","2"
"","Nicholas Christopher","Virginia St.","Jr.","P","26","2"
"","Ryne Clark","Cal St. Chico","Sr.","OF","24","2"
"","Josh Clark","Wingate","Jr.","C","28","2"
"","Cody Coats","Southeastern Okla.","---","3B/C","25","2"
"","Zach Coffield","Tiffin","---","C","14","2"
"","Jay Collazo","Felician","Sr.","C","19","2"
"","Michael Colorado","Tex. A&M Int'l","So.","INF","26","2"
"","Colby Conway","Mount Olive","So.","C","9","2"
"","Nicholas Cooksey","Cal Poly Pomona","Jr.","INF","16","2"
"","Matt Cooper","North Greenville","Fr.","OF","20","2"
"","Blake Cooper","Eastern N.M.","Jr.","INF","26","2"
"","Andrew Cope","Southern Ind.","So.","INF","18","2"
"","Cameron Crawford","North Georgia","Jr.","OF","23","2"
"","Lucas Crimmins","Winona St.","So.","INF","12","2"
"","Alex Crosby","Sonoma St.","Jr.","INF","21","2"
"","Austin Crutcher","Bellarmine","Jr.","INF","17","2"
"","Kyle Dalton","Concordia-St. Paul","Jr.","2B","12","2"
"","Brett David","Angelo St.","Jr.","INF","28","2"
"","Alexander Davie","Kentucky St.","Jr.","1B","26","2"
"","Zach DeCamp","Lake Erie","So.","INF","16","2"
"","David DeWolfe","Francis Marion","Sr.","INF","25","2"
"","Nico Delerme","East Stroudsburg","---","C","19","2"
"","Josh Dennett","Rockhurst","Sr.","1B","17","2"
"","Stephen Dezzi","Tampa","Jr.","OF","29","2"
"","Mitchell Dixon","Benedict","Jr.","INF","26","2"
"","Ryan Dodson","Davis & Elkins","Fr.","OF","16","2"
"","Ryan Drew","Palm Beach Atl.","Sr.","3B","21","2"
"","Lincoln Dunham","Eckerd","Sr.","OF","24","2"
"","Eric Ehlow","Sonoma St.","Jr.","C","18","2"
"","Codey Ellenwood","Hawaii Pacific","Jr.","DH","24","2"
"","Jon Ellis","Southwest Minn. St.","Jr.","OF","18","2"
"","Ethan Elroy","Central Okla.","Jr.","INF","12","2"
"","Percy Evans","Virginia St.","Sr.","INF","26","2"
"","Cody Ezolt","Shippensburg","Jr.","1B","16","2"
"","Jerrod Flax","Newman","Jr.","INF","23","2"
"","Jason Fletcher","Cal St. East Bay","Jr.","INF","21","2"
"","Michael Flores","Union (TN)","Jr.","SS","26","2"
"","Eric Forth","East Stroudsburg","Sr.","C","18","2"
"","Cody Fox","Carson-Newman","Jr.","OF","31","2"
"","Skylar Fox","Flagler","Jr.","INF","28","2"
"","Alex Freedman","Lynn","Jr.","SS","29","2"
"","Austin Freeman","Miles","Sr.","INF","23","2"
"","Max Gagnon","UNC Pembroke","Sr.","C","18","2"
"","Corey Gall","Maryville (MO)","Sr.","INF","16","2"
"","Ronnie Galosic","Cal St. Chico","Sr.","OF","21","2"
"","Roman Gammell","Urbana","So.","P","11","2"
"","Adrian Garcia","St. Mary's (TX)","Sr.","OF","29","2"
"","Derek Garcia","Colorado Mesa","Jr.","INF","10","2"
"","Niko Garcia","Cal St. L.A.","Sr.","INF","21","2"
"","Fernando Garza","Philadelphia U.","So.","OF","19","2"
"","Mike Gasque","Lenoir-Rhyne","Sr.","INF","23","2"
"","Zach Gawrych","Tampa","Sr.","OF","25","2"
"","Foley George","North Greenville","So.","INF","26","2"
"","Kyle Gilbert","California Baptist","So.","INF","10","2"
"","David Goggin","Angelo St.","So.","C","29","2"
"","Rafael Gonzalez","Winston-Salem","Sr.","3B","24","2"
"","Mike Gonzalez","Lynn","Sr.","OF","25","2"
"","Jay Gonzalez","Mount Olive","Sr.","OF","30","2"
"","Charles Goss","Concord","So.","OF","14","2"
"","Jon Gray","Pfeiffer","Sr.","INF","30","2"
"","Hunter Greenwood","Philadelphia U.","Jr.","SS","19","2"
"","Ryan Gros","Ark.-Fort Smith","Sr.","INF","20","2"
"","Cooper Gunter","Limestone","Sr.","1B","30","2"
"","Zack Hagan","McMurry","---","LF","25","2"
"","Colton Haight","Minn.-Crookston","So.","C","10","2"
"","Brent Hall","Cal St. Stanislaus","---","RF","21","2"
"","Dieter Hamilton","Saint Leo","Sr.","C","8","2"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","2"
"","Chris Hanson","Eckerd","Sr.","1B","25","2"
"","Allen Hardy","Albany St. (GA)","Jr.","P","30","2"
"","Avery Harper","Barton","Jr.","OF","21","2"
"","Logan Harrah","Findlay","Fr.","OF","11","2"
"","Kevin Harris","Miles","Sr.","2B","22","2"
"","Dylan Harris","Saint Leo","Fr.","INF","27","2"
"","Clinton Harwick","Point Loma","Sr.","SS","27","2"
"","Matthew Haskins","Montevallo","Jr.","OF","30","2"
"","Tadarius Hawkins","Henderson St.","So.","OF","26","2"
"","Justin Hawkins","Regis (CO)","Fr.","INF","21","2"
"","Taylor Hayes","North Ala.","Jr.","OF","10","2"
"","Cody Herald","Seton Hill","Jr.","INF","23","2"
"","Josh Hickman","Anderson (SC)","Sr.","OF","30","2"
"","Jacob Horsley","Ohio Dominican","So.","INF","15","2"
"","Marshall Howard IV","Kentucky St.","Jr.","C","26","2"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","2"
"","John Hunter","Chowan","Sr.","INF","27","2"
"","Chris Hyatt","Lander","Jr.","C","22","2"
"","Sam Ingemanson","Mary","Sr.","C","16","2"
"","Jesus Jaile","Mercy","Sr.","1B","15","2"
"","Jonathan James","Hawaii Hilo","Sr.","OF","13","2"
"","Blake James","Azusa Pacific","Jr.","2B","22","2"
"","Zach Johnson","Wayne St. (MI)","Sr.","C","13","2"
"","Ray Johnson","Ark.-Monticello","Sr.","OF","29","2"
"","Richie Johnson","Cal St. Monterey Bay","So.","INF","24","2"
"","Jay Johnson","Arkansas Tech","Sr.","3B","28","2"
"","Matt Johnson","Central Okla.","Sr.","INF","23","2"
"","Ryan Johnston","Concord","Jr.","INF","21","2"
"","Brett Jones","Tampa","Jr.","OF","21","2"
"","Trevor Jones","Central Mo.","Jr.","OF","22","2"
"","Mike Jurgella","St. Cloud St.","Jr.","C","17","2"
"","Evan Jurjevic","Carson-Newman","Jr.","1B","25","2"
"","Thomas Kain","Lynn","Jr.","3B","29","2"
"","Kris Kaplan","Dixie St.","Sr.","OF","21","2"
"","Korey Keith","Southern Ark.","Jr.","1B","14","2"
"","Garrett Kilgore","Tarleton St.","Sr.","INF","26","2"
"","Kyler King","Malone","Sr.","INF","15","2"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","2"
"","Chris Knott","East Stroudsburg","Sr.","OF","19","2"
"","Logan Knox","Regis (CO)","Jr.","INF","21","2"
"","Ryan Kochan","Cal St. East Bay","Jr.","INF","20","2"
"","Fico Kondla","Coker","Sr.","3B","28","2"
"","Pat Kregeloh","Shippensburg","Sr.","3B","17","2"
"","Tyler Krekling","Concordia-St. Paul","Jr.","OF","12","2"
"","AJ Kruzel","Henderson St.","---","2B","20","2"
"","Tim Kurucz","Bloomsburg","Sr.","C","10","2"
"","Anthony Kyne","Lock Haven","Sr.","3B","16","2"
"","Zach Lance","Armstrong","Jr.","INF","17","2"
"","Justin Langdale","Miles","Jr.","C","24","2"
"","Cooper Langley","Fort Hays St.","Jr.","INF","23","2"
"","Johnny LeClair","Mansfield","Sr.","OF","14","2"
"","Justin Lee","Tex. A&M-Kingsville","Sr.","INF","26","2"
"","Kevin Lenik","Hawaii Pacific","---","RF","21","2"
"","Erik Lewis","UC San Diego","Jr.","INF","21","2"
"","Ryan Light","Lindenwood (MO)","Jr.","INF","25","2"
"","Stephen Lohr","California Baptist","Fr.","C","24","2"
"","Tanner Lollis","Erskine","Fr.","INF","20","2"
"","Brendan Looby","Chestnut Hill","So.","C","12","2"
"","Dayon Lopez","Salem Int'l","Jr.","INF","21","2"
"","Jordan Lopez","Okla. Christian","Jr.","OF","23","2"
"","Michael Lott","Shepherd","Sr.","OF","21","2"
"","Zachary Lowe","Morehouse","---","C","23","2"
"","Jonathan Lowe","Lincoln Memorial","Jr.","OF","24","2"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","2"
"","Matt MacMahon","Eckerd","So.","3B","25","2"
"","Neil Madsen","Tex. Permian Basin","Sr.","INF","28","2"
"","Michael Mann","UC San Diego","Jr.","1B","20","2"
"","Khalfani Mar'Na","Glenville St.","So.","OF","17","2"
"","Brett Marabito","Pitt.-Johnstown","Jr.","OF","19","2"
"","Brandon Marshall","Montevallo","So.","INF","26","2"
"","Jeff Martin","Northwestern Okla.","Jr.","1B","28","2"
"","Harrison Martin","Cedarville","Jr.","INF","13","2"
"","Daniel Martinez","Southern Nazarene","Jr.","INF","15","2"
"","Michael Mastroberti","Southern N.H.","Jr.","SS","19","2"
"","Hayden Maurice","Cal St. Dom. Hills","Sr.","OF","21","2"
"","Hunter Mayall","Henderson St.","Jr.","1B","31","2"
"","Erin McCarver","Harding","Sr.","C","27","2"
"","Morgan McCasland","N.M. Highlands","Jr.","C","22","2"
"","Christopher McClendon","Okla. Panhandle","So.","INF","13","2"
"","Eric McGlauflin","Northwest Mo. St.","Sr.","3B","20","2"
"","Tyler McKnight","West Tex. A&M","Sr.","OF","19","2"
"","Kevin Meredith","Tarleton St.","Jr.","OF","26","2"
"","Jarred Middleton","N.M. Highlands","Sr.","OF","15","2"
"","Ross Miles","GRU Augusta","Sr.","INF","29","2"
"","Danny Miller","Cal St. Chico","Jr.","OF","16","2"
"","Clayton Miller","Armstrong","Sr.","C","26","2"
"","Joey Miller","Fla. Southern","Jr.","C","21","2"
"","Jake Montoya","Adams St.","Jr.","C","17","2"
"","Gene Stewart Moody","Tuskegee","Sr.","P","20","2"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","2"
"","Tyler Moore","S.C. Aiken","So.","OF","27","2"
"","Adam Moore","Young Harris","Sr.","P","31","2"
"","Alvaro Moreno","Tarleton St.","Sr.","3B","25","2"
"","Eric Moritz","McMurry","Jr.","OF","24","2"
"","Matt Morningstar","Flagler","Sr.","C","22","2"
"","Zach Moss","Ga. Southwestern","Sr.","OF","25","2"
"","Mike Nadratowski","Grand Valley St.","Jr.","OF","18","2"
"","Tom Nagy","Bentley","Sr.","OF","13","2"
"","Nate Negri","Pitt.-Johnstown","So.","INF","17","2"
"","Tyler Nehring","Winona St.","So.","C","13","2"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","2"
"","David Newcomer","Lenoir-Rhyne","Fr.","INF","31","2"
"","Cj Nolen","Wayne St. (NE)","Sr.","1B","11","2"
"","Sean O'Brien","Tampa","Sr.","1B","25","2"
"","Greg O'Donnell","Assumption","Jr.","INF","12","2"
"","Matthew O'Herron","Franklin Pierce","So.","3B","24","2"
"","Nick Oddo","Cal St. San B'dino","Sr.","C","24","2"
"","Zak Orrison","Mount Olive","So.","2B","30","2"
"","Mitchell Osburn","Mo. Southern St.","So.","C","25","2"
"","Brandon Overstreet","Erskine","Jr.","INF","26","2"
"","Aaron Owen","Cal St. San B'dino","Jr.","OF","22","2"
"","Jermale Paige","Newberry","Sr.","OF","31","2"
"","Riley Palmer","Southern N.H.","Sr.","1B","19","2"
"","Clarence Peace","Saint Augustine's","Sr.","OF","26","2"
"","Enrique Perez","Lynn","Sr.","OF","27","2"
"","Bryan Perlmutter","Rollins","Jr.","SS","26","2"
"","Matt Petrizzi","West Chester","---","SS","14","2"
"","Anthony Pierro","West Liberty","Jr.","INF","20","2"
"","Jon Pilla","Belmont Abbey","Sr.","INF","30","2"
"","Brian Pinocci","Eastern N.M.","Sr.","OF","13","2"
"","Dan Popio","Mercyhurst","So.","C","16","2"
"","Lance Portwood","Missouri S&T","So.","1B","22","2"
"","Lucas Raley","Lake Erie","---","LF","16","2"
"","Tyler Rapp","Southwestern Okla.","So.","OF","14","2"
"","Anthony Raschilla","Ohio Dominican","Sr.","INF","15","2"
"","John Razzino","Franklin Pierce","Jr.","OF","24","2"
"","Mike Reed","Valdosta St.","Jr.","SS","25","2"
"","Anthony Renz","Mansfield","Jr.","3B","12","2"
"","Jeff Rice","GRU Augusta","Sr.","INF","25","2"
"","Brad Ridings","Maryville (MO)","Jr.","2B","15","2"
"","Orlando Rivera","Tampa","Jr.","3B","26","2"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","2"
"","Beto Rodriguez","West Tex. A&M","Sr.","INF","28","2"
"","Carlos Rodriguez","Henderson St.","Jr.","3B","23","2"
"","Jean Rodriguez","Lincoln Memorial","So.","INF","26","2"
"","Rafael Romo","Eastern N.M.","Sr.","INF","24","2"
"","Josh Rudnik","Young Harris","Sr.","P","31","2"
"","Bryan Rudolph","Ohio Dominican","Sr.","OF","18","2"
"","Frankie Sagarese","Flagler","So.","OF","19","2"
"","Ricky Sanchez","Newman","Sr.","OF","21","2"
"","Ryan Sanders","Notre Dame (OH)","Sr.","OF","18","2"
"","Josh Sanders","Ga. Southwestern","Sr.","3B","25","2"
