"Rank","Name","Team","Cl","Pos","G","R"
"36","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","46"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","46"
"","Jimmy Brenneman","Campbell","Jr.","OF","43","46"
"","James Brooks","Utah","Jr.","INF","37","46"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","46"
"","Keith Hernandez","Delaware St.","Sr.","INF","44","46"
"","Sean Jamieson","Canisius","Sr.","SS","42","46"
"","Tommy La Stella","Coastal Caro.","Jr.","2B","44","46"
"","John McCambridge","Xavier","Sr.","INF","43","46"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","46"
"","Jon Schwind","Marist","Jr.","3B","42","46"
"","Bradley Shaban","James Madison","So.","INF","44","46"
"","Richie Shaffer","Clemson","So.","INF","44","46"
"","Zachary Voight","New Mexico St.","Jr.","3B","44","46"
"50","Ryan Jones","Michigan St.","So.","INF","38","45"
"","Kendall Logan","Jackson St.","Jr.","OF","38","45"
"","Bryce Ortega","Arizona","Sr.","INF","43","45"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","45"
"","Tyler Sibley","Texas St.","Jr.","INF","41","45"
"","Chris Wolfe","Grambling","Jr.","INF","39","45"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","45"
"57","Alex Azor","Navy","Jr.","OF","49","44"
"","Todd Baumgartner","Arkansas St.","Sr.","OF","46","44"
"","Chris Benson","Utah Valley","Sr.","OF","38","44"
"","Pablo Bermudez","FIU","Jr.","OF","41","44"
"","Kris Bryant","San Diego","Fr.","3B","41","44"
"","Zeke DeVoss","Miami (FL)","So.","OF","44","44"
"","Taylor Dugas","Alabama","Jr.","OF","47","44"
"","Frazier Hall","Southern U.","Sr.","INF","41","44"
"","Justin Lesson","Georgetown","So.","OF","46","44"
"","Drew Martinez","Memphis","Jr.","OF","44","44"
"","Mark Micowski","Georgia St.","Sr.","OF","46","44"
"","Kenton Parmley","Southeast Mo. St.","Jr.","INF","41","44"
"","Victor Roache","Ga. Southern","So.","OF","44","44"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","44"
"","Devon Travis","Florida St.","So.","2B","44","44"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","44"
"73","Nick Ahmed","Connecticut","Jr.","INF","40","43"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","43"
"","Tommy Coyle","North Carolina","So.","2B","43","43"
"","Greg Dupell","Navy","So.","INF","48","43"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","43"
"","Casey Kalenkosky","Texas St.","Jr.","INF","44","43"
"","Byron McKoy","Temple","Sr.","OF","41","43"
"","Jeff McVaney","Texas St.","Jr.","OF","44","43"
"","Aaron Miller","Gardner-Webb","Sr.","SS","42","43"
"","Chris O'Dowd","Dartmouth","So.","C","38","43"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","43"
"","Anthony Rendon","Rice","Jr.","3B","44","43"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","43"
"","Christian Walker","South Carolina","So.","INF","43","43"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","43"
"88","Eric Charles","Purdue","Jr.","INF","43","42"
"","Chris Cook","George Mason","So.","INF","43","42"
"","Trent Cook","UNLV","Jr.","1B","46","42"
"","Robert Crews","Stetson","Jr.","INF","43","42"
"","Mac Doyle","Wofford","Jr.","C","44","42"
"","Kevin Hall","Wichita St.","Jr.","OF","47","42"
"","Parker Hipp","New Mexico St.","So.","C","38","42"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","42"
"","Rob Lind","Georgia St.","Sr.","2B","46","42"
"","Mike McGee","Florida St.","Sr.","OF","43","42"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","42"
"","Tyler Naquin","Texas A&M","So.","OF","43","42"
"","Mike Orefice","Marist","So.","1B","42","42"
"","Robby Ort","Indiana St.","So.","OF","41","42"
"","Andrew Rash","Virginia Tech","So.","OF","42","42"
"","Matt Rice","Western Ky.","Sr.","C","44","42"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","42"
"","Taylor Roy","Southern U.","Jr.","OF","37","42"
"","Kevan Smith","Pittsburgh","Sr.","C","39","42"
"","George Springer","Connecticut","Jr.","OF","45","42"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","42"
"109","Tony Balisteri","Virginia Tech","Sr.","INF","45","41"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","41"
"","C.J. Cron","Utah","Jr.","C","37","41"
"","D.J. Crumlich","UC Irvine","Jr.","INF","40","41"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","41"
"","Jacob Esch","Georgia Tech","Jr.","P","45","41"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","41"
"","Anthony Gomez","Vanderbilt","So.","INF","43","41"
"","Ross Heffley","Western Caro.","Jr.","OF","40","41"
"","John Hinson","Clemson","Jr.","INF","41","41"
"","Bryan Karraker","New Mexico St.","Jr.","OF","42","41"
"","Pete Leonello","LIU Brooklyn","Fr.","OF","40","41"
"","Matt Mack","Radford","Jr.","3B","43","41"
"","Alex Maldonado","Holy Cross","So.","INF","48","41"
"","Andre McKoy","N.C. A&T","So.","OF","43","41"
"","Ryan Mooney","Sam Houston St.","Sr.","INF","46","41"
"","Tyler Ogle","Oklahoma","Jr.","C","44","41"
"","Taylor Ratliff","Jacksonville","Fr.","INF","37","41"
"","Daniel Rockett","UTSA","So.","OF","44","41"
"","Doug Shribman","Bucknell","Sr.","1B","49","41"
"","Cory Tilton","Charlotte","Sr.","OF","43","41"
"","Tanner Waite","New Mexico St.","Fr.","C","43","41"
"","Jacob Wilson","Memphis","Jr.","INF","44","41"
"132","Adam Bryant","Troy","Sr.","INF","44","40"
"","Jeff Cammans","Rhode Island","Jr.","OF","42","40"
"","William Carmona","Stony Brook","So.","INF","40","40"
"","Kes Carter","Western Ky.","Jr.","OF","40","40"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","40"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","40"
"","John Hicks","Virginia","Jr.","C","47","40"
"","Tony Kemp","Vanderbilt","Fr.","OF","43","40"
"","Jack Laurendeau","Holy Cross","Sr.","OF","42","40"
"","Mike LeBel","Rhode Island","Jr.","INF","43","40"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","40"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","40"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","40"
"","Robert Refsnyder","Arizona","So.","INF","43","40"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","40"
"","Ryan Terry","Monmouth","Sr.","INF","43","40"
"","Brig Tison","George Mason","Jr.","INF","47","40"
"","Maxx Tissenbaum","Stony Brook","So.","INF","40","40"
"150","Ryan Aguayo","New Mexico St.","Sr.","INF","44","39"
"","Jared Andreoli","Western Ky.","Jr.","OF","44","39"
"","Marc Bourgeois","Southern Miss.","Sr.","OF","39","39"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","39"
"","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","39"
"","Bryan Condotta","Georgia St.","Sr.","SS","46","39"
"","Ryan Ferguson","Temple","Sr.","C","41","39"
"","Grant Fillipitch","Butler","Sr.","INF","38","39"
"","Alex Fuselier","La.-Lafayette","Jr.","OF","43","39"
"","Mike Garza","Georgetown","So.","INF","44","39"
"","Ivan Hartle","Western Ky.","Jr.","INF","44","39"
"","D.J. Long","Delaware","So.","INF","44","39"
"","Greg Olson","Sam Houston St.","So.","OF","46","39"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","39"
"","James Ramsey","Florida St.","Jr.","OF","44","39"
"","Barrett Serrato","Purdue","Jr.","INF","43","39"
"","Eric Stamets","Evansville","So.","INF","39","39"
"","Joe Torres","Iona","Fr.","OF","41","39"
"","Chris Vergne","A&M-Corpus Christi","Sr.","OF","46","39"
"","Brandon Williams","Georgia St.","Jr.","3B","45","39"
"","Chad Zurcher","Memphis","Jr.","INF","42","39"
"171","Tobi Adeyemi","Florida A&M","Sr.","OF","48","38"
"","Cody Asche","Nebraska","Jr.","3B","44","38"
"","Ben Bunting","North Carolina","Sr.","OF","43","38"
"","Michael Burruss","Ga. Southern","So.","OF","44","38"
"","Raymond Church","Fla. Atlantic","Sr.","INF","43","38"
"","Aaron Conway","Missouri St.","Sr.","OF","40","38"
"","Ryan Court","Illinois St.","Sr.","INF","40","38"
"","Pat Dameron","Delaware","Sr.","INF","43","38"
"","Sean Deegan","Penn St.","Jr.","OF","40","38"
"","Bob Donato","Bucknell","Jr.","OF","46","38"
"","Blake Ellender","McNeese St.","Sr.","OF","46","38"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","38"
"","Nolan Gaige","Albany (NY)","So.","P","37","38"
"","Michael Gallic","Marist","Sr.","OF","41","38"
"","Brock Hebert","Southeastern La.","So.","INF","45","38"
"","Jerry Hildredth","Mississippi Val.","Sr.","3B","46","38"
"","Matt Hillsinger","Radford","Jr.","OF","43","38"
"","Matt Johns","Western Caro.","Sr.","INF","41","38"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","38"
"","Michael Johnson","Samford","Sr.","INF","45","38"
"","Braden Kapteyn","Kentucky","Jr.","INF","45","38"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","38"
"","John Lenherr","VCU","Sr.","OF","41","38"
"","Chris Manning","Valparaiso","Fr.","OF","43","38"
"","Joseph McCrary III","Savannah St.","So.","OF","47","38"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","38"
"","Levi Michael","North Carolina","Jr.","SS","41","38"
"","Chris O'Brien","Wichita St.","Jr.","C","47","38"
"","Kevin Plawecki","Purdue","So.","C","42","38"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","38"
"","Ronnie Richardson","UCF","So.","OF","44","38"
"","Austin Schultz","Western Caro.","Sr.","INF","42","38"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","38"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","38"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","38"
"","Justin Wilson","Charlotte","Sr.","OF","44","38"
"207","Steve Antolik","High Point","Sr.","OF","44","37"
"","Landon Appling","Houston","Fr.","OF","45","37"
"","Alex Bacon","North Florida","Fr.","OF","39","37"
"","Nick Baligod","Oral Roberts","Sr.","OF","39","37"
"","Barrett Barnes","Texas Tech","So.","OF","46","37"
"","Eldred Barnett","Grambling","Jr.","OF","40","37"
"","Aaron Buchanan","Lamar","Sr.","INF","45","37"
"","Saxon Butler","Samford","Jr.","INF","45","37"
"","Jason Coats","TCU","Jr.","OF","44","37"
"","Drew Constable","Bucknell","Sr.","OF","44","37"
"","Jonathan Davis","Central Ark.","Fr.","INF","36","37"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","37"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","37"
"","Tim Egerton","Belmont","Sr.","OF","45","37"
"","Rob Elliott","Bradley","Jr.","INF","42","37"
"","Alex Foltz","James Madison","Sr.","OF","37","37"
"","Justin Gonzalez","Florida St.","So.","SS","44","37"
"","Cale Hanson","Yale","Fr.","INF","42","37"
"","Mark Jones","Stetson","Jr.","INF","42","37"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","37"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","37"
"","Brad Miller","Clemson","Jr.","INF","37","37"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","37"
"","Ricky Pacione","Marist","Sr.","OF","42","37"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","37"
"","Dan Paolini","Siena","Jr.","2B","44","37"
"","Matt Pollock","Buffalo","So.","OF","38","37"
"","Zach Price","Army","Jr.","INF","43","37"
"","Jake Proctor","Cincinnati","So.","OF","40","37"
"","Joey Rickard","Arizona","So.","OF","43","37"
"","Brance Rivera","TCU","Jr.","OF","44","37"
"","Travis Shreve","UCF","Jr.","INF","43","37"
"","Jeff Simpson","Stetson","Sr.","OF","42","37"
"","Matt Skole","Georgia Tech","Jr.","3B","43","37"
"","Jordan Steranka","Penn St.","Jr.","3B","41","37"
"","Billy Stitz","South Dakota St.","Sr.","OF","38","37"
"","Nick Vickerson","Mississippi St.","Sr.","INF","39","37"
"","Greg Wallace","Evansville","Sr.","OF","39","37"
"","Josh Wright","Old Dominion","Jr.","INF","38","37"
"246","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","36"
"","T.J. Berge","Northern Colo.","Sr.","INF","42","36"
"","Evan Boyd","Mercer","So.","SS","46","36"
"","Steven Brooks","Wake Forest","Sr.","OF","43","36"
"","Chris Burke","Iona","Jr.","INF","41","36"
"","Matt Campbell","UNC Wilmington","Jr.","INF","43","36"
"","Jordan Castaldo","Arkansas St.","Sr.","INF","46","36"
"","Tom Coulombe","Rhode Island","Sr.","INF","43","36"
"","Dan DiBartolomeo","West Virginia","Jr.","2B","38","36"
"","Phillip Ervin","Samford","Fr.","P","43","36"
"","Taylor Featherston","TCU","Jr.","SS","44","36"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","36"
"","Cole Frenzel","Arizona","So.","INF","43","36"
"","Riley Good","UTSA","Fr.","OF","45","36"
"","Zack Helgeson","George Mason","Jr.","1B","47","36"
"","Matt Igara","Western Ill.","Jr.","OF","44","36"
"","Matthew James","UTSA","Jr.","INF","45","36"
"","Brant Jones","Longwood","Sr.","2B","40","36"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","36"
"","Kale Kiser","Nebraska","Jr.","OF","41","36"
"","Brian Knuckles","Grambling","Jr.","OF","39","36"
"","Ryan Kresky","Fairleigh Dickinson","Jr.","INF","41","36"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","36"
"","Michael Lowe","Mississippi Val.","Jr.","OF","44","36"
"","Ellis Lowe","Campbell","Sr.","INF","43","36"
"","Zack MacPhee","Arizona St.","Jr.","INF","41","36"
"","Nick Martinez","Fordham","Jr.","INF","40","36"
"","Cole McInturff","James Madison","So.","OF","43","36"
"","Ryan McIntyre","CSU Bakersfield","Jr.","OF","40","36"
"","Brandon Miller","Samford","Jr.","C","44","36"
"","Mike Nemeth","Connecticut","Sr.","INF","45","36"
"","Nick Orvin","Citadel","Jr.","OF","42","36"
"","Adrian Perez","Temple","Sr.","SS","41","36"
"","Steven Proscia","Virginia","Jr.","INF","47","36"
"","Jared Reaves","Alabama","Jr.","INF","47","36"
"","Sam Roberts","VMI","Sr.","INF","44","36"
"","John Schultz","Pittsburgh","Sr.","OF","41","36"
"","Matt Simonelli","Citadel","Sr.","OF","42","36"
"","Will Skinner","Middle Tenn.","Sr.","OF","44","36"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","36"
"","Garrett Smith","Stephen F. Austin","Sr.","OF","40","36"
"","Tyler Spillner","Purdue","Jr.","OF","43","36"
"","Matt Tenaglia","James Madison","So.","1B","45","36"
"","Steve Ulaky","Delaware","Sr.","1B","44","36"
"","Taylor White","South Ala.","Sr.","OF","43","36"
"","M.L. Williams","Lipscomb","Jr.","OF","43","36"
"","Alex Yarbrough","Ole Miss","So.","INF","44","36"
"293","Willie Argo","Illinois","Jr.","OF","39","35"
"","John Barr","Virginia","Sr.","OF","45","35"
"","Matt Bowman","Princeton","So.","SS","41","35"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","35"
"","Justin Cook","Texas Southern","Jr.","P","42","35"
"","Taylor Davis","Morehead St.","Jr.","C","38","35"
"","Nick Driscoll","Navy","Sr.","OF","49","35"
"","Brandon Eckerle","Michigan St.","Sr.","OF","40","35"
"","Anthony Flenoy","Texas Southern","Jr.","OF","40","35"
"","Nolan Fontana","Florida","So.","INF","43","35"
"","Matt Gedman","Massachusetts","Sr.","SS","35","35"
"","C.J. Gillman","Dayton","Jr.","INF","44","35"
"","Austin Heaps","Utah Valley","Jr.","OF","38","35"
"","Jeff Holm","Michigan St.","Sr.","1B","40","35"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","35"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","35"
"","Sherman Johnson","Florida St.","Jr.","2B","44","35"
"","Trey Karlen","UT Martin","Sr.","3B","39","35"
"","Tom Lilja","Western Ill.","Jr.","OF","44","35"
"","Casey McElroy","Auburn","Jr.","INF","44","35"
"","Austin Nola","LSU","Jr.","INF","45","35"
"","Chase Okey","UT Martin","Jr.","C","41","35"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","35"
"","Chris Peters","Cincinnati","Sr.","SS","41","35"
"","Nick Rickles","Stetson","Jr.","C","44","35"
"","Steven Scoby","Valparaiso","Jr.","OF","42","35"
"","Jacob Stallings","North Carolina","Jr.","C","43","35"
"","Trey Watkins","LSU","Jr.","OF","38","35"
"","Jake Watts","Gardner-Webb","Jr.","P","41","35"
"","Brady Wilson","West Virginia","So.","OF","43","35"
"","Derrick Workman","Mercer","Fr.","OF","46","35"
"","Greg Zebrack","Penn","So.","OF","39","35"
"325","Trever Adams","Creighton","Sr.","INF","41","34"
"","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","34"
"","Greg Bachman","Austin Peay","Sr.","INF","41","34"
"","Sam Bean","Dartmouth","Sr.","OF","38","34"
"","Preston Beck","Texas-Arlington","So.","INF","44","34"
"","Brandon Bednar","Fla. Gulf Coast","Fr.","INF","42","34"
"","Taylor Black","Kentucky","Sr.","INF","45","34"
"","Brett Botsford","Le Moyne","Jr.","OF","42","34"
"","Daniel Bowman","Coastal Caro.","Jr.","OF","43","34"
"","Grant Buckner","West Virginia","Sr.","SS","43","34"
"","David Chester","Pittsburgh","Sr.","1B","41","34"
"","Peter Copa","Massachusetts","Sr.","3B","35","34"
"","Nick Cox","Columbia","Sr.","OF","36","34"
"","Casey Coy","Northern Colo.","Jr.","INF","42","34"
"","Garrett Custons","Air Force","So.","OF","45","34"
"","Alan Denman","Campbell","Sr.","INF","42","34"
"","Troy Drummond","Delaware St.","Sr.","OF","39","34"
"","Nolan Earley","South Ala.","So.","OF","42","34"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","34"
"","Brandon Elliott","Murray St.","So.","INF","34","34"
"","Mark Ellis","Southern Miss.","Sr.","INF","42","34"
"","Tyler Hannah","Troy","Jr.","INF","44","34"
"","Tyler Hanover","LSU","Jr.","INF","45","34"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","34"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","34"
"","Cody Hudson","Austin Peay","So.","OF","39","34"
"","Angel Ibanez","Tex.-Pan American","So.","INF","37","34"
"","Chase Jensen","Houston","So.","SS","44","34"
"","Nick Judkins","Creighton","Jr.","INF","41","34"
"","Paul Karmas","St. John's (NY)","Sr.","1B","39","34"
"","Koby Kraemer","Indiana St.","So.","INF","42","34"
"","Pete Lavin","San Francisco","Sr.","OF","44","34"
"","Dj Leonard","Bethune-Cookman","Sr.","OF","47","34"
"","Dairio Little","N.C. A&T","So.","OF","44","34"
"","Chris Marconcini","Duke","Fr.","1B","46","34"
"","Jake Matuszak","Central Conn. St.","Jr.","OF","39","34"
"","Jamodrick McGruder","Texas Tech","So.","INF","46","34"
"","Brantley Meier","Charleston So.","Sr.","OF","43","34"
"","Sean Miller-Jones","Central Conn. St.","Sr.","INF","41","34"
"","Will Owens","Furman","Jr.","2B","45","34"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","34"
"","Ian Parmley","Liberty","Jr.","OF","41","34"
"","Bryan Peters","Nebraska","So.","2B","45","34"
"","Dario Pizzano","Columbia","So.","OF","43","34"
"","Caleb Ramsey","Houston","Sr.","OF","44","34"
"","Jarryd Reid","Florida A&M","Jr.","OF","38","34"
"","T.J. Rich","Memphis","Jr.","1B","44","34"
"","Sam Sciamarelli","LIU Brooklyn","Sr.","OF","41","34"
"","Travis Shaw","Kent St.","Jr.","INF","42","34"
"","Frank Solis","Jackson St.","Jr.","3B","39","34"
"","Ivory Thomas","Cal St. Fullerton","So.","OF","33","34"
"","Kevin Tokarski","Illinois St.","Jr.","INF","40","34"
"","Ryan Wright","Louisville","Jr.","SS","43","34"
"378","Nick Allen","George Mason","So.","2B","42","33"
"","Chris Andreas","Sam Houston St.","Sr.","OF","46","33"
"","Bret Atwood","Texas St.","Sr.","OF","43","33"
"","Alex Baldock","Buffalo","So.","INF","38","33"
"","Shane Basen","Charlotte","So.","INF","43","33"
"","Joel Blake","South Dakota St.","Sr.","1B","37","33"
"","Kyle Burnam","Indiana St.","Jr.","OF","42","33"
"","Pat Cantwell","Stony Brook","Jr.","C","40","33"
"","Emmanuel Castro","Bethune-Cookman","Sr.","INF","47","33"
"","J.T. Chargois","Rice","So.","P","44","33"
"","Andrew Ciencin","North Carolina St.","Jr.","INF","44","33"
"","Chas Crane","Winthrop","Jr.","3B","45","33"
"","Shane Davis","George Mason","Sr.","DH","45","33"
"","Chris Diaz","North Carolina St.","So.","INF","45","33"
"","Matt Faiman","Central Mich.","Sr.","OF","44","33"
"","Michael Faulkner","Arkansas St.","So.","OF","44","33"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","33"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","33"
"","Jeff Harkensee","Southeastern La.","Sr.","OF","46","33"
"","Ethan Harris","Central Ark.","So.","OF","41","33"
"","Drew Helenihi","Northwestern St.","Fr.","-","45","33"
"","Jabari Henry","FIU","So.","OF","41","33"
"","Logan Kirkland","South Ala.","Fr.","2B","42","33"
"","Jonathan Koscso","South Fla.","Sr.","INF","43","33"
"","Eric Lane","Gonzaga","Jr.","INF","39","33"
"","Mike Lang","Rutgers","Sr.","OF","40","33"
"","Brandon Loy","Texas","Jr.","SS","44","33"
"","John Lynch","Norfolk St.","Sr.","OF","41","33"
"","Ryan Mahoney","Le Moyne","So.","INF","40","33"
"","Tristan Moore","Wright St.","Jr.","OF","39","33"
"","Colin Moran","North Carolina","Fr.","3B","43","33"
"","Bryce Nugent","Marist","Sr.","C","42","33"
"","Matthew Oglesby","Savannah St.","Jr.","INF","47","33"
"","Jeremy Patton","FIU","Jr.","INF","43","33"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","33"
"","Dane Phillips","Oklahoma St.","So.","C","43","33"
"","Danny Poma","Hofstra","Jr.","OF","37","33"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","33"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","33"
"","Isaac Rodriguez","Southern Miss.","So.","INF","40","33"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","33"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","33"
"","Andrew Russell","Lehigh","Sr.","OF","45","33"
"","Jeremy Schaffer","Tulane","Jr.","C","44","33"
"","Justin Shults","UC Riverside","Sr.","INF","37","33"
"","Preston Springer","Wichita St.","Sr.","1B","47","33"
"","Trevor Stevens","Northwestern","Jr.","1B","39","33"
"","Kenny Swab","Virginia","Sr.","C","38","33"
"","Ben Thomas","Xavier","Sr.","1B","40","33"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","33"
"","Derek Trent","East Tenn. St.","Sr.","C","42","33"
"","Jamison Wells","Northern Ill.","So.","INF","37","33"
"","Brett Williams","North Carolina St.","Jr.","OF","45","33"
"","Chris Wychock","Towson","Sr.","3B","41","33"
"432","Breland Almadova","Hawaii","So.","OF","37","32"
"","Jamal Austin","UAB","Jr.","OF","43","32"
"","Alex Bast","Air Force","So.","C","44","32"
"","Ryan Bellamy","Xavier","Sr.","C","42","32"
"","Brian Billigen","Cornell","Jr.","OF","36","32"
"","Torsten Boss","Michigan St.","So.","INF","40","32"
"","Thomas Brown","Grambling","Fr.","INF","41","32"
"","Shaun Cooper","Utah","Jr.","OF","38","32"
"","Johnny Coy","Wichita St.","So.","INF","46","32"
"","Nick Crawford","UAB","Sr.","INF","44","32"
"","Corey Davis","Wright St.","Jr.","C","38","32"
"","Dustin DeMuth","Indiana","Fr.","INF","44","32"
"","Zach Duggan","Pittsburgh","Sr.","OF","37","32"
"","Davis Duren","Oklahoma St.","Sr.","INF","41","32"
"","Austin Elkins","Dallas Baptist","So.","INF","33","32"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","32"
"","Patrick Gamblin","Winthrop","So.","OF","42","32"
"","Mitchell Garver","New Mexico","So.","C","45","32"
"","Juluis Green","Savannah St.","Jr.","INF","45","32"
"","Cameron Green","Temple","Jr.","INF","36","32"
"","Jonathan Griffin","UCF","Sr.","INF","44","32"
"","Chris Gruarin","Canisius","Jr.","OF","41","32"
"","Justin Guidry","Middle Tenn.","Jr.","OF","44","32"
"","Tyler Hall","Central Mich.","Jr.","INF","44","32"
"","Beau Hanowski","South Dakota St.","Jr.","OF","37","32"
"","Kyle Holmstrom","Campbell","Jr.","INF","41","32"
"","Brad Hook","South Ala.","Jr.","1B","43","32"
"","Jason Houston","UALR","Sr.","2B","42","32"
"","Alex Hudak","Fla. Atlantic","Jr.","OF","43","32"
"","Levi Hyams","Georgia","Jr.","INF","45","32"
"","Benji Jackson","Gardner-Webb","So.","-","35","32"
"","Chase Jaramillo","Nicholls St.","Sr.","INF","44","32"
"","Micah Johnson","Indiana","So.","OF","43","32"
"","Andrew Karmeris","North Florida","Jr.","INF","41","32"
"","Dan Klem","La Salle","So.","INF","41","32"
"","Justin Mackert","Citadel","Jr.","INF","43","32"
"","Mike Martinez","FIU","Jr.","1B","43","32"
"","Brett Maxwell","Georgia St.","Sr.","OF","41","32"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","32"
"","Kevin Mihalik","Lehigh","Sr.","1B","44","32"
