"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"31","Steve Sulcoski","Shippensburg","So.","C","41","115","7","16.4"
"32","Adam Enright","Southern Ind.","Sr.","INF","44","164","10","16.4"
"33","Zane Madden","West Liberty","So.","INF","38","131","8","16.4"
"","Gary Williams","West Va. Wesleyan","Sr.","SS","35","131","8","16.4"
"35","Ryan McCormick","Millersville","Sr.","SS","45","145","9","16.1"
"","Aaron Ordy","California (PA)","Sr.","INF","44","145","9","16.1"
"37","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","177","11","16.1"
"38","Derek Fulmer","North Greenville","Jr.","P","44","159","10","15.9"
"39","Aaron Scoville","Shepherd","Fr.","INF","33","127","8","15.9"
"40","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","172","11","15.6"
"41","David Frazier","North Greenville","Jr.","INF","44","154","10","15.4"
"42","Lance Rorex","Carson-Newman","Jr.","2B","46","166","11","15.1"
"43","Danny Susdorf","UC San Diego","So.","OF","46","181","12","15.1"
"44","Bret Blevins","Concord","Fr.","INF","40","149","10","14.9"
"45","Ryan Lewicki","West Va. Wesleyan","So.","1B","33","119","8","14.9"
"46","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","190","13","14.6"
"","Ryan Faison","Mount Olive","Sr.","INF","46","190","13","14.6"
"48","Brandon Mack","Chowan","So.","INF","50","144","10","14.4"
"49","Luke Valerius","Neb.-Kearney","Sr.","3B","37","114","8","14.3"
"50","Bryan Butcher","Morehouse","Jr.","C","41","142","10","14.2"
"51","Bo Folkinga","Western Ore.","Jr.","OF","36","113","8","14.1"
"52","John Sgromolo","Flagler","Jr.","1B","48","183","13","14.1"
"53","Tyler Cappelmann","Francis Marion","Sr.","INF","47","168","12","14.0"
"","Kent Koch","St. Cloud St.","Sr.","INF","37","98","7","14.0"
"55","Colton Beatty","Cal St. Stanislaus","So.","2B","37","125","9","13.9"
"56","Selwyn Young","Benedict","Sr.","SS","39","137","10","13.7"
"57","Mike Diorio","Lynn","Jr.","INF","37","123","9","13.7"
"","Andrew Lawrence","North Greenville","So.","P","42","123","9","13.7"
"","Cody Snyder","King (TN)","Fr.","INF","37","123","9","13.7"
"60","Ryan Rua","Lake Erie","Jr.","SS","41","150","11","13.6"
"61","Cody Montz","Kutztown","Jr.","INF","37","108","8","13.5"
"62","Adam Connell","Hillsdale","Sr.","INF","42","147","11","13.4"
"63","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","182","14","13.0"
"","Stuart Drew","West Ga.","Jr.","2B","48","182","14","13.0"
"","Kevin Miller","Mansfield","Sr.","OF","35","117","9","13.0"
"66","Nick Thimesch","Drury","Fr.","OF","45","181","14","12.9"
"67","Adam Shank","St. Edward's","Jr.","OF","44","168","13","12.9"
"68","Jarius Brown","Stillman","Fr.","OF","41","155","12","12.9"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","155","12","12.9"
"70","Mike Newell","Cal St. San B'dino","Jr.","INF","40","142","11","12.9"
"71","Chase Barnes","Pittsburg St.","Jr.","OF","38","129","10","12.9"
"72","Rudy Casillas","Upper Iowa","Jr.","INF","44","167","13","12.8"
"73","Billy Kellum","Elizabeth City St.","Sr.","OF","41","141","11","12.8"
"","Brett Neill","Drury","So.","INF","44","141","11","12.8"
"75","David Buchanan","West Ga.","Sr.","C","45","153","12","12.8"
"76","P.J. Ortega","Cameron","Sr.","C","44","152","12","12.7"
"77","Luis Quinones","Eastern N.M.","So.","OF","40","139","11","12.6"
"78","Eric Rodriguez","Benedict","Sr.","OF","34","101","8","12.6"
"79","Hector Flores","Incarnate Word","Jr.","INF","41","113","9","12.6"
"80","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","138","11","12.5"
"81","Jordan Smith","St. Cloud St.","So.","OF","41","150","12","12.5"
"","Lee Voth-Gaeddert","Missouri S&T","Jr.","OF","38","125","10","12.5"
"83","Joe Pudlo","St. Joseph's (IN)","Jr.","OF","39","137","11","12.5"
"84","Michael Ferrante","Mercy","Sr.","2B","33","112","9","12.4"
"85","Dillon Hazlett","Emporia St.","Sr.","INF","45","174","14","12.4"
"86","Andrew Trepel","Grand Valley St.","Sr.","INF","40","124","10","12.4"
"87","Erik Ornelas","Cal St. San B'dino","Sr.","2B","42","148","12","12.3"
"","Chris Eichten","Southwest Minn. St.","So.","OF","27","74","6","12.3"
"89","Steven Brault","Regis (CO)","Fr.","P","43","135","11","12.3"
"90","Ray Delvalle","Ky. Wesleyan","Jr.","2B","30","98","8","12.3"
"91","Steven Helget","Minn. St. Mankato","Sr.","C","39","122","10","12.2"
"92","Shane O'Connell","New Haven","So.","C","38","146","12","12.2"
"93","Josh Miller","S.C. Aiken","So.","C","46","182","15","12.1"
"94","Brian Giles","North Greenville","Sr.","P","44","145","12","12.1"
"","Eric Skinner","Columbus St.","Sr.","SS","44","145","12","12.1"
"96","Stephen Carmon","S.C. Aiken","Jr.","SS","50","193","16","12.1"
"97","Deryk Marks","Augustana (SD)","Sr.","INF","43","168","14","12.0"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","156","13","12.0"
"99","Michel Coffey","Ga. Southwestern","So.","C","48","203","17","11.9"
"100","Scot Palmer","Newman","Sr.","C","45","165","14","11.8"
"101","Jae Leeworthy","Lake Erie","Jr.","1B","40","117","10","11.7"
"","Marcus Riewer","Minn. Duluth","Jr.","SS","34","117","10","11.7"
"103","Eric Grabe","Tampa","Jr.","2B","45","175","15","11.7"
"","Mike Williams","Newman","Sr.","INF","46","175","15","11.7"
"","Dallas Burke","Mo. Southern St.","Jr.","C","41","140","12","11.7"
"","Yonatan Rodriguez","Concordia (NY)","Jr.","INF","35","140","12","11.7"
"","Jose Jauregui","Cal St. Dom. Hills","So.","INF","34","105","9","11.7"
"108","Kalab Evans","Grand Canyon","Jr.","C","45","151","13","11.6"
"109","Mike Barnhill","Armstrong","So.","2B","48","174","15","11.6"
"110","Adam Lewis","Mars Hill","Sr.","C","49","197","17","11.6"
"111","Eitan Maoz","UNC Pembroke","Jr.","C","37","127","11","11.5"
"112","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","14","11.5"
"","Colton Little","Colorado Mesa","So.","INF","36","115","10","11.5"
"114","Mike August","Millersville","Jr.","SS","45","149","13","11.5"
"115","Patrick Kilway","Lake Erie","So.","C","37","103","9","11.4"
"116","Kramer Clark","Brevard","Jr.","INF","39","137","12","11.4"
"117","Cameron Robulack","Delta St.","Jr.","1B","44","148","13","11.4"
"","Dane Simoneau","Washburn","Sr.","INF","42","148","13","11.4"
"119","Chris Matzner","Cal St. L.A.","Sr.","3B","45","170","15","11.3"
"120","Craig Denman","Mercyhurst","Sr.","OF","44","147","13","11.3"
"121","Brock McCallister","Francis Marion","Jr.","INF","41","158","14","11.3"
"122","Johnathan James","Hawaii Hilo","So.","INF","37","124","11","11.3"
"123","Grant Glover","Western Ore.","Sr.","INF","37","135","12","11.3"
"","Jordan Oshiro","Hawaii Pacific","Fr.","OF","44","135","12","11.3"
"125","Tate Leapaldt","Mary","Fr.","3B","35","101","9","11.2"
"126","Josh Dawson","Cameron","Jr.","INF","44","168","15","11.2"
"127","Casey Teagarden","California (PA)","Sr.","INF","42","134","12","11.2"
"128","Andrew Armour","Indianapolis","Jr.","OF","40","111","10","11.1"
"129","Tony Mueller","Winona St.","Jr.","OF","37","122","11","11.1"
"130","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","133","12","11.1"
"131","Ladarrius Cole","West Ala.","Jr.","OF","41","166","15","11.1"
"132","Al Benson","Limestone","Jr.","OF","52","187","17","11.0"
"","Kevin Korwek","Bentley","Jr.","C","37","132","12","11.0"
"","William Buford","Tuskegee","So.","P","33","110","10","11.0"
"","Jonas Cueche","Oakland City","Sr.","OF","29","88","8","11.0"
"","Jake Ritzdorf","Wayne St. (NE)","Jr.","3B","28","88","8","11.0"
"137","Joey Benke","St. Cloud St.","Jr.","INF","36","120","11","10.9"
"","Brad Guenther","Wayne St. (MI)","So.","C","40","120","11","10.9"
"139","Geno DeAngelis","Northwest Mo. St.","Jr.","INF","45","141","13","10.8"
"140","Brendan Barry","Post","Sr.","INF","33","130","12","10.8"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","130","12","10.8"
"142","Brandon Brewer","West Fla.","Sr.","SS","48","151","14","10.8"
"143","Luis Saenz","N.M. Highlands","Jr.","INF","34","97","9","10.8"
"144","Brady Hohl","Neb. Omaha","Jr.","INF","46","172","16","10.8"
"145","Jay Andrews","USciences","Fr.","2B","32","118","11","10.7"
"146","Roberto Castillo","Tex. A&M Int'l","Jr.","P","42","139","13","10.7"
"147","Evan Kehoe","UC San Diego","Sr.","INF","46","160","15","10.7"
"","Ryan Vanbeek","Northwest Nazarene","Sr.","C","44","160","15","10.7"
"","Seth Roy","Pitt.-Johnstown","Jr.","INF","40","128","12","10.7"
"150","Sean McDonald","Northwest Nazarene","Jr.","OF","44","170","16","10.6"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","170","16","10.6"
"","Michael Niemann","Delta St.","Sr.","OF","46","170","16","10.6"
"153","Billy Smith","West Virginia St.","So.","OF","33","127","12","10.6"
"154","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","14","10.6"
"","William Nelson","Washington Adventist","Jr.","OF","21","74","7","10.6"
"156","Cullen Baxter","Mo. Southern St.","Jr.","INF","42","137","13","10.5"
"157","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","200","19","10.5"
"158","Paul Young","Grand Valley St.","Sr.","OF","39","126","12","10.5"
"","Orry Engebretsen","Minn. Duluth","Jr.","2B","33","105","10","10.5"
"160","Derek Kline","Millersville","Sr.","1B","45","157","15","10.5"
"161","Brandon Day","Cal St. San B'dino","Jr.","C","40","136","13","10.5"
"162","Adrian Bringas","Cal St. Chico","Sr.","3B","40","146","14","10.4"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","146","14","10.4"
"164","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","19","10.4"
"165","Andrew Keating","Mo.-St. Louis","Sr.","SS","31","104","10","10.4"
"166","Cody Shelton","Wingate","Fr.","INF","48","166","16","10.4"
"167","Brian Yeung","Wingate","So.","INF","54","238","23","10.3"
"168","Terrell Jones","North Ga.","Jr.","OF","39","155","15","10.3"
"","Tyler Uphouse","Shippensburg","Jr.","INF","46","124","12","10.3"
"170","Zach Smith","Erskine","Fr.","INF","51","206","20","10.3"
"171","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","175","17","10.3"
"","Michael Price","Armstrong","Sr.","OF","48","175","17","10.3"
"173","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","144","14","10.3"
"","David Fox","Metro St.","Sr.","OF","40","144","14","10.3"
"","Shannon McCormick","Northern Ky.","Sr.","INF","43","144","14","10.3"
"176","Austin Chubb","Fla. Southern","Jr.","C","38","113","11","10.3"
"177","Dalton Hardee","Mars Hill","Sr.","INF","42","164","16","10.3"
"178","Fico Kondla","Coker","Fr.","3B","42","133","13","10.2"
"179","Joe Andrade","Dixie St.","Jr.","C","43","143","14","10.2"
"","Nicholas Barbalato","St. Thomas Aquinas","Jr.","OF","41","143","14","10.2"
"","Joel Potts","Drury","Sr.","3B","45","143","14","10.2"
"182","Colton Smith","Bemidji St.","Sr.","INF","40","153","15","10.2"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","153","15","10.2"
"","Ben Baker","Rockhurst","Sr.","OF","40","102","10","10.2"
"185","Patrick Chandler","Rockhurst","So.","OF","37","112","11","10.2"
"186","Jared Anderson","Winona St.","Sr.","INF","35","122","12","10.2"
"187","Jan-Pi Crespo","Nyack","Fr.","-","37","132","13","10.2"
"","Andrew Pieper","Mo. Western St.","Jr.","INF","40","132","13","10.2"
"189","Zane Hensley","Tarleton St.","Sr.","DH","46","162","16","10.1"
"190","Dylan Woodworth","Mansfield","So.","OF","34","111","11","10.1"
"191","Tyler Anthony","Central Mo.","Sr.","OF","46","131","13","10.1"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","131","13","10.1"
"193","William Calhoun","Abilene Christian","Sr.","DH","47","181","18","10.1"
"194","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","160","16","10.0"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","150","15","10.0"
"","Matt Hunt","Saginaw Valley","Jr.","3B","37","120","12","10.0"
"197","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","179","18","9.9"
"198","Nick Erminio","Seton Hill","Jr.","INF","37","129","13","9.9"
"","Jay Jennings","West Ala.","Sr.","OF","40","129","13","9.9"
"200","A.J. Rouleau","Southern Conn. St.","Jr.","3B","36","119","12","9.9"
"201","Cory Jensen","Fla. Southern","Jr.","OF","41","158","16","9.9"
"202","Adam Gemuenden","Winona St.","Jr.","1B","37","138","14","9.9"
"","Jake Griesemer","East Stroudsburg","Jr.","INF","39","138","14","9.9"
"204","Aaron Lupia","Indiana (PA)","Fr.","C","45","128","13","9.8"
"","Steven Mueller","King (TN)","Sr.","INF","40","128","13","9.8"
"206","Mike Santora","Cal Poly Pomona","Jr.","INF","45","167","17","9.8"
"207","Evan Melendez","Ashland","Sr.","OF","45","157","16","9.8"
"208","Tony Nelson","Dixie St.","Sr.","INF","44","137","14","9.8"
"209","Will McGinnis","Delta St.","Sr.","OF","43","127","13","9.8"
"210","Taylor Sibala","Pittsburg St.","Sr.","2B","42","166","17","9.8"
"211","Josh Catalano","Chowan","Fr.","INF","47","156","16","9.8"
"","Brent Kakwitch","Delta St.","Jr.","INF","39","117","12","9.8"
"213","Chris Pfau","Lincoln (MO)","Jr.","P","38","146","15","9.7"
"","Cody Young","Lock Haven","Sr.","SS","39","146","15","9.7"
"215","Travis Griffin","Claflin","So.","INF","33","107","11","9.7"
"216","Will Fulmer","Montevallo","Fr.","INF","42","165","17","9.7"
"217","Humberto Tovalin","Cal Poly Pomona","Fr.","INF","36","97","10","9.7"
"218","Bobby Twedt","Saint Martin's","So.","-","47","145","15","9.7"
"219","Garrett Furr","Catawba","So.","DH","50","193","20","9.7"
"","Jacob Yates","Pfeiffer","So.","INF","49","193","20","9.7"
"221","Zachary Hamasaki","Hawaii Hilo","So.","OF","38","106","11","9.6"
"222","Jake Oard","Northwood (MI)","So.","OF","35","125","13","9.6"
"223","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","18","9.6"
"224","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","172","18","9.6"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","172","18","9.6"
"","Eric Barnes","Oakland City","Jr.","INF","29","86","9","9.6"
"227","John Duran","Ga. Southwestern","So.","INF","46","191","20","9.6"
"228","Andrew Bock","Mercy","So.","OF","38","124","13","9.5"
"229","Kevin McCall","Mercyhurst","Sr.","1B","44","162","17","9.5"
"230","Ryan Goodman","Cal Poly Pomona","Fr.","INF","45","190","20","9.5"
"","Jake Labrecque","Northwood (MI)","Fr.","OF","33","114","12","9.5"
"232","Kyle Webb","Concord","Sr.","INF","42","142","15","9.5"
"233","Eric Burt","Saginaw Valley","So.","OF","34","104","11","9.5"
"","Kyle Peterson","Mo. Western St.","Jr.","OF","39","104","11","9.5"
"235","Logan Williams","Southern Ark.","Sr.","3B","44","170","18","9.4"
"","Cory Wilkins","Miles","Sr.","OF","31","85","9","9.4"
"237","Derek Daugherty","West Liberty","Sr.","C","42","132","14","9.4"
"","Kyle Roden","Bellarmine","Sr.","C","43","132","14","9.4"
"","Jordan White","Ky. Wesleyan","Jr.","OF","35","132","14","9.4"
"240","Ryan Lewis","Columbus St.","Jr.","OF","46","179","19","9.4"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","179","19","9.4"
"242","Paul Anzalone","Harding","So.","P","40","113","12","9.4"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","113","12","9.4"
"","Dylan Mascarenas","East Central","Jr.","INF","40","113","12","9.4"
"245","James Johndrow","Lincoln (MO)","Sr.","SS","37","122","13","9.4"
"246","Troy Ajer","Hawaii Pacific","Jr.","OF","43","131","14","9.4"
"247","Greg Pron","West Fla.","Sr.","OF","48","168","18","9.3"
"","Justin Bagbey","Chowan","Jr.","INF","46","140","15","9.3"
"","Eric Schlitter","Bridgeport","Jr.","1B","33","112","12","9.3"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","112","12","9.3"
"","Derek Wojcik","Winona St.","So.","INF","31","84","9","9.3"
"252","Matt Howard","Slippery Rock","Sr.","OF","44","149","16","9.3"
"253","Aarin Sharpe","Pfeiffer","So.","INF","45","158","17","9.3"
"254","Josh Carpenter","North Ala.","Fr.","SS","39","130","14","9.3"
"255","Adam Taylor","North Greenville","So.","P","44","167","18","9.3"
"256","Will McCord","Missouri S&T","Jr.","OF","39","139","15","9.3"
"257","Cody Brooks","Saint Martin's","Sr.","INF","47","157","17","9.2"
"258","Ronald Patterson","Brevard","Sr.","OF","42","166","18","9.2"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","166","18","9.2"
"","Jamie Soyk","Winona St.","Jr.","C","31","83","9","9.2"
"261","Matt Roohan","Incarnate Word","Sr.","INF","47","184","20","9.2"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","138","15","9.2"
"","Shawn Pleffner","Tampa","Jr.","OF","41","138","15","9.2"
"264","Brian Erie","Northern Ky.","Sr.","C","41","147","16","9.2"
"265","Michael Leviseur","Seton Hill","Jr.","C","34","101","11","9.2"
"266","Nate Alfson","Augustana (SD)","Sr.","C","38","110","12","9.2"
"","Patrick Taylor","Delta St.","Sr.","C","39","110","12","9.2"
"","Jere Wilkins","St. Augustine's","Fr.","-","42","110","12","9.2"
"269","Mike Apreda","St. Thomas Aquinas","So.","INF","40","119","13","9.2"
"270","A.J. Hecker","Tex. A&M-Kingsville","Sr.","INF","42","137","15","9.1"
"271","Andrew Jones","Tampa","Jr.","OF","45","155","17","9.1"
"272","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","164","18","9.1"
"273","Shayne Houck","Kutztown","Jr.","INF","39","136","15","9.1"
"274","Ty Windall","Northwest Nazarene","Sr.","OF","44","154","17","9.1"
"275","Rolando Bonner","Tusculum","Sr.","OF","43","163","18","9.1"
"276","Carmine Pellechia","Molloy","Jr.","OF","45","162","18","9.0"
"","null Price","Saint Rose","Fr.","-","36","135","15","9.0"
"","Jerico Weitzel","Clarion","Jr.","SS","37","117","13","9.0"
"","Nathan Minnich","Shepherd","Jr.","1B","33","108","12","9.0"
"","Michael Shepherd","Ohio Valley","Jr.","INF","36","108","12","9.0"
"281","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","170","19","8.9"
"","Josh Grenier","Saint Martin's","So.","DH","47","170","19","8.9"
"","Jake Rierson","Limestone","Jr.","P","52","170","19","8.9"
"284","Tim Dye","Belmont Abbey","Sr.","OF","46","152","17","8.9"
"285","Tyson Edwards","Cal Poly Pomona","Sr.","DH","41","143","16","8.9"
"286","Derek Diruscia","Slippery Rock","Sr.","C","44","134","15","8.9"
"287","Brian Dean","Pittsburg St.","Sr.","3B","40","125","14","8.9"
"288","Courtney Kelley","Miles","So.","OF","38","116","13","8.9"
"289","Travis Echols","Georgia College","So.","3B","50","178","20","8.9"
"290","Raiko Alfonso","Tampa","Jr.","SS","43","160","18","8.9"
"291","Dodson McPherson","Wingate","Jr.","OF","54","222","25","8.9"
"292","Rob Noe","Mass.-Lowell","Jr.","C","36","133","15","8.9"
"293","Carlos Guzman","Molloy","Fr.","OF","45","168","19","8.8"
"294","Zach McCutcheon","Tiffin","Jr.","C","38","106","12","8.8"
"295","Joey Ianiero","Bloomsburg","Sr.","INF","40","141","16","8.8"
"296","Brian Ernst","East Stroudsburg","So.","1B","39","132","15","8.8"
"","Jeremy Newton","Kentucky St.","Fr.","INF","31","88","10","8.8"
"298","null Young","Southwest Baptist","Fr.","-","42","123","14","8.8"
"299","Mike Darley","Minn. Duluth","Jr.","P","31","79","9","8.8"
"300","Stephen Pelc","Eckerd","Sr.","INF","45","149","17","8.8"
"301","Dean Green","Barry","Sr.","1B","50","184","21","8.8"
"302","Bruce Alter","Columbus St.","Sr.","3B","45","175","20","8.8"
"","Brad Vance","Southern Ind.","Jr.","C","45","175","20","8.8"
"","Mario Lopez","Dominican (NY)","Sr.","INF","38","140","16","8.8"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","140","16","8.8"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","140","16","8.8"
"","Mark Lane","Bentley","Jr.","OF","34","105","12","8.8"
"","Brett Lechner","Northwood (MI)","Sr.","INF","33","105","12","8.8"
"309","Dane Derstine","Lynn","Sr.","C","40","131","15","8.7"
"310","Sean Keady","Bentley","Fr.","OF","35","148","17","8.7"
"311","Harrison Gerber","Mo. Southern St.","Jr.","OF","42","113","13","8.7"
"312","Landon Sullins","Arkansas Tech","Jr.","C","40","139","16","8.7"
"313","Ethan Santora","Mercyhurst","Jr.","INF","44","156","18","8.7"
"","Brandon Gipson","Benedict","Sr.","C","40","130","15","8.7"
"","Kenneth Hatfield","Miles","Sr.","INF","37","104","12","8.7"
"316","Ryan Brockett","New Haven","Jr.","SS","37","147","17","8.6"
"317","Kevin Dultz","San Fran. St.","Sr.","C","43","121","14","8.6"
"318","Travis Enger","St. Cloud St.","Fr.","C","35","95","11","8.6"
"319","David Christy","Limestone","Sr.","2B","52","207","24","8.6"
"","Shannon Rush","Virginia St.","Sr.","INF","44","138","16","8.6"
"","Matt Toth","Lake Erie","Jr.","OF","39","138","16","8.6"
"322","Taye Larry","West Fla.","Jr.","OF","47","181","21","8.6"
"323","Ben Kincaid","Minn. St. Mankato","Jr.","P","38","112","13","8.6"
"324","Tony Brunetti","Rollins","Sr.","OF","45","172","20","8.6"
"","Patrick Chamberlain","Stillman","So.","C","39","129","15","8.6"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","129","15","8.6"
"327","A.J. Czap","Shippensburg","Sr.","OF","48","146","17","8.6"
"328","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","163","19","8.6"
"329","Chris Santoscoy","Fort Hays St.","So.","INF","38","120","14","8.6"
"330","Dan Hennigan","Franklin Pierce","Jr.","2B","43","154","18","8.6"
"","Michael Cardinale","Oakland City","So.","INF","27","77","9","8.6"
"332","Joe Harbach","Wilmington (DE)","Jr.","OF","40","145","17","8.5"
"333","Ryan Brnovich","Saint Leo","So.","INF","45","179","21","8.5"
"334","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","170","20","8.5"
"","Daniel Homann","St. Edward's","Fr.","C","36","119","14","8.5"
"","Josh Federico","Oakland City","Sr.","SS","29","85","10","8.5"
"337","Trevor Goff","Dixie St.","Jr.","OF","43","127","15","8.5"
"338","Tyler Bair","Grand Canyon","Sr.","OF","47","186","22","8.5"
"339","Brett Wright","West Ga.","So.","OF","46","152","18","8.4"
"340","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","194","23","8.4"
"341","Jason Coker","UNC Pembroke","Sr.","INF","48","177","21","8.4"
"","David Nelson","St. Augustine's","Fr.","-","44","118","14","8.4"
"343","Braden Box","Colorado Mesa","So.","INF","34","101","12","8.4"
"344","Frank Salerno","St. Thomas Aquinas","So.","INF","41","126","15","8.4"
"345","Christian Glisson","Valdosta St.","Jr.","C","44","151","18","8.4"
"","Nick Sydnor","Concord","Fr.","OF","44","151","18","8.4"
"347","Josh Beal","Stillman","Fr.","-","39","134","16","8.4"
"348","Jared Allen","Ga. Southwestern","Sr.","INF","48","184","22","8.4"
"349","Phillip Herring","Erskine","So.","C","42","117","14","8.4"
"350","Adam Capps","Chowan","Jr.","INF","48","142","17","8.4"
"","Glen Reser","Central Wash.","Fr.","-","39","142","17","8.4"
"352","Greg Fujii","Cal St. Monterey Bay","Sr.","INF","44","167","20","8.4"
"353","Alex Frederick","Armstrong","Jr.","SS","46","175","21","8.3"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","175","21","8.3"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","150","18","8.3"
"","Cameron Cook","Sonoma St.","Sr.","OF","39","125","15","8.3"
"","Brandon Lowe","Morehouse","Fr.","1B","40","125","15","8.3"
"","Reid Pulford","West Chester","Jr.","C","37","125","15","8.3"
"","Aaron Shapiro","Eckerd","Jr.","C","41","125","15","8.3"
"","Bryce Gerhardt","Abilene Christian","So.","OF","36","100","12","8.3"
"","Scott Mourey","Indianapolis","Jr.","C","39","100","12","8.3"
"","Russell Richey","Morehouse","Fr.","OF","33","100","12","8.3"
"","null Sullivan","St. Paul's","Sr.","-","26","75","9","8.3"
"364","Brian Ferguson","Dowling","Sr.","OF","39","133","16","8.3"
"365","Jason Hamm","Saint Leo","Sr.","C","42","141","17","8.3"
"366","David Albritton","Emporia St.","Sr.","C","43","149","18","8.3"
"367","Josh Cox","Virginia St.","Jr.","INF","38","124","15","8.3"
"","Scott Lawley","Indianapolis","Jr.","2B","40","124","15","8.3"
"369","Zach Cohen","Angelo St.","Jr.","INF","47","157","19","8.3"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","157","19","8.3"
"371","Dan Hayduk","Mount Olive","Sr.","SS","44","165","20","8.3"
"372","James Quigley","Kutztown","Sr.","INF","39","140","17","8.2"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","140","17","8.2"
"374","Morgan Gregory","Carson-Newman","Jr.","1B","40","107","13","8.2"
"375","Gus Durst","Lincoln (MO)","Sr.","OF","41","148","18","8.2"
