"Rank","Name","Team","Cl","Pos","G","SH"
"","Ian Simpson-Shelton","St. Mary's (MD)","Sr.","INF","30","6"
"","Mike Smith","Becker","Fr.","INF","15","6"
"","Jake Spear","Oglethorpe","Jr.","INF","40","6"
"","Jacob Starnes","Texas-Dallas","Jr.","SS","43","6"
"","Trey Such","Methodist","Jr.","C","44","6"
"","James Sullivan","Emerson","Fr.","OF","36","6"
"","Sam Swafford","DePauw","Jr.","C","36","6"
"","Michael Takemura","Whitworth","Jr.","INF","39","6"
"","Brian Thomas","Ohio Northern","Fr.","INF","31","6"
"","Matt Tracy","Mount Union","Sr.","SS","30","6"
"","Matt Trocke","Wis.-La Crosse","Sr.","SS","33","6"
"","Kyle Van Abel","Wis.-Oshkosh","Jr.","3B","32","6"
"","Jordan Watkins","Lynchburg","Sr.","INF","37","6"
"","Jared Yaniellio","Marywood","Sr.","SS","33","6"
"","Mike Yednock","Wittenberg","Sr.","INF","34","6"
