"Rank","Name","Team","Cl","Pos","G","R"
"","Cody Laprarie","Louisiana Col.","Sr.","OF","43","44"
"","T.C. Lee","Willamette","Sr.","OF","40","44"
"","Joey Link","St. Scholastica","Sr.","OF","31","44"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","44"
"","Aaron McCain","Texas-Tyler","Jr.","INF","37","44"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","44"
"","Patrick Reitemeyer","Rutgers-Newark","Sr.","SS","36","44"
"","Trey Such","Methodist","Jr.","C","44","44"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","44"
"49","Forrest Chadwick","Southern Me.","Fr.","INF","32","43"
"","Matthew Cornwell","Oglethorpe","Sr.","INF","42","43"
"","Ty Foster","Manchester","Sr.","INF","36","43"
"","John Holm","Wabash","Jr.","INF","39","43"
"","Tim Mackey","Aurora","Jr.","3B","33","43"
"","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","43"
"","Brendan Pilger","Oglethorpe","Sr.","OF","42","43"
"","Brady Roundtree","Anderson (IN)","Sr.","2B","35","43"
"","Steve Seminerio","FDU-Florham","Jr.","SS","32","43"
"58","Charlie Carluccio","Haverford","Sr.","SS","39","42"
"","Kyle Davis","Piedmont","Jr.","OF","38","42"
"","Tony Deshler","Brandeis","Sr.","INF","41","42"
"","Andrew Eichstaedt","Wis.-Whitewater","Jr.","OF","32","42"
"","Jay Hiller","Hardin-Simmons","So.","OF","40","42"
"","Ryan Jones","Emory","Sr.","1B","40","42"
"","David Kennett","Thomas More","So.","SS","29","42"
"","Tripp Lancaster","Methodist","Sr.","OF","44","42"
"","Travis May","Washington-St. Louis","Sr.","INF","46","42"
"","Danny Mello","Endicott","Fr.","INF","40","42"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","42"
"","Robert Perry","Eastern Conn. St.","Sr.","OF","32","42"
"","Jeff Pope","Oglethorpe","So.","OF","39","42"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","42"
"","Jordan Walton","Randolph-Macon","Jr.","1B","42","42"
"73","Jimmy Baum","Penn St.-Altoona","Jr.","OF","34","41"
"","Kevin Calbick","Trinity (TX)","Sr.","OF","37","41"
"","Steven Davis","Louisiana Col.","Sr.","INF","42","41"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","41"
"","Sam Hill","Birmingham-So.","Sr.","C","38","41"
"","Brian Inghram","Methodist","Sr.","INF","44","41"
"","Michael Kovacs","Rose-Hulman","Sr.","OF","35","41"
"","Hal Landers","Wheaton (MA)","Jr.","OF","35","41"
"","Jacob Ludvik","La Verne","Jr.","OF","39","41"
"","Stephen Maier","Williams","Jr.","OF","29","41"
"","Jules Roussel","Millsaps","Jr.","OF","41","41"
"","Melvin Simmons","Old Westbury","Sr.","SS","41","41"
"","Clark Sims","Hendrix","Jr.","INF","41","41"
"","Dustin Smith","Linfield","Sr.","INF","37","41"
"","Brandon Thigpen","Methodist","So.","INF","43","41"
"","Drue Vernon","Chris. Newport","Sr.","DH","38","41"
"89","Ryan Adams","Aurora","Jr.","OF","31","40"
"","Matt Anthonis","Western New Eng.","So.","OF","37","40"
"","Cole Bixenman","Linfield","Sr.","C","37","40"
"","Jake Chaplin","Haverford","Jr.","1B","40","40"
"","Jake Cintolo","Suffolk","Fr.","3B","39","40"
"","Louis DeRosa","Haverford","Sr.","INF","40","40"
"","Ethan Guerette","Husson","Sr.","INF","42","40"
"","Devan Jones","Suffolk","Fr.","INF","39","40"
"","Nick Karakosta","Benedictine (IL)","So.","INF","34","40"
"","Kevin Kirk","Bridgewater (VA)","Sr.","OF","41","40"
"","Kyle Niermann","Bluffton","So.","P","36","40"
"","Mike Petti","Carthage","Sr.","OF","31","40"
"","Lynden Pindling","Rhodes","So.","SS","44","40"
"","Chris Sweeney","King's (PA)","So.","OF","34","40"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","40"
"","Kyle Weiss","Wesleyan (CT)","Jr.","OF","34","40"
"105","Chris Alberto","Western Conn. St.","So.","INF","32","39"
"","Sam Alexander","Case","Jr.","OF","42","39"
"","Kirby Becker","Marietta","Jr.","2B","32","39"
"","Scott Kelly","TCNJ","So.","INF","35","39"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","39"
"","Alex Monroe","Heidelberg","Sr.","C","36","39"
"","Derek Smith","Pitt.-Bradford","So.","INF","31","39"
"","Max Stepan","Willamette","Sr.","C","39","39"
"","Tony Trubia","Western New Eng.","Sr.","3B","40","39"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","39"
"","Andrew Vallejo","Whittier","Jr.","OF","39","39"
"116","Nick Alosco","Johnson & Wales (RI)","Sr.","INF","41","38"
"","Tyler Babkiewich","Coast Guard","So.","SS","34","38"
"","Brian Benander","John Carroll","Sr.","3B","31","38"
"","Kevin Callahan","Ill. Wesleyan","So.","1B","34","38"
"","Nate Carlson","Redlands","Sr.","INF","37","38"
"","Nick Clifton","Texas-Tyler","Sr.","1B","39","38"
"","Miguel Davis","Washington-St. Louis","Sr.","3B","46","38"
"","Chris Deig","Wabash","Jr.","OF","41","38"
"","Tyler Diprato","Keene St.","Sr.","C","37","38"
"","Nolan Fadness","Wis.-Oshkosh","Sr.","SS","32","38"
"","Eric Hansen","Allegheny","So.","OF","30","38"
"","Elliot Kilgore","Daniel Webster","So.","INF","32","38"
"","Kurt Krout","Shenandoah","So.","SS","39","38"
"","Ryan Miller","Wheaton (IL)","Jr.","SS","35","38"
"","Keaton Neeb","Shenandoah","So.","C","36","38"
"","Timothy Novom","Pomona-Pitzer","Fr.","OF","36","38"
"","Kevin O'Keefe","Moravian","Jr.","INF","37","38"
"","Brandon Owashi","Redlands","Sr.","OF","36","38"
"","D.J. Phillips","Guilford","So.","INF","36","38"
"","Chris Ray","Alvernia","So.","INF","34","38"
"","Mike Rubino","Western New Eng.","So.","INF","40","38"
"","Landon Scott","Whitworth","Jr.","INF","40","38"
"","Andrew Siano","Keystone","Jr.","OF","33","38"
"","Nick Skala","Concordia Chicago","Jr.","C","33","38"
"","Chris Stallone","Scranton","Sr.","OF","35","38"
"","Chris Stemple","Rose-Hulman","Sr.","OF","35","38"
"","Jeb Weymouth","Randolph-Macon","So.","OF","42","38"
"143","Jeremy Aliff","Millsaps","Sr.","OF","40","37"
"","John Apostolo","Mitchell","Jr.","P","25","37"
"","Tommy Barksdale","Gallaudet","So.","INF","42","37"
"","Brandon Benton","Mississippi Col.","Sr.","OF","37","37"
"","Doug Bloom","Willamette","Sr.","INF","40","37"
"","Alex Caghan","Rochester (NY)","Jr.","OF","32","37"
"","Josh Chasse","Daniel Webster","So.","OF","32","37"
"","Matt Connors","Rutgers-Newark","Sr.","2B","36","37"
"","Matt Forgatch","Denison","Sr.","3B","36","37"
"","Dave Gage","Southern Vt.","Sr.","2B","36","37"
"","Brian Giebel","Wis.-Stout","Sr.","OF","32","37"
"","Jordan Grilliot","Marietta","So.","OF","31","37"
"","Joseph Guido","Old Westbury","Jr.","2B","41","37"
"","Matt June","SUNY Cortland","Jr.","2B","37","37"
"","Kevin Knox","Ramapo","Jr.","INF","34","37"
"","Alan Komorowski","Sewanee","So.","P","31","37"
"","Jason Leclerc","Western New Eng.","Sr.","C","40","37"
"","Corey McDonald","Worcester St.","Sr.","OF","34","37"
"","Esteban Meletiche","Keystone","Jr.","INF","34","37"
"","David Miller","LaGrange","Jr.","INF","40","37"
"","Jared Mosqueda","Sul Ross St.","Sr.","SS","36","37"
"","Erik Munzer","Pomona-Pitzer","So.","OF","39","37"
"","Kevin Murphy","Wesley","Sr.","INF","36","37"
"","Kevin O'Connor","Emory","Jr.","2B","43","37"
"","Collin Radack","Hendrix","Fr.","OF","41","37"
"","Chris Reynolds","Luther","Jr.","INF","35","37"
"","Leon Stimpson","Alvernia","So.","OF","31","37"
"","Iggy Wagner","Cal Lutheran","Jr.","OF","38","37"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","37"
"","Scott Witte","Claremont-M-S","Fr.","SS","39","37"
