"Rank","Name","Team","Cl","Pos","G","R"
"","Mike Snyder","Fla. Southern","Jr.","INF","41","40"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","40"
"","Adam Taylor","North Greenville","So.","P","44","40"
"","Drew Willingham","Erskine","So.","1B","51","40"
"","Selwyn Young","Benedict","Sr.","SS","39","40"
"184","Mike Barnhill","Armstrong","So.","2B","48","39"
"","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","39"
"","Willis Bradwell","Morehouse","Sr.","OF","35","39"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","39"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","39"
"","Brett Cisper","Northern Ky.","So.","INF","43","39"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","39"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","39"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","39"
"","Trevor Goff","Dixie St.","Jr.","OF","43","39"
"","Eric Grabe","Tampa","Jr.","2B","45","39"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","39"
"","Brian Hansen","St. Cloud St.","So.","OF","41","39"
"","Matt Henriksen","Tusculum","So.","INF","48","39"
"","Trent Kinnear","Harding","Sr.","OF","40","39"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","39"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","39"
"","Logan Parker","Northwest Nazarene","So.","OF","44","39"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","39"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","39"
"","Chris Ross","Montevallo","Jr.","OF","43","39"
"","Caleb Saggus","Augusta St.","Jr.","OF","47","39"
"","Nick Thimesch","Drury","Fr.","OF","45","39"
"","Matt Toth","Lake Erie","Jr.","OF","39","39"
"208","Josh Beal","Stillman","Fr.","-","39","38"
"","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","38"
"","Tony Brunetti","Rollins","Sr.","OF","45","38"
"","Bryan Butcher","Morehouse","Jr.","C","41","38"
"","William Calhoun","Abilene Christian","Sr.","DH","47","38"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","38"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","38"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","38"
"","Kalab Evans","Grand Canyon","Jr.","C","45","38"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","38"
"","Garrett Furr","Catawba","So.","DH","50","38"
"","Ryan Goodman","Cal Poly Pomona","Fr.","INF","45","38"
"","Carlos Guzman","Molloy","Fr.","OF","45","38"
"","Joe Harbach","Wilmington (DE)","Jr.","OF","40","38"
"","Andrew Jones","Tampa","Jr.","OF","45","38"
"","Jacob Mays","Concord","Jr.","P","42","38"
"","Danny Miller","Minn. St. Mankato","Sr.","OF","41","38"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","38"
"","Patrick Oliver","Neb.-Kearney","Sr.","OF","38","38"
"","Carmine Pellechia","Molloy","Jr.","OF","45","38"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","38"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","38"
"","Jason Reitenbach","Findlay","Sr.","INF","43","38"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","38"
"","Ryan Rua","Lake Erie","Jr.","SS","41","38"
"","Jon Shoutta","Regis (CO)","Fr.","1B","43","38"
"","Jordan Smith","St. Cloud St.","So.","OF","41","38"
"","Austin Smith","Lynn","Jr.","OF","46","38"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","38"
"","Zach Stone","Millersville","So.","3B","45","38"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","38"
"","John Willner","Valdosta St.","Sr.","OF","47","38"
"","John Zule","Incarnate Word","So.","INF","37","38"
"241","Mitchell Broughton","Quincy","Fr.","OF","41","37"
"","Sean Burns","Mass.-Lowell","Sr.","INF","40","37"
"","Michael Cantwell","St. Andrews","Sr.","OF","43","37"
"","Brandon Choate","Southern Ark.","Sr.","C","40","37"
"","Andy Cotton","Emporia St.","Sr.","INF","45","37"
"","Jordan Erisman","North Ga.","Jr.","INF","49","37"
"","Anthony Foulk","North Greenville","Jr.","C","44","37"
"","Grant Glover","Western Ore.","Sr.","INF","37","37"
"","Dan Hennigan","Franklin Pierce","Jr.","2B","43","37"
"","Eric Herman","Shippensburg","Jr.","INF","48","37"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","37"
"","Robert Kelly","St. Anselm","So.","1B","44","37"
"","Derek Kline","Millersville","Sr.","1B","45","37"
"","Brock McCallister","Francis Marion","Jr.","INF","41","37"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","37"
"","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","37"
"","Brett Overton","Chowan","So.","INF","49","37"
"","Shawn Pleffner","Tampa","Jr.","OF","41","37"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","37"
"","Albert Selanders","Central Mo.","So.","C","42","37"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","37"
"","Donald Smith","Claflin","Jr.","OF","34","37"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","37"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","37"
"","Kyle Wallace","Colorado Mines","Fr.","INF","44","37"
"","Josh Wenger","Concord","So.","INF","43","37"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","37"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","37"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","37"
"270","Bruce Alter","Columbus St.","Sr.","3B","45","36"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","36"
"","Matt Boulter","Southern N.H.","So.","SS","44","36"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","36"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","36"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","36"
"","Damon Elder","Tampa","Jr.","OF","45","36"
"","John Fouchet","Florida Tech","Sr.","INF","47","36"
"","Joe Halley","Cameron","Sr.","INF","45","36"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","36"
"","Derek Hooper","North Ga.","So.","INF","48","36"
"","Cory Jensen","Fla. Southern","Jr.","OF","41","36"
"","F. Johnson","Shaw","Fr.","-","45","36"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","36"
"","Adam Lewis","Mars Hill","Sr.","C","49","36"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","36"
"","Matt McAllester","Ashland","Sr.","2B","45","36"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","36"
"","Patrick Melvin","Miles","Sr.","1B","39","36"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","36"
"","Billy Ninemire","Harding","So.","INF","46","36"
"","Emmanuel Pappadakis","Virginia St.","Fr.","OF","47","36"
"","Matt Petty","Barry","Sr.","INF","50","36"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","36"
"","Michael Price","Armstrong","Sr.","OF","48","36"
"","Jake Rierson","Limestone","Jr.","P","52","36"
"","Kevin Rufus","Newberry","Jr.","C","48","36"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","36"
"","Taylor Sibala","Pittsburg St.","Sr.","2B","42","36"
"","Jake Sloan","North Ala.","Jr.","P","42","36"
"","Howard Spencer","Virginia St.","Jr.","OF","39","36"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","36"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","36"
"","Ammon Zitting","Dixie St.","Jr.","SS","47","36"
"304","Steve Anderson","Grand Valley St.","Jr.","OF","40","35"
"","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","35"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","35"
"","Branfy Arias","Tusculum","Sr.","OF","46","35"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","35"
"","Justin Blinn","Southern Ind.","Sr.","OF","45","35"
"","Travis Cariveau","St. Cloud St.","So.","INF","36","35"
"","Chauncey Davis","Claflin","Jr.","INF","29","35"
"","Chris Edgar","Millersville","Jr.","OF","44","35"
"","Andrew Elke","Saint Martin's","Sr.","OF","47","35"
"","Jackson Evans","Cal St. Chico","Sr.","2B","41","35"
"","Gus Fernandez","Florida Tech","Sr.","INF","39","35"
"","Braxton Graven","Bellarmine","Sr.","OF","44","35"
"","Jeremy Graves","Pittsburg St.","Sr.","SS","45","35"
"","Payden Houser","Tusculum","Sr.","2B","51","35"
"","R.J. Knese","Drury","Sr.","C","45","35"
"","Brenton Kopecek","Davis & Elkins","Jr.","OF","42","35"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","35"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","35"
"","John Neese","Catawba","Sr.","OF","46","35"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","35"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","35"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","35"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","35"
"","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","35"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","35"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","35"
"","Edward Tamarez","Elizabeth City St.","Jr.","OF","34","35"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","35"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","35"
"","Nate Valdez","Cameron","Sr.","INF","43","35"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","35"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","35"
"","Cass Via","Ouachita Baptist","Sr.","INF","46","35"
"","Cameron Watten","Abilene Christian","Sr.","3B","41","35"
"","Cody Young","Lock Haven","Sr.","SS","39","35"
"340","Ian Atkinson","Mo. Western St.","Sr.","INF","44","34"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","34"
"","Tyler Boyd","Francis Marion","Jr.","OF","44","34"
"","Michael Brittian","Mars Hill","Sr.","OF","48","34"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","34"
"","Kyle Buchanan","Belmont Abbey","Jr.","C","44","34"
"","William Buford","Tuskegee","So.","P","33","34"
"","Derek Carr","Slippery Rock","Jr.","OF","40","34"
"","Tyler Choate","Southern Ind.","Sr.","P","45","34"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","34"
"","Michael Dugan","Kutztown","Sr.","INF","39","34"
"","Hector Flores","Incarnate Word","Jr.","INF","41","34"
"","Evan Gallagher","East Stroudsburg","Jr.","SS","39","34"
"","Jeremiah Gandy","Shaw","Fr.","OF","47","34"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","34"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","34"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","34"
"","Josh Hinkle","Florida Tech","Jr.","OF","42","34"
"","Blake Houston","Catawba","Fr.","OF","53","34"
"","Zach Howard","Limestone","Jr.","3B","52","34"
"","Vallmer Jordan","Morehouse","Jr.","OF","33","34"
"","Jacob Karr","Wingate","Jr.","INF","52","34"
"","Sean Keady","Bentley","Fr.","OF","35","34"
"","Jj Loker","S.C. Aiken","So.","INF","50","34"
"","Erik Lunde","Lander","Fr.","INF","43","34"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","34"
"","Will McCaleb","St. Edward's","Jr.","SS","44","34"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","34"
"","Evan Melendez","Ashland","Sr.","OF","45","34"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","34"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","34"
"","Mike Santora","Cal Poly Pomona","Jr.","INF","45","34"
"","Adam Shank","St. Edward's","Jr.","OF","44","34"
"","Preston Shuey","Francis Marion","Sr.","1B","47","34"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","34"
"","Danny Susdorf","UC San Diego","So.","OF","46","34"
"","Bob Terry","Regis (CO)","So.","OF","41","34"
"","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","34"
"","Jordan Whitman","Cal Poly Pomona","So.","OF","45","34"
"379","David Albritton","Emporia St.","Sr.","C","43","33"
"","Tate Allison","Angelo St.","Jr.","OF","47","33"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","33"
"","Tyler Benzel","Fla. Southern","Sr.","INF","41","33"
"","Mike Bolling","Lewis","Jr.","OF","30","33"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","33"
"","Michel Coffey","Ga. Southwestern","So.","C","48","33"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","33"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","33"
"","Jesse Daywalt","Chestnut Hill","Jr.","2B","35","33"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","33"
"","Zachary Drummond","Paine","So.","OF","36","33"
"","Travis Echols","Georgia College","So.","3B","50","33"
"","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","33"
"","Chuck Faust","California (PA)","Sr.","OF","44","33"
"","Chris Fox","Florida Tech","Sr.","OF","42","33"
"","Brad Guenther","Wayne St. (MI)","So.","C","40","33"
"","A.J. Hecker","Tex. A&M-Kingsville","Sr.","INF","42","33"
"","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","33"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","33"
"","Matt Howard","Slippery Rock","Sr.","OF","44","33"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","33"
"","William Lariscy","Paine","Sr.","2B","40","33"
"","Andy Marinelli","West Ga.","Fr.","-","48","33"
"","Will McCord","Missouri S&T","Jr.","OF","39","33"
"","Julius McDougal","Claflin","Jr.","INF","34","33"
"","Luis Meija","Palm Beach Atl.","Jr.","3B","50","33"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","33"
"","Joel Potts","Drury","Sr.","3B","45","33"
"","Vern Powell","Indiana (PA)","Sr.","3B","46","33"
"","Kyle Rice","S.C. Aiken","Sr.","C","41","33"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","33"
"","Jason Simone","Mount Olive","Sr.","OF","37","33"
"","Jordan Smith","Barton","Sr.","OF","44","33"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","33"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","33"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","33"
"","Brad Vance","Southern Ind.","Jr.","C","45","33"
"","Omar Velazquez","Adelphi","Sr.","OF","42","33"
"","Andy Vogel","Newberry","So.","INF","50","33"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","33"
"","Drew Walker","Armstrong","Jr.","INF","48","33"
"","Jacob Yates","Pfeiffer","So.","INF","49","33"
"","James Young","Barry","So.","3B","47","33"
"423","Jared Allen","Ga. Southwestern","Sr.","INF","48","32"
"","Ikaika Anderson","Georgia College","So.","OF","31","32"
"","Matt Barr","Davis & Elkins","So.","INF","42","32"
"","Antonio Callaway","Mount Olive","Jr.","OF","43","32"
"","Tyler Cappelmann","Francis Marion","Sr.","INF","47","32"
"","Josh Cox","Virginia St.","Jr.","INF","38","32"
"","Nick DeProspo","Southern Conn. St.","Sr.","C","34","32"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","32"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","32"
"","Michael Dushane","Tiffin","Jr.","OF","41","32"
"","Ross Easterling","Charleston (WV)","So.","SS","43","32"
"","Steven Filippi","Sonoma St.","So.","OF","41","32"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","32"
"","Andrew Garcia","Cameron","Jr.","1B","44","32"
"","Brad Hall","North Ga.","Sr.","INF","49","32"
"","Dalton Hardee","Mars Hill","Sr.","INF","42","32"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","32"
"","Travis Hayes","Tarleton St.","Jr.","INF","36","32"
"","Tee Helsel","Mo. Southern St.","Fr.","INF","45","32"
"","Michael Huling","Southern Ind.","Sr.","OF","44","32"
"","Pat Kregeloh","Shippensburg","Fr.","3B","48","32"
"","Matt Lagree","Central Mo.","Fr.","-","35","32"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","32"
"","Michael Levy","Dominican (NY)","Sr.","INF","38","32"
"","Cameron Louie","Northwest Nazarene","Sr.","INF","44","32"
"","Chris Love","Newberry","Sr.","INF","52","32"
"","Aric Marquardt","St. Joseph's (IN)","Jr.","C","42","32"
"","Blake May","Anderson (SC)","Jr.","INF","50","32"
"","Jon McKinney","Ala.-Huntsville","Jr.","P","35","32"
"","Christopher Miller","Benedict","Sr.","OF","38","32"
"","Derek Moczygemba","St. Mary's (TX)","So.","P","47","32"
"","Dallas Neloms","Albany St. (GA)","Jr.","OF","32","32"
"","Joe Park","Cal St. L.A.","Jr.","OF","45","32"
"","Ronald Patterson","Brevard","Sr.","OF","42","32"
