"Rank","Name","Team","Cl","Pos","G","AB","H"
"","Cody Foster","Cal St. Chico","Sr.","OF","46","175","63"
"","David Frazier","North Greenville","Sr.","INF","53","200","63"
"","Dan Hennigan","Franklin Pierce","Sr.","2B","45","170","63"
"","Rick Hepworth","East Central","Sr.","INF","48","179","63"
"","Matt Jacobs","Mass.-Lowell","Sr.","OF","43","189","63"
"","Brandon Mack","Chowan","Fr.","-","49","189","63"
"","Casey Maloney","Armstrong","Jr.","OF","48","199","63"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","191","63"
"","J.D. Pullen","Columbus St.","Jr.","OF","50","199","63"
"","James Roche","Franklin Pierce","Sr.","OF","45","181","63"
"","Lance Rorex","Carson-Newman","Sr.","3B","51","186","63"
"","Ryan Siegel","Mercyhurst","Fr.","OF","44","162","63"
"","Justin Vasquez","Belmont Abbey","Jr.","OF","46","174","63"
"","Drew Willingham","Erskine","Jr.","1B","52","191","63"
"111","Brandon Bates","St. Mary's (TX)","Jr.","DH","49","176","62"
"","Brett Botsford","Le Moyne","Sr.","OF","44","176","62"
"","Tyler Bourdo","S.C. Aiken","Sr.","INF","47","182","62"
"","Braden Box","Colorado Mesa","Jr.","INF","43","156","62"
"","Tyler Eager","Abilene Christian","Fr.","1B","50","193","62"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","158","62"
"","Will Huff","Erskine","So.","INF","52","193","62"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","163","62"
"","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","154","62"
"","Michael McCoy","Mo. Southern St.","Jr.","INF","46","165","62"
"","Zach Reeves","Anderson (SC)","So.","OF","44","177","62"
"","Champ Stuart","Brevard","So.","OF","42","148","62"
"","Rafael Thomas","Southern Ark.","Sr.","OF","44","165","62"
"","Brett Underwood","Catawba","Sr.","INF","52","181","62"
"","Phillip Williams","Barton","Jr.","P","48","185","62"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","160","62"
"127","Blake Amaral","Hawaii Pacific","Sr.","INF","45","177","61"
"","Stephan Arcieri","Lenoir-Rhyne","Sr.","OF","49","168","61"
"","Madison Beaird","Arkansas Tech","Jr.","OF","49","192","61"
"","Kenny Bellavance","North Ga.","Jr.","OF","48","187","61"
"","Matthew Black","North Ga.","Sr.","INF","43","166","61"
"","John Calhoun","Washburn","Sr.","INF","39","149","61"
"","Josh Clark","Wingate","Fr.","C","49","177","61"
"","Jerrod Groves","Concord","Fr.","INF","49","175","61"
"","Brandon Hoefler","Fort Hays St.","Sr.","OF","44","173","61"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","183","61"
"","Kolin McMillen","Mercyhurst","Fr.","INF","42","158","61"
"","Zach Persky","Rollins","So.","OF","44","177","61"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","153","61"
"","Mike Santora","Cal Poly Pomona","Sr.","INF","48","191","61"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","166","61"
"","Donald Walter","Cal Poly Pomona","Jr.","OF","48","177","61"
"143","Tyler Christophel","Southwest Baptist","Sr.","OF","44","160","60"
"","Ryan Daughtry","Barton","Sr.","OF","47","174","60"
"","R.J. Dennard","Armstrong","Fr.","C","45","161","60"
"","Navarro Hall","Columbus St.","Sr.","OF","48","178","60"
"","Matt Henriksen","Tusculum","Jr.","INF","53","187","60"
"","Phil Imholte","St. Cloud St.","Jr.","OF","44","153","60"
"","Shane Keddy","Assumption","Jr.","3B","38","155","60"
"","Kyle Koeneman","Carson-Newman","Sr.","1B","49","154","60"
"","Blake May","Anderson (SC)","Sr.","INF","49","184","60"
"","Keith Morrisroe","Concord","Sr.","SS","50","149","60"
"","Aaron Parnell","UNC Pembroke","Sr.","INF","49","185","60"
"","Andre Rodriguez","Lincoln Memorial","Jr.","INF","46","145","60"
"","Brett Scarberry","Anderson (SC)","Sr.","C","44","161","60"
"156","Ryan Bostian","Catawba","Sr.","OF","50","196","59"
"","Trey Buck","Southern Ark.","Sr.","SS","46","173","59"
"","Michael Bueker","Mars Hill","Sr.","INF","48","187","59"
"","Patrick Chandler","Rockhurst","Jr.","OF","42","157","59"
"","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","178","59"
"","Jason Dahl","Southern Ark.","Sr.","OF","46","157","59"
"","Alex Del Monte","Eckerd","Sr.","SS","43","162","59"
"","Phil Delisle","Nyack","Sr.","INF","33","166","59"
"","Mike Diorio","Lynn","Sr.","INF","43","156","59"
"","Jordan Easom","West Tex. A&M","Sr.","OF","45","158","59"
"","Nick Erminio","Seton Hill","Sr.","INF","49","175","59"
"","Dan Fratus","Stonehill","So.","INF","44","170","59"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","166","59"
"","Mike Gasque","Lenoir-Rhyne","So.","INF","48","178","59"
"","Logan Gillis","Bentley","Jr.","INF","46","187","59"
"","Ryan Greer","Angelo St.","Jr.","OF","50","166","59"
"","Brian Haggett","Cal St. Monterey Bay","Jr.","1B","46","174","59"
"","Derek Hooper","North Ga.","Jr.","INF","48","191","59"
"","Joseph Horsely","Lincoln Memorial","Sr.","INF","49","190","59"
"","Michael Lott","Shepherd","So.","OF","46","169","59"
"","Ryan McChesney","Florida Tech","Sr.","C","45","151","59"
"","Chris Miller","Cal Poly Pomona","Sr.","INF","48","173","59"
"","Brett Neill","Drury","Jr.","INF","42","157","59"
"","Kevin Price","Pfeiffer","So.","OF","50","194","59"
"","Mitch Roy","Alderson-Broaddus","Sr.","OF","45","161","59"
"","John Sgromolo","Flagler","Sr.","1B","49","186","59"
"","Jake Sloan","North Ala.","Sr.","P","50","159","59"
"183","Luke Acosta","Mo. Southern St.","Sr.","INF","46","175","58"
"","Nick Adams","Rollins","Sr.","INF","43","181","58"
"","David Allday","Southern Ark.","Sr.","1B","46","162","58"
"","Darryl Baca","Metro St.","Fr.","C","42","155","58"
"","Matt Boulter","Southern N.H.","Jr.","SS","48","178","58"
"","Andrew Brauer","Lewis","Sr.","OF","46","166","58"
"","Michel Coffey","Ga. Southwestern","Jr.","C","47","196","58"
"","Kevin Korwek","Bentley","Sr.","C","44","179","58"
"","Taylor Lyons","Cameron","Sr.","OF","49","178","58"
"","Seth McMullen","Winona St.","Jr.","SS","42","156","58"
"","Blake Miller","Western Ore.","Jr.","SS","39","142","58"
"","Travis Murrary","Palm Beach Atl.","Sr.","C","40","143","58"
"","Derek Nakasato","Hawaii Pacific","Fr.","OF","42","157","58"
"","Dj Turo","West Ala.","Jr.","INF","48","161","58"
"","Joe Wendle","West Chester","Sr.","2B","41","142","58"
"","Michael White","Stonehill","Sr.","OF","44","183","58"
"","Michael Wilson","Francis Marion","So.","INF","46","186","58"
"200","Steve Anderson","Grand Valley St.","Sr.","OF","44","152","57"
"","Nick Billinger","Regis (CO)","Jr.","2B","45","169","57"
"","Jonathan Calabrese","Nyack","Sr.","INF","33","157","57"
"","K.C. Clabough","Florida Tech","Sr.","INF","46","167","57"
"","Alexi Colon","Tusculum","Sr.","OF","54","178","57"
"","Casey Cotter","Merrimack","Jr.","INF","44","173","57"
"","Stuart Drew","West Ga.","Sr.","2B","43","165","57"
"","Joseph Eusebio","Cal Poly Pomona","So.","OF","45","167","57"
"","Chad Funkhouse","Brevard","Fr.","C","48","167","57"
"","Derek Hansen","Augustana (SD)","Jr.","INF","43","151","57"
"","Mike Hayden","St. Anselm","Fr.","DH","47","187","57"
"","Justin Henderson","West Tex. A&M","Jr.","OF","43","140","57"
"","Robert Kelly","St. Anselm","Jr.","1B","48","180","57"
"","Jon Kennedy","Nyack","Fr.","OF","33","171","57"
"","Nick LaCroix","Franklin Pierce","Jr.","OF","45","164","57"
"","Matt Marra","Le Moyne","Sr.","INF","44","173","57"
"","Josh McElroy","St. Mary's (TX)","Sr.","OF","49","175","57"
"","Eric McGlauflin","Northwest Mo. St.","So.","3B","41","142","57"
"","Quaid McKinnon","Angelo St.","Jr.","INF","50","169","57"
"","Drew Miller","Southwest Baptist","So.","C","44","145","57"
"","Keegan Morrow","Central Okla.","Sr.","OF","47","176","57"
"","Adam Shank","St. Edward's","Sr.","OF","44","166","57"
"","Cameron Sherrer","Mount Olive","Sr.","SS","47","161","57"
"","Cody Snyder","King (TN)","So.","INF","45","166","57"
"","Stanley Susana","St. Thomas Aquinas","Fr.","-","44","160","57"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","167","57"
"","Nick Thimesch","Drury","So.","OF","42","156","57"
"","Lee Voth-Gaeddert","Missouri S&T","Sr.","OF","39","147","57"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","175","57"
"","Julio Zubillaga","Catawba","So.","2B","46","167","57"
