"Rank","Name","Team","Cl","Pos","G","AB","TB"
"","Brain Laznik","Erskine","Sr.","OF","50","176","99"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","179","99"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","155","99"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","174","99"
"","Ryan McChesney","Florida Tech","Jr.","C","47","182","99"
"","Will Miller","West Tex. A&M","Sr.","OF","47","182","99"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","175","99"
"","Jason Simone","Mount Olive","Sr.","OF","37","150","99"
"","Rusty Smith","Mars Hill","Sr.","OF","49","193","99"
"78","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","173","98"
"","David Fox","Metro St.","Sr.","OF","40","144","98"
"","Eric Grabe","Tampa","Jr.","2B","45","175","98"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","153","98"
"82","Nate Baumann","Augustana (SD)","Sr.","OF","39","144","97"
"","Shayne Houck","Kutztown","Jr.","INF","39","136","97"
"","Andrew Jones","Tampa","Jr.","OF","45","155","97"
"","Matt Petty","Barry","Sr.","INF","50","196","97"
"","Cale Rogers","Wingate","Sr.","OF","54","221","97"
"","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","154","97"
"88","Eric Deese","Ala.-Huntsville","Jr.","DH","44","152","96"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","159","96"
"","Brandon Gipson","Benedict","Sr.","C","40","130","96"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","160","96"
"","Zach Krueger","Metro St.","Sr.","OF","39","148","96"
"","Nathan Minnich","Shepherd","Jr.","1B","33","108","96"
"","Troy Snitker","North Ga.","Jr.","C","49","185","96"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","138","96"
"96","Bruce Alter","Columbus St.","Sr.","3B","45","175","95"
"","Stuart Drew","West Ga.","Jr.","2B","48","182","95"
"","Matt Henriksen","Tusculum","So.","INF","48","168","95"
"","Matt Howard","Slippery Rock","Sr.","OF","44","149","95"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","143","95"
"","Richard Pirkle","Georgia College","Sr.","C","50","167","95"
"","Jordan Smith","St. Cloud St.","So.","OF","41","150","95"
"103","Rolando Bonner","Tusculum","Sr.","OF","43","163","94"
"","Chris Casazza","Tarleton St.","Sr.","INF","45","150","94"
"","Josh Hohn","Catawba","Sr.","C","51","184","94"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","168","94"
"","Drew Willingham","Erskine","So.","1B","51","195","94"
"108","Chad Balderman","Limestone","Fr.","OF","51","180","93"
"","Tyler Benzel","Fla. Southern","Sr.","INF","41","158","93"
"","Christian Glisson","Valdosta St.","Jr.","C","44","151","93"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","144","93"
"","Edwin Mendoza","Southwestern Okla.","Jr.","INF","45","157","93"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","158","93"
"","Omar Velazquez","Adelphi","Sr.","OF","42","162","93"
"115","Madison Beaird","Arkansas Tech","So.","OF","46","184","92"
"","Michael Brittian","Mars Hill","Sr.","OF","48","180","92"
"","Chris Love","Newberry","Sr.","INF","52","191","92"
"","Ryan Porter","Rockhurst","Jr.","1B","43","151","92"
"","Ryan Rua","Lake Erie","Jr.","SS","41","150","92"
"","Ryan Saxon","Anderson (SC)","Sr.","2B","50","187","92"
"121","Tucker Brown","Central Okla.","Jr.","INF","43","160","91"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","158","91"
"","Adrian English","Barry","Fr.","INF","50","194","91"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","172","91"
"","Jp LaMunyon","North Ala.","Jr.","3B","43","161","91"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","168","91"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","162","91"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","145","91"
"","Michael Niemann","Delta St.","Sr.","OF","46","170","91"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","160","91"
"","Anthony Sully","Lenoir-Rhyne","Sr.","1B","47","188","91"
"","Michael Wilson","Francis Marion","Fr.","INF","47","189","91"
"133","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","190","90"
"","Ryan Brnovich","Saint Leo","So.","INF","45","179","90"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","181","90"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","176","90"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","149","90"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","160","90"
"","Derek Kline","Millersville","Sr.","1B","45","157","90"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","150","90"
"","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","118","90"
"142","Michel Coffey","Ga. Southwestern","So.","C","48","203","89"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","151","89"
"","Derek Fulmer","North Greenville","Jr.","P","44","159","89"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","165","89"
"","Adam Lewis","Mars Hill","Sr.","C","49","197","89"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","200","89"
"148","Steve Anderson","Grand Valley St.","Jr.","OF","40","129","88"
"","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","182","88"
"","Brandon Choate","Southern Ark.","Sr.","C","40","124","88"
"","Tyler Choate","Southern Ind.","Sr.","P","45","154","88"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","145","88"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","161","88"
"","Robert LaRusso","Molloy","Sr.","1B","45","155","88"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","179","88"
"","Josh Miller","S.C. Aiken","So.","C","46","182","88"
"","Chris Ross","Montevallo","Jr.","OF","43","158","88"
"","Anthony Santa","Saint Leo","Jr.","INF","43","165","88"
"","Justin Vasquez","Belmont Abbey","Sr.","OF","43","159","88"
"160","Bryce Baugh","West Tex. A&M","Jr.","INF","45","153","87"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","167","87"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","165","87"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","87"
"","Jacob Karr","Wingate","Jr.","INF","52","183","87"
"","Keoni Manago","Hawaii Hilo","Sr.","OF","39","150","87"
"","Billy Ninemire","Harding","So.","INF","46","174","87"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","152","87"
"168","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","86"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","158","86"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","154","86"
"","Shane Latshaw","Mercyhurst","Jr.","OF","43","137","86"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","182","86"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","161","86"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","156","86"
"175","Ryan Bostian","Catawba","Jr.","OF","53","216","85"
"","Logan Dollar","Columbus St.","Jr.","1B","46","171","85"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","160","85"
"","R.J. Knese","Drury","Sr.","C","45","165","85"
"","Cody Pate","Mars Hill","Jr.","INF","43","164","85"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","156","85"
"","Preston Shuey","Francis Marion","Sr.","1B","47","173","85"
"","Brian Simone","West Ala.","Sr.","OF","41","156","85"
"","Chris Vazquez","Wingate","Jr.","SS","52","199","85"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","170","85"
"185","Trent Chapman","West Liberty","Sr.","OF","45","159","84"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","177","84"
"","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","130","84"
"","Damon Elder","Tampa","Jr.","OF","45","164","84"
"","R.J. Etchebarren","Grand Canyon","Sr.","OF","46","188","84"
"","Andrew Garcia","Cameron","Jr.","1B","44","170","84"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","165","84"
"","Braxton Graven","Bellarmine","Sr.","OF","44","149","84"
"","Garrett Harris","Angelo St.","Jr.","OF","45","140","84"
"","Taylor Johnson","St. Edward's","So.","2B","44","171","84"
"","Chad Nacapoy","Cal St. L.A.","Jr.","C","46","167","84"
"","Cameron Scott","Columbus St.","So.","2B","46","166","84"
"","David Silvas","Cal St. San B'dino","Jr.","OF","41","159","84"
"","Sloan Soulia","Fort Hays St.","Sr.","C","44","155","84"
"","Drew Walker","Armstrong","Jr.","INF","48","166","84"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","179","84"
"","Christian Wise","Southwestern Okla.","Jr.","INF","44","166","84"
"202","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","156","83"
"","Cedric Belt","Lincoln (MO)","Sr.","OF","40","155","83"
"","Jordan Erisman","North Ga.","Jr.","INF","49","203","83"
"","Joe Kley","Winona St.","Sr.","OF","37","135","83"
"","Jeff May","Lander","So.","C","44","168","83"
"","Aj Nunziato","Lander","Jr.","INF","47","182","83"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","152","83"
"","Isaac Rome","Mo. Western St.","Sr.","INF","44","139","83"
"","Jake Sloan","North Ala.","Jr.","P","42","141","83"
"","Jordan Smith","Barton","Sr.","OF","44","161","83"
"212","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","177","82"
"","Mike August","Millersville","Jr.","SS","45","149","82"
"","Cody Baker","Lincoln Memorial","So.","OF","51","198","82"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","168","82"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","122","82"
"","Brad Bridgeman","UNC Pembroke","Jr.","OF","48","148","82"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","165","82"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","129","82"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","140","82"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","161","82"
"","Josh Huggins","West Fla.","Jr.","3B","47","162","82"
"","Preston Lyon","Pfeiffer","Jr.","INF","49","190","82"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","176","82"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","179","82"
"226","Chase Barnes","Pittsburg St.","Jr.","OF","38","129","81"
"","Kenny Bellavance","North Ga.","So.","OF","49","205","81"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","194","81"
"","Zach Cohen","Angelo St.","Jr.","INF","47","157","81"
"","Gene Franks","West Va. Wesleyan","Sr.","OF","36","131","81"
"","Trent Kinnear","Harding","Sr.","OF","40","135","81"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","170","81"
"","Ryan Moore","Chowan","Fr.","P","50","155","81"
"","Jared Mothershed","North Ala.","Sr.","OF","43","140","81"
"","Micah Robinson","Limestone","Sr.","INF","52","194","81"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","145","81"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","150","81"
"","James Young","Barry","So.","3B","47","172","81"
"239","Branfy Arias","Tusculum","Sr.","OF","46","149","80"
"","Tyler Bair","Grand Canyon","Sr.","OF","47","186","80"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","165","80"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","138","80"
"","Travis Echols","Georgia College","So.","3B","50","178","80"
"","Brad Hall","North Ga.","Sr.","INF","49","188","80"
"","Zane Hensley","Tarleton St.","Sr.","DH","46","162","80"
"","Mark Jeffery","Tarleton St.","Sr.","C","43","129","80"
"","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","130","80"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","152","80"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","172","80"
"","Randy O'Dell","Brevard","Jr.","INF","41","147","80"
"","Drew Westover","Pitt.-Johnstown","Jr.","OF","40","141","80"
"252","Andrew Anderson","Ga. Southwestern","Jr.","INF","48","195","79"
"","Mitchell Broughton","Quincy","Fr.","OF","41","135","79"
"","Jarius Brown","Stillman","Fr.","OF","41","155","79"
"","Angelo Bruno","Stonehill","Sr.","1B","43","152","79"
"","Josh Dabbs","Montevallo","Sr.","OF","41","145","79"
"","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","175","79"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","145","79"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","164","79"
"","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","166","79"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","143","79"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","79"
"","Jason Trulin","Neb.-Kearney","Sr.","OF","38","141","79"
"","Nate Valdez","Cameron","Sr.","INF","43","157","79"
"265","Tate Allison","Angelo St.","Jr.","OF","47","155","78"
"","Tyler Bean","Washburn","Jr.","INF","40","123","78"
"","Anthony Boza","Lynn","Jr.","1B","45","172","78"
"","Bryan Butcher","Morehouse","Jr.","C","41","142","78"
"","Caleb Cole","Drury","Fr.","INF","45","162","78"
"","Patrick Donahue","Tampa","Sr.","INF","43","156","78"
"","Jon Gray","Pfeiffer","Fr.","INF","49","190","78"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","129","78"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","186","78"
"","Jordan Owens","Lander","Jr.","1B","42","155","78"
"","Joel Potts","Drury","Sr.","3B","45","143","78"
"","Matthew Pullos","Colorado Mines","So.","OF","43","157","78"
"","Tim Quinn","Assumption","Jr.","C","41","140","78"
"","Michael Schmidt","North Ala.","Jr.","INF","44","159","78"
"","Donald Smith","Claflin","Jr.","OF","34","114","78"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","140","78"
"281","Justin Bagbey","Chowan","Jr.","INF","46","140","77"
"","Zak Blair","Mercyhurst","So.","INF","44","164","77"
"","Bret Blevins","Concord","Fr.","INF","40","149","77"
"","J Cox","Virginia St.","Fr.","-","46","152","77"
"","Gus Durst","Lincoln (MO)","Sr.","OF","41","148","77"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","152","77"
"","Collin Elmore","St. Edward's","Jr.","INF","42","174","77"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","170","77"
"","Joe Halley","Cameron","Sr.","INF","45","159","77"
"","Travis Hayes","Tarleton St.","Jr.","INF","36","117","77"
"","Jesse Kinzey","Mo. Southern St.","Jr.","P","45","151","77"
"","Taye Larry","West Fla.","Jr.","OF","47","181","77"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","146","77"
"","Evan Melendez","Ashland","Sr.","OF","45","157","77"
"","Ryan Powers","Saint Leo","Sr.","INF","44","153","77"
"","Colby Robison","Mont. St. Billings","So.","INF","39","147","77"
"","Austin Smith","Lynn","Jr.","OF","46","184","77"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","154","77"
"","Andy Vogel","Newberry","So.","INF","50","186","77"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","157","77"
"","Paul Young","Grand Valley St.","Sr.","OF","39","126","77"
"302","Blake Amaral","Hawaii Pacific","Jr.","INF","34","129","76"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","177","76"
"","Brandon Brewer","West Fla.","Sr.","SS","48","151","76"
"","Corey Cowan","Newman","Jr.","INF","47","186","76"
"","Daniel DeCoste","St. Anselm","Jr.","3B","43","163","76"
"","Ryan Engrav","Newman","Sr.","INF","42","158","76"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","113","76"
"","Derek Hooper","North Ga.","So.","INF","48","185","76"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","148","76"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","152","76"
"","Colin Kish","Fla. Southern","Jr.","OF","40","156","76"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","129","76"
"","Cameron Robulack","Delta St.","Jr.","1B","44","148","76"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","163","76"
"","John Sgromolo","Flagler","Jr.","1B","48","183","76"
"","Zach Stone","Millersville","So.","3B","45","145","76"
"","Danny Susdorf","UC San Diego","So.","OF","46","181","76"
"","Josh Wenger","Concord","So.","INF","43","150","76"
"","John Zule","Incarnate Word","So.","INF","37","108","76"
"321","Dion Bryant","Stillman","Jr.","OF","41","159","75"
"","Brad Clement","Northern Ky.","So.","INF","43","157","75"
"","Daniel Coffey","Mount Olive","Jr.","3B","46","165","75"
"","Garrett Cook","King (TN)","Fr.","OF","41","122","75"
"","Andy Cotton","Emporia St.","Sr.","INF","45","172","75"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","156","75"
"","Anthony DiFrancesco","Philadelphia U.","Sr.","3B","36","143","75"
"","John Duran","Ga. Southwestern","So.","INF","46","191","75"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","165","75"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","133","75"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","170","75"
"","Brian Moon","Cal St. L.A.","Sr.","SS","43","167","75"
"","Andy Petz","Washburn","Sr.","C","41","140","75"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","158","75"
"","Tyler Splichal","Neb. Omaha","So.","INF","39","144","75"
"","Nick Sydnor","Concord","Fr.","OF","44","151","75"
"","Brad Vance","Southern Ind.","Jr.","C","45","175","75"
"","Kyle Wager","Colorado St.-Pueblo","Sr.","C","40","128","75"
"","Nate Wilder","Arkansas Tech","Jr.","3B","38","101","75"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","149","75"
"341","Corey Benson","Ga. Southwestern","Fr.","OF","47","168","74"
"","Matt Boulter","Southern N.H.","So.","SS","44","149","74"
"","Dustin Brown","Saint Leo","Jr.","OF","44","169","74"
"","David Christy","Limestone","Sr.","2B","52","207","74"
"","Kevin Deese","West Ala.","Sr.","OF","41","147","74"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","161","74"
"","Noe Flores","Cal St. L.A.","Sr.","1B","41","124","74"
"","Brandon James","Lake Erie","Sr.","OF","41","141","74"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","129","74"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","121","74"
"","Scot Palmer","Newman","Sr.","C","45","165","74"
"","Chris Pfau","Lincoln (MO)","Jr.","P","38","146","74"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","151","74"
"","Anthony Salinas","Fort Hays St.","Jr.","OF","39","138","74"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","126","74"
"","Taylor Sibala","Pittsburg St.","Sr.","2B","42","166","74"
"","Dan Skelly","Northeastern St.","Jr.","C","38","137","74"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","135","74"
"","Jordan White","Ky. Wesleyan","Jr.","OF","35","132","74"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","138","74"
"","Jacob Yates","Pfeiffer","So.","INF","49","193","74"
"362","Weston Baros","St. Mary's (TX)","Sr.","2B","47","145","73"
"","Kenny Bechaud","Mo.-St. Louis","Sr.","1B","38","138","73"
"","Kyle Buchanan","Belmont Abbey","Jr.","C","44","149","73"
"","Trey Buck","Southern Ark.","Jr.","SS","45","143","73"
"","Dallas Burke","Mo. Southern St.","Jr.","C","41","140","73"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","158","73"
"","Cody Coffman","Tusculum","Jr.","1B","47","145","73"
"","Ladarrius Cole","West Ala.","Jr.","OF","41","166","73"
"","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","144","73"
"","Ryan Faison","Mount Olive","Sr.","INF","46","190","73"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","129","73"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","149","73"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","160","73"
"","Zach Maggard","Fla. Southern","Sr.","C","37","144","73"
"","Jacob Mays","Concord","Jr.","P","42","138","73"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","156","73"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","153","73"
"","Robert Skinner","Lander","Sr.","INF","49","170","73"
"","Landon Sullins","Arkansas Tech","Jr.","C","40","139","73"
"","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","108","73"
"","Alex Todd","Sonoma St.","Sr.","INF","44","160","73"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","141","73"
"384","Patrick Arntson","Upper Iowa","Jr.","1B","44","158","72"
"","Matt Barr","Davis & Elkins","So.","INF","42","135","72"
"","Christian Diaz","Mars Hill","Jr.","INF","48","169","72"
"","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","140","72"
"","Joey Ianiero","Bloomsburg","Sr.","INF","40","141","72"
"","Jonathan Keener","Cal St. Dom. Hills","Jr.","C","43","164","72"
"","Wade Koester","Quincy","Sr.","INF","44","156","72"
"","Colby McCord","Neb. Omaha","Jr.","C","46","166","72"
"","Gavin Meyer","Quincy","So.","OF","44","157","72"
"","Devon Myers","Truman","Jr.","C","44","154","72"
"","Kyle O'Boyle","Saginaw Valley","So.","OF","39","121","72"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","139","72"
"","Bryan Rose","Northern Ky.","Sr.","OF","42","153","72"
"","Spencer Shockley","Mo. Western St.","So.","INF","44","154","72"
"","Jordan Whitman","Cal Poly Pomona","So.","OF","45","170","72"
"399","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","194","71"
"","Al Benson","Limestone","Jr.","OF","52","187","71"
"","Nick Bergeman","Upper Iowa","Sr.","OF","44","171","71"
"","Ryan Daughtry","Barton","Jr.","OF","43","161","71"
"","Nick Erminio","Seton Hill","Jr.","INF","37","129","71"
"","null Gerstenslage","Mercyhurst","Fr.","-","40","143","71"
"","Troy Handza","California (PA)","Jr.","OF","44","154","71"
"","Wess Hollins","Eckerd","Sr.","OF","44","156","71"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","176","71"
"","Teddy Leverett","S.C. Aiken","Jr.","OF","46","170","71"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","163","71"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","114","71"
"","Ronald Patterson","Brevard","Sr.","OF","42","166","71"
"","Shawn Pleffner","Tampa","Jr.","OF","41","138","71"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","158","71"
"","Jake Rierson","Limestone","Jr.","P","52","170","71"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","156","71"
"","Eric Shoemaker","Pfeiffer","Sr.","OF","45","168","71"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","146","71"
"","Michael White","Stonehill","Jr.","OF","43","159","71"
"","Cody Young","Lock Haven","Sr.","SS","39","146","71"
"420","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","140","70"
"","Brett Cisper","Northern Ky.","So.","INF","43","156","70"
"","Josh Cyr","North Ala.","So.","INF","44","131","70"
"","Kalab Evans","Grand Canyon","Jr.","C","45","151","70"
"","Logan Gillis","Bentley","So.","INF","39","163","70"
"","Jeremy Graves","Pittsburg St.","Sr.","SS","45","160","70"
