"Rank","Name","Team","Cl","Pos","G","BB"
"","Kyle Schwarber","Indiana","Jr.","C","21","16"
"","Nick Thompson","William & Mary","Jr.","INF","22","16"
"","Nick Vilter","UC Riverside","Jr.","3B","20","16"
"","Doug Votolato","Central Ark.","Sr.","INF","21","16"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","16"
"","Zach Willis","Memphis","Sr.","INF","23","16"
"","Trent Woodward","Fresno St.","Jr.","C","24","16"
"","Chase Young","UT Martin","Fr.","OF","19","16"
"112","Joey Armstrong","UNLV","So.","OF","23","15"
"","Nick Backlund","Mercer","Sr.","1B","25","15"
"","Austin Baker","Arkansas St.","So.","OF","23","15"
"","Caleb Barker","Houston","Sr.","C","23","15"
"","Nick Bartolone","Butler","So.","OF","18","15"
"","Skye Bolt","North Carolina","So.","OF","22","15"
"","Cody Brown","Mississippi St.","So.","OF","18","15"
"","Joe Chavez","UC Riverside","Jr.","INF","20","15"
"","T.J. Dixon","Samford","Fr.","OF","22","15"
"","Edwin Drexler","Grambling","Jr.","OF","21","15"
"","Ben Fisher","Eastern Ky.","Fr.","INF","24","15"
"","Jameson Fisher","Southeastern La.","So.","C","23","15"
"","Sam Haggerty","New Mexico","So.","INF","25","15"
"","Wesley Hoover","Central Ark.","Jr.","OF","20","15"
"","Jordan Hopkins","Tennessee Tech","Jr.","C","21","15"
"","Kevin Husum","James Madison","Jr.","OF","22","15"
"","Joel Klock","Niagara","Sr.","OF","22","15"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","15"
"","Mark Laird","LSU","So.","OF","21","15"
"","Ryan Long","Texas Tech","Fr.","INF","25","15"
"","Spencer Mahoney","Valparaiso","Jr.","INF","18","15"
"","Tyler Mautner","Buffalo","Jr.","INF","17","15"
"","Anthony Montefusco","George Mason","Sr.","P","19","15"
"","Alberto Morales","Tex.-Pan American","Sr.","INF","26","15"
"","Max Murphy","Bradley","Jr.","OF","19","15"
"","Brandon Murray","Col. of Charleston","Sr.","OF","23","15"
"","Luke Plucheck","Sam Houston St.","Sr.","OF","24","15"
"","Richard Prigatano","Long Beach St.","Jr.","OF","22","15"
"","Jesse Puscheck","Canisius","Jr.","INF","20","15"
"","Cody Ramer","Arizona","So.","INF","26","15"
"","Tony Ramirez","UTSA","Sr.","DH","24","15"
"","Bubby Riley","North Carolina St.","Jr.","OF","19","15"
"","Michael Russell","North Carolina","Jr.","OF","23","15"
"","Connor Schaefbauer","Minnesota","So.","INF","19","15"
"","Reed Seeley","Lamar","Jr.","INF","25","15"
"","Mike Small","Richmond","Sr.","INF","21","15"
"","Jacob Stewart","SIU Edwardsville","So.","INF","20","15"
"","Boomer Synek","Evansville","Jr.","INF","19","15"
"","Erik VanMeetren","UNLV","Jr.","C","22","15"
"","Justin Wall","Dallas Baptist","So.","OF","23","15"
"","Jared Walsh","Georgia","Jr.","OF","16","15"
"","Donnie Walton","Oklahoma St.","So.","INF","24","15"
"","Brandon Wilkerson","N.C. A&T","Jr.","OF","22","15"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","15"
"156","Tyson Ashcraft","Lipscomb","Jr.","INF","25","14"
"","Andrew Benintendi","Arkansas","Fr.","OF","20","14"
"","Quinn Bower","Elon","Jr.","OF","23","14"
"","Cayce Bredlau","Austin Peay","Fr.","OF","19","14"
"","Marcos Calderon","Butler","Sr.","OF","22","14"
"","AC Carter","Georgetown","Jr.","C","20","14"
"","Kacy Clemens","Texas","Fr.","INF","23","14"
"","Garrett Copeland","Austin Peay","Fr.","INF","22","14"
"","Austin Darby","Nebraska","Jr.","OF","21","14"
"","Drew DeKerlegand","Citadel","Sr.","OF","24","14"
"","Alex Detz","Mississippi St.","Sr.","INF","26","14"
"","Trent Drumheller","Oakland","Jr.","OF","15","14"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","14"
"","Skyler Ewing","Rice","Jr.","INF","25","14"
"","Dominic Fratantuono","Towson","Sr.","OF","19","14"
"","Turner Gill","Portland","Jr.","INF","23","14"
"","Cole Gleason","South Ala.","Jr.","INF","22","14"
"","Brandon Gomez","FIU","Fr.","OF","21","14"
"","Adam Goss","Villanova","So.","OF","20","14"
"","Michael Handel","Minnesota","Jr.","SS","20","14"
"","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","14"
"","Brendon Hayden","Virginia Tech","Jr.","INF","22","14"
"","Dalton Herrington","La.-Monroe","Sr.","OF","25","14"
"","Tommy Hook","Northern Ill.","So.","INF","20","14"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","14"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","14"
"","Connor Joe","San Diego","Jr.","INF","23","14"
"","Ben Johnson","Texas","So.","OF","25","14"
"","Ryan Kent","Morehead St.","Fr.","OF","21","14"
"","Cody Koch","Kent St.","Sr.","1B","20","14"
"","Tim Lynch","Southern Miss.","So.","INF","24","14"
"","Chayse Marion","McNeese St.","Sr.","INF","22","14"
"","Grant McCabe","Duke","Jr.","OF","24","14"
"","Bobby Melley","UConn","So.","1B","21","14"
"","Charlie Morgan","Wake Forest","Sr.","C","24","14"
"","Taylor Murphy","Pacific","Jr.","3B","26","14"
"","Craig Nennig","Ohio St.","So.","INF","21","14"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","14"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","14"
"","Alex Owens","Longwood","Sr.","1B","25","14"
"","Alec Paradowski","Wofford","So.","INF","23","14"
"","Rj Perucki","UTSA","Sr.","INF","24","14"
"","Daniel Portales","South Fla.","Fr.","1B","22","14"
"","Jess Posey","Georgia","So.","3B","25","14"
"","Ryan Prinzing","UAB","Sr.","OF","25","14"
"","Jordan Richartz","Hawaii","Jr.","OF","24","14"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","14"
"","Jake Romano","Miami (OH)","So.","OF","20","14"
"","Mike Rosenfeld","Duke","Jr.","C","25","14"
"","Jeff Schalk","UAB","Jr.","OF","25","14"
"","Hayden Simerly","Sam Houston St.","Jr.","OF","24","14"
"","Kal Simmons","Kennesaw St.","So.","SS","27","14"
"","Justin Steelmon","UALR","Jr.","INF","21","14"
"","James Vasquez","UCF","Jr.","INF","25","14"
"","Russell Vaughan","A&M-Corpus Christi","Sr.","C","24","14"
"","Jason Vosler","Northeastern","Jr.","INF","19","14"
"","Robert Wayman","St. John's (NY)","Jr.","2B","23","14"
"","Dustin Williams","Oklahoma St.","Fr.","INF","22","14"
"","Matt Williams","McNeese St.","Sr.","OF","21","14"
"","Derrick Workman","Mercer","Sr.","OF","25","14"
