"Rank","Name","Team","Cl","Pos","App","IP","SV"
"","Adam Stuart","Wesley","Fr.","-","15","26.7","4"
"","Nathan Bryant","Franklin","Sr.","P","16","23.3","4"
"","Josh Hershberger","Messiah","Jr.","3B","16","13.0","4"
"","Pat Lavey","Mass.-Dartmouth","Jr.","P","16","29.0","4"
"","James Bierlein","Randolph-Macon","Sr.","OF","17","37.3","4"
"","H.T. Flanagan","Washington-St. Louis","Sr.","P","17","31.0","4"
"","Jacob Brown","George Fox","So.","P","18","26.0","4"
"","Ryan Peterson","Rowan","Jr.","P","18","30.7","4"
"","Dale Langford","Randolph-Macon","So.","P","21","36.3","4"
"116","Mcgary Ben","Pitt.-Bradford","Fr.","-","5","9.0","3"
"","Dave Gage","Southern Vt.","Sr.","2B","5","3.7","3"
"","Jake Northrup","Endicott","Fr.","P","5","4.7","3"
"","Joshua Ferreira","Bridgewater St.","Jr.","OF","6","7.3","3"
"","Jay Condit","Penn St.-Behrend","So.","OF","8","22.3","3"
"","Jake Holloway","Kalamazoo","So.","P","8","13.7","3"
"","Brandon McClain","SUNY Cortland","Fr.","P","8","8.7","3"
"","Matt Gehret","Penn St.-Altoona","So.","P","9","13.3","3"
"","Merrick McGrady","North Park","Fr.","P","9","24.3","3"
"","Tyler Perrin","New England Col.","Jr.","2B","9","15.7","3"
"","Drew Rossi","Mitchell","Sr.","INF","9","11.0","3"
"","Rich Schlamowitz","Penn St.-Berks","Jr.","3B","9","11.0","3"
"","Dean Lambert","Tufts","Fr.","OF","10","16.0","3"
"","Andy Roenker","Thomas More","Fr.","P","10","12.0","3"
"","Steve Stombaugh","Grove City","Sr.","P","10","8.3","3"
"","Eric Anderson","Whitworth","Sr.","P","11","43.7","3"
"","Bret Bell","Central (IA)","Jr.","P","11","17.3","3"
"","Brett Bugielski","Hamline","Jr.","P","11","27.0","3"
"","Bubba Davis","Mississippi Col.","Sr.","P","11","12.0","3"
"","Doug Finley","John Carroll","Fr.","P","11","13.7","3"
"","Jason Griffith","Rensselaer","Jr.","P","11","17.3","3"
"","Jeff Groenewold","Calvin","Sr.","P","11","18.3","3"
"","Chip Hockenbury","Hanover","Fr.","P","11","39.7","3"
"","Kevin Keith","Colby-Sawyer","Fr.","P","11","49.3","3"
"","Andrew Kelley","Grinnell","Fr.","P","11","20.7","3"
"","Collin Majev","Pomona-Pitzer","So.","INF","11","14.7","3"
"","John Popkowski","Middlebury","So.","P","11","15.3","3"
"","Bradley Smith","Medaille","So.","P","11","24.7","3"
"","Joshua Sullivan","Lasell","Jr.","INF","11","51.0","3"
"","Dustin Thomsen","Merchant Marine","So.","P","11","50.3","3"
"","Evan Hilberg","Linfield","Sr.","P","12","39.0","3"
"","Mikel Iraola","St. Mary's (MD)","Sr.","P","12","27.0","3"
"","Mike Riemer","Eastern Conn. St.","Jr.","OF","12","12.0","3"
"","Tyler Slanovec","Bridgewater (VA)","Fr.","P","12","23.0","3"
"","Matt Barnes","Wooster","Sr.","P","13","45.7","3"
"","Steve Coral","Wm. Paterson","Jr.","P","13","23.3","3"
"","Joe Hribar","Mt. Aloysius","Jr.","P","13","20.0","3"
"","Daniel Kehew","Salve Regina","So.","DH","13","28.3","3"
"","Quinn Rhoda","Union (NY)","So.","-","13","16.0","3"
"","Tim Sylvester","St. John Fisher","Jr.","P","13","18.0","3"
"","Jordan Carrigan","Hope","So.","C","14","21.3","3"
"","Andy Dlugosz","Fredonia St.","Sr.","1B","14","39.3","3"
"","Andrew Guido","Salem St.","So.","P","14","19.3","3"
"","Casey Miller","Redlands","Fr.","P","14","17.0","3"
"","Grant Oldenburg","Wis.-Platteville","Jr.","P","14","32.0","3"
"","Jose Vega","Case","Fr.","P","14","21.3","3"
"","Scott Leecock","Nichols","Sr.","P","15","23.7","3"
"","Brendan McCreary","Frank. & Marsh.","Sr.","P","15","34.3","3"
"","Michael Haslam","Roanoke","So.","P","16","57.3","3"
"","Alex Kendall","Kenyon","So.","P","16","27.7","3"
"","Gregg Laswell","Wash. & Lee","Sr.","P","16","67.0","3"
"","Jason Riggins","Millsaps","Sr.","P","16","61.3","3"
"","Dustin Stanton","Southern Me.","Jr.","P","16","37.3","3"
"","Max Willard","Texas-Dallas","Jr.","P","16","23.3","3"
"","Dan Gayeski","DeSales","So.","P","17","51.3","3"
"","Todd Leister","Elizabethtown","Jr.","P","17","24.7","3"
"","Torey Mancari","Mary Washington","So.","P","17","38.3","3"
"","Jason Daniels","Muhlenberg","Sr.","P","18","73.0","3"
"","Sammy Stuart","Guilford","Sr.","P","18","29.3","3"
"","Michael Schweiss","Dallas","Jr.","P","19","54.3","3"
"","Cameron Duvall","Puget Sound","Sr.","P","20","43.7","3"
"","Mason Webster","LaGrange","So.","P","20","25.0","3"
"","Chad Cox","East Tex. Baptist","Sr.","P","23","49.3","3"
