"Rank","Name","Team","Cl","Pos","G","SF"
"","Spencer Kieboom","Clemson","So.","C","36","5"
"","William Ladd","Citadel","Sr.","OF","43","5"
"","Will Lamb","Clemson","Jr.","OF","43","5"
"","Matt Leeds","Col. of Charleston","Jr.","INF","44","5"
"","Carlos Lopez","Wake Forest","Jr.","OF","40","5"
"","Craig Manuel","Rice","Jr.","C","41","5"
"","Blake Martz","Troy","Jr.","C","36","5"
"","Mike McCann","Manhattan","Sr.","OF","38","5"
"","Kevin McDonnell","Wagner","Sr.","OF","42","5"
"","Cameron McGriff","Southern U.","Jr.","INF","27","5"
"","Martin Medina","CSU Bakersfield","Jr.","INF","40","5"
"","Kevin Medrano","Missouri St.","Jr.","INF","35","5"
"","Thor Meeks","Marshall","Jr.","C","36","5"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","5"
"","Dave Milanes","Navy","So.","C","48","5"
"","Tom Murphy","Buffalo","So.","C","38","5"
"","Aaron Nardone","Delaware St.","Fr.","C","40","5"
"","Tanner Nivins","Stony Brook","So.","OF","40","5"
"","David Nolting","Southern U.","Sr.","C","32","5"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","5"
"","Taylor Perkins","VCU","Jr.","C","39","5"
"","Tim Roberson","Fla. Gulf Coast","Sr.","3B","38","5"
"","Desmond Russell","Jackson St.","Fr.","INF","39","5"
"","Andrew Russell","Lehigh","Sr.","OF","45","5"
"","Austin Sheffield","Manhattan","Sr.","INF","38","5"
"","Preston Springer","Wichita St.","Sr.","1B","47","5"
"","Jacob Stallings","North Carolina","Jr.","C","43","5"
"","Graham Sullivan","VMI","Sr.","OF","44","5"
"","Jimmy Swift","Creighton","Sr.","INF","41","5"
"","Brett Thomas","Winthrop","Jr.","1B","44","5"
"","Mark Threlkeld","Louisiana Tech","Jr.","INF","46","5"
"","Cory Tilton","Charlotte","Sr.","OF","43","5"
"","Riccio Torrez","Arizona St.","Jr.","INF","41","5"
"","Chris Walker","Fordham","Sr.","C","43","5"
"","Jake Watts","Gardner-Webb","Jr.","P","41","5"
"","Travis Whitmore","Pittsburgh","Sr.","INF","41","5"
"","Jesse Wierzbicki","North Carolina","Sr.","1B","41","5"
"","Dan Williams","Penn","Sr.","SS","40","5"
"","Kevin Williams","Southern U.","So.","INF","23","5"
"","Brandon Williams","Georgia St.","Jr.","3B","45","5"
"","Justin Wilson","Charlotte","Sr.","OF","44","5"
"","Jacob Wilson","Memphis","Jr.","INF","44","5"
"","Zach Wilson","Arizona St.","Jr.","INF","41","5"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","5"
"136","Josh Adams","Florida","Sr.","INF","43","4"
"","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","4"
"","Nick Addison","Ill.-Chicago","So.","OF","39","4"
"","Nick Allen","George Mason","So.","2B","42","4"
"","Landon Anderson","Dallas Baptist","Jr.","OF","43","4"
"","Chris Andreas","Sam Houston St.","Sr.","OF","46","4"
"","Jared Andreoli","Western Ky.","Jr.","OF","44","4"
"","John Andreoli","Connecticut","Jr.","OF","45","4"
"","Andrew Ayers","Sacramento St.","So.","INF","45","4"
"","Isaac Ballou","Marshall","So.","OF","41","4"
"","Blake Barber","Cal St. Fullerton","Jr.","INF","23","4"
"","Todd Baumgartner","Arkansas St.","Sr.","OF","46","4"
"","Brandon Beans","Navy","Fr.","OF","38","4"
"","Colin Bear","Northwestern St.","Jr.","DH","45","4"
"","Hunter Beaty","UNLV","Sr.","INF","40","4"
"","T.J. Berge","Northern Colo.","Sr.","INF","42","4"
"","Andrew Bishop","Jacksonville St.","Fr.","SS","36","4"
"","Seth Boyd","Wagner","Sr.","INF","42","4"
"","Thomas Brown","Grambling","Fr.","INF","41","4"
"","Cory Burleson","Nebraska","Jr.","C","35","4"
"","William Carmona","Stony Brook","So.","INF","40","4"
"","Eric Charles","Purdue","Jr.","INF","43","4"
"","Derrick Chung","Sacramento St.","Sr.","INF","46","4"
"","Aaron Cieslak","Oakland","Jr.","OF","35","4"
"","Jason Coats","TCU","Jr.","OF","44","4"
"","Aaron Conway","Missouri St.","Sr.","OF","40","4"
"","Justin Cook","Texas Southern","Jr.","P","42","4"
"","Dylan Craig","Belmont","Jr.","OF","45","4"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","4"
"","Ryan Dalton","UTSA","So.","INF","42","4"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","4"
"","Shane Davis","George Mason","Sr.","DH","45","4"
"","Josh Dezse","Ohio St.","Fr.","DH","37","4"
"","Konstantine Diamaduros","Wofford","Jr.","INF","44","4"
"","Matt Dickason","Longwood","Fr.","SS","40","4"
"","Bob Donato","Bucknell","Jr.","OF","46","4"
"","Taylor Drake","McNeese St.","Fr.","INF","32","4"
"","Davis Duren","Oklahoma St.","Sr.","INF","41","4"
"","Pat Epps","Central Conn. St.","Sr.","INF","41","4"
"","Clayton Eslick","Gonzaga","So.","INF","36","4"
"","Josy Espinal","Albany (NY)","Fr.","INF","29","4"
"","Michael Fear","Morehead St.","Sr.","INF","37","4"
"","Dominic Ficociello","Arkansas","Fr.","INF","41","4"
"","Alex Foltz","James Madison","Sr.","OF","37","4"
"","James Foster","Wofford","Jr.","OF","44","4"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","4"
"","Mick Gaston","CSU Bakersfield","Jr.","OF","26","4"
"","Michael George","Arkansas St.","Jr.","INF","23","4"
"","Victor Gomez","Marshall","Sr.","INF","40","4"
"","Colby Gratton","Fla. Atlantic","Sr.","OF","34","4"
"","Will Hagel","Valparaiso","Jr.","P","39","4"
"","John Harris","Gardner-Webb","So.","-","39","4"
"","Kevin Herlihy","Savannah St.","So.","P","46","4"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","4"
"","Alex Hill","UNC Wilmington","Sr.","OF","44","4"
"","Drew Hillman","UC Irvine","Sr.","INF","40","4"
"","Shane Hoelscher","Rice","Fr.","INF","41","4"
"","Ryan Hutchison","Western Ky.","Jr.","OF","44","4"
"","Joel Hutter","Dallas Baptist","Jr.","INF","42","4"
"","Lacy Jackson","Texas Southern","Jr.","INF","33","4"
"","Alvin Jackson","Alcorn St.","So.","OF","31","4"
"","Nick Johnson","Southern Ill.","So.","OF","41","4"
"","Steven Keller","Cal St. Northridge","Jr.","C","41","4"
"","Phil Keppler","Iowa","Jr.","1B","35","4"
"","Brad Kimball","Bradley","Jr.","OF","38","4"
"","Mike Kindel","Kansas St.","Jr.","OF","43","4"
"","Matt Koch","Loyola Marymount","Jr.","C","41","4"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","4"
"","Jeff Kremer","Duke","So.","C","47","4"
"","Chadd Krist","California","Jr.","C","40","4"
"","Angelo LaBruna","Duke","Fr.","INF","47","4"
"","Chris Lashmet","Northwestern","Sr.","INF","39","4"
"","Corey LeVier","San Diego","Jr.","INF","38","4"
"","Jason Leblebijian","Bradley","So.","INF","42","4"
"","Ryan Lewis","Rice","So.","OF","41","4"
"","Carlos Lopez","Cal St. Fullerton","Jr.","INF","33","4"
"","John Lorenz","Michigan","Jr.","3B","41","4"
"","Matt Lowenstein","Loyola Marymount","So.","OF","41","4"
"","Derek Luciano","UCF","Sr.","INF","39","4"
"","Taggart Lunceford","Southern Utah","Fr.","-","30","4"
"","Conner Mach","Missouri","Jr.","INF","44","4"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","4"
"","Sean Madigan","UC Irvine","Sr.","OF","40","4"
"","Jeramie Marek","A&M-Corpus Christi","Jr.","INF","45","4"
"","Joey Martin","Maine","Sr.","INF","40","4"
"","Ryan McBroom","West Virginia","Fr.","1B","36","4"
"","Travis McComack","Missouri St.","Jr.","INF","41","4"
"","Casey McElroy","Auburn","Jr.","INF","44","4"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","4"
"","Brennan Metzger","Long Beach St.","Jr.","OF","41","4"
"","Chris Migani","Quinnipiac","Jr.","-","41","4"
"","A.J. Miller","Lafayette","Sr.","C","38","4"
"","Adrian Morales","South Carolina","Sr.","INF","42","4"
"","Kyle Multner","Massachusetts","Sr.","OF","37","4"
"","Will Muzika","Furman","So.","2B","46","4"
"","Tyler Naquin","Texas A&M","So.","OF","43","4"
"","Tucker Nathans","Fairfield","Sr.","2B","37","4"
"","Josh Nethaway","Albany (NY)","So.","C","33","4"
"","Paul Nice","VCU","Jr.","INF","41","4"
"","Matthew Oglesby","Savannah St.","Jr.","INF","47","4"
"","Jeff Onstott","Dartmouth","Sr.","2B","38","4"
"","Stephen Oswald","George Washington","Jr.","OF","38","4"
"","Matt Ozanne","Santa Clara","So.","OF","35","4"
"","Patrick Paligraf","Xavier","So.","INF","43","4"
"","Josh Parr","Illinois","Jr.","SS","33","4"
"","Justin Parr","Illinois","So.","INF","36","4"
"","Daniel Pellegrino","UC Riverside","Sr.","C","29","4"
"","Andrew Pitts","Alabama St.","Fr.","OF","30","4"
"","Kevin Plawecki","Purdue","So.","C","42","4"
"","Nick Popescu","Texas Tech","Sr.","INF","40","4"
"","Steven Proscia","Virginia","Jr.","INF","47","4"
"","Cole Rakar","Col. of Charleston","Sr.","OF","45","4"
"","Nick Ramirez","Cal St. Fullerton","Jr.","P","43","4"
"","null Ramsay","South Fla.","Fr.","-","41","4"
"","Bryce Redeker","Miami (OH)","Jr.","OF","44","4"
"","Tony Renda","California","So.","INF","40","4"
"","Matt Reynolds","Arkansas","So.","INF","41","4"
"","Nick Rickles","Stetson","Jr.","C","44","4"
"","T.J. Rivera","Troy","Sr.","2B","44","4"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","4"
"","Sam Roberts","VMI","Sr.","INF","44","4"
"","Kyle Robinson","Arkansas","Sr.","OF","41","4"
"","D.J. Roche","NJIT","So.","P","40","4"
"","Jeremy Rodriguez","CSU Bakersfield","Jr.","C","38","4"
"","Oscar Sanay","CSU Bakersfield","Fr.","INF","40","4"
"","Justin Scanlon","Michigan St.","Jr.","SS","40","4"
"","Jeff Schaffert","Centenary (LA)","Jr.","C","41","4"
"","Jeff Schaus","Clemson","Sr.","OF","44","4"
"","Nick Schneeberger","Tulane","Jr.","INF","38","4"
"","Sam Sciamarelli","LIU Brooklyn","Sr.","OF","41","4"
"","Corey Shaylor","Charlotte","Sr.","INF","43","4"
"","Alex Sherrod","Southern California","Jr.","OF","33","4"
"","Dustin Sollars","Longwood","Jr.","OF","40","4"
"","Zach Spahn","Coppin St.","Fr.","P","40","4"
"","Alex Staehely","Creighton","So.","INF","41","4"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","4"
"","Tyler Steen","North Dakota St.","Jr.","C","30","4"
"","Trevor Stevens","Northwestern","Jr.","1B","39","4"
"","Javi Sujo","Fla. Gulf Coast","Jr.","P","40","4"
"","Zack Swasey","Hawaii","Jr.","OF","39","4"
"","Darnell Sweeney","UCF","So.","INF","44","4"
"","Luke Tendler","N.C. A&T","Fr.","INF","44","4"
"","Cody Terry","UT Martin","Sr.","SS","41","4"
"","Zach Thoma","Western Mich.","Jr.","INF","41","4"
"","Ben Thomas","Xavier","Sr.","1B","40","4"
"","Mike Thompson","Binghamton","So.","INF","24","4"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","4"
"","Billy Urban","St. Bonaventure","So.","3B","36","4"
"","Jordan Vaughn","Texas-Arlington","Jr.","INF","43","4"
"","Logan Vick","Baylor","So.","OF","33","4"
"","Zach Vincej","Pepperdine","So.","SS","38","4"
"","Jimmy Waters","Kansas","Sr.","C","44","4"
"","Murray White Iv","High Point","Sr.","INF","44","4"
"","Nick Wiggins","Md.-East. Shore","Sr.","C","43","4"
"","Bryan Willson","Central Ark.","Jr.","INF","43","4"
"","Chris Wychock","Towson","Sr.","3B","41","4"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","4"
"","Matt Zeblo","Belmont","Sr.","C","38","4"
"","Tom Zengel","North Carolina","Fr.","OF","37","4"
"295","Tyler Acker","Middle Tenn.","Sr.","C","42","3"
"","Trever Adams","Creighton","Sr.","INF","41","3"
"","Ryan Aguayo","New Mexico St.","Sr.","INF","44","3"
"","Nick Ahmed","Connecticut","Jr.","INF","40","3"
"","Ryan Akins","Alcorn St.","So.","INF","24","3"
"","Mike Albaladejo","Fla. Atlantic","Jr.","C","41","3"
"","Preston Aldridge","Saint Peter's","Jr.","OF","39","3"
"","J.J. Altobelli","Oregon","So.","INF","41","3"
"","Bo Altobelli","Texas Tech","So.","C","38","3"
"","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","3"
"","Dale Anderson","Seton Hall","Jr.","OF","34","3"
"","Greg Annarummo","Rhode Island","Jr.","INF","36","3"
"","William Arnold","Central Mich.","Jr.","INF","40","3"
"","Ryan Ashe","Wright St.","Jr.","OF","40","3"
"","Les Aulds","La.-Monroe","Jr.","INF","41","3"
"","Danny Avella","Monmouth","So.","INF","35","3"
"","Alex Bacon","North Florida","Fr.","OF","39","3"
"","Brian Bajer","Southern Ill.","Jr.","C","24","3"
"","Stephen Ballard","Samford","Sr.","INF","26","3"
"","Justin Barnes","UALR","Jr.","INF","31","3"
"","Stephen Bartlett","Jacksonville St.","Fr.","C","25","3"
"","Michael Basil","Indiana","So.","INF","41","3"
"","T.J. Baumet","Ball St.","Sr.","SS","36","3"
"","Preston Beck","Texas-Arlington","So.","INF","44","3"
"","Nick Becker","Saint Louis","Fr.","-","42","3"
"","Alex Beckmann","Northern Ill.","Jr.","INF","32","3"
"","Jose Behar","FIU","Sr.","C","38","3"
"","Matt Bergquist","North Carolina St.","So.","INF","44","3"
"","Connor Bernatz","San Francisco","Sr.","OF","44","3"
"","Joe Betcher","Ill.-Chicago","So.","INF","21","3"
"","Jordan Betts","Duke","Fr.","3B","47","3"
"","Michael Blake","Hawaii","Jr.","P","40","3"
"","Joel Blake","South Dakota St.","Sr.","1B","37","3"
"","Tyson Blaser","Iowa","Sr.","C","40","3"
"","Jackie Bradley","South Carolina","Jr.","OF","37","3"
"","Rick Brebner","Penn","Fr.","INF","40","3"
"","Mickey Brodsky","Cornell","Sr.","P","40","3"
"","Steven Brooks","Wake Forest","Sr.","OF","43","3"
"","Jason Brooks","Dartmouth","Sr.","1B","36","3"
"","Blake Brown","Missouri","So.","OF","40","3"
"","Kameron Brunty","Southern Miss.","Jr.","OF","42","3"
"","Adam Bryant","Troy","Sr.","INF","44","3"
"","Cody Buch","UNC Asheville","Jr.","INF","35","3"
"","Garrett Buechele","Oklahoma","Jr.","INF","44","3"
"","Sean Bukovich","Fla. Atlantic","Sr.","INF","37","3"
"","Ben Bunting","North Carolina","Sr.","OF","43","3"
"","Billy Burgess","Utah Valley","Jr.","OF","36","3"
"","Chris Burke","Iona","Jr.","INF","41","3"
"","Billy Burns","Mercer","Jr.","OF","45","3"
"","Andrew Cain","UNC Wilmington","Jr.","INF","41","3"
"","Nick Camastro","Manhattan","So.","INF","38","3"
"","Evan Campbell","Kent St.","So.","INF","42","3"
"","Danny Canela","North Carolina St.","So.","C","28","3"
"","John Cannon","Houston","Jr.","C","45","3"
"","Alex Carnell","Tex.-Pan American","Sr.","OF","31","3"
"","Nathan Carter","Air Force","Sr.","OF","41","3"
"","Josh Chism","Lipscomb","Sr.","OF","44","3"
"","A.J. Christensen","IPFW","Sr.","C","38","3"
"","Brett Christopher","Pacific","Jr.","OF","38","3"
"","Andrew Ciencin","North Carolina St.","Jr.","INF","44","3"
"","Travis Clark","Bucknell","So.","INF","41","3"
"","Scott Coleman","Gardner-Webb","Fr.","-","40","3"
"","Chad Comer","Texas-Arlington","Sr.","C","44","3"
"","Bryan Condotta","Georgia St.","Sr.","SS","46","3"
"","Matt Conway","Wake Forest","So.","INF","40","3"
"","Tyler Cook","Winthrop","Sr.","2B","43","3"
"","Shaun Cooper","Utah","Jr.","OF","38","3"
"","Russell Cooper","Savannah St.","Jr.","OF","22","3"
"","Ryan Coppinger","Canisius","Fr.","OF","40","3"
"","Joe Corfman","Toledo","Jr.","INF","43","3"
"","David Corna","Ohio St.","Jr.","C","35","3"
"","Casey Coy","Northern Colo.","Jr.","INF","42","3"
"","Hector Crespo","Appalachian St.","So.","INF","42","3"
"","Bobby Crocker","Cal Poly","Jr.","OF","37","3"
"","C.J. Cron","Utah","Jr.","C","37","3"
"","Joe De Pinto","Southern California","Sr.","INF","43","3"
"","Joey DeBernardis","Penn St.","Jr.","1B","41","3"
"","Drew DeKerlegand","Citadel","Fr.","INF","43","3"
"","Justin DeMarco","Cal St. Northridge","Sr.","INF","28","3"
"","Zeke DeVoss","Miami (FL)","So.","OF","44","3"
"","Jeff Deblieux","South Ala.","Jr.","P","38","3"
"","Brian Deering","Niagara","Sr.","INF","39","3"
"","Dylan DelaCruz","Central Conn. St.","Fr.","INF","39","3"
"","Dan DiBartolomeo","West Virginia","Jr.","2B","38","3"
"","Matt Dittman","Illinois","Sr.","1B","38","3"
"","Tennyson Dodd","Lipscomb","Jr.","INF","44","3"
"","Matthew Drake","Middle Tenn.","Jr.","OF","40","3"
"","Nick Driscoll","Navy","Sr.","OF","49","3"
"","Chris Dudics","Toledo","Sr.","INF","43","3"
"","Ryan Dunn","Oregon St.","Jr.","INF","37","3"
"","Sean Dwyer","Fla. Gulf Coast","Fr.","OF","44","3"
"","Jon Edgington","Miami (OH)","Sr.","INF","44","3"
"","Rob Elliott","Bradley","Jr.","INF","42","3"
"","Mark Ellis","Southern Miss.","Sr.","INF","42","3"
"","Brendan Emmett","Central Mich.","Sr.","INF","40","3"
"","Charles Epperson","Jackson St.","So.","OF","40","3"
"","Chris Epps","Clemson","Sr.","OF","42","3"
"","Paul Eshleman","Oregon","Jr.","C","16","3"
"","Bret Fanning","Northern Colo.","Sr.","OF","43","3"
"","Drew Farber","UNC Wilmington","Fr.","C","21","3"
"","Nick Ferdinand","Delaware","Jr.","OF","39","3"
"","Blaise Fernandez","George Mason","Fr.","INF","43","3"
"","Steve Fernandez","Saint Louis","So.","OF","33","3"
"","Nick Ferraresi","Columbia","So.","OF","34","3"
"","Mike Fischer","Columbia","Fr.","C","35","3"
"","Ben Fish","Campbell","So.","C","38","3"
"","Jeff Flax","La Salle","Jr.","INF","41","3"
"","Tyler Forney","New Mexico St.","Jr.","INF","38","3"
"","Pat Fortunato","Rhode Island","So.","INF","39","3"
"","Eric Fredette","Massachusetts","Sr.","2B","37","3"
"","Ryan Fuller","Connecticut","Jr.","INF","42","3"
"","Jake Fuller","Central Ark.","Jr.","OF","28","3"
"","Drew Gadaire","Davidson","Jr.","OF","39","3"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","3"
"","Brandon Garcia","Southern California","Jr.","OF","41","3"
"","Jumpy Garcia","A&M-Corpus Christi","Jr.","C","33","3"
"","Kyle Garlick","Oregon","Fr.","OF","19","3"
"","Adam Gecewich","Ohio","Sr.","OF","35","3"
"","Richie Goodenow","Lipscomb","Sr.","P","44","3"
"","Matt Goulas","La.-Lafayette","Sr.","OF","32","3"
"","Reed Gragnani","Virginia","So.","INF","40","3"
"","Robby Graham","Memphis","Sr.","OF","37","3"
"","Kyle Grieshaber","Louisville","So.","INF","32","3"
"","Chris Grimes","Saint Peter's","So.","OF","36","3"
"","Chris Gruarin","Canisius","Jr.","OF","41","3"
"","Michael Guerra","Texas-Arlington","Jr.","INF","25","3"
"","Dan Gulbransen","Jacksonville","So.","OF","42","3"
"","Mark Haddow","UC Santa Barbara","Sr.","OF","38","3"
"","Stephen Hagen","Texas Tech","Jr.","INF","47","3"
"","Austin Hall","BYU","Jr.","INF","38","3"
"","Tyler Hanover","LSU","Jr.","INF","45","3"
"","Reed Harper","Austin Peay","So.","INF","41","3"
"","Oliver Hart","Northeastern","Fr.","INF","37","3"
"","Austin Haws","Utah Valley","So.","INF","28","3"
"","Brock Hebert","Southeastern La.","So.","INF","45","3"
"","Ross Heffley","Western Caro.","Jr.","OF","40","3"
"","Joey Henshaw","Army","Sr.","DH","40","3"
"","Chris Hernandez","Stephen F. Austin","Jr.","OF","19","3"
"","Brian Hernandez","UC Irvine","Sr.","INF","40","3"
"","D.J. Hicks","UCF","Jr.","DH","43","3"
"","Adam Hilker","Northern Colo.","Jr.","INF","43","3"
"","Matt Hillsinger","Radford","Jr.","OF","43","3"
"","Erik Hink","Niagara","Jr.","INF","39","3"
"","John Hinson","Clemson","Jr.","INF","41","3"
"","Bill Hoermann","Rutgers","So.","-","35","3"
"","Josh Holskey","Campbell","Jr.","INF","41","3"
"","Jackson Hood","Stephen F. Austin","Jr.","OF","39","3"
"","Brad Hook","South Ala.","Jr.","1B","43","3"
"","Russ Hopkins","Rutgers","Sr.","INF","37","3"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","3"
"","Cody Hudson","Austin Peay","So.","OF","39","3"
"","Mark Hudson","Sam Houston St.","Sr.","OF","44","3"
"","Hayden Hunter","Wagner","Jr.","C","28","3"
"","Eli Hynes","Memphis","Jr.","OF","38","3"
"","Tommy Jablonski","Oakland","Sr.","INF","29","3"
"","Brett Jacobs","Washington St.","So.","OF","35","3"
"","D.J. Jarrad","Oakland","Sr.","INF","35","3"
"","Richie Jimenez","UNLV","Sr.","INF","40","3"
"","Micah Johnson","Indiana","So.","OF","43","3"
"","Jonathan Johnson","Loyola Marymount","Sr.","INF","40","3"
"","Michael Johnson","Samford","Sr.","INF","45","3"
"","Zac Jordan","TCU","Jr.","OF","34","3"
"","Chris Joyce","Norfolk St.","Sr.","3B","41","3"
"","Nick Judkins","Creighton","Jr.","INF","41","3"
"","Casey Kalenkosky","Texas St.","Jr.","INF","44","3"
"","Goose Kallunki","Utah Valley","Jr.","1B","38","3"
"","Trey Karlen","UT Martin","Sr.","3B","39","3"
"","Scott Kelleher","Lafayette","So.","INF","38","3"
"","Jeff Kemp","Radford","So.","INF","38","3"
"","Nick Kime","VCU","So.","INF","33","3"
"","Jared King","Kansas St.","Fr.","OF","37","3"
"","Koby Kraemer","Indiana St.","So.","INF","42","3"
"","Rob Kral","Col. of Charleston","Jr.","C","45","3"
"","Jack Krause","Butler","Sr.","INF","15","3"
"","Collin Kuhn","Arkansas","Jr.","OF","36","3"
"","Jacob Lamb","Washington","So.","3B","40","3"
"","Sean Lamont","Georgetown","Sr.","INF","46","3"
"","Hank Larue","Middle Tenn.","Fr.","3B","44","3"
"","Mike LeBel","Rhode Island","Jr.","INF","43","3"
"","Micheal LeGrange","Nicholls St.","Jr.","OF","35","3"
