"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"101","W. Baylor","Mansfield","---","DH","14","53","21","8","1","1","0","0.476"
"","Juan Hilario","Bloomfield","Jr.","P","11","30","9","11","0","1","0","0.476"
"","Joe Petosa","Felician","Sr.","OF","17","59","26","4","0","0","0","0.476"
"104","Stetson Olson","Minn. St. Mankato","Sr.","INF","19","66","23","10","6","0","1","0.476"
"105","Sean O'Neill","Merrimack","So.","3B","14","47","15","7","7","0","1","0.475"
"106","Ryan Drew","Palm Beach Atl.","Sr.","3B","21","66","26","10","2","2","2","0.475"
"107","Clay Ardeeser","Georgia College","Jr.","INF","24","102","42","12","0","0","0","0.474"
"","Jc Brandmaier","Dowling","Sr.","1B","18","62","22","10","4","0","0","0.474"
"","Andrew Flemming","Northwood (MI)","Sr.","OF","16","47","17","9","1","0","0","0.474"
"","Jes Staples","Bellarmine","So.","OF","19","67","28","7","1","1","0","0.474"
"111","Kyle Conkle","North Ala.","Jr.","P","31","104","36","23","2","0","0","0.473"
"112","Mike Barajas","Lewis","Jr.","INF","19","58","21","7","6","1","2","0.472"
"","Jared Massengill","Ill.-Springfield","Sr.","INF","18","68","30","1","3","0","0","0.472"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","90","34","11","6","1","0","0.472"
"115","Mike McGraw","Georgia College","---","3B","24","78","23","16","11","1","2","0.472"
"116","Clayton Miller","Armstrong","Sr.","C","26","107","44","10","4","2","0","0.472"
"117","Wade Kaido","Ashland","Sr.","3B","17","54","18","12","3","1","2","0.471"
"118","Stephen Lohr","California Baptist","Fr.","C","24","83","30","19","0","2","0","0.471"
"","Chris Morley","Adams St.","So.","OF","25","91","36","11","2","0","3","0.471"
"120","Tyler Coleman","Virginia St.","Jr.","INF","26","64","19","20","1","0","0","0.471"
"","Zach Collett","New Haven","Jr.","1B","7","29","11","4","1","0","0","0.471"
"","Kyle Cullen","New Haven","Sr.","OF","7","27","9","6","1","0","0","0.471"
"","Kaohu Gaspar","Fresno Pacific","Sr.","OF","25","86","32","15","1","0","0","0.471"
"","Taylor Steen","Chestnut Hill","Jr.","SS","10","29","11","5","0","0","1","0.471"
"125","Joey Miller","Concord","Sr.","1B","22","72","33","6","0","5","0","0.470"
"126","Matthew Fears","Valdosta St.","Sr.","INF","25","98","38","12","3","0","1","0.469"
"127","Sean Arbaut","Minot St.","Sr.","INF","10","24","7","5","3","0","0","0.469"
"128","Lel Clemmons","Winston-Salem","---","CF","31","111","37","27","2","1","2","0.468"
"","Erik Lewis","UC San Diego","Jr.","INF","21","69","21","18","5","2","0","0.468"
"130","Paul Winterbottom","Stillman","Jr.","INF","28","98","43","7","1","3","2","0.468"
"131","Tyler Moore","S.C. Aiken","So.","OF","27","122","51","11","2","2","0","0.467"
"132","Isaac Davenport","Francis Marion","Sr.","OF","25","99","35","20","1","0","2","0.467"
"","Peyton Newsom","Salem Int'l","---","RF","18","61","22","11","2","1","0","0.467"
