"Rank","Name","Team","Cl","Pos","G","R"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","28"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","28"
"","Spencer Thomas","Young Harris","Jr.","C","30","28"
"57","Rowdy Andrews","Eckerd","So.","INF","25","27"
"","Bo Ausmus","Carson-Newman","Jr.","SS","32","27"
"","Max Ayoub","Neb.-Kearney","Jr.","OF","23","27"
"","Ryan Cranmer","Newberry","Sr.","INF","26","27"
"","Chris Dennis","Fla. Southern","Jr.","3B","29","27"
"","Tyler Gaby","King (TN)","Sr.","OF","32","27"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","27"
"","Dylan Harris","Saint Leo","Fr.","INF","27","27"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","27"
"","Jack Morrow","Young Harris","Sr.","C","31","27"
"","Taylor Perez","Saint Leo","So.","INF","27","27"
"","William Townsend","Southern Ark.","So.","OF","31","27"
"","Jake Ward","North Ala.","Sr.","OF","31","27"
"70","Josh Coker","Lincoln Memorial","Sr.","P","30","26"
"","Steven Cooper","Anderson (SC)","So.","INF","31","26"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","26"
"","Kevin Davis","Benedict","Jr.","INF","26","26"
"","Stephen Dezzi","Tampa","Jr.","OF","29","26"
"","Tyler Ding","Tampa","Sr.","INF","26","26"
"","Adrian English","Barry","Sr.","INF","27","26"
"","Vinny Ferrara","Tusculum","Jr.","INF","29","26"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","26"
"","Trey Kamachi","Dixie St.","Fr.","C","24","26"
"","Wes Koenig","St. Edward's","Sr.","1B","29","26"
"","Drew McLaughlin","Dixie St.","Fr.","SS","30","26"
"","Jesse Minter","Claflin","So.","C","22","26"
"","N. Norkeh","Angelo St.","---","CF","29","26"
"","Matt Redfearn","West Tex. A&M","Sr.","INF","29","26"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","26"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","26"
"","Michael Wilson","Francis Marion","Sr.","INF","28","26"
"","Austin Wulf","Northwest Mo. St.","Fr.","OF","23","26"
"89","Ben Agredano","Ark.-Monticello","Sr.","INF","31","25"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","25"
"","Tyler Crabtree","Central Okla.","Sr.","OF","24","25"
"","T.J. Giczkowski","Coker","Sr.","INF","28","25"
"","Cooper Gunter","Limestone","Sr.","1B","30","25"
"","Aaron Haag","West Florida","Sr.","OF","26","25"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","25"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","25"
"","Hunter Mayall","Henderson St.","Jr.","1B","31","25"
"","Chris Morley","Adams St.","So.","OF","25","25"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","25"
"","Joe Post","Flagler","Sr.","INF","27","25"
"","Graham Ramos","Lander","Sr.","INF","29","25"
"","JD Sabo","GRU Augusta","Sr.","OF","28","25"
"","Zach Smith","Erskine","Jr.","INF","26","25"
"","Sammy Song","Coker","Sr.","OF","28","25"
"","Chevis Springer","Southeastern Okla.","Sr.","OF","28","25"
"","Nick Tindall","Tampa","Jr.","C","28","25"
"107","Ryan Abernathy","Northwest Mo. St.","Sr.","OF","24","24"
"","Chris Bradshaw","Western Ore.","Sr.","OF","29","24"
"","Justin Buchanan","Southern Ark.","So.","C","31","24"
"","Jeremy Carrell","Wayne St. (MI)","So.","INF","19","24"
"","Nick Chapman","West Tex. A&M","Jr.","OF","29","24"
"","Jorge Chavarria","Florida Tech","Sr.","INF","29","24"
"","Chase Corn","Erskine","Sr.","OF","26","24"
"","R.J. Dennard","Armstrong","Jr.","C","26","24"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","24"
"","Mitchell Dixon","Benedict","Jr.","INF","26","24"
"","A.J. Florence","Okla. Christian","Sr.","INF","23","24"
"","Ethan Gold","East Central","Sr.","OF","28","24"
"","Sixto Guerrero","Claflin","So.","OF","25","24"
"","Ben Hall","Ala.-Huntsville","Jr.","INF","29","24"
"","Steve Hazel","Georgia College","Jr.","C","23","24"
"","Dex Herrington","Delta St.","Sr.","OF","22","24"
"","Matt Johnson","Central Okla.","Sr.","INF","23","24"
"","Trevor Jones","Central Mo.","Jr.","OF","22","24"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","24"
"","Ryan Latner","Albany St. (GA)","So.","P","29","24"
"","Blake Massey","Ala.-Huntsville","Sr.","INF","29","24"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","24"
"","Jackson Oliver","Columbus St.","So.","OF","32","24"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","24"
"","Derrick Pitts","Lee","Sr.","OF","30","24"
"","Tyler Raymond","King (TN)","Jr.","OF","30","24"
"","Orlando Rivera","Tampa","Jr.","3B","26","24"
"","Evan Rogers","Mars Hill","So.","INF","32","24"
"","Zach Santos","Shorter","---","SS","28","24"
"","Eric Serra","Wingate","Sr.","OF","28","24"
"","Thomas Spitz","Wingate","Jr.","OF","28","24"
"","Adam Urbania","Slippery Rock","---","LF","20","24"
"","Tyler Vanover","Flagler","Sr.","OF","29","24"
"","Zack Willoughby","Montevallo","Jr.","OF","30","24"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","24"
"","Paul Winterbottom","Stillman","Jr.","INF","28","24"
"","Victor Zecca","UNC Pembroke","Jr.","INF","24","24"
"144","Tyler Avera","Armstrong","Jr.","INF","26","23"
"","Dustin Averett","Columbus St.","Jr.","C","32","23"
"","Kyle Bailey","Anderson (SC)","So.","INF","31","23"
"","Cody Britt","Mount Olive","Sr.","2B","28","23"
"","T. Brown","West Ga.","---","SS","29","23"
"","David Chew","Mo. Western St.","Sr.","OF","24","23"
"","Andre Collum Jr.","Benedict","Jr.","OF","26","23"
"","Gavin Culler","Winston-Salem","Fr.","OF","29","23"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","23"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","23"
"","Jon Gray","Pfeiffer","Sr.","INF","30","23"
"","Matthew Haskins","Montevallo","Jr.","OF","30","23"
"","Kasey Hinton","Delta St.","Sr.","INF","22","23"
"","Rob Hogenkamp","Georgia College","Sr.","INF","25","23"
"","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","23"
"","Tyler Kellmann","Barry","Sr.","3B","28","23"
"","Fico Kondla","Coker","Sr.","3B","28","23"
"","Alex Lang","Ark.-Monticello","Sr.","INF","28","23"
"","Alex Mata","Saint Leo","Fr.","INF","24","23"
"","Chas McCormick","Millersville","Fr.","OF","23","23"
"","Clayton Miller","Armstrong","Sr.","C","26","23"
"","Zak Orrison","Mount Olive","So.","2B","30","23"
"","Brandon Overstreet","Erskine","Jr.","INF","26","23"
"","Levi Parker","Emporia St.","Jr.","INF","25","23"
"","Enrique Perez","Lynn","Sr.","OF","27","23"
"","Tanner Rainey","Lubbock Christian","Fr.","CF","24","23"
"","Coby Roming","Neb.-Kearney","Jr.","INF","27","23"
"","Ryan Sabalaskey","Georgia College","Sr.","INF","25","23"
"","Josh Silver","Lee","Sr.","SS","30","23"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","23"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","23"
"","Chase Williams","Miles","So.","C","24","23"
"","Brad Wilson","Central Mo.","Sr.","OF","25","23"
"","Spencer Wolfe","Shepherd","Jr.","C","21","23"
"","Daniel Young","Benedict","So.","3B","26","23"
"179","Chad Balderman","Limestone","Sr.","OF","30","22"
"","Chris Brown","Stillman","So.","OF","28","22"
"","Tyler Bugner","Newman","---","LF","20","22"
"","Matthew Burks","Eastern N.M.","Jr.","OF","28","22"
"","Dalton Daniels","Southwestern Okla.","Jr.","INF","26","22"
"","Michael Danner","Tampa","Sr.","OF","26","22"
"","Isaac Davenport","Francis Marion","Sr.","OF","25","22"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","22"
"","Cody Fox","Carson-Newman","Jr.","OF","31","22"
"","Alex Freedman","Lynn","Jr.","SS","29","22"
"","Zac Johnson","Arkansas Tech","Sr.","OF","28","22"
"","Thomas Kain","Lynn","Jr.","3B","29","22"
"","Will Kengor","Slippery Rock","Sr.","INF","20","22"
"","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","22"
"","Adam Moore","Young Harris","Sr.","P","31","22"
"","Parker Norris","Ouachita Baptist","Jr.","INF","27","22"
"","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","22"
"","Jesse Pintado","Lubbock Christian","---","SS","26","22"
"","Carver Rademacher","Southern Ark.","So.","1B","31","22"
"","Trey Rogers","Young Harris","Sr.","OF","29","22"
"","Trevor Rucker","Southern Ark.","Fr.","3B","28","22"
"","James Sharp","Arkansas Tech","Sr.","INF","28","22"
"","Branden Shaw","Barry","Jr.","INF","22","22"
"","Alvin Swoope","Nova Southeastern","Fr.","INF","28","22"
"","Mike Vavasis","Eckerd","Sr.","OF","24","22"
"","Trent Woodridge","Harding","Sr.","OF","28","22"
"","Landon Young","Southwest Baptist","Sr.","INF","24","22"
