"Rank","Name","Team","Cl","Pos","G","HR"
"","Donald Blunt","Augsburg","Sr.","INF","31","6"
"","Willie Brechun","Heidelberg","Sr.","INF","36","6"
"","Jason Brooke","Widener","Sr.","3B","34","6"
"","Jeff Butera","Haverford","Sr.","OF","38","6"
"","Nate Carlson","Redlands","Sr.","INF","37","6"
"","Charlie Carluccio","Haverford","Sr.","SS","39","6"
"","Lee Cavico","Kean","Jr.","INF","34","6"
"","Myles Cordell","Maryville (TN)","Sr.","INF","40","6"
"","Nick Core","FDU-Florham","So.","OF","32","6"
"","Kyle Cyprysiak","Maryville (TN)","Sr.","INF","40","6"
"","Anthony DeSomma","Centenary (NJ)","Jr.","C","30","6"
"","Patrick Grau","Wartburg","Sr.","OF","34","6"
"","Elliott Greenhill","Otterbein","Sr.","1B","36","6"
"","Will Hodges","Carthage","Sr.","OF","31","6"
"","Brent Hopkins","Rhode Island Col.","Jr.","INF","32","6"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","6"
"","David Kennett","Thomas More","So.","SS","29","6"
"","Tim Knezovich","Ohio Wesleyan","Jr.","1B","38","6"
"","Ben Kuebbing","Transylvania","Sr.","OF","28","6"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","6"
"","Garrett Lovelace","Piedmont","So.","C","33","6"
"","Wes Meadows","Otterbein","So.","3B","36","6"
"","Brad Medina","North Park","Jr.","INF","20","6"
"","Cody Miller","Texas Lutheran","Sr.","OF","34","6"
"","Keaton Neeb","Shenandoah","So.","C","36","6"
"","Cory Nelson","Shenandoah","Jr.","3B","39","6"
"","Colton Newell","Muskingum","Jr.","1B","33","6"
"","Joseph Odom","Huntingdon","Fr.","C","40","6"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","6"
"","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","6"
"","Jeff Perillo","Mitchell","Sr.","INF","28","6"
"","Brandon Peterson","St. Scholastica","Jr.","OF","30","6"
"","Jacob Pierce","Va. Wesleyan","So.","C","35","6"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","6"
"","Luke Saunders","Chris. Newport","Jr.","INF","44","6"
"","Landon Scott","Whitworth","Jr.","INF","40","6"
"","Jay Sheets","Manchester","Sr.","INF","36","6"
"","Matt Thompson","McMurry","Jr.","1B","41","6"
"","Andrew Vallejo","Whittier","Jr.","OF","39","6"
"","Brett VanAsdlen","Aurora","Jr.","1B","33","6"
"","Joel Watson","Wilkes","Jr.","DH","27","6"
"","Thomas Wheeler","Amherst","Jr.","C","27","6"
"112","Pedro Aldape","Occidental","So.","1B","38","5"
"","Nick Alosco","Johnson & Wales (RI)","Sr.","INF","41","5"
"","Justin Atwood","Hamilton","Sr.","1B","31","5"
"","Beau Banglesdorf","East. Mennonite","Jr.","OF","36","5"
"","Connor Bierfeldt","Western Conn. St.","So.","P","29","5"
"","Michael Boggi","Montclair St.","Sr.","OF","33","5"
"","Joe Borrelli","Johns Hopkins","Sr.","C","29","5"
"","Brooks Braga","Wis.-La Crosse","So.","OF","33","5"
"","Kevin Brashears","Shenandoah","Sr.","OF","39","5"
"","Kevin Calbick","Trinity (TX)","Sr.","OF","37","5"
"","Tim Cashdollar","Eureka","Sr.","1B","33","5"
"","Forrest Chadwick","Southern Me.","Fr.","INF","32","5"
"","Jackson Clement","Mary Washington","Sr.","OF","39","5"
"","Bobby Czarnowski","Ill. Wesleyan","Fr.","OF","32","5"
"","Zack Dandrea","Western Conn. St.","Sr.","2B","26","5"
"","Craig Day","Wooster","Fr.","INF","31","5"
"","Ross Donnan","Monmouth (IL)","Jr.","INF","28","5"
"","Kenny Durling","Misericordia","So.","OF","34","5"
"","Derrek Etsell","Neumann","Jr.","OF","31","5"
"","Greg Ferrell","Mount Union","Sr.","OF","25","5"
"","Garrick Fisher","St. Norbert","Jr.","INF","24","5"
"","Matt Forgatch","Denison","Sr.","3B","36","5"
"","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","5"
"","Brian Giebel","Wis.-Stout","Sr.","OF","32","5"
"","Dan Gleiberman","Whittier","Sr.","3B","38","5"
"","Jack Graham","Kenyon","Jr.","C","30","5"
"","Matt Greene","Frostburg St.","Sr.","INF","34","5"
"","Ken Gregory","Kean","Sr.","OF","37","5"
"","Matt Hampp","Wittenberg","Jr.","C","37","5"
"","Jason Handley","Thomas More","Fr.","2B","28","5"
"","Tyler Hardcastle","Muskingum","Sr.","2B","34","5"
"","John Hastings","John Carroll","Sr.","SS","31","5"
"","Jason Henning","Redlands","So.","INF","36","5"
"","Bryan Higginbotham","Birmingham-So.","Sr.","INF","38","5"
"","Dan Hopkins","Rhode Island Col.","Jr.","1B","32","5"
"","Oscar Ibieta","Schreiner","Sr.","1B","37","5"
"","Andrew Jett","Westminster (MO)","Sr.","OF","34","5"
"","Steven Keener","Chris. Newport","So.","INF","37","5"
"","David Kinney","Clarkson","Jr.","INF","30","5"
"","Cody Koback","Wis.-Stevens Point","Jr.","P","33","5"
"","Jeff Kodys","Anna Maria","Sr.","C","37","5"
"","Korey LeLievre","Daniel Webster","Fr.","OF","32","5"
"","Art Levenson","Rensselaer","Jr.","OF","32","5"
"","Gary Levesque","Rhode Island Col.","Sr.","DH","32","5"
"","Larry Longo","Keene St.","Jr.","INF","33","5"
"","John Martinez","Juniata","Sr.","OF","37","5"
"","Jonathan Mason","Bridgewater (VA)","So.","OF","44","5"
"","Brian Mata","Sul Ross St.","Jr.","3B","35","5"
"","Zac Mathie","Wooster","Fr.","OF","34","5"
"","Luke Matthews","Eastern Nazarene","Sr.","INF","34","5"
"","Chris McCloud","Catholic","So.","C","26","5"
"","Corey McDonald","Worcester St.","Sr.","OF","34","5"
"","Andrew Medeiros","Westfield St.","So.","OF","35","5"
"","Ken Meerendonk","Stevens","Sr.","INF","29","5"
"","Anthony Melendez","Baruch","Sr.","INF","35","5"
"","Ethan Moser","DeSales","Jr.","OF","28","5"
"","Mike Nodzenski","Grinnell","Jr.","C","27","5"
"","Nick Nolan","Kean","Sr.","OF","37","5"
"","Ryan Normoyle","Washington Col.","Jr.","SS","35","5"
"","Bill Pace","Neumann","So.","C","35","5"
"","Joe Paletta","Buena Vista","Fr.","INF","28","5"
"","Mitchell Powers","Ozarks (AR)","So.","SS","40","5"
"","Ethan Rieker","Susquehanna","Jr.","INF","33","5"
"","Ian Sanders","Franklin","Sr.","INF","34","5"
"","John Schall","Penn St.-Altoona","Jr.","OF","32","5"
"","Robbie Shelton","LaGrange","Sr.","INF","37","5"
"","Brennyn Smith","Sul Ross St.","So.","3B","36","5"
"","Christian Spurr","Ramapo","So.","INF","36","5"
"","Nick Stein","Coe","So.","OF","34","5"
"","Fernando Suriel","Mt. St. Vincent","Sr.","OF","33","5"
"","Jordan Tetrick","New Jersey City","Sr.","1B","37","5"
"","Brandon Thigpen","Methodist","So.","INF","43","5"
"","Daniel Thomas","WPI","So.","1B","30","5"
"","James Toland","Ohio Wesleyan","So.","C","33","5"
"","Joseph Vila","Muhlenberg","So.","OF","36","5"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","5"
"","Darby Weppner","Whittier","Sr.","C","37","5"
"","Ted Williams","Earlham","Fr.","INF","34","5"
"","Tim Wilson","Linfield","So.","INF","26","5"
"","Nathan Wimmer","Emory & Henry","Fr.","C","26","5"
"","Scott Windler","Franklin","Fr.","OF","28","5"
"","Dan Winterstein","George Fox","Sr.","OF","35","5"
"","Travis Wrambel","Alvernia","Jr.","OF","25","5"
