"Rank","Name","Team","Cl","Pos","G","HR"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","5"
"","Eason Spivey","North Georgia","Jr.","C","26","5"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","5"
"","Chandler Tracy","Saint Martin's","Jr.","C","21","5"
"","Adam Unes","Ill.-Springfield","Sr.","INF","18","5"
"","Tyler Vanover","Flagler","Sr.","OF","29","5"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","5"
"","Austin Wulf","Northwest Mo. St.","Fr.","OF","23","5"
"","Landon Young","Southwest Baptist","Sr.","INF","24","5"
"72","Max Ayoub","Neb.-Kearney","Jr.","OF","23","4"
"","Darryl Baca","Metro St.","Jr.","C","18","4"
"","Cody Ball","Pittsburg St.","Sr.","OF","24","4"
"","Eric Barbieri","Newberry","Sr.","INF","31","4"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","4"
"","Matt Calhoun","Harding","Sr.","INF","28","4"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","4"
"","JC Cardenas","Barry","So.","SS","27","4"
"","Joshua Caruso","Northwestern Okla.","Jr.","3B","27","4"
"","Lel Clemmons","Winston-Salem","---","CF","31","4"
"","Heath Comerford","Tusculum","---","1B","26","4"
"","Eric Cunningham","Wayne St. (MI)","Sr.","C","20","4"
"","Michael Danner","Tampa","Sr.","OF","26","4"
"","Scott DeJong","Felician","So.","1B","19","4"
"","Ryan Degner","Mo. Western St.","Jr.","OF","24","4"
"","Kyle Dickens","Pittsburg St.","Sr.","INF","23","4"
"","Garrett Donohoe","East Central","Jr.","INF","29","4"
"","Alex Dunn","Bluefield St.","So.","INF","20","4"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","4"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","4"
"","Kyle Fultz","Southern Nazarene","Jr.","C","24","4"
"","Steve Hazel","Georgia College","Jr.","C","23","4"
"","Dex Herrington","Delta St.","Sr.","OF","22","4"
"","Mitch Holgate","West Ala.","So.","INF","27","4"
"","Zach Jacobs","Indianapolis","Jr.","OF","20","4"
"","Thomas Kain","Lynn","Jr.","3B","29","4"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","4"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","4"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","4"
"","Logan Knox","Regis (CO)","Jr.","INF","21","4"
"","Dean Long","Emporia St.","Jr.","INF","25","4"
"","Mario Maldonado","St. Mary's (TX)","Jr.","P","29","4"
"","Mike McClellan","Columbus St.","So.","1B","22","4"
"","Tyler Mitchell","North Greenville","So.","OF","27","4"
"","Noel Nevarez","Tarleton St.","Jr.","OF","26","4"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","4"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","4"
"","Patrick Rients","Southwest Minn. St.","Sr.","INF","20","4"
"","Trey Rogers","Young Harris","Sr.","OF","29","4"
"","Evan Rogers","Mars Hill","So.","INF","32","4"
"","Ryan Sanders","Notre Dame (OH)","Sr.","OF","18","4"
"","Mike Shada","Post","Sr.","INF","15","4"
"","Rob Shipman","Mount Olive","Jr.","1B","27","4"
"","Ben Stewart","Lincoln (MO)","Sr.","INF","20","4"
"","Randy Tallhamer","Fairmont St.","Jr.","1B","17","4"
"","Fernando Tanaka","Stillman","Jr.","INF","29","4"
"","Mike Vavasis","Eckerd","Sr.","OF","24","4"
"","Zach Wall","Young Harris","Fr.","INF","20","4"
"","Brad Wilson","Central Mo.","Sr.","OF","25","4"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","4"
"","C. Witt","Colo. Christian","---","RF","20","4"
"123","Avi Ahlzadeh","Limestone","Sr.","OF","22","3"
"","Ben Albano","Lewis","Sr.","OF","19","3"
"","Nathan Antoun","California Baptist","Jr.","OF","26","3"
"","Dilon Argo","Central Okla.","So.","OF","23","3"
"","Kyle Bailey","Anderson (SC)","So.","INF","31","3"
"","Albert Baur","Newberry","Jr.","INF","31","3"
"","W. Baylor","Mansfield","---","DH","14","3"
"","Kasey Bielec","Central Wash.","Jr.","INF","21","3"
"","Shane Billings","Wingate","Fr.","2B","28","3"
"","Christian Binger","Southwest Baptist","So.","INF","23","3"
"","Brad Birch","Mont. St. Billings","Sr.","INF","24","3"
"","Hunter Boose","GRU Augusta","So.","C","23","3"
"","Zach Braun","Bemidji St.","Sr.","C","10","3"
"","Joel Buchko","Palm Beach Atl.","Sr.","C","26","3"
"","Brendon Buckley","New Haven","Sr.","3B","7","3"
"","Matthew Burks","Eastern N.M.","Jr.","OF","28","3"
"","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","3"
"","Chris Carlson","Cal Poly Pomona","Sr.","OF","27","3"
"","Spencer Castro","Palm Beach Atl.","Sr.","C","21","3"
"","Antonio Chavarria","California Baptist","So.","SS","27","3"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","3"
"","Brendan Collins","Columbus St.","Jr.","OF","32","3"
"","Chase Corn","Erskine","Sr.","OF","26","3"
"","Sam Cothran","Erskine","So.","OF","24","3"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","3"
"","Cliff Covington","West Florida","Sr.","INF","21","3"
"","Ryan Cranmer","Newberry","Sr.","INF","26","3"
"","Nico Delerme","East Stroudsburg","---","C","19","3"
"","Ben Donath","S.C. Aiken","Sr.","INF","27","3"
"","Ryan Drew","Palm Beach Atl.","Sr.","3B","21","3"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","3"
"","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","3"
"","Eric Ehlow","Sonoma St.","Jr.","C","18","3"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","3"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","3"
"","Tyler Gaby","King (TN)","Sr.","OF","32","3"
"","Max Gagnon","UNC Pembroke","Sr.","C","18","3"
"","Clayton Garland","Fort Hays St.","Sr.","OF","23","3"
"","Sal Giardina","Lynn","Sr.","3B","29","3"
"","Dalton Gress","Francis Marion","Sr.","OF","24","3"
"","Cooper Gunter","Limestone","Sr.","1B","30","3"
"","Dusty Harper","Mo. Southern St.","Sr.","1B","25","3"
"","Dylan Harris","Saint Leo","Fr.","INF","27","3"
"","Matthew Haskins","Montevallo","Jr.","OF","30","3"
"","Mike Hayden","St. Anselm","Jr.","1B","12","3"
"","John Hunter","Chowan","Sr.","INF","27","3"
"","Joe Huthsing","Azusa Pacific","So.","P","20","3"
"","Jay Jabs","Franklin Pierce","Fr.","OF","24","3"
"","Horace Johnson","Fort Hays St.","Sr.","INF","23","3"
"","Zac Johnson","Arkansas Tech","Sr.","OF","28","3"
"","Jorrell Johnson","LeMoyne-Owen","Sr.","INF","22","3"
"","Ray Johnson","Ark.-Monticello","Sr.","OF","29","3"
"","Mike Jurgella","St. Cloud St.","Jr.","C","17","3"
"","Kris Kaplan","Dixie St.","Sr.","OF","21","3"
"","Kevin Kline","Dixie St.","Jr.","INF","31","3"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","3"
"","Robert Latner","Albany St. (GA)","Sr.","P","30","3"
"","Josh Lavender","East Central","Sr.","INF","25","3"
"","Javier Ledford","N.M. Highlands","Sr.","INF","23","3"
"","David Lenhardt","Cedarville","Jr.","C","20","3"
"","Jordan Lopez","Okla. Christian","Jr.","OF","23","3"
"","Michael Lowe","Southern Nazarene","So.","INF","23","3"
"","Tim Massengale","Columbus St.","Jr.","3B","31","3"
"","Brian Mathews","Shorter","---","1B","28","3"
"","Brian Maynard","Saint Rose","Sr.","OF","14","3"
"","Mike McGraw","Georgia College","---","3B","24","3"
"","Jarred Middleton","N.M. Highlands","Sr.","OF","15","3"
"","Clayton Miller","Armstrong","Sr.","C","26","3"
"","Brody Miller","Mont. St. Billings","Jr.","INF","24","3"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","3"
"","Destin Nichols","Erskine","Fr.","C","17","3"
"","Sean O'Brien","Tampa","Sr.","1B","25","3"
"","Hank Parker","Stillman","So.","C","17","3"
"","Ryan Patternson","Armstrong","Fr.","OF","25","3"
"","Kyle Peralta","Cal St. L.A.","Jr.","OF","25","3"
"","Derrick Pitts","Lee","Sr.","OF","30","3"
"","Nathan Prindle","Lindenwood (MO)","So.","INF","25","3"
"","Tim Rausch","Western Ore.","Jr.","OF","26","3"
"","John Razzino","Franklin Pierce","Jr.","OF","24","3"
"","Payton Reed","Drury","Jr.","1B","17","3"
"","Anthony Renz","Mansfield","Jr.","3B","12","3"
"","Vinny Rodriguez","Montevallo","Jr.","OF","23","3"
"","Dillion Rudio","Barton","Sr.","INF","28","3"
"","Ethan Satterfield","Catawba","Sr.","OF","29","3"
"","Ben Schwanburg","Lynn","Jr.","1B","20","3"
"","Brad Sevenish","Stillman","Sr.","C","26","3"
"","Cayle Shambaugh","Northeastern St.","Jr.","P","20","3"
"","Branden Shaw","Barry","Jr.","INF","22","3"
"","Joe Sickler","Findlay","Sr.","INF","13","3"
"","Colton Simbeck","Ala.-Huntsville","Jr.","OF","18","3"
"","Kyle Singleton","Northeastern St.","Sr.","OF","26","3"
"","Hunter Smith","King (TN)","Sr.","INF","22","3"
"","Kennan Stanley","Belmont Abbey","So.","INF","29","3"
"","Taylor Taska","Tex. A&M-Kingsville","Sr.","P","23","3"
"","Dylan Tinkler","Central Okla.","Jr.","INF","18","3"
"","Tony Viger","Augustana (SD)","Sr.","INF","18","3"
"","Andres Visbal","Nova Southeastern","Fr.","INF","24","3"
"","Paul Vogelsong","Minot St.","So.","C","6","3"
"","Fran Whitten","Saint Leo","Sr.","P","27","3"
"","Zack Willoughby","Montevallo","Jr.","OF","30","3"
"","Spencer Wolfe","Shepherd","Jr.","C","21","3"
"","Pat Wright","Le Moyne","So.","INF","19","3"
"","Daniel Young","Benedict","So.","3B","26","3"
