"Rank","Name","Team","Cl","Pos","G","HBP"
"","Mike Fitzgerald","Indiana St.","Sr.","OF","17","8"
"","Michael Fuhrman","Niagara","So.","INF","22","8"
"","Justin Glass","Cincinnati","Sr.","OF","22","8"
"","Jackson Glines","Michigan","Jr.","OF","24","8"
"","Chris Godinez","Bradley","So.","INF","17","8"
"","Adam Goss","Villanova","So.","OF","20","8"
"","Griffin Gum","UAB","So.","OF","25","8"
"","Eric Gutierrez","Texas Tech","So.","INF","26","8"
"","Todd Hagen","Savannah St.","Sr.","INF","20","8"
"","Greg Harrison","Furman","Sr.","1B","24","8"
"","Christian Ibarra","LSU","Sr.","INF","21","8"
"","Troy Kuhn","Ohio St.","So.","INF","22","8"
"","Kyle Leady","Campbell","Jr.","INF","25","8"
"","Austin Listi","Dallas Baptist","So.","INF","23","8"
"","Vimael Machin","VCU","Jr.","INF","23","8"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","8"
"","Tripp Martin","Samford","Jr.","INF","23","8"
"","Ryan McNally","Fordham","So.","OF","19","8"
"","Michael Medina","New Mexico St.","Sr.","OF","23","8"
"","Aaron Payne","Oregon","Sr.","INF","22","8"
"","Nick Regnier","Central Mich.","Jr.","OF","23","8"
"","Jordan Richartz","Hawaii","Jr.","OF","24","8"
"","Blake Schmit","Maryland","Sr.","SS","22","8"
"","Nick Sinay","Buffalo","So.","OF","16","8"
"","Andrew Sohn","Western Mich.","Jr.","INF","20","8"
"","Bradley Strong","Western Caro.","Jr.","INF","22","8"
"","Michael Timm","Wright St.","Jr.","INF","22","8"
"","Tyler Ware","A&M-Corpus Christi","Jr.","OF","26","8"
"","Zach Woolcock","Radford","Jr.","INF","21","8"
"77","Will Albertson","Campbell","So.","C","24","7"
"","Nick Alfonso","South Fla.","So.","SS","22","7"
"","Mike Allen","Siena","Sr.","INF","20","7"
"","Jake Armstrong","North Carolina St.","Jr.","INF","20","7"
"","Johnathan Beary","Marshall","Jr.","C","13","7"
"","Thomas Bernal","Kentucky","Jr.","INF","19","7"
"","Jason Blum","Southeast Mo. St.","Jr.","2B","23","7"
"","Andrew Calica","UC Santa Barbara","So.","OF","20","7"
"","Green Campbell","Yale","Jr.","INF","15","7"
"","Bobby Campbell","George Washington","Fr.","3B","20","7"
"","Scott Coleman","Gardner-Webb","Sr.","3B","24","7"
"","Shane Conlon","Kansas St.","Jr.","INF","23","7"
"","Landon Curry","Indiana St.","Jr.","OF","20","7"
"","Blake Davey","UConn","Jr.","C","19","7"
"","Cody Den Beste","Prairie View","Fr.","OF","15","7"
"","Austin Fisher","Kansas St.","Jr.","INF","23","7"
"","Mitch Gasbarro","Eastern Ill.","So.","INF","19","7"
"","Damon Haecker","Auburn","Fr.","INF","25","7"
"","William Head","Appalachian St.","Sr.","INF","21","7"
"","Jordie Hein","Bakersfield","Jr.","OF","21","7"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","7"
"","C.J. Jarvis","Houston Baptist","Sr.","INF","20","7"
"","Connor Joe","San Diego","Jr.","INF","23","7"
"","Grant Kay","Louisville","Jr.","INF","23","7"
"","Aneko Knowles","Jackson St.","Sr.","OF","8","7"
"","Sasha LaGarde","Mercer","Sr.","OF","25","7"
"","Zach Lauricella","St. John's (NY)","Jr.","OF","23","7"
"","Lee Longo","Eastern Mich.","Sr.","INF","19","7"
"","Kevin Martir","Maryland","So.","C","18","7"
"","Patrick Mazeika","Stetson","So.","1B","24","7"
"","Joe McCarthy","Virginia","So.","OF","22","7"
"","Nick McQuail","Marist","Sr.","2B","17","7"
"","Derek Miller","Texas-Arlington","Jr.","OF","23","7"
"","Grant Miller","Western Mich.","Fr.","INF","19","7"
"","Trevor Mitsui","Washington","Jr.","1B","18","7"
"","Jackson Morrow","UC Santa Barbara","Sr.","C","14","7"
"","Kevin Nutter","William & Mary","Sr.","OF","21","7"
"","Anthony Papio","Maryland","So.","OF","22","7"
"","Kris Paulino","UC Irvine","Jr.","OF","23","7"
"","A.J. Reed","Kentucky","Jr.","P","24","7"
"","Ryan Richardson","Michigan St.","Jr.","INF","20","7"
"","Jamie Ritchie","Belmont","Jr.","C","23","7"
"","Bradley Roney","Southern Miss.","Jr.","INF","21","7"
"","Brody Russell","Fresno St.","So.","OF","23","7"
"","Julian Russell","Chicago St.","So.","INF","19","7"
"","Tyson Simpson Jr.","N.C. Central","Sr.","INF","23","7"
"","Casey Smith","Indiana","Sr.","OF","19","7"
"","Robby Spencer","Morehead St.","Jr.","INF","21","7"
"","Garrett Stubbs","Southern California","Jr.","C","22","7"
"","Cole Sturgeon","Louisville","Sr.","OF","23","7"
"","Doug Teegarden","Eastern Ky.","So.","INF","24","7"
"","Brandon Tierney","A&M-Corpus Christi","Sr.","INF","24","7"
"","Damek Tomscha","Auburn","Sr.","INF","24","7"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","7"
"","Jake Welch","Bethune-Cookman","Jr.","OF","22","7"
"","Caleb Whalen","Portland","Jr.","INF","23","7"
"","Mikey White","Alabama","So.","INF","23","7"
"","Charlie White","Maryland","Jr.","OF","21","7"
"","Zander Wiel","Vanderbilt","So.","INF","25","7"
"","Tim Wise","Cal Poly","Sr.","OF","23","7"
"","Derrick Workman","Mercer","Sr.","OF","25","7"
"","Luke Wurzelbacher","Eastern Ky.","So.","INF","23","7"
"","Shane Zimmer","Canisius","Sr.","OF","17","7"
"140","Richard Amion","Alabama St.","Jr.","OF","29","6"
"","Austin Anderson","Ole Miss","Sr.","INF","25","6"
"","Tyson Ashcraft","Lipscomb","Jr.","INF","25","6"
"","Blake Austin","Auburn","Sr.","C","25","6"
"","Brett Balkan","Cal St. Northridge","Sr.","INF","22","6"
"","Jake Barrios","Texas Tech","Sr.","INF","26","6"
"","Ronnie Bernick","Canisius","Sr.","INF","19","6"
"","Quinn Bower","Elon","Jr.","OF","23","6"
"","Jose Brizuela","Florida St.","Jr.","INF","23","6"
"","Bryant Burleson","Texas Tech","Jr.","INF","26","6"
"","Kyle Cedotal","Southeastern La.","So.","OF","23","6"
"","Alex Chittenden","Louisville","Sr.","INF","23","6"
"","Conor Clancey","Wofford","Jr.","INF","20","6"
"","Adam Collins","Central Mich.","Fr.","INF","22","6"
"","Keenan Cook","Rice","Sr.","OF","25","6"
"","Austin Cousino","Kentucky","Jr.","OF","24","6"
"","Joey Cujas","VCU","Sr.","INF","23","6"
"","Robert Currie","Navy","So.","OF","23","6"
"","Kody Davis","Utah","So.","INF","22","6"
"","Chase Davis","UAB","Jr.","OF","25","6"
"","Bret Dennis","St. John's (NY)","Jr.","SS","17","6"
"","TJ Diffenderfer","Marshall","Jr.","INF","18","6"
"","Troy Dixon","St. John's (NY)","Fr.","C","17","6"
"","Tyler Finkler","Ohio","Fr.","INF","15","6"
"","Kyle Gallegos","San Jose St.","Sr.","C","25","6"
"","Reed Gamache","Binghamton","So.","INF","13","6"
"","Jesus Garcia","Tex.-Pan American","Jr.","INF","26","6"
"","Josh Gardiner","Radford","Jr.","INF","22","6"
"","Dan Glevenyak","Auburn","Sr.","INF","25","6"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","6"
"","Josh Goossen-Brown","San Diego","Sr.","OF","21","6"
"","Danny Grauer","Liberty","Sr.","P","22","6"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","6"
"","Matt Harris","St. John's (NY)","Jr.","1B","22","6"
"","Alex Harris","Dayton","Jr.","OF","19","6"
"","Seth Heck","Mississippi St.","Jr.","INF","20","6"
"","Cullen Hendrickson","Seattle","Sr.","INF","18","6"
"","Jacob Hubert","A&M-Corpus Christi","Sr.","OF","21","6"
"","Chris Hueth","Saint Joseph's","Sr.","OF","17","6"
"","Kyle Hunt","Nevada","Jr.","INF","23","6"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","6"
"","Jesse Jenner","San Diego","Jr.","C","19","6"
"","Matt Johnson","Pittsburgh","Jr.","INF","21","6"
"","Scott Kingery","Arizona","So.","INF","26","6"
"","Steve Laurino","Marist","Jr.","INF","17","6"
"","Ranny Lowe","Cal St. Northridge","Sr.","OF","22","6"
"","Brady McBride","Mississippi Val.","Jr.","P","20","6"
"","Mike Mecca","Villanova","Fr.","OF","17","6"
"","Dylan Moore","UCF","Jr.","INF","25","6"
"","Alberto Morales","Tex.-Pan American","Sr.","INF","26","6"
"","Hutton Moyer","Pepperdine","So.","INF","23","6"
"","Einar Muniz","Alabama St.","Jr.","INF","29","6"
"","Max Murphy","Bradley","Jr.","OF","19","6"
"","Brandon Murray","Col. of Charleston","Sr.","OF","23","6"
"","Zach Passerelle","Marist","Sr.","C","17","6"
"","Kendall Patrick","Michigan","Jr.","C","19","6"
"","Tyler Pearson","Texas St.","Sr.","C","23","6"
"","Jarod Perry","Evansville","Jr.","OF","19","6"
"","Chase Raffield","Georgia St.","Sr.","OF","24","6"
"","Mike Reuvekamp","California","Sr.","INF","16","6"
"","Nick Richter","Rider","Jr.","3B","20","6"
"","Blaise Salter","Michigan St.","Jr.","C","20","6"
"","Oscar Sanay","Bakersfield","Sr.","INF","22","6"
"","Brendon Sanger","Fla. Atlantic","So.","INF","24","6"
"","Alex Schmidt","Washington","Jr.","INF","22","6"
"","Joe Schrimpf","Arkansas St.","Fr.","INF","20","6"
"","Josh Smith","William & Mary","So.","OF","19","6"
"","Austen Smith","Alabama","Sr.","INF","22","6"
"","Connor Spencer","UC Irvine","Jr.","INF","23","6"
"","Justin Stawychny","La.-Monroe","Jr.","OF","25","6"
"","Troy Stein","Texas A&M","Sr.","C","21","6"
"","Cody Stephens","A&M-Corpus Christi","Sr.","INF","26","6"
"","Michael Sterling","Southern Miss.","Jr.","INF","21","6"
"","Granger Studdard","Texas St.","Fr.","INF","22","6"
"","Tucker Tharp","Kansas","Sr.","OF","24","6"
"","Bryson Thionnet","UALR","Sr.","INF","21","6"
"","Nick Thompson","William & Mary","Jr.","INF","22","6"
"","Charles Tillery","Jackson St.","Sr.","OF","23","6"
"","Mitchell Tolman","Oregon","So.","INF","22","6"
"","Nick Torres","Cal Poly","Jr.","OF","23","6"
"","Kyle Towes","UNC Asheville","Jr.","INF","21","6"
"","Christian Triplett","N.C. Central","So.","INF","23","6"
"","John Michael Twichell","Texas-Arlington","Sr.","INF","24","6"
"","James Vasquez","UCF","Jr.","INF","25","6"
"","Tyler Wampler","Indiana St.","Sr.","INF","19","6"
"","Nelson Ward","Georgia","Jr.","INF","25","6"
"","Mike Warren","UTSA","Sr.","1B","24","6"
"","Matt Weckerle","NJIT","Sr.","OF","12","6"
"","Zach Willis","Memphis","Sr.","INF","23","6"
"","Aaron Wilson","Hartford","So.","INF","17","6"
"","Storm Wilson","Kentucky","Fr.","OF","13","6"
"","Kyle Wood","Purdue","So.","OF","19","6"
"","Kert Woods","Santa Clara","So.","INF","19","6"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","6"
"","Scott Zimmerle","Central Ark.","Sr.","1B","21","6"
"","Tyler Zupcic","Appalachian St.","Sr.","OF","17","6"
