"Rank","Name","Team","Cl","Pos","G","BB"
"40","Caleb Astin","Huntingdon","So.","SS","39","27"
"","Josh Bailey","Piedmont","Fr.","OF","36","27"
"","Jake Chaplin","Haverford","Jr.","1B","40","27"
"","Casey Dadio","Western New Eng.","So.","OF","38","27"
"","Dan Hopkins","Rhode Island Col.","Jr.","1B","32","27"
"","Tommy Kawamura","Willamette","Fr.","INF","36","27"
"","Brent Lindsey","Rhodes","Sr.","INF","42","27"
"","Travis May","Washington-St. Louis","Sr.","INF","46","27"
"","Aaron McCain","Texas-Tyler","Jr.","INF","37","27"
"","Benjamin Mersky","Juniata","So.","OF","37","27"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","27"
"","Richard Palase","Lynchburg","Jr.","SS","38","27"
"","Jeff Pope","Oglethorpe","So.","OF","39","27"
"","Rob Somers","Wm. Paterson","Jr.","OF","38","27"
"","Todd Whited","Dubuque","Jr.","OF","32","27"
"55","Taylor Gahagen","Fredonia St.","Sr.","1B","35","26"
"","Ben Gardner","DePauw","Sr.","INF","38","26"
"","Nathan Harr","Hendrix","Jr.","INF","38","26"
"","Emery Hull","Milwaukee Engr.","Sr.","OF","33","26"
"","Tripp Lancaster","Methodist","Sr.","OF","44","26"
"","Steven Lindemuth","Chris. Newport","Jr.","C","44","26"
"","Jacob Ludvik","La Verne","Jr.","OF","39","26"
"","Jared Mosqueda","Sul Ross St.","Sr.","SS","36","26"
"","Sergio Munoz","La Verne","Sr.","SS","39","26"
"","Nate Newman","Misericordia","Sr.","INF","35","26"
"","Brett Ossola","Case","So.","1B","43","26"
"","Jonathan Ovalles","Baruch","Jr.","1B","35","26"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","26"
"","Josh Sharpe","Mt. St. Vincent","Fr.","OF","36","26"
"","Jay Sheets","Manchester","Sr.","INF","36","26"
"","Dylan Smith","East. Mennonite","Jr.","C","36","26"
"71","Jake Ashley","Texas-Tyler","Jr.","OF","35","25"
"","Taylor Berlin","Hardin-Simmons","Sr.","1B","42","25"
"","Stephen Bishop","Huntingdon","Sr.","OF","40","25"
"","Sean Callahan","Framingham St.","Sr.","C","34","25"
"","Andrew Cohn","Emory","Sr.","3B","43","25"
"","Tom Dee","Fredonia St.","Sr.","2B","32","25"
"","James DiBiasio","Ohio Wesleyan","Jr.","2B","38","25"
"","John Duke","Piedmont","Sr.","INF","39","25"
"","Brian Evans","Elmhurst","So.","INF","33","25"
"","Daniel Iturrey","Emory","So.","OF","35","25"
"","Matt Jordan","Wentworth Inst.","Sr.","P","35","25"
"","Scott Kelly","TCNJ","So.","INF","35","25"
"","Kevin Kirk","Bridgewater (VA)","Sr.","OF","41","25"
"","Liam Lee","Vassar","Jr.","INF","28","25"
"","Jay Lichter","Randolph-Macon","Sr.","C","42","25"
"","Jonathan Mason","Bridgewater (VA)","So.","OF","44","25"
"","Sean Munley","Wheaton (MA)","Sr.","1B","35","25"
"","Nicholas Pasqualichio","Marywood","Jr.","OF","33","25"
"","Jeff Perillo","Mitchell","Sr.","INF","28","25"
"","John Rolewicz","Washington Col.","Jr.","C","34","25"
"","Tyler Schroeder","Earlham","Jr.","OF","34","25"
"","Dominick Simone","Purchase St.","Sr.","C","27","25"
"","Shane Sixsmith","Mary Washington","Jr.","INF","37","25"
"","Matt Skinner","Washington-St. Louis","Sr.","1B","46","25"
"","J.T. Triantos","Frank. & Marsh.","Jr.","1B","37","25"
"","Brett Zaziski","Vassar","Fr.","INF","28","25"
"97","Corey Armstrong","Southern Vt.","So.","P","32","24"
"","William Bissell","Gallaudet","Fr.","OF","42","24"
"","Nick Boggan","Cal Lutheran","So.","INF","40","24"
"","Griffin Depriest","Neb. Wesleyan","Jr.","INF","36","24"
"","Stephen Fisher","Elms","So.","OF","34","24"
"","Mike Galeotafiore","TCNJ","Jr.","C","35","24"
"","Andrew Gordon","Elizabethtown","Sr.","INF","33","24"
"","Matt Hancock","Ramapo","So.","C","36","24"
"","Ed Kessler","Penn St.-Behrend","Sr.","INF","31","24"
"","Justin Kline","Presentation","Jr.","C","29","24"
"","Ricardo Lizcano","Heidelberg","Jr.","INF","35","24"
"","Kevin O'Brien","Rowan","Sr.","OF","37","24"
"","Khifer O'Connor","St. Lawrence","Fr.","-","31","24"
"","Tyler Rosa","Dickinson","Jr.","INF","36","24"
"","James Ruzich","TCNJ","Jr.","INF","35","24"
"","Ian Sanders","Franklin","Sr.","INF","34","24"
"","Christian Spurr","Ramapo","So.","INF","36","24"
"","Mike Stark","Oswego St.","So.","INF","34","24"
"","Harry Steldt","Concordia (WI)","Fr.","P","29","24"
"","Max Stepan","Willamette","Sr.","C","39","24"
"","Michael Takemura","Whitworth","Jr.","INF","39","24"
"","Nathan Tomaszewski","LeTourneau","Jr.","INF","40","24"
"","Michael Wellstead","Wooster","So.","OF","34","24"
"","Jeb Weymouth","Randolph-Macon","So.","OF","42","24"
"","Aaron Wilkins","Penn St.-Berks","So.","OF","35","24"
"","Adam Yunker","Ohio Northern","Sr.","C","36","24"
"","Taylor Zambreski","Howard Payne","Sr.","OF","35","24"
"124","Dave Ahern","Babson","Sr.","P","38","23"
"","Brooks Braga","Wis.-La Crosse","So.","OF","33","23"
"","Jordan Buck","Hamline","So.","DH","31","23"
"","Kevin Burr","SUNYIT","Sr.","OF","36","23"
"","Joe Coppola","Johnson & Wales (RI)","Jr.","C","35","23"
"","Myles Cordell","Maryville (TN)","Sr.","INF","40","23"
"","Kyle Davis","Piedmont","Jr.","OF","38","23"
"","Andy Fallon","Anna Maria","Sr.","INF","39","23"
"","Josh Ferrell","Wis. Lutheran","Sr.","C","35","23"
"","Matt Gilbert","Rhodes","Sr.","P","43","23"
"","Dan Haugh","Wheaton (MA)","Jr.","INF","35","23"
"","Aaron Helland","Defiance","Fr.","C","30","23"
"","Tom Hickey","John Carroll","Jr.","1B","31","23"
"","Adam Higgins","Averett","Sr.","OF","38","23"
"","Dave Hoffman","Augustana (IL)","Sr.","INF","32","23"
"","J.D. Hulse","Birmingham-So.","Sr.","OF","39","23"
"","Matt Keen","Case","So.","SS","43","23"
"","Jason Leclerc","Western New Eng.","Sr.","C","40","23"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","23"
"","Matt McManemin","Concordia (TX)","Jr.","INF","41","23"
"","Scooter Merritt","Austin","Sr.","OF","34","23"
"","Jake Mullin","McMurry","Sr.","OF","41","23"
"","Rob Rubenstein","Skidmore","Sr.","OF","32","23"
"","Sam Sager","Tufts","Jr.","INF","29","23"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","23"
"","Dan Scott","North Central (IL)","Sr.","OF","28","23"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","23"
"","Brandon Thigpen","Methodist","So.","INF","43","23"
"","Daniel Thomas","WPI","So.","1B","30","23"
"","Lj Travaglia","Catholic","Sr.","INF","30","23"
