"Rank","Name","Team","Cl","Pos","G","SB","CS"
"","Will McCord","Missouri S&T","Jr.","OF","39","16","1"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","16","5"
"","Keith Morrisroe","Concord","Jr.","C","41","16","1"
"","Nigel Morton","Southwest Baptist","Sr.","INF","43","16","4"
"","Andrew Ramsey","Kentucky St.","Jr.","OF","32","16","1"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","16","3"
"","Michael Robbins","Winston-Salem","Jr.","C","49","16","4"
"","Jarrod Rose","Southern Ind.","Jr.","C","45","16","2"
"","Taylor Sibala","Pittsburg St.","Sr.","2B","42","16","3"
"","Bobby Tatum","Henderson St.","Sr.","OF","35","16","1"
"","Nateshon Thomas","Bluefield St.","So.","INF","23","16","2"
"","Greg Walsh","Molloy","So.","INF","44","16","4"
"","Colby Wiggins","Chowan","Fr.","INF","49","16","3"
"147","Andrew Ahn","St. Thomas Aquinas","Sr.","SS","43","15","9"
"","Jeff Anderson","Tex. A&M Int'l","So.","INF","40","15","1"
"","Andrew Brauer","Lewis","Jr.","OF","33","15","1"
"","David Contreras","Cal St. Stanislaus","Sr.","OF","40","15","3"
"","Dominique Fitzgerald","Winston-Salem","Jr.","OF","46","15","9"
"","Tyler Gaby","King (TN)","Fr.","OF","37","15","6"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","15","7"
"","Braxton Graven","Bellarmine","Sr.","OF","44","15","2"
"","Josh Logan","Seton Hill","Jr.","OF","35","15","2"
"","Jacob Mays","Concord","Jr.","P","42","15","4"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","15","4"
"","null Mcdaniel-33","Benedict","Fr.","-","17","15","1"
"","Nick Natale","Palm Beach Atl.","Jr.","OF","36","15","5"
"","null Price","Saint Rose","Fr.","-","36","15","3"
"","Frank Rawdow","Saint Leo","So.","3B","30","15","4"
"","Kyle Saul","UC San Diego","Sr.","C","45","15","3"
"","Trevor Thorstensen","Adelphi","Sr.","OF","42","15","3"
"","Emilio Villanueva","Drury","Fr.","OF","39","15","4"
"","Casey Winckowski","Erskine","Sr.","INF","51","15","1"
"","Will Wurth","Tex. A&M Int'l","Jr.","INF","47","15","3"
"","Cody Young","Lock Haven","Sr.","SS","39","15","3"
"168","Jon Arche","Felician","So.","SS","43","14","2"
"","Josh Beal","Stillman","Fr.","-","39","14","3"
"","Dan Capra","Eckerd","Jr.","OF","40","14","5"
"","Rudy Casillas","Upper Iowa","Jr.","INF","44","14","2"
"","Nate Defilippi","Seton Hill","Jr.","OF","38","14","4"
"","Jimmy Earp","Fairmont St.","Jr.","OF","38","14","1"
"","Jackson Evans","Cal St. Chico","Sr.","2B","41","14","3"
"","Thomas George","Cal St. Monterey Bay","So.","OF","35","14","2"
"","Jake Griesemer","East Stroudsburg","Jr.","INF","39","14","5"
"","Phil Imholte","St. Cloud St.","So.","OF","40","14","8"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","14","4"
"","Vallmer Jordan","Morehouse","Jr.","OF","33","14","0"
"","James Katsiroubas","Mass.-Lowell","Jr.","3B","40","14","1"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","14","6"
"","Kevin McCall","Mercyhurst","Sr.","1B","44","14","4"
"","Evian McClendon","Morehouse","Fr.","2B","40","14","3"
"","Jeremy Miller","Tex. Permian Basin","Sr.","OF","46","14","3"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","14","5"
"","Jason Nappi","Harding","Sr.","INF","45","14","3"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","14","3"
"","Jordan Owens","Lander","Jr.","1B","42","14","0"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","14","5"
"","Jasson Read","Benedict","Jr.","INF","30","14","3"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","14","3"
"","Kyle Roden","Bellarmine","Sr.","C","43","14","3"
"","Eric Rodriguez","Benedict","Sr.","OF","34","14","2"
"","Tom Rombilus","New Haven","Sr.","3B","38","14","0"
"","Ryan Rua","Lake Erie","Jr.","SS","41","14","3"
"","Erik Scott","N.M. Highlands","Jr.","OF","36","14","6"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","14","1"
"","Danny Susdorf","UC San Diego","So.","OF","46","14","6"
"","Mike Tranghese","American Int'l","Sr.","OF","35","14","5"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","14","2"
"","Michael Whiten","Virginia St.","Jr.","INF","42","14","0"
"","Nick Wong","Colorado Mines","Sr.","OF","42","14","0"
"","Zac Zdanowicz","Henderson St.","So.","OF","41","14","3"
"204","Rey Alvarez","Tex. A&M Int'l","Sr.","OF","47","13","7"
"","Mike August","Millersville","Jr.","SS","45","13","1"
"","Cody Baker","Lincoln Memorial","So.","OF","51","13","2"
"","Peter Barrows","Bridgeport","Sr.","1B","33","13","4"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","13","8"
"","Madison Beaird","Arkansas Tech","So.","OF","46","13","1"
"","Ryan Bostian","Catawba","Jr.","OF","53","13","3"
"","Matt Boulter","Southern N.H.","So.","SS","44","13","2"
"","Brandon Brewer","West Fla.","Sr.","SS","48","13","5"
"","Derek Carr","Slippery Rock","Jr.","OF","40","13","1"
"","Ryan Faison","Mount Olive","Sr.","INF","46","13","2"
"","Chuck Faust","California (PA)","Sr.","OF","44","13","0"
"","John Fouchet","Florida Tech","Sr.","INF","47","13","1"
"","Jake Frazier","Coker","Jr.","OF","43","13","4"
"","Trevor Funk","Fairmont St.","So.","SS","33","13","1"
"","Jimmy Garrigan","St. Anselm","Sr.","3B","42","13","6"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","13","6"
"","Garrett Harris","Angelo St.","Jr.","OF","45","13","7"
"","Brandon Hopson","LeMoyne-Owen","So.","C","3","13","1"
"","Ryan Kaczmarkski","Southern Ind.","Jr.","INF","37","13","3"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","13","2"
"","Robert LaRusso","Molloy","Sr.","1B","45","13","0"
"","Andy Leach","Fairmont St.","Sr.","OF","30","13","3"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","13","4"
"","Kevin Mager","Rollins","Jr.","INF","45","13","0"
"","Evan Melendez","Ashland","Sr.","OF","45","13","4"
"","Ryan Moore","Chowan","Fr.","P","50","13","1"
"","Aaron Ordy","California (PA)","Sr.","INF","44","13","2"
"","Richard Pirkle","Georgia College","Sr.","C","50","13","5"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","13","5"
"","Marc Rogier","Oakland City","So.","OF","18","13","0"
"","Ralph Sanchez","Concord","Fr.","INF","38","13","2"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","13","6"
"","Jake Sloan","North Ala.","Jr.","P","42","13","2"
"","Colton Smith","Bemidji St.","Sr.","INF","40","13","0"
"","Jesse Smith","Shippensburg","Sr.","C","45","13","2"
"","Bob Terry","Regis (CO)","So.","OF","41","13","0"
"","Michael Thames","Paine","So.","OF","39","13","6"
"","Nick Thimesch","Drury","Fr.","OF","45","13","6"
"","Matt Toth","Lake Erie","Jr.","OF","39","13","3"
"","Harry Turney","Oakland City","Sr.","OF","29","13","2"
"","Cass Via","Ouachita Baptist","Sr.","INF","46","13","3"
"","Shawn Ward","Georgia College","Sr.","OF","49","13","2"
"","Jon Wegener","Central Mo.","Sr.","OF","24","13","1"
"248","Greg Anderson","Colorado Mesa","Sr.","OF","44","12","6"
"","Andrew Anderson","Ga. Southwestern","Jr.","INF","48","12","2"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","12","6"
"","Brandon Banks","Paine","So.","C","36","12","3"
"","Cullen Baxter","Mo. Southern St.","Jr.","INF","42","12","4"
"","Nick Bergeman","Upper Iowa","Sr.","OF","44","12","4"
"","Dustin Brown","Saint Leo","Jr.","OF","44","12","2"
"","Jesse Burba","Saint Rose","Jr.","OF","35","12","10"
"","Eric Burt","Saginaw Valley","So.","OF","34","12","2"
"","Tyler Choate","Southern Ind.","Sr.","P","45","12","3"
"","Matthew Corbitt","Upper Iowa","Fr.","OF","41","12","2"
"","Travis Cruz","Washburn","Sr.","OF","33","12","3"
"","Arthur Dandridge","Virginia St.","Jr.","OF","36","12","1"
"","Craig Denman","Mercyhurst","Sr.","OF","44","12","1"
"","Brent Denny","Angelo St.","So.","INF","41","12","1"
"","Drew Dwelly","Barry","Sr.","3B","50","12","2"
"","Steven Filippi","Sonoma St.","So.","OF","41","12","1"
"","Shawn Frigon","Assumption","Sr.","SS","42","12","3"
"","Manuel Gasper","Clark Atlanta","Fr.","P","29","12","2"
"","Brent Goode","Christian Bros.","Jr.","SS","38","12","9"
"","Dan Hennigan","Franklin Pierce","Jr.","2B","43","12","2"
"","Anthony Holloway","St. Augustine's","Jr.","OF","34","12","3"
"","Blake Houston","Catawba","Fr.","OF","53","12","2"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","12","4"
"","David McCarthy","Seton Hill","Sr.","INF","37","12","4"
"","Sean McClelland","American Int'l","Sr.","SS","29","12","1"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","12","3"
"","Josh Miller","S.C. Aiken","So.","C","46","12","4"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","12","11"
"","Shane O'Connell","New Haven","So.","C","38","12","3"
"","Chris O'Neil","Southern N.H.","Sr.","OF","42","12","3"
"","Heath Peterson","Montevallo","Jr.","1B","43","12","4"
"","Bryon Ramsey","Miles","Sr.","1B","36","12","2"
"","Chris Roemer","Pace","Sr.","INF","32","12","1"
"","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","12","3"
"","Chris Ross","Montevallo","Jr.","OF","43","12","7"
"","Tom Tolan","C.W. Post","Fr.","INF","33","12","1"
"","Brad Vance","Southern Ind.","Jr.","C","45","12","5"
"","William Ward","Chowan","So.","OF","44","12","3"
"","Jerico Weitzel","Clarion","Jr.","SS","37","12","2"
"","Robbie Zinsmeister","Indiana (PA)","So.","SS","46","12","6"
"289","Casey Allison","Wingate","Jr.","OF","54","11","1"
"","Zac Asman","Northern Ky.","Fr.","INF","41","11","8"
"","Fred Atkins","Cal St. Stanislaus","Sr.","OF","30","11","3"
"","Chaz Bagwell","Valdosta St.","So.","INF","36","11","3"
"","Brandon Baird","Morehouse","Fr.","OF","31","11","0"
"","Aaron Benjamin","Clark Atlanta","Fr.","P","21","11","1"
"","Eric Blood","Chestnut Hill","Jr.","OF","30","11","4"
"","Rolando Bonner","Tusculum","Sr.","OF","43","11","1"
"","Brendon Buckley","New Haven","Fr.","INF","36","11","3"
"","Connor Burnham","Mass.-Lowell","Sr.","OF","38","11","3"
"","Bryan Butcher","Morehouse","Jr.","C","41","11","3"
"","Antonio Callaway","Mount Olive","Jr.","OF","43","11","1"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","11","2"
"","Jay Carter","Clark Atlanta","So.","OF","30","11","1"
"","Kramer Clark","Brevard","Jr.","INF","39","11","0"
"","Michael Cleary","Southern Conn. St.","So.","OF","37","11","4"
"","Garrett Cook","King (TN)","Fr.","OF","41","11","2"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","11","2"
"","Jason Dahl","Southern Ark.","Jr.","OF","31","11","2"
"","Wally Derosier","Assumption","Sr.","OF","38","11","1"
"","Joe Doerrer","Caldwell","Jr.","OF","39","11","2"
"","Zachary Drummond","Paine","So.","OF","36","11","1"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","11","2"
"","Kalab Evans","Grand Canyon","Jr.","C","45","11","3"
"","Julius Fain","Miles","Jr.","SS","35","11","0"
"","Brian Ferguson","Dowling","Sr.","OF","39","11","4"
"","Ryan Foster","Charleston (WV)","Fr.","OF","36","11","0"
"","Kelly Gau","Central Wash.","Sr.","INF","39","11","2"
"","Bryant Gibson","Eckerd","Jr.","OF","45","11","3"
"","Grant Glover","Western Ore.","Sr.","INF","37","11","2"
"","Andrew Guerrero","Clark Atlanta","Fr.","INF","19","11","3"
"","Lee Harris","Henderson St.","Sr.","INF","38","11","2"
"","Wayne Hawkins","Ark.-Monticello","Jr.","OF","28","11","2"
"","Charlie Hillman","Henderson St.","Sr.","OF","42","11","2"
"","Michael Huling","Southern Ind.","Sr.","OF","44","11","1"
"","James Johndrow","Lincoln (MO)","Sr.","SS","37","11","2"
"","Cory Johnson","Bellarmine","Fr.","OF","35","11","1"
"","Warren Kelly","Queens (NY)","So.","OF","39","11","3"
"","Dan Kemp","Franklin Pierce","So.","SS","40","11","1"
"","Brandon Lowe","Morehouse","Fr.","1B","40","11","0"
"","Kevin Miller","Mansfield","Sr.","OF","35","11","3"
"","Cody Montz","Kutztown","Jr.","INF","37","11","2"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","11","5"
"","Jordan Oshiro","Hawaii Pacific","Fr.","OF","44","11","3"
"","Emmanuel Pappadakis","Virginia St.","Fr.","OF","47","11","1"
"","Daniel Patching","Eastern N.M.","Jr.","OF","39","11","4"
"","Luis Penate","Nova Southeastern","Sr.","INF","45","11","3"
"","Andy Petz","Washburn","Sr.","C","41","11","1"
"","Andrew Pieper","Mo. Western St.","Jr.","INF","40","11","7"
"","Chase Presley","Harding","Jr.","INF","46","11","1"
"","Mike Reese","Truman","Sr.","2B","43","11","2"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","11","3"
"","Kevin Rufus","Newberry","Jr.","C","48","11","7"
"","Drew Ryan","Urbana","Fr.","3B","40","11","1"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","11","1"
"","Albert Selanders","Central Mo.","So.","C","42","11","1"
"","Nash Smith","Fort Hays St.","Jr.","OF","32","11","2"
"","Nick Sydnor","Concord","Fr.","OF","44","11","2"
"","Casey Teagarden","California (PA)","Sr.","INF","42","11","6"
"","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","11","2"
"","Shane Timberlake","King (TN)","Jr.","INF","35","11","3"
"","Justin Urschel","Mercyhurst","Sr.","OF","41","11","5"
"","Alex Walker","Augusta St.","Sr.","OF","48","11","2"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","11","3"
"","John Willner","Valdosta St.","Sr.","OF","47","11","5"
"354","Jared Anderson","Winona St.","Sr.","INF","35","10","2"
"","Jacoby Anderson","Clark Atlanta","Fr.","C","28","10","2"
"","Branfy Arias","Tusculum","Sr.","OF","46","10","5"
"","Brian Berry","Kentucky St.","So.","OF","26","10","2"
"","John Bonebrake","Newman","Sr.","INF","46","10","5"
"","Eric Boyer","East Stroudsburg","So.","OF","25","10","3"
"","Scott Bradbury","Rockhurst","Jr.","3B","39","10","1"
"","Cody Brooks","Saint Martin's","Sr.","INF","47","10","5"
"","Matt Brown","Kentucky St.","Fr.","OF","25","10","1"
"","Josh Caffrey","Missouri S&T","Jr.","C","32","10","0"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","10","0"
"","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","10","4"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","10","0"
"","Caleb Cole","Drury","Fr.","INF","45","10","6"
"","Tyler Collins","Pace","Jr.","OF","37","10","1"
"","Eric Copenhagen","Western Ore.","Jr.","OF","28","10","0"
"","Andy Cotton","Emporia St.","Sr.","INF","45","10","3"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","10","4"
"","Jesse Daywalt","Chestnut Hill","Jr.","2B","35","10","5"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","10","5"
"","Mike Diorio","Lynn","Jr.","INF","37","10","2"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","10","3"
"","Michael Dugan","Kutztown","Sr.","INF","39","10","1"
"","Cameron Duncan","Tuskegee","Fr.","P","33","10","1"
"","Vinnie Eruzione","Bentley","Jr.","INF","34","10","3"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","10","3"
"","Matt Gundlach","Ashland","So.","SS","38","10","1"
"","Tyler Hancock","Central Okla.","Jr.","INF","41","10","1"
"","Brian Hansen","St. Cloud St.","So.","OF","41","10","4"
"","Kenny Held","Cameron","Sr.","OF","44","10","1"
"","Val Helldobler","Tiffin","Jr.","INF","42","10","2"
"","Eric Herman","Shippensburg","Jr.","INF","48","10","3"
"","Miguel Hidalgo","Felician","Jr.","OF","37","10","2"
"","Brandon Hoefler","Fort Hays St.","Jr.","OF","44","10","2"
"","Matt Howard","Slippery Rock","Sr.","OF","44","10","3"
"","Mike Jackson","Stillman","Jr.","OF","41","10","3"
"","Jeffery Jones","Miles","Jr.","P","32","10","1"
"","Brett Julian","Merrimack","So.","P","35","10","3"
"","Scott Lawley","Indianapolis","Jr.","2B","40","10","6"
"","Zach Leonard","Saint Martin's","Jr.","INF","38","10","2"
"","Brandon Mack","Chowan","So.","INF","50","10","5"
"","Nick McGregor","North Ala.","Sr.","SS","33","10","2"
"","Rylan Morihara","Hawaii Pacific","Jr.","OF","45","10","4"
"","Evan Patterson","Carson-Newman","Sr.","OF","48","10","2"
"","Ethan Perla","Palm Beach Atl.","Fr.","OF","34","10","2"
"","Vern Powell","Indiana (PA)","Sr.","3B","46","10","1"
"","Jack Provine","West Chester","So.","OF","29","10","0"
"","Edward Randolph","Claflin","Fr.","-","29","10","4"
"","Sebastian Ray","St. Andrews","So.","INF","44","10","2"
"","Timothy Rines","Southern N.H.","Sr.","SS","43","10","2"
"","Yonatan Rodriguez","Concordia (NY)","Jr.","INF","35","10","3"
"","Dominic San Felippo","Wheeling Jesuit","Sr.","OF","35","10","3"
"","John Schraer","Charleston (WV)","So.","INF","36","10","1"
"","Thomas Shull","Cal St. Stanislaus","Sr.","INF","39","10","1"
"","Hasten Simmons","Elizabeth City St.","Jr.","OF","28","10","3"
"","Austin Smith","Lynn","Jr.","OF","46","10","6"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","10","8"
"","Kenny Swanson","Truman","Sr.","OF","42","10","3"
"","Wade Tamaru","Hawaii Pacific","So.","INF","43","10","1"
"","John Tierney","Mo.-St. Louis","Sr.","C","32","10","1"
"","Steve Varela","Queens (NY)","So.","SS","39","10","3"
"","Ryan Venderlic","Wheeling Jesuit","Sr.","OF","33","10","2"
"","Ben Villafuerte","Tex. A&M-Kingsville","So.","INF","44","10","4"
"","Brad Wannemuehler","Southern Ind.","Fr.","OF","31","10","3"
"","Tyler Wild","Saint Michael's","Fr.","-","30","10","3"
"","Dylan Woodworth","Mansfield","So.","OF","34","10","1"
"","Garrett Yatch","Grand Valley St.","Fr.","INF","38","10","1"
"","D Zielaskiewicz","Findlay","Sr.","OF","43","10","0"
"422","Tyler Bair","Grand Canyon","Sr.","OF","47","9","3"
"","Al Benson","Limestone","Jr.","OF","52","9","2"
"","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","9","1"
"","Josh Bishop","St. Augustine's","Sr.","C","54","9","5"
"","Andrew Bock","Mercy","So.","OF","38","9","3"
"","Timothy Briggs","Nyack","So.","INF","38","9","9"
"","Joey Bristyan","Grand Canyon","Jr.","OF","45","9","6"
"","Tucker Brown","Central Okla.","Jr.","INF","43","9","6"
"","Robert Brown","Clark Atlanta","Jr.","OF","28","9","0"
