"Rank","Name","Team","Cl","Pos","G","BB"
"","Nathan Burns","FIU","Jr.","OF","43","30"
"","Albert Carpen","Chicago St.","Sr.","OF","37","30"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","30"
"","Greg Dupell","Navy","Jr.","INF","48","30"
"","Chris Famiglietti","Rhode Island","Jr.","C","41","30"
"","Dominic Fratantuono","Towson","So.","OF","41","30"
"","Marty Gantt","Col. of Charleston","Sr.","OF","44","30"
"","Ross Heffley","Western Caro.","Sr.","OF","44","30"
"","Aaron Judge","Fresno St.","So.","P","39","30"
"","Ross Kivett","Kansas St.","So.","INF","45","30"
"","Vincent Mejia","Tex.-Pan American","Sr.","INF","36","30"
"","Jonathan Murphy","Jacksonville","Sr.","OF","45","30"
"","Patrick Paligraf","Xavier","Jr.","INF","44","30"
"","Ian Parmley","Liberty","Sr.","OF","48","30"
"","Dario Pizzano","Columbia","Jr.","OF","44","30"
"","Evan Richard","Prairie View","Sr.","C","38","30"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","30"
"","Daniel Russell","Eastern Mich.","Jr.","OF","35","30"
"","Ryan Tella","Auburn","So.","OF","44","30"
"","Kevin Tokarski","Illinois St.","Sr.","INF","38","30"
"","Trea Turner","North Carolina St.","Fr.","INF","42","30"
"","Logan Uxa","Arkansas St.","Jr.","OF","42","30"
"","Logan Vick","Baylor","Jr.","OF","45","30"
"","Patrick Wisdom","St. Mary's (CA)","Jr.","INF","41","30"
"97","Mike Ahmed","Holy Cross","So.","INF","49","29"
"","Jake Berman","Davidson","Sr.","OF","40","29"
"","Tadd Bower","William & Mary","Sr.","INF","38","29"
"","Kris Bryant","San Diego","So.","3B","44","29"
"","Chris Cowell","Richmond","Sr.","C","40","29"
"","Johnny Coy","Wichita St.","Jr.","INF","47","29"
"","Johnny Field","Arizona","So.","OF","42","29"
"","Ryan Gebhart","Fla. Gulf Coast","Sr.","OF","43","29"
"","Jordan Hankins","Austin Peay","So.","2B","43","29"
"","Tyler Hannah","Troy","Sr.","INF","44","29"
"","Kale Kiser","Nebraska","Sr.","OF","41","29"
"","D.J. Long","Delaware","Jr.","INF","42","29"
"","Justin Maffei","San Francisco","Jr.","OF","47","29"
"","Mike Martinez","FIU","Sr.","1B","40","29"
"","Matt Miller","Northeastern","Sr.","INF","38","29"
"","Sean Moysh","Utah Valley","Jr.","OF","41","29"
