"Rank","Name","Team","Cl","Pos","G","3B"
"","Michael Tinsley","Kansas","Fr.","C","14","2"
"","Mitchell Tolman","Oregon","So.","INF","22","2"
"","Davis Tominaga","Portland","Fr.","P","16","2"
"","P.J. Torres","Austin Peay","Sr.","C","20","2"
"","Justin Treece","Central Ark.","Sr.","INF","22","2"
"","Preston Troutman","Appalachian St.","Sr.","OF","22","2"
"","Brent Turner","Western Ill.","Jr.","INF","16","2"
"","Austin Verschoore","SIU Edwardsville","Fr.","OF","20","2"
"","Jared Walker","Florida A&M","Sr.","OF","19","2"
"","Matt Weckerle","NJIT","Sr.","OF","12","2"
"","John Welborn","UTSA","Sr.","OF","23","2"
"","Jake Welch","Bethune-Cookman","Jr.","OF","22","2"
"","Zander Wiel","Vanderbilt","So.","INF","25","2"
"","Cody Wofford","Western Ky.","Jr.","SS","17","2"
"","Trey York","East Tenn. St.","So.","INF","22","2"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","2"
"","John Ziznewski","LIU Brooklyn","Sr.","SS","18","2"
