"Rank","Name","Team","Cl","Pos","G","HR"
"","Austin Cousino","Kentucky","Fr.","OF","44","8"
"","Lb Dantzler","South Carolina","Jr.","INF","44","8"
"","Hunter Dozier","Stephen F. Austin","So.","INF","44","8"
"","Phillip Ervin","Samford","So.","P","45","8"
"","Nolan Fontana","Florida","Jr.","INF","44","8"
"","Casey Gillaspie","Wichita St.","Fr.","INF","46","8"
"","Jonathan Gonzales","A&M-Corpus Christi","Jr.","P","36","8"
"","Jake Hibberd","Wright St.","Sr.","INF","44","8"
"","Matt Hillsinger","Radford","Sr.","OF","43","8"
"","Max Himmelstein","UMBC","Sr.","1B","37","8"
"","Wade Hinkle","Kansas St.","Sr.","INF","42","8"
"","Mason Katz","LSU","Jr.","1B","44","8"
"","Michael Katz","William & Mary","Fr.","INF","44","8"
"","Brooks Klein","Nevada","Jr.","OF","43","8"
"","Robert Lecount","New Mexico St.","Jr.","INF","42","8"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","8"
"","Tyler Marincov","North Florida","So.","OF","43","8"
"","Tyler McIntyre","Central Conn. St.","Jr.","INF","42","8"
"","T.J. McManus","Eastern Ill.","Sr.","INF","37","8"
"","Will Miller","Furman","Sr.","OF","43","8"
"","Sam Mulroy","Princeton","Sr.","C","39","8"
"","Max Murphy","Bradley","Fr.","OF","42","8"
"","Dane Opel","Missouri","Jr.","OF","40","8"
"","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","8"
"","Greg Partyka","Bradley","So.","1B","41","8"
"","Matt Pollock","Buffalo","Jr.","OF","38","8"
"","Jeremy Rathjen","Rice","Jr.","OF","42","8"
"","Phil Ruzbarsky","Richmond","Sr.","OF","39","8"
"","Cam Schiller","Oral Roberts","Sr.","INF","44","8"
"","Kyle Schwarber","Indiana","Fr.","C","45","8"
"","Richie Shaffer","Clemson","Jr.","INF","45","8"
"","Boone Shear","Troy","Sr.","OF","44","8"
"","Jordan Steranka","Penn St.","Sr.","3B","44","8"
"","Jose Trevino","Oral Roberts","Fr.","INF","44","8"
"","Christian Walker","South Carolina","Jr.","INF","44","8"
"","Adam Brett Walker","Jacksonville","Jr.","1B","45","8"
"","Rodney Warren","Alcorn St.","Sr.","INF","42","8"
"","Brandon Williams","Georgia St.","Sr.","INF","44","8"
"","Ethan Williams","Middle Tenn.","Jr.","INF","38","8"
"124","Mike Ahmed","Holy Cross","So.","INF","49","7"
"","Eric Anderson","Fairleigh Dickinson","Jr.","DH","43","7"
"","Chris Baker","Old Dominion","Sr.","1B","41","7"
"","Barrett Barnes","Texas Tech","Jr.","OF","47","7"
"","Brandon Bayardi","UNLV","Jr.","OF","44","7"
"","Travis Benn","Mercer","Jr.","C","36","7"
"","Dylan Butler","La.-Lafayette","Fr.","OF","42","7"
"","Tyler Childress","Austin Peay","Sr.","1B","40","7"
"","Aaron Cieslak","Oakland","Sr.","OF","43","7"
"","Bryan Conway","Richmond","Sr.","C","40","7"
"","Ryan Dalton","UTSA","Jr.","INF","43","7"
"","Jake Davies","Georgia Tech","Sr.","P","45","7"
"","Rick Devereaux","Pittsburgh","Sr.","C","42","7"
"","Austin Elkins","Dallas Baptist","Jr.","INF","39","7"
"","Waldyvan Estrada","Alabama St.","Fr.","OF","47","7"
"","Dan Evatt","Baylor","Sr.","1B","35","7"
"","Marty Gantt","Col. of Charleston","Sr.","OF","44","7"
"","Michael Garcia","Eastern Ky.","Sr.","OF","40","7"
"","Derek Gibson","Southeast Mo. St.","So.","INF","37","7"
"","Bobby Glover","Dayton","Sr.","OF","45","7"
"","Bradley Goodson","Col. of Charleston","Jr.","INF","44","7"
"","A.J. Jamison","Eastern Ky.","Sr.","INF","38","7"
"","Casey Kalenkosky","Texas St.","Sr.","INF","42","7"
"","Jake Kirkland","Campbell","Jr.","INF","45","7"
"","Josh Ludy","Baylor","Sr.","C","43","7"
"","Trey Mancini","Notre Dame","So.","INF","38","7"
"","Ryan Mathews","North Carolina St.","Sr.","OF","38","7"
"","Jeff McVaney","Texas St.","Sr.","OF","42","7"
"","Tom Murphy","Buffalo","Jr.","C","39","7"
"","Jordan Owen","UT Martin","Sr.","OF","43","7"
"","Jordan Patterson","South Ala.","So.","OF","44","7"
"","Phil Pohl","Clemson","Sr.","C","45","7"
"","Danny Poma","Hofstra","Sr.","OF","42","7"
"","Joey Rapp","La.-Monroe","Sr.","INF","44","7"
"","Nick Rountree","UALR","Sr.","C","42","7"
"","Josh Scheffert","Nebraska","Jr.","OF","36","7"
"","Johnny Thomas","Middle Tenn.","Jr.","INF","46","7"
"","Sam Travis","Indiana","Fr.","INF","45","7"
"","Josh Tutwiler","Old Dominion","Sr.","C","42","7"
"","Logan Uxa","Arkansas St.","Jr.","OF","42","7"
"","Zach Voight","New Mexico St.","Sr.","3B","43","7"
"","Stephen Wallace","Southern U.","So.","OF","31","7"
"","Chris Wilson","San Diego St.","Sr.","C","35","7"
"","John Wooten","East Carolina","Jr.","1B","43","7"
"","Greg Zebrack","Penn","Jr.","OF","39","7"
"169","Eric Aguilera","Illinois St.","Jr.","OF","39","6"
"","Daniel Aldrich","Col. of Charleston","So.","OF","40","6"
"","Eric Bainer","Morehead St.","Sr.","C","42","6"
"","Sam Bates","Arkansas","Sr.","OF","37","6"
"","James Beck","Iona","Sr.","1B","41","6"
"","Blake Bergeron","Nicholls St.","Sr.","INF","43","6"
"","Jake Berman","Davidson","Sr.","OF","40","6"
"","Alex Blandino","Stanford","Fr.","INF","23","6"
"","Bryan Bleakley","NJIT","Sr.","C","36","6"
"","Kyle Bluestein","Jacksonville St.","Sr.","OF","40","6"
"","Ryan Boss","Ill.-Chicago","Jr.","INF","34","6"
"","Brandon Boudreaux","Tulane","Jr.","OF","44","6"
"","Blake Brown","Southern Miss.","Jr.","INF","43","6"
"","Scott Burkett","Longwood","So.","C","38","6"
"","Kody Campbell","Southeast Mo. St.","Sr.","INF","45","6"
"","Chad Christensen","Nebraska","Jr.","OF","43","6"
"","Hunter Cole","Georgia","Fr.","OF","39","6"
"","Johnny Coy","Wichita St.","Jr.","INF","47","6"
"","Carter DeBoe","IPFW","So.","OF","44","6"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","6"
"","Jordan Dean","Central Mich.","Jr.","INF","45","6"
"","Sean Deegan","Penn St.","Sr.","OF","44","6"
"","Corey Dick","UNC Wilmington","Fr.","INF","39","6"
"","Bob Donato","Bucknell","Sr.","OF","46","6"
"","Drew Dosch","Youngstown St.","So.","INF","41","6"
"","Ryan Dunn","Oregon St.","Sr.","INF","42","6"
"","Josh Elander","TCU","Jr.","C","41","6"
"","Derek Fisher","Virginia","Fr.","OF","42","6"
"","Clinton Freeman","East Tenn. St.","So.","P","43","6"
"","Mitchell Garver","New Mexico","Jr.","C","45","6"
"","Mike Garza","Georgetown","Jr.","INF","43","6"
"","Jeff Gelalich","UCLA","Jr.","OF","40","6"
"","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","6"
"","Dan Gulbransen","Jacksonville","Jr.","OF","45","6"
"","Jon Hedges","Indiana St.","Sr.","INF","45","6"
"","Ross Heffley","Western Caro.","Sr.","OF","44","6"
"","Cody Hudson","Austin Peay","Jr.","OF","37","6"
"","Ryan Hutchison","Western Ky.","Sr.","OF","44","6"
"","Joel Hutter","Dallas Baptist","Sr.","INF","43","6"
"","Travis Isaak","Murray St.","Sr.","INF","42","6"
"","Tyler Jackson","Col. of Charleston","Jr.","INF","35","6"
"","Zac Johnson","Illinois St.","Jr.","INF","38","6"
"","Corey Keller","Fla. Atlantic","Jr.","OF","42","6"
"","Tim Kiene","Maryland","So.","INF","32","6"
"","Ryan Kinsella","Elon","So.","C","46","6"
"","Brian Klukowicz","UMBC","Sr.","OF","31","6"
"","Dan Lackner","NYIT","Jr.","OF","34","6"
"","Andrew Longley","South Fla.","Sr.","C","39","6"
"","Adam Martin","Western Caro.","So.","C","44","6"
"","Chris McGowan","Kennesaw St.","So.","OF","46","6"
"","Cameron McGriff","Southern U.","Sr.","INF","41","6"
"","Tristan Moore","Wright St.","Sr.","OF","44","6"
"","Mark Nelson","Fla. Atlantic","Jr.","OF","43","6"
"","Kyle Newton","Fla. Atlantic","Jr.","INF","43","6"
"","Michael O'Neill","Michigan","So.","OF","29","6"
"","Andrew Parker","Towson","Jr.","C","44","6"
"","Cameron Perkins","Purdue","Jr.","INF","40","6"
"","Kyle Phillips","New Mexico St.","Jr.","OF","38","6"
"","Chad Pinder","Virginia Tech","So.","INF","44","6"
"","Dusty Quattlebaum","Gardner-Webb","Sr.","INF","45","6"
"","Andrew Rash","Virginia Tech","Jr.","OF","45","6"
"","Daniel Rockhold","South Fla.","Sr.","C","32","6"
"","Daniel Scahill","Buffalo","Sr.","OF","38","6"
"","Andy Smith","Liberty","Jr.","OF","41","6"
"","Elvin Soto","Pittsburgh","Fr.","C","42","6"
"","J.P. Sportman","Central Conn. St.","So.","INF","42","6"
"","Luke Tendler","N.C. A&T","So.","INF","42","6"
"","T.J. Thomas","Hofstra","Sr.","3B","39","6"
"","Andrew Valencia","Fla. Gulf Coast","So.","C","39","6"
"","Jason Vosler","Northeastern","Fr.","INF","38","6"
"","Jon Wilson","Niagara","Sr.","SS","40","6"
"","Austin Wilson","Stanford","So.","OF","39","6"
"","Josh Winter","Mt. St. Mary's","Sr.","1B","46","6"
"","Patrick Wisdom","St. Mary's (CA)","Jr.","INF","41","6"
"","Josh Wright","Old Dominion","Sr.","INF","43","6"
"","Ty Young","Louisville","So.","INF","42","6"
"","Nick Zaharion","South Ala.","Jr.","INF","42","6"
"246","Andy Almonte","Kennesaw St.","Jr.","2B","47","5"
"","Zach Alvord","Auburn","So.","INF","41","5"
"","Alex Bacon","North Florida","So.","OF","43","5"
"","Jeremy Baltz","St. John's (NY)","Jr.","OF","44","5"
"","Jeremy Banks","Youngstown St.","Sr.","INF","27","5"
"","Tyler Begun","Akron","So.","INF","44","5"
"","Brian Billigen","Cornell","Sr.","OF","38","5"
"","Daniel Bowman","Coastal Caro.","Sr.","OF","43","5"
"","Evan Boyd","Mercer","Jr.","SS","47","5"
"","Cael Brockmeyer","CSU Bakersfield","So.","C","38","5"
"","Ben Burgess","Tennessee Tech","Sr.","C","37","5"
"","Chris Burk","UALR","Jr.","INF","38","5"
"","Andrew Cain","UNC Wilmington","Sr.","INF","43","5"
"","Evan Campbell","Kent St.","Jr.","INF","42","5"
"","Danny Canela","North Carolina St.","Jr.","C","41","5"
"","Mike Carson","Oakland","Jr.","INF","41","5"
"","David Corna","Ohio St.","Sr.","C","39","5"
"","Tyler Cox","Liberty","Jr.","C","39","5"
"","Billy Creighton","UNC Asheville","Jr.","P","39","5"
"","Bo Cuthbertson","Southern Utah","Sr.","SS","39","5"
"","Jacob Daniel","Eastern Ky.","Sr.","OF","40","5"
"","Joey DeBernardis","Penn St.","Sr.","1B","44","5"
"","Andrew Deeds","Morehead St.","Sr.","OF","42","5"
"","Josh Dezse","Ohio St.","So.","DH","44","5"
"","Mike DiBiase","Brown","Sr.","INF","38","5"
"","Rob Dickinson","VMI","Jr.","OF","44","5"
"","Nick Duff","Morehead St.","Jr.","OF","39","5"
"","Greg Dupell","Navy","Jr.","INF","48","5"
"","Sam Eberle","Jacksonville St.","Sr.","INF","38","5"
"","Cody Edwards","New Mexico St.","Jr.","INF","28","5"
"","Zac Elgie","Kansas","Sr.","INF","39","5"
"","Lloyd Enzor","UNC Greensboro","Jr.","INF","42","5"
"","Darren Farmer","Grambling","Jr.","C","41","5"
"","Brad Felder","Clemson","Sr.","OF","36","5"
"","Matt Fleishman","Villanova","Sr.","OF","45","5"
"","Rob Fonseca","Northeastern","Fr.","1B","32","5"
"","Matt Frazer","West Virginia","So.","OF","43","5"
"","Evan Frazier","Tennessee Tech","Jr.","C","39","5"
"","Patrick Gamblin","Winthrop","Jr.","OF","42","5"
"","Kyle Garlick","Oregon","So.","OF","39","5"
"","Pat Gelwicks","Butler","Jr.","1B","44","5"
"","C.J. Gillman","Dayton","Sr.","INF","45","5"
"","Justin Gonzalez","Florida St.","Jr.","SS","40","5"
"","Grayson Greiner","South Carolina","Fr.","C","42","5"
"","Taylor Gushue","Florida","Fr.","C","41","5"
"","Jordan Hankins","Austin Peay","So.","2B","43","5"
"","Dillon Haupt","San Diego","Jr.","C","44","5"
"","Jack Havey","Northwestern","Jr.","1B","40","5"
"","Austin Heaps","Utah Valley","Sr.","OF","41","5"
"","Spiker Helms","Missouri St.","Sr.","OF","45","5"
"","Brandon Hohl","Illinois","Jr.","3B","43","5"
"","Brad Hook","South Ala.","Sr.","1B","44","5"
"","D Hopkins","Southern U.","---","1B","34","5"
"","Jacob House","Texas A&M","Sr.","INF","42","5"
"","Joe Hudson","Notre Dame","Jr.","C","41","5"
"","Mott Hyde","Georgia Tech","So.","INF","43","5"
"","Nick Johnson","Southern Ill.","Jr.","OF","31","5"
"","Brian Johnson","Florida","Jr.","P","38","5"
"","Aaron Jones","Oregon","So.","C","34","5"
"","Jeff Keller","Dartmouth","So.","OF","31","5"
"","Adam Kirsch","FIU","Jr.","INF","39","5"
"","Kale Kiser","Nebraska","Sr.","OF","41","5"
"","Jonathan Kolowich","Georgia St.","Sr.","OF","40","5"
"","Patrick Koontz","UNC Asheville","Sr.","OF","38","5"
"","Justin Lacy","Longwood","Jr.","DH","39","5"
"","Justin Leisenheimer","Maine","Sr.","1B","40","5"
"","Bobby Loveless","Stephen F. Austin","Sr.","3B","38","5"
"","Zach Lowery","Lipscomb","Jr.","OF","44","5"
"","Matt Mack","Radford","Sr.","3B","37","5"
"","Justin Mackert","Citadel","Sr.","INF","44","5"
"","Ryan Maghini","Fordham","Sr.","INF","47","5"
"","Will Marcal","Brown","Fr.","P","42","5"
"","Mike Martinez","FIU","Sr.","1B","40","5"
"","Ryan McBroom","West Virginia","So.","1B","44","5"
"","Thomas McCarthy","Kentucky","Sr.","INF","45","5"
"","Ryan McMillin","Western Mich.","Sr.","INF","40","5"
"","Vincent Mejia","Tex.-Pan American","Sr.","INF","36","5"
"","Anthony Melchionda","Boston College","Sr.","INF","44","5"
"","John Mishu","Princeton","Jr.","OF","38","5"
"","Austin Montgomery","Southern Ill.","Jr.","INF","44","5"
"","Max Muncy","Baylor","Jr.","1B","46","5"
"","Aaron Nardone","Delaware St.","So.","C","41","5"
"","Steve Nikorak","Temple","Sr.","INF","43","5"
"","Chris Ohmstede","Furman","Fr.","INF","35","5"
"","David Olson","Campbell","Jr.","P","43","5"
"","Robby Ort","Indiana St.","Jr.","OF","45","5"
"","Ramon Ortega","Manhattan","Jr.","C","40","5"
"","Jimmy Pickens","Michigan St.","Fr.","OF","42","5"
"","Logan Pierce","Troy","Jr.","INF","44","5"
"","Daniel Pigott","Florida","Sr.","OF","45","5"
"","Stephen Piscotty","Stanford","Jr.","INF","39","5"
"","Will Piwnica-Worms","Duke","Sr.","OF","41","5"
"","Colton Plaia","Loyola Marymount","Jr.","C","39","5"
"","David Popkins","UC Davis","Sr.","P","32","5"
"","Trey Porter","Mississippi St.","Jr.","DH","40","5"
"","Robbie Rea","Oklahoma St.","Jr.","INF","43","5"
"","Kris Richards","UNC Greensboro","Sr.","INF","40","5"
"","Ronnie Richardson","UCF","Jr.","OF","44","5"
"","George Roberts","Kent St.","Jr.","INF","43","5"
"","Daniel Rockett","UTSA","Jr.","OF","44","5"
"","Dan Schafferman","George Mason","Sr.","OF","45","5"
"","Brent Seifert","Missouri St.","Sr.","INF","45","5"
"","Dustin Selzer","Dartmouth","So.","INF","35","5"
"","Joe Sever","Pepperdine","Jr.","2B","40","5"
"","Corbin Shive","Charlotte","Jr.","P","43","5"
"","Cody Slaughter","Brown","Jr.","INF","35","5"
"","Paul Snieder","Northwestern","Sr.","1B","40","5"
"","Drew Steckenrider","Tennessee","Jr.","OF","43","5"
"","Pat Stover","Santa Clara","So.","OF","39","5"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","5"
"","Mike Tirri","Albany (NY)","Sr.","INF","40","5"
"","Thomas Troelstrup","UNC Greensboro","Sr.","INF","42","5"
"","Erik Underwood","Jacksonville St.","Sr.","INF","41","5"
"","Ryan Walterhouse","Indiana St.","Sr.","INF","40","5"
"","Zak Wasserman","Louisville","Jr.","1B","41","5"
"","Matt Wessinger","St. John's (NY)","Sr.","2B","44","5"
"","Caleb Whalen","Portland","Fr.","INF","38","5"
"","Miles Williams","Cal St. Northridge","So.","OF","40","5"
"","Joey Wood","Georgia St.","Sr.","DH","39","5"
"","Derrick Workman","Mercer","So.","OF","47","5"
"","Mark Zagunis","Virginia Tech","Fr.","C","40","5"
"","Zac Zellers","Kentucky","Jr.","OF","40","5"
"","Casey kicklighter","Ga. Southern","Fr.","INF","23","5"
