"Rank","Name","Team","Cl","Pos","G","BB"
"","Ryan McCormick","Millersville","Sr.","SS","45","33"
"","Chris Vazquez","Wingate","Jr.","SS","52","33"
"43","Tyler Anthony","Central Mo.","Sr.","OF","46","32"
"","Kyle Foti","Flagler","Jr.","C","41","32"
"","Kenny Held","Cameron","Sr.","OF","44","32"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","32"
"","Chase Larsson","Cameron","Jr.","OF","44","32"
"","Erin McCarver","Harding","So.","C","44","32"
"","Danny Miller","Minn. St. Mankato","Sr.","OF","41","32"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","32"
"51","John Fogarile","Newberry","Jr.","INF","33","31"
"","Nate Fudala","Flagler","Jr.","INF","49","31"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","31"
"","Rich McHugh","Stonehill","Jr.","C","39","31"
"","Chris Reese","Arkansas Tech","Jr.","INF","44","31"
"","Kale Sumner","Hawaii Pacific","So.","INF","45","31"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","31"
"58","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","30"
"","Josh Hohn","Catawba","Sr.","C","51","30"
"","Josh Huggins","West Fla.","Jr.","3B","47","30"
"","Greg Liming","Urbana","So.","1B","40","30"
"","Patrick Melvin","Miles","Sr.","1B","39","30"
"","Brett Overton","Chowan","So.","INF","49","30"
"","Caleb Saggus","Augusta St.","Jr.","OF","47","30"
"","Blake Stroth","North Ala.","Sr.","INF","42","30"
"","Shawn Ward","Georgia College","Sr.","OF","49","30"
"67","Lester Akeo","Hawaii Pacific","Sr.","INF","37","29"
"","Cody Baker","Lincoln Memorial","So.","OF","51","29"
"","Josh Catalano","Chowan","Fr.","INF","47","29"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","29"
"","Corey Gaudet","Colo. Christian","Jr.","OF","37","29"
"","Ryan Geffert","Southern Conn. St.","Jr.","1B","37","29"
"","Josh Heath","Armstrong","Sr.","OF","46","29"
"","Nate Hewes","Augustana (SD)","So.","INF","43","29"
"","Chase Lacomb","Colorado St.-Pueblo","So.","SS","42","29"
"","Brain Laznik","Erskine","Sr.","OF","50","29"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","29"
"","Chris Love","Newberry","Sr.","INF","52","29"
"","Jordan Owens","Lander","Jr.","1B","42","29"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","29"
"","Kenny Swanson","Truman","Sr.","OF","42","29"
"","Drew Walker","Armstrong","Jr.","INF","48","29"
"83","David Altman","Colo. Christian","So.","2B","37","28"
"","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","28"
"","Joey Bristyan","Grand Canyon","Jr.","OF","45","28"
"","Benny Carter","Paine","Jr.","1B","37","28"
"","Josh Cyr","North Ala.","So.","INF","44","28"
"","Zachary Drummond","Paine","So.","OF","36","28"
"","Chris Dula","Catawba","Fr.","3B","53","28"
"","Nick Erminio","Seton Hill","Jr.","INF","37","28"
"","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","28"
"","F. Johnson","Shaw","Fr.","-","45","28"
"","William Lariscy","Paine","Sr.","2B","40","28"
"","Erik Lunde","Lander","Fr.","INF","43","28"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","28"
"","Emmanuel Pappadakis","Virginia St.","Fr.","OF","47","28"
"","Kyle Rosadino","Southern Conn. St.","Sr.","OF","37","28"
"","Cass Via","Ouachita Baptist","Sr.","INF","46","28"
"","Corbin Williams","Albany St. (GA)","So.","2B","43","28"
"","Zac Zdanowicz","Henderson St.","So.","OF","41","28"
"101","Eric Bond","Dixie St.","Jr.","OF","37","27"
"","Kendall Boone","West Tex. A&M","Jr.","INF","48","27"
"","Kyle Brooks","Lincoln (PA)","Jr.","OF","28","27"
"","William Calhoun","Abilene Christian","Sr.","DH","47","27"
"","O'Koyea Dickson","Sonoma St.","Jr.","INF","44","27"
"","Andrew Elke","Saint Martin's","Sr.","OF","47","27"
"","Ryan Faison","Mount Olive","Sr.","INF","46","27"
"","Fernando Garcia","Ark.-Monticello","Jr.","INF","43","27"
"","Casey Hall","Stillman","Jr.","INF","40","27"
"","Brad Hall","North Ga.","Sr.","INF","49","27"
"","Joe Halley","Cameron","Sr.","INF","45","27"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","27"
"","Courtney Kelley","Miles","So.","OF","38","27"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","27"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","27"
"","Kyle Rice","S.C. Aiken","Sr.","C","41","27"
"","Micah Robinson","Limestone","Sr.","INF","52","27"
"","A.J. Rouleau","Southern Conn. St.","Jr.","3B","36","27"
"","Cameron Scott","Columbus St.","So.","2B","46","27"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","27"
"","Ammon Zitting","Dixie St.","Jr.","SS","47","27"
"122","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","26"
"","Carlos Asuaje","Nova Southeastern","Fr.","INF","45","26"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","26"
"","John Brennan","Wis.-Parkside","Jr.","INF","35","26"
"","Braxton Graven","Bellarmine","Sr.","OF","44","26"
"","Jordan Hanley","Dixie St.","So.","INF","40","26"
"","Dan Hennigan","Franklin Pierce","Jr.","2B","43","26"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","26"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","26"
"","Brenton Kopecek","Davis & Elkins","Jr.","OF","42","26"
"","Landan McCall","Tarleton St.","So.","SS","43","26"
"","Abel Medina","Cal St. Dom. Hills","Sr.","3B","45","26"
"","Ryan Moore","Chowan","Fr.","P","50","26"
"","Keegan Morrow","Central Okla.","Jr.","OF","44","26"
"","Aj Nunziato","Lander","Jr.","INF","47","26"
"","Areo Regoli","Nova Southeastern","Jr.","OF","41","26"
"","J.R. Roland","Abilene Christian","Jr.","OF","42","26"
"","Jarrod Rose","Southern Ind.","Jr.","C","45","26"
"","Chris Ross","Montevallo","Jr.","OF","43","26"
"","Kevin Rufus","Newberry","Jr.","C","48","26"
"","Roberto Sanchez","Belmont Abbey","Sr.","INF","40","26"
"","Kyle Saul","UC San Diego","Sr.","C","45","26"
"","Frank Sirolli","Indiana (PA)","Sr.","OF","46","26"
"","Garrett Yatch","Grand Valley St.","Fr.","INF","38","26"
"146","Nicholas Arena","Salem Int'l","Jr.","INF","35","25"
"","Kyle Baskett","Saint Martin's","Sr.","OF","42","25"
"","Joey Benke","St. Cloud St.","Jr.","INF","36","25"
"","Ryan Bostian","Catawba","Jr.","OF","53","25"
"","Tony Brunetti","Rollins","Sr.","OF","45","25"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","25"
"","Chris Casazza","Tarleton St.","Sr.","INF","45","25"
"","Zach Cohen","Angelo St.","Jr.","INF","47","25"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","25"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","25"
"","Kevin Dultz","San Fran. St.","Sr.","C","43","25"
"","Jordan Erisman","North Ga.","Jr.","INF","49","25"
"","Chuck Faust","California (PA)","Sr.","OF","44","25"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","25"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","25"
"","Carlos Guzman","Molloy","Fr.","OF","45","25"
"","Josh Haley","UNC Pembroke","Jr.","OF","48","25"
"","Hugo Hernandez","Tex. Permian Basin","Jr.","INF","43","25"
"","Blake Houston","Catawba","Fr.","OF","53","25"
"","Matt Hunt","Saginaw Valley","Jr.","3B","37","25"
"","Richard McCarren","Adelphi","Sr.","OF","42","25"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","25"
"","Dodson McPherson","Wingate","Jr.","OF","54","25"
"","K. C. Pfister","Southeastern Okla.","Sr.","OF","43","25"
"","Jason Reitenbach","Findlay","Sr.","INF","43","25"
"","Adrian Rivera","St. Andrews","So.","INF","34","25"
"","Cameron Robulack","Delta St.","Jr.","1B","44","25"
"","Jose Rohena","Flagler","Sr.","INF","49","25"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","25"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","25"
"","Casey Winckowski","Erskine","Sr.","INF","51","25"
"","Brandon Wolfe","West Chester","Sr.","C","41","25"
"178","Cody Coffman","Tusculum","Jr.","1B","47","24"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","24"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","24"
"","Patrick Donahue","Tampa","Sr.","INF","43","24"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","24"
"","Jeremiah Gandy","Shaw","Fr.","OF","47","24"
"","Luke Garmon","Ky. Wesleyan","Sr.","SS","35","24"
"","Carter Haponski","Slippery Rock","Jr.","OF","44","24"
"","Matt Henriksen","Tusculum","So.","INF","48","24"
"","Derek Hooper","North Ga.","So.","INF","48","24"
"","Payden Houser","Tusculum","Sr.","2B","51","24"
"","Matt Howard","Slippery Rock","Sr.","OF","44","24"
"","Robert Kelly","St. Anselm","So.","1B","44","24"
"","Pat Kregeloh","Shippensburg","Fr.","3B","48","24"
"","Joe Manders","Colorado St.-Pueblo","Sr.","OF","41","24"
"","Brett Mazmanian","Ouachita Baptist","Jr.","C","42","24"
"","Joe McLemore","Eckerd","Jr.","1B","42","24"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","24"
"","Christopher Miller","Benedict","Sr.","OF","38","24"
"","Nathan Minnich","Shepherd","Jr.","1B","33","24"
"","Derek Moczygemba","St. Mary's (TX)","So.","P","47","24"
"","Jason Nappi","Harding","Sr.","INF","45","24"
"","Tony Nelson","Dixie St.","Sr.","INF","44","24"
"","Carmine Pellechia","Molloy","Jr.","OF","45","24"
"","Sam Phillips","Shippensburg","So.","SS","47","24"
"","Shawn Pleffner","Tampa","Jr.","OF","41","24"
"","Michael Price","Armstrong","Sr.","OF","48","24"
"","Jason Solma","Mo. Western St.","So.","INF","44","24"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","24"
"","Darryl Stringfield","Virginia St.","Sr.","P","47","24"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","24"
"","William Ward","Chowan","So.","OF","44","24"
"","Jacob White","Emporia St.","Sr.","SS","40","24"
"211","Greg Anderson","Colorado Mesa","Sr.","OF","44","23"
"","Anthony Angulo","Nova Southeastern","Jr.","C","32","23"
"","Ian Atkinson","Mo. Western St.","Sr.","INF","44","23"
"","Bryce Baugh","West Tex. A&M","Jr.","INF","45","23"
"","Angelo Bruno","Stonehill","Sr.","1B","43","23"
"","Kyle Buchanan","Belmont Abbey","Jr.","C","44","23"
"","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","23"
"","Derek Carr","Slippery Rock","Jr.","OF","40","23"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","23"
"","David Christy","Limestone","Sr.","2B","52","23"
"","Johnny Cole","Palm Beach Atl.","Fr.","1B","44","23"
"","Chris Collazo","Tex. A&M Int'l","Sr.","OF","47","23"
"","Ryan Cook","Tex. A&M-Kingsville","Jr.","OF","39","23"
"","John Couch","Lincoln Memorial","Sr.","INF","51","23"
"","J Cox","Virginia St.","Fr.","-","46","23"
"","Nate Defilippi","Seton Hill","Jr.","OF","38","23"
"","Eric Doyle","Davis & Elkins","Jr.","C","42","23"
"","David Fox","Metro St.","Sr.","OF","40","23"
"","Gaetano Giunta","Bridgeport","Sr.","INF","33","23"
"","Mike Godwin","Wilmington (DE)","Jr.","P","39","23"
"","Trevor Goff","Dixie St.","Jr.","OF","43","23"
"","Lukas Graves","Tusculum","Jr.","OF","41","23"
"","Paden Grubbs","Southwest Baptist","Sr.","OF","43","23"
"","Garrett Harris","Angelo St.","Jr.","OF","45","23"
"","Josh Headley","Montevallo","Jr.","OF","44","23"
"","Taylor Honeycutt","Wingate","Sr.","C","48","23"
"","Shayne Houck","Kutztown","Jr.","INF","39","23"
"","Will Huff","Erskine","Fr.","INF","43","23"
"","Cory Jensen","Fla. Southern","Jr.","OF","41","23"
"","Brian Kochik","Lock Haven","Sr.","C","39","23"
"","Matt Lagree","Central Mo.","Fr.","-","35","23"
"","Alex Latchum","Chestnut Hill","Jr.","2B","35","23"
"","Tate Leapaldt","Mary","Fr.","3B","35","23"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","23"
"","Ryan Powers","Saint Leo","Sr.","INF","44","23"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","23"
"","Clayton Roach","Paine","Fr.","P","34","23"
"","Eric Schlitter","Bridgeport","Jr.","1B","33","23"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","23"
"","Michael Shepherd","Ohio Valley","Jr.","INF","36","23"
"","Jake Sutton","Augusta St.","So.","SS","47","23"
"","Tyler Uphouse","Shippensburg","Jr.","INF","46","23"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","23"
"254","null A Smith","Winston-Salem","Fr.","-","46","22"
"","Jared Allen","Ga. Southwestern","Sr.","INF","48","22"
"","John Ascenzia","Bridgeport","Fr.","2B","33","22"
"","Brendan Barry","Post","Sr.","INF","33","22"
"","Aj Begay","Colo. Christian","Fr.","3B","44","22"
"","Al Benson","Limestone","Jr.","OF","52","22"
"","Jeffrey Bohus","Philadelphia U.","So.","INF","37","22"
"","Matt Boulter","Southern N.H.","So.","SS","44","22"
"","Tyler Bourdo","S.C. Aiken","Jr.","INF","45","22"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","22"
"","Duncan Collins","Ouachita Baptist","So.","INF","45","22"
"","Marshall Creed","Lander","Fr.","C","29","22"
"","Josh Dawson","Cameron","Jr.","INF","44","22"
"","Nikko Echevarria","Nova Southeastern","Sr.","INF","33","22"
"","Kalab Evans","Grand Canyon","Jr.","C","45","22"
"","Matt Flores","Incarnate Word","Sr.","INF","34","22"
"","Chris Fox","Florida Tech","Sr.","OF","42","22"
"","Shawn Frigon","Assumption","Sr.","SS","42","22"
"","Justin Hall","Ouachita Baptist","Sr.","DH","40","22"
"","Joe Harbach","Wilmington (DE)","Jr.","OF","40","22"
"","Kenneth Hatfield","Miles","Sr.","INF","37","22"
"","Dan Hayduk","Mount Olive","Sr.","SS","44","22"
"","Jeff Heisey","Millersville","So.","3B","43","22"
"","Fedor Herrera","Claflin","Sr.","C","31","22"
"","Josh Hinkle","Florida Tech","Jr.","OF","42","22"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","22"
"","Leo Lamarche","West Fla.","Jr.","2B","45","22"
"","Dustin Lawley","West Fla.","Sr.","OF","48","22"
"","Ryan Lewis","Columbus St.","Jr.","OF","46","22"
"","Brandon Mack","Chowan","So.","INF","50","22"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","22"
"","Steven Martinez","Pace","Fr.","INF","31","22"
"","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","22"
"","Evian McClendon","Morehouse","Fr.","2B","40","22"
"","Rylan Morihara","Hawaii Pacific","Jr.","OF","45","22"
"","Joe Petosa","Felician","So.","OF","43","22"
"","Andrew Pickering","West Virginia St.","Fr.","INF","28","22"
"","Dan Ponegalek","Grand Valley St.","Sr.","INF","30","22"
"","Joel Potts","Drury","Sr.","3B","45","22"
"","Cale Rogers","Wingate","Sr.","OF","54","22"
"","Kyle Thomas","Lewis","Fr.","C","30","22"
"","Jenzen Torres","Cal Poly Pomona","Jr.","C","41","22"
"","Matt Toth","Lake Erie","Jr.","OF","39","22"
"","Brett Underwood","Catawba","Jr.","INF","53","22"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","22"
"","Nate Wilder","Arkansas Tech","Jr.","3B","38","22"
"","James Wong","Post","Jr.","INF","37","22"
"","John Zule","Incarnate Word","So.","INF","37","22"
"302","Andrew Ahn","St. Thomas Aquinas","Sr.","SS","43","21"
"","Troy Ajer","Hawaii Pacific","Jr.","OF","43","21"
"","Greg Baggett","Bentley","Jr.","C","38","21"
"","Brandon Banks","Paine","So.","C","36","21"
"","Jason Berrios","Concordia (NY)","Jr.","OF","34","21"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","21"
"","Brad Clement","Northern Ky.","So.","INF","43","21"
"","Cameron Cook","Sonoma St.","Sr.","OF","39","21"
"","Chase Corn","Erskine","Fr.","OF","45","21"
"","Corey Cowan","Newman","Jr.","INF","47","21"
"","Brett Delcambre","Newman","Jr.","SS","47","21"
"","Christian Diaz","Mars Hill","Jr.","INF","48","21"
"","Derek Diruscia","Slippery Rock","Sr.","C","44","21"
"","Travis Echols","Georgia College","So.","3B","50","21"
"","Ronnie Fhurong","Cal St. Monterey Bay","So.","INF","43","21"
"","John Fouchet","Florida Tech","Sr.","INF","47","21"
"","David Frazier","North Greenville","Jr.","INF","44","21"
"","David Gibbons","Barton","Fr.","OF","39","21"
"","Brad Guenther","Wayne St. (MI)","So.","C","40","21"
"","Kyle Harpster","Gannon","Jr.","OF","38","21"
"","Tyler Hickernell","Winston-Salem","So.","3B","43","21"
"","Evan King","California (PA)","So.","INF","43","21"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","21"
"","Graig Lauricella","Mercy","Sr.","OF","34","21"
"","Aaron Lupia","Indiana (PA)","Fr.","C","45","21"
"","Dillion Mangino","West Liberty","Jr.","OF","40","21"
"","Will McCord","Missouri S&T","Jr.","OF","39","21"
"","Paul McCoy","St. Edward's","Sr.","OF","42","21"
"","Josh McElroy","St. Mary's (TX)","Jr.","OF","47","21"
"","Keith Meyer","Bloomsburg","Jr.","SS","38","21"
"","Matt Petty","Barry","Sr.","INF","50","21"
"","Boone Plager","Washburn","Jr.","INF","41","21"
"","Paschel Poston","Ga. Southwestern","Jr.","C","44","21"
"","David Regidor","Eckerd","Jr.","C","45","21"
"","Cody Ridinger","Urbana","Fr.","SS","40","21"
"","Elliott Riege","Colorado Mines","Sr.","INF","42","21"
"","Drew Ryan","Urbana","Fr.","3B","40","21"
"","Albert Selanders","Central Mo.","So.","C","42","21"
"","John Sgromolo","Flagler","Jr.","1B","48","21"
"","Donald Smith","Claflin","Jr.","OF","34","21"
"","C.J. Stabler","King (TN)","Sr.","INF","41","21"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","21"
"","Jon Stockton","Concordia-St. Paul","Sr.","OF","29","21"
"","Michael Vinson","Delta St.","So.","DH","46","21"
"","Alex Walker","Augusta St.","Sr.","OF","48","21"
"","Mike Walraven","St. Thomas Aquinas","Sr.","INF","40","21"
"","Kyle Webb","Concord","Sr.","INF","42","21"
"","Colby Wiggins","Chowan","Fr.","INF","49","21"
"","Drew Willingham","Erskine","So.","1B","51","21"
"","Michael Wilson","Francis Marion","Fr.","INF","47","21"
"","Paul Young","Grand Valley St.","Sr.","OF","39","21"
"353","Andrew Abreu","Dowling","Fr.","INF","38","20"
"","Casey Allison","Wingate","Jr.","OF","54","20"
"","Jared Anderson","Winona St.","Sr.","INF","35","20"
"","Nick Barbera","Pitt.-Johnstown","Sr.","INF","37","20"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","20"
"","Nate Baumann","Augustana (SD)","Sr.","OF","39","20"
"","Madison Beaird","Arkansas Tech","So.","OF","46","20"
"","Nick Bergeman","Upper Iowa","Sr.","OF","44","20"
"","Mike Bolling","Lewis","Jr.","OF","30","20"
"","Rolando Bonner","Tusculum","Sr.","OF","43","20"
"","Cody Brooks","Colo. Christian","So.","C","36","20"
"","Dion Bryant","Stillman","Jr.","OF","41","20"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","20"
"","William Buford","Tuskegee","So.","P","33","20"
"","Dustin Carpenter","North Ga.","So.","INF","45","20"
"","Jay Carter","Clark Atlanta","So.","OF","30","20"
"","Brandon Choate","Southern Ark.","Sr.","C","40","20"
"","Mike DeLellis","Bridgeport","Sr.","C","33","20"
"","Nick DeProspo","Southern Conn. St.","Sr.","C","34","20"
"","Alex Del Monte","Eckerd","Fr.","SS","42","20"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","20"
"","Orry Engebretsen","Minn. Duluth","Jr.","2B","33","20"
"","Brian Ernst","East Stroudsburg","So.","1B","39","20"
"","Steven Filippi","Sonoma St.","So.","OF","41","20"
"","Jake Frazier","Coker","Jr.","OF","43","20"
"","Trevor Funk","Fairmont St.","So.","SS","33","20"
"","Casey Hanrahan","Augusta St.","Sr.","C","47","20"
"","Colton Hansley","Lenoir-Rhyne","So.","1B","34","20"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","20"
"","Tee Helsel","Mo. Southern St.","Fr.","INF","45","20"
"","Gip Hendrix","Henderson St.","Sr.","OF","45","20"
"","Eric Herman","Shippensburg","Jr.","INF","48","20"
"","Brady Hohl","Neb. Omaha","Jr.","INF","46","20"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","20"
"","Michael Huling","Southern Ind.","Sr.","OF","44","20"
"","Joe Jacobson","Grand Canyon","Sr.","1B","39","20"
"","M Johnson","West Liberty","Fr.","-","43","20"
"","Andrew Kapple","Tarleton St.","Sr.","C","41","20"
"","Jimmie Koch","Florida Tech","Fr.","P","46","20"
"","Michael Levy","Dominican (NY)","Sr.","INF","38","20"
"","David Longmore","Newman","Jr.","OF","46","20"
"","Mike Lupia","Indiana (PA)","Fr.","INF","40","20"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","20"
"","Ben Miller","Shippensburg","Jr.","INF","48","20"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","20"
"","Clay Mohr","N.M. Highlands","Jr.","OF","44","20"
"","Dillon Ness","Mont. St. Billings","Fr.","INF","38","20"
"","Patrick Oliver","Neb.-Kearney","Sr.","OF","38","20"
"","Aaron Oliver","Abilene Christian","Sr.","OF","33","20"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","20"
"","Bryan Patterson","Hawaii Hilo","Sr.","INF","42","20"
"","Alex Pearce","UNC Pembroke","Jr.","C","38","20"
"","Corey Phelan","Millersville","Sr.","OF","44","20"
"","Ryan Porter","Rockhurst","Jr.","1B","43","20"
"","Tim Quinn","Assumption","Jr.","C","41","20"
"","Kevin Rea","Eckerd","Jr.","INF","31","20"
"","Brice Rivenbark","Winston-Salem","Jr.","P","37","20"
"","Frank Salerno","St. Thomas Aquinas","So.","INF","41","20"
"","Beau Stevens","Colorado St.-Pueblo","Sr.","OF","42","20"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","20"
"","Ben Villafuerte","Tex. A&M-Kingsville","So.","INF","44","20"
"","Emilio Villanueva","Drury","Fr.","OF","39","20"
"","Sean Welsh","California (PA)","Sr.","P","43","20"
"","Logan Williams","Southern Ark.","Sr.","3B","44","20"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","20"
"","Ty Windall","Northwest Nazarene","Sr.","OF","44","20"
"","Benton Yaun","Georgia College","Jr.","C","43","20"
"","Blake Youngblood","Assumption","Sr.","OF","42","20"
"421","Nate Alfson","Augustana (SD)","Sr.","C","38","19"
"","Mike August","Millersville","Jr.","SS","45","19"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","19"
"","Tyler Bean","Washburn","Jr.","INF","40","19"
"","Josh Bishop","St. Augustine's","Sr.","C","54","19"
"","R.J. Blasi","St. Andrews","Sr.","C","44","19"
"","Eric Boyer","East Stroudsburg","So.","OF","25","19"
"","Tj Burgmann","Philadelphia U.","Fr.","C","37","19"
"","Ryan Chesler","Millersville","So.","C","42","19"
"","Lyndon Coleman","Barry","Jr.","OF","41","19"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","19"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","19"
"","Drew Dwelly","Barry","Sr.","3B","50","19"
"","Adrian English","Barry","Fr.","INF","50","19"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","19"
"","Noe Flores","Cal St. L.A.","Sr.","1B","41","19"
"","Trace Fowler","Urbana","Sr.","INF","40","19"
"","Nick Gaeta","Mount Olive","Jr.","C","33","19"
"","P.J. Garcia","Grand Canyon","Jr.","2B","35","19"
"","Luis Gonzalez","Concordia (NY)","So.","C","36","19"
"","Yogi Gunther","Palm Beach Atl.","Jr.","INF","47","19"
"","Scott Hackett","Stonehill","Sr.","3B","43","19"
"","Zach Howard","Limestone","Jr.","3B","52","19"
"","Mike Jackson","Stillman","Jr.","OF","41","19"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","19"
"","Vallmer Jordan","Morehouse","Jr.","OF","33","19"
"","Derek Kline","Millersville","Sr.","1B","45","19"
"","Taye Larry","West Fla.","Jr.","OF","47","19"
"","Joseph Leftridge","Angelo St.","Jr.","OF","45","19"
"","Adam Links","California (PA)","Sr.","INF","44","19"
"","Jimmy Martinez","Colo. Christian","So.","OF","38","19"
"","Blake May","Anderson (SC)","Jr.","INF","50","19"
"","Jacob Mays","Concord","Jr.","P","42","19"
"","Will McGinnis","Delta St.","Sr.","OF","43","19"
"","Rafael Medina","Bloomfield","Jr.","1B","38","19"
"","Zack Merriken","Brevard","Jr.","C","40","19"
"","Jared Mothershed","North Ala.","Sr.","OF","43","19"
"","Mike Munoz","Franklin Pierce","Sr.","OF","41","19"
"","Dennis Murphy","USciences","Jr.","C","33","19"
"","David Nelson","St. Augustine's","Fr.","-","44","19"
