"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","166","59","25","10","2","2","0.463"
"144","Drake Austin","Quincy","Jr.","INF","38","121","44","13","11","2","0","0.463"
"145","Jason Stone","Incarnate Word","Jr.","OF","31","106","42","10","3","0","1","0.462"
"146","Willis Bradwell","Morehouse","Sr.","OF","30","88","19","27","14","1","0","0.462"
"","Mike Diorio","Lynn","Sr.","INF","43","156","59","22","3","1","15","0.462"
"","Bobby Egeberg","Colorado Mines","Jr.","OF","36","124","50","10","6","3","1","0.462"
"","Andrew Pickering","West Virginia St.","So.","INF","40","132","48","21","3","0","0","0.462"
"150","Alex Del Monte","Eckerd","Sr.","SS","43","162","59","28","2","1","2","0.461"
"151","Brad Guenther","Wayne St. (MI)","Jr.","C","41","123","41","25","5","1","8","0.461"
"152","Billy Richard","St. Mary's (TX)","Jr.","OF","49","183","67","29","4","1","0","0.461"
"153","Zac Menendez","East Stroudsburg","Jr.","OF","45","147","45","42","1","1","8","0.461"
"154","Jeremy Williams","Tuskegee","Jr.","P","42","138","51","16","9","2","0","0.461"
"155","null Castilow","West Liberty","Fr.","-","37","110","42","14","2","0","2","0.460"
"156","Brady Capshaw","Southern Ark.","Jr.","3B","42","144","54","17","10","5","0","0.460"
"157","Kyle Sill","Winona St.","Jr.","C","41","131","46","29","0","3","5","0.460"
"158","Chris Reese","Arkansas Tech","Sr.","SS","39","135","42","35","3","1","4","0.460"
"159","Justin Vasquez","Belmont Abbey","Jr.","OF","46","174","63","29","4","2","0","0.459"
"160","Rafael Thomas","Southern Ark.","Sr.","OF","44","165","62","17","11","3","5","0.459"
"161","Christopher Levy","Clark Atlanta","Fr.","P","39","132","47","19","7","1","0","0.459"
"","Connor Obrochta","Tampa","So.","OF","43","135","49","19","5","0","10","0.459"
"163","Jeffrey Conley","Alderson-Broaddus","So.","P","45","148","50","29","5","1","0","0.459"
"164","Sean Borman","St. Cloud St.","Jr.","INF","43","132","43","31","4","3","0","0.459"
"","Jarrod Kramer","Bloomsburg","Sr.","3B","44","144","54","16","8","2","7","0.459"
"166","Will Bynum","Mount Olive","So.","OF","41","99","35","12","8","1","6","0.458"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","137","50","20","7","4","0","0.458"
"","Cody Montz","Kutztown","Sr.","INF","41","145","54","17","6","0","1","0.458"
"169","Jake Rierson","Limestone","Sr.","P","47","162","54","32","7","2","6","0.458"
"170","Ryan Busboom","Fort Hays St.","Jr.","INF","44","168","68","18","1","3","0","0.458"
"171","Eric Maupin","N.M. Highlands","Sr.","INF","42","114","37","23","5","0","0","0.458"
"172","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","169","64","17","11","4","1","0.458"
"173","Benjamin Schroeder","Kentucky St.","Fr.","-","33","94","24","32","3","0","3","0.457"
"174","Derek Nakasato","Hawaii Pacific","Fr.","OF","42","157","58","23","4","2","5","0.457"
"175","Julio Iglesias","Claflin","Jr.","C","35","100","32","21","5","1","0","0.457"
"176","Jonathan Calabrese","Nyack","Sr.","INF","33","157","57","23","4","0","0","0.457"
"177","Tom Charles","Wheeling Jesuit","Sr.","OF","33","85","29","17","1","0","1","0.456"
"","K.C. Clabough","Florida Tech","Sr.","INF","46","167","57","25","12","2","3","0.456"
"179","Thomas Biocic","Arkansas Tech","Jr.","1B","42","141","51","20","7","3","0","0.456"
"","Jorrell Johnson","LeMoyne-Owen","So.","INF","31","102","40","6","6","0","0","0.456"
"181","Ruben Marrero","Newman","Jr.","C","45","152","54","19","10","1","0","0.456"
"","Ryan Siegel","Mercyhurst","Fr.","OF","44","162","63","17","3","0","2","0.456"
"183","Nicholas Arena","Salem Int'l","Sr.","INF","46","131","39","31","7","0","5","0.456"
"184","Jon Neuberger","Bluefield St.","Sr.","INF","41","148","52","13","17","2","0","0.456"
"185","Blake Gentry","Southeastern Okla.","Sr.","OF","46","173","64","25","3","1","1","0.455"
"186","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","143","53","12","11","1","0","0.455"
"187","Brian Hansen","St. Cloud St.","Jr.","OF","45","150","52","26","8","5","0","0.455"
"188","Zach Mathieu","Franklin Pierce","So.","1B","45","183","74","14","3","0","1","0.455"
"189","Lee Neumann","Angelo St.","Jr.","OF","50","176","70","12","8","2","0","0.455"
"190","Ryan Brockett","New Haven","Sr.","SS","38","132","47","19","8","4","5","0.454"
"","Jarod Hahn","Truman","Fr.","OF","44","132","45","18","11","2","0","0.454"
"192","Justin Sizemore","Palm Beach Atl.","Sr.","1B","38","125","46","21","2","4","1","0.454"
"193","Robert Kelly","St. Anselm","Jr.","1B","48","180","57","42","4","1","0","0.454"
"194","Eric Dorton","West Tex. A&M","So.","OF","37","126","42","23","8","4","1","0.453"
"","Brett Parsons","Angelo St.","Sr.","OF","45","136","48","14","11","0","1","0.453"
"196","Nate Van Roekel","Winona St.","Sr.","3B","43","166","56","30","6","1","1","0.453"
"197","Danny Susdorf","UC San Diego","Jr.","OF","44","176","67","21","3","1","1","0.453"
"198","Andrew LaCombe","Angelo St.","Jr.","C","50","144","48","23","10","2","3","0.453"
"199","Andre Collum Jr.","Benedict","Fr.","OF","37","93","27","17","13","3","1","0.452"
"200","Dj Turo","West Ala.","Jr.","INF","48","161","58","21","11","6","5","0.452"
